V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_C20,0.7461,0.0022,0.1517,0.1858,0.0346,0.2052,0.0189,0.2528,0.0078,0.0811,0.029,0.0047,0.0335,0.0198,0.0042,0.021,0.0066,0.0054,0.0001,0.0014,0.0005,0.0245,0.0726,0.0294,0.4923,0.3719,0.6639,0.0322,0.0099,0.0096,0.0013,0.0827,0.0073,0.0081,0.0023,0.0451,0.0093,0.0182,0.0069,0.169,0.0109,0.0071,0.004,0.0454,0.0
LAO_C21,0.2485,0.0057,0.0233,0.0205,0.0035,0.0716,0.0037,0.04,0.0006,0.0132,0.003,0.0218,0.0025,0.0021,0.0007,0.0031,0.001,0.0004,0.0,0.0001,0.0001,0.0031,0.0134,0.0041,0.0499,0.1024,0.1267,0.0114,0.0045,0.0018,0.0007,0.024,0.0013,0.0036,0.0006,0.0186,0.0015,0.0375,0.0017,0.1652,0.0053,0.0296,0.0024,0.0145,0.0
LAO_C22,0.5204,0.0134,0.0966,0.1363,0.0295,0.1725,0.0206,0.1754,0.0023,0.0583,0.0219,0.0093,0.0235,0.0135,0.0023,0.0292,0.0074,0.0068,0.0001,0.0021,0.0005,0.0247,0.0522,0.0247,0.3437,0.2875,0.4972,0.0232,0.0076,0.007,0.0014,0.0694,0.009,0.0068,0.0018,0.0384,0.0068,0.0233,0.0047,0.21,0.01,0.0144,0.0052,0.0313,0.0
LAO_C23,0.0402,0.0006,0.0779,0.1246,0.0305,0.6345,0.0,0.0007,0.0,0.1017,0.0326,0.0211,0.0376,1.2786,0.07,0.2776,0.0236,0.019,0.0009,0.0653,0.0228,0.2869,0.0281,0.132,40.9846,0.0936,0.0403,0.0019,0.0006,0.0005,0.0332,0.0471,0.0323,0.2696,0.0172,0.0,0.8811,0.0625,0.0227,0.3499,0.0,0.0001,0.0441,0.0767,0.0
LAO_C24,0.0186,0.0008,0.0223,0.0157,0.0069,0.084,0.0008,0.0221,0.0003,0.0009,0.0004,0.0001,0.0004,0.0023,0.0209,0.0878,0.0074,0.0118,0.0003,0.0017,0.0004,0.0129,0.0166,0.0073,0.2597,0.0832,0.0455,0.0016,0.0004,0.0005,0.0007,0.0012,0.0003,0.0047,0.0004,0.0045,0.0018,0.0017,0.0006,0.0185,0.0005,0.0004,0.0002,0.0276,0.0
LAO_C25,0.0347,0.0008,0.0134,0.0163,0.0051,0.1315,0.002,0.0369,0.0002,0.0012,0.0005,0.0001,0.0003,0.0012,0.0018,0.0231,0.0047,0.0051,0.0001,0.0012,0.0005,0.0071,0.0117,0.0028,0.2177,0.1233,0.0456,0.0019,0.0006,0.0007,0.0007,0.0042,0.0006,0.0074,0.0008,0.0077,0.0032,0.0028,0.0012,0.0396,0.001,0.0006,0.0006,0.0174,0.0
LAO_C26,0.008,0.0003,0.0053,0.006,0.0022,0.0404,0.0006,0.01,0.0001,0.0004,0.0002,0.0001,0.0002,0.0006,0.0012,0.0113,0.0042,0.0006,0.0001,0.0007,0.0003,0.0065,0.0051,0.0013,0.0415,0.0406,0.0144,0.0008,0.0003,0.0003,0.0001,0.0007,0.0005,0.0039,0.0008,0.0028,0.0006,0.0013,0.0003,0.0123,0.0003,0.0003,0.0002,0.0106,0.0
LAO_C27,0.0084,0.0004,0.007,0.0072,0.0017,0.04,0.0005,0.0121,0.0,0.0003,0.0001,0.0,0.0001,0.0008,0.002,0.0141,0.0015,0.0023,0.0001,0.001,0.0004,0.0059,0.0055,0.0012,0.1482,0.0259,0.0187,0.0007,0.0002,0.0002,0.0,0.0009,0.0002,0.0014,0.0002,0.0009,0.0008,0.0006,0.0002,0.0048,0.0001,0.0001,0.0001,0.0043,0.0
LAO_C28,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.002,0.0018,0.0,0.0,0.0,0.0001,0.0,0.0,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
LAO_C29,0.0019,0.0,0.0011,0.0017,0.0003,0.0111,0.0001,0.0025,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0003,0.0026,0.0054,0.0043,0.0,0.0006,0.0,0.0014,0.0013,0.0005,0.0208,0.009,0.004,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0005,0.0,0.0006,0.0002,0.0002,0.0001,0.0018,0.0001,0.0,0.0,0.0006,0.0
LAO_C30,0.0008,0.0001,0.0006,0.0008,0.0002,0.0019,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0021,0.001,0.0,0.0002,0.0002,0.0004,0.0003,0.0002,0.0065,0.0029,0.001,0.0002,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0002,0.0,0.0001,0.0,0.0013,0.0,0.0,0.0,0.0008,0.0
LAO_C31T33,1.8288,0.9156,0.1658,0.2338,0.046,0.691,0.0384,0.6238,0.0063,0.0162,0.0098,0.003,0.0066,0.037,0.0074,0.0505,0.0075,0.0124,0.0002,0.0016,0.0019,0.0594,0.1618,0.2751,0.2891,0.3341,0.1694,0.0469,0.0434,0.0091,0.0032,0.0637,0.0035,0.0582,0.0038,0.0748,0.3374,0.0219,0.0128,0.1397,0.0068,0.0053,0.0081,0.0299,0.0
LAO_D,0.6341,0.0091,1.184,1.8823,0.1847,1.8561,0.0809,0.6959,0.0067,0.0492,0.0215,0.0052,0.0189,0.1702,0.0162,0.0378,0.0201,0.0151,0.0003,0.0033,0.0012,0.098,1.7482,0.1325,0.252,2.4664,0.0348,0.0021,0.0007,0.0009,0.0056,0.8076,0.0567,0.0864,0.0085,0.383,0.1228,0.0537,0.0064,1.2355,0.0663,0.0237,0.0615,0.1369,0.0
LAO_E,0.8501,0.0142,1.5199,2.0409,0.2207,2.3656,0.0768,0.4919,0.0043,0.0478,0.0161,0.0054,0.0123,0.1208,0.0088,0.0327,0.0157,0.0089,0.0002,0.002,0.0009,0.0392,1.8645,0.5267,0.3165,1.8729,0.0491,0.0039,0.001,0.0009,0.0084,1.1757,0.0273,0.0661,0.0058,0.3919,0.2114,0.0492,0.006,1.5715,0.0824,0.0215,0.0625,0.1568,0.0
LAO_F,0.0208,0.0004,0.014,0.0156,0.0037,0.0011,0.0012,0.0018,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0006,0.0004,0.0,0.0,0.0,0.0003,0.0163,0.0034,0.3771,0.13,0.0009,0.0001,0.0,0.0,0.0003,0.013,0.0012,0.0036,0.0007,0.0013,0.3973,0.0034,0.0004,0.2102,0.0126,0.0015,0.0013,0.0095,0.0
LAO_G,16.6941,1.3847,3.0042,5.388,0.794,28.7296,7.694,8.8883,0.1353,1.5251,0.5758,0.0942,0.5084,1.6346,0.4209,1.475,0.3905,0.4287,0.0047,0.1072,0.0359,1.6015,2.4001,0.5875,33.6707,5.8621,3.6929,2.9115,0.8761,0.9508,0.0638,3.9906,0.1963,0.2983,0.0908,1.0644,0.5473,0.475,0.3203,4.03,0.1885,0.2498,0.1146,0.8249,0.0
LAO_H49,1.8049,0.0754,0.7529,1.2657,0.1806,6.2411,0.548,2.4743,0.0199,0.6061,0.2483,0.0653,0.2127,0.3342,0.1154,0.4538,0.0492,0.0454,0.0015,0.0571,0.0197,0.3814,0.7325,0.2062,9.9479,13.3914,2.3654,0.263,0.0825,0.0795,0.084,1.0472,0.0704,0.2767,0.3394,2.1933,0.242,1.0411,0.3517,6.1163,0.3257,0.0409,0.0491,0.9282,0.0
LAO_H50,0.4629,0.0372,0.2117,0.433,0.0674,0.7236,0.1953,0.2573,0.0028,0.0579,0.0229,0.0046,0.0201,0.137,0.0184,0.0603,0.0091,0.0124,0.0002,0.0043,0.0017,0.051,0.2135,0.0396,1.5053,0.1131,0.0932,0.061,0.0232,0.0235,0.0013,0.0775,0.0062,0.0107,0.0187,0.0159,0.0197,0.0325,0.0086,0.0551,0.0027,0.0067,0.0043,0.0258,0.0
LAO_H51,0.0743,0.006,0.0284,0.0662,0.0088,0.0796,0.0639,0.0001,0.0096,0.0026,0.0014,0.0083,0.0006,0.0213,0.0022,0.0032,0.0121,0.0145,0.0,0.0004,0.0001,0.0028,0.0258,0.0048,0.1309,0.0452,0.0268,0.0228,0.017,0.0043,0.0056,0.0173,0.0132,0.0123,0.005,0.0313,0.0105,0.0284,0.021,0.0161,0.0084,0.0006,0.0121,0.0249,0.0
LAO_H52,0.1349,0.0096,0.0645,0.1044,0.0156,0.5082,0.0322,0.2189,0.0018,0.05,0.018,0.007,0.0171,0.0301,0.006,0.0234,0.0095,0.0068,0.0001,0.0017,0.0007,0.0273,0.0621,0.018,0.8002,1.0506,0.1964,0.0429,0.0091,0.0306,0.0063,0.0775,0.0063,0.0292,0.0254,0.1428,0.0176,0.0608,0.0352,0.4545,0.0206,0.0027,0.0029,0.0546,0.0
LAO_H53,0.0913,0.0027,0.0015,0.0017,0.0004,0.0504,0.0044,0.058,0.0004,0.0099,0.0034,0.0021,0.0032,0.0012,0.0001,0.001,0.0032,0.0017,0.0,0.0001,0.0,0.0031,0.0339,0.0176,0.0455,0.8751,0.0272,0.0028,0.0006,0.0016,0.2396,0.0468,0.0233,0.7414,0.0167,0.3225,0.0004,0.0496,0.011,1.1634,0.0472,0.0013,0.0153,0.0736,0.0
LAO_I,0.0228,0.001,0.0006,0.0004,0.0002,0.006,0.0003,0.0123,0.0005,0.0028,0.0009,0.0006,0.001,0.0008,0.0002,0.0012,0.0004,0.0002,0.0,0.0003,0.0002,0.0016,0.0138,0.0031,0.0285,0.1468,0.0086,0.0014,0.0003,0.0001,0.0005,0.0556,0.0034,0.0048,0.0361,0.0728,0.0046,0.0687,0.0189,0.3029,0.0139,0.0005,0.0017,0.0176,0.0
LAO_J58T60,0.0067,0.0002,0.0001,0.0,0.0,0.0087,0.0016,0.1908,0.0009,0.0065,0.0008,0.0005,0.0005,0.0005,0.0,0.0001,0.0002,0.0001,0.0,0.0,0.0,0.0124,0.001,0.005,0.0311,0.0338,0.0013,0.0001,0.0001,0.0,0.0013,0.0099,0.0074,0.0224,0.0018,0.0116,0.0002,0.0071,0.0007,0.069,0.004,0.0004,0.0022,0.0029,0.0
LAO_J61,0.3798,0.0118,0.0079,0.0067,0.0019,0.1616,0.0146,0.2079,0.0012,0.0311,0.0103,0.0058,0.0113,0.0041,0.0004,0.0035,0.0096,0.0047,0.0,0.0002,0.0001,0.0109,0.0876,0.0501,0.2081,2.7524,0.1284,0.0119,0.0029,0.0056,0.0246,0.2441,0.1367,2.4852,0.1003,0.947,0.0013,0.1887,0.0405,3.2104,0.1666,0.006,0.0559,0.222,0.0
LAO_J62_63,0.0046,0.0001,0.0012,0.0016,0.0003,0.0408,0.0016,0.0074,0.0001,0.0068,0.0016,0.0009,0.0022,0.0004,0.0003,0.0019,0.0004,0.0002,0.0,0.0001,0.0001,0.0008,0.0017,0.0005,0.0264,0.1178,0.0116,0.0008,0.0002,0.0003,0.0004,0.0093,0.001,0.0094,0.0126,0.0699,0.0036,0.005,0.0013,0.0846,0.0045,0.0002,0.0005,0.0073,0.0
LAO_K,1.9303,0.0379,0.909,0.9766,0.1637,1.5127,0.6239,5.6202,0.0344,0.5093,0.1705,0.0751,0.1671,0.1445,0.0259,0.1268,0.254,0.1625,0.0006,0.0066,0.0028,0.3721,0.647,0.196,4.5024,25.5219,2.3188,0.2155,0.0605,0.0705,0.0243,4.4097,0.1342,0.3601,0.1872,57.6185,1.2561,0.5412,0.202,7.1862,0.3499,0.0131,0.1031,1.5442,0.0
LAO_L,0.1114,0.003,0.0022,0.0025,0.0007,0.0665,0.0133,0.1003,0.0005,0.018,0.006,0.0032,0.0062,0.0018,0.0004,0.0032,0.003,0.0018,0.0,0.0002,0.0001,0.0104,0.0054,0.0254,0.08,4.0061,0.0693,0.004,0.0013,0.0013,0.0017,0.3822,0.0358,0.0288,0.0198,1.1544,0.4121,0.0599,0.0131,0.5339,0.252,0.0009,0.0322,0.1643,0.0
LAO_M,0.0752,0.0023,0.0141,0.0104,0.0043,0.2277,0.0082,0.0688,0.0008,0.0635,0.0152,0.0103,0.0198,0.0033,0.0029,0.0156,0.0031,0.0016,0.0001,0.0014,0.0008,0.0014,0.0133,0.0049,0.1989,0.943,0.0674,0.0048,0.0015,0.0015,0.0017,0.0511,0.0089,0.0274,0.0349,0.2918,0.0597,0.1744,0.0216,0.5346,0.0292,0.0018,0.0059,0.0734,0.0
LAO_N,0.0274,0.0008,0.006,0.0079,0.0023,0.1275,0.0039,0.0345,0.0003,0.0173,0.0052,0.0037,0.0084,0.0015,0.0011,0.0077,0.0013,0.0007,0.0,0.0005,0.0002,0.0031,0.0059,0.0034,0.1103,0.4193,0.0607,0.0041,0.0013,0.0017,0.0016,0.0457,0.0035,0.0213,0.015,0.1114,0.0308,0.045,0.0195,0.1875,0.0157,0.0012,0.0033,0.0265,0.0
LAO_O,0.0806,0.0027,0.014,0.0157,0.0032,0.1247,0.0284,0.2879,0.0001,0.0205,0.0,0.0,0.0,0.0,0.0092,0.0471,0.1573,0.0973,0.0001,0.0036,0.0021,0.0394,0.0217,0.0263,0.0272,0.0183,0.0022,0.0028,0.0032,0.003,0.0016,0.07,0.0275,0.0141,0.0259,0.0353,0.0156,0.0659,0.0176,18.5334,0.2951,0.0001,0.0234,0.0163,0.0
LAO_P,0.0134,0.0004,0.0022,0.0021,0.0005,0.0279,0.0067,0.0974,0.0001,0.0061,0.0001,0.0002,0.0002,0.0,0.0021,0.0102,0.043,0.0263,0.0,0.0,0.0,0.0064,0.0065,0.0025,0.0103,0.0809,0.0075,0.0021,0.0008,0.0012,0.0014,0.0294,0.0013,0.0159,0.0027,0.0609,0.004,0.0057,0.0013,0.2776,0.0751,0.0,0.0012,0.0089,0.0
LAO_Q,0.0007,0.0,0.0001,0.0001,0.0,0.0022,0.0001,0.0003,0.0002,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0003,0.0006,0.0004,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0011,0.0009,0.0002,0.0004,0.0,0.0002,0.0,0.0008,0.0003,0.0002,0.0005,0.0001,0.0029,0.0022,0.0007,0.0004,0.0,0.0005,0.0003,0.0003,0.0
LAO_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0013,0.0003,0.0,0.0,0.0,0.0,0.0002,0.0,0.0053,0.0002,0.0,0.0007,0.0001,0.0
LAO_S,0.1756,0.0067,0.0307,0.0346,0.0101,0.6451,0.0422,0.1996,0.0011,0.0103,0.0034,0.0019,0.0036,0.0062,0.0032,0.0174,0.0037,0.0018,0.0001,0.0013,0.0005,0.0179,0.0229,0.0099,0.2524,0.1346,0.0932,0.0071,0.0028,0.0014,0.0009,0.0938,0.0036,0.0107,0.0021,0.01,0.0035,0.007,0.0018,0.1207,0.0044,0.0021,0.0025,0.023,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
