V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_C20,15.1946,0.0162,0.1629,0.7383,0.0742,6.8381,6.3095,8.3074,20.7593,0.2061,108.9541,37.789,72.5261,13.4004,2.9818,10.7421,3.3164,12.3719,21.7575,8.8908,0.7392,9.6456,2.0572,1.1034,26.0161,15.0511,1.9254,0.2158,0.3268,0.759,0.0469,2.881,0.8358,0.6444,0.5959,0.7819,4.3155,6.3123,1.372,4.7135,3.3273,27.2336,0.9628,2.255,0.0
SVN_C21,2.4271,0.0185,0.1093,0.4304,0.0261,3.0302,3.4485,0.5669,0.8165,0.0102,3.0452,58.6258,2.2546,0.6878,1.4137,1.094,0.6884,1.2465,1.3233,0.7703,0.4943,0.6995,0.5486,0.3979,3.5617,6.3695,1.073,0.0493,0.31,0.2098,0.0285,1.7408,0.3707,0.6754,0.8223,0.8195,0.5663,5.6189,0.6788,2.103,2.4385,69.6091,0.5866,0.7708,0.0
SVN_C22,2.7346,0.0136,0.3909,0.4604,0.0522,17.7994,5.3748,13.8765,6.7309,0.0878,18.7066,3.3252,97.5788,5.3709,1.3844,11.9116,6.6924,43.397,40.5415,169.1083,0.8195,19.1237,1.3651,2.1504,56.4118,29.089,6.5073,0.0802,0.7115,1.6902,0.1594,2.1621,0.5251,0.6721,0.5873,1.406,2.8609,12.3526,2.6582,2.8602,1.9131,2.9701,0.8859,1.0343,0.0
SVN_C23,3.2498,0.0095,1.1437,2.1536,0.0745,8.1308,1.263,2.89,1.5674,0.0102,9.2745,2.2655,12.1297,48.097,6.463,10.3305,2.2125,7.4737,21.3518,16.1274,0.4258,4.8021,5.4999,3.3373,322.425,15.0075,1.5276,0.042,0.1149,0.7061,0.0427,2.0315,0.3844,0.5502,0.2301,0.5446,13.5984,9.424,1.6771,1.5119,0.8401,1.847,0.4492,0.6213,0.0
SVN_C24,0.295,0.0011,0.2095,0.039,0.0651,3.4841,0.0986,0.8088,0.1619,0.0,5.1302,1.4604,3.5631,3.7972,110.6514,134.9109,7.1605,44.9137,47.3685,61.9604,0.7046,13.2282,0.3162,10.3233,36.4079,6.1924,0.2305,0.0064,0.0,0.1806,0.0,0.0243,0.1337,0.0048,0.0577,0.0088,2.0953,6.2317,0.6742,0.035,0.2821,0.6355,0.0189,0.0406,0.0
SVN_C25,4.4865,0.1158,5.137,0.9785,0.1695,11.0132,6.3521,11.4265,6.1605,0.0909,5.7029,6.0895,34.7041,7.2716,19.2652,232.4563,7.7816,105.6759,187.138,78.4593,3.8541,44.9938,10.0329,6.7784,198.9419,34.2887,4.0123,0.2332,1.0819,6.0166,0.0947,3.0056,1.3481,1.3958,1.1722,1.6394,10.4368,35.0845,5.7617,5.6991,2.2213,3.2342,1.3027,1.6284,0.0
SVN_C26,1.6959,0.0158,0.2713,0.1295,0.0169,3.6567,1.459,0.5676,1.0633,0.013,1.4858,1.0271,1.6283,0.9962,1.4683,2.5908,28.7329,21.6899,14.3876,5.1127,0.4487,5.2345,3.0102,0.5595,17.4976,8.2116,1.6391,0.1229,0.2946,0.7655,0.0791,1.5942,0.7479,3.7203,7.2249,2.4123,1.3861,11.6369,1.6563,5.4195,1.4569,8.558,0.53,2.0962,0.0
SVN_C27,1.8123,0.0216,2.6285,0.5779,0.06,5.1493,1.7452,2.08,4.3357,0.0191,4.6436,1.8948,8.1187,4.1728,13.4031,21.9189,24.1412,253.3522,93.9158,78.9473,6.2516,13.6922,34.7651,1.524,286.541,19.8743,4.0746,0.0659,0.5355,3.9658,0.0487,2.2085,1.0687,2.4401,3.0055,1.2229,8.909,33.0114,4.2475,2.0763,1.005,1.9907,0.8986,5.5461,0.0
SVN_C28,3.495,0.0167,1.5084,0.831,0.0782,4.1104,1.5971,1.7282,2.8599,0.013,2.1631,1.4774,5.2736,2.7494,4.8646,17.3887,4.172,11.4964,39.6259,10.0039,0.9637,6.7268,4.4807,1.1693,17.8084,15.0344,1.6725,0.0536,2.1106,1.0285,0.0749,1.4188,0.6994,1.2582,0.55,0.7903,4.2325,5.4348,0.9947,7.6518,0.8678,1.4936,0.6736,0.7541,0.0
SVN_C29,1.8196,0.0148,0.1849,0.086,0.0223,3.2024,1.3324,0.715,1.1334,0.0165,1.4748,1.248,3.6574,1.1466,1.6007,7.3716,0.8624,4.5294,7.7182,265.5947,0.2747,6.9655,2.6816,1.4812,17.3515,28.0394,18.4697,0.1381,0.2007,3.8882,0.2359,0.9265,0.5174,0.7393,0.6163,0.5684,0.6982,3.4882,0.8043,4.382,0.4851,0.9214,0.4042,0.5976,0.0
SVN_C30,0.0395,0.0011,0.0085,0.0021,0.0012,0.1534,0.0023,0.0571,0.03,0.0008,0.006,0.0,0.0297,0.023,0.1856,0.0226,0.089,0.003,0.005,0.1561,22.2491,4.2495,0.0561,0.0249,0.3996,0.4608,7.031,0.0188,1.4879,0.0053,0.0115,0.0061,0.1235,0.0,0.0025,0.0021,0.0121,0.0238,0.0216,0.827,0.0063,0.0099,0.0824,0.0328,0.0
SVN_C31T33,2.7463,0.0349,4.4836,2.7231,0.2087,9.567,5.8288,11.4403,9.3244,0.012,6.8786,3.1872,12.8731,8.557,18.3616,40.6819,4.9766,12.5744,54.7875,13.9676,0.9379,35.6224,20.1405,3.8352,27.7711,33.8767,2.8625,0.1474,5.1131,2.8301,0.2976,5.4975,1.4978,2.7648,1.7866,5.599,20.1305,13.7561,3.1989,8.4795,8.3723,6.959,3.8244,3.7028,0.0
SVN_D,8.9556,0.0986,2.9672,3.0226,0.2492,23.3902,6.6997,13.822,27.5924,0.0436,28.4259,9.3483,17.9568,26.3407,100.5825,31.0704,5.5798,19.9053,19.9874,9.9141,2.688,15.2355,207.2978,17.957,32.2319,87.9898,17.2789,0.9567,0.8954,6.1255,0.8132,26.5159,7.3106,7.5019,3.1331,11.7252,11.1697,23.4092,7.5823,32.2603,19.3438,17.7907,10.8948,8.0009,0.0
SVN_E,4.9181,0.2074,0.9969,0.365,0.0696,9.9216,1.9173,1.3394,3.107,0.0361,5.1839,2.3056,3.0194,6.5116,65.7029,58.4462,1.1581,3.833,5.2307,1.6829,1.0653,4.3791,10.5613,82.4132,25.5351,23.8251,4.0571,0.3926,0.1796,2.1145,0.342,10.3895,1.7752,5.8493,0.6794,3.5269,7.2782,8.0084,7.9486,7.78,9.7212,12.6954,3.7497,4.6743,0.0
SVN_F,14.1953,0.0493,2.5703,8.0784,0.2502,8.8829,2.9075,4.0644,2.9239,0.0396,7.2563,3.8084,13.457,43.6691,7.1942,13.8606,2.1008,9.6796,12.0332,5.0749,0.6975,7.7517,13.1204,38.0654,1497.2276,68.0992,11.2222,1.0937,1.005,17.3441,0.6986,7.5793,2.4069,24.7673,1.32,8.3647,121.8071,279.0934,37.505,90.0081,13.5717,13.3421,5.6969,2.9621,0.0
SVN_G,124.3935,0.8101,4.6037,3.6657,0.6233,245.8804,100.8423,27.4424,48.1906,0.7679,66.44,49.1433,59.7955,46.3601,55.2179,82.1027,36.145,83.2038,85.8205,115.3111,8.7349,54.7051,59.2731,24.5641,315.8678,333.6491,169.055,5.1388,12.779,34.3486,7.4953,92.583,30.2263,29.4937,20.6126,34.5372,32.8318,103.3088,33.1124,67.6175,42.8866,54.5399,28.1773,25.1496,0.0
SVN_H49,14.6986,0.1004,0.5972,3.2962,0.2791,44.1351,10.5666,10.5289,19.4397,0.1047,26.6635,5.1935,18.8534,27.8701,21.6756,40.8767,5.428,20.7855,28.9303,21.5971,0.6232,16.2913,10.8331,11.3037,108.4175,119.3025,209.0626,1.2276,1.5364,84.1578,2.3913,7.644,7.8519,1.6045,1.3561,4.268,3.9448,16.8097,26.7707,5.2385,10.51,5.1475,3.3081,2.706,0.0
SVN_H50,0.6055,0.0175,0.0254,0.0734,0.0081,0.9729,1.0112,0.3007,0.744,0.0083,1.0771,0.3522,0.8167,0.4121,0.939,1.1491,0.3677,1.1557,1.223,1.6926,0.07,0.999,0.5552,0.1601,2.2878,1.0654,1.9962,9.3258,0.1059,1.1199,0.0185,0.3623,0.0927,0.0868,0.0529,0.0921,0.1757,0.4274,0.5249,0.1952,0.1848,0.4205,0.0703,0.0889,0.0
SVN_H51,0.2399,0.0015,0.033,0.0261,0.0025,0.3915,0.3324,0.11,0.2243,0.0028,0.3575,0.1036,0.3221,0.1811,0.4166,0.5674,0.108,0.3579,0.5883,0.5815,0.0243,0.2347,0.3598,0.07,0.9131,0.4304,0.3239,0.0157,0.0465,0.0468,0.0028,0.1396,0.0438,0.0346,0.0184,0.0471,0.2461,0.2439,0.0364,0.0603,0.0698,0.1646,0.0293,0.0386,0.0
SVN_H52,3.803,0.0329,0.1522,0.4724,0.2669,9.314,2.5181,1.9701,4.1636,0.0328,6.1578,4.0067,3.8924,4.9979,4.5288,8.3537,1.8014,6.4151,8.3563,6.3226,0.2366,3.6787,4.4522,1.8323,21.3141,54.2704,73.8815,1.7083,7.0533,93.6188,0.8128,5.509,3.4115,1.4882,1.1231,3.295,1.9791,8.8551,4.607,3.116,2.3291,1.8369,2.0889,1.3218,0.0
SVN_H53,0.6979,0.0632,0.071,0.1741,0.0275,0.7933,0.281,0.2783,0.5658,0.0154,0.5019,0.2871,0.6111,0.4696,0.3195,1.4418,0.562,0.4824,0.8553,0.1886,0.0806,1.1299,1.3046,1.3503,3.5422,18.0347,1.1886,0.1509,0.2821,0.9767,15.9089,1.2175,9.8123,77.0874,0.8468,45.9152,3.0089,6.8909,3.0552,27.8449,1.8605,2.3708,1.5155,7.793,0.0
SVN_I,0.5821,0.1695,0.0643,0.0971,0.0229,1.5465,0.7553,0.8086,0.8589,0.005,1.2806,5.0399,1.352,1.0928,0.7271,5.8072,1.8183,2.9441,4.1733,1.6191,0.2315,2.3684,0.7725,0.619,18.9742,22.532,6.9216,0.1463,1.1644,1.1763,0.1179,4.6844,1.0747,1.1502,3.5601,5.0812,1.4139,17.2177,66.0751,15.6513,9.3742,3.301,11.0022,10.1246,0.0
SVN_J58T60,2.6159,0.0222,0.1852,0.1792,0.0239,6.9545,1.4802,0.7116,2.9512,0.0175,2.9338,1.9079,1.9206,1.5556,1.3186,3.4332,1.1668,2.3107,3.3096,2.4366,0.2673,2.2953,1.6196,1.4815,8.7395,34.6854,4.3312,0.1979,0.8916,2.2525,0.183,5.6899,41.3079,5.1186,4.0145,14.1939,2.9074,21.4773,3.741,22.1784,14.2486,8.7559,6.8244,10.9743,0.0
SVN_J61,2.7347,0.1486,0.2512,0.5176,0.0737,3.9468,1.3508,1.6326,2.6557,0.0289,2.4638,3.0601,2.9803,2.1068,1.3181,5.2379,5.7902,3.7205,4.5543,1.6146,0.2536,5.2425,4.5713,4.0764,16.132,68.8544,12.5231,0.4939,5.8232,3.4399,0.4117,6.7146,14.5436,228.3058,9.2912,39.2206,6.9176,31.5466,11.8991,50.2826,9.5482,10.2361,6.5186,15.0062,0.0
SVN_J62_63,1.6754,0.0331,1.0463,0.1947,0.0271,4.7194,1.1559,1.1544,2.9214,0.0405,2.5661,2.4006,2.3958,1.497,1.6186,4.8618,5.3478,5.309,4.2151,3.892,0.2621,3.9299,7.3862,1.5609,7.0165,28.1158,4.9078,0.2192,0.3706,3.5992,0.6366,3.8801,4.653,18.8321,63.8059,31.4554,2.6622,25.5608,6.6258,57.0692,4.8203,5.4664,1.9513,10.0979,0.0
SVN_K,11.3128,0.1254,2.6944,2.492,0.3854,21.0482,7.9348,8.2551,12.6975,0.0993,12.5583,12.9585,13.3301,12.0077,16.8386,31.4484,10.2576,24.7265,25.5091,12.8278,6.6781,16.5657,21.128,12.1114,90.9468,239.6183,45.4247,3.7379,7.7118,15.7205,5.6913,26.0265,9.3182,27.7109,17.2276,334.7186,82.1026,72.0284,31.3798,57.3681,6.4457,10.9117,24.5116,22.3111,0.0
SVN_L,2.9006,0.0108,0.5485,0.3307,0.0447,5.5959,1.6245,2.007,1.9289,0.0897,2.3171,1.9987,3.6486,3.9438,2.4595,8.2231,2.0203,5.3719,6.1746,1.6383,0.4076,6.6477,4.6171,1.7918,17.7745,114.9072,6.7852,0.1698,0.8614,5.1257,0.5384,16.7454,5.1204,9.9695,5.438,14.4261,14.5165,30.2267,8.7414,20.9987,5.4272,4.7595,5.9894,7.9951,0.0
SVN_M,26.0438,0.6393,4.8007,4.5562,0.95,47.3829,10.0035,13.3247,25.4071,0.3559,37.032,38.591,44.7399,21.5544,22.2292,50.7746,26.7018,45.6854,61.7432,21.4,6.7758,33.8458,18.7696,16.5088,252.1203,501.708,41.6722,1.4817,25.334,16.2968,3.3263,38.8986,75.0788,59.3442,39.6213,120.0977,38.5882,397.0998,62.2086,98.3712,48.0167,39.26,57.9702,53.5016,0.0
SVN_N,5.8736,0.2053,0.8553,1.0579,0.4094,16.5144,3.8698,4.0689,7.7654,0.0912,8.7168,10.0197,13.453,5.8592,7.1933,16.461,7.1822,13.4242,19.6646,4.6826,2.3501,11.8842,2.9521,3.0454,41.3589,151.9713,20.4887,0.4087,10.8058,7.4571,3.587,14.9301,25.2874,25.4482,13.0096,42.709,8.7977,116.6717,99.6258,29.738,24.3599,18.6335,25.8747,18.1653,0.0
SVN_O,4.7198,0.0432,0.1707,0.0992,0.0548,3.5306,0.8559,1.9152,0.8958,0.3893,0.6185,0.5495,1.1649,1.7055,1.2464,5.0859,1.997,1.4835,1.2279,0.8387,0.2054,4.2404,4.2956,1.6788,13.8127,39.3225,44.9419,0.4266,0.6663,13.9669,0.8122,5.2525,6.9344,2.6175,3.5481,10.2426,3.1061,17.5411,3.4034,36.259,3.7483,2.0433,2.2301,5.0699,0.0
SVN_P,2.3214,0.0308,0.5931,0.2513,0.0187,3.8298,1.2999,0.9244,2.4675,0.0399,2.0632,6.8204,3.0041,1.7674,1.697,5.537,4.6605,6.5399,5.6976,3.5544,0.3505,2.5998,5.128,2.2535,9.061,26.7214,4.2544,0.2383,1.835,1.8098,0.25,3.1938,2.165,5.7457,5.3658,12.3895,2.3554,19.2993,4.0623,15.0812,25.1923,12.6475,3.135,9.4209,0.0
SVN_Q,20.8004,0.0415,0.3429,0.0874,0.02,5.7773,0.4716,0.5618,1.1138,0.0093,0.9598,1.002,1.1979,0.7776,0.9604,2.6297,0.9079,1.528,1.5299,1.0143,0.2265,2.6105,2.0847,1.5218,4.8549,10.4833,4.005,0.0639,0.3474,0.5638,0.1379,2.7144,1.2098,1.3042,0.8679,2.3666,0.9765,7.0126,1.786,7.3566,3.904,74.9366,3.6254,5.5515,0.0
SVN_R,0.7909,0.0971,0.1753,0.1261,0.01,4.5737,1.3474,0.2836,0.5189,0.0079,0.8029,1.05,0.7594,0.699,1.7973,0.8482,0.3051,0.5965,0.6256,1.815,0.1172,1.0419,0.6354,0.7241,3.6338,13.7222,1.0339,0.047,0.2697,0.5003,0.1262,9.627,26.929,6.2639,0.8483,7.9234,2.6522,7.4147,5.9064,2.2328,9.9001,4.7261,88.5734,7.7674,0.0
SVN_S,2.2152,0.1316,0.255,0.2272,0.0788,14.9013,1.6603,0.497,1.1431,0.0464,5.5296,0.9184,1.5757,2.6582,1.0606,2.4641,0.5193,1.0929,8.8027,0.6572,0.1015,1.6101,3.1092,1.826,10.6141,31.164,8.7932,0.1397,0.7981,0.9513,0.1984,8.6746,2.6285,2.6935,1.0916,12.0218,5.5892,12.9054,2.9133,26.225,8.0355,20.0386,10.1291,99.7478,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
