V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_C20,171.5043,0.1755,0.6335,2.2838,0.7751,75.0485,20.9953,11.0404,26.4724,50.6206,212.8651,49.71,240.2747,34.1185,20.6511,18.9403,50.7469,35.8984,28.3818,19.8947,3.3546,17.2743,6.7781,11.6681,56.4257,70.9156,20.3098,0.8149,1.0565,3.1155,1.2361,12.1038,4.5127,1.5317,5.0575,3.0667,34.2017,15.3474,14.2375,15.5506,10.6949,66.6464,5.6239,15.336,0.0
HUN_C21,19.5313,0.31,0.0804,0.1959,0.0917,15.5908,1.5912,0.7667,1.9683,4.2011,13.2943,116.5173,12.6996,2.4286,4.822,1.8739,5.9431,2.6142,2.6019,6.3837,0.7673,1.4074,1.0487,2.3142,6.6388,9.4903,1.8807,0.288,1.2271,0.4927,0.2412,2.5539,1.3345,1.5536,1.1783,1.3347,2.7205,7.9623,2.0088,5.8204,1.8357,135.6546,1.3805,2.5552,0.0
HUN_C22,24.1635,0.1998,0.378,0.511,0.1712,88.7495,17.7976,13.6227,25.1338,4.1274,30.343,10.6571,131.974,14.9389,7.6528,20.3236,105.1356,120.6618,35.6743,152.1585,4.193,25.8756,5.5818,13.1757,244.2973,100.8795,30.4327,0.3311,0.631,3.2696,0.607,11.5036,4.9969,2.4258,2.5875,2.0249,37.9982,24.2943,18.9266,11.2116,8.492,51.3305,3.3964,5.4177,0.0
HUN_C23,21.2755,0.0707,0.1979,7.8914,0.725,37.5343,2.9866,7.4627,3.0774,3.2098,9.6888,7.4994,12.015,217.2554,22.5691,12.1774,69.1413,25.5009,15.9784,73.498,1.8848,8.1019,9.3541,8.6128,1054.7037,41.7193,8.4643,1.1763,0.5938,3.7363,0.1855,8.1854,1.1478,2.9552,0.6507,1.7269,139.9076,13.3214,11.9493,5.5043,2.8484,22.3973,1.7276,2.7635,0.0
HUN_C24,7.9547,0.0284,1.1881,1.1816,3.131,12.9685,0.79,11.6509,7.4471,2.756,12.4971,3.1652,14.0953,27.2437,431.2317,301.262,63.8379,120.7173,135.68,141.5764,13.3382,29.0839,4.7154,9.9846,123.6142,24.6648,4.9667,0.5112,0.0993,3.4271,0.001,0.162,0.0633,0.1992,0.7141,0.0357,12.2817,9.7715,5.7678,0.0042,0.0447,1.6759,0.0653,1.669,0.0
HUN_C25,59.3039,0.0641,0.736,1.6379,0.3708,60.9776,9.357,17.4601,8.2469,16.0313,14.8331,5.0779,34.964,14.0309,14.1837,392.3365,112.668,86.6676,142.3997,278.9762,17.0941,55.2614,50.1734,10.2061,388.36,88.7468,15.5051,0.7553,1.7409,8.9664,0.2529,11.1855,2.2612,7.0751,5.7161,2.1548,76.4913,15.0109,14.9322,18.5055,8.6058,17.2268,3.2426,6.0805,0.0
HUN_C26,6.5486,0.0391,0.3871,0.4375,0.3626,11.2982,2.5529,1.806,4.2,9.6893,6.3499,3.8612,10.3723,3.898,4.9519,11.0288,1265.9353,72.2571,25.6497,146.1327,2.6202,27.6142,12.9663,4.9501,27.5978,59.7034,14.965,0.5276,1.7228,5.4918,0.9812,3.8912,4.0925,14.3322,14.6379,6.0427,12.2634,16.5035,8.3577,14.8576,7.5907,25.738,5.547,7.0173,0.0
HUN_C27,21.5485,0.0976,0.5107,0.9413,0.2787,30.414,17.9405,5.1114,9.2361,21.6554,14.2313,6.1412,16.332,9.6648,13.8549,21.804,245.6216,149.3163,46.6902,113.5864,4.3116,17.5091,23.2416,7.032,80.4005,49.0136,21.8913,0.7759,2.1124,7.3455,0.9346,7.528,3.3404,6.4649,3.9441,2.8652,16.9036,12.253,7.0699,10.0537,4.1987,10.2216,2.9866,3.4405,0.0
HUN_C28,14.3456,0.0669,0.971,1.5348,0.3456,13.2901,2.9977,3.0228,6.3354,16.2688,10.6369,3.088,7.9405,9.1953,9.702,25.3515,31.0686,15.2423,64.7637,155.6543,2.9729,11.4261,15.9999,5.7345,56.9118,29.9547,15.0819,0.3706,1.2628,6.3025,0.1532,2.5347,1.8516,3.2919,1.303,1.5524,15.8437,8.3166,5.2682,9.9695,1.9811,2.7694,1.6744,2.7428,0.0
HUN_C29,15.9589,0.028,0.3857,0.5003,0.1073,7.5563,3.6123,1.0725,1.9272,3.636,2.1951,1.9608,6.1495,3.6007,10.118,16.805,26.8292,18.9808,43.4738,2095.475,7.0945,5.2957,3.3676,10.7757,24.4825,122.0519,75.0563,3.1719,1.379,6.9701,1.4694,6.151,2.1463,6.8381,1.6706,3.1674,6.75,8.2068,6.9808,6.3988,1.4433,2.1673,5.2946,5.5729,0.0
HUN_C30,0.7967,0.0026,0.021,0.0131,0.0,0.0873,0.0758,0.0652,0.0215,0.0514,0.0022,0.0073,0.0855,0.0435,0.0279,0.2911,1.6475,5.1528,0.1874,1.3591,11.0886,8.7554,0.0229,0.0462,2.6517,4.7884,83.858,0.3235,16.7602,2.2203,0.0837,0.089,0.0226,0.0,0.0783,0.0,0.3844,0.1262,5.0992,2.3975,0.1249,1.2417,0.3686,0.0924,0.0
HUN_C31T33,4.3852,0.1525,0.125,1.3954,0.4789,15.7223,34.6722,6.1935,6.497,45.8232,22.1841,8.8991,19.6206,6.5575,8.4365,11.3341,35.5439,9.5419,39.5586,29.2381,5.8938,47.4078,75.0127,7.8774,59.3763,30.9529,78.3254,2.194,8.6773,34.9869,0.4234,6.2057,4.6513,17.9719,5.154,4.5212,22.0236,13.6999,11.5544,17.3554,14.6721,8.8217,7.4569,5.9093,0.0
HUN_D,146.272,0.9317,2.0612,8.9476,0.6908,172.0932,26.2677,31.1398,79.6111,85.4025,227.0231,36.0814,67.4371,129.3149,163.3,58.092,67.11,28.4617,48.4855,77.8547,11.3938,23.0387,285.287,102.204,89.2058,229.2466,141.079,1.6192,2.0757,21.7989,3.7578,86.7029,14.8817,50.6106,9.5693,34.2483,131.0235,64.0328,28.7184,176.6795,93.8793,99.6047,43.5464,33.0867,0.0
HUN_E,25.7265,0.751,0.8901,1.5777,0.6849,71.5506,4.9277,4.9637,30.1146,47.6348,68.3795,22.629,13.5111,11.4119,73.5398,12.5372,20.2747,6.8939,10.2642,38.2432,3.3698,5.205,22.213,46.4664,24.8953,79.8589,43.3193,1.6833,0.8667,8.3422,0.7308,34.3836,9.9865,5.8362,2.7414,25.8588,79.3009,36.01,21.2226,61.5732,54.4308,74.1171,11.0015,17.4886,0.0
HUN_F,49.2104,0.4294,2.6268,16.4325,0.9628,58.1181,12.3846,9.6718,23.4673,54.1035,32.9813,13.6817,15.7873,128.297,29.4426,85.0865,51.7622,23.1193,69.1492,53.6795,11.5059,18.7981,81.1821,68.3722,385.1738,285.4489,70.5259,4.9966,6.4406,133.4295,2.6185,86.4175,22.0966,57.5978,22.774,61.5695,390.8948,79.4232,31.1018,115.7095,98.304,76.4941,48.4477,36.3622,0.0
HUN_G,616.3497,2.2279,5.1792,9.183,3.3159,873.3612,126.2208,77.0598,166.9225,257.2797,229.8441,114.7204,154.9826,141.6088,200.0327,164.1844,270.2248,185.5488,134.2858,421.7718,22.907,114.1709,169.9631,94.9013,599.3255,911.664,315.5761,10.8227,39.1514,41.4788,20.9563,293.735,138.2941,100.2365,48.0971,156.056,214.2348,226.4737,134.9345,126.638,67.4647,172.4034,71.3473,93.3388,0.0
HUN_H49,99.6768,0.7482,11.3639,15.078,4.2639,176.079,17.7587,21.1258,34.5817,74.1676,50.0432,11.0633,42.0441,67.5863,34.3256,57.8272,247.1826,35.8719,55.6182,125.8631,7.1009,32.2477,48.3001,42.249,307.6642,1001.3846,83.3725,4.7765,19.597,9.2724,2.6018,25.3234,23.4027,13.6603,6.6463,16.5522,65.9472,37.0792,41.5463,32.8448,16.2479,23.0074,22.7063,25.0742,0.0
HUN_H50,1.946,0.0096,0.0568,0.1706,0.0397,2.8052,0.5483,0.2761,0.6655,3.3668,1.3105,0.3073,0.9029,2.5887,1.1943,1.0971,2.5151,0.9208,0.8295,3.1895,0.1156,0.5127,2.3996,0.358,6.1221,3.428,1.9912,0.2773,1.1525,0.544,0.0229,0.6625,0.3059,0.1718,0.1144,0.3688,0.8197,0.5241,0.5465,0.5792,0.2773,0.7643,0.8237,0.3332,0.0
HUN_H51,2.1843,0.01,0.1129,0.164,0.0571,3.3251,0.6024,0.3428,0.8046,4.6502,1.522,0.2865,1.0677,1.1399,1.4911,1.6113,2.6697,0.6622,1.1523,4.539,0.1308,0.5593,3.4437,0.5164,5.2681,9.9278,2.2014,0.2775,1.3819,0.4809,0.0765,0.5461,0.4733,0.4092,0.2343,1.0621,1.5551,0.8555,1.0018,0.4765,0.3081,0.6878,0.3678,0.4803,0.0
HUN_H52,18.5491,0.1759,0.2444,2.0126,0.2454,60.9626,3.7877,1.5588,5.4649,51.059,10.4172,2.4829,5.5852,42.7717,14.85,4.8941,14.6754,10.3374,6.0794,12.6828,1.6172,8.1494,5.2006,7.7971,42.5243,211.1364,141.4301,28.0101,125.4993,35.3726,0.9806,10.8287,5.8709,4.3572,2.0355,4.6788,12.9696,12.3412,9.9848,14.2355,4.7432,2.4966,3.7444,18.5561,0.0
HUN_H53,11.338,0.0508,0.3214,0.3833,0.0623,15.5605,2.8286,0.8164,2.3785,5.4834,4.6812,3.8661,3.3134,3.6733,2.6408,3.7099,10.0653,6.5208,3.799,9.5272,1.039,2.7379,12.9168,8.9277,17.0683,75.7175,9.8749,1.4176,3.3369,10.1916,21.6698,16.5529,33.5151,49.2401,3.6565,115.6196,29.387,34.5706,25.7159,91.3875,11.0525,14.4114,32.085,11.9286,0.0
HUN_I,2.233,0.0662,1.4104,0.2239,0.2253,10.1514,1.8135,1.749,2.2178,2.8892,4.7902,6.5561,4.4689,4.7238,1.9667,13.0167,20.5762,5.3705,5.7695,4.8327,1.2178,3.5026,2.9339,5.0821,44.4833,69.6474,12.3275,0.4552,8.0801,0.276,1.3366,72.3017,5.7746,7.2223,14.7633,7.3644,15.6093,15.6986,23.2266,13.205,5.2696,32.4908,8.3839,22.2483,0.0
HUN_J58T60,7.2569,0.0267,0.0283,1.7381,0.0429,163.0447,3.0806,3.8181,10.1242,13.3267,5.1788,11.0811,12.4923,5.9423,2.415,5.0371,30.9685,2.3292,6.6589,15.4595,0.3376,5.9281,3.3362,4.5875,15.0269,194.4227,8.7582,0.8287,5.1919,1.8158,1.4998,22.997,211.5272,76.5233,26.5832,143.0609,133.3176,233.9888,74.3813,26.3568,51.8378,15.3836,37.7075,33.8841,0.0
HUN_J61,23.7144,0.4204,0.6877,1.0903,0.2758,42.0428,5.4697,4.1868,14.1705,16.8876,8.0922,4.5059,10.1996,13.754,5.2733,16.0379,56.4454,12.0428,13.5841,26.783,2.0923,10.6024,14.2589,20.9104,104.1559,348.9946,72.8785,8.3965,9.4233,25.3722,1.3465,45.5008,125.2761,67.0507,53.8539,104.9684,61.0836,199.9776,111.4992,101.5641,36.7921,47.9811,63.2464,48.9344,0.0
HUN_J62_63,7.0251,0.0402,0.1667,0.718,1.3423,24.5646,2.3841,1.3929,4.1192,6.6977,6.0162,4.0839,7.7765,5.1397,16.9883,7.7837,153.0098,7.2687,11.1318,13.9312,2.0075,5.1455,24.5682,8.291,56.9908,119.5071,36.0382,0.6426,21.8275,8.8864,3.1298,10.57,34.068,71.0653,51.182,210.1535,54.7531,75.6358,34.2896,79.1071,29.0471,18.8707,14.4226,15.0121,0.0
HUN_K,110.5475,0.7816,2.5491,4.4093,1.4238,126.4729,19.9196,11.9997,32.0904,116.9668,60.2646,26.2902,56.8512,40.5034,32.0785,58.0407,173.2576,128.297,67.5708,100.8224,9.5428,37.1386,70.0647,44.8834,248.208,664.3583,133.8075,8.4548,18.76,58.7466,8.4187,91.5081,35.7955,133.1831,43.0262,1295.5269,523.3811,210.9735,134.5744,202.8441,26.4944,40.8005,23.3785,45.8074,0.0
HUN_L,37.6835,0.3043,2.9174,1.1994,0.1322,108.3272,14.6039,6.2122,30.9003,23.752,17.4964,18.4929,16.9428,15.0624,9.4144,36.8949,84.6807,24.7103,27.9521,45.997,12.6521,19.6508,49.9571,33.79,82.8043,849.509,118.6518,2.2121,12.1444,46.3555,4.8102,159.1921,80.425,116.1197,36.7712,308.3096,43.3856,235.0701,110.8124,169.8301,114.01,55.5562,75.4985,153.2532,0.0
HUN_M,67.9431,0.2459,5.3547,3.5059,5.0963,423.8569,29.6124,10.9417,61.3145,128.7418,53.2596,128.7253,77.5503,63.1324,40.584,59.2017,372.725,129.2198,75.5065,308.1194,38.8997,61.5161,69.0526,52.6049,328.4575,1028.7742,43.768,9.9294,31.4594,55.74,6.8623,118.8473,133.6623,152.3472,143.8818,115.8913,334.7467,640.5114,289.6698,61.0698,41.9386,55.7117,63.9281,92.1089,0.0
HUN_N,49.7471,0.2316,2.9821,4.8216,4.686,164.5362,27.2399,13.3195,75.0701,78.6479,38.6473,36.9485,39.1816,36.5139,31.2417,70.0696,202.91,48.6909,44.8706,52.4263,24.1509,46.3071,57.9783,63.2916,237.1846,598.1517,104.5433,8.1779,53.6345,62.8549,65.0639,149.4725,96.8154,160.4361,83.5521,207.3193,231.0246,365.2176,179.2077,43.1538,76.064,45.1561,80.5442,69.3094,0.0
HUN_O,26.2789,0.1985,0.4933,0.7044,1.1952,12.4524,5.7746,2.8794,5.6004,14.167,13.2685,5.8638,9.3441,9.6677,13.3195,17.1728,17.02,2.0025,16.7903,20.28,1.9916,5.2073,19.796,28.5698,58.7691,96.3676,43.4228,1.877,4.8888,22.0713,0.5951,42.7581,12.6456,73.4864,5.1459,45.706,22.7097,35.2912,22.766,216.5253,37.9222,12.5578,47.9587,23.8452,0.0
HUN_P,11.998,0.1525,0.4974,0.4245,0.0922,31.1699,2.1736,2.0142,3.7646,5.1677,5.6645,7.8932,6.8365,6.9195,5.1304,9.8562,24.2282,7.2802,13.0973,22.2545,1.4711,4.0185,7.7448,8.1875,34.8909,139.347,22.0349,0.9598,3.6451,6.4819,1.8531,6.7702,13.2336,24.5138,19.1899,45.5806,13.4572,61.5498,29.9914,38.9674,150.8446,34.1558,9.1659,31.1938,0.0
HUN_Q,3.6363,0.1529,0.0964,0.1262,0.0272,4.0648,1.7515,1.3147,0.9548,1.2764,0.2355,2.0355,1.2176,2.3651,1.9016,2.2543,3.0112,1.582,2.0706,1.9857,0.4624,1.9228,1.3679,2.1445,5.6768,18.7736,4.0641,0.0455,0.5315,2.8767,1.6953,4.5897,0.5489,1.6629,0.8339,3.1992,3.5998,2.5216,2.1162,3.0145,1.5786,178.4932,0.6764,6.4843,0.0
HUN_R,2.0285,0.0042,0.0167,0.3036,0.0191,31.0781,0.4726,1.215,1.964,1.7777,0.6876,0.7646,0.788,1.1981,0.5738,1.927,1.1542,0.3684,1.7778,2.1841,0.2193,1.1787,0.5453,0.7029,7.6841,35.2498,4.2107,0.0671,0.1906,3.5426,0.8363,5.7233,25.8977,6.8558,4.693,16.4855,4.8051,18.5185,27.1696,2.9681,0.9265,3.2427,123.6529,6.972,0.0
HUN_S,27.2068,0.4539,0.372,0.7606,0.0826,25.2479,3.3534,1.4474,6.2848,4.6809,4.5554,3.0539,3.8602,4.8328,4.1445,8.0191,8.9771,2.6109,13.5748,5.4593,0.8739,3.5762,5.9827,8.4759,30.5143,328.0432,24.7655,0.6274,2.7298,6.5322,1.5661,22.0236,36.7315,22.6309,19.0892,7.5228,14.6311,74.8669,55.9596,18.5918,12.8499,16.0881,60.9993,82.636,0.0
HUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
