V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_C20,212.8927,0.2812,12.9035,2.2883,0.5705,10.6222,67.2301,20.3671,8.094,57.3736,106.817,39.4894,50.4104,21.5832,14.3549,12.697,3.028,22.2182,2.4375,3.6771,0.6349,8.6647,0.2325,7.2893,5.7964,3.5906,1.1864,1.3156,0.5421,1.6612,0.017,12.3545,0.0158,0.0446,0.0059,0.3534,16.3335,0.037,5.1498,8.179,2.0674,46.0898,1.3617,4.7256,0
EGY_C21,0.0081,0.0041,1.1933,1.2627,0.3188,3.2776,37.3453,11.7306,4.6334,31.325,47.6527,29.9317,36.8002,12.2159,6.3274,5.767,1.7016,12.4813,1.3648,1.9243,0.2584,4.7919,0.2345,1.4824,2.0727,1.2544,0.1746,0.5853,0.1041,0.8591,0.0092,6.9261,0.0003,0.0011,0.0002,0.1306,2.6883,0.0005,2.9411,9.0605,1.8031,35.809,0.7328,3.3713,0
EGY_C22,0.5463,0.0128,2.807,0.4797,0.1393,174.2484,10.7711,3.0601,4.1019,7.3527,13.9347,5.4214,24.4114,1.3016,1.2537,5.8669,2.1317,32.8068,1.9527,17.9056,0.3128,7.3414,0.1259,1.4464,30.445,5.4738,5.6628,0.069,0.0001,6.9873,0.0022,2.3964,0.0371,0.0882,0.0113,0.0313,6.5742,0.3024,0.3337,2.2535,0.4479,1.7219,0.0982,0.2855,0
EGY_C23,0.2551,0.0176,3.7325,1.576,0.4126,4.3281,7.5588,2.6334,0.5396,46.852,11.837,4.6015,6.8074,225.3821,113.3256,12.2775,3.5927,20.6444,4.4911,10.1322,0.7562,7.6043,0.2392,0.0931,570.4217,6.1637,0.1314,0.0168,0.014,0.2451,0.0005,17.3923,0.0059,0.02,0.0023,0.211,395.3018,3.5243,4.7633,26.2658,8.7797,66.6297,0.5745,1.833,0
EGY_C24,0.0073,0.0,45.0602,3.0366,1.7433,5.0591,4.094,2.9593,1.9796,22.9524,6.9141,2.6677,7.9404,13.3184,820.0882,358.6225,27.1829,184.5309,56.4479,74.1405,2.947,65.9295,29.6705,7.1359,401.679,14.8804,14.4164,6.8536,1.6326,4.683,0.5105,3.5272,8.2466,18.9594,2.4266,0.3693,4.0176,15.8444,7.0115,10.3872,2.6491,4.596,1.9291,0.4173,0
EGY_C25,0.7423,0.3218,11.8155,2.3079,0.8116,4.6946,4.3644,2.9157,0.7598,15.1319,10.2368,4.1224,4.5224,8.1011,11.6637,69.6907,1.8437,40.9792,4.2893,30.2552,2.5348,15.1603,4.8373,0.1157,235.0096,7.8982,0.8388,0.3741,0.0821,2.1972,0.0035,7.4274,0.0562,0.1353,0.0167,0.2181,13.9522,3.0924,2.9349,3.5534,4.6989,3.6629,0.3775,1.2003,0
EGY_C26,0.0,0.0,2.2253,0.0132,0.0282,0.0508,0.0389,0.0056,0.009,0.0808,0.0569,0.0221,0.0192,0.029,0.2363,0.1258,4.4261,1.8278,0.7527,0.1805,0.0025,1.0554,0.4705,0.1051,0.4049,0.3817,0.0174,0.0275,0.0479,0.4375,0.0362,0.1887,0.6235,1.4318,0.1832,0.0484,0.0003,0.6066,0.3099,0.7723,0.2429,4.536,0.3146,1.8314,0
EGY_C27,0.0631,0.0298,1.7088,1.1772,0.3519,7.426,0.6411,0.1794,0.3282,4.0217,0.6395,0.2709,0.4677,1.6736,0.5224,1.5707,1.2359,61.153,3.9052,1.4134,0.3534,0.7024,15.5977,0.7604,33.4669,1.6901,3.7784,2.3933,1.3635,0.4607,0.1191,0.3392,2.0502,4.7083,0.6026,0.2075,4.5628,1.0898,1.0382,4.1342,0.4664,0.6912,0.0597,0.2762,0
EGY_C28,0.0264,0.001,0.0457,0.1754,0.0698,4.2681,0.3454,0.0991,0.1614,1.6979,0.2341,0.0911,0.1866,0.8516,0.271,0.7367,0.1611,0.6901,1.1615,0.1894,0.0608,0.2903,0.6986,0.2107,3.0142,0.3031,0.0458,0.4775,0.0008,0.0274,0.0,0.0737,0.0013,0.0012,0.0002,0.0013,0.4384,0.1142,0.147,0.737,0.0905,0.0513,0.023,0.1219,0
EGY_C29,0.0057,0.0098,6.1473,0.2957,0.1219,0.3192,0.2503,0.1352,0.0598,1.0998,0.1635,0.0616,0.0953,0.7669,0.3867,0.4116,0.0468,0.1911,0.2748,44.727,1.158,1.1822,0.6311,0.1562,2.1228,14.2135,11.1716,7.9431,7.4646,1.6278,0.0067,0.7133,0.1197,0.2823,0.0312,0.2682,1.2149,0.1593,0.5722,8.3419,0.0978,0.928,0.2109,0.8499,0
EGY_C30,0.0001,0.0,1.31,0.04,0.0171,0.0046,0.027,0.0162,0.0066,0.1474,0.0111,0.0083,0.0077,0.0623,0.0438,0.0381,0.0067,0.0161,0.018,0.5434,4.6521,0.4586,0.0705,0.0069,0.2223,1.2186,1.126,4.7172,4.853,0.2801,0.0005,0.0784,0.0087,0.0167,0.0039,0.0303,0.0005,0.0171,0.0809,3.1008,0.0131,0.1559,0.0369,0.1532,0
EGY_C31T33,2.0803,3.4834,0.4419,0.2716,0.0589,59.4917,2.7187,0.3554,0.2437,7.6856,0.7252,0.275,0.3271,0.907,1.0475,0.9188,0.3074,0.5746,0.1531,0.4347,0.0199,0.7615,0.2936,0.1355,3.8837,3.8606,6.75,0.455,0.4775,0.4948,0.0072,7.5219,0.0868,0.2875,0.0281,0.3111,51.0345,0.3424,0.6797,1.4482,0.603,2.2949,0.5066,1.5577,0
EGY_D,2.1811,0.0611,114.1081,8.4531,2.6644,141.5028,31.7205,12.1619,15.9115,87.0341,14.14,5.5013,18.3381,48.5325,217.178,25.2779,1.023,12.2477,4.7633,4.9759,0.7726,10.7802,1179.3509,23.6346,30.9724,70.1042,1.7756,0.3361,1.2581,4.4295,0.3172,173.4352,4.277,18.7845,1.5849,3.5605,6.9118,2.6974,3.4953,54.3973,30.0888,77.1631,12.333,62.4923,0
EGY_E,0.2835,0.0066,15.3822,0.5176,0.7137,19.1173,4.2512,1.6409,1.504,11.7896,1.9108,0.7436,2.4724,6.5543,42.5046,24.4732,0.1373,1.6448,3.098,0.6686,0.0314,1.4525,112.7784,2.4891,15.4896,8.0079,0.3268,0.1248,0.1333,0.6376,0.02,0.0319,0.0872,0.03,0.0595,1.0315,1.3738,0.0369,0.0124,5.4926,2.4961,1.6024,1.3951,0.2739,0
EGY_F,0.1477,0.0,0.2732,0.3027,0.1094,2.1624,0.2728,0.1454,0.1349,0.4773,0.2157,0.0839,0.1087,0.1987,0.3283,0.2641,0.0552,0.3607,0.075,0.0853,0.0078,0.4935,0.475,12.2934,60.8548,8.6802,0.9435,0.0093,0.0029,0.0821,0.0756,4.8188,0.6731,4.0705,0.3575,0.5831,19.3962,0.2498,0.159,15.0726,2.4849,11.1522,0.2487,1.0804,0
EGY_G,320.9965,19.9735,37.7222,4.0946,1.1292,900.212,147.6424,25.5671,24.3856,328.9506,35.972,15.0841,22.7592,63.6224,94.0985,27.422,5.7663,39.251,5.8288,21.9664,2.803,73.6534,199.3236,4.4599,203.8739,33.9202,12.129,7.5788,9.5485,5.6685,0.2213,86.7455,2.4515,6.4858,0.8281,4.9533,83.0743,10.6085,9.253,27.8289,7.773,58.5334,3.5165,13.0815,0
EGY_H49,18.4902,0.486,6.9288,1.6863,0.42,58.1043,13.6875,4.2802,3.2926,75.7151,8.1116,3.2349,3.2953,10.1548,21.106,7.2158,0.9224,5.615,1.1819,2.462,0.161,9.5314,25.978,0.425,18.3448,23.6643,58.6848,34.0336,25.9925,106.4657,0.0864,25.5749,0.8735,4.6061,0.4186,0.617,3.824,2.0452,2.2133,9.2012,2.5368,25.9011,1.0914,4.1482,0
EGY_H50,4.6044,0.1181,1.1067,0.127,0.0405,10.1774,3.0122,0.9526,0.8836,10.3819,1.6921,0.6539,0.848,1.5769,9.1937,3.0053,0.4617,2.6196,0.6006,1.5689,0.1268,3.8227,4.4362,0.184,6.7546,45.835,4.4985,55.2727,0.4484,0.712,0.0104,3.3619,0.1438,0.4592,0.0505,0.2162,0.7143,0.3771,0.3782,1.5547,0.28,1.2415,0.1287,0.4687,0
EGY_H51,18.6079,0.492,4.1002,0.4064,0.1375,43.3324,10.384,3.3589,3.0704,43.5068,4.8171,1.8822,2.627,5.5269,28.6866,9.3077,1.4395,7.7386,1.7708,4.5413,0.2991,9.9686,20.3041,0.5427,21.5199,0.5057,0.3909,0.1302,0.0874,0.0892,0.0693,6.0518,0.0753,0.0895,0.0867,0.2324,3.1049,0.9178,0.7437,0.0918,0.2862,3.2969,0.1738,0.6501,0
EGY_H52,11.7039,0.314,3.1555,3.6157,0.8142,32.1759,22.3035,6.8231,5.3649,73.0381,14.099,5.5444,5.089,15.0816,27.0929,10.9987,0.5637,4.1501,1.5861,1.6672,0.0955,8.9869,18.982,0.3683,21.5544,34.9947,146.1394,117.958,98.6007,347.6543,0.2612,55.7016,2.3907,13.9965,1.2391,0.3783,3.4279,3.8673,5.459,24.6994,5.6354,85.7151,2.7435,10.5415,0
EGY_H53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0608,0.0001,0.0,0.0,0.0088,0.0029,0.0016,0.0009,0.0,0
EGY_I,0.119,0.0031,27.4895,0.5271,0.3837,0.4951,0.5244,0.19,0.1625,0.8514,1.0797,0.4051,0.2227,0.5102,0.565,0.4976,0.0976,0.4167,0.1197,0.1321,0.0165,0.4869,0.8144,0.0403,2.1351,7.2921,3.2565,0.9569,10.5745,20.5063,0.0093,0.8978,0.0816,0.483,0.0458,1.7583,0.0762,0.6169,0.7742,1.5864,1.3138,1.6046,0.3132,1.5393,0
EGY_J58T60,0.0109,0.0006,0.1034,0.0258,0.0069,1.4804,0.5765,0.1197,0.2208,0.5767,0.239,0.1337,0.2177,0.1598,0.233,0.1952,0.0261,0.2014,0.0377,0.1101,0.0044,0.2439,0.0853,0.0348,0.3019,4.9325,0.7735,0.0761,0.5929,0.5113,0.1291,1.1094,1.8155,1.3939,0.3027,0.58,0.0119,0.5372,0.3477,1.1707,0.7056,1.0137,0.2965,1.253,0
EGY_J61,0.3141,0.0126,2.3023,0.9197,0.2095,24.4734,3.2675,2.8324,2.0766,0.1172,3.328,0.805,1.7805,4.2541,5.185,6.0787,0.5853,4.5036,1.1556,0.4008,0.0992,6.4682,2.3187,1.6854,12.2355,112.4498,7.6448,1.6668,2.3707,18.9455,0.0242,31.418,4.3849,78.9153,1.6256,8.9399,0.2703,7.5454,9.4384,15.1198,5.0253,22.7541,4.5496,15.3574,0
EGY_J62_63,0.055,0.0014,0.1385,0.0914,0.0135,1.6713,0.3148,0.143,0.1336,0.011,0.2604,0.0724,0.1164,0.3028,0.302,0.4224,0.0673,0.3537,0.0831,0.0364,0.0054,0.4484,0.2377,0.1323,0.6742,6.5641,0.525,0.1198,0.2425,1.4005,0.0098,1.2003,0.4553,1.3922,0.5323,0.9232,0.0162,0.5591,0.5991,1.3435,0.3874,1.3571,0.3532,0.9548,0
EGY_K,18.2581,0.0254,14.8647,4.2688,0.9383,74.8548,56.4833,10.264,7.9444,119.9827,63.7061,26.8732,12.8083,53.7974,26.6244,17.2277,4.7365,15.7017,4.5184,4.2503,2.8271,12.8248,18.0676,2.6122,90.0129,98.7724,43.6881,17.7066,162.7466,24.6137,0.7893,104.8468,3.216,51.8358,1.5938,120.1694,5.0086,7.9174,12.1739,49.0907,14.3603,27.7773,3.2928,23.9564,0
EGY_L,8.591,1.0995,11.31,1.8791,0.4469,115.2935,11.3735,2.0989,2.7735,8.3972,5.0092,1.933,3.0126,6.2452,5.1172,7.6838,1.153,4.2956,1.0205,0.8448,0.1585,11.3978,2.1909,3.1301,4.5896,242.2968,32.0671,8.5631,3.3079,19.9458,0.3276,137.7894,1.6689,6.3674,2.4795,61.3433,11.1869,6.4295,8.0971,35.5517,8.5438,116.2875,6.6326,26.1308,0
EGY_M,0.4683,0.1007,113.6485,4.8104,2.4142,31.2815,22.197,1.8931,14.2686,43.5366,64.4434,17.6739,12.2012,15.4899,22.0598,11.3316,2.0582,12.0829,4.8232,5.8739,0.5867,17.6656,14.9686,7.9916,82.4823,302.1336,12.2163,3.0631,3.6338,21.1924,3.4887,84.4267,21.1684,142.7785,12.7909,25.6387,6.5283,37.1236,28.9728,139.8449,57.0987,29.878,11.6872,101.6805,0
EGY_N,1.1629,0.0023,113.1121,7.7915,1.0228,24.0563,29.5562,0.4655,23.3674,101.4252,13.2392,24.5266,20.1527,3.0034,16.6198,4.7717,2.2821,13.7272,6.7929,4.0678,0.4084,25.6074,9.5999,1.6804,87.7333,87.9391,20.138,3.6595,8.3673,62.4511,0.2066,48.6665,17.5216,64.0168,14.9098,2.0196,5.1216,22.1665,38.7527,15.7927,45.5608,62.9143,32.3937,83.4608,0
EGY_O,0.0005,0.0,0.5439,0.005,0.0084,2.5346,0.0134,0.003,0.0598,0.0857,0.0766,0.0299,0.0062,0.0575,13.544,8.5235,0.005,0.0311,1.0015,0.0262,0.0003,0.0165,0.0081,1.0499,0.0194,0.3074,0.0227,0.0073,0.0331,0.0565,0.0021,0.0387,0.1167,0.1148,0.0266,0.2097,0.4402,0.0126,0.0159,1.1378,0.4362,2.5749,0.352,0.3256,0
EGY_P,0.0,0.0,1.1551,0.0035,0.0165,5.3481,0.0276,0.0048,0.0146,0.1316,0.1587,0.0617,0.0125,0.0391,0.0871,0.0279,0.0104,0.062,0.0183,0.0536,0.0002,0.0333,0.0154,0.0011,0.0317,0.6538,0.0112,0.0156,0.0705,0.0744,0.0013,0.0786,0.0965,0.0018,0.0001,0.1321,0.0097,0.0265,0.0256,1.311,0.6071,5.4758,0.1262,0.5287,0
EGY_Q,0.0,0.0,0.0008,0.1496,0.0415,0.0859,0.2249,0.0468,0.0492,0.5976,0.3515,0.1295,0.0,0.3028,0.9536,0.3649,0.0087,0.2074,0.0976,0.0484,0.0,0.0615,0.0,0.0,0.0,0.0,0.3852,0.0,0.134,0.0,0.0014,0.0,0.0125,0.0804,0.0064,0.18,0.0,0.0,0.0,2.5353,0.2706,20.7248,0.0918,0.4209,0
EGY_R,0.0001,0.0,0.013,0.0129,0.002,0.0168,0.2488,0.0142,0.0168,15.1403,0.1315,0.0482,0.0436,0.0261,0.0395,0.0191,0.0024,0.0173,0.0047,0.0283,0.0004,0.021,0.0109,0.0254,0.0634,0.3485,0.1861,0.0733,0.1104,0.3156,0.0691,0.122,0.4278,3.7677,0.3068,4.8805,0.0007,0.0336,0.0825,3.3955,0.0787,0.2877,0.4989,2.2186,0
EGY_S,1.3727,1.4686,5.2056,1.4574,0.2323,43.4026,4.6313,0.8259,0.6878,15.6867,3.0732,1.2147,0.9151,3.9871,3.3984,1.5643,0.3463,2.828,0.6931,1.046,0.1024,2.0293,0.792,0.6087,57.0374,33.5966,6.5428,4.4233,0.9885,11.2137,0.0264,7.4643,0.5455,4.8365,0.2366,5.9164,146.7915,1.2548,1.8256,4.312,4.1742,7.1197,19.2693,75.486,0
EGY_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
