V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_C26,0.2846,0.0212,0.0788,0.0204,0.0004,0.3411,0.1073,0.2557,0.2337,0.0476,0.1055,0.0028,0.6756,0.1726,0.0031,0.4826,19.243,2.6187,0.1917,0.0633,0.0463,0.4226,0.3758,0.1903,2.9019,1.5617,0.4356,0.0414,0.0897,0.394,0.0011,0.2388,0.1934,2.0247,1.7823,0.5723,0.3847,1.1297,0.5773,1.2551,0.5512,3.9673,0.2421,0.3735,0.0
EST_C27,0.9014,0.1176,0.3192,0.0605,0.0022,0.86,0.2979,1.0841,0.1784,0.1096,0.2554,0.0149,0.4275,0.5552,0.018,1.1185,12.2892,13.1577,0.6752,0.2354,0.1483,1.9553,3.0473,0.3909,8.7595,3.4252,1.132,0.1191,0.3477,1.4739,0.0069,0.2993,0.082,0.3928,0.2175,0.1279,0.7307,0.865,0.7241,0.4556,0.3559,0.5549,0.2532,0.3748,0.0
EST_C28,3.2445,0.0787,1.1954,0.1717,0.0072,1.881,0.5036,2.188,0.9241,0.4218,0.9827,0.0118,0.8133,1.5097,0.0371,3.5043,0.4753,0.8695,4.2058,0.4409,0.1921,3.5869,1.5549,0.7409,6.1465,4.1992,1.0819,0.1701,0.2567,1.7645,0.0039,0.3748,0.0722,0.0837,0.0742,0.169,0.8327,0.9275,1.1729,1.9844,0.3688,0.2767,0.2429,0.3349,0.0
EST_C29,0.4575,0.0087,0.0623,0.0411,0.0023,0.2354,0.0433,0.3112,0.0348,0.0109,0.0756,0.0013,0.3685,0.3396,0.002,0.6095,0.0285,0.0514,0.3636,4.7217,0.0462,0.2808,0.0994,0.0619,0.8565,3.9114,5.9517,0.0352,0.0919,0.3957,0.001,0.034,0.0193,0.0251,0.0084,0.0502,0.12,0.0616,0.4102,0.3263,0.0365,0.0367,0.0285,0.0155,0.0
EST_C30,0.0108,0.4549,0.0005,0.0,0.0,0.0231,0.0018,0.0025,0.0004,0.0,0.0047,0.0,0.004,0.0001,0.0001,0.0042,0.0002,0.0044,0.0031,0.0004,0.4345,0.3644,0.0526,0.0338,0.0414,0.0304,0.1907,1.633,0.2262,0.0201,0.0,0.0044,0.0066,0.0002,0.0016,0.0,0.0235,0.0112,0.2977,0.2736,0.0234,0.0157,0.1527,0.0167,0.0
EST_C31T33,11.1067,3.3391,4.6274,0.5619,0.0423,8.3964,5.2581,23.242,2.6971,2.6466,3.6924,0.0573,3.156,8.0389,0.138,9.1803,1.0438,1.9852,2.2539,2.3525,3.6045,58.1125,9.7486,1.5381,25.4553,26.7361,16.2549,2.4451,9.9339,17.3835,0.1845,5.4279,0.9857,1.9026,0.6455,2.6234,5.678,5.0698,11.8883,9.6466,14.4269,6.7572,15.2676,4.499,0.0
EST_D,21.9909,0.4958,10.3891,1.8066,0.0475,29.0337,10.2984,21.8109,8.9614,4.8563,21.7433,0.0125,5.4935,14.3996,0.5548,9.4653,1.1426,5.5586,3.0831,2.0904,0.5651,12.7997,57.1246,8.233,13.1337,56.1137,15.1409,1.3664,0.8716,19.3438,0.0384,15.1096,1.0209,5.1484,1.5023,3.1727,12.8331,7.1858,2.9192,21.5639,30.1596,18.7647,12.6232,6.2364,0.0
EST_E,1.8758,0.1473,0.3482,0.0954,0.0021,8.6477,2.2258,2.1406,2.8254,0.9939,1.7864,0.028,0.7049,3.5019,0.4374,1.4368,0.3005,0.3418,0.4225,0.3088,0.092,1.9071,1.4039,12.4833,10.8532,10.7385,2.996,0.7471,0.1785,4.2229,0.0057,3.9816,0.4968,0.5143,0.2517,0.6975,6.2016,2.2911,1.9286,18.0044,5.2881,5.1217,2.4521,1.9364,0.0
EST_F,9.8236,0.1781,1.3007,0.3327,0.0114,7.0836,1.4814,7.6279,0.9634,0.6646,1.1899,0.0338,1.3054,8.1442,0.2858,4.8317,0.7414,0.9487,1.8103,0.921,0.3857,4.0516,9.3142,4.1287,112.2868,39.6268,4.3044,1.5984,0.5375,14.6507,0.0185,5.1986,0.5509,4.1163,0.861,3.554,102.7265,9.0152,4.0697,34.6961,18.4087,10.1904,7.4828,2.0249,0.0
EST_G,68.4417,2.9148,7.3224,2.0137,0.0705,127.7533,42.5741,88.2752,20.5735,3.6647,29.2254,3.4859,21.3368,25.6414,2.0907,49.7618,7.9573,9.2489,13.3562,11.3489,2.3001,49.9963,28.6169,8.7983,163.01,149.4095,109.0428,11.2652,7.2263,28.275,0.1912,38.3476,12.8313,6.2383,3.9407,5.6279,22.5713,23.7288,18.0955,24.5266,19.0779,20.7481,12.4636,8.0557,0.0
EST_H49,22.9805,0.559,4.096,1.983,0.0471,26.6806,7.0611,35.4437,6.4995,2.2302,7.2347,0.3522,4.067,17.552,0.627,13.9199,1.8372,3.4196,5.915,3.2438,0.6545,12.2298,6.8565,3.0855,52.9239,80.4557,23.5782,4.1013,2.5818,274.3324,0.1919,4.5623,1.5053,1.1906,1.0891,0.641,3.4144,4.311,8.8165,3.9795,4.0693,3.098,2.1857,2.7092,0.0
EST_H50,3.229,0.1584,0.3189,0.301,0.0033,3.7331,1.199,2.713,0.5809,0.3656,1.1592,0.1296,1.0745,0.8986,0.1291,2.6463,0.6308,0.6319,0.7229,0.4104,0.2128,1.6645,1.0744,0.5393,6.2795,5.587,3.8576,3.8312,0.8561,22.5736,0.0045,1.1794,0.441,0.6415,0.3298,0.8097,0.8011,1.8819,1.2923,1.0317,0.5543,0.6892,0.6622,0.5081,0.0
EST_H51,0.8162,0.0585,0.0987,0.0274,0.0009,1.3071,0.4517,1.0042,0.2639,0.0697,0.4624,0.0512,0.3479,0.4263,0.0668,1.2799,0.2511,0.3,0.3334,0.2113,0.0761,0.8296,0.524,0.1631,2.3283,1.7454,1.4577,0.3406,0.251,1.761,0.1059,0.3872,0.1658,0.3659,0.1059,0.2105,0.3481,0.6526,1.0463,1.2222,0.2192,0.2759,0.3716,0.185,0.0
EST_H52,27.6769,2.1277,1.7911,0.9451,0.0169,8.8821,1.2898,6.5649,1.8438,1.0673,4.5026,0.0389,1.1638,4.2896,0.1034,4.0699,0.82,0.9762,1.1857,0.7925,0.5667,9.8667,1.3839,1.6632,15.3139,68.3971,170.9874,56.581,40.2282,259.5513,0.0276,3.7582,0.5077,0.3241,0.578,0.7023,1.7987,3.6242,11.0805,6.2307,0.731,0.6835,1.1253,2.3988,0.0
EST_H53,0.1208,0.007,0.0135,0.0053,0.0001,0.1904,0.0598,0.1146,0.039,0.0049,0.0434,0.0018,0.046,0.0361,0.0014,0.0628,0.0106,0.0209,0.0211,0.0146,0.0072,0.1378,0.4904,0.0956,0.2556,2.164,0.2451,0.0352,0.0299,0.5497,7.423,0.1214,1.0495,12.509,0.0592,0.7925,0.3775,1.2125,0.5194,0.9632,0.126,0.1555,0.3913,0.1825,0.0
EST_I,0.3466,0.0703,0.0383,0.0123,0.0005,0.5524,0.1729,0.5886,0.1706,0.0289,0.2152,0.0012,0.2222,0.2201,0.0003,0.4626,0.1213,0.2585,0.0711,0.3738,0.1078,1.583,0.0771,0.0525,2.487,5.0645,3.2918,0.1442,2.5167,0.7253,0.0005,0.1937,0.4141,0.2679,0.9751,1.1354,0.3756,2.6602,2.8578,8.3513,5.4221,2.8282,1.4232,0.8989,0.0
EST_J58T60,1.5018,0.0576,0.154,0.0218,0.0001,3.8369,0.6525,0.8807,2.2573,0.2469,0.6873,0.0087,0.5646,0.2371,0.0009,0.8581,0.1352,0.1484,0.1086,0.3537,0.0307,1.7087,0.3932,0.1542,6.3582,21.4125,5.0749,0.3181,0.4487,3.1061,0.1236,2.3047,19.1019,2.1051,2.7774,2.8453,1.5888,18.8039,4.2382,8.0913,14.9927,1.9546,6.224,2.9199,0.0
EST_J61,4.9469,0.4668,0.3767,0.1752,0.0033,4.416,1.3406,3.3188,5.4516,0.1014,1.4371,0.0143,1.3907,2.0628,0.0078,2.1456,0.7365,1.106,1.1201,0.3271,0.257,1.8203,5.4216,1.6255,14.4805,60.6756,14.2881,1.7373,0.9543,18.0501,0.0069,2.7483,12.7558,186.2416,9.9364,11.1347,13.357,28.9985,10.1561,21.2031,6.4593,4.0945,5.2642,2.2728,0.0
EST_J62_63,1.4817,0.0238,0.3425,0.059,0.0015,1.665,0.5601,0.8768,0.3848,0.9315,0.9419,0.0177,0.4537,0.6775,0.009,1.0664,0.6449,0.8239,0.725,0.2681,0.1116,0.8689,1.293,0.4325,5.0667,13.2488,1.4918,0.4007,0.2775,9.1191,0.0021,1.0021,1.509,2.3593,20.2404,9.3467,1.6788,13.3599,4.7714,10.7309,2.9684,2.4575,1.1311,1.4664,0.0
EST_K,9.0326,0.8447,0.7515,0.2429,0.0046,9.0914,2.6909,6.8982,2.3663,0.768,3.3949,0.015,1.9446,3.022,0.084,5.0622,0.9468,1.7009,2.0605,0.9403,0.3876,6.152,6.3887,2.8115,20.788,69.3659,13.5773,5.0122,2.5958,17.8035,0.0721,6.8763,1.6113,7.3146,3.975,168.7294,34.8331,23.1346,12.0266,15.3361,4.7958,4.576,6.3341,4.3941,0.0
EST_L,5.1038,0.1188,0.3896,0.3999,0.0034,5.85,1.7538,2.5304,1.4623,0.587,0.9102,0.0048,3.049,1.7349,0.0437,5.95,1.4697,2.3515,1.5066,0.9173,0.7131,7.6502,3.1166,2.3448,16.8039,127.5688,6.6559,1.0085,0.6449,20.6596,0.0156,24.8272,2.0563,5.4936,4.4596,11.5991,41.7164,16.4345,6.6363,14.1932,6.935,3.5902,7.8559,4.2672,0.0
EST_M,7.4677,0.5869,0.9651,0.6241,0.0177,25.6908,5.1367,7.0527,6.9807,3.1467,10.8589,0.2642,7.2782,9.334,0.0495,7.6477,1.5801,5.4645,3.7013,2.9413,1.8586,34.4121,11.895,8.2592,100.1274,126.5488,14.4584,16.1222,3.5977,27.9345,0.1125,16.3659,7.0092,21.7215,6.8398,15.1473,19.5941,92.6503,24.7654,36.5822,10.6852,7.4584,14.7054,12.9133,0.0
EST_N,4.6008,0.6548,0.6127,0.3664,0.0097,9.4374,2.1597,4.4962,4.0809,1.2851,4.0352,0.0163,2.6529,3.688,0.0512,5.498,1.7201,2.2161,1.9945,0.7906,1.0451,7.0158,5.7363,4.4106,39.8325,56.9593,23.617,30.4948,6.5428,28.9972,0.2283,7.733,1.1845,14.0884,4.0097,10.3239,15.3165,30.9444,40.4444,23.5225,7.4294,6.8289,11.7175,6.1893,0.0
EST_O,1.942,0.3538,0.3076,0.0488,0.001,2.5138,0.3661,0.7515,0.3218,0.0869,0.4636,0.002,0.3268,0.4523,0.0141,0.7407,0.1629,0.3906,0.305,0.2488,0.0861,1.0432,1.5655,0.9519,5.9224,18.8146,3.5439,0.8264,0.516,5.4279,0.0036,1.7228,2.3819,4.2941,1.0462,1.1131,3.8409,6.4816,2.7297,11.9949,1.2246,1.3508,0.6869,0.8075,0.0
EST_P,0.4935,0.0262,0.126,0.0442,0.0013,1.4689,0.3035,0.7307,0.3043,0.069,0.484,0.0036,0.4407,0.746,0.0022,1.1904,0.3064,0.5969,0.2801,0.2181,0.1538,1.1443,1.4028,0.507,2.6727,9.1213,1.3022,0.1817,0.4448,2.0602,0.0025,1.8213,0.9751,0.8746,0.8259,2.454,2.4182,4.0357,1.286,14.3797,16.374,3.7434,1.5074,0.8594,0.0
EST_Q,2.9142,0.0107,0.2342,0.0077,0.0015,0.5889,0.0686,0.0801,0.1826,0.1314,0.25,0.0008,0.0497,0.0867,0.0004,0.2449,0.0212,0.1088,0.0285,0.2601,0.0467,0.2605,0.1433,0.0304,1.1172,1.1108,0.1875,0.0877,0.1416,0.2568,0.0003,0.2412,0.1114,0.055,0.139,0.3771,0.3428,0.8864,0.1326,0.5814,0.3588,21.536,0.5013,0.2904,0.0
EST_R,0.0718,0.0033,0.0063,0.0044,0.0,0.8454,0.0413,0.2872,0.0416,0.0114,0.0363,0.0013,0.0712,0.0736,0.0007,0.0665,0.0272,0.0329,0.0204,0.0289,0.0155,0.1015,0.0483,0.0447,0.2747,1.884,0.1182,3.855,0.0826,0.2175,0.0003,1.0621,0.6087,0.1017,0.2299,0.1227,0.3354,1.0822,0.4156,1.6886,2.4799,0.0973,18.3308,0.1913,0.0
EST_S,2.5351,0.1106,0.2015,0.1766,0.0009,2.1438,0.5086,0.7939,0.354,0.1415,0.4222,0.0032,0.2327,0.7187,0.0072,0.7021,0.0596,0.3775,0.1943,0.1602,0.0501,0.7491,0.3771,0.6449,3.4253,14.1689,1.3919,0.4716,0.0249,1.1458,0.013,5.6662,0.6091,3.1265,0.3766,1.2026,1.6927,2.5269,1.3806,2.7334,0.6157,2.5457,1.4968,2.308,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
