V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_C20,1.5124,0.2397,0,0.0095,0.0014,1.4529,0.9607,0.0972,0.1505,0.0658,0.272,0.0088,1.0189,0.0579,0.0031,0.0458,0.0,0.0,0.0,0.0033,0.0004,0.6501,0.1165,0.0937,4.0208,0.2946,0.0172,0.0034,0.0035,0.0092,0.001,0.0284,0.1146,0.0022,0.0262,0.002,0.4706,0.123,0.0915,0.0274,0.0751,0.289,0.048,0.0942,0
KHM_C21,0.2332,0.1123,0,0.0012,0.0001,0.326,0.0746,0.0097,0.0077,0.0054,0.08,0.1144,0.1185,0.0092,0.0001,0.0046,0.0,0.0,0.0,0.0004,0.0001,0.0819,0.018,0.0151,0.4059,0.0591,0.0031,0.0012,0.0015,0.0019,0.0003,0.0056,0.0127,0.0007,0.0077,0.0005,0.0595,0.0303,0.0137,0.0178,0.0281,0.6911,0.0155,0.0212,0
KHM_C22,1.2249,0.6993,0,0.02,0.0023,11.0172,2.6343,0.3443,1.4966,0.0486,0.3236,0.0265,11.3574,1.3648,0.0006,1.5864,0.0,0.0,0.0104,0.1146,0.012,0.4266,0.7517,0.5712,0.7824,8.8565,1.1106,0.0379,0.093,0.1864,0.0241,0.6833,0.7644,0.0444,0.021,0.0089,0.2386,0.0585,0.0433,0.3382,0.0211,0.095,0.1924,0.4058,0
KHM_C23,0.501,0.286,0,0.0103,0.0015,4.3109,0.9731,0.1312,0.3258,0.0163,1.032,0.1301,3.2046,2.1459,0.0002,0.4355,0.0,0.0,0.0001,0.0463,0.0057,0.1545,0.3325,0.1946,0.7643,3.6216,0.357,0.0616,0.0956,0.1655,0.0071,0.2735,0.2204,0.0211,0.0095,0.0036,0.0976,0.0268,0.0147,0.0162,0.0577,0.0389,0.0864,0.1781,0
KHM_C24,0.0453,0.0428,0,0.0117,0.0018,0.3517,0.5391,0.018,0.0339,0.0331,0.0063,0.0002,0.0565,0.0336,3.8433,3.943,0.0,0.0,0.0023,0.0938,0.0107,0.2239,0.0585,0.0429,4.8112,0.1594,0.4147,0.0951,0.1469,0.1828,0.0001,0.028,0.0233,0.0004,0.0014,0.0002,0.0146,0.0038,0.0015,0.0187,0.0193,0.0006,0.0085,0.0301,0
KHM_C25,1.362,0.5324,0,0.0567,0.0113,2.798,2.6235,0.023,0.0321,0.1369,0.0146,0.0008,0.1996,0.1913,0.0663,7.6766,0.0,0.0,0.0143,0.9452,0.1574,1.2189,1.4072,0.6357,7.4603,5.4874,2.1003,0.4477,0.4623,0.9793,0.2985,7.1099,0.0452,1.1381,0.0914,0.0847,0.7586,0.1794,0.1201,1.2693,0.1966,0.0548,0.0422,0.0797,0
KHM_C26,0.0009,0.001,0,0.0,0.0,0.0018,0.0028,0.0,0.0,0.0001,0.0003,0.0,0.0002,0.0,0.0039,0.0053,0.0,0.0,0.0002,0.0002,0.0,0.0007,0.0038,0.0017,0.0026,0.0055,0.0017,0.0003,0.0007,0.0008,0.0006,0.0018,0.0009,0.0112,0.0008,0.0014,0.0022,0.0008,0.0003,0.0184,0.0045,0.0061,0.0006,0.0016,0
KHM_C27,0.0001,0.0001,0,0.0,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0006,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0002,0.001,0.0004,0.0002,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0004,0.0,0.0,0.0003,0.0,0.0,0.0009,0.0002,0.0002,0.0,0.0001,0
KHM_C28,0.0568,0.0198,0,0.0113,0.0015,0.0716,0.3255,0.0025,0.0023,0.0253,0.0009,0.0001,0.0134,0.0131,0.0707,0.0985,0.0,0.0,0.1211,0.0343,0.0074,0.0391,0.0995,0.0421,0.2157,0.1636,0.6153,0.1444,0.2057,0.2976,0.0073,0.3124,0.0067,0.0193,0.0018,0.0669,0.0213,0.0048,0.0042,0.0649,0.0381,0.0119,0.0073,0.013,0
KHM_C29,0.0635,0.0069,0,0.0098,0.0013,0.0268,0.0568,0.0004,0.0004,0.0138,0.0002,0.0,0.0027,0.0025,0.0004,0.0019,0.0,0.0,0.001,0.1212,0.0036,0.0129,0.0089,0.0066,0.4889,0.7286,1.4374,0.0278,0.0986,0.1876,0.0285,0.5744,0.0497,0.0415,0.0016,0.0001,0.0186,0.0032,0.0045,0.1511,0.0906,0.0016,0.0812,0.108,0
KHM_C30,0.0104,0.0043,0,0.0027,0.0004,0.0043,0.0138,0.0001,0.0001,0.0036,0.0,0.0,0.0004,0.0004,0.0001,0.0003,0.0,0.0,0.0002,0.0357,0.0112,0.004,0.0013,0.0009,0.0978,0.1004,0.3283,0.4879,0.5886,0.1429,0.0038,0.1033,0.0169,0.0042,0.0001,0.0,0.0031,0.0018,0.001,0.0734,0.0195,0.0005,0.0214,0.023,0
KHM_C31T33,6.5524,5.38,0,0.2687,0.0711,5.0893,4.4746,0.0773,0.0667,0.5539,0.0331,0.0044,0.2029,0.1908,0.1346,0.1295,0.0,0.0001,0.0101,0.0693,0.0176,2.1324,1.9062,1.3852,4.9663,4.416,4.945,1.3598,1.8145,2.7476,0.0818,4.3493,0.2968,0.3059,0.2174,0.0288,1.8394,0.4886,0.3982,0.8516,0.2499,0.1008,0.4358,0.4705,0
KHM_D,0.7039,3.1836,0,0.0652,0.0039,1.1534,5.7522,0.0142,0.1087,0.19,0.0616,0.0028,0.2169,0.082,0.0229,0.1115,0.0001,0.0001,0.0064,0.0399,0.0072,0.3606,8.4288,0.843,0.7682,3.8797,0.2542,0.0191,0.0372,0.1293,0.1711,5.5551,0.3129,0.9946,0.4398,1.1674,2.5586,0.8889,0.4834,3.5398,0.6245,0.2963,0.4662,0.5808,0
KHM_E,0.1977,0.958,0,0.0126,0.002,0.2963,1.419,0.0102,0.013,0.0566,0.0088,0.0006,0.0339,0.0317,0.0093,0.0218,0.0,0.0,0.0378,0.0069,0.0015,0.0559,1.5251,2.7296,0.2959,0.8138,0.0633,0.0127,0.0143,0.0374,0.048,1.6057,0.0612,0.1831,0.0876,0.2824,1.2826,0.2399,0.1487,1.3124,0.1747,0.077,0.1054,0.138,0
KHM_F,1.0933,0.0473,0,0.1085,0.0149,0.2661,1.5245,0.0049,0.0022,0.3259,0.0207,0.0018,0.0157,0.1179,0.0032,0.0211,0.0,0.0001,0.0001,0.0158,0.0036,0.0811,1.2416,0.5436,17.5159,0.9801,0.5181,0.0495,0.0881,0.256,0.1677,0.9267,0.0805,0.7314,1.3319,0.0063,9.8053,2.6446,1.3508,2.9797,2.8626,0.1639,0.156,0.2216,0
KHM_G,11.7614,6.1301,0,0.1939,0.0346,15.8814,40.7707,1.0362,0.9372,0.7008,0.5089,0.114,2.5581,0.646,0.7736,1.8312,0.0015,0.0014,0.1501,0.4333,0.0523,2.0404,1.9966,1.1328,11.1974,12.5109,5.964,1.3024,1.6622,2.2757,0.1899,12.4405,1.2462,1.0111,0.4957,0.5701,4.8543,1.1952,0.9687,3.5591,0.8296,1.1053,0.9841,1.6075,0
KHM_H49,6.3882,2.6566,0,0.4412,0.0557,10.6413,37.0894,0.5188,0.2966,1.2865,0.3083,0.0372,1.6083,0.7533,0.5708,1.5035,0.0004,0.0004,0.0773,0.2853,0.0387,1.9756,2.4057,1.197,11.0945,9.9272,6.0295,0.6368,0.6515,1.7463,0.5048,8.8414,0.7246,0.7523,0.3149,1.8583,2.6389,0.6458,0.6214,2.945,1.7077,0.7756,0.657,1.3122,0
KHM_H50,0.4473,0.0504,0,0.065,0.0237,0.8045,0.6395,0.0362,0.0885,0.0442,0.0546,0.0183,0.2072,0.0259,0.1074,0.239,0.0003,0.0003,0.0356,0.0328,0.0042,0.1844,0.1345,0.061,1.5757,0.3839,0.052,0.038,0.025,0.044,0.0392,0.6173,0.0665,0.0979,0.0382,0.11,0.2445,0.084,0.0408,0.2438,0.0634,0.1852,0.0321,0.0757,0
KHM_H51,0.3656,0.1938,0,0.0191,0.0006,0.4163,0.5407,0.0291,0.0544,0.0082,0.033,0.0097,0.1256,0.0267,0.0864,0.1479,0.0002,0.0002,0.0241,0.0231,0.0031,0.1134,0.048,0.0444,0.7733,0.2871,0.1902,0.0473,0.0151,0.0201,0.0145,0.1432,0.0192,0.0302,0.001,0.0401,0.0637,0.0243,0.0324,0.0193,0.0177,0.0731,0.0036,0.0376,0
KHM_H52,2.458,1.9001,0,0.1692,0.0151,4.7326,20.5438,0.2193,0.0924,0.629,0.1385,0.0129,0.7352,0.3757,0.184,0.6141,0.0001,0.0001,0.0192,0.1134,0.0165,0.8323,1.0687,0.5823,4.0668,6.3387,7.2399,2.6191,3.6656,5.7191,0.331,3.4101,0.4573,0.5436,0.1039,0.8008,1.2732,0.28,0.2981,1.2862,0.4129,0.1754,0.2842,0.438,0
KHM_H53,0.4601,0.1966,0,0.0174,0.0028,0.2572,0.4044,0.0165,0.0023,0.0816,0.0138,0.0016,0.0303,0.0222,0.0022,0.0191,0.0,0.0,0.0001,0.0055,0.0008,0.0512,0.1943,0.0799,0.187,1.5377,1.348,0.1811,0.2891,0.8789,2.3148,1.3244,0.0529,2.564,0.053,0.773,0.6616,0.1877,0.0879,0.9374,0.3405,0.0399,0.0432,0.069,0
KHM_I,5.3115,2.0756,0,0.3476,0.0932,5.9691,5.9645,0.0539,0.0315,0.9895,0.0414,0.0054,0.2289,0.05,0.0072,0.0159,0.0,0.0,0.0003,0.037,0.0074,0.7281,1.0832,0.5446,0.5906,1.389,1.1436,0.2113,1.0509,0.4695,0.9962,8.1265,0.2193,3.3146,0.1786,1.2973,1.2419,0.3974,0.4443,1.3078,1.1056,1.6174,0.1521,0.2465,0
KHM_J58T60,0.1747,0.1125,0,0.0163,0.0002,1.0856,0.5491,0.0043,0.0441,0.0659,0.0241,0.003,0.0397,0.0359,0.0071,0.0192,0.0,0.0,0.0237,0.0202,0.0039,0.5651,1.3136,0.6494,0.4687,1.9006,0.3639,0.0579,0.1825,0.2095,0.0591,1.4595,3.4683,0.6894,0.0699,0.6332,0.901,0.317,0.0774,1.8546,0.3504,0.2882,0.4933,0.1617,0
KHM_J61,1.3773,0.586,0,0.0544,0.011,0.6633,1.017,0.0392,0.0043,0.2795,0.0298,0.0032,0.0772,0.056,0.0055,0.0497,0.0,0.0,0.0003,0.0162,0.0026,0.1245,0.4213,0.1685,0.6302,3.3077,4.8625,0.5907,1.5525,2.3118,0.2406,5.4367,0.2077,8.2538,0.2183,1.7757,1.5546,0.5037,0.2407,2.0344,0.9305,0.1302,0.1248,0.1472,0
KHM_J62_63,0.1799,0.0475,0,0.0217,0.0055,0.2264,0.615,0.001,0.0012,0.1052,0.0019,0.0002,0.0108,0.0072,0.0008,0.011,0.0,0.0,0.0003,0.0281,0.0066,0.0427,0.0882,0.0282,2.2524,2.8336,0.2924,0.0483,0.136,0.1492,0.1306,1.6045,0.0854,1.0433,0.3259,0.0091,1.044,0.1358,0.0594,0.4747,0.7196,0.0961,0.05,0.0999,0
KHM_K,1.7247,1.0088,0,0.0359,0.0048,2.21,11.2819,0.1197,0.0358,0.1336,0.2741,0.0266,0.0929,0.0411,0.1598,0.4113,0.0001,0.0002,0.1999,0.1002,0.0195,1.1518,1.6907,0.5956,3.7174,9.9133,1.9137,0.3593,0.6123,0.6579,0.058,7.5008,0.5474,0.3768,0.1702,6.588,1.302,0.3414,0.2167,2.3657,1.1824,0.7271,0.6768,1.2153,0
KHM_L,0.0222,0.0058,0,0.0029,0.0007,0.0275,0.0749,0.0006,0.0,0.0128,0.0001,0.0,0.0016,0.001,0.0001,0.0014,0.0,0.0,0.0,0.0074,0.0011,0.0086,0.0102,0.0044,0.3373,0.3475,0.0331,0.004,0.011,0.025,0.0192,0.2069,0.0075,0.1236,0.0123,0.0011,0.1281,0.0468,0.0191,0.0413,0.0754,0.0117,0.0096,0.0111,0
KHM_M,0.4369,0.0888,0,0.0338,0.0111,0.4443,1.1983,0.0033,0.0048,0.2096,0.0051,0.0009,0.0256,0.0152,0.002,0.0224,0.0,0.0,0.001,0.0554,0.0098,0.167,0.1632,0.0685,6.0627,5.4046,0.5433,0.094,0.218,0.3266,0.2428,3.0146,0.1667,1.9617,0.1557,0.0296,2.043,0.9251,0.1995,0.6259,0.9798,0.1844,0.1669,0.1893,0
KHM_N,0.2223,0.0584,0,0.034,0.0075,0.2774,0.7383,0.0021,0.0021,0.1395,0.0021,0.0003,0.0144,0.0091,0.001,0.0137,0.0,0.0,0.0003,0.0355,0.0072,0.1405,0.0974,0.0502,3.2214,3.4884,0.3454,0.0747,0.167,0.1966,0.2671,1.9933,0.0829,1.1769,0.1177,0.0111,1.2837,0.3702,0.3047,0.3407,0.7765,0.1176,0.1153,0.0959,0
KHM_O,0.0092,0.0016,0,0.0004,0.0001,0.0023,0.0229,0.0004,0.0001,0.0015,0.0,0.0,0.0003,0.0002,0.0001,0.0003,0.0,0.0,0.0,0.0001,0.0,0.0095,0.0047,0.0021,0.0038,0.0021,0.0075,0.0013,0.0022,0.0029,0.0013,0.0221,0.2458,0.0045,0.0018,0.0004,0.014,0.0042,0.0019,1.5992,0.0201,0.0127,0.2757,0.3796,0
KHM_P,0.0176,0.0013,0,0.0019,0.0002,0.0283,0.1341,0.0,0.0003,0.0076,0.0007,0.0001,0.0,0.0,0.0004,0.0029,0.0,0.0,0.0,0.0017,0.0003,0.0109,0.063,0.0325,0.0413,0.2995,0.0303,0.0055,0.0165,0.015,0.0177,0.1474,0.0182,0.0769,0.0117,0.0023,0.0681,0.02,0.007,0.98,1.7887,0.3501,0.0262,0.0506,0
KHM_Q,0.5058,0.207,0,0.0289,0.0077,0.1338,0.3454,0.0027,0.0004,0.1062,0.0009,0.0001,0.0014,0.0289,0.0015,0.0056,0.0,0.0,0.0,0.0017,0.0004,0.0183,0.1043,0.0661,0.2253,0.5595,0.1418,0.0239,0.0369,0.0604,0.0215,0.2997,0.1683,0.074,0.0099,0.0047,0.1254,0.0423,0.0234,0.7693,1.6807,4.3063,0.5173,0.5911,0
KHM_R,0.1593,0.1215,0,0.0182,0.0019,0.2275,0.2151,0.0028,0.0042,0.0597,0.005,0.0009,0.0227,0.0161,0.0088,0.0111,0.0,0.0,0.0146,0.0185,0.0038,0.378,0.7927,0.4386,0.2505,1.0643,0.2906,0.1256,0.118,0.1931,0.0683,1.0947,1.0062,0.3058,0.0254,0.3402,0.1976,0.0968,0.076,1.8923,0.2843,0.3275,2.9747,0.3371,0
KHM_S,0.5497,0.371,0,0.0469,0.0106,0.4787,0.7062,0.0148,0.0118,0.1456,0.0157,0.0021,0.06,0.0806,0.0127,0.0433,0.0,0.0,0.0687,0.05,0.009,1.6907,3.9499,2.4426,1.0747,3.2664,0.893,0.1631,0.349,0.4115,0.2073,2.3693,0.7702,0.632,0.0894,1.3353,0.8924,0.2148,0.1325,6.1515,0.8008,1.8344,1.0004,2.5825,0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
