V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_C20,43.9357,0.0024,0.0922,1.9629,0.1645,9.8127,7.3989,6.7861,12.0292,27.0726,72.3605,5.7493,45.1357,12.5708,12.1036,6.4341,5.6004,7.6716,11.1672,7.9603,0.8823,6.7111,7.4592,2.3016,32.9108,22.7933,12.2904,0.1661,1.7829,2.7114,0.1385,2.3453,1.4727,0.6389,0.642,1.5003,4.0811,7.6911,3.2885,2.0112,2.9732,18.0223,1.3083,1.6683,0.0
SVK_C21,3.1891,0.0003,0.0048,0.1562,0.0214,1.0013,0.4229,0.4922,0.7434,1.427,3.6801,6.1481,2.4176,0.7821,0.4449,0.5371,0.4206,0.4418,0.9209,0.8122,0.0358,0.5538,0.4362,0.2205,2.7902,2.8371,0.7254,0.0009,0.2439,0.1904,0.038,0.3526,0.2467,0.2328,0.0824,0.4132,0.3057,1.8172,0.4264,0.3084,0.5025,19.1466,0.3113,0.1945,0.0
SVK_C22,3.5846,0.0057,0.1286,0.8942,0.1049,28.5219,10.0963,9.3547,13.1338,1.6608,3.9825,0.6338,131.7266,5.9192,4.7559,9.7633,103.5583,19.2717,21.7343,18.4714,0.5133,13.1313,5.6296,1.7453,59.6653,31.8083,3.0928,0.0205,0.0754,1.2525,0.3116,2.4594,2.2447,1.0045,0.1839,1.5344,11.8768,5.54,1.8681,2.8047,0.9312,6.553,0.5892,1.4174,0.0
SVK_C23,5.6786,0.01,0.0105,6.6539,0.239,16.6632,3.0399,3.8917,1.2127,5.4079,7.0597,1.4162,12.7266,134.3647,37.7314,10.3817,8.9038,7.1597,5.9105,7.1363,0.5523,5.3482,4.4552,3.2164,497.754,65.3286,2.6527,0.0229,0.0762,3.7159,0.0609,4.2748,0.4985,0.2234,0.2096,1.213,9.9599,7.0737,5.0626,2.7718,1.1998,2.2874,0.567,2.1165,0.0
SVK_C24,1.4941,0.0007,1.2348,1.576,0.7602,4.7865,0.9654,3.3692,1.0746,0.0067,5.2717,0.4294,51.5889,26.2265,464.824,405.1106,70.9024,143.2911,334.123,194.5193,25.8235,88.167,2.5569,7.8609,223.5809,29.3857,10.4789,0.0072,0.0256,1.8015,0.0002,0.0421,0.6586,0.0008,0.1858,0.0858,0.3122,16.4508,1.8678,0.1936,0.5774,0.2608,0.2585,2.2276,0.0
SVK_C25,7.9198,0.0111,0.0782,1.7931,0.2623,18.4512,5.7356,8.9251,3.8282,21.6548,5.2613,0.9363,12.7948,6.9645,32.8651,93.3871,14.6285,27.1502,51.3102,45.4981,2.7501,50.3817,42.9523,3.9366,108.4919,42.7512,13.4416,0.1581,0.6632,5.139,0.1662,2.7497,1.29,0.6654,0.6257,2.0035,6.8549,17.4352,5.0731,6.3798,2.2342,3.5134,1.4646,2.0493,0.0
SVK_C26,0.845,0.0009,0.0076,0.1791,0.0307,1.4613,1.0273,0.9519,0.6193,0.7259,1.3359,0.3107,1.4254,0.4929,18.6356,3.2168,188.2205,15.2442,5.5384,27.4706,0.4409,5.7243,6.6979,0.802,9.0722,22.8534,2.7235,0.017,0.2719,0.839,0.2844,0.4499,0.4827,6.1352,8.0746,2.7922,1.3829,10.2389,3.0263,3.3354,0.922,12.9415,0.5319,1.2737,0.0
SVK_C27,0.9976,0.002,0.0364,0.3657,0.0373,1.6082,0.5777,0.8855,0.5263,1.2083,1.3201,0.2536,1.6305,0.6897,2.0212,5.2628,15.9937,137.6573,8.7448,28.3833,1.0596,31.1297,11.8116,0.7869,45.5126,14.5084,9.5958,0.0278,0.1431,0.4636,0.0505,0.3531,0.4023,0.7123,1.78,0.391,2.0406,4.9776,1.573,2.4994,0.3572,0.7213,0.7901,0.3686,0.0
SVK_C28,7.8712,0.0043,0.0719,1.2706,0.1564,5.8386,1.6089,4.9784,4.9595,3.1829,3.6652,0.7003,3.6931,2.5463,6.9012,17.2439,3.9086,6.5906,33.0699,34.139,1.6618,12.3577,20.6919,2.35,18.9991,20.9375,4.9198,0.1373,0.4169,1.1188,0.0778,1.7792,0.5392,0.3179,0.3714,1.0685,2.1775,7.1251,2.294,1.7558,0.5878,1.7297,0.6469,0.7835,0.0
SVK_C29,5.5968,0.0078,0.0542,0.4802,0.0455,3.0058,0.6799,1.638,0.8103,1.0331,0.4116,0.0707,9.1225,0.9081,1.8308,8.8707,7.8685,18.4818,12.3395,1717.8203,0.5468,15.1328,2.0706,1.6205,9.7691,80.6031,17.8038,0.0151,0.0505,5.7085,0.5633,0.4322,0.1247,1.3008,0.5223,0.6507,3.4637,2.8654,2.0683,1.7168,0.4138,0.7922,0.2502,0.7196,0.0
SVK_C30,0.1328,0.0003,0.0224,0.4807,0.0039,0.3634,0.0451,0.1973,0.0199,0.0002,0.069,0.0093,0.0782,0.2964,0.0063,0.1093,0.0253,0.0437,0.0823,0.035,26.4887,26.2275,1.2295,0.1793,0.3572,3.7463,25.9778,0.0722,4.3179,0.544,0.0776,0.1045,0.1162,0.1235,0.0012,0.0054,0.4004,0.1083,0.5044,0.014,0.0143,0.0846,0.2869,0.0549,0.0
SVK_C31T33,6.8463,0.0297,0.0558,7.7041,0.7297,12.1969,10.3306,18.1675,7.1466,7.4063,1.3854,5.1659,9.4556,3.0887,5.1536,8.3492,6.4889,22.0021,9.2906,14.6042,3.3638,46.92,470.4454,23.1807,46.8848,134.7934,45.3556,1.3448,10.8366,7.5011,1.5515,10.0031,3.3181,2.7701,1.9864,16.5348,15.6379,23.0121,12.9727,14.7979,7.5322,15.9736,13.0423,5.3525,0.0
SVK_D,97.8444,0.1212,3.7987,25.6767,0.6872,167.5549,35.2921,6.2205,124.9428,70.9758,191.3731,22.9724,49.2069,148.7486,214.6421,51.4106,19.571,26.4079,41.7174,54.9435,8.6785,26.8083,2277.4125,40.2801,82.5549,256.2449,47.7188,0.9163,0.1917,23.7648,2.9412,62.6841,12.9867,26.4142,4.5488,29.7727,136.0472,54.8713,16.5942,128.1996,108.2758,90.2194,26.1662,30.123,0.0
SVK_E,8.5429,0.014,0.0558,1.1067,0.15,20.6653,5.1662,2.2996,5.216,7.9997,12.1257,1.9637,3.7556,4.9691,22.4807,5.1111,5.7206,3.1154,5.7634,3.987,0.9913,4.8823,32.8012,49.635,27.1203,43.6968,6.4322,0.1721,0.3516,3.6699,0.2385,10.0963,1.7064,0.9656,0.3476,1.9965,8.2738,14.8615,3.5504,39.7373,10.4952,16.9541,5.4415,3.8767,0.0
SVK_F,23.3176,0.0236,0.104,9.6301,0.4987,22.3148,6.9752,15.8524,6.413,7.2081,7.0973,1.1738,11.9669,27.0245,11.2722,49.3247,16.9105,17.8328,20.3592,8.7991,0.9545,25.5263,59.5581,29.3512,1869.2481,135.9544,16.451,0.1746,1.1799,38.1163,1.0798,16.9217,4.7468,6.8694,5.4288,7.4584,63.4729,75.9905,29.4268,79.1806,19.8772,19.2292,10.3248,13.4123,0.0
SVK_G,152.5127,0.2204,0.9191,11.567,1.3308,316.6456,114.1213,49.2065,74.1873,106.4384,81.1022,30.8755,86.9993,72.2371,132.9598,82.43,116.1639,75.2294,72.8491,215.2025,10.3238,105.011,249.6408,23.8395,296.5496,424.4818,78.9092,1.193,10.8183,32.2618,4.3426,57.5752,47.3583,36.1333,38.4624,85.5089,51.74,135.7072,47.7072,96.4341,27.6778,112.6527,26.2878,21.1643,0.0
SVK_H49,28.596,0.0313,0.6616,10.9853,0.4009,62.2642,12.1526,18.9979,40.3153,43.9683,16.7756,2.388,15.1834,37.8285,78.9426,24.2604,19.3692,19.4266,18.4218,41.8709,2.7133,17.7853,50.7219,7.5826,75.1987,114.9034,56.7171,0.9181,1.7976,219.191,4.2711,7.8839,8.2013,7.7029,2.7153,6.0899,6.4032,13.6108,30.7446,11.2853,4.0378,7.5196,13.5679,4.922,0.0
SVK_H50,0.1409,0.0001,0.0007,0.0125,0.0085,0.303,0.0618,0.0452,0.1054,0.1514,0.0433,0.01,0.118,0.0993,0.264,0.0991,0.0943,0.1068,0.0717,0.2745,0.0133,0.0954,0.7194,0.0315,0.2646,1.412,1.3176,0.0157,0.0498,3.7188,0.0327,0.0645,0.0365,0.1081,0.0392,0.1769,0.0657,0.2637,0.2341,0.153,0.0343,0.0549,0.0256,0.0305,0.0
SVK_H51,0.753,0.0041,0.0142,0.0754,0.0187,1.2887,0.5898,0.4278,0.4323,2.848,0.4262,0.0835,0.939,0.7233,2.3165,0.5488,1.2795,0.8934,0.654,2.0644,0.0941,0.6415,1.6911,0.0755,1.4819,3.1879,0.9655,0.0403,18.5374,27.1755,0.817,0.197,0.7598,1.2351,0.4852,0.2221,0.1509,1.3336,13.1256,3.1361,0.1832,0.5275,1.8871,0.2495,0.0
SVK_H52,9.6944,0.0188,0.1373,2.4358,0.7715,24.7246,6.883,3.8491,15.5243,13.2015,7.0734,1.0831,8.4701,11.5939,39.0349,6.8067,5.8916,6.1798,6.8025,12.0225,0.8017,6.0876,82.2098,3.8142,19.9362,152.1773,183.6174,2.0212,11.6417,548.1728,5.1201,4.0447,3.6425,13.5334,3.0712,7.5818,3.5898,13.2432,30.256,16.5149,3.9157,3.5186,4.4533,3.0717,0.0
SVK_H53,1.8999,0.003,0.0081,0.1663,0.0308,2.1178,0.607,0.7715,1.1038,0.5522,0.3745,0.1049,0.6894,0.7139,1.0633,1.7616,1.3071,1.1721,0.8871,0.9434,0.1009,1.0951,3.7064,1.1357,3.5745,22.5978,3.9807,0.0297,0.8639,3.5291,31.0389,1.1456,3.3997,51.7209,1.7367,23.435,2.6012,5.4719,2.5284,18.64,1.907,1.8366,4.9416,2.1465,0.0
SVK_I,4.2331,0.0028,0.0212,0.2464,0.0986,4.8566,0.977,1.9349,1.6079,0.2459,0.8602,0.2764,1.5479,1.7352,1.2852,4.4633,2.432,3.1194,3.691,2.9909,0.53,3.9023,1.4573,2.1992,13.1864,32.7272,7.0786,0.0197,2.561,29.15,0.6542,5.5113,9.3905,3.2301,6.0229,9.9468,1.1582,15.1266,18.5078,34.347,7.6764,5.4599,19.54,10.0065,0.0
SVK_J58T60,1.3261,0.0025,0.013,0.1937,0.0491,9.3287,1.544,0.6666,10.0073,1.3315,1.1989,0.4018,2.3159,1.2753,2.337,1.3119,3.6251,1.7857,1.4879,1.5602,0.2528,2.2167,1.7445,0.5256,2.5087,53.9416,1.1656,0.0177,0.4465,2.46,0.251,3.2775,97.6523,4.5092,4.107,13.3853,11.862,23.3735,5.2554,14.4244,4.4696,2.2147,26.4309,7.3284,0.0
SVK_J61,9.5675,0.0149,0.0512,0.7061,0.1527,8.8377,2.4262,3.8376,4.114,1.481,1.3362,0.3418,2.8756,3.0974,3.8725,8.2495,5.7771,5.0272,3.7467,4.202,0.7514,7.4965,12.4579,4.552,19.852,95.4811,24.3341,0.1538,1.3615,12.628,5.2587,7.6445,17.1371,269.276,13.1689,98.4792,12.6985,28.4507,10.7221,74.9355,9.5852,11.0451,25.9262,8.1994,0.0
SVK_J62_63,1.8743,0.0027,0.0164,0.2152,0.0591,5.6439,1.4636,0.5864,3.2976,2.3277,1.4762,0.4178,3.7059,2.2987,3.7292,2.1297,5.0181,4.3271,2.2694,5.069,0.637,3.3706,7.4825,1.245,3.9433,73.8302,5.9136,0.018,0.8019,2.5997,1.1081,1.7827,7.1994,16.3145,75.6566,42.307,3.3868,13.8869,6.3014,29.9639,2.8148,3.0371,4.3505,4.2558,0.0
SVK_K,17.7883,0.0378,0.1532,1.4736,0.6931,26.0167,8.3527,15.6875,10.4735,9.3377,5.3779,1.1029,15.2382,21.1204,3.5653,13.5495,4.1223,6.6895,7.0152,5.1323,3.8683,4.8928,13.5341,5.9087,28.8741,215.0278,58.0035,0.14,5.1061,12.5889,0.5394,6.1749,4.1866,5.1354,19.6919,360.0147,26.7347,27.5295,36.2375,42.7566,2.6764,8.8018,3.8516,3.5199,0.0
SVK_L,83.7193,0.1816,0.1053,6.4995,0.2546,30.4397,14.3822,23.0048,7.3404,4.1554,6.1547,1.4113,24.1789,8.5714,5.4039,29.5375,22.1468,21.4143,12.5279,16.2716,1.4157,24.1429,31.3753,25.0955,66.258,449.9354,48.8912,0.8094,1.9625,51.9465,4.5208,56.8413,16.9478,43.8337,37.3838,93.1756,374.219,81.3928,35.6679,95.5284,16.1894,56.7125,35.0441,41.2203,0.0
SVK_M,17.2528,0.0168,0.3724,5.4989,1.7882,93.1512,12.8171,10.7362,30.0093,28.1362,13.3297,4.4705,49.9921,26.7909,53.3409,36.5266,91.9108,34.7375,19.5528,33.2425,3.5877,43.5055,42.0157,12.8938,100.9713,544.4117,14.9259,0.3336,4.8347,20.6376,4.6192,18.3923,18.5821,51.0023,42.122,150.5767,52.3033,285.463,71.8385,59.1026,6.8827,16.7207,15.309,18.3004,0.0
SVK_N,14.2709,0.0119,0.1468,2.6871,0.9223,35.2377,7.0348,6.8077,17.2125,12.7016,6.2662,1.7089,17.7403,10.8172,21.8802,14.1987,33.4356,12.7933,9.2237,15.288,0.8736,17.0188,25.8748,6.8611,51.5625,223.2625,30.0471,0.2866,11.0183,54.9573,4.1991,11.7046,15.1724,29.4963,15.5478,64.4048,31.8134,83.6659,107.0167,34.2035,4.7387,12.8618,17.0853,9.8459,0.0
SVK_O,8.3996,0.0088,0.0155,0.7761,0.1072,11.7798,2.948,2.0132,2.9477,5.8199,2.299,0.5464,2.3021,4.6382,3.1976,1.8173,1.6891,1.2785,1.3346,2.1792,0.3449,2.1185,9.5146,2.005,6.9098,17.8184,6.2339,0.0851,0.6442,1.9649,0.526,1.952,1.7955,2.8291,1.8237,8.2061,5.056,7.5454,2.5533,154.1275,2.5231,2.2357,3.5034,1.2132,0.0
SVK_P,1.2522,0.0069,0.0189,0.2309,0.0268,4.1104,0.8534,0.591,0.8601,1.4344,0.7642,0.2715,1.0141,1.3248,5.1143,1.0029,2.2336,2.689,1.5035,11.907,0.3957,2.1238,4.3116,0.634,4.4238,11.5794,2.4843,0.0194,0.4174,1.2111,0.6706,0.839,0.6478,4.217,2.8705,10.994,0.6786,7.3766,1.8174,11.5206,25.9354,5.0254,0.9225,11.3374,0.0
SVK_Q,7.557,0.0089,0.0129,0.0932,0.0356,3.5254,0.7242,0.3556,0.5984,0.575,0.4938,0.4037,0.6172,0.5376,0.5778,0.4222,0.545,0.5076,0.3647,0.6173,0.2232,3.5403,1.4332,0.6328,1.532,6.962,2.2545,0.0069,0.1693,0.3396,0.0841,0.9262,0.367,0.3436,0.3183,1.9357,1.3664,1.0752,1.4275,10.4016,2.4954,29.6381,0.6028,1.4747,0.0
SVK_R,0.882,0.0398,0.0073,0.3042,0.0275,4.4749,0.9725,0.2839,4.5331,0.8691,0.5548,0.1692,0.9331,1.1074,1.2308,1.2774,1.3909,0.7741,1.22,1.0297,0.1743,1.2093,1.3395,1.5324,5.3672,22.1751,1.2168,0.0906,0.1785,3.8069,0.1385,3.2495,20.3811,1.603,0.8389,3.8487,5.1041,9.4878,4.4114,9.5558,1.4309,3.7472,120.007,14.4466,0.0
SVK_S,3.2094,0.0533,0.1226,1.3288,0.0855,5.5681,1.9434,1.3711,9.6256,1.4224,1.0778,0.2939,1.1365,2.2896,1.796,4.145,3.4901,0.986,3.033,2.8485,0.569,1.7184,2.8799,4.5195,11.7008,152.1174,3.019,0.2251,0.2653,1.7073,0.1834,5.1183,4.8151,3.2855,2.1741,5.4613,2.2058,6.1401,2.3278,8.0645,3.7518,8.4157,11.8937,37.0176,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
