V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_C23,8.9123,0.2765,6.7312,9.4047,0.7641,58.9247,26.7233,23.1345,13.3516,6.5326,22.718,4.7987,40.6781,999.0132,35.8611,27.8404,15.9331,23.3913,24.5673,71.4567,3.3847,50.4248,14.3207,15.1537,1302.8307,34.1546,29.6465,0.4523,0.7801,7.4451,0.2984,6.1393,2.9037,1.0535,1.1426,1.6554,259.2232,24.5862,6.1556,3.3835,2.1537,4.4714,3.1387,3.5945,0.0
CZE_C24,6.0913,2.0018,25.8154,2.3969,0.9553,4.3837,11.7907,8.9958,2.5361,0.8811,4.4954,0.2114,56.6399,45.0019,1682.142,1022.9192,35.2557,406.5736,776.5309,704.0059,61.4264,194.7136,26.6636,77.3188,377.0007,58.5496,28.586,0.5545,0.1592,2.8062,0.0226,0.4836,0.6259,0.0183,0.2045,0.1309,27.311,13.6116,3.8494,0.4493,0.3882,0.6337,0.9288,1.0583,0.0
CZE_C25,21.2967,0.1292,51.8465,12.652,2.4648,46.9674,17.9959,43.3518,26.3262,10.2911,37.0108,5.2319,87.42,108.2047,154.8949,1600.0508,202.6437,146.3196,611.9534,497.201,25.3265,203.5532,55.611,17.2456,478.0614,156.7013,37.5477,0.3759,6.8628,9.0332,1.1751,6.2974,4.1556,1.9016,5.1681,5.8061,130.4583,81.2092,17.1371,17.2532,6.1203,12.2671,5.1715,8.9952,0.0
CZE_C26,9.3948,0.0408,2.5488,0.9016,0.1144,16.204,2.4945,1.7437,1.793,4.4613,6.1265,1.1529,13.3603,5.8106,3.9703,21.1227,435.2901,66.968,39.6147,91.9241,11.1532,66.0522,20.6993,3.2427,36.8125,37.9511,18.8344,0.1904,4.7616,2.0254,2.2017,11.4982,8.4308,51.7848,18.7904,36.0956,14.6938,42.0501,5.5003,9.3914,13.1166,15.0419,5.6337,16.0341,0.0
CZE_C27,18.3615,0.0615,7.3779,1.5317,0.2305,13.9607,4.6158,2.1208,2.494,5.6606,7.8806,1.7135,16.5176,10.4724,9.7454,49.6207,87.7506,277.7859,93.5011,355.2423,7.4153,115.6922,75.1096,5.1777,164.7002,33.7939,24.6238,0.3055,10.1637,2.485,0.8293,7.2307,1.9968,5.9284,2.6115,2.6397,45.2384,17.22,4.7362,14.6895,3.1933,10.4938,2.6474,4.6314,0.0
CZE_C28,29.0061,0.2874,16.7095,3.7442,0.571,24.3359,5.7992,5.6736,5.7748,8.5678,15.6733,2.1391,25.6071,31.2701,25.1614,141.6852,76.1174,67.826,148.1908,138.7197,9.0525,147.9371,45.0588,9.8222,138.815,51.8285,34.0854,0.5348,13.6374,5.7892,0.7409,6.9109,2.5112,2.4896,3.3096,2.9246,37.7626,30.2389,8.2574,17.6638,4.2284,12.0055,3.268,6.3483,0.0
CZE_C29,26.1251,0.3272,4.4231,3.0001,0.3554,18.0615,10.1759,12.2712,4.861,2.9852,7.4909,3.7391,31.2674,31.979,14.295,71.5503,70.5339,258.6608,107.1592,2539.8411,6.7114,68.1521,29.8804,15.2868,130.8932,374.7408,95.1188,0.1829,3.7288,10.5459,2.1341,6.9748,3.8249,4.278,5.691,7.6875,29.3083,27.9537,17.3081,7.7644,6.6758,13.4065,7.2024,8.8035,0.0
CZE_C30,0.2547,0.0835,1.3971,0.0378,0.0609,1.4974,0.0187,0.0353,0.8261,0.0,0.3036,0.0449,0.0961,1.0177,0.1539,0.7835,0.6246,0.3141,0.6669,0.7639,52.0726,2.519,0.0372,0.5463,2.0238,1.5668,20.4173,0.2042,44.236,3.3727,0.8215,0.0752,0.0338,0.0368,0.0,0.7959,0.3534,1.7297,0.5323,2.445,0.1999,7.1845,0.1642,0.336,0.0
CZE_C31T33,59.5952,0.1388,17.5538,4.8744,0.6553,51.8956,11.0659,11.1603,9.9665,21.5052,18.2485,3.0647,34.4969,29.2144,27.0724,157.3191,166.9639,127.6026,228.2973,167.4323,11.9947,405.2845,80.4974,10.2583,186.2095,82.1331,91.4667,1.1829,39.6729,7.1243,1.6924,30.0386,7.0,4.7933,8.6529,10.541,65.9737,47.9007,14.9251,41.4899,21.3873,63.768,15.8112,24.0581,0.0
CZE_D,58.4461,0.5721,115.91,31.1291,4.3041,217.0138,146.3765,69.1991,135.0829,127.724,183.363,22.9042,47.9815,187.758,163.1817,193.3588,97.3544,75.1142,175.8809,166.4059,29.7781,31.6156,2468.0359,56.2343,147.0212,270.8572,203.1435,0.2316,8.2286,220.3388,4.377,98.6803,18.1356,44.7725,12.443,105.4067,365.9683,76.869,20.6239,305.5925,184.824,151.9009,58.27,44.594,0.0
CZE_E,13.4223,0.3585,11.8166,3.589,0.4473,37.4989,8.231,14.5817,12.9771,15.3758,31.6979,6.6793,10.8216,18.5715,482.1711,39.6985,8.6479,10.2359,37.3507,61.6655,4.5449,19.3413,140.4767,535.7766,86.258,98.9061,21.5284,0.1229,0.6658,8.3633,1.7412,32.657,8.8534,7.2088,8.1964,19.1053,112.9022,48.8907,52.5209,89.7114,23.5324,43.4041,17.7176,23.7483,0.0
CZE_F,53.2324,6.2025,82.0756,11.5324,2.786,28.6697,4.8562,35.9386,9.021,5.3536,22.4868,3.5342,23.1301,42.4033,15.47,42.2829,19.2042,48.784,56.9534,48.3106,5.9255,250.9828,101.1758,90.9643,6982.7974,200.5037,69.8892,0.5724,2.3552,93.9439,7.5144,70.1048,14.0104,15.0854,12.3647,63.3947,1439.6578,634.8966,30.8197,562.1166,66.7968,111.749,35.8437,15.3647,0.0
CZE_G,404.5501,3.8426,49.2344,35.3774,3.8177,1421.2269,315.2043,133.3863,171.7368,77.152,340.1497,83.1134,355.4728,270.0491,363.4014,399.3514,340.4831,189.7762,345.2766,1159.1913,33.3667,246.186,300.7237,112.9801,921.8735,2163.5043,471.4066,2.427,49.799,148.34,18.4111,243.3179,151.8215,66.9201,120.8888,205.4453,376.0978,714.1075,335.352,153.9645,69.8381,221.6219,130.6348,113.3369,0.0
CZE_H49,55.7559,1.1024,93.4404,46.473,3.9993,260.3061,28.0595,99.109,86.0514,326.3709,127.7941,22.925,80.3066,105.0891,102.5234,152.5048,71.9227,83.0132,123.2831,229.3722,57.9733,65.5717,286.1268,21.5748,289.6692,948.3776,652.2531,46.3032,27.0773,813.3602,21.2374,18.5026,18.5594,5.8717,12.3326,31.6395,35.1221,59.0991,120.7377,8.4579,13.1234,17.9011,11.0647,21.7808,0.0
CZE_H50,0.197,0.0015,0.0282,0.0057,0.0051,0.3319,0.0646,0.0121,0.042,0.5981,0.0277,0.009,0.1005,0.0588,0.0918,0.0801,0.0444,0.042,0.0362,0.1548,0.0046,0.1312,0.8839,0.0363,0.2287,0.2519,0.0387,0.0009,0.0262,0.0075,0.0018,0.0989,0.0302,0.0179,0.0117,0.009,0.092,0.0636,0.0303,0.0068,0.0289,0.0816,0.0099,0.0239,0.0
CZE_H51,2.1854,0.0153,0.5165,0.2735,0.0757,6.4027,1.2738,1.0686,1.2959,7.5325,2.9159,0.3321,3.4114,3.245,5.7917,3.2374,3.0226,1.7827,2.041,8.1072,0.4088,1.6972,9.331,0.3635,5.7892,3.7383,2.2405,0.0211,0.4825,1.9949,0.1156,1.0662,0.3939,0.2179,0.127,0.1314,1.7746,0.8239,1.9207,0.2561,0.2515,0.8376,0.2886,0.284,0.0
CZE_H52,64.1098,0.33,87.0495,29.2847,8.3177,98.0598,8.4249,23.8273,26.8462,140.3097,58.1765,7.2187,31.0595,115.651,38.7521,51.9349,30.7311,24.9082,11.223,39.8388,3.95,20.8679,53.8089,12.141,81.5525,468.8948,607.4413,8.6784,162.0922,951.0453,14.9882,5.857,10.0939,6.2707,17.1396,6.1926,9.7471,19.7974,474.466,2.4686,3.9635,15.5755,5.4489,13.9099,0.0
CZE_H53,3.4392,0.1534,1.2397,1.5842,0.1714,8.9858,2.9578,1.2743,3.0859,0.282,1.6308,1.1472,6.7944,3.5734,1.2895,5.9937,3.9392,2.6045,5.6664,5.5134,0.6145,4.3209,10.109,2.2769,10.1966,50.1157,9.1017,0.1279,0.9003,12.2566,77.2514,2.7145,40.445,95.5248,13.3448,225.9992,29.8076,29.1214,14.7089,89.6656,17.128,14.4181,16.774,8.8498,0.0
CZE_I,13.7248,0.0947,6.4234,0.5341,0.208,26.7334,3.7649,1.2991,1.5665,0.8658,3.2403,1.7014,2.292,8.216,1.6972,7.1258,5.8658,2.1862,4.3584,28.9612,0.5937,5.0705,15.4549,1.8596,109.0219,187.7903,18.5987,0.1564,10.4199,21.4312,0.7997,36.368,11.0849,1.0418,27.4055,18.4864,122.7535,142.8358,93.1458,67.5202,36.9246,133.4494,31.2581,42.2695,0.0
CZE_J58T60,7.7439,0.0605,1.3267,0.9789,0.0766,16.6444,1.1787,1.9935,90.8658,0.2509,1.8661,2.1381,3.6741,6.3496,8.8146,3.4687,20.3154,1.9475,4.1163,9.1606,0.2894,3.8267,4.5616,2.8668,11.8526,41.6276,16.2035,0.1111,0.8242,19.7051,2.9898,15.8592,427.7222,5.6391,35.1046,35.8288,19.7803,264.1596,24.8836,38.8223,74.3962,15.2513,45.8048,32.9923,0.0
CZE_J61,12.3292,0.3364,3.5323,7.0013,0.4609,33.2767,13.0116,5.6234,13.0908,0.3225,5.6804,5.3814,31.8312,22.6385,4.7498,26.1476,20.3193,11.7288,26.2399,22.9561,2.443,19.9923,48.0015,14.8703,59.2647,281.9967,37.9841,0.0579,1.8929,45.4553,25.4542,24.412,57.451,1371.7383,74.0709,117.9464,112.1716,155.9973,38.872,384.6119,30.3978,47.3869,44.4583,28.169,0.0
CZE_J62_63,6.7866,0.1987,1.234,1.2916,0.089,26.5674,3.4141,2.2155,11.2482,0.8117,4.7152,2.4749,4.9071,7.8179,3.5536,5.4517,75.87,8.3322,8.1522,29.7078,1.0754,8.4757,5.3887,3.8176,19.5912,124.9082,23.8592,0.0292,3.3361,8.2162,9.0261,12.4319,36.6538,47.0132,343.3827,326.3534,23.013,104.8413,27.7832,82.23,25.7053,19.967,26.9894,49.305,0.0
CZE_K,71.7182,1.3744,20.5855,10.1928,1.8755,83.0497,35.5877,34.6226,57.6795,20.7761,50.0053,18.804,52.5362,48.936,37.9534,86.5007,56.2722,45.2579,107.3158,130.3432,11.7632,50.0195,102.9748,44.2845,386.5098,486.166,371.4246,1.8982,76.0807,87.3081,7.2949,44.2007,35.3179,55.0606,75.3004,1549.6117,686.5462,300.5925,142.846,199.3366,24.0979,132.0175,107.3406,70.4919,0.0
CZE_L,45.0787,1.705,11.4628,5.6002,0.6504,64.4902,11.4414,11.3327,10.6051,2.1146,18.1236,14.3682,21.1821,44.1811,27.0262,59.589,33.9819,52.6628,78.6186,38.9168,5.0835,41.8641,93.9497,124.639,314.5838,1293.3524,77.4766,0.1629,4.7101,148.3627,13.9493,244.3786,53.9272,72.8501,129.5308,297.6977,873.6848,456.5595,124.8972,278.5222,201.0734,167.2295,204.083,60.3623,0.0
CZE_M,133.8458,1.4683,63.0672,13.6892,2.9689,258.2589,31.5649,19.8453,31.9165,15.9257,45.1243,66.4137,90.1147,102.4226,36.3689,140.7505,119.6605,52.6437,89.1955,245.2145,13.0448,64.1615,155.2315,128.0714,2139.2895,1142.8119,167.5173,0.7768,9.0723,169.1173,18.463,128.8451,129.4952,106.324,161.8068,529.9729,684.4551,2990.2626,228.368,734.7195,102.2019,106.9698,165.9127,75.7269,0.0
CZE_N,29.641,0.6293,26.0831,11.1174,0.9258,93.668,12.0826,9.1997,16.4876,5.5687,22.2297,14.0792,34.7701,46.7962,39.7923,57.4869,49.3899,32.4338,66.9176,89.3247,8.208,25.3466,51.3085,65.4409,348.3868,462.1456,97.8314,1.0304,24.9555,44.9148,12.4528,77.0045,43.0237,26.9025,63.5755,135.1603,294.4218,329.6233,428.3426,177.7873,29.3088,50.1717,99.4215,24.3404,0.0
CZE_O,25.2222,0.1921,11.3335,4.7364,0.831,20.1992,5.5582,25.2416,13.8007,8.029,10.9861,2.6824,6.2926,12.0594,126.6134,15.5168,8.4027,5.078,10.415,20.2222,2.2303,5.1103,31.4413,129.8524,36.9874,73.7627,79.0686,0.3768,7.3023,45.215,1.211,8.2568,4.8903,2.8197,9.5186,26.9491,30.6332,22.095,38.4808,209.7518,9.4344,14.085,23.3577,11.2929,0.0
CZE_P,2.0278,0.0513,0.788,0.4914,0.0488,4.8566,0.7112,0.5582,1.5683,0.2335,2.39,2.923,3.1623,3.5006,3.3429,4.7019,8.3349,4.6559,6.5736,25.8412,1.5093,3.5972,13.1473,3.4004,21.4913,103.3549,10.4661,0.0754,2.5162,30.049,0.9335,2.4672,10.5344,4.7587,18.8598,55.8421,29.0675,88.877,10.0648,113.4492,225.9719,10.3476,4.3154,11.3101,0.0
CZE_Q,8.5897,0.7913,0.6332,0.1743,0.0237,7.2055,1.4537,0.4441,0.5289,0.2881,1.4034,11.6067,2.0138,1.0362,2.1961,1.6485,2.4446,0.9685,1.4257,5.4506,0.188,1.6278,2.6621,2.8796,10.0153,14.2844,5.1877,0.0165,0.5545,1.7668,0.1824,3.3234,2.9014,1.0144,2.9471,6.0655,12.0294,15.4093,8.2771,25.7365,3.7807,223.1345,4.2946,6.2988,0.0
CZE_R,2.0415,0.0246,0.8388,0.6601,0.0448,5.268,1.4196,0.877,1.1873,0.2906,1.1293,0.618,2.2431,3.4347,4.3899,2.5602,2.651,1.6758,2.3431,5.2832,0.3689,1.3997,2.9463,4.8581,11.1435,16.1845,6.1205,0.0264,0.7278,2.5377,0.3077,13.3608,11.7869,1.6995,4.7731,10.6372,27.8642,43.5907,9.8488,10.5904,6.0363,12.1647,243.2599,34.8195,0.0
CZE_S,3.8613,0.0181,2.0506,1.2806,0.5234,27.6675,4.7854,4.4149,3.5971,1.6394,2.6994,1.0273,2.8112,3.9301,5.265,29.3981,43.3798,8.1171,4.3482,10.6013,0.5483,10.7674,4.5175,2.9909,10.4384,43.7922,8.7359,0.0601,1.6689,6.9023,1.5807,37.0288,10.7076,7.4615,14.8001,50.0354,25.378,36.6059,11.0013,26.5854,29.487,81.149,80.8824,206.1717,0.0
CZE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
