V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_H49,178.5758,1.0428,62.6815,7.739,14.4993,236.3824,77.0968,39.1403,20.7779,172.3574,70.4816,5.9997,37.9497,94.3007,134.7828,31.7869,31.1596,22.5185,46.7362,39.989,17.7776,51.8596,244.3895,17.2856,188.4753,140.6121,224.6169,4.3444,4.89,14.6487,9.7026,49.2612,13.8462,16.9669,9.8482,17.5723,69.4614,36.0865,19.854,50.4248,40.8583,65.8458,21.3867,50.4635,0.0
ROU_H50,2.8996,0.0336,2.5356,0.0814,0.0474,1.878,2.5248,0.773,0.5641,4.1435,1.3872,0.1962,1.5014,0.9524,0.091,0.5775,0.047,0.0481,0.3146,0.0497,0.8739,1.2373,11.1436,0.3819,5.0719,1.5317,2.8242,0.041,0.1889,0.1851,0.0069,0.2375,0.5082,1.172,0.2497,0.4291,3.4421,0.7459,0.4373,1.1443,0.8729,3.9877,0.5403,1.0676,0.0
ROU_H51,2.0368,0.0163,1.5545,0.0234,0.0179,1.8331,1.8314,0.3715,0.2619,2.1695,1.3567,0.0466,0.8704,0.1208,0.9909,0.6429,0.0222,0.8974,0.5091,0.4272,0.4425,0.5859,8.7134,0.1564,3.3768,2.105,1.5711,0.0025,0.015,0.024,0.0179,0.0412,0.3158,0.3067,0.0561,0.0914,3.7326,0.0688,0.1718,0.2969,0.3127,0.1935,0.2418,0.5364,0.0
ROU_H52,27.0399,0.1325,15.0757,1.8006,3.1641,34.4993,7.7512,8.3177,2.5489,30.4805,9.3853,1.701,6.3875,14.8466,20.9274,7.2907,3.2706,3.6204,6.1935,7.4938,4.1348,8.1183,45.1718,1.3755,31.3449,89.1077,293.2893,2.9211,2.6611,319.1757,0.1367,7.134,1.458,2.16,1.0804,5.7188,11.7134,4.1384,89.4425,16.9261,3.4769,8.6513,1.675,3.8191,0.0
ROU_H53,3.442,0.0,3.4014,0.418,0.1395,8.5478,6.6518,3.2204,1.173,1.4205,2.3307,0.1643,0.2454,2.7812,5.741,2.3671,3.4618,0.0,2.6275,3.8803,1.3661,3.3598,1.5661,1.9453,6.1025,20.9725,17.9871,1.089,0.8645,0.9383,6.0021,7.1652,1.9674,42.2056,0.9412,0.1453,0.0492,19.9761,7.5993,5.2826,6.0193,9.7958,3.6351,6.2749,0.0
ROU_I,20.6134,0.11,18.1486,2.4266,3.1167,58.927,29.8369,9.9559,15.899,13.5378,36.034,4.5543,20.7302,38.6633,31.4707,11.9887,29.7952,12.6161,26.883,14.7119,13.6311,15.0028,25.9663,17.0759,28.6219,15.0739,65.4908,11.4048,14.5673,47.7388,1.5793,101.4621,25.7775,42.4567,10.3938,71.2556,2.194,38.8081,24.4635,78.9342,84.7059,38.7961,39.9946,61.3176,0.0
ROU_J58T60,1.6295,0.025,1.4096,0.3077,0.2696,14.4286,6.6457,0.3425,48.1849,1.0755,1.2893,1.4376,1.0152,1.1398,1.7653,0.622,1.4745,1.4135,1.3043,2.3483,2.0945,3.3678,5.5172,2.6317,3.6167,15.7814,9.4791,0.1642,0.7987,1.2094,1.4162,7.7676,81.2231,9.986,4.0917,14.2999,1.5027,7.0616,1.9233,12.942,19.4608,11.2828,29.1873,18.9678,0.0
ROU_J61,9.398,0.1459,14.352,1.7615,1.3914,35.1505,28.0428,6.565,13.5157,14.8795,24.2194,3.0777,8.2162,11.327,24.0348,22.8626,14.1783,9.8638,10.0088,15.7661,5.7951,12.2,23.3477,16.1213,26.2768,48.405,49.6422,3.0118,5.7145,41.9234,19.0693,29.7698,16.7215,402.8154,10.9677,34.2285,194.9907,133.5799,53.5522,25.5139,18.4542,38.5288,20.2613,25.5522,0.0
ROU_J62_63,0.4715,0.033,0.1325,0.0905,0.4863,0.3607,0.0856,0.0366,0.1054,3.4955,0.2931,0.0231,0.0336,0.2064,0.104,0.1538,1.5287,0.0165,0.3272,2.7429,0.078,3.7687,0.2596,1.0887,217.4587,8.9119,5.974,0.8021,0.0399,0.1794,1.8756,2.6346,1.798,13.2805,36.4275,9.3141,1.0107,23.6965,7.7485,1.6948,0.8624,3.9494,2.538,5.3065,0.0
ROU_K,34.6218,0.1933,19.0811,1.867,7.6685,104.6112,47.5105,19.0868,14.3358,26.2554,19.1997,7.2399,10.4883,18.4159,28.7307,15.2902,15.3127,10.3553,24.3967,26.2345,12.5799,24.1699,89.3042,20.0274,308.8116,183.0669,102.7371,4.5088,9.4382,30.9482,10.7606,47.8195,9.1468,66.9949,8.0717,211.9695,366.5438,82.9614,34.2381,11.4814,8.9054,42.0833,13.9609,31.4947,0.0
ROU_L,7.8476,0.136,15.0945,2.2161,1.8797,29.5097,18.4641,16.158,15.8121,18.3671,39.6193,1.9424,14.814,17.6111,13.8929,15.6193,11.2477,20.0383,20.3884,31.6272,12.9962,3.5763,90.2908,10.1564,219.6263,31.4351,114.4243,1.0957,4.9097,0.3069,0.8618,37.7569,18.7071,55.5608,17.8455,23.1233,362.3988,96.0152,30.6087,91.3389,22.9811,50.0649,49.2275,59.2025,0.0
ROU_M,16.3772,0.6914,31.0051,2.1186,80.4829,65.1232,93.1155,5.1194,9.6873,21.5802,19.1896,18.3108,34.0233,39.3217,58.8367,14.6221,47.7854,12.5544,25.7242,48.6867,15.7522,73.899,52.3753,9.2137,340.9017,32.1045,126.7761,13.5856,5.8928,0.7958,1.5791,22.3361,12.3732,15.6568,46.1969,60.8351,29.0253,1015.2086,228.6291,52.3604,5.628,15.0324,9.5206,10.0351,0.0
ROU_N,7.4151,0.2539,9.4092,0.9257,32.3457,11.6867,34.5535,11.2245,6.692,11.2333,3.181,4.8756,11.7029,15.6053,20.9353,7.7125,16.6168,6.2287,10.6854,18.1438,6.1865,27.2363,47.8131,4.2815,136.2554,10.1732,83.7287,4.6561,3.0036,140.3922,1.137,6.418,4.561,8.4858,16.0841,27.9152,24.6656,302.4621,285.8893,28.1175,2.0891,8.6328,4.8181,4.1869,0.0
ROU_O,0.1279,0.0005,0.0826,0.0036,0.0055,0.0505,0.0719,0.0554,0.0348,0.0512,0.0389,0.0128,0.0439,0.0531,0.0692,0.058,0.033,0.0525,0.0378,0.0629,0.0353,0.0621,0.414,0.0405,0.3104,0.297,0.1331,0.0037,0.0176,0.1452,0.0134,0.0307,0.0329,0.2452,0.0188,0.0416,0.1328,0.1317,0.1024,0.0606,0.0414,0.0379,0.0511,0.1015,0.0
ROU_P,1.3002,0.0138,0.4205,0.0241,0.0394,0.8416,0.6088,0.2988,0.1639,0.4492,0.0864,0.1244,0.3048,0.6101,0.5805,0.2283,0.1088,0.0726,0.3717,0.1157,0.04,0.4008,0.3803,0.7606,0.1116,0.116,0.5615,0.2133,0.8602,17.4439,0.0114,0.1473,0.1499,0.0837,0.1382,1.0241,0.0176,0.1863,4.0556,0.6208,2.6138,0.2074,0.1903,0.3841,0.0
ROU_Q,2.3626,0.0166,0.5547,0.1483,0.1331,1.1678,0.7501,0.2059,0.3344,0.3015,0.2412,0.3739,0.221,1.8597,0.9043,0.3546,2.2868,0.4916,2.3145,1.9544,1.7584,1.2603,0.1986,1.5528,2.1518,5.6446,1.258,0.158,0.4703,7.6838,0.5185,0.6017,1.0736,3.3468,1.0926,1.9896,3.5713,5.3761,3.8638,0.5031,0.3032,71.1227,1.3223,3.0188,0.0
ROU_R,2.0307,0.0746,4.6618,0.5024,0.1236,13.073,5.574,0.4286,0.8844,1.1433,1.6317,1.0706,1.0783,0.8459,1.9315,0.6803,2.2499,1.7578,1.8435,1.8692,2.8858,1.2542,5.1301,2.0833,3.8208,3.8253,6.1302,0.5586,0.9934,2.1456,0.7299,7.2454,16.6672,6.8961,1.3726,4.7922,2.8612,6.8671,2.7544,1.5701,4.1476,4.1995,134.2004,25.6867,0.0
ROU_S,13.1629,0.3313,10.6556,2.4768,0.6509,46.2786,25.644,4.893,4.7191,8.7365,7.3576,4.0788,8.2163,12.4686,8.7442,6.332,10.6485,12.688,11.1011,11.2585,7.128,9.9044,46.3207,18.3441,38.9701,121.6765,52.2161,1.7765,4.5241,11.7208,1.6555,28.9179,19.6332,21.1554,11.0885,21.8874,24.2778,28.2322,15.78,7.9086,13.5975,19.7125,49.6772,169.6077,0.0
ROU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
