V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_C20,794.4376,2.8889,23.0533,86.8391,25.9252,491.0345,412.8144,149.6288,957.5898,101.7079,9165.8906,295.7559,3206.6438,415.2578,154.8288,482.1575,376.9097,226.0976,164.2933,1302.901,152.1551,386.8082,265.2199,175.8639,1313.1199,562.257,109.1275,5.9333,38.9612,48.9102,9.2389,140.8718,384.4771,28.5522,54.5268,248.9202,104.7695,764.4853,276.7493,336.0631,276.6061,517.3113,131.019,332.4015,0.0
GBR_C21,72.5389,0.5837,5.728,5.4269,2.5018,174.8183,22.6837,7.1908,40.6547,6.985,273.9498,1339.8994,88.4563,16.3244,17.0335,26.9375,30.5801,13.8988,31.9956,52.4083,12.7725,46.2266,53.4303,26.4559,122.135,204.1117,41.9469,2.024,11.3494,28.3269,5.0953,51.8156,63.7484,29.5582,82.6269,264.6419,38.0202,812.231,235.9762,244.9632,165.3701,2902.1803,52.0646,130.2887,0.0
GBR_C22,137.32,22.8103,27.4579,41.8195,5.2947,1955.023,168.431,126.3604,432.1087,16.4107,815.5031,271.9804,3082.8777,90.4517,45.9661,434.7292,466.8878,279.0132,661.1596,2669.6443,209.7569,933.8341,33.9593,213.6099,4576.653,2084.7375,665.708,3.4341,13.728,368.0419,4.2262,70.2002,82.7285,34.6454,184.188,379.815,49.772,164.8637,423.4657,250.1194,177.9069,271.2558,367.7894,142.7204,0.0
GBR_C23,9.4674,0.8844,9.3649,503.6186,2.7288,487.3253,15.3591,72.0047,24.4813,3.8942,122.3514,46.6858,253.5024,1199.1211,153.1584,133.8401,42.7753,166.9383,47.1134,521.0715,43.772,46.5385,18.7355,145.6486,9683.9285,598.1937,128.1901,1.4064,9.8899,16.5189,1.7772,87.1008,15.167,6.7295,8.2007,39.3541,264.8059,25.8899,31.8302,259.1722,253.3856,51.9454,182.8069,207.318,0.0
GBR_C24,9.3492,1.5037,120.6771,12.2499,32.6402,107.1625,11.404,19.5818,47.8162,21.7104,131.5587,30.9556,178.437,158.4702,3788.2072,3626.4216,350.9551,756.458,1797.4459,3020.0576,873.1091,1463.2867,170.5777,179.6505,1029.8908,237.9312,38.468,3.2811,33.6846,14.2117,3.5041,20.7198,23.0692,16.9123,11.0873,77.3155,38.1567,110.7833,48.6785,85.4492,26.3027,38.4267,45.8893,21.2029,0.0
GBR_C25,67.116,13.6067,597.3905,68.9881,112.1066,1056.3004,89.9247,197.7946,184.9393,70.0797,332.7628,89.0842,575.9722,277.4166,693.3562,4202.8481,606.9476,1004.5666,3179.2607,3644.2305,1871.2724,1449.6401,443.0577,731.1431,5455.3872,673.2002,132.8607,16.6858,204.2651,29.2048,5.0965,51.5445,44.1391,69.6281,26.3399,164.4733,173.1003,187.012,424.7362,1119.4006,101.7174,160.3685,66.1107,89.1372,0.0
GBR_C26,22.9625,16.1103,181.7999,50.5629,41.7686,175.171,30.7419,19.8752,93.233,36.2417,152.5589,32.2519,109.3571,74.2673,71.9126,176.0316,1935.0344,345.556,265.7713,374.0957,176.2675,330.9492,657.3549,102.8313,640.226,445.5682,209.1865,30.2311,387.5058,52.4481,17.0877,95.3049,438.1949,440.6276,286.9685,167.2145,44.224,343.9818,234.3633,1497.4584,320.8002,822.7587,109.9795,147.7052,0.0
GBR_C27,9.6668,5.7928,81.4466,20.5191,17.5963,92.5512,15.6083,10.7554,42.1972,14.8253,52.3711,13.9903,59.9643,33.314,31.2325,137.5437,582.9741,874.6443,404.162,450.4089,167.6926,536.5752,324.1863,95.3751,1901.7196,361.4082,140.1016,11.5209,147.1126,19.8387,4.7579,39.8274,59.4132,82.7097,59.6972,113.8668,24.7582,223.7151,164.2351,241.6561,64.3235,107.068,65.6142,33.5051,0.0
GBR_C28,52.4286,29.82,512.6843,129.8737,156.3977,529.7172,90.5541,60.9713,451.9619,96.6349,250.3214,117.611,270.508,192.8807,272.0524,510.9208,269.6531,401.1667,1156.2744,1279.005,481.2393,686.3095,1389.2933,199.922,1279.5621,1197.353,398.6774,60.1736,770.6668,92.2197,19.0177,183.1391,99.6255,282.2392,97.3486,241.9168,38.9023,316.4298,544.4012,240.4607,80.5854,347.8915,188.86,118.6704,0.0
GBR_C29,7.3661,1.7026,40.5495,21.1944,21.6749,72.836,12.238,12.1093,32.5942,7.3227,36.1622,10.1073,45.7631,26.3116,52.6588,121.2597,39.2364,49.5718,578.0616,6111.5118,97.76,157.1347,71.4637,67.5878,271.5799,5351.7314,443.3587,7.1665,42.1491,146.3079,82.9763,13.0615,29.5186,48.9235,56.1052,233.6549,44.1089,262.4974,506.6566,322.0676,166.1417,159.7276,91.6372,43.8263,0.0
GBR_C30,15.289,11.8515,245.4199,33.6743,44.8607,114.9679,22.8926,13.08,53.3281,26.9936,78.8791,18.7975,61.6104,52.4479,45.7396,127.2305,123.1679,52.6824,104.5754,148.9402,2492.3593,589.8035,474.0221,41.5677,160.6904,218.0126,178.4854,71.1405,512.6375,24.7288,4.706,64.0713,28.7158,88.68,18.8819,96.7238,43.8801,222.8065,104.6361,1071.5726,25.696,196.3731,77.1807,56.4063,0.0
GBR_C31T33,64.974,56.6566,679.4269,162.1496,120.1949,511.2951,127.6179,138.4439,271.9997,125.0011,400.6093,130.0262,324.6076,255.325,136.1258,553.1733,384.3116,268.2192,539.933,659.0813,769.2662,1222.6369,2329.7571,209.5744,1087.0656,1190.4949,700.1788,140.4426,1472.1415,112.5967,29.0191,261.6172,220.9026,465.0219,125.1064,525.0451,78.1774,359.615,534.3826,698.1206,405.8854,1855.3822,437.0569,220.6059,0.0
GBR_D,660.2672,49.6432,255.5615,313.8269,64.262,1577.0224,222.0477,185.4364,1000.0591,251.153,1718.92,239.0664,800.5127,988.0561,1349.2077,772.3661,287.3497,223.7982,410.7205,524.7961,274.055,527.2307,35833.435,1195.9423,1752.0289,5221.2212,1090.6509,23.4134,47.462,461.4973,367.7917,926.4854,275.2574,504.8362,586.3872,1881.1768,4077.8479,1674.9855,1713.6789,1765.5379,924.31,1456.9314,1369.0589,497.4016,0.0
GBR_E,200.7725,19.2986,49.3669,88.2797,11.4961,1023.7845,144.5895,87.1775,851.4153,83.2055,1009.419,109.3699,173.8164,194.8378,1914.8612,265.7912,82.0007,55.4953,131.7535,165.5442,86.2265,245.9206,583.3513,11440.4165,1047.9011,2458.1294,247.1159,13.7492,15.5391,187.21,35.8579,862.8259,92.306,89.3877,128.6351,1175.2012,432.4646,511.1834,973.8602,4740.6558,746.3424,1425.9093,619.2966,298.7674,0.0
GBR_F,194.8264,1.5081,531.7432,21.2476,236.4586,113.5285,15.6648,23.5678,50.0262,92.439,138.2751,12.3745,95.9701,54.1413,25.2487,379.1863,34.5289,10.1101,13.642,97.3043,263.583,628.9616,2489.9805,1477.0672,91350.9602,4340.0677,131.0678,14.4723,45.4067,692.7241,41.624,505.7918,108.1171,144.8153,93.5491,6586.4889,23343.6444,1926.8355,1223.9989,8089.624,1172.7437,1007.9038,528.4014,72.2044,0.0
GBR_G,3302.3214,133.159,434.4163,787.2714,161.7356,15649.7486,2638.8294,719.9887,3840.8389,629.3888,5777.1879,1414.4485,2795.2743,1477.3494,2162.3088,3002.2787,2711.405,1861.9942,2964.9695,7641.1899,1469.3114,3126.2408,2467.7463,1222.8368,10963.4189,19372.9867,6473.5965,396.4605,649.1222,2581.7304,765.3101,12054.635,4744.6989,954.7691,1452.8149,6935.7116,1059.2655,3484.0049,3914.2499,6024.1758,4362.085,6664.0519,2229.6415,1678.0267,0.0
GBR_H49,450.4121,5.5821,164.6917,1324.8003,40.5216,3183.8804,391.5577,398.7577,1323.2374,245.8332,1457.1202,136.8188,895.6301,1146.5721,664.5867,959.9446,419.0794,431.2236,557.9402,1215.4858,231.8061,689.1769,214.5326,682.506,1679.8722,15237.4452,7999.5378,89.3242,186.3646,2237.1772,750.6654,473.1069,648.9078,157.0375,372.4827,2076.9155,197.5146,744.8353,1223.0432,2007.7128,1518.311,1858.2535,418.1309,283.6457,0.0
GBR_H50,16.6922,3.9916,77.1213,11.0033,7.945,94.7455,11.2332,7.6248,32.5171,57.2647,48.7627,8.85,23.3208,13.3375,46.0999,29.6543,40.3916,20.1727,24.195,77.9186,29.1469,33.4311,41.6083,6.2864,103.1543,82.9832,17.1848,910.4099,10.0568,656.0651,3.42,51.8709,21.8003,16.2485,13.3211,104.3359,18.038,37.5795,148.5808,60.9535,21.3399,41.2677,26.8796,11.2641,0.0
GBR_H51,43.0182,1.8024,57.3243,19.494,4.819,196.8081,31.6563,19.5051,56.2756,113.8086,99.5936,23.8948,53.5959,23.1053,87.7679,67.297,74.7103,40.66,63.931,165.1238,79.9048,82.116,106.7997,54.2703,237.5433,236.0394,42.0116,92.0956,843.9735,647.7308,251.0357,175.7434,76.171,40.6002,47.6537,1101.3647,22.1775,484.2762,2089.3502,215.3966,51.4769,97.6824,45.7275,54.3454,0.0
GBR_H52,29.4057,7.5089,21.8916,25.4835,5.1016,377.0322,100.1285,20.1378,150.0518,18.8927,258.0124,564.834,187.5362,75.7525,76.1532,154.9591,299.2326,116.2437,93.6369,355.7246,175.5019,617.1817,100.1836,276.8263,247.2264,19119.8941,5694.344,2140.4888,245.2989,11758.5447,427.2319,108.4372,142.1234,372.4403,637.498,3727.3672,108.8609,156.5525,1152.5258,517.2522,112.484,108.9349,37.4212,94.9499,0.0
GBR_H53,30.0584,3.2388,20.1343,8.3188,5.6364,276.9589,43.2779,29.091,134.1859,24.7792,306.8493,195.7411,83.8437,119.5547,77.6547,73.3902,72.4119,37.5196,25.5579,93.1074,53.3435,389.1053,334.0731,50.6444,69.0598,4620.979,288.0719,10.4412,11.1411,359.4789,3466.9097,120.8092,763.2595,573.9638,719.5145,5718.3134,161.1327,957.6028,947.0952,2113.0028,510.0684,528.1013,191.875,302.9491,0.0
GBR_I,13.0674,2.1318,64.7587,16.3136,15.7644,1317.6524,69.4093,56.9049,136.7858,31.2812,447.9476,93.9183,154.2086,45.3279,557.4086,48.7965,769.6958,69.3167,31.671,307.1091,50.757,77.3641,241.7039,84.8844,85.7586,1108.9699,178.7227,27.3192,675.1429,159.8994,122.7306,1206.8142,518.8888,413.0436,403.1445,3897.9552,172.5555,1313.0079,2286.4458,1787.3127,1016.0269,927.4928,313.8785,126.9832,0.0
GBR_J58T60,107.7594,2.0274,18.4197,5.8574,5.2891,751.8177,104.6871,22.8619,273.3669,24.2015,320.5552,361.6538,82.3162,76.6643,68.4844,77.5347,75.5378,102.6803,79.9384,206.4421,136.9034,225.3389,174.7545,162.2281,482.7312,3207.5053,107.5374,45.6565,75.8257,101.6462,65.4376,261.4992,11284.9347,719.5518,548.3391,2732.9632,412.3391,1115.8698,670.3382,1410.5126,873.6042,339.5649,891.2636,671.1156,0.0
GBR_J61,446.6297,12.1239,42.0394,44.2293,33.1264,467.7306,99.6094,56.1054,227.4138,30.7465,243.0923,147.3294,160.9737,91.0004,99.3507,228.231,215.7177,112.0805,238.6098,202.1221,108.7792,314.5488,256.3634,215.1732,1800.0544,3894.6153,479.3532,44.3019,68.4371,396.4855,97.5131,497.8833,876.2306,7393.9795,2214.3241,10593.7114,1587.9453,2673.7204,1685.7583,2974.8542,616.2604,1303.9685,784.1418,561.4962,0.0
GBR_J62_63,127.0716,3.5136,162.881,31.9927,26.5214,531.0595,99.4343,38.3044,263.8603,33.7606,274.0486,379.3772,137.1882,84.4586,170.0982,215.7819,655.8556,156.5088,231.37,477.2953,357.587,326.8715,645.1859,266.8185,1477.3804,4764.1637,470.2572,75.1874,134.5192,431.7503,374.4602,332.2483,1444.3293,3347.1239,7146.8892,11929.9616,779.4062,4581.088,1926.7857,2971.2412,956.3278,1285.3632,647.3774,567.1051,0.0
GBR_K,1403.3159,46.6272,871.8478,609.24,172.8152,2481.4439,600.0844,346.8957,729.7538,708.2351,1742.7586,1408.9918,1003.4834,723.3233,811.2007,1581.2141,437.0016,670.2886,983.1636,1868.3808,1083.3199,1413.2853,1814.0308,1577.0738,6193.1296,12266.7083,1876.3599,343.7069,907.6776,2294.9364,500.0758,2152.5319,1146.5668,1863.3919,2807.2522,39173.4146,19222.5646,6742.5197,5249.623,9255.1536,2981.6296,3972.316,1405.3011,1790.5395,0.0
GBR_L,2.9667,0.0757,5.6284,15.3212,10.3259,34.3386,26.1074,63.8962,112.372,14.2135,72.8968,55.3082,173.2462,64.2496,36.4253,190.8926,4.7195,61.2499,5.1395,8.273,9.6416,130.6933,194.9011,216.3062,167.3905,10784.5599,443.2365,54.4216,444.6227,1437.1284,0.7948,1376.7333,975.9861,1232.6609,831.3795,4694.9089,1338.358,2794.4485,1237.06,3389.3394,1354.8657,1858.9792,570.8784,939.7588,0.0
GBR_M,807.7509,18.7079,1064.0838,75.6621,296.2908,2384.2542,341.6728,118.2481,686.3898,64.2781,1170.1024,846.6049,592.1143,250.0714,307.3594,652.3628,808.8072,294.6901,362.4008,918.2589,851.7613,808.8641,1280.3607,899.2862,6079.9396,19836.3294,1986.483,206.752,457.6225,1502.9289,249.5698,1642.7091,5372.2083,4559.0975,5974.3852,27639.5472,5892.4326,31992.4148,7135.5734,10506.7425,3064.203,4431.18,3382.9625,1970.5775,0.0
GBR_N,484.0055,16.601,360.9302,189.6107,689.3507,1312.9226,101.5678,119.229,426.5734,90.417,562.8248,504.9315,420.637,281.6241,256.8658,460.3006,529.9279,318.4406,726.6555,688.7907,333.5203,579.8775,793.4083,1515.0367,7422.2979,8966.4158,4934.3121,1939.1228,1571.2626,2695.1933,718.457,1489.7576,1359.9055,1999.3189,3558.3909,13653.5124,2329.4937,6496.7738,23826.3605,4400.3827,4584.128,5029.8028,2020.6656,1333.7966,0.0
GBR_O,15.7498,0.0093,13.803,9.9439,1.9234,129.7867,38.4277,9.4309,27.571,19.127,89.8418,133.5061,48.6105,11.7055,60.0111,119.1717,22.3483,28.7197,101.0046,80.1566,62.0018,65.7087,64.2976,149.8498,1678.1894,641.4855,3588.4998,25.3299,163.4236,37.4282,215.2931,111.4027,75.4423,65.8953,100.5504,391.4251,4589.5144,7243.9914,330.2954,476.8964,19.6628,114.821,52.9072,64.4149,0.0
GBR_P,9.7628,0.3374,19.4238,7.6541,9.9968,68.0696,40.052,2.496,21.1463,7.2245,64.9925,179.6345,82.2704,20.5452,30.0534,67.355,163.571,40.9132,11.2442,16.247,65.12,18.1804,33.1677,106.8027,127.0537,237.3331,172.936,23.9639,60.5814,162.0441,29.3196,38.8226,100.0592,1161.4092,551.9601,2729.1857,268.6802,2541.7268,832.7024,7701.4417,10763.8862,989.3168,88.5508,155.0258,0.0
GBR_Q,3.0533,4.9133,23.7756,1.2379,4.3768,34.5288,1.742,4.302,9.7182,6.1289,7.1801,111.745,61.187,12.6339,10.9376,46.2126,111.7469,24.9432,3.0717,7.03,5.2828,12.015,16.4084,49.6707,46.065,101.4463,20.3002,2.8864,11.113,14.4984,5.4078,18.9526,63.9089,31.3429,57.7225,853.523,15.7407,95.0192,214.605,338.6308,52.7481,11193.2744,107.6852,17.941,0.0
GBR_R,27.0076,0.8432,8.2577,3.5578,4.4652,174.4853,17.745,5.9424,25.8926,4.6094,55.7401,24.5461,23.077,11.143,27.412,23.2827,25.5648,15.4617,24.585,55.9741,18.3546,35.0067,44.9565,85.0648,185.7155,530.5596,46.9886,9.7834,20.3003,35.5073,18.1271,88.3634,1673.4029,157.8306,220.8705,1334.1451,100.9745,259.6607,471.9761,1350.4629,323.614,194.2299,3163.8213,59.2055,0.0
GBR_S,38.9022,66.1875,13.9559,3.8009,3.0008,79.483,13.0467,5.2242,37.3411,7.3767,42.2065,40.6235,33.3673,14.9464,28.719,47.4348,59.467,14.0938,23.6341,54.8396,23.758,33.4543,35.2956,61.5688,177.4019,180.7903,29.2947,4.8294,16.7713,41.7144,5.9258,277.4337,1150.1076,45.8574,84.1842,1060.0142,68.4892,231.8357,170.4691,2544.8288,959.1254,992.491,217.2348,2906.6277,0.0
GBR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
