V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_C20,0.2107,0.0096,0,0,0.0087,3.2025,2.9391,0.597,12.5522,4.1407,61.9229,7.7079,0,5.5544,7.6526,2.3026,53.5135,11.9473,8.2674,2.923,1.0052,0.9364,0.2773,7.1221,0.8181,159.9724,0.7838,1.2418,1.6357,0.0997,0.4629,1.1976,1.5876,1.4382,0.1396,5.9331,4.708,2.3827,3.9495,4.3068,9.4586,4.3433,4.1992,15.9291,0.0
HKG_C21,0.0466,0.0073,0,0,0.0011,0.8934,0.6953,0.0765,0.9745,0.4093,4.4884,19.8278,0,0.3854,0.8103,0.2163,5.6173,0.7288,0.9125,0.2447,0.1137,0.0745,0.072,0.6906,0.2473,35.209,0.2141,0.3524,0.5798,0.0143,0.1504,0.3298,0.2373,0.5105,0.0426,1.8324,0.8427,0.8195,0.5035,2.2899,2.6927,8.7285,1.6937,2.6544,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.0309,0.006,0,0,0.013,9.5268,0.7522,0.0874,0.6096,4.505,4.7557,2.1168,0,51.6195,17.4556,5.8111,96.3552,20.9021,11.3319,11.6943,3.9018,0.8563,0.1977,2.2972,4.6654,102.3141,0.4432,0.3177,0.6904,0.0453,0.8096,0.4121,0.3014,2.9163,0.0583,3.0383,1.8682,0.848,1.1281,8.7736,6.6953,0.59,1.5125,3.8726,0.0
HKG_C24,0.0115,0.0031,0,0,0.0142,0.4918,0.1547,0.0676,0.3655,0.5633,1.503,0.1969,0,2.7105,168.3663,73.9792,96.0546,41.1715,62.5997,9.4666,2.0897,1.7951,0.1044,2.3075,0.5942,47.6175,0.1862,0.1854,0.2142,0.036,0.1002,0.0792,0.1179,0.3489,0.0436,1.4697,1.3995,0.6942,0.6526,0.5204,0.5993,0.1205,0.3738,1.3152,0.0
HKG_C25,0.0253,0.006,0,0,0.0055,1.1901,0.7787,0.0938,0.5858,0.4815,1.0214,0.2165,0,1.1131,16.815,16.3368,39.9524,11.6316,19.6824,4.8139,1.8492,0.5459,0.1585,0.9089,1.5289,48.6535,0.4881,0.6608,1.5394,0.0372,0.1475,0.3344,0.1731,0.9293,0.0635,2.3916,2.513,0.7877,1.1532,1.0074,0.8776,0.4615,0.7048,1.2619,0.0
HKG_C26,0.1234,0.0271,0,0,0.0023,5.5577,4.3277,0.258,4.2288,0.3746,1.2694,0.435,0,0.494,1.7696,1.0977,306.0139,14.0969,12.5529,3.564,1.4473,0.2982,1.0236,2.909,3.3901,988.6714,2.5176,3.1844,7.7417,0.0937,2.1282,2.1606,2.1049,35.6466,0.9048,16.9431,8.0625,5.3125,4.613,5.67,5.6759,2.9122,4.3748,11.3888,0.0
HKG_C27,0.0366,0.0079,0,0,0.0012,1.6698,1.1075,0.0737,1.7586,0.2513,0.5551,0.1813,0,0.4541,2.0084,1.0702,80.3894,33.7081,15.6783,4.0094,1.4551,0.2194,0.6352,1.6458,1.367,631.1869,0.7157,0.9734,2.3203,0.0272,0.7862,0.5815,0.802,12.5455,0.1761,3.3091,3.6095,1.6582,2.0622,1.6283,1.8577,0.7182,1.7112,5.3953,0.0
HKG_C28,0.0602,0.0168,0,0,0.0108,2.337,1.5239,0.1428,1.5103,0.6494,1.2858,0.3634,0,1.2573,7.1761,3.8412,21.1799,5.2714,35.7025,8.6182,3.5363,0.2916,0.4501,1.1393,2.0082,98.2024,1.4231,2.6927,6.6041,0.0941,0.5537,0.839,0.3331,3.3333,0.0983,6.8821,3.675,1.1037,1.6781,1.6898,1.3128,1.6265,1.1753,1.9551,0.0
HKG_C29,0.0358,0.0047,0,0,0.0072,1.3385,0.9457,0.0348,1.0588,0.0994,0.3167,0.094,0,0.3417,1.8778,0.6662,4.6356,1.1319,6.5433,60.4806,3.5019,0.1831,0.0971,2.6939,0.4025,301.7005,2.2234,1.5454,2.0214,0.0158,1.4066,0.2862,0.673,2.5593,0.0908,3.5849,1.27,0.8984,2.0942,4.26,0.7672,0.3193,2.1432,4.0696,0.0
HKG_C30,0.0031,0.0008,0,0,0.0001,0.1091,0.0798,0.007,0.0762,0.0273,0.0633,0.0127,0,0.068,0.1094,0.0728,1.1962,0.21,1.4741,17.219,14.7325,0.0316,0.02,0.4941,0.0653,80.8594,0.565,1.5186,2.5605,0.0051,0.2409,0.0579,0.3463,0.4087,0.0138,0.9588,0.3527,0.3456,0.6383,2.7149,0.2288,0.0742,1.0455,1.661,0.0
HKG_C31T33,0.1652,0.0753,0,0,0.0039,7.8753,3.4541,0.388,6.2086,0.1029,0.5983,0.1651,0,0.4219,1.2007,0.8307,5.072,1.2394,1.9567,0.8835,0.6528,0.2497,2.1862,3.7489,7.5087,129.1415,7.5882,10.916,38.7962,0.2644,1.0359,3.3843,0.7268,12.7548,0.3166,18.1119,13.5914,3.7622,8.4185,6.8817,3.3756,5.3903,4.9728,5.6438,0.0
HKG_D,1.2542,0.2324,0,0,0.4378,62.8923,28.0074,4.3271,64.1035,0.5134,2.5503,0.4258,0,1.0423,4.1784,0.8265,3.413,0.735,2.8617,0.404,0.1803,0.3049,64.8462,56.7256,24.2104,650.42,49.7333,16.0212,29.1122,4.1541,9.9886,137.7539,17.8307,65.6243,2.5012,216.8289,651.3182,27.4789,32.3037,115.7614,93.2429,91.5105,74.2103,114.373,0.0
HKG_E,0.782,0.125,0,0,0.0047,43.0725,18.5021,1.9438,41.6298,0.2701,1.391,0.3318,0,0.6222,3.4676,0.7071,4.1653,0.8764,1.6244,0.6176,0.2908,0.1222,15.1055,153.4689,26.1796,884.4336,23.5013,16.8361,21.5863,1.5065,13.3642,58.0827,10.4086,51.1,2.3727,157.6693,553.901,29.5789,48.3911,68.0603,50.3357,38.8359,40.3908,77.7034,0.0
HKG_F,0.7151,0.1042,0,0,0.0224,7.4384,3.4151,0.2933,3.2732,0.2464,0.5039,0.1843,0,1.9716,1.241,0.579,5.9657,1.3336,1.3295,0.8367,0.3552,0.1425,1.294,3.6454,2144.1231,102.0535,9.318,6.0272,25.8869,0.3046,1.5974,4.8345,1.1439,9.6016,0.3511,18.0289,133.1569,4.239,4.4272,188.7088,15.2122,11.0323,4.4676,8.6224,0.0
HKG_G,175.2205,25.5923,0,0,10.9549,5399.2715,4911.8579,183.9708,2981.8762,193.4327,719.4092,290.3073,0,327.3702,1009.4042,400.4713,4710.3885,862.133,1168.9676,845.0831,454.5065,183.9268,609.1048,603.9537,2223.0266,52210.6405,1206.9038,1691.2279,2927.212,22.8759,254.5059,1794.0987,339.6192,1128.3782,66.6109,2586.2449,1466.7918,597.2122,809.406,760.007,897.1307,1546.5187,753.153,1381.1175,0.0
HKG_H49,0.5836,0.0883,0,0,0.0782,42.2653,44.9314,2.7943,30.2859,1.2502,3.743,0.7997,0,4.2779,6.9218,3.4939,15.636,3.7988,5.3391,4.1803,1.0481,0.5741,2.1868,16.6684,32.3109,1080.9457,400.2055,128.2427,18.9083,3.6801,21.6858,25.2942,5.4157,32.8048,4.4467,277.8064,73.3316,46.344,67.4972,18.6316,20.4265,21.6753,14.8322,80.7228,0.0
HKG_H50,0.3625,0.1264,0,0,0.0592,37.2188,45.71,3.9497,35.9801,1.5674,4.5568,0.6854,0,2.397,5.801,2.2998,13.1587,2.4459,3.5848,2.1066,0.7504,0.347,1.511,9.7392,26.2574,2563.4932,25.158,814.5931,703.7609,12.0432,211.9915,12.9772,3.7332,345.496,3.8043,258.3256,30.6829,43.2466,79.7799,17.6444,16.2127,15.5167,13.2811,60.5174,0.0
HKG_H51,0.6244,0.135,0,0,0.083,27.3806,30.6557,1.4111,15.6019,2.8985,8.5183,1.6353,0,8.7185,13.942,6.9687,33.3733,7.7204,10.3733,7.7566,2.0472,0.627,2.1362,4.7672,14.5813,1083.2959,13.6972,283.7949,245.3344,3.0844,82.0966,14.7371,2.9803,111.476,2.1379,106.2895,20.7009,20.8941,25.4223,11.8995,10.4109,10.4556,7.8676,27.9181,0.0
HKG_H52,0.0125,0.0024,0,0,0.0159,0.8319,0.74,0.0491,0.6342,0.0196,0.0603,0.0149,0,0.0641,0.1086,0.054,0.2773,0.0643,0.0925,0.081,0.0242,0.0579,0.0357,0.195,0.6294,38.2207,0.754,10.0748,9.0,0.182,2.2949,0.3002,0.0917,4.5923,0.0735,3.8304,0.8529,0.6171,1.2033,0.3253,0.2889,0.2973,0.195,0.8306,0.0
HKG_H53,0.1651,0.0355,0,0,0.0011,18.4048,14.4594,1.0069,8.3745,0.0572,0.2526,0.0938,0,0.0913,0.2526,0.1244,1.4603,0.233,0.4143,0.1191,0.0442,0.024,0.99,5.775,5.0161,699.3148,6.7677,87.5922,14.0607,0.4483,133.3602,5.9338,4.6503,179.5339,2.3139,216.5807,62.0958,24.2109,25.5214,21.7674,12.1293,9.7531,10.5046,33.4121,0.0
HKG_I,0.0922,0.0277,0,0,0.001,5.2416,3.7777,0.2515,2.3545,0.0518,0.2041,0.0619,0,0.0836,0.1536,0.0546,0.5905,0.109,0.1498,0.0649,0.0299,0.0222,0.5682,2.0431,3.1277,137.7153,3.6972,8.0427,3.3995,0.2126,2.3105,14.2715,1.9144,10.413,0.6605,35.4381,27.7672,5.4341,5.8895,5.0495,13.228,5.8783,6.1254,11.2648,0.0
HKG_J58T60,0.275,0.0584,0,0,0.0002,15.8605,10.9678,0.2992,5.2157,0.0481,0.2239,0.1,0,0.1277,0.1348,0.0746,2.1791,0.3082,0.3987,0.1105,0.0561,0.0405,0.8275,1.8288,4.4067,388.9732,4.7647,5.0945,9.7599,0.2618,3.0772,6.7383,79.1345,47.0537,1.3233,72.6318,68.5733,26.7416,9.9273,8.2006,8.9375,8.0208,32.1024,14.4568,0.0
HKG_J61,0.8186,0.1812,0,0,0.0024,64.2378,60.886,4.5624,29.7081,0.192,0.8613,0.324,0,0.3061,0.8963,0.484,8.3891,0.9547,1.8088,0.4271,0.2085,0.1023,3.4147,23.0767,31.4922,2487.6388,34.5812,466.0381,87.127,1.9942,23.4137,37.8752,34.7848,965.1529,17.7297,806.4251,260.7124,115.7437,117.6811,78.1976,54.6159,54.8034,54.7384,128.9205,0.0
HKG_J62_63,0.2697,0.0572,0,0,0.0014,29.6636,25.5548,1.6071,15.2076,0.1001,0.4414,0.1806,0,0.1639,0.476,0.2039,4.6609,0.5966,0.848,0.4133,0.2128,0.0699,1.2915,4.2813,7.8721,752.8081,11.859,9.4936,19.4478,0.7763,10.7079,9.2401,6.4429,98.9109,10.9621,279.3773,45.796,19.1978,18.4748,39.8223,21.829,13.4206,10.7771,20.4454,0.0
HKG_K,0.4643,0.0702,0,0,0.0094,109.3277,72.8774,6.3136,70.0108,0.4072,1.416,0.4013,0,0.6167,2.2843,0.8599,7.5767,1.2776,1.8576,0.6509,0.2565,0.1637,13.08,37.0655,26.4938,3288.95,57.3567,74.6279,37.8167,3.3944,18.9388,43.9008,18.5432,126.9958,11.2475,3736.488,1391.7181,110.8966,150.7006,37.9273,84.3385,43.1859,57.1006,192.6209,0.0
HKG_L,0.5853,0.114,0,0,0.0041,54.3896,55.0294,2.4802,25.4489,0.1275,0.5568,0.288,0,0.3733,0.7096,0.4282,6.8504,1.154,1.9066,0.4483,0.1845,0.1774,9.1229,78.0673,48.7427,4993.2128,53.5801,29.7406,41.723,12.9118,16.9146,267.8739,54.5956,123.3063,15.1649,797.9505,996.8672,163.5017,165.2791,29.7877,111.9992,113.9758,199.9444,568.3935,0.0
HKG_M,1.5167,0.3173,0,0,0.0454,110.2222,65.8245,8.3634,69.4943,0.2673,1.5687,0.9778,0,0.4361,1.3119,0.6131,11.7899,1.786,3.0681,1.1158,0.5187,0.2311,4.6893,25.4913,55.8285,3584.8374,44.6207,31.3923,59.74,2.4514,22.1088,37.7812,19.6651,183.182,12.4753,576.8977,447.1372,246.5204,121.2159,118.0065,69.551,65.9013,46.7942,94.7357,0.0
HKG_N,0.7408,0.1496,0,0,0.0361,44.928,30.8489,4.2638,32.8091,0.1096,0.6274,0.2598,0,0.2229,0.6028,0.2924,4.2419,0.6885,1.1723,0.5011,0.2121,0.3077,1.9382,15.6938,18.4946,1765.6001,39.9666,60.5292,90.8894,1.9223,29.164,25.8011,10.7455,150.3832,6.5766,262.6732,242.2633,73.0607,134.493,53.8061,43.6229,51.6404,34.0898,51.3958,0.0
HKG_O,0.2115,0.0503,0,0,0.0317,11.1722,7.2098,0.8087,6.1767,0.0339,0.1706,0.0849,0,0.1101,0.5477,0.1992,1.4555,0.284,0.6603,0.2749,0.1371,0.0951,1.4129,9.7253,27.8092,425.8368,8.8938,10.7374,50.7883,0.9209,5.3352,13.5167,4.2286,22.3105,1.7528,95.8484,55.5074,19.2612,18.3085,133.3112,19.4665,12.4909,14.8135,32.111,0.0
HKG_P,0.3139,0.0712,0,0,0.0016,25.4602,15.8325,1.5033,19.6565,0.0681,0.2419,0.1603,0,0.1367,0.5295,0.1979,1.7418,0.2756,0.7454,0.2844,0.136,0.035,1.6846,8.1904,14.1624,783.381,15.3815,14.6628,21.1003,0.9315,10.4206,12.5868,4.4146,52.3831,5.5075,177.1039,96.0761,43.1273,35.2197,65.8279,190.9515,27.6726,14.3761,41.5879,0.0
HKG_Q,0.0386,0.0096,0,0,0.0007,4.8676,9.3033,0.2525,2.4634,0.0571,0.1645,0.1192,0,0.0604,0.1618,0.063,0.5771,0.1033,0.1776,0.0634,0.0306,0.0146,0.5402,2.2904,3.2325,174.026,4.2065,10.0405,3.5618,0.3656,2.4427,4.3804,1.0074,9.4174,0.5662,50.9434,33.4885,7.9275,10.8853,4.4589,16.4307,76.0513,6.9649,13.3489,0.0
HKG_R,0.2681,0.0664,0,0,0.0006,12.6535,7.9585,0.3142,5.4611,0.0419,0.156,0.0658,0,0.0511,0.1693,0.0674,0.9157,0.1513,0.219,0.1125,0.0529,0.0149,0.9859,5.7421,4.19,422.6011,4.8581,10.755,12.3695,0.5883,6.8265,7.8946,27.1381,35.1086,1.6713,105.9952,74.6452,26.0826,22.7878,14.1596,20.8702,11.6264,324.2991,58.0206,0.0
HKG_S,2.1994,0.6534,0,0,0.0225,105.1754,90.0774,4.5768,46.4939,1.6699,6.5394,2.6398,0,2.1947,9.0891,4.1668,62.1609,8.443,13.1815,12.523,4.8597,0.7598,9.8901,32.0635,41.8027,1681.171,32.1716,31.7781,63.4669,1.3259,18.7211,53.8735,20.106,78.0289,5.8964,280.2466,254.8949,60.8313,66.8211,36.2372,40.8213,56.0977,66.8071,242.2115,0.0
HKG_T,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
