V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_F,374.6188,6.0569,10.3309,140.4157,4.4687,1374.4806,165.949,126.055,284.1925,88.3679,340.9093,94.2526,107.816,767.9772,345.4881,376.6628,63.8288,75.569,179.3535,204.4449,46.1949,182.3053,856.8341,1074.7248,139992.2641,5535.9259,310.8791,27.0299,119.6743,2134.9806,90.8803,2174.034,479.7851,1232.4501,454.4988,1579.3775,9569.6587,1588.316,691.3329,1192.1458,1220.2195,1079.3934,845.7465,198.5019,0.0
ESP_G,2966.6181,118.9875,62.1313,341.9877,6.0448,12745.3436,3469.7964,1285.1422,1430.5785,1451.2767,3224.787,1040.3257,1615.0153,2657.2509,2127.5851,2286.603,992.7846,1561.0781,1496.4887,4577.7078,703.6469,2030.9071,1791.9715,1517.6946,14171.0125,5947.9825,3685.5932,104.9781,375.0916,904.3057,189.9524,8239.4037,1281.4958,1105.0047,232.9087,774.8503,374.3146,2503.4895,1563.6194,1239.6556,637.0014,3380.3982,976.3945,705.9446,0.0
ESP_H49,304.3812,20.4284,14.1707,237.1095,3.4791,3606.9251,600.3943,341.7803,637.2816,566.4275,1182.1795,142.3329,529.2467,1546.3515,952.5278,862.0889,140.5131,312.9302,360.1686,887.1102,130.4403,437.9189,323.6856,108.0585,1549.55,6665.188,570.5925,33.2848,90.3417,3935.8359,100.0451,485.1551,537.9504,204.3497,47.635,120.7548,33.4468,218.5159,395.6297,436.8197,87.7566,318.6589,137.8316,176.4548,0.0
ESP_H50,14.171,1.4996,0.5151,2.2506,0.1688,68.6476,21.1386,16.2465,13.2488,63.6711,35.0751,20.6447,16.6192,28.454,30.7582,37.919,8.0277,14.732,14.9901,50.5214,6.7962,14.8285,30.5993,8.9325,80.5284,117.1187,12.6559,1.3388,2.9441,83.7552,1.8816,34.9226,9.7365,8.2628,2.1728,4.5995,1.8546,17.9182,47.6873,17.6065,5.0464,20.672,6.8186,4.1949,0.0
ESP_H51,17.847,3.2315,0.6519,5.3744,0.1309,82.6986,20.4297,10.422,17.5514,101.7649,28.0043,6.5752,16.3975,31.9188,42.2629,39.6614,12.7441,21.4178,24.6839,60.7933,15.107,31.0017,46.3838,12.9338,110.0814,78.2984,73.0862,6.0646,14.9096,46.175,1.5719,43.2932,12.0003,18.984,2.4962,8.1029,3.2733,11.1131,42.5378,13.2887,5.3819,17.4286,9.8361,4.5178,0.0
ESP_H52,164.1637,103.4278,11.8531,253.4318,3.0033,1161.6288,206.491,61.0329,323.5119,255.352,578.3927,118.1653,264.9294,846.5916,799.1043,449.2624,55.6693,143.7459,161.1499,401.3335,90.0234,177.2006,80.6585,121.9552,643.11,5084.1512,7502.2989,605.206,1107.7315,5265.3648,48.5753,155.1005,134.7265,119.5225,47.5498,98.2523,43.6828,413.0479,151.4656,193.4645,28.346,66.8609,70.3679,53.4081,0.0
ESP_H53,3.3113,0.5237,1.8106,7.4861,0.2196,118.7942,22.0147,7.1202,37.2988,5.5642,46.1679,26.9591,20.1578,41.8528,18.9613,44.5119,1.3838,8.9075,21.7615,32.8907,3.196,17.2111,69.3491,22.9019,200.5995,356.1669,20.7545,2.1904,1.4821,46.5818,824.3646,131.6739,27.7424,1152.9884,132.0614,163.8461,119.4071,719.7762,260.7862,83.3641,19.6476,94.1011,12.6867,22.1472,0.0
ESP_I,11.0503,1.6528,0.6727,3.9139,1.2542,222.7552,28.0851,20.7543,13.9345,10.7337,220.319,54.4486,29.6126,21.1684,41.5768,54.4359,14.7137,8.5393,20.5055,28.6648,17.8668,22.0748,126.6477,30.6984,357.8842,557.5372,168.1398,17.0126,68.7833,78.366,78.338,147.2287,65.5966,67.04,15.9778,447.0956,38.4445,554.6218,3209.6853,380.759,386.5084,884.2709,577.8291,475.348,0.0
ESP_J58T60,5.0762,2.0044,1.6333,11.4428,0.3529,643.5592,114.8167,11.3953,691.6388,13.519,153.857,92.6256,54.7093,114.6589,46.3519,51.9688,22.7148,40.4324,48.4718,98.1312,33.4702,54.2891,82.1343,81.1336,110.4695,1308.1575,42.94,10.4268,27.7748,137.3651,7.5922,294.1934,2936.6777,139.6164,151.9958,695.9646,267.1158,4468.1937,1004.836,433.5697,216.1043,217.6415,336.8604,313.8461,0.0
ESP_J61,47.0026,22.5367,18.1346,69.7092,0.9936,995.2379,295.5503,56.3264,173.5887,77.3633,507.5552,136.0716,76.0434,310.5778,160.3469,140.4995,62.1441,89.7006,134.9752,127.8348,22.0775,120.9903,996.6731,147.7248,1120.6187,2746.5498,287.2856,15.8779,254.1506,417.7782,52.7265,1311.6467,599.8293,5910.3316,402.8075,1434.1133,1117.0996,2966.9792,1138.9178,1607.3276,453.4421,646.3639,316.5312,436.3843,0.0
ESP_J62_63,15.1667,1.7349,1.0514,3.9751,0.4213,249.4309,47.5445,19.0156,40.8689,41.5132,85.8285,25.1662,8.3459,88.4899,56.3617,36.9844,27.6055,24.2971,48.5189,70.3914,11.4359,86.1146,157.2523,31.2666,111.2538,269.322,619.4231,4.5071,39.4873,98.4427,73.1133,57.3038,117.7944,657.4519,1952.9061,571.4461,28.3359,412.4853,113.8593,517.7199,67.5681,345.3371,30.3572,59.335,0.0
ESP_K,610.8049,60.1837,14.1482,64.7291,4.7542,1461.7886,395.122,111.2751,328.786,410.6867,508.3619,149.4395,289.1763,459.6759,484.476,520.8311,102.8548,202.3281,304.1521,573.7261,126.1933,319.1671,830.8403,230.8453,3646.4638,6119.9128,1286.8475,46.6245,244.906,516.5136,55.2863,1860.7872,272.0859,496.1849,271.6653,15264.1959,4127.8648,1193.1725,784.683,695.112,274.3302,730.2053,279.8182,542.708,0.0
ESP_L,14.5357,2.9542,2.1756,13.6854,0.3022,489.8473,99.1355,29.4786,41.0921,19.9689,90.3173,97.0632,80.2267,170.8813,52.7247,154.8594,40.3766,51.0653,76.525,133.1411,49.5545,82.4653,216.5473,48.8699,1087.8249,6591.865,170.425,3.3846,2.7903,301.02,23.1895,1895.2868,297.6249,404.1274,152.1684,709.1207,258.2276,655.7796,535.7498,225.9313,355.4621,652.107,230.8937,222.133,0.0
ESP_M,115.6001,21.6605,18.9574,147.4799,9.2951,2845.6206,729.3671,83.33,390.8192,227.5744,761.8459,482.2391,346.0192,713.5188,516.373,936.2227,253.4438,372.8999,429.2167,605.9127,307.0144,628.1927,400.9909,374.5957,4720.8264,8039.7679,371.9758,103.0649,156.4874,388.9169,83.4669,1043.8627,1091.6329,2106.5049,395.7234,2301.8519,2009.8411,3908.8818,1014.948,1757.3168,298.4759,1176.5963,922.5031,696.1327,0.0
ESP_N,97.3869,14.7534,25.828,142.8858,9.1031,2595.7426,405.5259,132.4175,669.5413,210.8356,1070.8145,524.84,584.2352,1008.2447,314.7925,752.4908,163.709,300.8668,424.3937,1154.0318,181.2874,351.7147,1066.3572,369.6215,3261.6843,6581.7695,1250.5384,86.7265,1196.7219,851.8286,114.8238,716.7411,299.6828,1070.0395,632.2323,1274.6561,884.2085,1000.4274,3059.5115,1240.3823,340.24,1135.7731,287.9989,487.0116,0.0
ESP_O,55.9724,8.5754,1.6411,25.7569,0.7073,224.4388,43.1906,42.8522,63.8778,38.9356,84.8012,29.7206,41.5207,96.4662,80.1355,68.6477,17.3588,27.4978,32.1079,71.2675,23.8605,35.6142,41.0161,38.171,273.2471,793.8274,573.5715,47.455,79.3292,422.8786,7.0016,222.1824,52.9629,81.0313,18.6516,54.65,50.4687,143.6832,164.4858,113.2841,25.4615,69.3694,130.9731,34.4232,0.0
ESP_P,33.4385,4.3913,1.7444,5.2063,0.0905,270.636,75.3432,19.2681,76.7321,48.2031,93.1654,72.3869,47.2141,66.7793,226.8749,71.0274,15.2411,17.0869,21.1976,76.5949,20.1795,38.701,101.099,28.3475,83.172,425.0022,52.3139,1.6573,5.4423,22.0626,9.8124,131.4769,42.4394,77.6117,23.8004,36.7941,25.923,245.3851,61.8857,91.3344,114.5883,96.1653,11.6585,39.8978,0.0
ESP_Q,153.1295,6.2157,1.5804,7.9305,0.1103,265.186,42.9661,21.9656,37.2216,15.1287,79.4605,24.0701,34.158,37.8637,15.8669,9.6128,5.8388,17.176,18.3215,69.005,15.6832,55.2033,50.5787,36.5534,405.7853,1117.5848,63.268,1.9909,9.1475,8.7242,5.0779,256.7492,47.2301,242.363,34.2791,71.7813,26.1008,386.5208,142.2915,144.487,46.5297,4516.7485,69.3207,47.2697,0.0
ESP_R,6.7652,1.8729,0.2014,0.9816,0.0863,111.9265,20.4433,1.1511,89.4066,35.7156,20.5448,4.3973,13.1614,6.2773,23.0133,25.8982,22.3636,3.3208,9.4747,113.9543,15.1976,88.3149,5.5352,7.9254,61.9704,160.346,11.6573,1.5738,12.1353,48.5972,8.4683,194.7495,517.0854,104.9912,3.8038,83.5447,34.4593,1410.9237,570.2574,143.7876,3.6174,20.8652,2535.1358,28.4633,0.0
ESP_S,22.4293,6.7936,0.3497,2.4259,0.5349,187.4824,33.7723,16.6641,39.4516,35.4104,96.3397,25.9451,20.3675,60.8562,47.909,54.2534,17.3751,15.0062,26.5799,67.4634,10.4364,56.5513,89.0696,19.2513,239.4243,275.2092,106.3998,9.2885,6.5586,25.1551,2.805,273.645,116.6221,42.0596,48.706,337.9497,62.4386,497.6177,314.7286,159.4058,31.9658,367.9181,90.9084,145.8124,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
