V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_C22,31.941,4.3816,1.0586,4.5588,2.9599,154.8973,128.3984,12.9911,113.4708,41.4551,290.4058,24.6579,730.3948,21.8559,28.8253,148.1095,1232.0067,210.9593,269.1384,187.6047,107.5219,96.5878,5.37,27.7167,316.8768,361.9476,54.1421,1.0251,2.2921,2.3961,0.4351,104.0047,15.3185,0.8036,1.8584,2.6568,1.2444,22.2575,8.3691,26.8911,9.9358,14.9927,9.4312,72.4,0.0
TWN_C23,3.6822,0.9365,1.9765,1.7564,1.071,42.2382,74.9256,0.7277,8.8706,18.6575,87.7728,47.9333,8.5348,1084.7342,255.8574,70.904,461.7544,43.4224,64.2741,63.4672,13.2339,18.0804,44.1223,18.3836,3635.6171,22.9561,16.1938,0.9388,0.8472,0.9533,0.4158,30.0268,1.9046,0.6098,0.7501,3.3828,1.0677,4.7235,1.9474,27.3381,22.4269,25.7591,1.5156,10.5688,0.0
TWN_C24,6.9781,8.9254,5.2689,4.098,1.7075,26.5874,22.5432,1.8917,33.2752,153.4155,287.9594,2.9841,97.0972,124.901,14427.5345,4299.0061,938.0007,974.5168,2787.3554,515.7707,384.9708,264.4209,78.6125,95.7516,2228.0957,77.3097,41.5912,2.8574,22.7217,7.2795,0.5768,12.4578,3.6294,1.4167,2.2827,4.9746,4.0716,8.0679,18.5552,20.5077,3.2773,9.0126,2.4166,24.6583,0.0
TWN_C25,33.1689,1.9193,1.995,6.588,4.7523,193.3897,35.4932,10.0661,23.9518,52.4266,136.1163,9.655,130.1758,53.422,519.5668,1658.4913,719.7008,263.3318,1285.1159,209.9856,123.7022,177.2657,19.8316,13.6352,1769.8941,68.6327,17.0994,1.0217,1.9906,2.9887,0.4224,49.6112,8.6175,1.4187,3.9726,4.7383,3.1161,19.7707,7.0373,212.1661,17.2155,44.9305,5.3045,38.2308,0.0
TWN_C26,112.3098,18.9225,2.0423,4.31,1.9398,268.4814,117.0813,16.1537,91.541,114.6199,349.6521,20.8126,79.9126,52.466,355.2702,153.1171,21450.26,380.6529,638.5862,86.1498,87.3376,64.6002,50.2299,96.0289,381.6675,91.1705,18.9968,2.686,12.18,5.2919,0.5078,88.0418,113.1385,44.8354,166.9207,22.144,10.7598,156.3497,41.0519,61.982,104.3799,226.8434,25.8701,45.5223,0.0
TWN_C27,7.5885,2.2103,0.8197,1.6311,1.0574,17.8804,11.3087,1.2007,6.3699,32.1346,35.0526,1.7393,15.1707,12.3822,56.2703,53.2644,774.2585,1692.7309,855.4615,144.5695,61.5355,56.0731,47.0256,8.7829,1303.429,73.1929,18.1699,3.7782,13.0951,7.233,0.67,10.307,12.7208,57.2875,22.735,6.0847,9.4209,39.4654,26.7804,51.0916,67.1976,27.2174,4.8922,40.2399,0.0
TWN_C28,13.2498,4.2473,3.9999,10.1951,6.617,22.4916,22.1953,2.0123,9.8136,46.5944,48.2783,1.3411,20.6948,31.5448,67.8506,76.1511,230.4945,118.0118,831.9542,44.153,48.591,87.1548,16.8318,18.6999,297.2835,44.2053,13.1825,1.1069,6.7601,2.7463,0.5488,7.2995,3.4319,1.6495,1.7156,6.8712,4.2802,4.7526,3.5742,14.7035,5.8519,18.0527,2.2788,12.1811,0.0
TWN_C29,3.6909,0.6567,0.3676,0.1829,0.0939,10.1207,6.4716,0.5674,3.2648,22.1946,11.5502,0.7011,12.5392,4.8224,14.735,11.8386,39.0569,20.6048,26.7547,2070.4901,24.4606,2.9852,1.8014,0.9411,19.8163,270.8626,59.0905,0.5042,2.278,4.6249,0.3866,4.431,1.3367,0.6123,1.3743,1.4497,0.6752,2.4939,11.1246,54.2171,2.992,9.4828,0.9822,209.6031,0.0
TWN_C30,0.773,26.8521,0.1894,0.1122,0.0728,1.9885,2.0274,0.1521,0.9289,3.3913,5.0904,0.3841,1.2107,1.8764,5.9565,6.7717,22.2962,4.9985,14.8033,86.2315,1166.1196,48.5354,1.3555,1.4803,3.1957,71.9564,14.804,11.6141,38.5132,4.0368,0.1811,1.0806,0.7374,0.2295,0.7263,0.8335,0.4185,0.967,1.2851,24.4645,1.6738,31.6525,1.2026,54.0984,0.0
TWN_C31T33,4.5441,23.0239,6.1117,2.4904,2.0178,17.4684,36.677,2.8124,21.1433,86.362,116.7476,2.7613,20.3819,47.3333,142.8581,41.7742,316.5532,30.9675,95.6682,22.7999,32.1771,192.4941,65.3167,47.6587,38.0599,35.4603,70.8397,5.8544,132.6129,28.2385,4.7724,9.4698,9.458,1.1285,5.6366,6.3514,1.4275,8.9857,10.8112,41.6634,19.3892,193.0679,33.621,15.286,0.0
TWN_D,28.3483,30.5888,12.5761,24.0828,13.2373,132.0701,291.1913,18.6939,209.4867,1721.244,1091.6418,21.2527,198.5998,293.1985,823.6035,255.7275,1007.4706,76.5284,107.027,59.9814,37.8631,48.3248,1240.0024,59.0321,61.4826,631.103,43.6127,1.5981,16.2892,23.2,3.6833,322.731,18.9407,58.775,17.2186,54.2581,43.2097,55.3241,16.9559,79.1194,124.2176,200.4254,61.2815,119.4943,0.0
TWN_E,9.2276,0.6353,0.806,1.7676,0.6388,30.0868,33.6753,1.4339,219.8725,51.2266,114.8086,2.9162,15.7281,39.6637,1300.4017,26.5371,102.9277,9.3938,7.338,4.5602,3.5436,10.5484,12.7667,668.219,9.2582,60.3585,4.7564,0.2091,2.2309,4.9039,0.6406,35.6163,2.8857,2.1453,2.77,8.5369,7.6813,11.016,2.3443,387.3038,90.9752,68.0483,8.468,21.9121,0.0
TWN_F,21.022,3.305,2.7517,7.7272,4.2941,30.7819,41.8837,4.0245,24.0101,191.5242,174.7625,5.8671,28.9839,42.1604,162.8416,61.3802,204.0126,17.3731,42.7855,6.6918,12.4046,17.4072,50.2823,38.3811,38.1271,317.2895,119.8763,0.8562,4.5128,27.9835,2.1053,44.6849,36.5178,128.4806,10.6076,45.2978,913.8371,20.4392,13.3162,70.8064,67.6795,66.7176,20.0222,30.6002,0.0
TWN_G,1083.954,185.2552,6.3782,30.6784,13.5485,2376.2292,959.6567,86.183,623.4994,698.139,2154.3219,149.0084,476.1848,328.7732,2006.8161,808.0771,3371.1951,730.1679,900.9819,1005.3913,259.9752,194.5154,330.4224,54.4121,1670.3291,868.7734,414.2072,10.2036,80.459,24.1149,5.6982,924.5812,359.742,31.7217,61.0927,105.5775,39.5941,290.6023,81.1317,200.3733,117.2377,497.2974,83.5518,239.938,0.0
TWN_H49,31.0137,25.0442,1.3141,6.997,3.1172,104.1829,88.5975,13.446,45.9215,215.2965,211.2036,18.8696,67.7086,73.9968,243.1526,129.6198,527.1178,87.5733,182.16,55.604,30.2316,40.1131,70.7799,10.131,312.1767,496.7117,63.9666,122.4789,74.4664,72.1151,44.0883,40.3848,27.5149,14.085,42.45,103.528,15.4552,66.4127,25.4565,106.4292,47.1568,137.8238,10.1866,54.9241,0.0
TWN_H50,1.6358,16.83,0.5624,1.3591,0.7101,8.4073,4.7297,0.3204,1.7113,141.4396,27.2338,0.3416,3.1725,31.3948,21.3025,8.7478,31.8608,5.1164,31.521,2.1951,4.9149,1.916,18.7257,0.4195,49.956,307.6106,13.1546,2998.8075,28.2229,117.3489,5.9728,1.518,5.8177,1.963,0.5062,1.3663,0.5824,3.3675,11.8676,13.0099,3.4495,1.8768,5.6664,10.5107,0.0
TWN_H51,9.1517,1.7716,0.5727,2.0071,0.9257,22.5748,17.1993,2.4376,10.1254,94.9225,66.6482,3.2601,13.6958,12.6567,55.2466,22.7645,121.3094,18.2327,34.574,12.6436,7.4059,7.4017,19.0431,1.3685,45.0721,64.0385,7.9492,7.1327,304.7735,17.3676,85.6233,8.6502,4.9022,2.1139,2.8931,9.7823,1.2343,13.6533,5.8839,19.0929,7.7804,12.9128,1.6251,13.7156,0.0
TWN_H52,1.1758,20.0818,0.9321,0.7123,0.3614,32.8384,51.5007,4.0824,18.0539,49.5132,89.2304,6.16,55.8033,11.3413,102.5331,83.18,378.8191,65.0232,102.7591,18.9258,16.1076,15.7714,3.9302,0.8529,35.7175,759.2023,34.4158,693.7834,702.6531,122.7513,10.8134,14.5626,10.2649,15.5551,5.686,11.2454,3.3958,6.2653,9.0799,19.9401,2.6729,9.5068,10.1867,10.2152,0.0
TWN_H53,0.188,10.7462,0.0603,0.4555,0.3487,4.7303,15.2532,0.7697,5.6594,5.9473,12.5189,3.4366,12.6187,2.1198,11.1997,26.7853,90.6461,13.4942,32.8522,4.9039,2.6078,7.4478,1.3374,3.2775,13.0654,301.9398,6.8925,10.3464,2.5857,13.149,178.562,19.3054,6.5084,79.545,6.8824,84.1668,12.5667,28.8397,11.272,78.0422,9.6482,12.32,3.2774,18.4185,0.0
TWN_I,4.8738,1.4608,0.5831,0.6897,1.2353,28.141,61.7047,2.6535,13.3966,22.7614,60.6758,92.4999,114.0048,17.1428,37.8906,63.7037,400.8736,46.583,95.3376,15.4814,12.8261,22.1973,3.297,47.8236,49.9683,851.9863,14.7652,2.3614,139.2442,25.3525,1.1648,13.0771,34.167,8.9854,35.985,99.6641,31.6551,84.358,13.6753,243.3458,61.6515,62.8143,27.4523,227.6627,0.0
TWN_J58T60,1.3886,1.5781,0.8501,0.5979,0.4354,48.2683,27.0974,2.1943,11.9189,6.165,45.3046,13.833,16.5429,7.404,9.9883,16.5442,122.5934,20.9451,20.6359,15.8795,15.8389,15.5935,5.3345,1.8941,32.0339,204.2579,16.9325,1.6047,12.2751,10.7519,1.9923,40.5292,1173.8558,51.4469,140.8799,76.7532,40.1782,698.6251,126.4231,119.9841,114.8947,46.57,173.348,127.4788,0.0
TWN_J61,4.5682,8.8574,1.3905,3.0746,3.135,30.3988,43.286,6.1146,38.5435,46.3634,55.6731,9.1561,32.0814,31.4724,69.0232,81.787,291.193,27.8799,72.5032,11.3153,12.645,21.4539,9.2041,8.1095,139.0247,687.1448,33.7486,1.7785,18.5889,27.8508,5.0769,86.11,46.0518,1327.5142,241.649,167.4434,43.2128,124.9858,63.1922,470.8616,48.8406,193.9857,34.8221,139.2503,0.0
TWN_J62_63,1.1315,0.3706,0.1,0.1238,0.0686,15.3852,10.4876,0.6758,3.4055,9.8534,16.4701,1.7906,5.9486,7.1916,12.2792,8.3599,102.8088,6.4033,7.6196,3.5806,4.0601,2.9076,4.1353,2.4381,13.3703,215.1493,4.0024,1.5045,6.3557,7.6994,0.5015,35.8696,14.6142,6.874,21.5067,99.3147,64.831,26.3616,20.6932,82.0199,4.6713,24.1657,8.474,5.3606,0.0
TWN_K,168.8558,32.8187,6.3586,10.9343,5.8147,234.8497,377.2938,36.649,200.9951,421.6457,667.1036,45.3219,340.4112,196.988,937.3109,431.8206,2742.3385,363.2415,489.8864,164.3935,96.4686,112.0702,281.3938,103.5155,444.595,1779.626,148.2399,20.8739,107.7086,66.5279,16.1499,226.4159,53.9356,78.6384,71.4593,3642.6438,2568.5191,121.4107,93.757,696.0412,112.9532,298.8861,93.4777,313.0473,0.0
TWN_L,0.5081,7.526,0.3616,1.0262,0.8351,25.6602,30.8075,1.6112,13.0613,13.7106,26.166,4.3308,18.1306,19.4053,15.2272,42.362,257.5733,23.1254,42.7881,8.8621,4.1205,12.6887,3.3208,9.5179,43.7842,2216.4582,23.9622,6.0487,13.3292,27.6686,6.0124,270.4661,28.0675,38.1506,45.131,368.7832,117.0146,141.796,59.2759,20.5691,1.84,216.2009,145.0119,218.9424,0.0
TWN_M,38.1836,5.0614,5.9532,3.4897,2.637,350.2398,239.9189,13.7875,96.3443,269.773,488.115,128.1919,194.8404,108.4392,183.5648,169.0299,1319.1147,271.2671,152.9895,216.1623,182.7277,92.6852,79.7761,46.6769,1056.4562,837.7608,68.2641,2.9855,49.8224,55.9022,9.7733,168.9936,85.3338,299.4352,58.9187,581.4107,660.0851,206.0583,63.4918,56.5518,61.8782,212.2512,24.9826,68.2153,0.0
TWN_N,0.5404,2.3539,4.9647,2.8474,3.0415,44.3235,61.9109,1.6363,29.4425,146.4795,182.8584,9.9558,30.487,48.7968,120.1042,160.7118,1348.2931,61.9446,126.9809,43.1207,39.1719,37.4492,34.3695,39.7553,133.5362,667.5822,101.753,39.2375,270.4683,102.6335,23.1867,78.5621,29.18,80.9772,43.9548,194.2668,32.8784,134.943,60.8007,163.6846,81.0625,110.6822,36.7461,29.7921,0.0
TWN_O,7.7137,0.0078,0.1289,0.8737,0.5618,13.835,8.2861,1.3234,4.1172,24.9137,21.2049,2.8656,8.2306,6.1851,13.8501,25.6902,40.4116,7.162,8.2729,6.9195,2.4434,3.4236,17.393,8.0786,19.2079,59.6073,12.4166,0.3825,0.9217,6.7076,0.3358,6.8165,5.0677,4.0114,2.5347,55.7703,31.1209,9.3167,6.1166,0.4829,2.4338,9.2595,6.1197,4.4194,0.0
TWN_P,3.2615,0.4478,0.1273,0.0743,0.0375,8.402,6.7245,0.429,1.4709,4.0174,7.9889,0.9474,1.7647,2.1064,36.3732,9.3416,41.4918,7.977,3.8208,2.1976,3.1783,2.2497,2.768,3.7785,16.6396,27.5794,2.0568,1.2046,5.1621,2.8175,0.518,4.1629,2.8471,8.5948,2.3367,12.659,6.1321,46.1809,3.3614,99.0816,4.44,7.1183,1.2593,1.7178,0.0
TWN_Q,30.5833,7.961,0.0663,0.3218,0.1442,53.6068,35.5179,0.5218,7.9966,8.1076,48.0558,3.2305,20.4026,7.7871,12.8103,12.6405,156.344,31.0097,19.0371,11.1482,8.7675,5.1106,6.1732,1.4569,135.8095,291.9521,3.9074,0.2687,11.268,2.7809,0.5886,37.786,16.6327,0.7829,2.1362,67.1014,1.3257,13.9608,2.9863,31.9389,16.1606,52.9398,2.5478,63.997,0.0
TWN_R,0.0387,0.0,0.0049,0.0403,0.0483,2.1895,3.624,0.2235,1.0871,0.5441,2.8735,0.9852,2.3199,1.518,2.7429,7.0787,9.2574,2.4225,7.8314,1.6594,1.3877,5.9471,0.4754,0.7205,7.1522,21.0485,1.5078,0.0916,0.2631,1.8928,0.0481,2.1336,108.9978,0.5008,3.4687,7.1348,16.5027,111.6937,9.3135,18.5196,3.9743,1.2993,37.8956,113.2528,0.0
TWN_S,2.3874,5.4409,0.5731,2.9966,2.6331,26.9013,41.6279,5.1519,26.3492,60.9642,62.9416,4.8581,32.8253,27.2256,284.3806,105.0455,232.3644,25.1309,53.5467,24.0968,11.0822,25.5295,21.2671,20.8232,121.9837,253.0738,164.3428,1.4094,15.5331,7.7852,1.4738,48.7215,11.7142,79.2465,10.3786,125.5096,17.2404,28.0462,14.0197,162.4924,14.5304,81.0205,19.2753,71.232,0.0
TWN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
