V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_H50,1.3519,0.0745,0.0587,0.0525,0.0109,1.4824,0.2612,0.3525,0.2244,4.4062,0.3481,0.0136,0.4322,0.1495,0.0308,0.7635,0.2842,0.1369,0.1679,0.3973,0.0816,0.4005,1.7811,0.2018,1.2524,2.7536,1.3294,0.0528,0.3474,0.5155,0.0061,0.1408,0.1859,0.1941,0.092,0.1849,1.0518,0.3341,0.2236,0.4739,0.1274,0.4012,0.1801,0.3994,0.0
LTU_H51,0.4296,0.0271,0.0122,0.0123,0.0058,0.6918,0.1654,0.2626,0.0516,1.8384,0.217,0.0163,0.158,0.1603,0.0053,0.1551,0.0942,0.0477,0.0355,0.0455,0.0394,0.2471,0.4559,0.0451,0.6923,0.3638,0.3254,0.0541,0.0114,0.0582,0.018,0.0331,0.0407,0.043,0.007,0.1147,0.1492,0.086,0.1832,0.5068,0.0599,0.2342,0.0772,0.0765,0.0
LTU_H52,15.2741,0.3396,1.4574,2.4228,0.1215,10.3666,12.1948,10.8049,0.8144,10.0518,7.2619,0.0465,3.3279,3.3799,0.4812,2.9681,3.562,0.9701,0.8137,5.1928,0.6477,9.8242,9.6684,3.6561,15.3195,83.9618,81.8395,1.4851,17.618,74.7708,0.113,1.9723,1.5714,2.509,0.8699,0.7862,11.8998,7.3035,12.7885,3.8035,0.9456,2.071,2.1489,0.5015,0.0
LTU_H53,2.2853,0.0291,0.0936,0.0184,0.0167,1.7125,0.7618,0.291,0.2103,0.2641,0.2608,0.0098,0.0824,0.0809,0.0492,0.085,0.2751,0.0696,0.03,0.0267,0.0448,0.3649,0.5756,0.6707,0.4895,12.432,0.5891,0.1697,0.3965,0.7263,11.3181,0.5728,1.7752,8.7145,0.3984,4.9119,12.4189,1.7896,1.5883,3.9322,0.191,1.1146,0.8462,1.0066,0.0
LTU_I,1.2724,0.4639,1.008,0.9687,0.0282,3.1612,1.0353,0.6259,0.3548,0.8556,0.7966,0.0009,0.9979,0.7937,0.5397,0.8602,0.96,0.9083,0.2854,0.2119,0.385,3.437,2.0708,1.6582,0.8148,4.9037,2.688,0.1919,1.0107,0.0663,0.0329,0.6144,0.6928,1.0614,0.1701,8.4059,0.486,1.4054,3.1647,6.1328,1.1272,1.7109,0.5411,0.1755,0.0
LTU_J58T60,2.3134,0.5969,0.1166,0.2128,0.0088,4.4827,0.4255,1.4041,0.5807,0.836,4.2165,0.0119,0.5743,0.3009,0.053,0.9559,1.399,0.7258,0.5307,1.2584,0.2838,1.9317,1.5188,0.7168,8.5001,10.5013,0.7885,0.0874,0.0428,1.1336,0.152,2.3208,18.3175,1.0418,3.7408,15.1107,6.8897,21.2095,5.9326,18.5155,23.1079,1.8761,6.0552,4.502,0.0
LTU_J61,7.4232,0.6784,1.4332,0.2329,0.061,18.4229,11.8805,9.5923,1.1279,1.6688,2.7174,0.043,1.1841,1.6614,0.7729,1.5663,3.0702,1.699,0.8035,0.847,0.7163,4.2095,8.0779,4.9072,25.578,97.9546,26.5386,0.3536,0.4273,16.3694,0.0879,8.001,4.3395,83.0943,9.6042,24.0885,25.5635,14.6731,21.9012,36.551,2.5834,16.609,9.7072,14.8762,0.0
LTU_J62_63,1.3413,0.121,0.042,0.0349,0.0132,2.4241,0.8904,1.0161,0.436,1.6527,0.442,0.0364,0.6474,0.2489,0.2628,0.301,0.8311,0.2182,0.0953,0.1366,0.1187,1.1465,1.1,0.5305,2.2935,4.4667,0.912,0.1019,0.0439,0.3556,0.0484,0.2802,1.3109,1.2802,1.3252,1.0102,1.0603,3.6385,1.2262,2.4715,1.1212,0.5099,0.3465,0.4882,0.0
LTU_K,13.9645,0.3612,1.0615,0.5565,0.1821,15.6962,6.7161,5.0318,0.9344,22.8093,5.8015,0.0341,2.4409,2.8884,0.3554,2.3899,3.694,1.9394,1.0641,1.2364,1.271,6.7213,39.825,4.3713,30.742,71.7695,24.9064,1.5796,1.9693,15.7313,0.4764,3.5945,2.0444,11.3801,2.3698,104.5812,30.3775,20.674,7.2966,46.1456,1.9071,3.9805,1.6259,10.0266,0.0
LTU_L,1.9258,0.006,0.1738,0.3197,0.0307,0.5592,1.2477,5.3008,1.0106,3.0727,0.0756,0.0,0.6213,0.0372,0.1189,0.3219,0.5051,0.3794,0.718,0.3019,0.6669,1.8918,0.9722,1.7804,3.2351,37.7552,2.174,0.1093,0.0004,6.3061,0.0418,0.3681,1.2395,2.0094,2.0037,4.5992,20.8165,8.1091,3.6333,16.2728,1.707,4.6992,6.3831,4.72,0.0
LTU_M,6.0102,0.5079,1.6298,0.5837,0.5577,25.9414,5.693,11.3363,3.7973,6.6156,0.9194,0.0236,0.2399,1.2121,0.2194,1.1686,4.1361,1.1619,1.1073,0.1405,0.6578,10.7632,24.9378,15.0669,22.9277,230.8579,29.8352,4.1405,4.457,35.1922,2.4798,12.0117,10.5732,25.9904,10.2057,52.1955,118.9042,135.9742,35.506,33.7734,4.1069,11.7674,11.6758,33.9007,0.0
LTU_N,3.922,0.4395,0.5573,0.2842,0.3143,6.1906,2.56,4.357,2.1483,1.4512,0.3498,0.0039,0.4828,0.1696,0.064,1.5135,1.1208,0.7789,1.2217,0.3165,0.3128,2.9382,6.9138,4.8011,14.3884,79.8531,13.4351,10.9501,7.3223,15.3442,1.5263,3.2662,2.836,8.4385,3.7173,13.4131,49.1435,29.5322,37.3361,18.4542,3.0117,7.6704,8.1479,16.3239,0.0
LTU_O,3.1544,0.1752,0.1736,0.0727,0.0256,4.7887,2.1705,1.71,0.3045,4.782,2.0956,0.0002,0.9008,0.6957,0.0939,0.4622,1.0739,0.3785,0.2757,0.1829,0.224,1.3748,4.2569,0.5498,5.3555,8.8987,2.4974,0.1896,0.2411,1.6294,0.3372,0.4715,0.4751,1.2224,0.2615,4.4525,3.2485,2.8761,0.959,2.1289,1.2633,0.7228,0.1352,0.8825,0.0
LTU_P,0.4405,0.29,0.0582,0.39,0.0041,0.3633,0.2092,0.6045,0.7795,1.0829,0.1784,0.0004,0.0989,0.1467,0.0287,0.2855,0.0625,0.2562,0.6653,0.1507,0.1719,1.7184,4.0765,0.0716,0.685,6.1777,1.8662,0.1542,0.0019,0.8659,0.2744,0.2951,0.8292,4.6197,1.9234,2.2007,4.5078,14.3283,4.3349,19.4679,1.6614,5.1253,2.9021,2.4513,0.0
LTU_Q,7.3646,0.045,0.0098,0.0032,0.0061,1.1971,0.1423,0.0552,0.1555,1.1359,0.1703,0.0008,0.2447,0.1198,0.0076,0.0844,0.3249,0.0888,0.071,0.0632,0.2473,0.2664,0.1839,0.3673,0.1175,0.3921,0.7661,0.013,0.0075,0.9759,0.0251,0.1404,0.112,0.2007,0.043,0.2339,0.122,0.6435,0.2973,8.7938,0.4422,4.5359,1.4321,0.4077,0.0
LTU_R,0.2253,0.6335,0.0932,0.0389,0.0044,0.8291,0.1321,0.1398,0.0654,0.109,0.1708,0.0014,0.0754,0.021,0.0223,0.3333,0.195,0.074,0.0382,0.1462,0.0255,0.2279,7.2175,0.5094,2.6056,3.6697,0.505,0.1228,0.1619,0.3761,0.0194,3.9855,0.2912,0.3012,0.5981,2.6861,3.0979,8.6463,2.5855,1.1749,3.1386,0.44,34.0013,4.358,0.0
LTU_S,4.1593,0.7125,1.0517,0.648,0.024,12.3819,3.5718,4.4328,2.5574,7.3094,2.541,0.0718,1.7807,1.6564,0.0883,1.4031,6.8484,2.2413,0.5263,2.0851,0.255,5.9431,3.72,2.3338,5.7969,26.8818,2.7634,0.6253,0.4338,1.968,0.1211,3.0976,8.3655,2.0673,1.7646,3.5773,14.1558,5.2242,2.576,7.6733,1.7884,5.1683,7.0995,8.1904,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
