V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_H50,0.624,0.04,0.0814,0.1084,0.0,0.729,0.4161,0.0956,0.2103,0.2194,0.2923,0.1376,0.2769,0.4503,0.9159,0.3232,0.0881,0.1016,0.2008,0.0593,0.0436,0.2529,0.8796,0.0453,0.1915,0.7063,0.7089,0.2453,0.3755,0.2908,0.0949,0.0602,0.1052,0.098,0.0611,0.0669,0.1416,0.0838,0.1944,0.37,0.0783,0.2564,0.0845,0.0454,0.0
BGR_H51,1.2631,0.0099,0.0709,0.2148,0.0,1.3673,0.6596,0.1608,0.3083,3.9994,0.3973,0.229,0.4074,0.6216,1.7992,0.5163,0.1907,0.1992,0.3261,0.1239,0.0611,0.4045,1.407,0.1292,1.933,0.9161,1.3183,0.198,0.153,0.1959,0.0926,0.1751,0.1325,0.0997,0.0899,0.0578,0.2173,0.114,0.2494,0.2174,0.1021,0.324,0.0535,0.086,0.0
BGR_H52,13.0402,0.5233,3.5562,3.0603,0.0031,14.303,5.9261,1.3824,1.5831,25.3549,1.1943,0.555,2.8455,8.5168,12.4369,2.183,0.4611,0.6537,1.1569,0.2913,0.2052,1.1766,14.1441,1.776,17.0487,65.7813,109.0572,32.7756,46.5424,23.8956,5.3166,3.7045,1.0295,5.6247,0.3957,0.712,0.9241,1.7642,5.9574,13.597,0.4275,1.1814,1.0557,1.6059,0.0
BGR_H53,5.3202,0.1379,0.7681,1.9908,0.0008,11.9815,14.0665,1.3848,2.7653,4.3236,2.4095,1.0927,1.9317,5.0906,9.0009,6.4177,0.6699,1.7751,6.2267,0.2986,0.1004,3.4351,18.5697,5.0677,23.3458,88.1942,26.9256,2.6811,14.074,24.0956,83.9514,17.8752,13.871,93.6428,11.5916,37.5003,2.5178,16.8823,26.2561,27.5544,5.2629,3.1071,16.5351,20.1814,0.0
BGR_I,0.1513,0.0081,0.133,0.1073,0.0005,0.4584,0.3847,0.0485,0.1253,0.1869,0.0847,0.0355,0.0671,0.29,0.2096,0.5575,0.2598,0.1253,0.5462,0.1485,0.051,0.2266,0.8896,0.0931,2.9798,6.6279,2.1645,0.4242,4.1253,9.7842,0.0751,0.2991,0.162,0.0796,0.2215,0.6785,0.2045,2.0221,4.7034,4.6305,0.2272,0.0924,0.1064,0.5378,0.0
BGR_J58T60,2.1102,0.0327,0.1484,0.3684,0.0005,6.0245,3.1173,0.4546,20.7929,1.0526,0.821,0.3577,0.669,1.2161,1.0158,1.3883,0.3131,0.5131,0.9681,0.1773,0.0391,1.1043,3.516,0.8612,9.4331,31.2018,3.3678,0.3104,2.2376,9.1893,11.9444,5.3707,35.3297,13.0443,2.4516,12.6634,1.7216,17.1247,16.1065,17.4857,10.7091,1.6735,29.9361,4.4102,0.0
BGR_J61,4.1211,0.1044,0.5809,1.5051,0.0008,9.0567,10.3143,1.0367,2.0614,3.3259,1.8455,0.8037,1.4333,3.8396,6.7407,4.7685,0.5153,1.3305,4.6738,0.2282,0.078,2.6053,14.0858,3.8186,17.6652,66.7458,20.5068,2.015,10.6706,18.1874,63.6352,13.3045,10.2274,69.1209,8.5292,28.4071,2.7894,13.1098,19.6073,20.9346,3.9841,2.3672,11.9261,15.2748,0.0
BGR_J62_63,0.3035,0.0005,0.0047,0.1417,0.0005,0.2008,0.083,0.0164,0.2192,0.7355,0.1753,0.0748,0.1054,0.8871,0.1382,1.0211,0.0609,0.2616,0.0845,0.7327,0.0633,0.9477,3.2136,1.6935,0.8834,13.6316,0.6927,0.0287,3.7127,5.7085,5.4407,1.9825,0.6983,5.8198,3.5171,9.0886,0.3636,14.8252,18.7981,11.252,0.9343,1.3258,0.776,0.4212,0.0
BGR_K,49.5498,0.5994,5.8891,9.9886,0.0061,46.1358,54.9821,5.9811,7.832,58.7838,9.9159,5.2994,7.2047,15.4132,36.2636,13.7161,3.6681,6.91,13.9802,1.7361,2.71,14.7796,43.4282,9.2153,71.4317,130.247,89.1629,13.4107,15.7548,32.3216,16.2085,19.1928,7.5886,23.5707,5.719,315.7663,29.2819,21.1724,28.8732,58.1908,31.6226,43.3026,11.0512,14.4301,0.0
BGR_L,4.4085,0.0417,0.2093,1.4354,0.0025,3.3574,6.7518,1.0618,0.3729,1.9554,0.375,0.1716,0.4215,0.9307,2.722,0.9883,0.1878,0.5112,1.0826,0.1102,0.1136,0.7099,6.0553,1.9983,33.6939,86.7986,9.3634,6.3883,1.7303,17.6412,4.7807,11.731,2.4875,5.0986,5.0808,10.2357,16.1939,13.6017,19.7584,19.8911,1.6265,2.3546,4.5953,9.9153,0.0
BGR_M,7.1343,0.0232,0.2039,2.0383,0.008,16.5795,13.3184,1.3029,3.5317,14.1931,3.5237,1.5602,2.0613,7.0706,7.7603,4.4663,0.6596,6.2609,8.603,0.365,0.533,4.4072,8.692,5.6965,71.4454,134.7246,23.4276,0.9729,3.7684,17.1732,5.3737,20.0208,7.9816,5.9568,4.5769,19.643,12.117,68.9703,73.4238,14.1071,3.4312,11.3929,12.3842,6.0726,0.0
BGR_N,71.1104,0.0789,0.7808,3.4767,0.0149,63.7956,22.6747,2.5542,4.1621,22.8776,4.8589,2.0735,2.8984,12.2736,12.3949,7.0545,1.1196,9.7004,12.9375,0.5981,0.6094,10.479,16.1701,10.0039,97.1803,254.4783,64.0583,4.821,11.4631,43.3788,12.8533,40.6114,16.3945,13.916,7.602,36.0788,44.6774,70.6554,169.8741,35.1498,9.1267,9.9252,26.364,13.7947,0.0
BGR_O,18.4695,0.0147,0.605,1.9596,0.0007,1.5326,0.9429,15.9285,5.0629,0.718,0.7682,0.3128,0.1848,0.6843,1.0423,0.4661,0.144,0.1283,0.4271,0.0351,0.0196,6.0001,4.9723,2.6787,23.3257,75.5321,4.3564,3.3026,8.141,5.8744,3.9211,1.3062,2.0427,4.1492,0.3726,6.4103,1.2005,7.5756,10.7149,188.7427,1.5356,0.9673,5.0154,13.2142,0.0
BGR_P,0.0999,0.0013,0.0049,0.0274,0.0001,0.18,0.1236,0.0195,0.1965,0.092,0.0137,0.015,0.0142,0.052,0.0785,0.0377,0.0292,0.0258,0.049,0.0297,0.0127,0.0401,0.1764,0.064,1.1198,2.3402,0.8824,0.0971,0.3211,0.478,0.3117,1.2073,0.5419,0.4734,0.5993,1.1427,0.3404,0.447,8.7877,8.6225,0.8468,0.2715,0.5986,0.3735,0.0
BGR_Q,3.2274,0.0009,0.0139,0.1388,0.0001,0.2307,0.4245,0.05,0.1917,0.8512,0.3008,4.4785,0.1665,0.3416,0.3686,0.249,0.0858,0.0494,0.139,0.0063,0.0053,0.1049,3.8983,0.0711,0.8221,3.0467,3.8543,0.2131,1.3159,0.5954,0.1596,0.6031,0.1981,0.1717,0.2297,0.6681,0.7433,0.5764,0.8245,1.1095,0.0812,16.1403,0.281,0.4035,0.0
BGR_R,0.4403,0.0053,0.0136,0.1079,0.0003,2.2257,0.9186,0.1062,0.3782,0.9267,0.1454,0.0874,0.0806,0.4282,0.3246,0.206,0.337,0.2848,0.374,0.0648,0.028,0.6095,1.5911,0.342,5.3068,9.0147,1.2451,0.1189,0.6826,3.5373,0.9374,2.0896,5.7938,1.0592,0.9352,1.9011,4.7954,4.154,5.5913,3.6815,2.3473,0.8614,55.98,2.6691,0.0
BGR_S,0.6316,0.0052,0.0215,0.1594,0.0002,0.914,0.7533,0.1095,0.1659,0.7196,0.4039,0.1817,0.0755,0.7691,0.4542,0.3231,0.1567,0.1084,0.4346,0.0282,0.0861,0.3482,1.0332,0.4822,1.4028,3.7092,0.7594,0.1749,0.1572,10.4714,0.3331,15.027,0.3098,0.3712,0.2644,0.6344,1.362,1.1139,3.5151,1.707,1.169,2.6826,9.6899,3.6038,0.0
BGR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
