V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_C20,86.6478,0.4777,0,7.5236,0.1753,39.8229,154.0185,31.3966,115.6766,119.1212,448.6452,13.8669,370.0753,82.5009,5.1625,74.1706,6.2441,25.0311,13.8149,26.4869,3.5061,35.5434,4.0732,23.8013,192.7716,99.3185,3.6023,0.2166,1.6435,2.7331,0.2333,15.9285,13.3217,4.254,6.1398,5.4173,2.1961,21.5858,9.784,11.6641,8.2615,205.3253,3.1084,44.2108,0.0
PRT_C21,2.5761,0.1199,0,1.0305,0.0028,8.487,19.4499,0.7792,1.4502,2.0489,10.755,85.9575,1.3016,1.3553,0.9347,1.5884,1.256,0.7327,1.059,1.0667,0.5089,1.0631,1.9369,1.7474,6.8712,20.5362,1.325,0.1841,1.5246,1.7061,0.1244,4.2225,0.956,3.547,2.2015,3.0124,0.769,7.9571,2.3887,4.5401,1.5568,100.3472,0.743,0.8974,0.0
PRT_C22,6.5928,0.4325,0,1.604,0.0225,210.6958,104.4325,15.7479,37.2257,2.0557,48.8682,4.2399,135.8382,39.6625,2.43,72.3356,116.7401,126.2566,52.8739,124.6465,4.9427,87.5419,1.2706,5.7883,192.9345,251.7702,30.4238,0.0654,0.7373,5.0468,0.4773,21.843,16.8466,2.1754,5.0654,2.0358,0.8228,63.1091,53.0587,12.4083,2.8651,15.6401,2.2076,5.7082,0.0
PRT_C23,40.5884,0.1299,0,2.3513,0.0486,139.3717,4.1825,5.2516,7.5174,2.2908,17.762,1.2675,8.4429,398.2799,11.8841,54.1062,8.2207,6.1452,25.6739,77.2014,1.2237,21.8281,2.9647,20.9296,2785.763,92.6192,3.2049,0.1127,1.4039,12.2482,0.0566,90.2663,3.1078,3.1103,1.4126,3.7021,2.8356,14.9136,6.7775,44.9173,5.0514,6.5284,1.1762,1.8188,0.0
PRT_C24,0.6533,0.0353,0,1.9895,0.0231,2.1813,5.9723,1.4022,2.8774,0.1822,4.0482,1.0391,21.3935,39.4138,368.4678,473.3884,22.1293,87.1609,138.4495,138.11,22.4284,45.2567,3.3223,43.8931,191.4786,11.4355,0.5442,0.0,0.0,2.7029,0.0,0.1208,0.2814,0.0,0.0079,0.0,0.3094,1.9631,0.4664,9.5419,0.3147,0.2828,0.2879,1.629,0.0
PRT_C25,21.9668,2.8815,0,12.325,0.2046,198.247,50.1798,25.1657,14.5984,3.4616,28.6512,2.6823,50.5384,47.0089,37.821,755.9076,39.3628,38.4767,151.536,193.8352,37.8676,140.9616,7.7027,3.8816,1665.0861,459.3258,13.8433,2.0217,2.9886,17.498,1.706,61.7742,14.5177,13.1293,14.6975,4.2586,3.3939,70.3249,52.58,9.2175,7.0577,29.7178,12.4705,19.3719,0.0
PRT_C26,0.6797,0.2066,0,0.2361,0.0041,1.173,0.8676,0.2296,0.4955,0.2797,0.8689,0.1111,0.5973,1.8839,0.5228,2.3773,282.3083,5.5349,12.1173,19.0637,0.3683,11.1103,5.4617,0.7301,5.713,63.2885,2.5274,0.1654,2.1269,0.8005,0.0805,1.8552,5.5857,102.4387,12.9728,5.4226,0.6405,11.4684,4.7075,4.4827,2.6786,32.954,4.7716,3.282,0.0
PRT_C27,0.39,0.2644,0,0.7147,0.007,2.3089,1.1092,0.3417,0.5992,0.4308,0.8633,0.2534,3.5941,1.5577,2.3438,12.5183,85.0292,73.8361,25.8401,105.5401,2.0802,31.6911,33.2191,1.4068,164.4486,58.0833,7.2285,0.1588,0.836,0.7917,3.9538,28.9197,6.4919,24.5143,1.8425,16.7964,0.3349,8.7136,7.8646,9.6374,2.8237,3.0536,2.7345,1.0169,0.0
PRT_C28,6.0117,1.1944,0,2.7546,0.0371,14.7058,5.5742,2.6695,5.0277,1.33,4.2426,1.8031,20.2991,39.6404,3.6492,21.4961,11.8127,3.0734,156.7595,40.2106,2.8501,27.4168,3.0271,9.0905,157.2819,39.6912,4.1681,0.3969,2.1714,2.1914,0.3455,14.2583,0.8677,2.5453,1.263,1.0818,3.9229,5.5583,3.734,6.2129,1.8269,9.5912,1.4852,1.6359,0.0
PRT_C29,1.5273,0.1624,0,0.488,0.0771,5.5461,3.9298,0.841,1.2343,0.6755,1.9094,0.9285,11.8702,2.1041,0.682,11.8237,2.4217,1.826,8.5357,1180.6787,1.5766,7.165,3.2776,2.6166,18.4345,142.6301,4.2103,0.3828,1.5917,2.4654,0.0576,3.7797,1.3064,4.0013,1.7408,6.3433,2.4344,13.4235,4.478,22.5589,2.0453,5.3071,1.4409,2.0819,0.0
PRT_C30,0.0092,0.3062,0,0.009,0.0,0.0,0.0624,0.0,0.0,0.0,0.016,0.0,0.0049,0.0,0.0662,1.567,0.1682,0.0,0.0221,0.324,10.6786,6.5677,0.0,0.0046,0.1487,7.1429,1.8166,0.7616,9.9889,0.6878,0.0,1.0728,0.0633,0.0,0.0,0.0,0.0053,0.0237,0.0184,0.3669,0.0722,0.0346,0.1181,0.2102,0.0
PRT_C31T33,12.3675,15.0293,0,18.1582,0.2543,78.8038,78.6253,17.6706,22.5487,20.7639,18.0656,8.4281,13.4924,37.0714,8.8444,33.9585,6.3928,6.1626,12.155,86.9909,2.1465,263.0801,40.3818,16.4473,128.2043,93.093,76.9487,8.0945,24.6395,39.3787,7.6589,67.9667,15.9631,41.7321,24.2421,18.7697,11.9767,49.9845,45.1568,38.5074,27.3022,78.2032,52.4413,14.0881,0.0
PRT_D,145.275,9.2027,0,96.3541,0.2563,153.9924,195.789,29.894,142.686,18.7654,71.0378,2.5293,69.1033,406.5094,101.5194,64.9588,11.3163,14.327,34.8769,34.0455,5.3844,39.6544,4485.7296,103.9768,187.9493,636.8736,74.7621,0.8331,28.8184,141.8881,0.9454,258.9243,26.5358,55.855,35.4532,94.8,72.9082,78.7194,25.3179,251.0562,136.0087,119.2486,67.5851,115.125,0.0
PRT_E,10.6867,1.1359,0,1.9906,0.0119,51.1244,31.8876,11.2799,83.2656,6.9526,20.0211,1.981,50.4599,21.0177,356.2016,7.0931,4.2888,2.1073,3.8004,5.3589,3.2641,6.6118,27.6277,813.5687,109.222,139.903,13.3838,0.5554,2.4254,35.8212,0.2409,106.6514,9.2629,6.8955,1.9239,9.8938,23.0548,29.518,9.3054,146.6165,38.517,39.9954,18.661,35.3211,0.0
PRT_F,110.5781,3.5116,0,24.462,0.3499,135.2186,77.2479,30.0303,61.773,33.8925,39.1908,3.9139,17.4011,96.7651,20.3499,168.55,18.4919,8.2066,50.6102,23.8607,3.5307,54.4737,118.8497,87.4658,14417.3144,485.261,152.3229,0.9526,22.4936,356.9093,11.84,68.1246,25.6988,183.5113,42.0518,125.7573,1097.5269,93.6163,45.8891,126.8479,58.5313,40.6396,57.566,83.3532,0.0
PRT_G,633.6266,52.3542,0,77.859,0.705,1976.6556,1105.3572,208.894,394.9144,283.2871,414.4402,163.0484,294.17,300.0602,119.2789,353.1448,278.6028,116.5681,191.5796,457.5535,29.2685,304.4915,413.779,137.1622,1529.6768,2024.9096,522.5709,31.0322,371.4045,194.3542,6.7732,1217.6747,168.3156,573.4897,105.1599,321.6318,116.3736,527.4389,383.7385,397.0074,174.2604,759.5819,136.713,136.0244,0.0
PRT_H49,49.4059,4.4927,0,62.2168,0.3145,224.9354,115.8861,50.9484,116.2169,20.0544,78.531,4.0383,48.2855,171.2127,32.1766,67.6943,22.9665,27.3817,36.2254,48.1886,3.3274,38.6131,88.041,49.5917,144.1675,1009.0523,676.2557,0.6811,7.7042,64.9204,9.8562,32.7607,20.873,35.9321,9.7605,34.1421,6.2523,43.0196,24.9737,109.9699,31.4397,34.4371,9.2021,49.5279,0.0
PRT_H50,1.3533,0.081,0,0.6944,0.0047,4.7756,2.6704,0.9214,1.9326,5.9447,1.6433,0.2455,1.2316,2.2464,1.5377,1.764,1.0145,0.6507,0.9604,2.4281,0.0955,0.8806,1.7667,0.7827,3.7408,7.9926,0.5598,14.0631,0.174,2.5438,0.1145,1.3591,0.7026,0.6483,0.199,0.5194,0.1588,1.7453,0.696,17.546,5.3267,1.8072,0.4824,0.2809,0.0
PRT_H51,9.1068,3.6247,0,2.9992,0.0416,31.473,17.4733,4.8248,8.4498,32.6182,9.7037,2.5854,7.1432,10.7526,4.9584,13.5569,6.6492,3.4753,6.7869,14.2586,0.8497,24.6138,15.2742,4.0214,28.7104,56.5149,15.4239,1.0309,35.8429,52.3612,1.0133,15.9813,13.87,15.2587,8.58,15.4242,3.2659,27.2128,54.4623,59.7444,14.3561,17.8991,14.0533,22.3813,0.0
PRT_H52,10.8036,22.3738,0,4.5501,0.0772,29.8981,21.7967,5.5451,13.1639,12.2287,13.6594,1.3221,5.9453,16.7326,8.943,20.9977,12.8275,4.3878,7.6363,9.0246,1.0813,14.8533,51.1664,37.428,91.1118,1040.855,208.0069,135.9742,795.3965,518.0087,0.9539,23.8598,10.6094,9.242,10.288,38.278,13.0483,46.6041,27.4648,496.6038,6.1175,12.6894,13.9771,10.7122,0.0
PRT_H53,1.3146,0.2171,0,0.3867,0.0078,3.024,2.465,0.5679,0.8755,0.2926,1.4207,0.1572,0.5978,1.4048,0.3187,1.0851,0.6261,0.2895,1.28,0.597,0.123,2.2269,2.7915,1.0767,4.2118,57.7675,2.7607,0.0683,2.0067,5.1406,297.2266,4.2136,8.9128,129.3495,4.5249,21.9442,4.1196,15.7993,7.1613,16.2424,9.2374,4.3294,9.1511,26.7593,0.0
PRT_I,18.8537,4.0681,0,9.7101,0.0418,58.9259,78.7056,13.1991,25.9265,2.8863,25.3198,4.1129,11.7295,39.7533,6.0867,52.8425,27.3804,8.3679,21.4033,20.3579,2.4202,25.2261,13.985,20.1689,36.5868,595.5107,60.8615,0.8811,87.5325,208.5938,3.0254,65.9623,45.9296,18.0817,65.1413,113.7803,27.5441,162.9802,83.0701,179.8482,38.6376,216.8836,56.2112,22.8825,0.0
PRT_J58T60,4.1638,0.7119,0,1.9461,0.0106,28.5843,11.7023,5.028,7.4169,1.2636,6.5616,1.6797,3.8327,7.7946,1.7942,4.3989,4.0149,1.8952,2.7901,5.1227,0.5605,4.5957,2.4462,4.3875,13.7797,85.4323,8.8707,0.4196,2.4704,19.7206,12.3356,18.4267,343.8164,145.7993,8.1903,73.4111,3.3437,536.0983,87.5519,26.0114,28.0638,10.4407,19.0198,10.7568,0.0
PRT_J61,13.8043,2.1088,0,4.4337,0.0797,46.9238,37.3008,7.8531,13.7749,3.291,18.0182,2.4193,8.789,21.4454,5.0104,27.3645,9.1487,3.8045,14.7797,10.4209,1.74,25.4351,44.9068,22.9838,75.4673,880.5721,49.6702,1.5842,36.8883,119.5827,1.4357,87.3075,115.125,1641.5395,87.5152,292.0051,29.636,295.3724,106.4064,199.8307,91.3524,79.7712,108.666,142.364,0.0
PRT_J62_63,5.9716,0.2448,0,1.1564,0.0381,14.3638,8.883,2.1799,4.4712,13.6714,6.8224,2.2318,4.3568,7.9985,1.5943,5.3188,7.8377,2.3828,3.5059,4.9465,0.6304,18.4567,19.426,6.8447,9.6904,94.3377,6.5143,0.5192,12.2498,75.8155,0.2158,13.6263,15.5884,18.5286,200.3627,430.1919,15.7077,113.9,58.2485,110.1441,38.596,57.2844,7.2999,9.5059,0.0
PRT_K,203.0595,29.1957,0,70.7707,0.2344,342.3641,352.624,97.743,129.3042,30.716,120.9321,14.4578,61.2691,148.0426,39.4602,106.9568,73.4387,33.697,125.4569,75.6927,23.6326,134.3199,219.9504,101.4995,789.1222,1675.4896,238.559,9.3713,75.7878,187.5812,14.4504,258.2691,104.6406,272.1577,117.492,1287.5095,1817.6048,508.569,300.9263,152.1784,71.5023,180.4547,149.3351,55.8665,0.0
PRT_L,7.6002,2.1897,0,2.6405,0.0315,66.9393,38.1984,6.5218,24.7046,12.6942,20.6842,3.6192,14.1413,26.8908,11.6736,27.9475,13.7515,5.0418,8.6302,14.516,11.2053,58.2335,19.6294,35.6522,85.0269,1181.6707,79.8036,7.5625,33.496,59.6451,7.7121,140.5361,89.7701,120.1915,92.7183,372.9366,136.7575,55.4944,47.563,136.4812,51.4748,64.704,36.234,42.0293,0.0
PRT_M,60.6878,6.6747,0,19.1073,0.2885,424.8892,163.9057,21.829,58.17,12.8564,145.8414,49.8998,48.9551,73.3633,20.9394,63.4316,55.8172,38.0273,47.8733,63.2109,11.8275,116.0754,244.1774,91.0693,416.5553,2039.6978,97.6694,5.6129,98.8331,207.1464,3.203,306.2885,179.9779,281.6573,276.4834,1117.2813,196.7123,2085.6404,426.5139,367.2061,149.267,292.3463,125.8118,145.6122,0.0
PRT_N,81.4586,3.7231,0,10.2074,0.5443,205.802,89.4273,15.5282,41.6771,7.4193,69.0386,22.5676,29.6608,44.5774,12.7835,33.682,36.1431,21.5431,28.918,45.2793,5.541,71.1891,114.0752,37.8924,180.4083,1285.5179,67.6933,18.769,89.1465,188.2899,13.6618,171.5442,104.488,231.7554,122.4766,587.7999,147.9555,712.8337,676.2027,297.2868,172.9646,330.0503,120.0792,111.5595,0.0
PRT_O,15.7191,1.1795,0,3.0182,0.1141,52.6241,23.1516,7.0071,15.8762,8.8864,18.2153,5.1479,8.8991,14.0054,18.8851,10.7528,8.069,4.8141,6.7369,9.6218,1.6414,20.1131,38.2727,65.0865,195.6764,305.4397,20.7087,3.831,16.8306,46.5205,2.1148,54.0299,23.8516,57.5368,36.1722,175.8037,51.5953,250.293,94.3418,108.6987,38.6793,73.5887,30.6385,31.2592,0.0
PRT_P,2.0248,0.8003,0,3.1555,0.0066,18.8054,13.104,2.1427,5.3672,0.4963,6.3441,2.4372,3.7506,7.4717,2.7109,9.9612,17.3998,2.8784,4.5355,12.1263,1.5253,5.8259,10.1895,4.9295,16.5496,63.8741,10.3432,0.442,2.6272,14.7329,0.0828,11.8749,5.8267,8.0468,6.9671,36.1678,3.6646,40.7065,12.9715,34.35,64.3456,8.4107,2.1751,2.2171,0.0
PRT_Q,14.7287,0.4968,0,0.7986,0.016,12.2112,9.3628,2.2133,2.289,1.38,3.2507,1.0204,1.8661,3.6204,0.7044,1.096,2.1865,1.1733,3.5062,2.5923,0.3676,4.1964,6.2307,1.9087,12.1274,44.6859,2.057,1.1999,1.4639,4.8023,0.5181,9.2447,4.263,6.7458,2.6055,37.8407,6.9218,7.0613,5.633,15.5146,5.815,786.4731,1.9633,9.4576,0.0
PRT_R,1.6165,0.1046,0,0.2489,0.0016,4.8354,2.0216,0.28,0.7362,0.2859,1.1644,0.4441,0.547,0.6294,0.1972,0.46,0.5228,0.4339,0.4035,0.6818,0.073,0.8126,0.9313,0.3543,8.8156,15.9142,0.7011,0.3746,0.6213,2.7212,5.0899,3.0745,24.965,8.6952,0.789,8.8332,1.2538,36.8441,11.9291,21.883,1.4031,2.5543,39.4264,143.535,0.0
PRT_S,4.0178,0.6202,0,1.4021,0.0302,11.6647,8.2027,2.1309,4.1149,1.3738,4.2837,1.4059,2.29,3.206,6.159,2.2688,3.2627,1.1168,1.1215,1.4692,0.294,3.8802,3.315,13.5611,21.7041,88.5686,6.7135,0.7199,3.7576,5.9989,0.5989,30.8962,5.3684,6.8042,4.0645,38.0263,5.6682,22.9804,13.9688,24.3461,92.6212,37.6062,91.6792,53.6621,0.0
PRT_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
