V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_H52,11.6404,0.0791,0.0094,0.4604,0.0005,20.8489,12.3346,0.4198,9.8384,4.7446,7.6063,0.8157,2.523,2.1665,0.2256,1.3131,0.6098,2.2378,0.0759,0.2724,0.0425,17.564,0.5344,0.1877,9.6492,44.9866,4.9107,12.6626,2.9781,21.3272,4.0228,3.1336,0.3111,7.2684,0.141,0.9655,7.4441,10.9203,11.2002,0.367,1.6582,1.8215,0.3532,0.8753,0.0
CRI_H53,0.2785,0.0021,0.0009,0.0383,0.0001,1.3872,0.4962,0.0121,0.3915,0.1991,0.7206,0.0851,0.1849,0.1624,0.0317,0.0725,0.0412,0.0852,0.0029,0.0075,0.0012,2.46,0.1023,0.0681,0.229,5.657,0.1233,0.2824,0.0662,0.8665,2.284,0.7192,0.1643,1.0044,0.0919,7.5442,2.397,2.4921,0.5432,0.3665,0.2484,0.6638,0.0199,0.1501,0.0
CRI_I,1.8841,0.0119,0.0058,0.1784,0.0008,15.079,1.2961,0.5306,1.5741,2.9165,8.0979,1.1809,1.9654,1.6267,0.4712,0.6313,2.3378,0.8917,0.0302,0.1125,0.0236,7.6381,3.0567,1.6024,5.9942,33.2482,2.1637,2.2846,2.095,3.7424,0.3075,20.5857,0.8285,4.5491,0.9579,3.2382,4.4439,22.9167,15.4868,6.4422,9.7793,7.1231,1.9081,6.9645,0.0
CRI_J58T60,0.2173,0.0013,0.0001,0.0052,0.0,0.6753,0.1334,0.0018,0.1628,0.1907,0.2055,0.0892,0.0419,0.0651,0.004,0.0065,0.0359,0.0746,0.0026,0.0014,0.0003,1.633,0.0315,0.0458,0.1843,2.5169,0.0227,0.0294,0.0146,0.1194,0.0131,0.952,0.4888,0.3969,0.0489,0.3225,0.2823,2.8556,0.3156,0.3131,1.2699,1.0024,0.0625,0.3839,0.0
CRI_J61,18.0019,0.1353,0.0046,0.1899,0.0004,4.3489,2.5503,0.3044,0.7226,0.8658,1.4839,0.2821,0.6466,0.549,0.1439,0.3292,0.2088,0.2801,0.0095,0.0419,0.0082,2.9382,1.162,0.401,1.7464,12.9628,1.0484,1.1004,0.3083,1.2804,0.288,8.0062,0.866,46.7077,0.8244,8.5088,11.289,10.9633,6.3565,3.662,5.8016,3.3901,0.8677,5.3142,0.0
CRI_J62_63,0.2177,0.0303,0.0004,0.0213,0.0,1.9765,0.2751,0.001,0.6801,0.4548,1.4553,0.1394,0.0768,1.7963,0.152,0.2115,1.9966,0.1254,0.0043,0.0094,0.0019,4.7576,1.4376,0.4043,2.8877,5.9433,0.2083,0.2633,0.1175,1.313,0.4049,2.6055,0.6073,14.9185,9.1153,10.834,0.3253,18.1619,5.4503,1.9868,1.318,0.8197,0.1891,0.8908,0.0
CRI_K,9.5232,0.3159,0.0102,0.553,0.0007,43.6686,6.8159,0.8095,5.9777,5.3923,14.5266,1.9385,3.4086,6.7698,1.6376,1.527,3.0974,2.4656,0.0836,0.1293,0.0244,10.3759,27.573,2.2615,4.2723,97.472,3.0009,4.1904,0.9864,8.9623,4.1738,48.4204,1.059,15.1204,1.1059,301.398,151.414,21.4104,14.5598,18.286,10.0424,16.6344,2.1067,7.9762,0.0
CRI_L,7.874,0.0005,0.0079,0.5281,0.0012,23.5439,8.6384,0.7515,4.3406,3.9125,4.1366,1.0833,4.1175,1.2961,0.2776,1.5488,2.7789,0.5408,0.0183,0.1353,0.0232,18.7201,32.7058,1.7259,1.0001,147.1804,1.4499,1.3758,0.4621,4.6076,0.8848,52.2018,2.4125,5.353,1.9975,26.5713,30.458,43.8904,14.315,13.8594,15.8979,21.1038,2.311,17.5852,0.0
CRI_M,20.9741,0.5671,0.0573,1.7591,0.0079,69.7443,6.6286,0.6486,8.8796,10.5597,29.46,8.2477,6.8727,4.1409,0.63,1.8472,2.2357,2.4878,0.0843,0.1142,0.0176,20.1063,6.1742,4.7396,150.0557,123.1402,3.5619,4.5043,1.761,6.9335,0.6407,53.5316,5.5934,16.9734,1.8251,70.8821,81.2903,96.5613,20.6386,33.7413,15.2686,11.591,3.6282,10.5711,0.0
CRI_N,8.2554,0.2754,0.0582,3.8236,0.0067,31.6047,3.0304,0.3101,3.3315,7.5803,21.4419,1.9213,3.4993,15.942,0.1457,1.3744,2.2217,1.5062,0.0511,0.0666,0.0129,54.646,4.573,4.7499,25.9801,45.0301,9.0385,14.8937,5.7853,5.966,1.1651,25.5523,0.7103,34.6312,1.9738,25.2474,13.0685,15.3569,15.7599,8.0,10.0683,6.1866,1.6794,3.4341,0.0
CRI_O,0.249,0.0092,0.0003,0.0152,0.0,0.9469,0.1763,0.0156,0.1311,0.114,0.2077,0.0506,0.0736,0.0736,0.0065,0.0247,0.0524,0.0298,0.001,0.0032,0.0005,0.4573,0.234,0.0652,0.5417,1.7075,0.0647,0.1236,0.0353,0.2299,0.0362,0.6461,0.0389,0.3652,0.0184,0.7978,0.5326,0.6264,0.2909,0.2913,0.2247,0.2541,0.0368,0.1927,0.0
CRI_P,0.4399,0.0112,0.0005,0.0168,0.0001,2.9637,0.1759,0.0321,0.5454,0.288,0.6243,0.1324,0.4907,0.2108,0.0806,0.9592,0.8363,0.8231,0.0279,0.0021,0.0004,2.7814,0.4454,0.2764,1.3034,5.7092,0.0933,0.1144,0.0742,0.2717,0.1038,2.1026,0.1084,0.7061,0.1994,3.933,0.5934,4.1413,2.4147,2.9979,11.9785,2.8395,0.2458,3.9043,0.0
CRI_Q,0.0599,0.0544,0.0001,0.0038,0.0,0.0891,0.195,0.0,0.0737,0.0,0.0086,0.0074,0.0135,0.0003,0.0196,0.0029,0.0067,0.0427,0.0013,0.0013,0.0004,0.0442,0.0,0.0579,0.0115,0.0833,0.039,0.0503,0.0124,0.1678,0.0024,0.8581,0.0,0.0082,0.0233,0.0198,0.063,2.4467,0.0803,0.0007,0.0904,13.0431,0.0033,0.4185,0.0
CRI_R,0.0206,0.0001,0.0001,0.0048,0.0,0.0809,0.0077,0.001,0.0366,0.0023,0.0114,0.0048,0.0117,0.0022,0.0066,0.0043,0.0037,0.0019,0.0001,0.0001,0.0,0.0757,0.0104,0.0266,0.0056,0.1037,0.0017,0.0023,0.0014,0.0038,0.0003,1.6685,0.0728,0.0252,0.0091,0.1219,0.0283,0.1893,0.1082,0.0095,0.2254,0.0498,0.2282,0.1767,0.0
CRI_S,1.179,0.0075,0.0014,0.0669,0.0001,5.3146,1.4431,0.1655,0.7294,0.7222,1.9137,0.4748,1.0772,1.2172,0.1355,0.1963,0.1768,0.201,0.0068,0.0198,0.0037,1.3099,1.3098,1.205,2.1742,17.1049,0.3473,0.5615,0.1392,1.7128,0.0822,12.7364,0.6123,2.148,0.6846,9.6764,9.9748,9.9024,3.28,4.1891,3.1451,4.0223,0.1822,14.699,0.0
CRI_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
