V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_I,2.5241,0.248,3.0136,11.4677,0.3642,19.2957,3.3921,2.8697,7.3112,41.97,8.9765,2.342,17.7308,8.8798,2.4587,10.2637,2.8932,5.5887,14.343,8.2034,1.0576,5.108,17.525,6.6243,41.131,45.8806,151.2724,1.7716,57.9207,93.0178,1.704,29.8097,12.7578,206.3937,7.4903,6.1978,40.4841,46.8097,70.2486,268.5426,41.1604,14.2871,60.1135,22.1504,0.0
ZAF_J58T60,7.7777,0.3975,8.8082,18.8281,0.1163,171.3557,27.1892,11.4994,100.5106,170.9853,48.0038,15.5771,25.2544,25.251,35.6284,42.6069,5.8054,14.5078,36.6726,43.4989,12.5569,21.7818,3.2981,4.6908,13.873,431.0517,27.4851,0.5115,7.136,15.4984,0.637,19.1419,58.1233,77.0891,199.225,38.4859,338.0545,248.3979,146.0239,19.3696,22.5396,62.3968,48.5546,36.2386,0.0
ZAF_J61,28.0434,1.1794,31.9528,81.5284,0.9562,187.7711,100.5812,49.0737,92.8365,56.8607,128.3968,31.6046,80.1135,58.9527,39.2854,298.7883,208.1161,180.5058,546.7274,340.0083,36.5137,80.1439,101.2398,255.1623,581.5037,1439.3055,357.7436,1.1868,27.2592,343.2832,0.1015,407.1501,186.7206,297.1482,323.2639,1150.9894,575.2373,1215.8686,832.8957,2022.6574,334.3322,870.5899,602.7188,529.6396,0.0
ZAF_J62_63,40.6139,0.5584,39.1703,115.8471,3.3468,353.8274,38.541,20.1378,44.1249,341.2313,140.0205,33.6735,36.4081,43.9971,53.4471,77.6507,11.0802,23.7419,53.9102,70.103,7.3835,39.9805,147.0649,44.8382,345.2874,418.4869,167.7454,0.3833,34.4919,69.4522,0.7973,77.2175,107.1897,243.8031,157.5414,143.7146,207.7004,135.4371,96.0285,928.6206,360.469,378.5818,249.7538,108.8188,0.0
ZAF_K,401.6599,45.1176,179.3683,364.7889,14.4832,261.6117,95.9976,57.5088,66.0956,314.5493,124.0982,23.6783,80.2351,90.2084,66.5762,232.8597,51.9884,48.2044,186.2526,104.0803,32.6786,121.1206,621.3911,105.7417,274.403,1259.4663,248.284,4.0783,58.9215,498.1165,7.7998,114.9365,104.9253,160.7503,53.2036,12609.9576,625.7584,528.6029,524.7264,443.6685,37.1148,160.0591,913.5835,620.2558,0.0
ZAF_L,9.9032,1.2991,18.1216,62.3207,1.648,432.8857,99.7202,61.2332,133.2553,516.673,125.6063,26.8139,123.1616,70.005,43.7852,301.8704,51.2863,49.5076,193.9251,82.7231,53.017,129.9009,26.7546,48.0975,277.4112,2365.4347,230.2193,0.5847,24.1846,235.668,3.7673,354.0114,124.768,397.7365,143.0481,576.389,265.7312,815.1583,461.3207,307.9302,218.4064,683.4146,642.4021,220.3505,0.0
ZAF_M,108.7728,1.3284,90.8891,315.6645,18.6878,776.2194,49.8,51.8826,134.8086,946.3421,377.7306,109.3656,99.598,133.784,81.6985,162.4934,22.7659,97.4981,125.3089,249.9196,11.1186,74.966,383.8171,162.877,1698.994,1171.3225,289.9357,0.5037,41.7545,122.2087,2.6719,196.8471,226.3088,691.4137,180.3312,463.1833,403.2026,355.5834,183.455,1476.6859,820.1627,1025.3548,1480.7923,315.8306,0.0
ZAF_N,373.9386,4.3333,164.5481,587.2809,16.9963,694.1136,46.4782,64.9415,122.9964,769.1007,286.4241,84.7184,94.5244,119.3593,105.9487,175.328,17.0401,53.9429,117.5898,158.6469,11.3381,64.4996,182.3816,132.9648,736.0815,797.5313,559.4435,2.6696,187.0644,220.5801,2.4584,151.878,160.5203,530.3834,44.6488,177.1171,456.799,230.4261,339.1165,1812.2647,759.1792,777.0011,1045.5857,252.9028,0.0
ZAF_O,2.4215,1.0789,42.9475,210.3663,1.0258,76.1882,12.6692,6.1526,46.4575,92.7673,39.7859,11.8722,15.3978,36.6169,18.1127,21.1791,4.011,9.4524,24.886,26.418,7.0831,56.3734,16.3536,7.4751,49.4134,279.3206,10.7289,0.4526,1.9461,5.2911,0.0373,56.0511,26.3524,17.9,244.2363,3.9994,206.6244,456.4442,131.7117,933.597,9.6777,212.1596,88.9641,35.8901,0.0
ZAF_P,48.3227,0.738,19.0576,63.7004,1.8342,29.3184,3.1543,2.3774,10.3773,17.03,14.0512,4.1904,14.9076,7.2867,3.5097,8.1696,2.4674,65.9154,15.1687,6.5972,2.0083,3.9488,16.3648,13.6853,68.028,47.5553,142.5353,1.4657,54.188,118.8724,1.0782,24.2507,15.2009,134.7809,14.4744,243.8281,62.455,96.1726,77.7515,227.0208,36.6898,29.2508,88.2326,59.8794,0.0
ZAF_Q,565.6092,13.6143,116.5228,490.3591,2.3592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3921,107.4061,0.0,0.0,61.0629,0.7059,8.7863,24.8774,0.4188,0.0,33.5036,88.4898,155.7025,367.5569,1226.0313,641.3408,557.3804,636.1761,444.1889,49.1356,675.0514,88.1724,0.0
ZAF_R,74.8289,2.8157,91.8959,185.6111,2.7495,969.9982,154.2458,80.35,330.3131,1311.1976,250.676,60.9989,158.967,122.8129,297.7113,284.7155,39.081,79.5664,223.08,261.0885,106.2152,138.6314,3.1992,7.3801,65.5763,61.2706,171.6113,4.7949,47.2305,99.4437,2.7543,62.1362,99.1626,208.5526,44.0403,19.368,149.5111,218.1333,238.163,46.5248,92.019,14.3245,579.5809,45.3873,0.0
ZAF_S,73.3726,1.4557,41.1324,105.1822,0.0244,547.3937,106.277,57.7653,280.1769,971.2422,198.6802,51.325,112.4801,141.5368,165.4375,240.9376,23.1947,71.0928,186.2012,227.1079,35.4318,77.1746,6.5059,6.3916,80.885,16.0416,130.145,1.1652,14.108,55.9897,0.7186,37.2218,45.8145,151.1068,50.2659,15.753,215.9594,172.8513,113.9611,7.5701,37.8712,16.0507,21.64,48.8111,0.0
ZAF_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
