V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_J62_63,0.1555,0.0003,3.002,0.3144,0.1439,0.1054,0.206,0.0103,0.0331,0.1718,0.0002,0.0001,0.0009,0.0021,0.0,0.0427,0.0256,0.0006,0.0184,0,0.0068,0.0864,0.017,0.0208,0.3286,0.8181,0.0053,0.009,0.0069,0.0003,0.0032,0.1399,0.0009,0.0097,0.0038,0.0205,0.0277,0.1784,0.0352,2.5315,0.2708,0.3025,0.001,0.0051,0.0
BRN_K,0.2841,0.0014,84.8218,26.3127,7.9645,0.5336,0.1718,0.205,0.21,6.9499,0.7193,0.1448,0.2501,0.0014,0.0,0.3743,0.0527,0.0047,0.5558,0,0.153,0.1085,3.5375,0.1311,32.7261,16.5773,0.2582,0.1219,5.1714,0.4289,0.02,1.1485,0.0354,0.4315,0.0173,48.1332,7.8962,7.2332,2.6917,16.0693,0.7561,1.4808,0.0249,0.123,0.0
BRN_L,0.0062,0.0545,12.3661,3.4889,3.51,0.2042,0.0229,0.0296,0.1206,0.7478,0.1803,0.0445,0.052,0.0,0.0,0.0247,0.0058,0.0014,0.0232,0,0.0177,0.0315,0.388,0.0256,1.9793,4.5453,0.022,0.0094,0.0112,0.1604,0.0644,1.1926,0.0225,0.322,0.003,2.1884,1.3467,3.0052,0.7283,3.3634,3.1762,1.0151,0.0748,0.2013,0.0
BRN_M,0.2045,0.0001,77.7405,14.4245,1.5076,0.2324,0.0217,0.0109,0.1128,0.6248,0.2011,0.0641,0.2231,0.0001,0.0,0.1739,0.9464,0.0123,0.0561,0,0.0256,0.0323,0.509,0.201,5.3514,7.8517,0.0601,0.0244,0.011,0.7302,0.0867,0.2463,0.1646,0.1155,0.4937,2.8053,0.0378,4.6567,6.664,22.7615,0.4549,0.3778,0.0074,0.0244,0.0
BRN_N,0.1128,0.0317,14.4034,6.7801,2.3995,0.4796,0.0265,0.136,0.6536,0.5154,0.2404,0.0244,0.2425,0.0002,0.0,0.1901,0.0213,0.0009,0.0285,0,0.0356,0.1631,0.0324,0.3031,17.7388,4.535,0.0886,0.0219,0.2214,0.591,0.0167,0.8156,0.0272,0.1466,0.0024,4.4595,2.2705,2.2434,23.0174,25.6193,7.2287,0.6881,0.0347,0.1207,0.0
BRN_O,0.0292,0.1183,64.2913,15.6118,0.3651,0.7349,0.0101,0.9532,0.695,63.2711,7.68,2.3457,3.2297,0.0012,0.0,0.1807,0.0179,0.0032,0.2188,0,1.2014,1.0158,0.0,1.2171,43.1902,21.3579,4.0218,0.2145,0.2474,12.0127,3.335,6.8624,0.0293,3.8606,0.0171,18.3437,8.1166,18.3753,4.0883,276.7885,2.2686,1.3942,1.5842,1.3565,0.0
BRN_P,0.1573,0.0,59.6684,4.0983,0.0072,0.2379,0.0881,0.0127,0.0002,30.8334,0.079,0.039,0.0353,0.0,0.0,0.2027,0.0757,0.0,0.084,0,0.0217,0.007,0.0008,0.1638,0.4055,0.9608,0.0852,0.0082,0.0183,0.0441,0.0,0.0083,0.0227,0.0493,0.0515,0.5587,1.0929,1.8597,2.6035,37.1453,151.0957,0.2099,0.0211,0.0312,0.0
BRN_Q,0.0259,0.0076,3.0927,5.8515,1.6196,0.0717,0.0129,0.0358,0.0059,0.016,0.0305,0.0117,0.0153,0.0001,0.0,0.0483,0.0005,0.0001,0.1565,0,0.0199,0.148,0.0007,0.0228,1.1884,1.2376,0.0066,0.0021,0.0023,0.0103,0.0001,0.0915,0.002,0.0019,0.0346,0.2282,0.0204,0.3392,0.1059,3.9848,0.0916,20.0734,0.0277,0.024,0.0
BRN_R,0.0006,0.0,1.5607,0.1601,0.0254,0.0219,0.0,0.0,0.0121,1.0722,0.0051,0.002,0.0033,0.0,0.0,0.0063,0.0212,0.0,0.0097,0,0.0011,0.0128,0.0,0.002,2.0946,0.0271,0.0012,0.0044,0.0001,0.0001,0.0,0.0042,0.0022,0.0,0.0006,0.1953,0.0041,0.0798,0.0085,0.4294,0.0065,0.0655,0.0005,0.0001,0.0
BRN_S,0.0009,0.0,1.7486,0.2161,0.0169,0.0154,0.0001,0.0031,0.0176,1.7411,0.0064,0.0022,0.0042,0.0,0.0,0.0127,0.0144,0.0,0.0179,0,0.0011,0.0044,0.0,0.0023,3.4224,0.0712,0.0038,0.0039,0.0003,0.001,0.0,0.0043,0.0035,0.0,0.0,0.405,0.1556,0.0502,0.006,0.259,0.1134,0.1573,0.0002,0.0002,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
