V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_H51,21.1651,2.6341,39.1541,3.7777,5.052,37.5404,4.0328,11.9057,6.7353,22.4981,18.7896,0.5536,15.4741,8.2038,13.4991,7.3595,43.3114,12.5649,7.3108,10.59,4.2184,2.6205,4.923,1.3845,13.6731,43.3429,73.9812,5.9938,40.7294,220.3721,17.505,6.5984,1.0274,1.7036,2.1632,45.1675,9.5856,16.038,38.2279,124.3847,15.7406,14.1113,1.5017,1.3433,0.0
MYS_H52,5.2116,0.6008,151.3151,0.4769,27.1059,151.3082,62.4658,191.2745,90.7723,290.1722,160.4701,2.7235,23.4094,122.6347,80.0751,55.2387,95.4969,44.5847,25.7794,1.508,11.5025,9.3447,1.183,0.5215,2.1769,260.9227,187.6073,73.3496,123.8944,453.1503,0.4747,2.8407,0.357,2.2068,2.0004,89.7148,7.7701,8.2886,1.4629,195.0153,9.3682,8.3952,0.3282,0.1415,0.0
MYS_H53,0.8416,0.1054,0.1481,0.1742,0.9662,0.7625,0.5537,0.3078,0.9893,0.2301,0.6691,0.0614,1.5724,0.3328,0.9668,0.6488,0.7968,0.5222,0.6491,0.1826,0.2221,0.2649,0.2299,0.1305,0.9043,18.6424,4.2631,0.2256,0.2961,2.7072,23.9665,0.4688,0.0311,1.0571,0.2668,21.5746,1.3741,1.1686,0.157,1.3778,0.5679,1.2126,0.3022,0.1371,0.0
MYS_I,62.8787,5.8995,1.0646,2.8972,7.7403,5.3975,2.6161,4.147,7.4122,3.4284,7.8381,0.2868,9.1389,3.8131,11.6977,7.4327,6.379,5.6078,5.3566,3.0413,2.1082,2.0201,1.0288,1.2033,18.8439,352.8672,25.9749,32.636,61.996,30.8065,0.6025,425.7473,3.2481,12.7311,22.0298,470.0729,22.7073,7.7946,41.9168,226.102,36.3033,30.4976,18.1954,1.7869,0.0
MYS_J58T60,0.0122,0.0048,0.0468,0.0029,0.9168,0.007,0.0017,0.026,0.0022,0.0011,0.0127,0.0004,0.0055,0.0045,0.0041,0.003,0.0539,0.0095,0.0133,0.0197,0.0033,0.0008,6.626,0.0009,0.0105,0.0587,0.0037,36.3524,0.0021,0.0054,0.0008,89.3875,0.1582,47.4647,0.0033,88.4614,0.0327,108.9383,75.3838,96.8733,23.8825,7.085,2.1762,0.0015,0.0
MYS_J61,28.9034,4.7621,14.1466,2.3864,14.0417,40.9915,13.6579,11.8497,35.1286,13.884,47.8427,5.5185,32.9062,17.8371,78.0286,25.1833,104.3689,21.6646,18.4218,5.7915,13.1025,15.713,33.9757,37.4483,58.3552,353.6877,86.7582,9.7087,22.3134,70.0576,6.2036,126.5931,85.3565,2263.4166,746.051,1247.8171,81.6094,61.8029,213.5477,149.7993,72.1041,42.1475,146.945,33.6518,0.0
MYS_J62_63,0.9312,0.1645,15.4949,0.2539,3.9325,4.708,0.6498,2.5743,3.5906,38.6828,13.007,0.2867,3.8474,2.2078,3.6265,2.5833,128.3712,4.7357,3.4052,3.3902,0.9651,1.281,4.3852,0.7442,1.9906,1.5936,47.8099,0.406,12.8511,6.9019,0.4953,11.6232,29.5146,891.8596,406.3465,51.7875,14.8689,2.0357,1.9106,199.9858,6.1778,2.4493,0.0167,0.0493,0.0
MYS_K,1598.9083,11.3628,296.808,3.5587,61.7441,643.6233,89.9627,192.4749,156.3018,1443.0714,371.6016,9.5261,97.3097,96.6244,270.0335,129.5622,436.8097,187.6062,94.0927,20.7528,70.5136,40.4998,42.4785,19.1417,157.7823,1389.6448,31.1219,136.716,25.6874,43.4482,4.8529,78.9422,205.2918,790.1697,271.5791,7710.5138,875.0118,58.1123,49.415,157.7317,44.3423,38.3458,95.9685,16.704,0.0
MYS_L,11.7382,2.0447,7.0193,0.3589,3.102,17.594,12.5056,14.3002,16.7904,8.696,23.7692,0.3508,15.4676,11.4921,9.4344,16.1533,22.9423,8.9858,10.6637,4.011,13.4637,5.9526,1.0925,0.067,127.301,234.1595,40.7363,27.7513,15.52,58.9618,1.0598,22.6389,1.3852,12.6373,5.1274,129.828,409.245,15.4943,24.2005,483.3398,61.7058,19.8668,19.9166,17.6749,0.0
MYS_M,13.7077,1.2244,31.0134,14.6075,15.5338,27.759,7.5321,13.7745,22.2356,31.3501,26.9657,0.8906,26.2314,12.6343,14.9694,21.2258,37.4434,14.4483,15.2109,6.1066,20.6823,8.1257,73.8967,22.4628,35.2147,191.3924,5.4381,7.0026,61.1423,20.1487,2.0441,16.8442,9.7792,29.444,9.6524,76.5984,32.699,35.4134,41.5678,30.4317,38.9296,5.5346,58.2485,7.9101,0.0
MYS_N,102.8373,7.6388,11.7113,3.5021,53.6951,42.8104,25.3591,23.1211,18.2393,149.3067,40.359,1.9821,26.6096,21.124,10.2616,13.4451,80.824,16.3643,24.8949,16.471,14.9104,8.2742,22.8674,12.6607,19.0195,263.3955,23.5571,2.436,21.6629,24.3984,1.0169,57.9202,7.476,17.5126,5.4327,98.2583,39.5256,18.2413,487.0821,143.6567,16.3353,24.7953,64.3833,76.2518,0.0
MYS_O,1.2638,0.171,0.2684,0.0168,11.6922,7.5646,0.4993,0.6177,0.693,0.351,1.2235,0.019,1.3855,0.4355,0.36,0.5947,0.8491,0.3344,0.3966,0.1547,0.5016,0.2372,0.0903,8.0528,4.6991,15.7108,7.6434,0.9845,0.6932,5.2654,0.2558,1.3676,0.2503,0.6394,0.1905,9.4849,14.4863,14.9296,1.1479,21.5481,18.3167,3.628,1.9329,11.9258,0.0
MYS_P,0.2117,0.0696,0.1563,0.0355,1.2582,0.2044,0.1046,0.3991,0.1381,0.0678,0.3092,0.0067,0.1681,0.1305,0.1082,0.1454,0.7887,0.1714,0.2272,0.2234,0.1299,0.05,0.0068,0.01,0.9869,2.2328,0.3186,0.2165,0.1248,0.4622,0.0159,0.2567,0.0422,0.1037,0.0521,1.1878,3.1903,0.1428,0.213,218.2393,261.7347,5.7738,0.1575,0.1379,0.0
MYS_Q,0.0,0.0,0.0,0.0,2.3019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.7647,0.0,0.0,0.0,190.7449,0.0,6.1976,0.0,0.0,0.0
MYS_R,0.0,0.0,0.0,0.0,0.8672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6264,12.0452,0.4006,672.0775,0.0,0.0
MYS_S,16.916,4.247,0.1092,0.0038,4.4744,14.0459,0.6641,0.124,13.0634,0.411,110.7153,0.1963,29.3259,22.887,22.2682,21.6479,48.2314,26.3002,22.7909,12.6278,77.6009,20.7771,0.1426,28.284,8.5566,4.8867,22.8482,0.2342,0.6261,11.9044,0.7914,10.5204,0.7392,0.4266,9.7794,11.7062,12.6028,2.1599,1.2281,44.6525,6.5185,4.4073,4.6192,6.826,0.0
MYS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
