V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_C20,919.7373,13.0108,2.1918,8.3717,1.559,161.9282,512.2194,43.6031,158.5928,20.2878,1705.2122,143.4847,943.3997,217.4651,43.7174,59.8697,178.4553,84.1433,62.9883,175.6401,43.8062,144.3571,8.1617,15.8163,96.6717,73.2356,2.6613,0.7308,6.3421,0.4059,0.3573,54.4445,54.881,0.6364,1.7833,26.5451,0.9881,7.644,4.8891,11.953,10.7706,82.4119,0.3372,124.6302,0.0
THA_C21,84.5531,2.5623,0.0,0.0355,0.0706,14.0095,0.1948,0.0,6.0697,0.0,1.834,82.1946,0.0,0.3142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0063,0.0,1.7687,0.0,2.2096,1.4495,0.0062,0.5309,0.0,2.167,0.0,0.0,0.0,1.0538,0.0,0.0,0.3066,0.7229,8.3164,609.6443,0.0868,2.9472,0.0
THA_C22,93.7388,36.7778,1.9253,0.8068,1.4365,212.1431,200.8289,9.0078,30.5976,1.3567,69.5615,34.6467,521.7915,17.3032,9.4422,40.3275,242.8071,160.9169,33.9427,335.1871,56.8794,128.85,2.3019,3.2688,105.0287,582.4544,170.5536,1.7057,1.4428,0.8435,0.5237,22.9443,12.1935,0.8015,5.3379,6.172,2.2189,4.3871,9.8293,0.0,2.9983,25.0586,0.2108,7.2666,0.0
THA_C23,18.7028,2.6995,0.0016,0.3233,3.1976,180.5915,1.6417,6.3739,0.8669,0.0005,9.4059,44.3594,1.2428,704.5908,9.9532,12.2482,156.0261,340.8344,75.7387,99.1193,17.484,39.6267,0.0,0.9382,3355.9608,42.8232,0.345,0.0,0.1069,0.0044,0.0,37.0559,0.1073,0.0,0.0299,2.7615,4.4438,2.518,0.0606,37.5216,1.8406,1.7637,0.1258,1.1502,0.0
THA_C24,0.2346,0.0005,0.0009,0.0841,1.6046,12.3681,0.503,0.0018,1.433,0.0241,1.1836,0.0001,2.5823,34.645,576.8087,640.5539,295.1479,203.0962,233.5799,534.6842,138.0521,503.6364,0.0,0.0788,347.0425,96.3159,0.2113,0.4842,0.0,0.0557,0.0,0.0701,1.1009,0.0,0.1898,0.0,0.0602,0.4806,0.4024,0.0,0.0252,0.6579,0.0002,1.0543,0.0
THA_C25,212.4199,0.5428,0.1017,12.8909,3.3668,517.5212,46.3531,26.7751,10.9191,2.3715,29.9173,14.9219,32.5895,13.5362,8.9791,62.7001,94.1404,126.4564,256.624,226.0173,53.9863,83.2945,9.6582,1.2676,380.4399,48.7745,7.887,1.8369,6.4923,0.8269,0.372,16.2109,13.6307,1.1836,0.8142,2.0352,2.7105,1.4777,1.1847,4.1879,1.2213,15.8321,0.2165,11.0114,0.0
THA_C26,2.0056,0.106,6.7872,0.1651,0.6546,9.9573,7.0258,0.5544,3.1482,0.2858,3.9996,3.2489,2.485,2.6441,1.0831,0.4855,8878.74,90.4602,18.5633,212.338,5.8047,228.3524,8.3358,2.9334,10.4961,19.7921,8.6412,0.2908,6.1201,0.0769,5.0324,6.4952,38.4996,69.5559,23.3101,46.8178,2.7168,21.1713,7.1369,53.8701,33.3002,54.6208,1.4675,85.0782,0.0
THA_C27,3.333,0.2199,1.1905,0.4702,0.346,0.6778,0.2601,0.4028,0.0016,0.0,0.0127,0.2451,0.0879,1.8548,0.5677,0.9581,115.167,1044.8597,59.7535,195.4752,41.766,22.2907,66.2063,0.0627,313.6987,153.3552,8.1004,0.5196,0.0203,0.015,0.58,41.5481,9.2154,7.6804,0.1694,12.4155,3.7676,0.9099,0.1116,0.0,1.0221,3.3687,0.0504,9.6996,0.0
THA_C28,43.9228,6.6396,18.2596,7.515,2.659,64.7842,34.1803,12.0129,22.9112,2.5868,33.2764,2.893,16.4875,27.7467,14.3779,9.1587,42.3532,18.0772,701.8979,497.5716,83.2316,12.8554,17.1231,0.4788,34.7351,93.1596,11.1547,4.3143,0.3497,0.247,1.3653,4.9957,1.8235,3.019,3.8595,0.0199,0.8462,2.4836,6.3243,2.9416,0.6425,0.403,0.0897,1.3634,0.0
THA_C29,0.0896,0.0,0.0,0.0,0.5496,0.1763,0.1389,0.0,0.0062,0.0,0.0033,0.0526,0.0,0.0,0.0013,0.0,8.6243,0.562,10.6868,3902.5866,37.9216,0.0,0.0,0.1579,0.0,661.0437,62.4866,0.3431,0.0,0.0,0.0,0.0,0.0132,0.0,0.0,0.0,0.8045,0.0,0.0905,3.1283,0.0,0.0,0.0182,1.5114,0.0
THA_C30,0.0161,63.822,6.5147,0.0018,0.0599,0.3826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,473.4321,0.0126,0.0,0.0,0.0999,43.0264,7.2076,131.2245,46.1882,0.003,0.0,0.0,0.0,0.0,0.5253,0.0,0.0,0.8284,0.6427,1.4656,0.0119,0.0,0.0206,0.0206,0.0
THA_C31T33,54.1672,1.9199,7.2625,2.4184,19.3902,96.2069,916.837,12.0827,20.4418,4.0111,82.8527,23.214,50.9426,52.8665,24.1154,22.4366,243.3193,48.1087,25.477,77.8013,53.7548,3041.8935,29.525,27.6701,90.5954,202.9407,73.1071,14.9625,20.9656,0.8541,15.1153,72.3719,241.9716,62.6911,28.8265,303.2757,29.8592,53.4648,71.5549,154.6892,254.7849,46.7253,60.7075,76.8611,0.0
THA_D,82.9671,15.5675,39.7787,35.888,8.0237,1008.8788,1439.8383,164.4769,140.9958,46.8828,1033.459,32.288,569.0301,833.2986,480.9645,121.5023,317.4731,203.0969,199.5212,410.5419,97.2633,190.981,2469.3251,202.6046,167.8648,1705.4248,131.0546,11.4732,59.4422,68.8415,38.4674,1762.4464,136.3794,230.4876,29.8566,290.928,350.4185,47.1033,40.9968,0.0,384.8692,395.7811,33.7344,214.0043,0.0
THA_E,3.0511,0.0134,0.1815,0.022,0.7455,45.7142,27.9304,4.2781,18.8164,1.5009,21.5255,4.3773,13.4012,23.2526,6.459,2.0263,27.7924,4.7036,2.9676,8.6835,2.4123,9.1925,7.5816,18.5295,8.9289,25.4482,10.2707,1.0678,5.5653,0.2871,4.4317,59.6121,4.9191,13.8876,6.0115,15.2925,36.331,5.2429,9.3524,49.6492,19.834,13.6265,8.7699,7.5012,0.0
THA_F,11.2344,4.8658,1.6879,2.6184,5.698,14.2607,13.1746,1.3315,5.8265,0.7492,15.0734,1.3025,9.3486,16.7604,5.9434,1.659,24.5091,3.5917,6.7148,14.9203,2.8923,6.4372,14.1678,3.9497,9.9298,29.0433,4.0512,0.3124,0.4845,1.8253,1.2875,34.6379,10.2837,4.6749,8.0102,33.1236,53.6466,4.9874,5.3655,143.7318,12.1702,4.675,3.2968,3.8036,0.0
THA_G,1076.6163,208.7703,134.5493,95.564,7.1092,3209.1162,2261.3861,122.5148,236.0872,766.7325,675.7224,124.9102,699.3784,350.6584,237.2679,215.0687,2532.6091,459.5599,411.9194,874.3829,240.9406,1238.0016,501.5689,32.926,1077.8543,669.7024,2085.3323,140.9456,174.3616,8.2633,14.1544,1486.7211,134.1551,33.8922,61.2951,206.2924,24.8295,92.1644,90.7353,488.8739,234.5198,327.1497,25.7524,137.559,0.0
THA_H49,169.771,16.3453,56.7634,45.6382,9.3931,362.526,172.4853,17.7611,47.5844,161.5154,101.7379,27.106,86.0812,79.9601,47.7062,50.7528,232.2271,62.5172,71.8967,135.1662,35.3705,147.748,96.6481,3.2022,1052.0206,392.4376,393.0336,22.6421,21.683,17.5878,40.1282,117.3082,22.4438,37.8713,23.3934,97.4302,12.2842,23.198,43.784,79.2732,86.9094,36.8362,3.5306,31.0678,0.0
THA_H50,7.2359,0.1334,0.4736,0.0026,0.0017,1.7547,6.9488,1.1554,2.6806,27.2806,8.8346,1.0581,5.9465,1.5518,8.1403,7.2699,32.5602,7.8149,8.3831,17.0164,4.0326,10.9087,17.4393,0.1385,10.2187,3.4848,3.0493,0.0013,0.7883,0.0136,0.0089,3.5359,0.5688,0.1129,0.3446,0.1239,0.1889,0.4882,0.3536,0.8807,0.023,0.0817,0.0036,0.8208,0.0
THA_H51,27.5224,4.1171,8.7196,0.8096,0.5008,56.977,41.3728,4.5082,10.7315,173.4429,36.3633,6.905,23.0779,14.7719,28.9611,26.0268,112.8924,27.6464,29.7959,59.6464,14.2686,45.0994,70.9392,0.6892,39.4563,139.4547,13.8766,6.4775,163.4137,0.6608,7.8394,18.6119,4.9831,7.3851,2.7332,19.3823,1.0536,3.0233,14.5784,37.2592,4.0439,10.51,0.6848,6.053,0.0
THA_H52,1.9366,0.3638,0.2464,0.0099,0.0007,0.536,0.4939,0.0203,0.0406,1.2295,0.0157,0.0032,0.0721,0.0349,0.0896,0.045,0.2544,0.0321,0.0226,0.1539,0.0156,0.338,0.8533,0.0295,1.7933,0.0043,1.2323,0.1462,0.0007,0.0007,0.001,2.2571,0.0398,0.0034,0.0453,0.1273,0.1694,0.0811,0.0422,0.4575,0.3302,0.3867,0.0383,0.1345,0.0
THA_H53,9.6222,0.0225,0.4506,0.7801,0.3581,14.4085,11.3419,1.4636,5.6104,2.3673,12.973,3.79,7.3648,10.9194,3.325,3.4001,16.8057,2.2889,11.4926,16.2722,1.7291,15.2795,7.0496,0.8868,3.7156,156.02,7.6508,1.946,6.3879,0.124,142.9412,36.1998,16.1171,132.7216,9.5349,92.7164,1.5267,20.2252,13.0641,48.4234,10.2186,4.5325,0.791,8.4961,0.0
THA_I,62.2065,0.1105,9.7132,11.1491,2.7845,74.4741,146.6527,12.3237,47.5227,5.0272,53.5389,11.7692,38.9891,32.0814,16.5792,12.7392,49.1188,27.1469,43.5317,36.594,17.4674,52.7825,37.9851,10.4475,205.9053,2834.1562,225.944,22.54,3.9223,0.5604,12.8594,55.8133,27.1047,34.9003,62.8458,247.8444,23.4231,70.2984,141.126,403.3059,123.9867,48.4822,2.3988,80.5753,0.0
THA_J58T60,0.7584,0.0,0.2781,0.1469,0.2237,2.4813,1.3249,0.3715,0.1609,1.7069,1.4385,0.1753,0.9248,1.5252,0.58,0.684,2.2209,0.4965,1.351,4.644,0.1984,2.3903,0.7429,0.0495,0.763,46.0851,5.409,0.978,0.8718,0.0231,0.4777,7.6128,465.6459,2.435,325.347,24.3278,0.7408,877.1067,604.0351,14.7453,63.8441,6.8591,1.4554,6.392,0.0
THA_J61,30.6718,0.0693,2.1326,2.2066,1.0175,40.9676,31.0889,4.4073,16.9233,5.7222,30.6049,8.6684,19.6089,30.6503,8.7395,9.329,45.9802,5.9438,30.1231,50.4009,7.3548,42.0443,12.6915,2.192,12.9335,332.4422,27.5027,6.1894,29.419,0.3581,16.6964,144.9975,130.2725,476.733,38.0808,223.9151,4.1635,53.6837,36.4755,108.5163,28.8374,15.4769,2.3213,25.8146,0.0
THA_J62_63,3.9311,1.2804,118.8329,0.7515,0.6197,69.4542,45.7495,4.0945,27.6078,3.5953,25.6577,5.1748,21.9794,44.1961,3.4834,5.8049,38.2772,18.1582,7.3142,42.834,8.1884,17.6991,9.716,3.729,30.8657,64.7468,19.396,9.4339,24.0776,0.3457,5.6744,31.0484,10.5064,37.7064,11.5003,111.0025,10.4845,2.3937,18.302,0.0,16.0305,8.1134,1.2006,7.9784,0.0
THA_K,573.9292,46.7087,16.3151,21.0595,7.4218,443.8007,336.3465,75.7293,74.2997,35.4038,244.4657,22.5694,122.2317,195.7352,121.0417,71.549,105.4837,58.1304,89.1974,183.7077,60.5458,140.9232,368.2744,67.5545,203.946,2282.7598,200.7211,48.8814,152.2254,7.4774,46.2083,227.8674,33.9301,265.7179,24.814,918.4417,468.8346,20.2713,48.7607,38.8277,62.6932,21.6207,4.1154,23.3655,0.0
THA_L,7.9573,0.0056,2.9566,0.4135,0.6224,14.1914,13.149,1.2365,2.0043,0.7233,11.1869,0.2123,2.9987,2.5553,2.8461,1.9569,6.5205,6.1384,9.053,5.7266,1.9478,13.9345,2.1931,0.3085,14.2852,82.8977,17.2565,2.5735,9.6052,0.9775,1.1301,29.5749,7.963,6.1102,3.8124,33.6215,7.2859,5.7225,13.2847,8.7431,3.8018,0.7512,1.1252,12.0714,0.0
THA_M,7.4374,2.25,211.7093,1.7472,19.326,205.7145,60.8109,4.9288,32.696,4.6593,93.6694,17.2951,27.3429,53.8937,6.727,8.6502,40.3106,18.954,8.659,50.5615,18.2372,32.8268,18.8086,6.3874,64.4758,126.6578,24.5447,8.7469,26.3725,0.5296,6.4106,66.2241,42.2711,49.9931,9.3938,97.4506,52.5508,30.4997,58.9676,16.801,14.2003,32.2114,4.1422,9.1533,0.0
THA_N,18.6458,2.135,173.6659,1.7327,18.6613,144.9222,67.8426,13.2119,31.2841,2.644,41.7669,6.2738,27.1451,49.4692,8.1422,8.1363,31.8836,17.1558,10.0459,32.4644,17.3253,23.5496,9.46,6.2781,62.0417,135.0636,60.9821,21.3187,338.7179,0.5518,11.8152,46.7827,19.8134,40.6924,6.243,49.6086,25.665,6.3631,95.4225,0.0002,11.6834,17.3241,2.5918,7.892,0.0
THA_O,0.0,0.0,0.0,0.0,0.1465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3615,0.0,0.0,0.0,0.0,0.0
THA_P,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7786,0.0,0.0,0.0,0.0,0.0
THA_Q,0.0,0.0,0.0,0.0,0.0614,0.2504,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1005,0.0,0.0,0.0,4.6794,0.0,0.1088,0.0026,0.0,0.0
THA_R,0.0,0.0,0.0,0.0,0.0451,0.0008,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0461,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,4.9553,9.2378,0.0,0.8128,0.0517,0.007,1.216,0.8095,0.0,0.0,0.0,2.4497,0.3014,0.0
THA_S,4.197,0.0441,0.473,0.5254,0.412,6.6514,4.3742,0.4674,0.2398,0.4928,2.3537,1.556,2.8662,1.6565,1.1786,0.7618,4.7115,1.6644,3.4613,3.3969,2.9277,1.5052,2.0488,0.204,4.1039,6.6842,4.2145,1.2444,2.1029,0.414,0.3588,5.0762,8.0163,1.2476,0.639,24.4726,0.8515,2.1821,2.3792,0.0307,5.3804,0.5908,0.8582,9.2923,0.0
THA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
