V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_C20,1971.5763,29.6297,1.0284,28.5674,18.2645,2935.2638,3552.6337,211.3017,3084.2295,1753.334,47446.9573,6653.6858,20871.2782,2075.4602,1237.7621,653.7893,3597.9708,1861.0277,1266.7789,1457.2414,269.0202,12203.5009,129.8903,726.9222,1382.8457,2714.5573,78.6284,10.9517,13.6044,213.1259,10.4571,443.7311,309.3936,185.2022,146.9478,95.511,24.1747,964.3053,383.8467,951.4549,174.8856,10063.672,253.8366,1105.2062,0
JPN_C21,114.4644,7.0352,0.0319,1.6608,0.8975,336.9825,113.0253,11.4773,128.1887,92.3038,1492.0241,8924.3825,753.0841,96.3645,16.951,35.6655,202.9922,56.4,77.597,97.6751,1.3585,666.8089,4.7226,51.5475,70.7124,306.7802,6.7784,1.2321,1.7847,18.2143,2.1384,41.9764,13.4453,20.925,15.8735,13.2801,1.5063,146.3044,32.5165,314.2943,33.1,26962.1524,25.7288,123.3164,0
JPN_C22,277.8051,40.2439,15.5014,142.2366,30.968,264.6216,844.7139,24.8809,722.6263,45.0989,467.8142,159.8941,13960.3535,425.4836,614.8032,948.476,3509.333,2693.1235,11415.7336,13129.2796,1708.8321,1832.3652,28.2926,1201.3688,4111.5201,13333.8804,744.5947,401.4884,16.3387,166.8491,29.5028,441.4208,95.3875,270.9835,82.2721,149.8143,18.6111,474.4386,184.4162,2671.3001,118.8889,3230.155,692.0865,3556.6761,0
JPN_C23,74.1312,3.361,3.6801,6.2475,11.87,891.894,102.6133,9.9655,137.9781,118.0087,669.2539,343.5828,118.6187,4662.1081,819.478,381.2933,3787.4202,1026.0706,1254.6331,1650.1537,284.1408,699.033,68.7588,142.0893,31306.3525,1211.3763,128.9196,41.5703,17.3515,59.9499,6.3528,901.9414,33.7513,71.1062,38.3697,81.2854,44.0824,157.052,36.8408,466.7758,307.3188,671.5352,195.2699,255.9386,0
JPN_C24,34.2252,22.7956,11.3023,28.5711,21.84,491.7832,50.9611,37.1593,231.8084,187.6115,965.2757,125.702,627.166,1178.8598,137264.4533,24703.5674,7056.9217,9348.4858,23276.9843,12868.511,5087.4451,1746.419,454.219,53.7202,20237.7249,1101.1153,335.784,89.9928,104.1741,817.9883,5.664,269.511,43.4405,60.4835,50.9039,69.1367,44.7201,216.161,55.2228,441.5126,85.5057,644.5509,85.3067,225.3691,0
JPN_C25,48.9299,18.3435,23.3725,105.4951,24.2449,3684.9778,98.6271,203.6635,203.6623,84.6286,1192.5341,255.6312,2187.9086,611.8072,1019.5492,4743.576,3540.6877,2512.9046,7681.0174,2032.0125,1023.3692,1110.5809,111.906,62.3075,50086.194,3834.3777,249.3095,102.4494,12.3238,614.4448,2.8498,620.998,90.3595,159.8169,83.2329,137.2461,193.0665,146.728,133.2727,1672.0833,56.7262,257.2314,53.7225,569.1576,0
JPN_C26,20.1088,13.6419,1.6958,17.2075,7.0358,244.5221,46.3242,40.0553,454.0294,40.7687,215.6327,85.1739,191.5457,167.0016,1143.3272,673.3503,37415.7458,9026.7144,7180.1362,4200.9497,441.6657,1238.9155,105.9433,83.9041,2829.8646,5020.15,243.5302,36.583,42.0322,203.417,13.1949,247.4034,559.4469,673.9095,545.8053,737.4405,72.6761,567.8842,270.3732,1586.8998,129.0536,1086.0721,216.6392,2177.3881,0
JPN_C27,6.4169,17.527,0.8089,8.2333,4.9054,111.6729,12.4773,10.6945,59.6912,9.3872,81.406,26.7054,71.4911,99.3411,603.2014,454.5597,6832.0644,9476.4972,7628.4915,7022.7668,648.0701,596.3771,21.1148,21.5771,5191.5086,3502.8432,141.1972,27.8752,27.9651,127.3406,5.1671,102.4708,211.4414,206.8591,93.169,187.592,26.3809,153.8438,81.2591,678.4431,106.4491,155.5853,137.8613,1205.3657,0
JPN_C28,16.0456,13.1263,3.6133,42.7269,31.313,313.4075,48.8482,35.1366,150.3933,13.6784,246.1368,72.2133,212.7004,332.6158,1327.1218,1213.5414,3497.5884,3594.6125,46525.0905,7146.743,1836.1582,2718.3529,53.3599,95.8759,7915.0801,11237.757,225.6178,52.7626,126.9275,254.6125,20.7132,168.5065,167.2429,224.9207,147.5838,402.8611,45.627,310.5211,413.0827,971.9799,70.9255,256.5276,593.808,3194.0863,0
JPN_C29,10.9753,5.2957,0.9649,9.5268,5.74,167.4451,105.3435,52.774,213.034,6.4809,95.6923,32.7142,349.1087,82.0034,1704.4436,626.7917,1534.2249,1572.8028,3693.1142,156873.5238,1689.3548,2740.1161,35.8501,41.5775,1972.0049,21194.053,55.6001,10.1629,9.676,82.391,4.8071,112.0269,160.805,155.2606,169.0087,294.5241,37.9687,224.3155,114.1046,860.8028,69.5294,154.0972,102.6634,5257.0808,0
JPN_C30,1.2546,231.9601,0.1094,1.2389,0.954,18.951,8.6799,3.8412,26.821,0.7251,14.5425,4.5536,32.3741,9.6143,164.5267,195.1016,230.4483,397.7423,1772.4828,213.4314,3762.8989,103.8987,3.9551,4.5266,223.3754,395.0554,2498.9326,508.5822,2008.1209,10.9964,0.5956,11.1472,17.1939,15.0154,13.4111,33.3961,2.2862,31.9393,23.4913,3831.1997,21.3995,17.1705,12.5049,135.7371,0
JPN_C31T33,459.5249,130.6729,11.5786,156.0998,27.8558,3039.7114,578.6721,154.4306,2804.8457,145.4106,1806.7668,694.7045,2263.9092,777.2324,752.8342,765.9493,5295.7304,2747.4555,2645.9326,4006.2772,402.2082,7151.6943,1936.7564,1234.8331,9794.5203,7034.5018,2192.2941,75.4932,350.4772,980.7981,20.1614,1284.6097,703.902,1074.7161,2101.0635,1709.7838,418.882,3759.6703,3402.7182,5013.3307,1119.5613,2145.6249,1526.4932,1338.0584,0
JPN_D,312.1754,38.626,45.7235,137.6417,31.0076,2087.8986,348.2232,167.4564,2539.1444,558.9553,2648.5883,343.8461,1220.3115,1392.1451,3116.3992,1155.6385,2765.3694,1091.9963,1821.6305,1673.5325,461.0467,939.469,4185.1508,1412.2851,1806.7106,16996.4119,3199.7221,48.2563,111.4385,2028.1066,132.3985,5789.1335,335.4878,1626.2412,1039.0662,1058.8086,1222.6249,4106.1293,770.2179,6424.8755,2479.4424,4638.7041,2379.6819,1930.4924,0
JPN_E,51.0818,4.8143,4.6505,23.9656,10.2892,689.1399,103.9267,21.1939,741.9583,150.6529,1157.0692,284.527,168.3319,323.3851,578.0639,149.1191,606.7359,229.7398,515.0685,232.2859,102.8299,140.728,936.1964,6760.965,901.3127,1983.4148,1255.4696,58.2252,26.9297,620.6761,30.8109,6004.9523,451.7032,1228.0838,45.1967,884.1517,205.5512,831.3805,201.9537,8583.3771,2269.8423,4250.0078,1188.0686,1966.293,0
JPN_F,150.9636,8.3882,2.7919,21.3724,32.6306,291.5422,55.4624,30.3839,354.1563,67.7973,404.0118,161.4427,123.6307,425.8526,491.6154,385.2403,552.413,263.3706,379.6571,152.6449,93.6901,177.2354,3960.8529,1129.3834,671.4182,3531.8976,1147.0276,97.2538,8.2004,1125.467,24.3836,520.0728,563.7572,1062.2638,133.9277,903.4868,17532.594,748.2685,383.8941,3588.1441,1879.8178,1274.4383,668.7859,497.5652,0
JPN_G,7965.8873,1185.3243,46.0777,731.9336,114.4483,41106.5694,8610.012,2418.8161,14013.351,9571.2689,20803.5509,6384.9433,15819.2269,5124.0012,22590.1212,7082.5349,21575.6585,12083.1903,27002.0624,37714.4734,3585.2899,12019.1142,12085.3725,2535.464,48716.5978,38180.7054,10955.4851,1400.3015,2061.5819,3024.9347,183.0837,38564.3897,5862.9259,3830.9581,4693.2238,6445.9315,1045.5773,11274.0789,7773.6721,12823.0325,4739.7582,23810.3071,4364.5533,7326.0083,0
