V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_C27,54.2358,4.4771,27.9056,22.1431,29.6472,58.4082,8.8126,21.174,41.4044,15.3704,28.382,10.8619,16.5191,59.6938,63.183,28.2543,175.4799,203.8253,133.9348,213.5743,16.5341,23.596,19.2305,8.6484,637.0247,72.4353,20.5415,4.111,4.7347,6.2282,2.3098,27.1159,23.9454,104.186,34.2628,86.209,58.041,73.1964,113.7106,55.3121,39.3655,151.5397,24.264,29.559,0.0
CAN_C28,187.4675,28.56,350.9648,232.6062,188.3622,225.4981,23.3583,76.8462,89.1793,63.1837,90.0018,27.8308,48.6667,107.8198,130.7129,285.7652,138.3406,56.0283,1366.3184,897.0039,111.9347,191.7923,126.6174,26.075,1533.3743,174.6823,44.526,11.7083,10.544,20.447,9.8309,56.1463,133.4069,60.1723,52.7299,160.7161,137.9911,173.5861,226.4279,180.1598,75.9967,328.817,128.2761,68.0503,0.0
CAN_C29,96.5982,9.7167,118.9738,64.2753,27.1731,208.1517,11.9932,43.4326,71.43,34.1903,72.1751,22.9687,132.6631,38.8975,159.0012,623.3657,90.2133,37.7847,392.3869,13055.1026,143.1964,225.0541,31.2801,15.5104,1679.9632,1273.382,355.825,7.5519,27.1094,22.6337,14.7438,85.3161,65.0387,68.5453,97.367,457.0733,207.7314,282.5652,265.7877,409.3373,94.2368,218.4463,83.5586,120.3062,0.0
CAN_C30,24.341,28.3064,29.3051,8.1634,6.0443,53.9719,6.3873,10.5726,28.234,14.964,27.0753,11.2636,15.8733,13.2798,29.7178,14.9755,18.4619,8.2676,43.6467,52.5692,1931.1846,22.4077,8.7196,3.9829,71.0975,215.8463,51.1078,28.1633,89.4814,55.9682,16.013,72.9162,22.3731,25.0649,41.1321,178.6532,57.136,51.5293,73.8431,260.1008,25.1977,64.638,89.2627,28.8912,0.0
CAN_C31T33,417.2451,60.2251,539.2758,57.7078,171.0904,582.4964,100.6977,887.3901,923.7233,169.3441,643.8614,146.91,307.1555,566.0258,281.9691,457.9046,275.6711,90.4148,324.1835,592.5375,81.3318,558.5549,30.7311,44.7267,1228.264,541.9748,82.2256,25.1745,46.1678,227.1464,47.9387,94.2783,209.4384,160.8504,160.1272,282.0771,122.0345,489.45,485.8573,691.6033,335.885,1225.5143,419.2355,243.2709,0.0
CAN_D,373.6638,7.587,968.8942,450.8493,130.9155,461.6215,86.8398,397.5111,1435.7146,193.5369,1088.7488,43.7692,297.8885,357.9382,1429.7417,273.4754,78.6522,67.3503,134.7824,272.9681,103.4571,192.5589,23.6731,20.6673,143.9887,2254.5067,234.3716,5.5374,36.5156,100.484,20.2427,576.1568,102.3833,87.5362,44.6468,1121.3704,1352.3597,205.0037,208.5618,1311.5716,788.156,1275.9486,232.0644,533.8136,0.0
CAN_E,2.8031,0.62,76.3855,15.7122,0.5717,76.8239,12.5972,16.6082,228.0799,37.6066,191.6445,4.0774,48.9291,25.985,108.9624,73.3197,20.9965,21.4219,30.0161,50.9326,22.1095,61.0738,3.5701,424.3393,54.7103,738.518,79.3385,2.145,26.1041,42.4392,6.9598,120.8161,27.6613,28.1201,34.3222,217.2159,518.0004,46.4948,32.6666,1120.0856,114.4747,318.225,48.2187,120.2953,0.0
CAN_F,452.9267,87.2666,867.8627,50.026,36.3135,75.0702,12.77,48.9259,170.1594,83.5512,67.4833,21.5523,27.025,60.6847,319.9769,51.9052,25.5664,18.3578,47.2747,83.6046,38.6507,46.1577,785.9278,38.7208,140.3039,689.2252,920.7871,24.386,12.9315,260.2299,19.4704,228.4886,47.9092,228.9502,21.8571,801.2601,10308.6707,93.691,175.6457,3174.5554,1004.9617,1043.2422,300.4977,147.8233,0.0
CAN_G,2554.8342,234.121,1219.9721,502.7644,528.6719,6390.6701,1282.1623,1329.9919,2173.9339,1023.6289,2741.4674,1088.3793,1767.4252,1015.0788,1691.4506,1683.9434,903.7635,455.2158,1612.0338,6184.835,754.4874,1533.2498,339.3181,287.4054,8249.0899,3584.4321,1836.4324,165.2045,706.3519,393.3288,245.8641,3354.2571,914.863,706.5069,584.9328,2419.6705,790.2328,1395.3197,1515.7403,3746.5607,888.1115,3992.3586,713.7001,795.8945,0.0
CAN_H49,1271.3213,33.7094,524.4407,157.8487,355.668,961.143,56.7199,771.996,702.7219,1901.7743,567.5462,52.7924,174.1462,249.3025,892.5851,415.8326,66.2445,92.2433,200.1154,1255.6976,92.6606,250.3356,366.8563,9.8159,2607.1805,781.8108,5968.9709,15.8317,71.5125,1303.6728,691.8323,276.3454,95.4365,29.806,24.6527,234.3493,252.8487,108.8437,129.5223,502.9637,1914.8483,294.0557,58.4576,144.1264,0.0
CAN_H50,85.2232,1.9178,19.6227,30.2892,4.722,38.3376,7.5972,12.8767,121.98,56.0923,25.194,5.7762,17.9738,7.2015,33.0099,20.6945,13.5309,5.8635,19.1855,71.9179,10.3193,15.1119,9.2562,1.0744,249.0675,93.8386,13.2496,73.4327,3.9809,87.3413,1.3526,14.2557,8.2187,6.108,2.7953,10.7305,8.0644,7.3321,9.4245,20.2599,9.292,25.9019,4.4482,5.7829,0.0
CAN_H51,68.7624,5.3903,51.0045,12.6685,33.4511,87.6325,17.1193,39.7838,62.7116,113.1727,71.8352,14.8028,40.2573,21.8683,82.5171,68.6923,36.4416,17.8943,53.4478,153.6036,38.1591,37.3026,52.7952,3.8215,238.5887,86.1761,21.4056,2.4391,66.6426,25.866,137.0344,75.2995,82.6522,52.2196,6.3798,54.3294,63.0012,32.4987,207.6215,55.5236,133.9389,50.9796,20.0378,17.6458,0.0
CAN_H52,174.4399,12.9764,134.4762,55.6206,27.2251,305.5605,20.9833,202.3764,334.7466,524.0964,218.8772,21.9665,75.4363,85.1076,220.7397,114.3504,47.6239,28.5789,83.1506,330.4673,88.6971,79.2558,56.9247,6.5712,441.6497,539.9884,770.8098,85.0307,444.4036,133.1957,88.0971,82.1513,70.4327,34.4256,23.0388,139.3449,86.0981,55.2076,119.7959,263.6066,92.3088,83.4744,29.5361,37.2996,0.0
CAN_H53,8.9025,0.4127,33.2687,9.9569,8.1831,44.4864,17.515,8.8112,63.0907,7.8055,46.2399,14.3917,20.5468,10.7331,11.6488,32.6823,16.3374,10.5321,30.0723,21.6758,7.4589,71.2112,21.5838,14.7084,119.2519,2018.74,44.2395,1.3215,27.9818,91.1839,112.4334,31.885,166.4176,183.4035,190.0696,1729.8499,423.6836,261.7699,358.9738,377.6822,107.5178,399.4166,78.5075,151.9411,0.0
CAN_I,24.7774,9.3701,53.4428,8.6148,12.5197,292.554,17.008,15.8826,27.5438,7.2446,34.364,23.8597,20.0098,12.2192,10.297,26.9944,24.7941,11.8969,30.2714,27.7761,24.8974,47.5815,11.8264,10.9981,76.5868,686.6313,21.0952,1.5017,62.6651,60.4997,10.0431,395.8093,58.7838,51.4366,61.4428,396.5146,171.0177,111.0916,107.6855,113.9331,50.5769,236.9879,91.5861,80.6022,0.0
CAN_J58T60,47.5381,5.3754,106.4032,20.5225,13.5029,191.629,29.522,27.136,214.42,18.0802,71.6011,41.8439,26.7607,23.6475,20.6108,41.8455,54.5118,16.7696,48.4523,62.9106,48.7748,80.4507,56.2726,33.4369,134.4055,1465.215,70.3861,3.6052,50.0959,52.7322,32.9213,266.2424,2963.5157,288.2273,903.2438,1711.9169,345.3183,625.0864,320.1318,583.3298,657.9976,313.3455,130.8174,76.4421,0.0
CAN_J61,147.0973,1.8162,81.3538,32.3905,38.5265,90.1159,16.2534,30.0966,59.0068,41.7281,45.1111,26.6625,30.4279,32.1208,34.2209,52.3326,54.8545,21.5159,56.8293,59.3597,47.4718,94.5145,39.974,32.3267,191.0879,2299.0837,239.2655,4.0087,207.9859,279.5763,52.9395,248.6787,254.3343,1937.2033,698.2499,3456.3131,721.023,765.4225,827.2051,994.6486,242.5679,1461.3897,124.5949,286.3264,0.0
CAN_J62_63,24.1561,1.84,295.1399,51.2033,10.5599,71.4141,11.8083,21.7738,39.8898,27.3042,43.7958,14.8749,28.5533,21.3134,26.4609,38.3534,47.3666,17.635,30.8109,82.4111,42.958,61.8461,160.502,34.6299,105.0338,1255.4666,95.5831,1.6151,47.6198,41.1864,63.0769,76.059,303.1382,579.2705,1929.6495,5339.6528,151.0685,935.203,259.7923,882.0654,76.1894,211.6604,81.8074,52.2804,0.0
CAN_K,1472.6516,110.1083,4764.347,614.7608,358.4967,1154.2317,174.986,416.1991,706.6552,381.5493,923.2824,336.1772,360.1505,367.7377,843.3837,640.6883,443.4676,258.8702,459.6093,1564.6429,409.681,597.0895,594.3977,188.2742,2611.3574,10809.0362,1332.8589,52.0073,377.6392,699.1514,145.7991,1982.5657,1280.248,1057.2785,829.7878,11694.5969,9037.0427,1489.0555,1799.8353,1458.6916,141.7201,1447.6508,523.4111,617.9182,0.0
CAN_L,120.7806,1.5658,72.6545,19.4687,49.4421,100.1903,39.603,32.5952,104.5852,40.1184,42.2485,19.8125,69.6412,25.7536,27.2083,114.6058,58.5102,27.0558,96.6508,56.4619,33.4896,317.4136,28.3246,36.5228,571.9774,6109.3153,226.3675,4.5556,32.2075,462.4255,106.1906,1585.7883,403.3535,414.6734,608.1893,3952.7974,3219.3706,2030.473,1955.2865,2000.5277,344.257,2138.329,489.845,1347.6513,0.0
CAN_M,711.1026,17.1511,1760.0628,241.9657,175.369,561.1695,73.2962,152.7153,279.6276,183.602,323.4458,462.3631,396.8982,105.4063,255.5654,254.2819,741.9742,173.5499,363.8016,1920.9206,461.8536,430.0557,247.0412,87.2433,6375.8053,5181.6577,218.271,6.026,147.3746,169.1452,77.6105,654.3473,652.8732,662.5332,498.6304,7372.9722,1631.0703,5478.6781,2363.247,3982.593,655.7804,1344.246,633.4363,617.1971,0.0
CAN_N,332.7848,29.2356,1291.981,262.3784,335.2226,1244.2566,73.4765,233.1267,457.098,329.7163,638.8,303.3477,248.9648,260.5282,589.565,291.871,458.4815,212.1431,262.6696,1223.0912,467.9251,479.8329,131.5906,158.4426,1679.1119,8031.5156,769.4321,27.2929,331.7449,455.3362,219.8734,979.1741,784.0154,1018.5549,1077.1362,7847.8903,2024.5482,2420.3025,2143.3703,3643.3254,697.4448,1369.2232,537.3396,640.7538,0.0
CAN_O,110.7231,10.7893,155.2369,42.1799,42.6255,302.6188,46.0835,78.9488,193.2657,92.9127,198.8275,89.7691,94.3566,63.3953,165.2865,137.3937,77.8439,36.0082,126.6687,211.3335,71.5552,122.2558,32.6675,177.5353,617.9948,995.3187,194.8121,15.2256,79.7259,83.7008,24.0798,239.796,206.4827,110.2695,165.2549,1044.0403,528.4366,335.4807,194.6655,1898.856,142.8635,733.6583,90.2633,199.8066,0.0
CAN_P,5.5959,0.371,11.3884,3.0215,1.9797,14.6925,1.8109,3.226,6.1472,5.5474,6.9556,2.6492,3.6709,1.9283,4.5094,3.5291,4.3973,1.6581,3.6219,14.3649,3.9729,8.2089,4.1749,2.019,70.8963,312.4852,12.6541,0.4204,7.3013,7.5692,4.4055,46.4403,18.693,14.8932,86.0,352.4271,31.5783,77.9691,54.0839,785.8259,79.2106,151.8797,8.6484,20.5,0.0
CAN_Q,7.1851,1.1403,24.3874,5.212,2.718,37.1863,1.6668,17.4297,23.7948,41.9239,22.6309,10.795,7.0393,9.0122,21.2946,9.4016,7.7673,3.9967,7.2312,26.3415,10.8371,9.9507,6.9099,5.9346,23.3788,144.7499,61.5541,2.1547,38.9852,6.5387,7.3486,15.0075,15.7614,19.377,37.8188,246.0808,33.9589,37.719,28.0746,15502.0146,20.4005,3355.3124,7.9563,8.2054,0.0
CAN_R,10.2657,1.1955,15.8839,3.6157,5.5914,54.4807,4.8556,6.9003,12.3832,2.866,11.6176,8.8223,6.9718,6.2333,4.0702,8.8836,7.6181,3.5247,8.5915,9.0717,8.0023,15.8581,3.2582,6.8177,34.6781,185.1348,12.0525,0.6261,9.6215,12.2197,3.9752,74.1736,202.4394,13.507,35.9424,185.8597,88.9072,77.3034,55.8311,238.6507,31.1234,46.8158,361.6865,44.3544,0.0
CAN_S,90.3423,9.4238,164.9333,72.3032,37.3564,226.212,15.9401,121.0644,128.5984,108.4145,117.0255,13.194,43.527,55.8175,209.7165,24.5257,13.787,9.5493,19.6706,58.4133,69.4015,37.2002,11.2293,41.2444,156.4445,299.496,252.8755,3.6301,43.4653,67.6478,48.2278,145.7615,100.6941,53.5533,65.9873,870.7708,127.6589,177.1171,100.1185,709.2685,121.7154,906.0043,99.5889,144.3662,0.0
CAN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
