V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_J61,1.0053,0.4444,4.5811,0.6317,0.0105,0.4866,1.9473,0.2901,0.3183,0.3728,0.3025,0.1488,0.2103,0.344,0.2306,0.2315,0.7022,0.3421,0.2516,0.329,0.069,0.6232,0.4005,0.09,1.6065,7.2907,1.6513,0.356,0.5317,1.201,0.2298,0.6214,1.357,26.7501,0.9594,4.8022,0.9524,2.9295,1.6847,4.2179,1.3989,1.6794,0.8504,1.7198,0
MMR_J62_63,0.2542,0.0794,1.5393,0.1951,0.0032,0.2375,0.6854,0.1039,0.1426,0.2154,0.144,0.0979,0.0764,0.136,0.1297,0.0913,0.4403,0.1785,0.1067,0.1796,0.0461,0.2395,0.2729,0.0418,0.5279,2.6369,0.528,0.1315,0.2857,0.4211,0.1173,0.1395,0.5096,2.4091,2.1415,3.6239,0.3018,1.3149,0.5583,2.4115,0.5177,0.599,0.2276,0.569,0
MMR_K,8.8537,1.9299,19.5661,2.9567,0.051,1.8622,6.1331,1.0651,1.129,2.4597,1.3183,0.4954,0.7774,1.3324,1.4163,0.7757,1.3802,1.0968,0.7859,1.2222,0.2858,1.9772,1.9115,0.2425,6.1312,15.3451,5.6082,1.5014,1.5425,2.3745,0.2693,1.4658,1.0046,4.044,0.8338,40.3266,16.0107,4.1343,2.8662,6.8726,1.7551,2.7627,1.0237,2.3884,0
MMR_L,1.0771,0.2556,2.8971,0.6835,0.0087,0.703,3.3511,0.4348,0.4197,0.4054,0.345,0.1584,0.3166,0.4288,0.2747,0.3843,0.5751,0.4227,0.2785,0.4607,0.1033,1.0482,0.4252,0.0977,2.4597,18.3411,1.855,0.3849,0.5042,2.0022,0.1999,2.6825,0.9437,3.2784,0.7929,4.9624,5.2916,3.6421,2.0112,4.3446,2.1427,2.6095,1.4107,2.7411,0
MMR_M,4.1937,0.7405,24.4912,3.1081,0.1106,3.1057,6.9243,0.8471,1.2339,2.0629,1.8808,1.4722,0.9965,1.4504,1.094,0.8734,2.7558,1.626,0.998,1.6216,0.4287,2.0256,1.5908,0.3403,12.3331,20.8771,3.2279,0.9787,1.132,2.3172,0.2848,1.4782,2.8715,7.3926,1.8191,9.7752,4.3987,16.4114,4.5488,8.143,2.2596,3.3733,1.8915,3.391,0
MMR_N,2.7165,0.6236,15.4899,2.2803,0.0992,1.9077,4.8715,0.7022,1.0063,1.3547,1.103,0.717,0.7277,1.0738,0.8431,0.7368,1.8176,1.0552,0.6591,1.0017,0.258,1.6443,1.0528,0.2183,5.6455,13.667,4.3773,1.8119,2.4994,3.1016,0.4638,1.4118,1.7041,6.2324,1.2942,6.6837,3.0698,6.5604,6.7631,5.6749,2.3122,3.9412,1.6898,2.7163,0
MMR_O,0.7466,0.1819,1.6604,0.3708,0.0067,0.2749,0.601,0.1214,0.1426,0.2343,0.1691,0.0789,0.0884,0.1623,0.4797,0.1148,0.1634,0.1166,0.0786,0.1451,0.0293,0.225,0.2181,0.0891,0.9196,1.4782,0.8529,0.1871,0.1924,0.3372,0.0417,0.1739,0.2125,0.5037,0.1298,0.7185,0.5909,0.7313,0.323,2.2856,0.3988,0.5694,0.2157,0.3629,0
MMR_P,0.1655,0.0413,0.7699,0.0974,0.0017,0.0848,0.1878,0.0374,0.0446,0.0958,0.0632,0.0753,0.0364,0.0545,0.0575,0.0355,0.1396,0.0678,0.0388,0.0799,0.0161,0.075,0.0673,0.0132,0.1998,0.5729,0.1733,0.0413,0.1033,0.1107,0.0169,0.0503,0.0897,0.3315,0.1276,0.4958,0.0911,0.4578,0.1978,1.2313,1.4442,0.4124,0.088,0.2142,0
MMR_Q,1.5032,0.098,0.3957,0.0867,0.0022,0.1309,0.2311,0.0377,0.0296,0.0697,0.045,0.0928,0.0328,0.0428,0.0394,0.0268,0.0594,0.0443,0.0298,0.0367,0.0099,0.0871,0.0417,0.0138,0.1618,0.4283,0.155,0.033,0.0385,0.077,0.0121,0.073,0.0523,0.1211,0.046,0.2744,0.0628,0.1846,0.1239,1.2456,0.2375,10.2777,0.1011,0.1772,0
MMR_R,0.1031,0.0267,0.2253,0.045,0.0009,0.093,0.1092,0.0167,0.0284,0.0295,0.0225,0.0163,0.0143,0.0208,0.0162,0.0124,0.0233,0.0185,0.0114,0.0309,0.0053,0.0377,0.0176,0.0051,0.0897,0.4108,0.0721,0.0434,0.0352,0.0637,0.0103,0.126,0.8146,0.2261,0.031,0.2013,0.0742,0.3665,0.1643,0.4047,0.2349,0.0932,2.6973,0.2591,0
MMR_S,0.5869,0.2273,1.1276,0.2931,0.0055,0.2457,0.6358,0.0881,0.0871,0.1536,0.1025,0.0467,0.0642,0.1229,0.0906,0.064,0.1328,0.0809,0.0602,0.097,0.0201,0.2087,0.1067,0.0323,0.4261,1.3876,0.4628,0.1077,0.1209,0.2483,0.0373,0.3904,0.1944,0.4821,0.1171,0.578,0.2187,0.5703,0.33,0.5762,0.3644,1.0373,0.3002,1.7751,0
MMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
