V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_C20,1.8885,0.689,0.0097,0.02,0.0004,0.8715,0.579,0.2823,1.6562,0.0004,6.1904,6.4768,5.4987,0.6784,0.4341,0.5028,0.0063,0.0174,0.3027,0.0462,0.1063,1.1119,0.5323,1.2118,21.0073,1.1313,0.0534,0.1457,0.5076,0.1146,0.0224,0.4002,2.8699,0.0712,1.2747,0.246,0.2869,3.4224,4.5764,0.3239,0.3048,1.6792,0.0927,2.5449,0.0
ISL_C21,0.0369,0.0727,0.0007,0.0023,0.0,0.2704,0.0124,0.0133,0.019,0.0,0.0116,2.8271,0.016,0.0412,0.0483,0.0259,0.0013,0.003,0.0107,0.002,0.0043,0.0272,0.0859,0.0182,0.3986,0.2519,0.0174,0.0299,0.1141,0.0235,0.0031,0.0413,0.076,0.0164,0.042,0.0904,0.1474,1.2565,0.0628,0.1132,0.7593,69.4347,0.1976,0.0674,0.0
ISL_C22,1.246,3.1148,0.0076,0.0387,0.0004,6.41,0.2384,0.1376,0.1513,0.0,0.2128,0.2222,5.7093,0.7563,0.1177,0.4143,0.1988,0.0812,0.2685,0.0867,0.1687,1.9559,1.9139,0.6427,41.2266,15.4932,2.0793,0.4058,0.6996,0.4716,0.0687,1.072,0.8093,0.3609,0.3405,0.4737,0.4468,1.2238,0.6129,0.597,0.7349,1.1213,0.499,0.4342,0.0
ISL_C23,0.0,0.0,0.0061,0.0,0.0007,3.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1038,2.1591,0.0,0.0105,0.0509,0.0,0.0441,0.0637,1.0473,0.1285,0.0817,206.6415,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975,0.0,0.0,0.0,0.5882,0.0,0.0,0.0
ISL_C24,0.0,0.0,0.0296,0.0,0.0019,0.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.1456,25.4537,0.3681,0.1643,5.5288,0.7262,0.5693,10.3771,5.8353,1.679,75.1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C25,0.865,2.164,0.0261,0.0038,0.0011,2.1955,0.0,0.0463,0.0,0.0001,0.1953,0.0,0.0052,1.5793,0.7346,15.637,0.1274,0.167,3.9495,0.3266,1.4805,2.7301,13.7774,0.9149,148.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0268,0.0436,0.0,0.3622,0.0,0.0,0.0,0.0
ISL_C26,0.0051,0.3285,0.0002,0.0011,0.0,0.0381,0.0038,0.0045,0.009,0.0,0.0053,0.0073,0.0036,0.0118,0.048,0.0131,0.0583,0.0015,0.0062,0.0039,0.0224,0.1036,0.1443,0.0101,0.092,0.2802,0.0579,0.2273,0.3546,0.0399,0.0171,0.0856,0.1317,1.4957,0.3929,0.1963,0.2522,0.5604,0.1556,0.1627,0.4767,0.9973,0.032,0.0843,0.0
ISL_C27,0.0009,0.0312,0.0007,0.0029,0.0,0.0809,0.0043,0.0,0.0,0.0,0.0,0.0,0.017,0.0863,6.4539,0.0674,0.0074,0.4522,0.1131,0.0246,0.0288,0.2905,5.3787,0.0226,2.9587,0.1377,0.0042,0.0065,0.0449,0.0029,0.0035,0.0083,0.0219,0.201,0.0242,0.0053,0.0757,0.0452,0.2659,0.0178,0.0,0.0,0.0,0.0068,0.0
ISL_C28,1.9179,4.5276,0.0284,0.1815,0.0008,4.6035,0.108,0.6264,0.292,0.0001,0.219,0.1472,0.3805,2.985,1.8328,1.2633,0.0171,0.1843,7.2084,0.1005,0.3511,2.2788,4.8868,0.6152,61.5066,0.6448,0.064,0.3456,0.4808,0.5976,0.0,0.4844,0.5295,0.0,0.0,0.0,0.0,0.0,2.5652,0.0,0.0,0.2031,0.0,0.2419,0.0
ISL_C29,0.0769,0.0687,0.0003,0.0794,0.0,0.2287,0.0182,0.0149,0.0246,0.0,0.0151,0.0212,0.0208,0.056,0.0663,0.0415,0.0019,0.0041,0.0266,0.0897,0.0053,0.1268,0.0738,0.2981,0.5857,1.1351,0.902,0.0816,0.1088,0.2003,0.0715,0.1679,0.0751,0.1322,0.0544,0.1767,0.1912,0.1744,0.7991,0.2208,0.056,0.0855,0.0372,0.0639,0.0
ISL_C30,0.0,3.9603,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765,0.0838,0.0,0.0,0.0002,0.0227,0.0,8.5098,8.8982,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534,0.1205,0.0,0.0,0.0,0.0,0.0
ISL_C31T33,1.0665,8.5983,0.0483,0.1858,0.0022,5.0614,0.2615,0.4461,0.8166,0.0002,0.331,0.3557,0.4776,2.8834,1.8368,1.2974,0.0429,0.138,1.0251,0.0474,0.3684,16.907,7.7716,1.1297,20.1282,18.9367,1.3678,3.2283,26.0012,1.5877,0.2207,8.2077,1.3399,2.7577,1.3636,1.9213,1.9213,6.025,4.3606,5.881,6.3256,10.3367,11.9118,2.8768,0.0
ISL_D,9.8223,3.0363,0.1645,0.1956,0.003,26.7796,1.9264,2.647,5.5391,0.0013,3.3522,4.5379,4.9373,11.2184,44.9968,11.9251,0.1905,0.3796,4.7075,0.2274,0.3203,7.2956,101.7663,4.236,34.7297,65.985,1.6812,6.2081,19.0831,10.4878,3.6494,26.7783,16.1423,19.0302,9.7422,22.5495,28.6952,27.0636,15.3763,42.6245,33.3355,19.6108,4.8159,12.5791,0.0
ISL_E,2.3697,1.1242,0.0195,0.0265,0.0006,10.5955,0.3128,1.339,1.2227,0.0001,1.1077,0.2494,1.3551,2.5494,14.6259,0.3939,0.0143,0.031,0.2307,0.021,0.0449,0.8073,7.248,17.9741,7.677,8.3876,0.7118,1.6961,2.215,1.3487,0.2663,5.7914,1.0937,1.4404,0.609,1.378,2.3158,4.8351,1.7321,1.3223,2.2372,6.1161,0.4529,1.8713,0.0
ISL_F,0.2068,0.3264,0.0427,0.4588,0.0019,1.9115,0.0811,0.1416,0.1922,0.0002,0.1072,0.1459,0.0914,0.2451,0.4305,0.2599,0.0123,0.027,0.1931,0.0189,0.0396,1.0264,1.6899,0.3072,206.1321,2.5326,0.3473,0.2986,1.3878,0.294,0.0615,0.4968,0.6158,0.3201,0.3481,0.7523,152.0447,1.9719,0.5156,0.5442,0.2629,0.9204,0.2353,0.5538,0.0
ISL_G,17.5838,66.2294,0.1756,2.7292,0.0076,146.0079,13.0987,6.1712,10.7997,0.0074,7.6189,9.1126,8.8031,18.7056,24.4118,9.4581,0.7496,1.0141,6.8194,2.2662,1.9464,23.0098,28.0711,12.3917,238.8016,136.1117,24.8374,47.4562,90.3984,10.8362,2.7901,37.1183,29.8047,19.508,7.6415,10.4338,12.2537,18.946,38.9363,20.0723,35.4926,54.0982,11.973,8.5548,0.0
ISL_H49,1.14,3.778,0.1348,0.1503,0.0038,13.838,0.5327,0.3327,0.6244,0.0013,0.3837,0.4571,0.5213,1.1944,3.9168,1.2172,0.0387,0.0837,0.6579,0.0773,0.1346,2.1778,2.5173,0.5706,14.9318,4.9742,5.0851,2.7173,5.459,14.4313,0.1541,2.1014,1.6253,0.6309,0.5472,1.1192,1.463,2.1176,1.4714,1.7636,2.8154,4.5957,0.405,0.4366,0.0
ISL_H50,0.5025,6.8237,0.025,0.6289,0.0006,5.1793,0.7238,0.7837,1.267,0.0004,0.3914,0.4701,1.4169,3.2187,9.5329,1.5816,0.0727,0.1583,2.05,0.0826,0.3634,2.3018,1.0629,0.4664,6.6981,128.4362,4.1265,17.8443,2.9088,6.8357,0.0663,3.031,2.3243,0.4148,0.159,0.1763,0.1895,0.5891,14.5601,2.3164,0.4654,0.8338,0.1497,0.1806,0.0
ISL_H51,1.487,5.6553,0.0128,0.2231,0.0005,9.7198,0.8376,0.4229,0.7748,0.0005,0.6621,0.753,0.8625,1.5546,4.8412,1.4445,0.0667,0.175,1.0137,0.1222,0.2274,1.7279,3.6434,0.8562,22.8133,23.0841,1.7656,4.4548,26.4413,1.5848,0.3559,2.2844,2.4266,1.6682,1.0173,3.2948,1.4414,3.38,8.2702,4.4919,2.5981,2.651,0.9489,1.2835,0.0
