V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_C20,201.2737,1.6604,7.6027,123.9938,0.4418,80.199,78.1579,13.4962,26.7862,1.6809,154.4154,25.6776,230.8632,14.0952,2.8978,14.1292,1.1301,2.614,1.8013,4.3346,1.4304,45.231,0.6302,3.2422,45.1822,8.5071,0.7318,0.0043,0.2282,4.4641,0.0272,19.1604,2.1605,2.3347,0.4792,3.2804,9.5992,8.0157,13.0841,53.7483,7.9493,14.9212,4.6959,23.7112,0.0
PER_C21,22.0165,0.0079,0.0791,0.7566,0.0232,9.2368,0.1871,0.1244,0.0898,0.0115,1.762,25.9984,0.7786,0.3076,0.0063,0.0231,0.0077,0.0045,0.0186,0.0186,0.0068,0.1888,0.0215,0.072,4.59,0.3256,0.9379,0.019,0.0453,0.18,0.0905,1.3232,0.0318,0.0556,0.0089,0.0941,0.1751,1.6214,0.0682,13.6159,1.7036,56.8354,0.4439,2.6686,0.0
PER_C22,11.5257,3.2165,13.4168,55.4252,1.3763,263.5273,64.2634,0.8158,45.7149,0.8683,69.1094,25.5651,122.6271,4.7243,1.0967,5.3199,0.5691,2.1705,1.3445,5.5142,1.3869,39.2345,0.677,0.5665,178.444,78.0249,106.2636,0.1118,0.0938,1.6139,0.1475,28.2426,2.4826,0.5217,0.0427,4.122,9.0442,8.9407,9.0923,23.8964,11.5877,5.3002,3.1493,12.9825,0.0
PER_C23,9.7996,0.4096,1.2627,70.698,0.1219,78.1891,1.8426,0.1346,1.9336,0.0594,24.8558,7.8752,4.1088,95.4868,2.7249,1.3706,0.409,0.1813,1.3336,2.0205,0.6803,19.1009,4.6344,15.94,1078.6804,20.1099,3.4959,0.0588,1.035,0.5738,0.0516,17.0854,0.1656,0.6547,0.0209,2.8124,34.2306,3.1345,2.0155,26.1868,4.8819,3.4802,1.1407,7.0835,0.0
PER_C24,12.1607,0.2359,7.2944,180.8821,0.0681,43.0201,5.5675,0.8838,20.399,0.4321,333.0065,16.2718,39.7735,25.325,327.4325,367.2898,6.1623,267.523,37.0511,16.6961,5.564,295.0249,0.3564,7.8427,115.6297,1.1791,0.1253,0.0547,0.021,0.5536,0.0071,1.5208,2.968,0.3796,0.1285,39.5012,1.1791,2.4906,1.6882,10.4799,2.6306,1.6471,0.5429,14.2973,0.0
PER_C25,21.3944,7.1317,51.1277,111.4409,10.3913,156.8432,13.8578,8.6902,6.6,4.9075,20.395,1.0905,6.2751,3.8076,2.0662,52.5185,1.5734,2.195,28.6731,19.3256,7.8845,35.9147,7.2664,2.0062,277.8783,4.8993,0.2558,0.0254,0.1533,2.0708,0.0026,15.437,0.5477,9.3544,0.0312,3.0062,17.9898,4.5059,17.6969,12.7416,2.1483,4.4928,6.0022,11.6523,0.0
PER_C26,0.2554,0.2746,0.2105,0.248,0.0716,0.4073,0.0827,0.0124,0.8771,0.0132,0.1445,0.0245,0.1715,0.0424,0.0017,0.0616,1.7442,0.0576,0.082,0.0487,0.0217,0.084,0.2199,0.0144,1.7003,0.2781,0.001,0.0063,0.0076,0.0043,0.0,0.1422,0.3228,5.1864,0.4781,0.5245,0.0435,0.5385,0.5565,0.4069,0.6511,0.9487,0.1084,1.6553,0.0
PER_C27,0.0831,0.9112,4.2596,8.9603,0.5776,4.5106,0.7717,0.2061,0.6775,0.3081,4.6443,0.2889,2.6028,0.7493,4.1762,15.321,1.2208,4.5844,4.5696,3.7999,1.4083,6.2174,12.6952,0.7234,63.7206,0.8987,0.0303,0.4579,0.5418,0.0045,0.0002,5.8483,0.4986,18.661,0.449,1.0886,1.5798,1.506,1.5311,2.7384,2.7662,3.1284,3.6305,6.0006,0.0
PER_C28,1.1915,6.334,5.9227,14.5195,1.4909,29.0633,11.7096,1.4623,2.7088,0.6779,1.8097,0.4049,1.7984,4.4112,0.2464,3.9987,0.6017,0.4384,14.8592,0.9137,0.4561,62.5891,1.4017,0.216,14.9041,1.6176,0.5166,0.0121,0.1591,0.1563,0.0024,0.6767,0.5858,2.4027,0.1321,4.8068,0.3309,1.4793,3.4066,5.5176,3.2673,0.9668,1.5319,2.0326,0.0
PER_C29,1.6889,0.2674,0.513,0.4844,0.0,0.0721,0.0,0.0028,0.0053,0.0093,0.0048,0.0,0.0009,0.1293,0.0118,0.1043,0.0,0.0,0.1122,4.663,0.4211,0.0015,0.1823,0.2522,1.0413,19.0125,13.9441,0.0595,0.5908,0.9787,0.158,0.2469,0.0,1.7831,0.0,0.3516,0.0,0.2023,1.0065,0.7451,0.8068,0.0172,0.0,0.2281,0.0
