V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_C20,101.7856,5.2687,77.6984,19.3394,42.9295,98.2634,16.7821,41.3455,82.0583,51.2716,730.1942,0.7345,148.9482,33.1556,53.0605,45.7447,10.4545,44.8336,39.5327,39.069,52.1441,68.9213,2.7172,35.5754,238.7185,33.172,30.7326,105.0025,7.4271,12.6288,1.4895,35.4353,19.4252,11.2313,2.3745,6.7294,43.195,65.9367,52.8575,9.3709,33.3144,174.0503,29.6632,53.2811,0.0
NOR_C21,6.3999,13.658,6.5239,2.5876,1.0435,15.5463,2.7428,0.3347,0.6922,19.6047,8.0564,32.094,0.2709,0.3703,8.0093,0.5713,0.2881,0.2981,1.4273,0.1341,5.1959,0.6243,0.1646,5.2697,2.7503,2.3494,0.4773,1.2605,0.1963,0.5528,0.2174,6.065,0.4434,0.8291,0.3681,0.53,0.6573,3.5048,1.4225,3.018,1.4055,163.515,0.3557,0.3868,0.0
NOR_C22,10.7609,20.3706,17.1985,1.8587,11.5066,77.0987,4.7788,5.5769,11.2166,7.8745,14.2043,4.6075,32.1013,8.6073,5.4204,12.1422,5.5671,8.6944,15.1627,8.4187,10.9957,33.9181,5.2075,31.845,159.1887,90.1443,49.9421,11.4805,0.7863,10.5394,0.711,6.9089,7.4011,8.0962,0.6047,3.4765,28.1362,21.6191,33.0964,7.0965,17.0755,25.9786,3.4168,7.1056,0.0
NOR_C23,7.4188,7.0209,56.3326,3.0507,30.5681,31.6138,1.3009,38.3364,6.4551,3.8862,25.0312,0.3499,10.0463,173.0852,60.1482,43.6734,5.6722,22.5366,28.2112,10.4021,26.5769,16.7524,3.3591,7.7074,1244.5118,44.0989,5.064,12.2284,1.9604,19.7279,1.8093,34.716,5.4067,7.0874,1.8026,1.6895,104.259,17.7411,10.149,29.8516,20.8209,14.635,4.6401,2.4456,0.0
NOR_C24,0.0,0.7537,2.5306,0.0832,23.6004,2.973,4.7593,11.435,7.5988,0.239,17.9501,0.0591,5.2256,16.9069,1729.0431,219.465,13.1391,170.8874,120.3807,66.7789,108.8685,106.2325,0.0,92.1548,13.9792,40.7571,0.0,0.0,0.0031,77.8446,0.0,0.0509,1.7238,0.0,0.0352,0.0,0.1173,0.0874,2.024,1.1806,0.4966,14.4001,1.0768,0.0,0.0
NOR_C25,10.3667,24.7011,163.4782,9.3734,51.2083,73.58,7.7522,31.5379,16.7554,6.4582,24.2183,0.6651,6.7504,43.6983,27.8805,142.8683,23.35,21.1688,165.8094,24.3681,373.1934,206.6753,17.1831,41.7278,426.9709,215.1651,27.983,73.6917,9.168,84.748,4.4237,17.5396,13.1549,29.3271,3.2366,9.2874,31.1907,75.8091,41.3486,26.3386,13.5734,55.6129,16.2109,26.8129,0.0
NOR_C26,3.4508,4.0111,30.8431,3.3107,4.6187,18.7959,0.8213,4.2438,6.8004,1.0327,4.9494,0.7712,1.1377,5.5844,11.5248,9.7308,145.3519,14.4892,41.6975,1.7412,29.222,26.1965,8.4305,2.5153,36.8613,23.8351,7.5078,11.915,2.7962,5.6977,2.2048,2.5358,14.0598,29.6968,1.3513,8.8868,5.3548,103.1225,37.8289,23.8717,8.3804,61.9522,7.9295,3.75,0.0
NOR_C27,6.4575,8.3849,34.7172,4.541,6.622,25.4891,1.4992,7.5892,9.7629,1.4823,17.3874,0.229,1.7861,6.6194,68.9752,21.2224,57.2571,96.4063,61.3946,6.3536,101.0831,67.7636,46.7369,4.7501,280.1718,42.8858,14.8538,16.6992,2.549,19.151,3.0433,8.0852,7.5342,23.8749,1.6938,9.7031,12.2648,16.7211,17.8731,21.0695,9.2278,27.6086,34.2711,9.3742,0.0
NOR_C28,10.4083,17.0085,341.1074,23.5565,26.7449,204.2759,3.8404,30.2571,72.2454,2.2035,55.6346,2.219,6.7257,42.2527,60.7012,82.9848,23.1639,31.3138,261.43,9.8834,194.6523,56.7805,8.9561,10.7444,187.3397,98.717,52.2835,92.7065,19.5763,44.5883,35.0672,5.9849,8.3448,72.7328,6.4236,13.0526,19.8634,19.3402,28.7263,72.4028,7.6674,23.6756,15.3375,7.3695,0.0
NOR_C29,0.5008,0.607,7.6414,0.4455,1.7787,4.1856,0.182,0.7866,1.194,0.4459,1.1553,0.0581,0.263,0.9445,3.0274,1.6524,1.0121,1.4813,7.1192,10.4416,8.1043,2.2552,0.5558,0.4702,6.261,123.0832,6.1934,2.7299,0.5759,1.2014,0.5077,0.5042,0.4937,1.4025,0.3029,0.7099,0.9631,1.499,1.247,2.8364,0.4662,2.5256,0.7594,1.9475,0.0
