V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_C24,0.7833,0.0593,0.0001,0.1971,0.0004,9.1912,0.2244,2.1855,0.089,0.017,0.1247,0.4343,1.683,3.6755,47.0098,39.8415,0.5602,1.7444,6.4918,4.9112,3.5281,8.1205,2.1658,8.5958,41.1583,5.0035,6.6577,0.0,0.0009,0.6288,0.0227,0.0729,0.0,0.3796,0.3104,0.0059,2.6766,0.9706,0.3787,1.4546,0.2763,0.1387,0.0818,0.1954,0.0
LVA_C25,1.9635,0.0454,0.0001,0.2214,0.0004,10.8376,0.3382,3.064,0.2472,0.1048,0.3518,0.1768,1.6746,3.2722,19.0341,12.6761,0.5509,1.4754,2.6611,1.4144,1.7335,3.8159,1.9631,5.3759,48.0565,7.1861,7.1177,0.0421,0.02,0.6886,0.0221,0.4225,0.0885,0.3659,0.1994,0.1586,7.0812,1.1423,0.7871,1.8372,0.4854,0.3833,0.3146,0.4883,0.0
LVA_C26,0.273,0.0187,0.0,0.0326,0.0,0.625,0.0794,0.3821,0.0539,0.0064,0.0502,0.0492,0.0473,0.1205,0.1767,0.0877,1.0394,0.2502,0.2066,0.038,0.0809,0.1986,0.6136,0.0672,2.0472,0.9718,0.4154,0.0298,0.017,0.2221,0.004,0.1261,0.2381,0.2784,0.1995,0.3949,0.3458,1.1067,0.254,0.8664,0.314,0.2557,0.2156,0.079,0.0
LVA_C27,0.7167,0.0473,0.0,0.0751,0.0001,1.2655,0.2031,1.0086,0.1595,0.0171,0.1081,0.1002,0.1268,0.3055,0.4464,0.2209,0.3406,1.362,0.4633,0.0874,0.1913,0.5956,1.3067,0.1639,4.8194,1.1104,0.8551,0.0658,0.0307,0.4111,0.0058,0.2154,0.0993,0.5373,0.3184,0.1774,0.5351,0.6062,0.3127,1.5358,0.3753,0.5934,0.2387,0.1219,0.0
LVA_C28,1.4174,0.076,0.0,0.1156,0.0003,1.4776,0.1579,1.4322,0.183,0.0104,0.0753,0.083,0.156,0.5038,0.7175,0.2697,0.6222,1.019,0.8873,0.1526,0.2643,0.6471,1.6127,0.2248,6.253,1.8372,1.4378,0.0968,0.0327,0.6901,0.0645,0.188,0.1142,0.783,0.2581,0.0877,1.0972,0.3851,0.5099,2.1031,0.4496,0.4492,0.3922,0.1991,0.0
LVA_C29,0.1679,0.0062,0.0,0.0248,0.0,0.1143,0.0347,0.1073,0.0086,0.0031,0.007,0.0037,0.0098,0.0314,0.026,0.021,0.046,0.2757,0.0078,0.1678,0.0251,0.0258,0.0678,0.0706,1.1507,0.5551,0.591,0.2003,0.032,0.1222,0.0051,0.0116,0.028,0.0201,0.0085,0.037,0.4387,0.1147,0.0908,0.1636,0.0507,0.0392,0.0241,0.0235,0.0
LVA_C30,0.4428,1.6022,0.0,0.1129,0.0002,0.2739,0.0022,0.4369,0.0007,0.0013,0.0009,0.0012,0.0029,0.3394,0.3573,0.0616,0.0075,0.0223,0.0199,0.0007,4.2713,2.4794,0.1027,0.4416,0.7021,2.1434,14.6022,0.4396,1.9122,3.4223,0.0041,0.0118,0.0441,0.0398,0.0006,0.0092,0.2922,0.1001,0.203,3.3939,0.2926,0.0063,0.0293,0.0891,0.0
LVA_C31T33,19.2135,0.9691,0.0011,1.1505,0.0049,12.2823,1.3313,7.8147,2.6875,0.5527,0.4893,0.8911,1.5546,1.3702,16.837,1.755,0.4011,0.7178,0.5503,0.2311,2.6672,29.2839,15.7517,3.1656,19.6075,16.2432,11.6984,9.3478,5.0634,11.3748,0.2003,2.2988,0.8219,2.5244,0.2395,3.1424,6.9076,3.3424,4.6176,13.2309,7.285,8.2343,3.1785,3.1879,0.0
LVA_D,10.3171,0.1601,0.0002,1.7804,0.0013,26.2734,3.4732,19.1363,2.7732,0.7798,2.3715,1.7582,1.2449,10.245,15.4879,2.1192,0.5024,0.6739,1.3601,0.2578,0.8466,9.6033,284.0311,5.9026,27.4397,35.8673,14.5483,0.0595,0.0156,15.1567,0.343,6.1351,0.6057,4.7658,0.384,3.3556,69.8961,5.3282,2.2001,31.6096,27.2077,14.5353,6.2672,8.569,0.0
LVA_E,2.0304,0.0178,0.0,0.2852,0.0003,5.8565,2.7637,1.676,0.4117,0.1371,0.3591,0.2277,0.7709,1.3376,28.1612,1.2448,0.0557,0.1099,0.1321,0.0688,0.1789,6.5052,3.9828,8.3902,11.7929,16.5491,4.2158,0.048,0.0091,6.0478,0.0998,1.3063,0.9987,0.6754,0.1283,0.8283,13.2323,4.4321,1.3585,11.4693,4.0054,2.4685,3.7862,2.635,0.0
LVA_F,10.7875,0.1082,0.0004,0.8573,0.002,10.2873,0.888,6.4151,3.0452,1.439,1.9127,4.0051,5.0351,6.8668,7.6176,3.2497,0.7273,1.5182,1.1276,0.3491,0.3189,4.8896,28.6147,7.422,1103.841,47.522,202.3397,0.4142,0.1225,3.8764,0.1522,3.6647,2.2037,21.1496,0.1544,3.6748,207.0271,26.3502,11.076,35.5259,29.1335,14.3197,9.9053,4.3035,0.0
