V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_C20,487.4143,10.2174,18.2125,4.6786,1.3535,45.5505,543.0663,14.2073,78.26,19.3896,527.2196,59.7874,238.8899,48.969,20.0738,15.8456,22.844,22.4163,14.3097,19.9036,5.3201,44.7812,13.9516,14.0927,52.0333,62.0869,11.9924,3.9138,3.3849,4.9227,0.6745,13.9334,16.6291,3.7355,2.4778,5.3034,12.6872,24.4457,18.714,35.9913,17.1494,134.1802,7.8695,46.8178,0.0
PAK_C21,26.2833,1.2453,0.9774,0.3547,0.0616,5.7174,21.6231,0.2706,1.343,0.4596,14.8927,75.6787,2.8691,0.8888,1.1138,0.3375,0.7667,0.3959,0.5872,0.5455,0.2966,1.1973,0.6046,0.653,1.4823,5.2986,0.8595,0.3829,0.3973,0.3837,0.073,1.4155,0.6539,0.6103,0.2657,0.7642,0.5377,5.2551,0.9528,8.6712,2.4194,169.1583,0.9535,2.2777,0.0
PAK_C22,54.7211,12.565,9.5148,1.5299,0.7872,78.7211,157.7813,5.7484,26.2334,1.9492,41.587,11.3218,125.2148,16.4682,5.2045,11.8925,27.1067,25.2845,22.8138,64.4207,7.1874,49.0164,5.0028,6.9851,93.9113,127.3383,48.1785,2.0746,3.585,7.1107,1.5635,10.3735,6.304,7.0916,1.794,4.3975,9.3775,14.3389,10.2895,18.9747,5.1529,22.8444,3.8105,25.7091,0.0
PAK_C23,48.8144,3.0143,9.3511,3.5864,1.7731,57.5944,34.3441,7.2584,3.5719,1.4526,22.2573,9.2935,13.8667,360.6041,19.9488,12.1489,19.6981,12.8176,10.2635,26.9664,3.9132,21.3695,9.8599,6.488,834.4194,41.644,7.9118,1.8277,1.4163,3.7932,0.3175,15.6912,1.8181,4.7573,0.7444,2.9557,44.0804,10.3886,4.7955,23.3483,8.0511,18.4222,4.1059,14.7172,0.0
PAK_C24,12.3855,1.8445,35.7525,3.2756,3.8715,12.6695,27.7733,4.2838,7.5699,1.6006,26.6527,2.3924,21.9779,39.8273,819.7005,403.2422,95.203,215.8471,231.9149,242.0981,54.3236,138.007,16.8328,32.4819,266.5549,42.4179,10.9044,1.1865,0.8966,4.3402,0.1204,1.3949,1.9236,3.1749,0.5155,0.9551,6.7379,8.9482,3.0547,8.341,2.0112,4.0411,0.9186,12.2253,0.0
PAK_C25,47.1888,9.3635,24.1051,2.3648,1.7182,38.3701,53.4958,7.568,6.923,2.4766,15.9856,2.9547,13.2921,17.3818,33.5666,99.3581,26.1708,29.5238,70.8886,67.7408,18.6234,46.5185,15.3125,7.4194,200.8508,53.0711,10.1038,3.42,2.5197,6.0765,0.4856,6.6378,2.606,8.1223,1.5879,3.0849,10.3679,12.822,7.0706,28.7603,5.9063,8.2889,3.1864,18.0589,0.0
PAK_C26,6.5205,1.6558,2.5837,0.2905,0.2308,3.8354,9.6919,0.4523,1.9727,0.6037,2.6586,0.9576,1.6036,1.8338,1.3977,2.0922,160.1793,16.4327,8.7515,9.9157,3.3649,9.0375,5.6209,1.5112,12.7757,24.5966,4.4441,1.1868,2.1528,2.3524,0.8685,2.5087,5.5958,52.3357,10.1231,7.3322,2.2064,16.1248,4.7678,24.8951,8.4618,40.3406,3.2371,27.0511,0.0
PAK_C27,8.1996,2.31,3.6345,0.5191,0.2894,4.1455,11.5573,0.6107,1.8949,0.8587,2.9303,0.6796,2.429,2.9792,4.2742,5.0453,45.1324,83.5519,22.6856,27.8301,6.2187,13.1127,31.2265,2.1602,62.8781,29.1851,8.7759,1.7721,1.5541,3.293,0.5854,3.6036,2.4028,21.6174,2.5155,3.5283,4.9967,8.1346,4.0644,12.6304,4.0896,7.6397,2.96,22.6227,0.0
PAK_C28,48.1266,5.9736,27.535,2.897,1.3411,12.0454,36.227,1.951,7.3465,1.9268,7.32,1.6312,5.3845,9.4796,7.785,9.04,10.2841,9.6379,65.1007,28.7992,8.5472,19.6817,13.8946,4.2634,39.843,31.2196,8.7123,3.3142,3.8334,4.1096,0.4537,3.7298,2.2368,5.5665,1.1665,2.281,3.5487,6.4594,5.2507,33.049,3.0292,6.1207,2.0532,11.6718,0.0
PAK_C29,11.0416,1.3987,2.6328,0.4519,0.2108,3.6385,8.3903,0.5471,1.1986,0.3646,2.0547,0.4283,2.3379,2.3313,9.6682,4.5835,4.1766,5.4827,8.4139,247.0848,3.3194,7.8645,2.2096,2.2979,7.6766,91.5318,37.7836,1.0557,1.4259,3.9008,0.6279,1.3575,0.7429,2.7516,0.6432,1.357,1.5008,3.2145,3.9031,9.933,1.4376,2.3866,0.9806,6.7213,0.0
PAK_C30,0.7293,12.2586,0.4859,0.0613,0.0235,0.2622,0.5559,0.0419,0.087,0.0323,0.1169,0.0371,0.1096,0.1361,0.1605,0.2208,0.4454,0.32,0.5683,2.5146,39.733,1.9618,0.2354,0.0948,0.8273,2.7854,10.1694,22.2538,17.6452,1.251,0.0822,0.1554,0.0792,0.2273,0.0549,0.1069,0.1616,0.3765,0.6327,23.6912,0.1424,0.5113,0.1783,1.2044,0.0
PAK_C31T33,45.6049,15.8724,19.4082,2.29,1.5233,18.2009,89.8306,7.6187,10.7129,3.0051,10.0829,3.3306,6.4906,14.4885,6.7051,6.4981,11.1187,7.2433,9.3777,13.7609,6.2004,87.3787,24.0676,6.6352,38.1442,60.4389,27.013,10.2747,24.4161,9.5116,1.4353,17.1597,6.5107,22.7975,3.9544,15.3159,12.3024,20.7991,15.0619,42.9265,24.5965,54.0959,16.1783,24.3742,0.0
PAK_D,293.5954,41.436,130.8932,20.7208,4.2597,124.1492,474.4167,19.1568,107.3169,38.2114,141.7142,17.5795,51.5539,134.6085,121.7704,28.9179,26.9387,22.4932,28.1144,32.8816,11.9425,41.7271,1171.8909,65.2253,40.7083,322.5643,97.4999,12.3522,9.8644,53.2075,8.0609,141.839,31.1111,90.1529,14.1633,78.0826,133.4727,64.6393,38.9168,278.2604,187.4721,175.664,60.5374,109.683,0.0
PAK_E,31.6942,3.3412,7.1365,0.908,0.406,15.4263,39.6778,1.4859,14.5644,1.5745,9.8143,2.0486,4.6287,7.3192,35.2225,5.0899,2.3652,1.6463,2.532,2.4624,0.9567,4.0174,19.1031,80.1321,11.5541,42.9086,10.1483,2.4993,1.1883,5.3376,0.726,21.8805,3.8209,7.2744,1.9943,7.3656,30.6782,11.7346,5.8704,74.2303,19.5919,29.8411,6.671,17.3322,0.0
PAK_F,34.4479,3.69,9.8777,1.336,0.8006,7.715,18.7996,1.3817,2.6909,1.4519,4.1744,1.1832,1.9509,7.7363,2.5553,2.2022,2.3755,1.7741,2.4003,2.4307,0.9206,4.9661,27.304,9.7582,238.4068,42.6279,15.2747,2.668,3.0158,13.7886,1.268,11.0123,2.9604,15.7391,1.9348,14.7315,155.2937,18.0782,5.895,90.4263,23.1141,19.5438,7.7248,10.3363,0.0
PAK_G,1258.0318,105.8312,66.0224,9.4501,5.1484,825.9728,1148.8534,52.9619,121.0656,100.5584,179.8584,54.1017,86.6163,106.9229,88.8609,58.6579,87.2369,57.8766,68.7139,152.0359,23.4309,123.6956,134.4292,30.3773,251.2056,934.2675,335.1511,48.4647,59.2722,50.8732,11.0458,244.3131,74.9337,86.1283,21.7179,62.8007,44.9148,91.1096,79.7948,191.3481,65.7549,159.5281,38.87,99.7995,0.0
PAK_H49,297.4752,24.4963,58.4107,7.9162,2.8445,201.0882,199.6988,19.1372,42.8688,44.4319,56.8163,9.4153,24.4326,57.5998,40.2297,21.9997,19.2776,16.7935,20.7539,30.5308,5.8563,32.2649,58.7784,11.4643,90.0732,335.2796,226.8942,23.0394,18.7377,77.105,12.864,46.2804,18.1581,15.099,5.4736,20.7798,11.6011,27.341,21.7607,65.2095,33.6151,35.7291,9.7038,33.5888,0.0
PAK_H50,27.2111,9.2471,18.1073,1.5356,0.7373,16.3645,26.4822,2.2121,6.2782,14.6623,13.253,1.6749,4.3709,7.443,8.6198,3.9153,4.4162,3.292,4.2723,5.3483,1.2387,4.4218,10.8783,1.1797,8.377,73.5777,26.8378,186.7341,5.306,28.6357,2.2031,4.4778,1.9451,3.604,0.9916,2.9938,1.406,5.1839,6.1819,13.9583,2.7373,4.79,1.5019,3.6653,0.0
PAK_H51,24.3613,2.6365,7.3411,0.502,0.3102,12.9318,22.9472,1.0327,3.7105,12.8265,9.8687,2.0642,4.2156,3.9294,6.9379,3.7305,5.3385,3.2362,4.0161,4.956,1.386,4.3733,12.0544,1.194,9.0138,37.7259,8.1889,4.1869,32.6248,13.9052,4.7827,5.1091,3.4372,6.1567,2.5195,10.8978,2.187,11.3149,15.5791,29.3584,6.235,8.1589,3.3136,7.6906,0.0
PAK_H52,61.2549,17.7589,11.8591,2.6152,1.8295,45.7654,56.3213,3.8542,10.4976,10.6575,16.9251,3.3382,6.4722,13.5819,9.6103,5.2634,5.5021,4.3325,4.9427,8.2136,1.7932,7.7899,12.9982,3.359,17.0342,240.7846,177.9022,134.9423,121.2736,141.3688,4.3982,11.1321,5.5455,10.4727,2.1492,5.8418,3.8934,11.6523,9.3305,21.2149,4.2143,6.6309,2.4607,8.3485,0.0
PAK_H53,4.1851,0.7946,1.5185,0.183,0.0945,2.8962,12.1313,0.2974,1.2929,0.3732,2.0993,0.7459,0.7861,1.0238,0.5923,0.6328,1.2605,0.8292,0.891,0.8642,0.2609,1.8488,3.3897,1.2673,2.2017,44.5575,5.7743,1.4473,1.3117,4.9141,34.1017,4.247,8.858,34.8227,3.1454,25.1984,3.907,12.5643,7.6622,34.8259,5.5006,7.6893,3.8021,9.9778,0.0
PAK_I,9.055,2.9775,7.3771,0.8372,0.4357,11.1585,41.3528,1.1317,4.1472,1.0617,7.2184,3.4592,3.4916,4.7155,2.5225,2.8072,5.3555,2.58,3.8372,3.534,1.4634,5.8229,7.0406,3.3205,12.4977,94.1553,22.5266,6.307,26.1425,16.0626,1.8575,24.2507,11.3082,14.8614,9.2588,41.3341,11.2894,39.3885,34.3447,78.9853,33.6699,48.7989,15.6204,33.1623,0.0
PAK_J58T60,7.7792,1.0875,2.3376,0.4037,0.1888,14.5733,28.6321,0.8047,10.6844,0.7861,7.0309,3.4548,2.2557,3.0969,1.2384,1.4893,3.7787,1.8619,2.0438,2.8058,0.8606,4.3431,5.0147,2.4506,5.9539,92.7342,8.9236,2.4266,3.9769,6.0567,2.1353,14.9485,191.2914,48.3622,13.1988,42.2471,9.3318,98.3691,23.4456,60.633,55.9116,18.4627,34.7737,29.5717,0.0
PAK_J61,18.1267,5.3809,10.0504,0.8003,0.4598,11.8597,53.8433,1.5514,5.619,1.2748,6.534,2.8161,3.67,5.402,2.4167,3.2519,8.587,3.3596,4.6946,4.6706,1.4207,8.0601,12.545,5.5318,16.2473,148.5818,25.6409,5.7779,7.8445,17.1152,4.7821,20.4309,29.593,440.0251,21.0649,90.9656,19.5328,62.3042,34.7977,106.1527,32.6259,39.6611,18.4055,43.3679,0.0
PAK_J62_63,3.3278,0.5749,2.2235,0.1729,0.1001,4.0548,12.3129,0.3875,1.7414,0.5425,2.1017,1.232,0.9068,1.43,0.9324,0.8564,3.62,1.1879,1.3193,1.6825,0.5973,2.0471,5.5038,1.6518,3.6918,34.3237,5.3528,1.433,2.7713,3.832,1.557,3.0047,7.3592,24.7848,30.4906,43.2992,4.036,18.1205,7.3836,38.292,7.8228,9.0225,3.2277,9.453,0.0
PAK_K,179.813,25.861,45.1295,3.9946,2.3462,51.8283,188.7053,5.8749,21.4341,9.0687,29.4301,9.9147,13.877,21.8103,15.2208,11.2029,17.7317,11.2066,15.1767,17.9676,6.071,26.449,63.3919,15.7355,64.9116,326.9773,91.4242,25.4134,23.878,35.5208,5.9456,50.7755,23.1846,68.8448,19.4998,819.373,328.6787,93.1271,61.3598,181.2715,42.7584,67.9412,23.1925,62.0572,0.0
PAK_L,19.6923,3.0808,6.3416,0.8314,0.375,17.8443,86.5761,2.2801,7.1144,1.3712,7.2465,2.9623,5.345,6.5551,2.7977,5.2366,6.8714,4.0375,5.0577,6.3853,2.3282,12.7803,13.0684,5.8191,24.1188,364.805,28.0601,6.1925,7.3755,27.7927,4.0922,89.811,20.2767,51.7861,17.5038,91.5181,104.4049,75.6047,40.0548,106.4472,48.4843,59.9568,29.6563,64.8133,0.0
PAK_M,90.2729,10.2719,59.7524,4.4766,5.4107,84.6506,206.0958,5.0402,24.6025,7.7705,43.9739,29.6025,19.1362,25.1985,12.5474,13.6182,36.6912,17.5255,20.4979,25.0934,9.6285,28.4631,55.6616,23.3576,138.635,463.2836,56.0571,17.7691,18.5082,36.6148,6.6152,53.599,68.5898,129.6976,45.7243,208.009,100.2777,387.4899,104.914,224.7305,57.5818,87.7824,44.536,94.3485,0.0
PAK_N,55.0459,8.3946,36.454,3.1799,4.7101,51.559,136.4711,3.9514,18.7199,4.7694,24.7034,14.1213,13.1165,17.8923,8.9385,10.7473,22.8715,10.6197,12.7181,14.6598,5.6895,22.3163,34.7097,14.4469,62.1796,292.458,74.4155,32.8539,42.3022,46.9568,10.2385,48.9677,39.7749,105.8609,30.7638,132.3325,65.9332,143.7614,144.7943,151.7058,56.9799,96.6049,38.9127,70.9886,0.0
PAK_O,31.0946,5.4346,9.0824,1.1952,0.6982,13.8453,40.746,1.7233,5.8231,2.0383,8.5684,3.3608,3.5411,6.0259,9.42,3.7738,4.2561,2.6366,3.3261,4.8819,1.4642,7.0989,16.065,10.4339,20.469,63.812,36.1953,7.282,6.7091,10.9064,2.1658,11.1278,10.576,17.5539,4.8047,29.5365,27.0939,36.0458,15.2483,163.3427,22.4052,32.2076,10.8034,21.4741,0.0
PAK_P,5.1126,0.8192,2.8965,0.2277,0.1058,3.3546,10.0765,0.4082,1.3975,0.5748,2.1068,2.2254,1.0653,1.4937,1.1013,0.9147,2.5992,1.1087,1.17,1.8367,0.5625,1.6901,3.8391,1.4966,3.4325,21.0216,5.1125,1.195,2.9847,2.9182,0.6709,2.8763,3.156,9.4507,5.0427,18.2606,3.2549,17.8814,7.8642,62.7362,72.122,19.6661,3.5575,10.4828,0.0
PAK_Q,45.212,1.505,1.3113,0.1725,0.1448,3.9642,9.5472,0.3191,0.7982,0.3588,1.4206,2.6327,0.8517,1.0094,0.6018,0.5611,1.0143,0.644,0.8191,0.7402,0.3108,1.5733,1.9577,1.2912,2.4331,12.5561,3.6546,0.8045,0.8466,1.6339,0.377,3.271,1.6725,2.7189,1.3984,7.5851,1.823,5.7404,3.7979,49.1619,8.5261,379.2776,3.2992,6.3991,0.0
PAK_R,2.0307,0.3127,0.7009,0.0794,0.0534,2.7142,4.1209,0.1814,0.7155,0.156,0.6513,0.3955,0.3469,0.4526,0.2323,0.244,0.3665,0.2478,0.2884,0.6323,0.1633,0.6422,0.7813,0.4353,1.259,11.2785,1.572,1.0272,0.7043,1.2987,0.3136,6.0453,27.5113,5.159,0.9062,5.3657,2.146,11.169,4.9948,15.4821,8.3883,3.2358,91.4247,9.4606,0.0
PAK_S,14.4163,3.5137,3.6102,0.565,0.3642,7.619,25.7471,0.7785,2.3275,0.8024,3.1956,1.2574,1.6454,2.8028,1.3944,1.2988,2.3504,1.1652,1.6164,1.9796,0.6091,3.9907,4.8269,2.773,6.2777,39.8154,10.2776,2.4911,2.5654,5.0296,1.1011,16.3948,5.8755,11.1165,3.5605,15.3416,6.3711,17.0193,9.4552,20.2176,11.8236,32.3474,8.8336,59.5608,0.0
PAK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
