V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_C20,566.0788,0.752,7.5804,60.1945,2.6674,210.8592,921.2632,178.9934,293.1481,143.3915,1428.0432,20.1976,1931.8437,359.0757,219.6291,201.4718,17.2533,254.7888,108.8378,103.7462,27.9202,189.9995,27.2106,305.3682,314.1357,130.3567,37.4839,4.4035,9.6446,11.4193,2.3696,125.0167,52.6944,8.8909,24.6182,15.4832,260.4418,166.2198,273.7788,71.0229,72.3308,222.1778,8.8711,70.0475,0.0
TUR_C21,70.2623,0.3567,0.3246,0.7774,0.3505,63.8672,10.3299,0.9792,5.4283,2.0466,33.9579,476.8569,18.8075,4.6834,3.6279,3.1532,2.4899,3.0998,3.3609,6.7839,9.165,4.8038,2.8991,115.7432,9.0063,30.0609,10.098,1.2228,0.7171,0.2638,0.1216,3.7045,0.8659,0.7271,0.8728,10.9085,3.7673,43.5516,20.9748,11.4029,44.9157,606.7733,12.0615,10.9496,0.0
TUR_C22,160.4754,0.8038,7.9868,30.3344,3.2432,531.5111,312.5856,61.2498,284.9418,44.55,341.2896,13.1149,1357.0567,104.1965,62.608,216.2429,41.3544,697.7549,234.1822,911.3843,42.1341,592.9888,29.8013,87.4158,1328.7987,267.7646,489.6618,2.0314,4.2468,79.1523,6.3295,51.0597,15.296,4.51,9.6022,10.2043,708.1649,51.2007,69.1234,130.6565,40.1181,42.2618,1.8228,62.0306,0.0
TUR_C23,48.705,0.0892,4.5812,36.0259,3.7358,138.5431,85.871,18.0748,29.4936,66.5478,81.5632,9.4315,157.6759,2352.0452,763.8948,148.7743,7.9496,164.0902,139.3237,195.0053,24.9687,159.1763,33.6255,17.4098,5951.597,118.5091,77.0138,1.2099,3.0834,2.9004,0.6763,95.1783,6.13,2.6733,2.6456,8.0997,1769.8468,118.484,175.6717,331.0038,172.0875,304.9578,1.8038,36.7076,0.0
TUR_C24,0.9644,0.0468,20.7261,2.2011,7.5287,25.2768,4.4512,11.9204,18.0863,9.3664,35.011,0.5968,184.2778,88.2447,7892.2229,3991.3324,55.4011,1247.9092,2062.1376,1595.2315,137.2633,2113.7808,121.4367,168.819,4408.7788,66.4557,99.6295,1.7036,0.0001,7.9178,0.0094,10.7202,4.2743,0.2771,10.0551,0.0314,26.9551,119.9379,153.4683,3.5207,1.1951,0.1512,0.0712,11.746,0.0
TUR_C25,43.0365,0.3411,10.6551,62.4508,7.7727,185.36,115.7888,44.1445,36.1564,43.1329,152.2951,4.3429,182.4697,138.3308,302.3973,969.9201,19.6839,495.9787,357.4413,846.557,146.9722,587.7326,140.5314,32.6933,3922.2761,258.7765,104.6457,2.851,5.2923,19.2119,0.9823,61.2544,11.0652,10.5015,23.3605,8.9476,339.9806,112.9945,148.3002,140.2583,153.0248,40.5866,5.929,71.5953,0.0
TUR_C26,4.9468,0.0173,1.2731,1.6154,0.3615,7.0278,6.5281,3.4335,1.7293,1.7162,3.5263,0.4121,4.2243,3.6417,7.4657,7.6625,149.3379,75.4098,37.8937,24.6104,1.7008,38.0386,24.3447,5.7471,34.4664,17.457,6.0424,0.428,2.041,6.8434,1.5118,5.0862,16.3301,92.4903,61.5066,7.0639,3.8156,35.6076,43.2857,20.6059,21.9697,51.3044,4.4844,47.5459,0.0
TUR_C27,19.0383,0.2756,8.6291,55.0097,1.3851,39.789,43.3544,3.46,12.9566,12.7007,18.76,2.4876,31.4146,34.6664,24.2713,65.1089,77.4333,1487.7713,275.9406,179.2312,39.4888,229.2109,650.1533,26.0303,1254.3957,177.9678,240.2719,12.4565,37.0942,10.0661,10.2736,39.5288,6.421,165.8418,12.7532,6.1582,160.2732,103.4828,126.0335,221.0751,35.9417,22.473,2.1575,87.8103,0.0
TUR_C28,99.4008,0.1295,11.9937,49.1577,4.4035,50.4857,61.5879,11.7901,38.2327,36.5744,33.0156,2.7163,48.2821,108.9028,154.8931,116.5104,11.0542,120.2382,549.339,161.8002,36.5902,112.9861,130.4401,54.2087,557.3568,56.6463,32.9595,13.5871,2.6982,4.177,0.5566,13.7861,7.9352,3.5337,3.6976,2.2355,146.8372,41.9739,83.7096,182.653,33.3368,14.8439,1.1107,52.0899,0.0
TUR_C29,62.5914,0.102,4.9149,21.4634,1.1394,34.4584,33.591,4.3274,9.0272,13.5729,18.1849,1.4566,26.8323,35.7652,21.2133,32.6622,5.4918,35.6611,124.6134,2740.1478,9.5052,38.2782,38.5575,19.5035,168.7982,546.757,713.2279,10.2526,64.6481,18.9311,3.5487,21.8408,4.8159,8.9988,26.2301,25.502,24.8791,23.4841,48.9847,27.3223,17.3476,18.0332,1.9615,25.3246,0.0
TUR_C30,1.2534,7.6139,1.1545,1.6334,0.1184,3.6549,3.0848,0.2686,0.518,0.6056,1.9394,0.1906,1.6799,1.6314,2.0891,3.6391,4.1682,4.1012,4.5168,13.2456,122.3874,107.8577,3.9737,0.4336,15.5996,5.8211,35.1539,44.1545,128.1698,2.4699,0.0694,1.3833,0.646,2.4201,19.7419,0.4462,2.6988,2.9349,2.9289,337.9371,2.0599,5.0397,0.2048,3.5436,0.0
TUR_C31T33,42.8504,23.4653,19.5772,30.6997,11.5009,182.6922,392.2983,49.8546,69.0089,61.0271,50.2157,7.3139,167.0676,252.7168,151.5024,149.0762,22.9731,68.0961,123.5878,91.1274,23.222,764.2581,11.1706,87.1981,382.9485,330.7208,279.1696,32.1334,141.5512,62.1241,2.6535,245.9772,17.47,47.0988,34.5899,163.8312,63.0911,103.2084,119.9715,78.2762,123.525,442.5201,22.3516,192.5826,0.0
TUR_D,171.1314,0.5737,47.2952,132.9979,8.2117,228.5982,381.4986,97.5389,314.0818,130.7782,162.7732,7.3714,378.8662,720.1186,1776.6822,251.5824,11.8072,207.0807,203.6981,131.5342,27.3146,111.0282,23291.4396,418.1234,244.8971,889.8861,78.7738,2.912,13.8086,32.8671,14.4522,570.2997,67.4564,153.7281,35.9926,181.3529,434.0994,104.5582,87.7779,709.0234,652.7083,313.2201,28.8196,246.4332,0.0
TUR_E,103.6942,0.0823,1.6343,5.465,2.4697,35.1933,49.8853,4.7827,117.1217,13.1325,29.8222,1.1082,54.5992,45.169,3988.0474,36.7677,4.1496,32.4705,27.5024,23.452,2.3202,29.85,30.0067,2109.318,507.6298,338.9178,17.6397,1.3341,1.385,15.0018,1.7675,162.9939,9.2577,9.501,7.8076,20.4104,603.5899,85.2168,27.8237,117.783,218.0746,87.3917,12.8621,194.4681,0.0
TUR_F,134.5793,1.3519,8.0949,25.5057,11.6561,69.7462,60.9869,17.5835,17.3349,17.0143,31.3736,3.7981,36.9794,76.8771,79.2753,52.5549,7.3421,33.9919,38.4284,35.236,11.3202,91.0564,106.5974,1148.9832,5783.3096,669.5764,112.7855,4.5548,10.4507,8.4732,11.0004,98.4727,24.4186,110.1175,22.7657,68.1334,2031.9387,103.905,69.8628,989.042,192.6693,156.2889,33.9467,73.9069,0.0
TUR_G,2208.5489,16.4704,49.7783,335.9565,17.9813,4698.3924,5075.2433,272.2217,670.5362,1041.8217,904.8931,382.0378,1285.7447,1031.6143,1407.8758,910.6175,217.8419,1077.5924,798.8574,1355.1303,134.3675,1406.8191,1408.897,412.5797,4168.511,2154.6204,3149.6501,131.7358,516.645,148.1668,76.3354,2230.851,191.8929,206.8065,196.3189,383.0009,922.4409,600.0695,785.5662,971.8006,530.3628,983.012,52.1497,434.9919,0.0
TUR_H49,595.1142,4.4968,37.5696,191.3428,24.1547,1210.7811,789.7701,102.6556,220.3849,571.4281,411.3528,41.6192,381.7038,585.5876,983.809,411.7656,46.2362,369.3416,323.218,414.5946,44.7592,518.5817,446.9465,163.4716,1149.1994,3559.9048,9156.9506,203.3052,266.6233,1128.9507,186.2683,693.3896,109.8193,64.4919,116.8911,147.7224,284.4531,318.4053,434.3036,700.075,695.4337,277.8785,41.7327,208.7781,0.0
TUR_H50,36.8258,0.6186,1.7362,6.6436,2.2247,72.857,65.8014,6.9242,17.5456,81.6762,48.5545,6.1344,53.0587,41.1004,144.6979,48.8538,5.8957,36.8824,33.9284,46.9401,11.8366,56.4653,45.0202,9.7668,100.3346,3119.1978,473.1598,637.7268,64.1135,197.8948,9.2486,51.4933,3.8909,4.7232,10.058,16.3554,18.0989,75.7027,45.3515,58.7474,18.2024,20.418,33.9631,34.0706,0.0
TUR_H51,25.8494,0.4614,0.9325,7.0433,0.8904,46.9147,45.6471,6.3814,11.3117,40.9157,19.2606,3.7775,27.07,20.1591,43.6708,22.9866,4.1546,25.0315,20.499,29.0558,3.1707,24.4094,31.4305,6.1739,73.0981,122.5851,159.7126,10.9661,191.4136,24.848,53.3182,22.3716,10.3487,4.3111,15.5813,17.0902,13.7621,17.5432,137.782,189.4401,25.1873,14.5092,3.6736,14.0165,0.0
TUR_H52,61.3401,3.0919,3.7928,45.5925,6.5173,162.6056,139.6255,21.3453,50.8208,71.1573,89.7409,5.6875,66.5815,86.6306,143.562,66.3286,5.3708,42.8287,42.5784,47.4737,6.5562,52.9981,56.2815,21.8898,202.5491,590.5647,1516.1776,266.4647,451.6084,750.3616,72.9695,135.2918,20.5221,10.9115,48.0639,18.3622,58.0087,54.657,152.1432,147.8955,62.5939,172.4283,21.9235,39.901,0.0
TUR_H53,0.9967,0.0215,0.2343,3.4032,0.4299,8.5909,16.5837,3.6116,6.548,2.1168,9.5336,0.5303,13.7777,10.854,8.4227,11.7229,1.3912,11.3627,9.8373,2.9991,0.9297,18.3369,9.3378,13.7039,17.8098,591.9048,87.3028,2.0917,11.3557,35.9662,82.9106,15.5315,16.2688,74.9564,10.3239,59.9719,2.3617,55.5605,78.6239,29.0745,28.4893,9.9783,1.7656,34.0847,0.0
TUR_I,4.2013,0.6355,11.2677,25.7438,2.2935,23.2661,28.7369,5.9963,13.0025,6.8867,29.3793,3.6938,20.7589,27.8836,31.0086,31.0784,1.8063,25.5414,33.2325,15.5668,6.514,44.9884,40.1314,14.1092,112.1128,629.7347,281.58,9.2172,243.513,316.9277,8.444,72.8058,35.3673,19.9086,55.1101,201.6876,26.4212,95.1282,1071.9245,92.6967,190.5868,103.9438,18.01,78.6291,0.0
TUR_J58T60,2.7064,0.0576,0.6447,0.8248,0.5595,29.9341,23.7557,4.1109,88.0664,4.8504,23.1103,1.0206,12.3981,21.2889,6.2439,11.7255,5.6264,25.6793,11.7995,11.7119,0.8069,12.6662,7.0201,8.0329,17.5892,196.3763,14.3132,0.6163,1.8109,11.4773,13.9379,37.8511,684.1655,197.7821,52.2219,614.2518,5.406,620.4757,120.2197,61.8804,88.8733,24.1861,10.4346,54.1756,0.0
TUR_J61,17.7771,1.258,1.9637,24.2124,3.6828,50.589,85.0967,15.5288,27.2169,9.5163,39.3141,2.3502,54.1954,50.3713,51.2123,57.3108,4.2801,35.3848,51.3674,32.3942,4.9277,42.3,49.6495,113.8603,148.53,1616.6274,243.8051,8.4376,68.4864,67.3519,9.3113,138.6205,119.2097,1051.5158,210.3329,565.4558,46.8728,332.5593,348.9665,433.3438,206.0591,165.6965,29.306,239.4517,0.0
TUR_J62_63,3.8006,0.0237,7.5846,10.3926,1.6437,48.4644,52.1671,9.3412,18.1598,15.7465,34.962,2.4935,42.2851,44.7065,50.5553,26.5822,4.2401,29.4739,24.198,30.9164,5.2912,67.6582,87.5241,55.238,33.1535,419.8655,80.8717,7.5066,4.1026,10.4397,16.3427,68.2279,101.2961,166.395,225.0134,338.9178,12.219,103.2296,191.5044,383.8014,283.0337,200.3879,14.7525,90.0719,0.0
TUR_K,468.9012,1.2011,15.7603,73.0494,10.6844,156.8486,420.0666,49.6451,110.7387,205.0367,354.4096,18.7638,346.7472,426.1145,382.1224,234.8482,28.3841,229.3769,146.6946,105.4688,74.2401,159.0576,620.2724,72.7672,959.9027,1435.1658,895.2364,55.5678,1148.7287,126.0939,46.0852,372.4932,86.5917,287.9319,124.3221,3896.343,422.1669,243.9156,383.0345,814.554,360.5231,161.9862,60.6421,178.908,0.0
TUR_L,5.0743,0.3486,2.2297,17.3631,1.578,52.5799,160.3378,10.2691,46.3609,22.4284,33.3251,2.8026,52.7598,53.5047,34.2382,59.8365,3.3846,30.7717,41.4348,12.6859,5.8775,87.5287,65.5647,102.5685,84.1463,2900.4702,360.2456,13.1438,27.7442,99.7647,58.8711,516.3013,73.6094,107.9374,78.1945,911.564,558.2943,206.9878,156.158,180.735,167.9107,321.4859,25.4253,172.6977,0.0
TUR_M,29.3914,0.9302,8.6406,38.7069,20.7196,232.3755,159.614,25.9883,120.2957,92.4862,334.3089,16.1957,140.2328,157.2579,113.4769,118.174,18.9609,158.699,139.6014,140.6469,14.7403,200.792,155.6402,103.2477,593.4031,2657.1412,223.8072,10.0416,71.8238,99.8166,74.9572,281.6945,305.7936,640.546,591.1406,1151.5952,324.7798,1301.1059,376.7905,450.3532,492.6327,380.4026,91.9265,516.0088,0.0
TUR_N,26.6751,0.6479,11.8061,99.0368,21.8552,210.0885,201.7291,28.0375,112.7715,79.4152,275.3071,19.6424,138.499,158.77,166.4031,108.6743,13.5731,94.6029,144.297,126.799,20.1992,174.3128,128.7608,324.3519,671.3364,1811.5909,359.2288,19.5478,207.3395,146.7186,451.4221,304.7052,111.0594,351.0465,532.8055,598.3542,380.6291,276.7499,1847.0213,853.7965,738.3124,369.6619,108.575,278.0429,0.0
TUR_O,26.0005,0.1013,2.4722,5.9858,3.0449,23.3037,23.5317,3.1599,11.3347,7.4666,20.2398,1.086,16.2147,22.087,23.4342,20.4852,3.2902,10.5857,13.1771,11.5945,2.2672,14.7372,66.8188,36.3175,128.5987,341.7343,82.8382,7.7804,14.8224,33.9154,13.3315,53.9208,42.7166,48.624,20.3296,212.7776,53.1556,113.2163,60.6272,257.5899,138.2704,58.6857,35.983,126.0014,0.0
TUR_P,4.3947,0.0314,9.9816,5.1609,0.829,28.6389,25.1968,1.6711,9.3274,9.7968,35.534,6.1827,19.4305,25.3344,25.0321,12.3886,6.7364,23.2978,28.5301,42.4946,1.9081,14.6264,14.7665,3.5814,17.7608,298.203,15.8215,1.6289,47.0105,10.6094,2.9279,18.1288,7.8846,17.9799,25.1782,150.2443,34.9788,118.0367,47.0425,489.5345,675.9375,603.1425,7.9503,106.8233,0.0
TUR_Q,82.4574,0.0005,1.5945,26.068,1.1291,1.0978,17.9205,2.3335,10.5056,8.4434,23.9737,0.7327,0.4213,26.4688,68.9133,28.3967,2.1233,12.9814,27.5469,8.148,0.0424,6.8336,0.5482,0.4096,0.469,4.7804,74.952,0.067,10.8051,0.1366,1.3777,0.4696,0.5847,5.672,1.3381,58.4296,83.6907,1.2773,1.3112,12.2241,65.5363,2423.6083,9.8363,44.4896,0.0
TUR_R,0.0777,0.0,0.0143,0.0187,0.0561,1.4016,1.9333,0.0,0.5722,0.3824,1.0736,0.1218,1.4473,0.8329,0.5927,0.3852,0.055,0.2633,0.1105,0.5339,0.3514,0.5561,0.5062,0.3975,0.0907,5.9541,16.1207,0.2606,2.3967,0.5417,15.2951,10.9348,186.7223,12.7107,1.0645,9.9653,0.6337,14.4308,13.3309,3.9379,2.3424,3.9036,291.4549,0.1254,0.0
TUR_S,18.4158,5.4331,0.8181,12.565,5.8087,30.231,33.5754,5.2521,10.124,6.5861,38.7168,1.1059,22.0855,20.5464,27.6768,22.9284,2.5962,13.0795,15.194,17.6691,1.7577,16.2105,19.3723,14.2928,41.7911,431.4364,37.4898,70.4142,6.059,60.4485,2.7332,267.642,16.6604,26.0189,61.6018,124.0641,10.241,81.6475,170.1067,117.0431,104.9363,131.3698,3.0267,882.8083,0.0
TUR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
