V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_C20,23.686,0.0755,1.1809,0.3084,0.2322,7.3819,5.248,0.3775,3.0936,0.0945,42.5863,4.6254,0.9803,0.7932,0.2765,0.0284,0.003,0.6944,0.6924,0.0149,0.0016,0.3927,0.0225,2.5657,9.0591,3.4477,2.5528,0.9328,0.7276,2.7404,0.2439,0.6796,1.4229,0.3787,0.5901,0.1279,0.0168,1.1994,1.118,6.0333,2.9246,1.327,6.3625,6.2359,0.0
CMR_C21,1.3804,0.0177,0.0407,0.0159,0.0056,0.7458,0.1626,0.0202,0.1211,0.0049,1.6783,7.7752,0.0349,0.0363,0.016,0.0015,0.0002,0.0201,0.0479,0.0009,0.0001,0.0211,0.0021,0.1894,0.4569,0.2447,0.2124,0.1541,0.1402,0.2515,0.0725,0.0655,0.0543,0.0473,0.0614,0.0178,0.001,0.1949,0.0831,1.9659,0.546,1.4136,0.6401,0.8822,0.0
CMR_C22,0.7594,0.3177,4.4669,0.0158,0.9551,5.2914,5.4642,0.0259,0.1121,0.0243,0.3218,0.0842,2.1541,0.0118,0.003,0.0009,0.0003,0.0168,0.0275,0.4033,0.0345,0.0399,0.0041,0.4179,5.1544,1.1171,6.3645,0.4106,0.7659,2.1213,0.3597,0.2397,0.0252,0.0183,0.0381,0.0287,0.0071,0.0404,0.5402,0.5509,0.0953,0.1847,0.9361,0.5051,0.0
CMR_C23,5.5043,0.047,2.3943,0.5471,0.4786,1.2096,0.1115,0.0403,0.0258,0.0065,0.0036,0.0015,0.3153,12.0718,0.2171,0.023,0.0005,0.0003,0.0004,0.0394,0.0042,0.1323,0.1442,0.8609,73.4911,0.7381,0.3415,0.1078,0.1307,0.3001,0.045,0.0028,0.0034,0.0039,0.0054,0.1258,0.0285,0.1017,0.0214,0.7038,0.1966,0.3288,0.1515,0.1181,0.0
CMR_C24,0.4748,0.0086,0.4573,0.1384,0.1048,1.3565,0.6772,0.0225,0.0479,0.0022,1.0101,0.1017,0.0898,0.1742,19.8692,1.1873,0.2501,0.5302,0.5435,0.0427,0.0038,0.0531,0.0196,0.4251,3.5484,0.1957,0.0719,0.0326,0.0357,0.0642,0.006,0.0376,0.0631,0.0451,0.0321,0.0279,0.0159,0.0621,0.0421,0.0015,0.0003,0.0067,0.0377,0.4263,0.0
CMR_C25,0.6392,0.006,0.4781,0.1716,0.0893,1.0502,0.565,0.0193,0.0131,0.0016,0.2899,0.0469,0.0359,0.0969,0.4716,0.1733,0.054,0.0601,0.193,0.0316,0.0039,0.0115,0.0075,0.1989,4.1649,0.1587,0.0634,0.0249,0.02,0.0594,0.0058,0.0417,0.0261,0.0289,0.0462,0.0144,0.0111,0.0461,0.0651,0.0016,0.0004,0.0079,0.0414,0.388,0.0
CMR_C26,0.0208,0.0001,0.0059,0.0014,0.0011,0.0107,0.0107,0.0003,0.0007,0.0001,0.0015,0.0003,0.0009,0.0019,0.0001,0.0,0.0013,0.0001,0.0001,0.0,0.0,0.0025,0.0039,0.0001,0.0303,0.0045,0.016,0.0051,0.009,0.0141,0.0032,0.003,0.0027,0.0108,0.0134,0.0142,0.0002,0.0017,0.0271,0.4262,0.0048,0.0027,0.0081,0.0058,0.0
CMR_C27,0.0205,0.0034,0.1157,0.0145,0.0208,0.0979,0.1341,0.0039,0.0142,0.0241,0.0219,0.0051,0.0086,0.0265,0.0038,0.0006,0.0195,0.0069,0.0041,0.0,0.0,0.0039,0.0792,0.0003,0.1749,0.0677,0.0203,0.0055,0.0048,0.014,0.0014,0.0072,0.0064,0.0233,0.0237,0.0991,0.1298,0.173,0.0081,0.9432,0.1325,0.102,0.0082,0.1317,0.0
CMR_C28,0.0614,0.0042,0.2266,0.0359,0.0348,0.156,0.2696,0.008,0.0263,0.0399,0.0278,0.006,0.0119,0.0529,0.0051,0.0008,0.0038,0.0006,0.0061,0.0,0.0,0.0031,0.0359,0.0003,0.077,0.0409,0.0146,0.0069,0.0068,0.0141,0.0013,0.0024,0.0053,0.0053,0.009,0.0491,0.0519,0.0981,0.0057,0.8992,0.0685,0.0573,0.004,0.0671,0.0
CMR_C29,0.0059,0.0009,0.001,0.002,0.0002,0.0002,0.0,0.0025,0.0002,0.0,0.0036,0.0005,0.0011,0.0428,0.0033,0.0009,0.0,0.0,0.0002,0.4349,0.0,0.0,0.0,0.0148,0.0005,0.0289,0.8127,0.03,0.0796,0.2104,0.0254,0.0002,0.0001,0.0002,0.0003,0.0001,0.0,0.0104,0.0002,0.0002,0.0022,0.0003,0.0,0.0001,0.0
CMR_C30,0.0035,0.0015,0.0014,0.0026,0.0002,0.0001,0.0,0.002,0.0001,0.0,0.0024,0.0004,0.0009,0.0197,0.0008,0.0003,0.0,0.0,0.0001,0.0,0.1156,0.0,0.0,0.0099,0.0004,0.0,0.3295,0.1449,0.7262,0.1121,0.0194,0.0002,0.0001,0.0001,0.0003,0.0001,0.0,0.0095,0.0001,0.0003,0.002,0.0003,0.0,0.0002,0.0
CMR_C31T33,0.8853,0.2666,1.1549,0.3358,0.2394,2.0446,0.2593,1.0333,0.0068,0.1258,0.1856,0.0546,0.0093,0.0882,0.0213,0.0033,0.0016,0.1368,0.3484,0.2568,0.0467,3.0308,0.0864,0.019,2.5072,0.1585,0.2568,0.1019,0.1929,0.1952,0.0137,0.13,0.0961,0.1835,0.0611,0.1553,0.0162,0.0884,1.0439,0.9215,0.0217,0.0985,0.1267,0.1099,0.0
CMR_D,4.967,0.0398,0.6646,0.8369,0.0832,34.9287,7.5564,0.2971,0.5417,0.1784,1.0372,0.1696,0.4191,2.4204,1.3672,0.0873,0.0002,0.0326,0.0692,0.0013,0.0002,1.5857,0.042,0.0501,1.2231,4.0027,1.6038,0.204,0.3364,1.5813,0.1601,4.9378,1.555,3.9371,4.4595,3.1756,1.1346,1.5133,1.0877,6.4537,2.0456,1.1718,1.6139,2.1232,0.0
CMR_E,0.5433,0.0265,0.0526,0.4626,0.0064,11.0302,0.2638,0.0072,0.024,0.0001,0.0536,0.0122,0.293,0.9182,0.0024,0.0002,0.0,0.0009,0.0018,0.0074,0.0013,0.0882,0.1792,0.0087,0.3337,0.4468,0.201,0.0727,0.0637,0.2293,0.0163,1.8227,0.0592,0.0761,0.0973,0.0994,0.928,0.4284,0.0195,2.5593,0.9237,0.2488,0.4427,0.3877,0.0
CMR_F,9.3464,0.087,3.0397,0.0566,0.589,1.2235,0.2176,0.3212,0.1333,1.4854,0.4748,0.1457,0.0179,0.3748,0.0046,0.0005,0.0,0.0032,0.0069,0.0636,0.0114,0.2693,1.114,2.0587,4.8938,0.7484,0.1792,0.0184,0.0288,0.0931,0.0104,2.925,0.0388,0.1047,0.0653,1.6462,0.1541,0.0555,0.3017,3.0744,0.1343,0.5215,0.06,0.0655,0.0
CMR_G,58.3802,7.5845,22.0811,11.6817,3.8194,190.328,34.2297,32.614,4.5011,6.9776,24.4362,7.1811,3.8641,5.5552,5.7623,1.5538,0.338,0.6792,1.4838,4.9957,1.07,22.6101,1.4159,3.4973,104.7736,24.2165,38.05,6.926,11.421,8.1073,1.7906,64.7001,3.7908,2.4834,2.6878,6.3411,1.1684,4.2036,10.1496,76.6841,6.3666,6.9053,6.8256,9.8966,0.0
CMR_H49,64.1528,0.5624,5.9546,0.8203,0.7352,28.1026,6.1016,10.2434,0.3702,4.0128,2.326,0.6147,0.7003,1.499,1.2047,0.2994,0.0569,0.0972,0.249,0.6131,0.147,2.6955,0.6896,0.4574,17.6836,119.3975,2.8739,0.7828,1.1654,0.9449,0.1848,12.7888,0.3555,0.2275,0.3581,0.5,0.2162,1.3549,0.5338,23.18,0.7177,0.8629,0.9223,1.5688,0.0
CMR_H50,22.8251,0.1605,1.4611,0.2614,0.1615,2.7741,1.0986,1.8832,0.083,0.9818,0.422,0.1016,0.1407,0.3074,0.1872,0.0432,0.0082,0.0161,0.0379,0.0583,0.0129,0.2406,0.1449,0.0757,1.804,25.7356,0.3813,0.1949,0.1565,0.1683,0.0297,1.5252,0.0567,0.0364,0.0522,0.0968,0.0215,0.2225,0.0694,4.2621,0.1089,0.0969,0.1933,0.2565,0.0
CMR_H51,7.8275,0.0782,1.1416,0.121,0.1353,2.6966,0.8496,0.8211,0.0839,0.6771,0.4859,0.1256,0.0978,0.2503,0.2103,0.0505,0.0097,0.0187,0.0434,0.0634,0.0138,0.2202,0.1798,0.0831,2.0027,18.4316,0.4276,0.1149,0.212,0.1587,0.0339,1.9099,0.0743,0.0538,0.1051,0.2209,0.024,0.4573,0.0903,10.708,0.1911,0.1201,0.2166,0.3165,0.0
CMR_H52,47.0081,0.2428,2.1004,0.517,0.327,7.7869,2.6722,4.8818,0.1661,1.3023,0.5234,0.138,0.368,0.664,0.2317,0.0544,0.0096,0.02,0.0479,0.1089,0.0256,0.7025,0.141,0.1107,3.6148,152.6898,0.6357,0.2433,0.3218,0.4265,0.0354,4.4038,0.1816,0.1733,0.1356,0.2136,0.0373,0.7868,0.149,16.4031,0.1919,0.175,0.3687,0.5636,0.0
CMR_H53,10.2366,0.0178,0.4505,0.1267,0.0824,0.6162,0.4511,0.5146,0.0216,0.1129,0.0277,0.0114,0.0547,0.0825,0.0072,0.0013,0.0,0.0009,0.0021,0.0011,0.0001,0.0579,0.0159,0.0164,0.1928,53.871,0.0204,0.0049,0.0056,0.0227,0.0264,1.9676,0.0874,0.1295,0.059,0.3144,0.0008,0.6396,0.0346,13.8213,0.1232,0.0514,0.1895,0.2525,0.0
CMR_I,4.1318,1.3159,3.5479,5.7897,0.6658,8.3355,36.5989,0.6109,1.3959,0.9049,8.5459,3.6651,1.5725,2.0398,0.5174,0.0844,0.1273,0.0503,0.1126,0.0023,0.0004,0.9633,1.6141,1.4993,6.9196,146.0365,19.7961,5.6923,25.8281,15.2245,3.1114,2.642,3.2519,2.9685,3.5832,19.7375,0.0353,1.8838,5.4878,229.7376,28.7132,7.7105,15.351,23.0168,0.0
CMR_J58T60,0.2342,0.0036,0.9443,0.0584,0.1637,1.2172,0.2617,0.0275,0.0787,0.0083,0.1261,0.0502,0.031,0.0462,0.0137,0.0027,0.0,0.0025,0.0045,0.0,0.0,0.0648,0.0242,0.0052,0.6582,1.7126,0.7634,0.236,0.5121,0.8838,0.175,0.1531,4.1454,1.5153,1.0851,0.7298,0.3139,1.936,0.3745,1.0292,0.9015,0.4213,0.1925,0.2076,0.0
CMR_J61,0.5989,0.0086,2.7173,0.1532,0.4253,1.6162,0.4756,0.0578,0.0684,0.0151,0.1729,0.06,0.0666,0.0944,0.0347,0.0071,0.0,0.0044,0.0106,0.0001,0.0,0.1862,0.0517,0.0117,1.9897,3.6224,2.3397,0.5058,1.0416,2.1572,0.3668,0.2276,0.405,4.7077,0.7294,1.5803,0.68,1.8674,0.7251,1.8567,0.6271,0.9024,0.1415,0.326,0.0
CMR_J62_63,1.0165,0.0131,3.6673,0.2559,0.6645,1.9579,0.8385,0.1106,0.1379,0.0358,0.2426,0.0984,0.1435,0.2071,0.098,0.014,0.0001,0.0112,0.0218,0.0002,0.0,0.2362,0.1296,0.0208,3.8003,4.5548,3.3203,1.0201,2.268,3.2101,0.543,0.1569,1.1221,1.7267,6.0057,4.2148,0.7971,3.099,0.9635,4.7638,1.9042,0.9911,0.1768,0.6741,0.0
CMR_K,5.653,0.2802,18.5523,5.9826,2.2573,13.294,10.5682,1.1266,2.2101,0.7922,3.844,1.0588,1.0294,3.7342,0.5364,0.0817,0.0077,0.1037,0.2363,0.0526,0.0092,3.3204,1.5964,0.8368,10.1102,10.6957,13.605,4.387,6.1296,8.6426,0.7625,3.5871,2.8016,5.4111,7.9686,22.3294,11.6404,24.0888,27.4513,11.9846,7.2599,1.4059,2.2804,2.3699,0.0
CMR_L,1.8449,0.3102,0.2134,0.6919,0.0368,1.0573,2.956,0.0239,0.0223,0.0322,0.0593,0.0189,0.417,0.0924,0.0053,0.0011,0.0,0.003,0.0055,1.2765,0.2297,0.0195,1.2797,1.7136,2.4082,71.7773,0.147,0.0322,0.0706,0.2208,0.0183,10.491,0.0536,0.1024,0.0859,8.7377,0.1212,2.2472,51.3885,2.5134,0.0366,2.1323,0.7608,1.0907,0.0
CMR_M,37.0948,0.4393,20.3513,3.2036,3.4717,42.0164,11.1187,0.7154,2.6114,0.2571,4.3287,2.4695,4.4274,5.5159,0.3525,0.0522,0.0004,0.0853,0.1664,0.0009,0.0001,6.9364,4.356,0.8933,23.0214,6.4821,14.3641,5.0888,8.4822,16.5268,1.6138,1.6025,18.993,23.3685,24.127,22.3504,68.0633,68.4007,0.1113,47.0334,34.3236,9.7913,19.101,17.538,0.0
CMR_N,7.9855,0.1832,23.1729,1.9814,4.2401,7.6819,3.8288,0.942,0.4982,0.5363,0.6298,0.2835,1.2291,1.1182,0.0477,0.0083,0.0,0.0062,0.0114,0.0003,0.0,1.0006,1.4028,0.1452,13.4843,12.0148,7.8224,3.2672,6.7701,8.6953,0.7116,0.6708,5.1722,7.7675,8.5966,3.0846,15.8762,18.0797,0.0518,10.3004,3.539,2.1932,0.7214,3.7836,0.0
CMR_O,0.1931,0.0041,0.0037,0.0001,0.0006,1.2078,0.0397,0.3348,0.0002,0.0002,0.0619,0.0202,0.0002,0.0069,0.0009,0.0001,0.0,0.0,0.0,0.0,0.0,0.0152,0.0002,0.0007,0.4941,0.0114,0.001,0.0004,0.0007,0.0009,0.0001,0.5311,0.0049,0.0035,0.005,0.0011,0.0102,0.0053,0.0107,0.0357,0.0017,0.0175,0.0038,0.0052,0.0
CMR_P,0.3571,0.0052,0.2164,0.004,0.0258,0.8112,0.02,0.0147,0.0179,0.0274,0.014,0.0086,0.0032,0.0505,0.0009,0.0001,0.0,0.0007,0.0019,0.0,0.0,0.0095,0.0277,0.0014,0.5037,0.386,0.0845,0.0277,0.0651,0.0809,0.0112,0.0058,0.0648,0.0962,0.1931,0.079,0.0031,0.5173,0.6994,2.5608,0.1616,0.0264,0.0105,0.0071,0.0
CMR_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257,0.0,0.0,0.0
CMR_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2416,0.0,0.0
CMR_S,0.8231,0.1218,0.0,0.7614,0.0,0.4685,2.5407,0.0732,0.0007,0.0,0.0013,0.0003,0.0004,0.0332,0.019,0.003,0.0,0.0,0.0,0.0,0.0,0.0491,0.0,0.0051,0.0308,2.7764,6.1429,2.0844,3.6919,5.7044,0.7427,0.0659,0.0423,0.0284,0.0554,0.8186,0.0367,1.3051,6.7288,0.0978,0.1483,0.0103,0.2484,0.3981,0.0
CMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
