V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_C20,52.3143,1.071,0.1105,3.6986,0.1039,39.381,5.7971,0.6643,17.2502,37.514,288.7051,112.3031,23.475,6.2883,9.1283,13.7603,28.0495,1.4858,11.2286,1.3434,4.0342,4.575,3.4146,21.5673,65.1683,15.6828,0.1336,0.1383,0.1027,0.0956,0.176,2.1016,4.081,0.0,9.5244,0.8667,1.2178,22.9378,17.9567,18.646,4.346,5.3596,17.7794,0.0574,0.0
ISR_C21,23.952,0.0289,0.0044,0.0,0.0,50.5643,0.2825,0.0658,0.119,1.142,154.9588,524.6566,0.4445,0.0087,0.0163,0.0233,3.2495,0.0292,0.339,0.0,0.1138,1.6968,0.0588,6.1325,0.1835,0.4193,0.0047,0.0,0.0,0.0035,0.4285,2.1121,0.0722,0.0,15.8819,0.0024,0.087,3.5377,0.4151,21.188,0.3437,651.771,0.5246,0.1967,0.0
ISR_C22,17.8127,0.4206,0.0226,1.5473,0.051,80.8919,9.6454,0.6047,8.531,0.0515,21.4775,10.8257,31.489,4.2581,1.3644,10.1423,14.1844,7.2478,10.4355,2.59,2.4598,7.1961,1.3642,3.6574,48.5386,90.5049,10.7253,0.1569,0.1877,0.1081,0.4351,5.3015,0.3665,0.4547,3.4267,0.7876,0.6616,4.2559,3.0847,10.9472,0.2761,2.2053,1.4983,0.2347,0.0
ISR_C23,2.4479,0.0,0.0312,10.7808,0.2574,32.8292,3.4821,0.3912,0.3123,0.9253,18.3284,3.1659,1.8588,126.0012,11.1811,21.6642,12.0301,1.5567,4.2316,2.0501,11.3101,1.3971,3.0249,1.2008,892.5082,2.0044,0.7523,0.0541,0.0488,0.1221,0.0,9.6019,0.0641,1.2422,4.9607,0.288,4.8245,1.7348,0.7036,8.3841,1.1471,0.2951,0.4129,0.2417,0.0
ISR_C24,0.7105,0.0085,0.3688,1.2026,0.2636,13.915,0.2439,0.5451,0.7711,0.7882,5.5866,1.5015,7.288,4.0254,241.7682,179.3402,28.464,7.0576,54.9523,11.3871,39.9327,21.6116,6.8587,2.1296,184.5014,1.4081,1.902,0.0416,0.0458,0.5457,0.1918,0.2284,0.1342,1.8357,3.0516,0.1602,0.3635,3.5084,0.901,13.7127,0.049,0.0413,0.398,0.4284,0.0
ISR_C25,12.6226,0.1911,0.1327,1.4128,0.0187,52.9723,1.3861,1.9976,3.2499,0.7253,21.5666,3.9116,8.4622,6.5899,7.7433,95.2893,52.7181,59.9642,40.8344,3.2877,26.8374,10.0271,6.7993,2.5479,422.2043,19.8254,1.8242,0.2054,0.1635,0.2444,0.0195,3.4358,1.5612,0.945,1.7772,0.111,1.2519,25.9612,8.7471,22.945,1.0517,1.3575,8.777,14.9577,0.0
ISR_C26,0.5026,0.5435,0.7047,1.2723,0.569,14.2372,1.4843,0.1006,5.6755,1.5733,8.4378,12.5464,3.8682,4.8479,4.1244,10.4002,920.675,102.8537,61.7204,6.7625,355.1888,8.6152,3.6956,2.8462,159.3598,44.2862,5.4508,0.4561,0.5948,17.4429,0.1131,1.1377,2.7101,87.9116,303.3065,61.2229,2.7614,242.3342,60.8297,761.8681,15.9152,29.8132,8.5726,7.7897,0.0
ISR_C27,0.0201,0.0045,0.0146,0.3516,0.0052,1.9563,0.1243,0.0166,0.213,0.0348,0.9131,0.2594,0.3876,0.8915,3.3659,3.7215,21.576,16.3343,11.2451,0.777,5.4514,1.8079,1.0456,0.3613,69.5928,14.7887,0.2851,0.021,0.0183,0.4393,0.0036,0.0144,0.3611,1.996,5.4318,0.028,0.1405,4.3185,1.3196,56.4501,0.1228,0.1072,1.5521,1.2126,0.0
ISR_C28,8.7095,0.1858,0.5846,4.1289,0.3539,7.1851,0.8899,0.1166,2.2237,0.6795,7.5754,1.739,2.693,0.9914,2.872,6.2264,37.855,0.9813,60.3867,1.3976,9.8921,3.0307,9.3019,3.1159,58.1977,6.5198,1.0369,0.2908,0.2183,4.8553,0.0033,0.5498,0.5111,2.0035,20.4229,0.0659,1.3812,5.6456,2.1891,178.6935,1.8778,0.4593,1.6298,2.0908,0.0
ISR_C29,0.1415,0.0067,0.0001,0.0034,0.0,0.0024,0.0054,0.0,0.0001,0.0009,0.0791,0.0004,0.0081,0.0038,0.0497,0.0808,0.0593,0.0018,0.0614,7.8049,0.0217,0.0086,0.0278,0.1087,1.4394,10.4412,0.9201,0.0005,0.0006,0.0111,0.0012,0.0043,0.0012,0.0907,0.0062,0.001,0.0161,0.0098,0.0079,0.7982,0.0402,0.0084,0.0064,0.0108,0.0
ISR_C30,0.8069,0.0,0.0,0.0164,0.0,0.0614,0.0272,0.0001,0.0037,0.025,0.0414,0.087,0.0717,0.0128,0.0284,0.1564,25.2501,1.6236,5.3551,0.4072,311.6732,1.2642,0.0238,0.0703,8.9174,15.4298,1.2462,65.8528,48.1014,0.6792,0.0023,0.0041,0.4564,0.1701,0.6276,0.0006,0.1203,1.3964,1.4213,362.3227,0.0656,0.0056,1.8982,0.7142,0.0
ISR_C31T33,1.2384,0.0253,0.0037,0.3866,0.0035,8.198,17.5275,4.6307,1.644,1.1604,14.6811,25.2868,4.0719,2.2363,1.0988,7.106,24.3141,5.4693,2.7843,30.9339,9.2582,796.1098,2.0902,5.3968,90.5434,11.3988,1.7244,1.0624,1.1357,2.5625,0.8458,3.6483,4.9448,2.0167,15.7397,5.1609,5.0424,22.1753,11.6345,37.2757,45.244,151.7744,19.0427,29.0858,0.0
ISR_D,264.6214,0.6766,0.5454,20.7395,0.5427,123.1936,13.3985,1.328,15.8779,37.4478,102.0408,21.8299,47.9188,22.2384,27.3952,19.5444,55.2959,4.0184,14.9057,2.2344,11.2484,4.0629,184.4134,38.3247,42.0263,112.693,7.4189,1.1075,1.5585,37.8528,0.1449,149.0009,5.8605,24.1327,30.1161,9.0102,67.1236,67.328,23.583,164.6894,67.3521,41.376,19.1231,33.0748,0.0
ISR_E,81.2084,0.2155,0.2541,6.7461,0.2266,38.4763,4.1723,0.4196,9.1869,13.0476,32.6323,6.7085,14.7458,6.9736,8.9221,6.9537,17.2564,1.3764,5.0132,0.7608,3.651,1.2822,36.089,432.8754,14.2952,36.2915,2.2762,0.6432,0.4909,11.6745,0.0467,68.0117,1.8677,7.741,16.5753,4.0534,21.3306,20.4043,8.7759,61.6859,21.5564,17.0187,8.2892,10.7033,0.0
ISR_F,4.8408,0.0,0.2496,35.9417,0.4569,72.0423,10.9687,0.088,27.0196,22.0469,96.8403,20.2759,14.433,20.5033,2.8432,24.9485,42.6037,9.2724,14.4601,0.9884,3.9524,3.3046,26.6081,74.3202,43.5416,196.3705,11.0782,4.5786,4.7023,67.5034,1.8746,121.8629,44.2853,22.62,51.1884,137.8823,971.2079,137.5477,53.9644,838.7159,268.2774,122.0555,228.5895,370.445,0.0
ISR_G,180.732,3.8582,0.807,28.3792,1.0437,786.4569,120.0134,16.3029,85.5957,468.1137,290.4526,216.3024,187.433,101.0745,68.2962,89.9092,456.4041,57.4167,85.8588,37.2732,122.3213,267.2314,127.0667,79.8108,724.3151,359.3072,230.0997,39.1082,64.6265,15.0303,4.2088,228.5487,53.3525,39.8209,159.3386,34.4826,29.8282,197.2949,122.8212,450.3674,48.4173,251.7331,158.8285,29.3109,0.0
ISR_H49,62.2166,0.5151,1.6845,1.4656,1.9185,16.8702,3.4982,3.8017,2.3426,148.5082,10.468,3.3113,4.7482,73.1157,3.2347,3.2491,9.4941,12.4618,5.2724,0.7053,2.7198,23.7786,48.0037,30.5651,281.1074,346.8774,528.0289,126.1927,97.3486,20.9656,1.7367,56.6259,23.8986,8.1404,17.4554,39.1701,3.1816,52.8909,22.3689,478.9384,498.2251,51.1955,100.8325,73.3715,0.0
ISR_H50,9.1512,0.3356,0.1037,2.5824,0.1659,33.0605,4.8381,1.343,5.3517,80.5654,22.4136,6.8759,9.7636,12.3413,7.1793,7.216,19.895,3.054,6.444,1.6961,6.2942,46.7704,15.4719,5.4861,56.6728,24.2067,9.8844,32.3871,9.0208,0.8048,0.3971,6.6095,2.093,1.5955,5.5395,4.2934,1.0366,6.6168,4.3967,24.9664,1.616,6.6622,5.2945,0.9328,0.0
ISR_H51,1.2725,0.0655,0.0205,0.4674,0.0337,5.346,0.9074,0.2674,0.8846,17.0491,2.5562,1.2499,1.7565,2.1584,1.4673,1.4602,3.8541,0.5533,0.9014,0.3196,1.1078,9.0089,2.7846,1.0078,11.0266,1.3242,1.5709,0.0596,0.0087,0.002,0.0024,1.1732,0.385,0.1659,1.0845,0.052,0.1568,0.7796,0.399,3.1759,0.2663,1.1625,0.954,0.172,0.0
ISR_H52,9.5238,0.205,0.0445,1.791,0.0594,29.3522,3.0074,0.7196,4.1431,26.9402,30.2041,4.69,6.8203,9.0116,3.7247,3.7495,10.7572,2.0234,2.7203,0.9141,3.131,29.2768,8.8908,3.2879,35.1783,222.3569,8.3364,327.7065,338.207,0.6288,8.3123,6.4021,1.4207,1.1406,3.7393,2.8964,0.9829,5.051,9.9526,21.7139,1.0883,4.3276,3.7824,0.8155,0.0
ISR_H53,1.7359,0.0032,0.0047,0.2645,0.0108,3.0952,1.0712,0.0321,1.047,0.4082,3.6848,0.6636,1.5668,0.2722,0.306,1.661,17.6564,3.4481,3.1398,0.0996,2.2673,4.3815,0.688,2.6018,5.2937,26.5814,1.4326,0.7001,0.7225,2.5711,115.6211,4.8735,5.7616,40.213,18.7499,27.6256,10.4286,32.982,12.3038,15.5177,4.5768,3.6513,6.7202,1.8126,0.0
ISR_I,0.0988,0.0021,0.1027,1.2217,0.2173,32.3406,0.5652,0.1549,2.1801,0.0614,0.6253,2.4836,0.9772,1.7446,2.9819,11.2757,3.5585,1.8675,15.7608,2.0868,2.2536,6.0586,4.5909,1.6569,2.148,59.5459,7.3886,0.8445,2.4752,0.008,0.1436,56.0551,13.4841,9.1175,20.606,332.0605,12.0886,147.907,34.7136,44.4564,35.4899,15.9794,50.7478,23.0985,0.0
ISR_J58T60,0.1123,0.0003,0.0009,0.0674,0.0021,2.5783,0.3627,0.0167,1.9724,0.3226,1.0555,0.0311,0.1335,0.0843,0.1097,0.1342,4.821,0.304,0.7048,0.0242,0.9615,0.1936,0.6881,0.4418,2.5824,11.2846,0.2323,0.0803,0.1263,0.473,1.8293,14.7977,115.9759,25.4081,10.5682,4.9217,4.156,180.9292,20.0735,9.1626,11.0349,1.3766,342.0757,13.6419,0.0
ISR_J61,1.3114,0.0194,0.0159,1.1707,0.022,18.7602,4.0862,0.2112,1.9474,4.3735,21.6718,5.1026,3.9551,1.268,1.5249,6.8451,64.2101,1.7309,7.9814,0.626,13.7158,6.3402,2.4414,6.229,27.3727,141.2327,16.1658,2.6221,4.5742,13.1173,0.0713,27.6891,12.965,242.0279,109.442,121.4454,43.6015,146.3479,58.6959,49.6875,14.5191,11.919,37.7684,10.4231,0.0
ISR_J62_63,6.9157,0.0206,0.151,0.5981,0.1884,45.3434,9.4315,0.1214,3.1094,7.6433,20.5186,7.2614,6.0158,4.396,1.8367,3.5455,274.5858,6.8441,17.3096,0.3255,39.4917,13.927,37.0489,21.2655,42.6167,139.9659,3.6739,1.7665,2.6476,41.6632,0.6687,6.5582,27.3663,48.9349,1052.6705,54.6545,21.9883,167.5002,41.8182,253.4086,135.9872,90.8052,63.409,67.3352,0.0
ISR_K,166.7923,0.9539,0.1239,22.6806,0.707,197.5856,23.6748,3.6346,28.5939,27.9673,100.3021,57.3277,56.471,22.6724,31.7995,83.8287,387.9289,0.9271,84.6803,10.1959,33.4636,18.4836,69.764,63.2594,370.8936,939.7767,169.1857,27.7893,35.6922,135.103,2.9903,123.5182,34.9806,166.0483,134.2102,1402.3456,763.5085,804.1118,323.7887,187.0303,106.0901,70.4536,66.7218,26.6639,0.0
ISR_L,7.1401,0.0654,0.2455,21.7163,0.3392,90.1709,24.6726,1.1075,24.5136,4.9222,24.1684,16.8278,25.989,10.9916,8.7715,32.8593,84.4659,8.8575,20.3595,5.4695,2.5224,8.6752,5.4109,65.5328,59.1343,763.8892,47.2438,0.5017,0.6635,133.1591,0.1684,334.2814,28.7579,43.1379,96.6587,243.585,769.8217,395.767,161.7459,126.2864,54.4661,82.7863,82.4395,19.0451,0.0
ISR_M,143.5993,1.4474,0.0487,30.9027,3.9236,458.317,57.2391,2.9791,36.0799,18.2028,253.1299,124.3504,71.6393,31.9333,36.2438,88.5524,377.9279,19.353,119.8107,12.4299,93.0334,58.8978,126.3075,79.1526,1443.5299,1248.6723,122.338,20.4037,26.9102,257.354,6.4907,487.2082,156.2881,263.3752,455.4332,609.4741,698.52,1860.028,471.5142,544.4564,151.2148,144.6618,352.8553,183.7162,0.0
ISR_N,48.0953,0.0012,0.2343,17.9932,2.2895,236.1096,12.4723,1.8592,26.526,2.0656,91.3373,20.4173,42.9378,18.6458,16.6488,47.3931,338.4347,3.4215,95.5984,6.5194,25.6163,15.6128,40.8759,130.3525,162.4008,492.3848,82.3702,47.4142,73.8707,138.5651,8.0198,170.4842,38.9015,145.25,150.4679,270.7747,252.2301,359.1604,164.0396,311.9709,328.6746,83.0149,128.1103,118.7179,0.0
ISR_O,3.1043,0.0,0.0065,0.1959,0.0097,14.7389,0.0,0.0114,0.0257,0.0,0.7574,0.0123,0.9086,0.2634,0.0,0.1148,0.0878,0.0097,0.0564,0.0153,0.3323,0.0157,27.1789,8.6013,0.0382,3.8995,0.1066,6.5563,8.6203,4.0897,0.0456,4.3405,5.5448,0.3052,1.4907,73.0953,23.7804,0.4862,1.2297,99.3521,15.7427,20.2257,22.4623,6.5048,0.0
ISR_P,0.0,0.0,0.0104,0.0578,0.0151,0.8065,0.1009,0.02,0.082,0.1391,0.5919,0.5434,0.4678,0.0122,0.0317,0.216,3.3659,0.1148,0.7898,0.0323,0.371,0.2477,0.2384,0.4233,0.2535,3.2119,0.3553,0.0385,0.0773,0.0,0.1467,0.1981,1.0216,0.644,15.019,1.015,0.4222,5.0222,1.2239,14.2426,48.806,2.3065,5.2404,1.7039,0.0
ISR_Q,0.0034,0.0,0.0001,0.0674,0.0001,2.0108,0.0047,0.0242,0.0171,0.0038,0.0102,1.0168,0.003,0.0022,0.0316,0.0018,0.1478,0.0034,0.0086,0.0002,0.1986,0.0071,1.0656,10.6091,0.2107,7.1305,0.2886,0.0537,0.0521,0.587,0.01,0.3027,3.5994,0.72,24.511,292.3234,1.5535,9.2769,1.5414,155.23,20.4311,2877.8443,31.4615,11.7838,0.0
ISR_R,0.0,0.0,0.0,0.0,0.0,0.7106,0.0543,0.0,0.0,0.0882,0.3986,0.0,0.0097,0.0,0.0,0.0303,0.1635,0.0724,0.0,0.0,0.178,0.6162,0.1048,0.0308,0.1507,1.2797,5.6926,0.0,0.0,0.0,0.0,4.2862,18.268,4.1734,2.0592,0.3627,0.3132,61.078,19.1274,25.2575,13.5422,13.5932,101.5057,6.6489,0.0
ISR_S,7.45,0.1522,0.0015,0.0473,0.0034,1.948,3.1434,0.0624,0.2831,0.0198,0.2167,0.2254,0.2328,0.1247,0.1525,0.4222,0.6337,0.1629,0.1697,0.0617,0.0666,0.5807,2.5534,1.0266,0.1203,53.2964,2.4461,2.7984,3.6796,1.7827,0.0217,75.0484,13.2643,0.8135,1.4244,4.3138,6.4836,9.8962,11.2085,67.2946,56.0483,9.0787,64.863,16.4935,0.0
ISR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
