V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_C28,4.0024,0.0016,9.5974,8.5562,2.1496,1.6191,1.2146,0.0065,0.0224,0.2191,0.0761,0.0009,0.1276,0.146,1.1767,0.24,0.0028,0.002,0.619,0.2252,0.7212,2.7478,1.2277,0.4475,6.4181,1.0975,3.9767,0.4967,0.001,0.7755,0.0089,0.2859,0.0038,0.2503,0.0025,0.169,0.0061,0.1916,1.5304,0.0513,0.1137,1.7222,0.0267,0.3025,0.0
KAZ_C29,0.51,0.012,0.0976,0.4376,0.0163,0.1412,0.0014,0.0036,0.0108,0.0067,0.1028,0.0001,0.0049,0.023,0.0459,0.0305,0.0022,0.0015,0.0051,0.4692,0.2732,0.1497,0.0851,0.0872,0.0817,0.6804,1.5497,0.0155,0.0051,0.114,0.0657,0.1821,0.0197,0.0278,0.0132,0.0438,0.0389,0.232,0.1966,0.0488,0.2006,0.5262,0.0164,0.0049,0.0
KAZ_C30,0.0533,0.0,0.0012,0.0005,0.0001,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0005,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.2289,0.0008,0.0118,0.0012,0.0001,0.0004,0.0,0.0749,0.2817,0.1051,0.166,0.0,0.0095,0.0002,0.0025,0.0001,0.0,0.0002,0.588,0.8157,0.1008,0.0041,0.0499,0.0032,0.003,0.0
KAZ_C31T33,14.6635,0.0913,67.7704,25.9681,10.342,5.3494,1.0892,0.0014,0.7206,6.3957,0.0899,0.0032,0.0445,1.056,21.3178,0.7966,1.8254,2.5971,1.4772,0.4856,2.4101,7.4975,12.3559,3.2842,18.7441,113.1937,205.5868,2.1673,32.4634,27.8368,1.1408,6.9601,3.5502,24.1024,1.1922,2.3477,0.5526,3.1285,70.6668,13.1082,11.7106,39.0627,2.4409,0.8306,0.0
KAZ_D,106.6617,1.7149,134.9875,43.4642,2.651,71.9353,5.2042,1.4516,5.4147,49.9803,11.3231,3.5277,4.1293,21.899,65.1226,3.0708,10.8262,1.4465,2.2228,0.8845,7.0294,12.5793,19.5225,31.6905,110.557,122.0459,98.6339,4.0783,0.2806,70.9455,3.9237,74.0074,7.6962,21.7253,5.0204,6.4304,33.646,71.7219,28.8234,18.0668,127.9054,150.339,12.1655,68.5101,0.0
KAZ_E,4.0638,0.0004,132.0792,53.4942,0.2721,1.4065,2.3274,0.0519,0.0875,0.2306,0.996,0.0185,1.1647,0.5693,2.4787,0.0746,0.0465,0.0155,2.1207,0.0012,0.083,1.7685,28.2619,16.6478,6.9621,1.4233,6.1624,0.2569,2.8264,0.1732,0.0156,2.1926,0.1052,0.3033,0.0541,0.0352,6.8884,1.463,3.3413,24.9916,18.9296,15.1596,0.9676,8.2064,0.0
KAZ_F,84.8695,0.0,182.1738,29.0062,12.8757,13.0595,0.0476,0.0488,0.0001,2.8184,0.0002,0.357,6.3049,12.6175,17.9286,0.9927,1.6897,0.0104,1.9184,0.0039,0.817,1.4773,355.2696,19.8675,1222.8421,458.3038,119.6727,1.5301,0.1056,56.7983,0.2098,14.537,1.6764,36.7271,1.2367,20.8141,171.5522,486.3339,7.97,2.2455,400.2365,173.1384,8.3198,0.5606,0.0
KAZ_G,479.6568,1.2303,757.9645,170.6927,32.7764,251.4836,25.6184,2.7665,15.8394,192.4103,52.1228,6.5198,29.3759,67.8911,661.3112,32.0206,3.7462,14.7356,21.9949,9.252,18.5679,53.236,120.3774,23.4708,566.8012,390.687,253.2428,6.853,44.2925,51.0365,3.1769,72.3566,16.0739,31.9266,7.9875,31.0915,58.8283,57.9899,48.094,85.3027,134.32,173.4671,8.9608,16.2663,0.0
KAZ_H49,161.5955,0.383,581.001,102.4563,21.119,82.351,9.0065,1.0856,5.0742,88.722,23.4602,1.6504,7.6709,33.262,243.6907,12.3291,1.3599,4.901,7.6383,4.214,5.3129,36.4896,50.3959,11.4247,221.4029,295.6034,88.7844,1.9464,8.1721,15.221,5.3464,35.6309,8.1554,7.9403,4.8683,13.2634,11.0647,31.5961,53.2918,56.2967,40.6813,43.1629,9.8118,14.303,0.0
KAZ_H50,2.8962,0.0079,7.6448,1.407,0.2435,1.5704,0.2198,0.0309,0.1459,2.8623,0.377,0.0532,0.2456,0.4344,5.0354,0.2375,0.0342,0.1106,0.1764,0.0756,0.1565,0.4941,0.9124,0.1715,4.578,4.3556,1.7438,0.1207,0.2615,0.3083,0.023,0.477,0.1204,0.2228,0.0603,0.294,0.4893,0.4893,0.391,0.504,0.8957,1.2808,0.0772,0.1349,0.0
KAZ_H51,5.198,0.0078,122.6314,2.7721,0.3217,1.4753,0.207,0.0334,0.1633,1.412,0.4274,0.0846,0.3786,0.483,7.6937,0.3614,0.033,0.1435,0.1768,0.1246,0.1537,0.5581,0.8278,0.1773,21.6934,33.9019,3.4921,0.1585,7.9923,1.8403,1.6194,0.6367,0.2949,4.6765,0.1992,18.0649,0.581,9.4494,13.7906,17.7368,5.2627,3.344,5.0198,0.1439,0.0
KAZ_H52,88.6665,0.5262,193.5619,24.5677,5.0904,27.0521,0.7587,0.0852,0.6421,6.6546,2.3702,0.1454,1.1175,8.729,27.6472,1.0624,0.187,0.472,0.5637,0.2239,0.4072,4.4174,3.3475,2.328,40.8379,732.0101,166.4274,1.9441,13.2421,28.8539,0.9766,16.0171,1.8615,15.6356,0.7303,7.5761,1.7367,17.1648,9.6733,11.2666,18.3574,23.6986,0.6449,0.326,0.0
KAZ_H53,0.0362,0.0004,3.2434,0.0307,0.0648,0.1369,0.0145,0.0011,0.0197,0.0136,0.0085,0.0065,0.0044,0.0383,0.4106,0.043,0.0033,0.0118,0.0045,0.1171,0.0058,0.0621,0.2397,0.372,0.5927,7.0138,0.3756,0.0887,0.0067,0.0365,0.0804,0.0511,0.5086,1.9726,0.1982,1.4591,0.5574,24.8579,1.0674,0.6539,1.6029,0.2437,0.052,2.9552,0.0
KAZ_I,0.1915,0.0,46.4133,3.8745,6.4412,2.3911,0.1896,0.0003,0.1982,0.6514,0.1855,0.0479,0.0131,0.2368,3.5797,0.0074,0.0095,0.0418,0.0005,0.2287,0.0034,2.36,0.4204,0.0595,14.9017,17.0979,8.3542,0.8976,1.0438,0.1815,0.1391,4.7624,0.4704,3.0294,0.2194,3.7271,24.5197,18.8743,67.851,13.8038,21.7092,19.3767,3.4553,41.6383,0.0
KAZ_J58T60,0.0095,0.0,7.6418,1.0764,0.0007,3.3244,0.012,0.0,1.7465,0.4763,2.3177,0.1965,0.0002,0.3571,0.2163,0.1044,0.0,0.0015,0.0001,0.0617,0.0498,0.0808,0.4447,0.0078,11.9896,159.4064,5.2253,0.2751,1.076,0.7333,0.4368,1.0667,25.9618,11.847,4.6328,6.7219,13.9392,11.3162,5.2463,15.7828,18.4757,1.1906,4.8652,0.264,0.0
KAZ_J61,42.9745,0.1254,189.7392,18.8213,9.9395,14.8038,1.0948,0.3305,2.4846,1.2069,1.7406,0.1648,1.3121,10.5523,11.954,0.8312,0.5782,0.2715,0.3383,0.5429,3.7267,23.2229,5.2932,5.6808,68.9493,57.9869,74.3972,3.3363,10.2549,14.9466,3.1416,31.7321,29.3892,52.9805,17.3782,16.74,33.0943,141.6418,67.7341,24.2242,66.666,90.7737,8.1512,24.24,0.0
KAZ_J62_63,0.1159,0.0087,72.1047,0.176,0.1134,0.3259,0.006,0.0001,0.0011,0.357,0.0237,0.0034,0.0039,0.3675,0.2133,0.0029,0.0282,0.0098,0.0075,0.0494,0.0118,1.2727,3.5407,0.5458,6.6419,6.6184,2.2523,0.2316,1.039,0.6379,0.0017,0.0668,8.2944,18.2728,1.3061,7.6883,0.9933,12.5212,5.8994,18.6728,1.4609,1.1893,1.0431,1.0141,0.0
KAZ_K,66.4146,0.2144,576.7326,37.2114,8.2134,13.3782,3.2846,0.1184,1.915,1.1465,1.4646,0.071,1.1285,6.3482,34.4742,0.432,0.4684,0.2431,2.18,0.3878,2.0518,18.7778,3.0799,6.135,55.4764,416.4471,77.1041,2.5184,10.3853,45.2427,0.6013,11.4164,5.9782,79.6389,4.7776,70.5422,28.1453,160.542,85.8375,65.5643,23.6762,62.4801,3.7404,1.3229,0.0
KAZ_L,3.8546,0.0702,22.3206,15.2074,6.0555,10.2381,0.7806,0.2126,0.7696,1.165,0.7578,0.4688,0.1276,8.0302,3.0604,0.1325,0.2474,0.4419,0.8526,0.4875,0.014,12.8372,1.4918,3.399,19.2299,36.6927,41.0531,1.6521,9.0236,14.3019,1.6554,20.369,11.3006,9.1715,7.0203,19.6327,5128.0796,112.8787,58.5241,3.0723,39.6842,39.4457,7.2391,5.1568,0.0
KAZ_M,88.8849,0.2653,582.4548,84.7552,23.0118,63.6967,1.4903,0.2174,2.0591,6.6284,1.9925,0.6521,1.9854,7.0796,60.2488,0.6106,0.3964,0.19,0.3459,1.2737,0.1162,16.1504,14.2614,3.1102,80.5062,449.11,63.1379,1.1465,4.5002,44.7353,0.8616,31.8664,27.8346,86.8633,9.9783,137.7396,149.5251,431.7207,283.1825,260.4289,32.9445,34.9501,10.5143,21.6293,0.0
KAZ_N,79.2465,0.3312,204.4728,45.676,41.7865,15.4341,1.4272,0.4365,2.1771,7.9054,1.6334,0.5028,0.7842,8.1723,29.7191,1.1743,0.9335,0.0668,0.8245,0.3947,1.2397,9.7585,7.941,7.6596,125.3169,297.9981,270.7899,9.6142,1.6074,128.4911,1.5281,78.056,6.2465,27.2614,3.0064,59.2574,145.1335,101.1552,68.2517,78.3314,36.6643,68.1544,25.3777,4.372,0.0
KAZ_O,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
KAZ_P,0.0506,0.0,7.19,0.9743,0.6672,0.3819,0.0029,0.0001,0.0009,0.0003,0.0304,0.0,0.0168,0.1143,0.3965,0.0075,0.0103,0.0142,0.0749,0.0439,0.0026,0.2807,0.6634,0.0522,0.3609,0.3463,1.2041,0.8136,0.7538,0.731,0.0,0.0372,0.7329,1.1705,0.7838,1.1204,0.3992,12.3265,22.4377,7.1548,2.1908,5.2518,0.2255,0.0084,0.0
KAZ_Q,0.0135,0.0,3.1945,1.3868,0.1348,0.5439,0.0028,0.0,0.0058,0.2062,0.0039,0.1193,0.0039,0.0118,0.4538,0.0347,0.0,0.0026,0.0164,0.0,0.1185,0.2716,0.3283,0.0699,0.5607,0.3581,1.5382,0.0018,0.0364,0.2354,0.0001,0.0444,0.0187,0.0042,0.0095,3.7714,0.2792,0.6353,1.1969,2.4891,0.3603,117.3724,2.3502,0.3463,0.0
KAZ_R,0.0376,0.0,21.6795,0.3188,0.5707,0.0,0.0012,0.0,0.0001,0.0011,0.0076,0.0,0.0002,0.0005,1.1306,0.0,0.0005,0.0,0.0,0.0,0.0,0.0164,0.0322,0.0039,0.6884,0.0037,0.1233,0.0566,0.0005,0.1662,0.0047,3.5797,0.0445,1.2914,0.0123,0.7857,9.3198,8.1174,2.8587,14.1952,12.2333,0.0514,17.9527,0.9638,0.0
KAZ_S,0.0117,0.3287,2.2655,4.4224,0.0174,0.0113,0.0003,0.0014,0.0049,0.0786,0.0215,0.0423,0.0065,0.0044,0.1056,0.001,0.0092,0.0001,0.0026,0.0,0.0037,0.4346,0.4447,0.0689,2.584,1.4451,2.7373,0.0126,1.2384,0.8701,0.0517,1.1527,0.2245,3.5857,0.1595,1.7183,0.4255,1.6537,2.238,1.105,11.634,2.7627,14.2233,0.0239,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
