V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_H50,8.828,3.3771,2.6315,0.3515,0.0375,18.8191,5.056,1.567,1.4903,2.3032,4.5577,0.3835,2.3135,2.957,2.7989,2.2089,1.9956,2.9603,2.4093,2.6223,0.9053,3.595,1.4225,0.1279,9.9063,11.0574,0.9229,1.8763,0.2254,0.1935,0.0118,2.0539,0.1657,0.7643,0.0487,0.2154,0.279,2.6874,1.2814,0.2626,0.1647,0.7097,0.2304,0.269,0.0
VNM_H51,2.9375,2.0125,0.6867,0.1565,0.0109,2.6971,5.5154,0.3382,0.727,3.2557,2.0227,0.2768,1.6611,0.9904,1.853,1.6986,2.4624,4.3776,0.4582,0.833,0.6457,0.9276,0.0271,0.0299,2.2415,0.0329,0.9444,0.4878,0.039,0.0084,0.0046,0.4737,0.0227,0.3609,0.0091,0.0265,0.0219,0.0466,0.0372,0.0094,0.0112,0.4862,0.0216,0.1041,0.0
VNM_H52,15.3306,2.6963,2.4903,1.8196,0.0276,27.5666,10.1494,6.5919,4.5248,1.6916,7.404,0.3018,3.9297,5.6335,3.0865,5.3196,2.2958,2.5433,3.9603,5.0651,8.9164,9.9331,1.0316,0.1912,15.7629,41.6683,41.3337,36.2478,21.8689,54.2805,0.4928,1.6364,0.3096,0.8782,0.2168,0.206,0.5299,0.5468,0.4233,0.1666,0.2096,0.3241,0.2266,0.5365,0.0
VNM_H53,0.5924,0.0224,0.0976,0.1153,0.0461,0.3499,0.587,0.2059,0.147,0.0097,0.1453,0.0524,0.2558,0.1237,0.0979,0.3567,0.0358,0.0585,0.2269,0.092,0.062,0.8271,0.0416,0.0571,0.5651,5.7385,0.1508,0.0308,0.0083,0.1483,1.0002,0.7163,0.2234,0.4557,0.1928,1.2661,0.2178,0.9496,0.3775,0.8114,0.2853,0.0898,0.0903,0.124,0.0
VNM_I,37.4138,5.4889,4.8595,1.4901,1.8948,12.995,7.0287,4.6256,3.2372,5.9662,2.6073,2.2225,3.3848,4.4577,2.8298,6.398,2.4786,0.8622,3.9886,1.5403,3.5632,10.4518,1.5426,1.1826,36.4775,69.0011,7.9707,2.4478,0.6009,9.9388,0.4859,12.2136,3.8999,3.5817,4.3274,21.6672,8.5988,21.2582,17.8115,26.6618,11.0426,3.4354,3.9216,4.0084,0.0
VNM_J58T60,1.7584,0.2055,0.3362,0.1275,0.0032,2.8501,0.4085,0.1866,1.584,0.1034,1.9998,0.1981,0.402,0.7289,0.3763,0.5647,0.2188,0.1349,0.4146,0.1182,0.0614,2.8581,0.0626,0.0595,1.3199,12.4498,0.8381,0.7471,0.0181,0.1265,0.0188,0.8465,26.876,1.9182,0.5789,6.6137,0.9225,33.8973,0.4514,6.9178,7.0516,0.8348,7.1622,0.4844,0.0
VNM_J61,34.7577,5.984,81.6335,0.7953,1.1184,7.2411,7.189,3.5004,2.0061,1.8352,2.5575,0.7263,2.0242,2.8535,1.376,2.8032,1.4479,1.6213,3.4525,1.8697,1.8377,7.3147,1.3478,0.7512,14.9594,30.8284,4.9938,1.2688,1.9832,4.934,0.6841,20.4865,2.7709,148.5613,7.1057,31.1102,10.1603,10.1504,1.8927,8.5095,6.0711,2.6331,2.1213,2.8603,0.0
VNM_J62_63,0.5166,0.0623,0.3805,0.0121,0.5578,0.5522,0.279,0.1066,0.3682,0.0145,0.5921,0.1313,0.2043,0.1096,0.3437,0.3785,1.124,0.0686,0.1824,1.7954,0.4489,0.3071,0.0671,0.1338,0.824,5.5671,0.2624,0.0219,0.2959,0.3435,0.0192,0.3768,0.4285,68.7663,20.3576,3.8261,0.5212,2.6769,0.9338,2.0095,0.806,0.2314,0.1428,0.1344,0.0
VNM_K,61.0604,19.2384,79.6543,3.9578,0.2681,39.9863,40.1238,18.9916,36.444,13.3172,16.0074,2.4901,17.6442,14.1743,13.9638,28.1654,6.2861,4.4013,17.6596,6.1438,83.1393,40.1162,2.5691,2.5159,111.0712,325.4903,20.7893,11.2229,15.1177,15.0568,2.1371,98.2774,2.1903,38.8271,2.8276,599.8029,13.8073,18.4918,10.1297,16.5798,4.0405,2.546,2.4933,7.4232,0.0
VNM_L,4.5139,10.214,2.9624,0.464,0.0237,4.1129,9.1911,2.0834,1.0748,1.5075,1.1177,0.3615,0.8325,1.6036,0.7874,1.5028,2.9978,0.4178,3.4207,1.0982,0.1995,7.8909,0.0527,0.2936,10.3467,252.465,1.8116,0.663,81.8889,3.8659,0.2787,14.1248,0.6314,0.5921,1.9258,19.2341,12.938,32.5883,8.0287,2.2672,5.4845,0.2927,0.7333,4.0627,0.0
VNM_M,29.2823,2.1938,143.7037,5.2264,13.5187,62.5619,5.2711,3.1578,9.901,2.0191,27.7266,5.6944,3.8063,4.8289,4.915,10.0626,3.9955,3.8623,7.1263,23.4988,4.6716,12.4081,0.9879,2.1613,46.8737,226.8297,4.9071,2.8152,5.0757,4.1039,0.327,25.6627,6.5533,8.1451,4.7266,33.8881,21.5721,82.9172,12.5265,9.0267,9.1847,1.1089,3.3915,3.2069,0.0
VNM_N,10.6289,0.3234,28.9912,0.3012,0.0303,9.5045,7.0942,1.6169,0.9853,0.5257,1.3889,0.5102,3.7887,1.4843,1.1399,4.4383,1.6166,0.7443,2.0234,2.1473,0.1637,4.6428,0.4403,0.3352,52.422,81.4221,7.8739,1.5804,8.8914,13.1128,0.1971,3.503,1.2019,1.679,2.5226,4.9827,9.2069,13.9111,8.4362,3.1365,2.1977,2.5715,1.4066,0.5861,0.0
VNM_O,0.091,0.0111,0.1412,0.0376,0.0019,0.0959,0.193,0.0307,0.0158,0.012,0.0496,0.0054,0.0279,0.0571,0.0254,0.0254,0.0007,0.0035,0.084,0.0246,0.0035,0.0304,0.0411,0.0051,0.1032,1.143,0.0674,0.0147,0.0501,0.0074,0.0001,0.0574,0.0254,0.0236,0.0158,0.0383,0.0665,0.1085,0.0703,1.0408,0.2532,0.108,0.0479,0.06,0.0
VNM_P,3.5704,0.287,11.5703,0.1034,0.7616,1.501,0.7861,0.1956,0.197,0.1881,0.3345,0.1396,0.3228,0.3187,0.1372,0.7093,0.4655,0.0806,0.3982,0.109,0.02,1.1651,0.5805,0.034,1.8061,6.1781,0.581,0.0793,1.1177,0.2185,0.0043,0.4447,0.9147,2.3729,1.5652,3.5256,1.2125,2.2189,0.9751,8.3458,17.1386,1.0588,0.6722,0.3183,0.0
VNM_Q,0.7888,0.2438,0.3009,0.0736,0.0,0.6,0.6011,0.0948,0.0572,0.0594,0.2177,0.0981,0.207,0.1304,0.0864,0.1964,0.0617,0.0491,0.179,0.1137,0.0354,0.3299,0.3913,0.0366,1.263,1.0918,0.2522,0.0655,0.0886,0.1193,0.0202,0.2098,0.0449,0.0552,0.059,0.6009,0.2654,0.2914,0.0987,3.2043,1.1534,5.0427,0.4509,0.1313,0.0
VNM_R,0.1993,0.0001,0.0002,0.0002,0.0329,0.0791,0.0208,0.0058,0.0202,0.0,0.265,0.0001,0.0255,0.007,0.0025,0.0196,0.0196,0.0013,0.0114,0.0332,0.0004,0.0948,0.0033,0.0059,0.2617,0.4355,0.2164,0.0468,0.0201,0.0545,0.0104,0.3284,0.7307,0.4726,0.0533,0.1962,0.6768,8.6157,1.2649,2.4827,1.0229,0.0544,33.3086,0.898,0.0
VNM_S,4.2646,2.0944,2.1122,0.3856,0.0,1.8382,1.393,0.7366,0.2286,3.7922,0.9161,0.1179,0.3922,0.4669,0.2237,0.3676,0.3878,0.368,0.613,0.0957,0.1117,1.3709,0.0736,0.2284,5.6312,10.8202,3.1523,0.3912,0.0266,1.5061,0.1322,3.7477,0.4871,0.7535,0.2843,5.7076,3.8105,7.3356,0.6068,3.3245,3.3887,1.6652,1.2086,4.4252,0.0
VNM_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
