V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_C20,206.0438,3.342,66.5695,32.546,12.4395,274.7642,58.2037,102.5175,228.5041,225.615,993.8076,25.1357,426.6448,143.1805,133.5032,28.8353,9.0759,34.9667,24.5925,11.5759,27.2034,55.8507,24.4589,30.4303,194.0729,172.2031,72.7653,9.6132,8.0195,39.549,0.1852,32.2932,3.9225,1.9875,1.8221,15.2387,16.6046,34.3049,37.8809,17.3339,4.0758,53.2646,1.3118,12.5648,0.0
UKR_C21,21.4485,0.3525,4.7585,1.1871,0.3387,48.001,2.2472,0.0189,0.0331,0.2892,7.4994,201.1118,7.997,10.2106,1.0207,0.3951,0.0708,0.1293,1.375,0.0957,0.2727,1.273,2.195,3.0096,0.2563,17.9493,6.1607,1.93,1.6034,3.9714,0.1185,3.3889,0.4656,0.0778,3.3641,1.5848,0.3177,0.6878,0.869,3.4171,0.9508,5.5478,0.6792,0.7052,0.0
UKR_C22,84.9469,1.3038,16.2934,25.6681,12.6844,235.3023,7.3413,8.0077,15.7607,3.2187,19.6123,9.312,375.782,29.1673,55.9594,57.4595,2.1558,49.9054,27.0123,20.2707,16.9499,17.8957,14.5629,12.7123,411.6423,71.09,67.6048,2.5827,3.2975,14.3067,0.7137,12.6652,3.2655,1.2688,0.5603,6.3206,4.7246,20.839,2.5746,0.0,0.2587,22.082,2.3965,3.1269,0.0
UKR_C23,115.1464,1.8175,15.1782,29.0037,14.7393,367.0928,11.1996,29.2208,13.828,4.2263,21.4503,18.7206,20.2746,440.0021,38.8541,1.142,4.0639,9.5053,20.8012,1.6255,3.8283,29.0641,18.3923,16.7745,1536.7578,96.0489,41.2444,5.0043,7.5561,24.8314,0.1972,17.5266,4.6842,0.4152,0.1523,8.5592,6.3887,28.0742,3.5142,29.2209,15.1473,29.9337,3.3112,4.2156,0.0
UKR_C24,487.0524,7.4865,128.2051,76.813,52.9799,130.9909,3.4156,8.927,18.425,4.7081,23.4407,1.206,15.1256,72.7961,5075.1563,757.1029,9.0846,569.9467,743.8761,54.5779,274.9058,225.4444,199.7546,98.9656,1007.3384,411.1363,169.1901,38.1578,18.7869,84.3938,0.1215,75.1291,0.5936,3.171,0.4132,37.0224,68.3613,99.5614,12.8444,0.0,0.0257,129.4736,13.8027,18.6219,0.0
UKR_C25,81.4322,1.2655,47.8711,15.3574,8.2011,20.8666,0.5849,3.3777,1.5856,3.6392,7.2591,1.1626,15.1778,17.2513,248.1679,171.9479,4.6616,23.3693,76.6876,16.8768,65.3681,36.9536,20.2942,11.5766,581.2622,67.7928,26.8657,3.5913,3.2798,18.4406,0.0366,12.3158,0.092,4.1826,0.3564,6.0782,10.6226,21.1333,1.8981,15.9371,4.8592,21.2209,2.2849,3.0311,0.0
UKR_C26,3.1071,0.0556,0.833,0.2404,0.2179,6.2436,0.0373,0.1021,0.3228,0.5548,0.7745,0.1382,0.1305,0.676,2.0889,0.9845,38.4281,9.7101,3.7918,1.837,8.427,10.5816,0.6164,0.4872,5.041,2.6266,1.1502,0.1512,0.2483,0.7747,0.0365,0.515,0.3221,1.1664,1.4045,0.2346,0.0638,0.7307,0.1812,1.1199,0.0297,0.8195,0.0088,0.2183,0.0
UKR_C27,23.7487,0.3891,3.9225,5.6593,2.9443,11.4308,0.8154,1.0725,1.7332,2.1749,3.4371,0.2741,1.0246,5.6948,32.2437,10.075,12.3229,52.6602,27.3301,3.6636,45.3432,48.5371,8.7286,3.4759,188.8939,20.095,9.8472,0.7965,0.9743,4.3663,0.0377,3.7628,0.2186,1.5931,2.4663,1.7859,2.6863,4.6728,1.6222,11.7539,3.3846,6.2437,0.6469,0.9236,0.0
UKR_C28,42.1804,0.6654,22.7389,14.9614,7.4242,35.3441,0.9196,4.3687,6.0872,5.04,7.6526,1.7762,1.5695,12.8729,64.2945,11.6598,9.1165,35.6826,140.9958,32.9198,255.4266,72.1086,11.0516,6.301,29.3771,35.1829,13.9813,2.5774,3.2705,8.3947,0.0312,6.5259,0.1547,1.5725,0.6202,3.1535,4.6055,20.6155,2.041,4.624,0.0329,11.0112,0.9434,1.875,0.0
UKR_C29,2.5797,0.0467,0.2155,0.8968,0.3465,3.6624,0.0423,0.1551,0.1496,0.1701,0.8587,0.1143,0.1346,0.8093,0.2791,1.5945,0.1641,0.1166,1.0114,271.3951,11.1056,3.0119,0.5255,0.4246,3.735,2.1878,2.0531,0.0371,0.095,0.3275,0.0069,0.4223,0.0158,0.1015,0.0567,0.1942,0.2176,0.1226,0.689,0.5564,0.035,0.6789,0.0804,0.0895,0.0
UKR_C30,36.455,0.9575,6.5109,12.7091,3.3502,44.8482,0.5322,1.2109,2.4987,1.1566,1.3291,0.262,0.2473,1.4206,0.2055,0.0087,2.6901,0.902,4.0226,4.3026,1422.4083,40.5138,4.5553,4.5463,26.0406,28.6419,8.1082,8.2826,7.7282,4.027,0.0,6.0615,0.3342,1.3123,1.2793,2.9175,3.5899,4.5379,4.1315,0.0,0.0504,8.3364,1.3916,1.3864,0.0
UKR_C31T33,79.7329,1.2508,36.0718,24.2761,16.1183,74.0849,2.6671,8.5105,11.4402,17.1986,15.3638,3.7407,2.8673,32.5522,48.252,5.598,5.7217,6.4321,22.473,1.4192,16.9758,283.2691,37.8328,12.2114,218.9735,67.8146,33.7043,4.4961,8.8756,15.5713,0.106,12.3646,0.748,26.185,3.9015,6.001,26.1267,9.8759,4.6723,34.9011,27.0686,20.9334,3.0077,2.0736,0.0
UKR_D,125.0676,2.0227,265.5002,286.2357,84.025,298.4906,18.1338,33.9343,69.2192,58.0364,273.833,7.609,38.7276,133.8853,958.7464,36.3256,10.8838,32.0546,83.3526,13.6279,71.0943,30.7201,487.0307,78.8569,112.4333,191.1711,189.7494,8.4464,15.0494,116.9283,0.4963,26.7871,3.776,147.5835,9.462,12.1123,363.4304,28.1329,35.6615,190.6357,185.0026,140.4533,19.3558,19.7815,0.0
UKR_E,13.1606,0.2822,27.8565,9.3409,3.5179,69.8749,1.4561,1.577,3.7512,6.8569,8.4817,0.9748,0.9568,3.0032,50.7429,0.7558,0.8052,1.5682,5.5923,0.3804,2.9821,2.0826,31.0564,22.8764,15.4681,28.3024,19.185,2.7424,2.533,12.6807,0.2087,3.8546,0.2912,1.7829,2.1166,8.9195,67.8114,6.4641,48.9219,11.6554,19.0573,12.6091,2.3264,4.9613,0.0
UKR_F,7.2948,0.4912,7.7556,7.4404,3.2167,10.5815,0.58,1.0603,1.2899,2.4431,4.4736,0.922,0.3669,3.9906,6.6844,2.1184,2.7422,1.1479,1.6224,1.3189,8.4537,8.1743,25.1636,41.8849,215.125,32.351,17.3088,1.1374,2.0597,11.5274,0.0323,4.1687,0.2383,3.1797,1.9844,102.9072,57.9428,44.7234,10.9769,58.0139,41.2754,51.5621,15.2574,10.6405,0.0
UKR_G,916.7577,45.9045,211.4082,227.9824,131.9886,4216.4332,91.8296,106.8272,143.6242,263.2254,323.2271,124.9225,216.1863,319.0652,1387.6118,146.0561,226.2458,114.7061,433.1386,215.452,333.2256,393.2884,73.8562,65.3724,336.6171,1198.921,167.5723,23.1487,30.6474,57.3117,1.1853,39.8741,103.8939,32.8114,51.6458,216.2473,47.5496,43.8015,30.6492,35.1103,82.3864,76.7071,9.6018,16.0335,0.0
UKR_H49,370.0615,3.4641,225.9597,153.2134,75.2472,736.4194,16.8126,42.216,59.3468,164.2419,231.0258,14.9297,56.788,128.381,525.9231,40.88,8.4992,39.9896,66.357,44.9683,69.3044,51.7407,87.5394,83.3824,275.5729,339.343,572.3404,34.5885,40.0516,190.378,2.9728,13.1281,25.1129,20.7588,37.9614,88.5191,40.5229,61.1656,43.237,91.1942,29.5292,19.9398,23.9855,15.3816,0.0
UKR_H50,36.8084,0.3929,16.2108,9.2546,4.2712,63.9192,1.5115,4.2493,5.5074,29.1921,23.374,2.0572,5.1522,12.1705,55.0219,4.1932,0.9428,4.2397,5.8948,5.2948,6.9252,5.1609,13.3048,5.6654,25.6668,24.1959,18.6698,14.1002,2.686,14.2263,0.1372,1.6474,2.0633,1.2639,1.753,4.9416,3.2048,4.0345,2.7715,2.6201,2.3108,3.0335,1.3962,1.0781,0.0
UKR_H51,30.9515,0.3496,12.5668,7.6686,5.0338,56.8563,1.3352,3.5214,5.0975,24.127,19.5066,2.091,4.7587,10.1856,50.0266,3.9912,1.0501,3.6882,5.399,4.7106,6.2555,4.6004,12.4266,5.5676,25.9249,20.4745,14.5708,2.5141,14.4068,12.5138,0.2417,1.4686,1.5758,1.651,3.7947,3.9903,2.2144,2.901,1.6773,6.7419,3.0408,2.6747,1.1638,0.8862,0.0
UKR_H52,163.5051,1.2714,97.288,87.5495,34.9522,379.9951,8.5554,19.4545,29.5012,58.9323,100.2404,5.8488,22.7803,50.3054,194.5928,16.9742,4.1996,17.3202,29.1647,13.2778,27.2472,24.8102,26.635,44.9916,83.5272,195.9215,228.4715,59.1697,79.3759,172.7629,0.6425,4.8348,14.0067,13.9716,20.7661,57.106,22.7046,36.7004,27.741,47.8022,6.1776,5.308,14.9729,9.3179,0.0
UKR_H53,4.2232,0.0276,3.5471,1.3709,0.8014,12.3469,0.2654,0.4178,0.9579,0.0329,0.4085,0.2563,0.1239,0.6323,0.9753,0.4765,0.0804,0.1088,0.3927,0.0499,0.1526,0.726,0.2454,1.649,0.4967,6.9096,28.352,2.7525,3.6699,23.1993,50.4665,0.0991,0.3591,2.0297,3.7484,2.0815,0.2722,0.5043,0.3599,17.2363,1.5892,0.0193,0.5557,0.313,0.0
UKR_I,0.9968,0.0471,0.6275,0.2307,0.2783,4.2312,0.1205,0.1223,0.2605,0.2695,0.9299,0.1846,0.2975,0.6851,1.0317,0.1771,0.3821,0.6796,1.9212,0.0754,0.8913,1.9146,2.0614,6.6407,11.8464,12.2485,8.6776,0.8158,4.6722,3.3035,0.0482,1.8334,0.4985,1.1492,1.7891,4.1684,0.8461,5.3484,3.8125,18.4697,2.3889,1.5143,1.6077,0.5665,0.0
UKR_J58T60,93.5806,1.54,15.4028,11.7967,8.1755,78.8599,0.2308,3.8457,11.3377,0.4283,0.9641,3.5771,0.5997,1.4556,2.354,0.4082,0.2484,0.4557,0.9129,0.6519,0.5365,1.4892,15.5112,16.2094,7.9554,136.0712,48.1168,5.6415,13.8341,33.49,3.2859,16.5913,327.6724,18.4253,29.6023,25.0481,1.0985,56.5725,1.238,0.0,3.9677,26.7029,6.6538,4.1125,0.0
UKR_J61,21.1967,0.8684,9.4199,1.4743,1.2661,33.892,3.5178,3.1761,5.3743,2.5273,6.219,1.9859,3.3487,7.0199,11.4151,4.897,4.1796,2.9941,7.4356,2.2031,5.5682,10.727,20.9866,27.9136,34.651,311.6664,55.5637,5.534,7.945,30.3101,1.2696,15.1057,39.1613,575.4225,17.9619,97.461,9.7386,12.8794,14.5035,444.9617,50.4823,16.2355,11.4679,15.9595,0.0
UKR_J62_63,8.4611,0.3301,4.6905,1.0786,0.5902,36.975,0.6965,0.4858,1.2724,1.8882,1.0273,1.2833,0.7515,4.1924,3.5323,1.2174,4.6594,0.7557,2.0112,1.813,2.6698,4.4198,7.4941,10.3969,4.4341,123.4879,13.2919,1.6422,4.5605,8.8993,0.0568,5.962,3.4993,1.9013,91.413,39.1694,1.1222,5.6941,0.6398,13.0627,30.222,6.5312,5.0044,5.9581,0.0
UKR_K,309.9297,2.4384,69.6612,35.3147,16.9176,327.5209,27.6587,20.575,31.4226,42.5776,82.7991,38.5125,22.0924,45.9644,82.7204,22.3635,17.7907,36.3415,124.4174,12.356,76.2001,48.6481,138.9244,107.9128,198.0478,1094.5769,261.891,35.2739,45.3533,105.9692,11.6969,36.7005,14.9321,80.5543,90.1718,1176.705,214.2061,260.5146,52.7151,37.8872,106.8764,77.4947,27.7778,31.2896,0.0
UKR_L,32.4455,1.3769,14.7523,1.0437,0.6935,105.2853,8.7218,6.9847,13.7221,4.9071,20.1136,1.9547,10.8815,16.2616,13.763,7.585,4.9264,6.508,19.7365,7.3819,5.2961,24.9487,35.3368,43.7236,68.0896,494.7545,59.9896,5.1944,10.2229,47.8207,0.9345,23.1222,9.9799,85.8817,66.0673,149.2449,239.7804,42.3917,13.4929,26.1983,43.3733,24.8775,13.8113,28.4335,0.0
UKR_M,34.998,1.364,18.2202,3.4003,2.8472,195.5486,2.53,3.6359,6.5505,8.5132,19.1881,11.7107,3.44,15.3137,16.4111,4.9452,4.5858,10.9872,10.9637,1.9515,15.3077,29.0398,40.6747,43.1235,198.7106,512.6165,52.2419,7.3721,11.6874,36.6072,0.337,24.5223,6.8307,37.3001,90.2737,161.0718,32.9891,232.0906,15.3826,71.6326,78.2488,26.8336,14.5518,32.0954,0.0
UKR_N,16.8034,0.6624,8.4985,3.669,2.7168,71.8604,2.1108,2.776,5.5,4.4356,12.4398,1.5001,3.4924,11.5261,15.427,1.679,1.6375,2.9712,12.8554,2.1577,5.9917,7.7107,15.7588,21.3034,147.8086,247.7693,31.6069,4.8335,9.1686,17.8896,0.1263,11.7968,3.4005,38.7023,9.8885,77.4494,81.1526,27.8449,110.5071,0.0,10.4376,12.9051,7.4912,14.64,0.0
UKR_O,3.4278,0.0286,7.7788,6.8431,3.3226,30.1955,0.4273,2.4586,4.1993,31.6015,8.6723,5.3355,1.1491,2.8687,10.5992,2.0305,5.0655,1.1943,2.8668,1.646,4.2012,3.6174,13.6337,13.8608,8.0741,39.934,18.4258,3.1949,4.3851,10.209,0.0912,2.6048,0.2081,6.3803,1.1374,8.0431,12.2462,4.3901,5.5509,53.8992,195.6855,41.1958,5.8586,1.6663,0.0
UKR_P,0.4913,0.0073,0.9526,0.3111,0.1836,1.4552,0.049,0.0388,0.068,0.3122,0.3733,0.4306,0.1203,0.3519,1.0608,0.1615,0.0889,0.0916,0.6399,0.1364,0.6949,0.1847,2.2725,22.6959,2.4696,2.4138,2.089,0.3361,0.9138,1.3298,0.0281,0.1865,0.0889,0.5222,0.6443,2.3781,0.3315,1.759,0.6616,12.2496,94.9841,1.2553,1.0907,0.1298,0.0
UKR_Q,4.5391,0.1664,3.0761,1.4254,1.6544,7.9578,0.1472,0.258,0.3608,3.7329,2.835,0.4179,0.3009,0.9177,2.3729,0.1838,0.3842,0.627,2.133,0.1733,1.2795,1.1406,4.6,2.135,9.7666,9.0655,11.1966,1.1606,1.6515,6.1015,0.0,3.7457,0.0674,2.7975,2.0162,1.3608,3.9282,1.5032,2.2771,24.7073,7.7907,89.2052,1.0638,0.5803,0.0
UKR_R,1.2283,0.0511,1.3607,0.1344,0.1925,2.6946,0.0975,0.3487,0.5184,2.4479,0.933,0.235,0.2201,0.4641,2.1993,0.1804,0.1388,0.384,0.9353,1.2125,0.467,0.4208,2.6514,4.6433,0.1074,18.1339,4.7916,1.7777,1.1505,3.1984,0.0,4.4478,10.2962,0.3714,2.7284,1.9254,3.8025,20.0406,6.4316,13.8301,7.7909,15.7272,27.7882,20.8909,0.0
UKR_S,1.3073,0.0506,4.384,0.6537,0.4425,8.8785,0.9368,0.532,0.9578,0.5492,4.1163,0.6184,0.459,0.6111,1.1186,0.3044,1.5688,1.9856,1.6434,0.0931,0.3458,4.464,8.8548,5.6085,20.4573,19.2241,13.1908,1.726,3.1124,7.7454,0.3467,4.5554,1.093,10.0949,21.3606,2.0263,23.0133,13.4308,22.5227,0.0,0.102,16.5599,2.7963,53.9745,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
