V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_C21,0.0002,0.0,0.105,0.0002,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0007,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4378,3.2235,0.0,0.0,0.0051,0.0,0.0015,0.0646,0.4884,0.0,0.0,0.0
NGA_C22,0.0038,0.0051,31.9852,0.0007,0.0185,0.6131,0.6706,0.2021,0.0028,0.002,0.0,0.0,0.0041,1.0343,0.0004,0.0011,0.0037,0.0,0.0001,0.0001,0.0,2.0508,0.5595,0.3632,1.319,31.044,16.6896,0.0045,0.2073,0.8338,0.0089,0.0041,7.1336,19.1341,13.2125,1.3991,1.5615,0.3846,0.0359,3.6666,8.8617,0.6409,0.3717,6.1571,0.0
NGA_C23,0.001,0.5686,105.4335,24.1963,0.7555,12.0627,31.9563,39.4487,0.0093,0.0554,0.0135,0.0047,0.109,31.4295,44.6017,56.0515,0.6653,1.8532,13.1856,3.6461,0.1399,59.634,60.7004,10.452,163.7875,170.2398,0.0149,0.0,0.0177,0.0264,0.0462,0.034,3.5251,1.6204,1.0983,1.9685,0.026,1.7046,1.4669,273.8183,5.5571,3.3236,0.4746,16.0271,0.0
NGA_C24,0.0001,0.0005,232.0888,0.0923,0.0526,0.0,0.0312,0.2396,0.0008,0.0045,0.0007,0.0001,0.0035,0.0177,2.2437,0.8669,0.0,0.0,0.2239,0.0586,0.002,2.8559,0.4048,0.0042,0.6683,3.6135,0.0012,0.0002,0.0,0.0034,0.0,0.0004,0.0495,0.0714,0.0548,0.0599,0.0077,0.0056,0.0001,0.0014,0.0171,0.0119,0.0,0.0102,0.0
NGA_C25,0.1786,0.0,8.0089,5.7671,0.0597,0.0163,0.033,0.9813,0.0001,0.0007,0.0,0.0,0.0049,0.1072,0.1992,0.9197,0.0155,0.0247,0.3186,0.0614,0.0032,2.8444,0.1052,0.5061,0.7911,16.8576,0.1147,0.0,0.0044,0.129,0.0001,0.0012,0.224,34.4453,22.8808,0.0961,0.0223,0.1421,0.0462,0.0393,1.3993,0.0054,0.0315,0.7693,0.0
NGA_C26,0.0003,0.0001,0.0199,0.0,0.0,0.0003,0.006,0.004,0.0024,0.0,0.0,0.0,0.0,0.0004,0.0005,0.0016,0.0,0.0,0.0001,0.0001,0.0,0.0022,0.0029,0.0014,0.0001,0.0203,0.0026,0.0,0.0049,0.0007,0.0,0.0001,0.0298,0.0971,0.054,0.011,0.0002,0.0163,0.0004,0.0006,0.0816,0.0052,0.0011,0.0039,0.0
NGA_C27,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.001,0.0,0.0,0.0002,0.0001,0.0,0.004,0.0017,0.0008,0.0002,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.014,0.0056,0.0002,0.0,0.0003,0.0001,0.0,0.0004,0.0002,0.0,0.0029,0.0
NGA_C28,0.0011,0.0,0.5083,0.0214,0.0019,0.0064,0.0452,0.0067,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0004,0.0008,0.0,0.0001,0.0075,0.0005,0.0,0.0565,0.0004,0.0239,0.01,0.5808,0.0073,0.0,0.0124,0.0031,0.0,0.0,0.0227,0.0705,0.0536,0.0,0.0,0.0191,0.0011,0.0,0.0,0.0,0.0,0.0024,0.0
NGA_C29,0.0,0.0,70.3023,0.0292,0.011,0.0002,1.1296,0.6701,0.0104,0.0055,0.0009,0.0001,0.0022,0.032,0.0865,0.9138,0.0,0.0244,0.0,0.0001,0.0,6.3916,0.0004,0.1213,0.0183,1.4485,0.0759,0.0,0.0,0.0002,0.0,0.0,0.0272,0.148,0.1202,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
NGA_C30,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0018,0.0,0.0001,0.0385,0.0,0.0,0.0007,0.0601,0.0094,0.0,0.0011,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.006,0.0,0.0
NGA_C31T33,0.523,0.3339,16.0475,0.0779,0.0272,0.295,4.1268,4.5376,0.0572,0.0002,0.0025,0.0006,0.0038,0.1015,0.0233,0.0358,0.0052,0.0008,0.0104,0.0019,0.0004,18.7974,1.7168,0.9068,0.2352,10.84,3.4807,0.0609,1.3496,0.9618,0.0191,0.1459,18.889,40.4417,19.8473,18.0171,8.4501,4.4842,0.0567,0.52,5.3312,3.371,0.1032,4.3439,0.0
NGA_D,0.1077,0.0517,127.4108,0.1695,0.0325,0.0662,0.4555,0.1599,0.0334,0.0153,0.0007,0.0001,0.0019,0.0141,0.0102,0.0092,0.0043,0.0013,0.0053,0.0249,0.0007,0.529,32.5727,1.0845,0.1004,14.415,1.6341,0.0,0.2068,0.2554,0.0022,0.0533,21.3195,19.6629,6.8257,2.2657,24.7059,1.2324,0.0322,2.5719,5.9343,0.9503,0.0,5.3655,0.0
NGA_E,0.2917,0.0,3.0848,0.0002,0.0086,0.0116,0.2944,0.0827,0.0378,0.0024,0.0015,0.0002,0.0003,0.0021,0.0977,0.1701,0.001,0.0027,0.0359,0.0074,0.0006,0.126,0.0006,0.2243,0.0001,4.8046,0.2794,0.0,0.0,0.0225,0.0,0.0433,1.6323,0.3768,0.2447,0.7094,2.4135,0.0628,0.002,0.4458,0.1878,0.1968,0.0464,0.105,0.0
NGA_F,0.0308,0.0174,2.7213,0.0052,0.0167,0.0019,0.1455,0.0683,0.0,0.0063,0.0,0.0,0.0004,0.0046,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0952,0.0807,0.107,0.0014,4.2871,0.1128,0.0,0.0,0.0085,0.0,0.0049,0.5125,1.2978,0.4724,2.3161,1.6634,0.113,0.0314,0.0397,0.2452,0.1144,0.013,0.1674,0.0
NGA_G,2373.1714,63.3294,2172.7342,16.4653,1.6768,2317.8444,381.3917,89.3162,12.5629,40.5181,8.7098,2.5423,10.3109,50.6833,18.932,22.9463,0.8021,0.7206,5.2672,4.4885,0.2822,85.008,47.2244,11.373,1713.627,3755.1858,733.4384,2.4008,13.3578,7.3728,0.9211,246.2688,935.348,2801.2337,1671.6475,117.9673,166.939,175.5157,5.2836,136.6827,211.634,85.7962,14.3805,237.6194,0.0
NGA_H49,76.1612,1.7161,58.5287,0.9705,0.1918,68.7137,7.9146,4.0021,0.3172,2.6816,0.2586,0.0717,0.7002,3.8932,1.1744,1.1111,0.141,0.0331,0.223,0.3225,0.022,3.9312,3.8229,2.0916,57.5353,144.2994,149.3756,0.0565,0.1765,1.1138,0.2131,6.8785,67.9928,668.9812,528.8012,28.5462,4.3912,20.0962,0.1287,10.8403,59.3585,4.4771,1.0113,40.6332,0.0
NGA_H50,0.0585,0.0018,0.2316,0.0103,0.0,0.0844,0.0662,0.0138,0.0017,0.0013,0.0004,0.0001,0.0004,0.0086,0.0056,0.0079,0.0,0.0001,0.0008,0.0013,0.0001,0.0217,0.0184,0.0036,0.0713,0.1143,0.0205,0.0001,0.0039,0.0002,0.0002,0.0105,0.063,0.0092,0.0052,0.0039,0.0093,0.0058,0.0009,0.0503,0.0717,0.009,0.002,0.0225,0.0
NGA_H51,1.5004,0.042,2.5434,0.1797,0.0042,1.8511,1.1074,0.3174,0.0484,0.0394,0.0094,0.0023,0.0109,0.1634,0.1509,0.1897,0.0013,0.0053,0.0416,0.0301,0.0018,0.4095,0.3086,0.0502,1.5621,3.0922,0.1637,0.0091,0.0109,0.0135,0.0107,0.2163,0.8289,0.1054,0.0149,0.0192,0.0387,0.0442,0.0105,0.8324,0.9748,0.0893,0.0143,0.2384,0.0
NGA_H52,6.3393,0.1451,4.8373,0.0812,0.0036,5.5791,0.0492,0.0067,0.0211,0.2257,0.0215,0.006,0.0558,0.2025,0.0922,0.0851,0.0006,0.0026,0.0171,0.0257,0.0018,0.014,0.2153,0.0185,4.4422,7.3105,0.0076,0.0023,0.0082,0.0063,0.0033,0.5756,0.585,0.0061,0.0072,0.0344,0.0541,0.0442,0.0077,0.4261,0.1776,0.1147,0.0149,0.2439,0.0
NGA_H53,0.0,0.0,0.0016,0.0,0.0,0.0001,0.0019,0.0033,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.002,0.0012,0.0,0.059,0.0075,0.0,0.002,0.0004,0.0001,0.0001,0.0097,0.0103,0.0035,0.0124,0.0068,0.0041,0.0005,0.0031,0.0057,0.0025,0.0017,0.0112,0.0
NGA_I,0.008,0.0275,3.4831,0.0,0.007,0.0056,0.059,0.2461,0.0113,0.0015,0.0034,0.0013,0.0006,0.0048,0.0058,0.0166,0.0043,0.0003,0.0028,0.0,0.0,0.2051,0.1325,0.0644,0.0508,6.1396,2.6845,0.0,1.6428,0.1173,0.028,0.0882,12.155,21.6756,16.2032,5.9572,1.3142,3.2227,0.0456,0.2907,8.8729,1.5706,0.9334,6.0222,0.0
NGA_J58T60,0.1083,0.0,5.3965,0.0,0.0026,0.0,0.0001,0.0001,0.0002,0.0615,0.0,0.0,0.0,0.0,0.0,0.0001,0.8353,0.0002,0.0004,0.0,0.0,0.0154,0.0015,0.0094,0.6856,14.6831,68.8766,0.0004,0.0022,0.0019,0.0001,2.573,6087.3339,4322.2309,2133.5444,0.0166,3.0914,392.9106,0.0587,0.1966,187.8501,19.5671,19.0889,0.1197,0.0
NGA_J61,0.1158,0.2861,61.5736,0.4594,0.0454,0.5176,3.5282,5.8587,1.3621,0.0929,0.0398,0.012,0.0139,5.5699,0.0,0.0,0.2574,0.0,0.0,0.0,0.0,7.0807,1.3119,0.5719,2.3217,61.2673,147.5331,0.0,27.7497,0.9245,2.8055,3.2446,3146.5251,1332.6471,142.1901,1594.0011,1054.7157,2453.966,0.4043,12.4967,169.8957,41.6355,23.0739,148.3371,0.0
NGA_J62_63,0.0002,0.0,72.5186,0.0,0.0347,0.0541,0.1505,0.7591,1.6458,0.1958,0.0148,0.0047,0.0039,0.033,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.2311,1.5287,0.2668,0.0,69.9854,2.6356,0.0,0.0,0.5671,2.163,0.0,15.662,5.0599,10.5586,80.4564,0.0,2.4004,0.2844,1.264,5.522,1.2124,0.117,0.3309,0.0
NGA_K,3.3196,4.5466,311.6589,0.4376,0.18,0.8827,13.2035,1.6187,0.3325,0.5601,0.052,0.0137,0.0195,0.1204,0.054,0.0719,0.0325,0.0022,0.0162,0.0099,0.0006,11.6014,3.236,0.8195,0.8464,139.0964,19.2122,0.0005,9.3424,1.6821,0.1902,0.1675,53.2455,164.3896,91.4501,3462.1072,106.2174,32.0819,0.3449,1.9211,41.4578,2.8097,2.6562,27.389,0.0
NGA_L,0.0091,0.0,0.8151,0.0832,0.0117,0.5734,1.2089,0.2189,0.0149,0.005,0.001,0.0003,0.0013,0.459,0.0,0.0,0.1416,0.0,0.0,0.0,0.0,1.5901,4.8291,0.5583,0.458,58.0946,14.0049,0.023,9.7252,0.194,0.0688,2.9434,445.7859,732.8396,426.6838,23.7884,384.4374,34.4603,0.0395,9.527,179.9209,3.159,0.9484,57.799,0.0
NGA_M,3.408,7.628,379.1812,5.4563,0.964,5.5651,60.5855,9.8703,1.5704,0.3676,0.0819,0.0434,0.0685,1.1802,0.0,0.0,0.2486,0.0,0.0,0.0,0.0,50.0254,101.2476,8.8114,9.463,778.8866,215.8144,0.305,114.9232,9.288,2.1973,1.2553,696.7359,1285.7031,1096.297,476.8968,488.5342,1556.1754,3.5327,37.1176,83.2814,33.3405,2.371,186.8441,0.0
NGA_N,0.0005,0.0008,8.1382,0.0012,0.0075,0.0007,0.0046,0.0107,0.002,0.0029,0.0002,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0271,0.0043,0.0004,1.955,0.0215,0.0043,0.0054,0.0041,0.0006,0.0005,0.1869,0.1272,0.0721,0.0271,0.0265,0.0367,0.029,0.0069,0.0277,0.0282,0.0088,0.0209,0.0
NGA_O,0.0,0.0,140.3286,0.0173,0.0045,0.0,0.0,0.0,0.0,0.0655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,2.3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_P,0.0,0.0,138.8622,0.0137,0.0007,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,1.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694,1.4695,0.0,0.0,0.0,0.0
NGA_Q,0.0,0.0,2.7776,0.0027,0.001,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0009,0.0,0.4568,0.0016,0.0,0.0,0.0,0.0005,0.0,0.0762,0.2411,0.1968,0.0,0.0,0.0001,0.0001,0.0056,0.0,0.204,0.0,0.0341,0.0
NGA_R,0.0,0.0,0.4216,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.1913,0.0773,0.0,0.0,0.0,0.0,0.0004,3.9205,4.8023,0.18,0.0,0.0,0.0295,0.0008,0.0088,0.7997,0.0141,0.1482,0.0,0.0
NGA_S,0.0,0.0,6.4632,0.0048,0.0106,0.0042,0.0119,0.3348,0.0257,0.0477,0.0013,0.0004,0.0003,0.0028,0.003,0.0049,0.0755,0.0019,0.0046,0.015,0.0008,0.2055,0.1244,0.2097,0.038,8.7506,159.1033,0.1352,0.5769,0.3412,0.0906,0.5323,92.3513,386.7999,452.3924,12.9579,6.5659,9.9383,0.1972,0.9638,63.2621,0.2889,0.2348,42.5173,0.0
NGA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
