V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_C21,0.0106,0.1876,0.0,0.2083,0.0204,6.0357,2.9784,0.0,0.0168,0.0,0.0139,16.0162,0.0,0.0,0.0,0.0149,0.0,0.1853,0.0,0.0,0.4373,0.0262,0.0,0.0518,0.0506,0.077,0.0005,0.0104,0.0053,0.0017,0.0407,2.9813,0.01,0.0346,0.0,0.0082,0.004,2.4707,0.4685,4.3859,0.2967,25.0841,0.1811,0.0377,0.0
MLT_C22,0.4258,0.0885,0.0349,0.1941,0.0745,5.6352,1.0466,0.5251,0.4142,0.0091,0.6427,1.3915,4.6778,0.2357,0.0065,0.1631,1.7271,0.75,0.3318,0.02,0.3303,9.805,0.0445,0.3065,7.3072,3.7019,0.3673,0.0626,0.1894,0.7419,0.0814,0.5171,0.0379,0.4647,0.0881,0.7819,0.0682,0.2302,0.4342,0.4602,0.2159,0.1096,0.7173,0.1797,0.0
MLT_C23,0.1483,0.1202,0.105,1.1477,0.0855,4.4512,0.4354,0.0732,0.416,0.0014,0.0737,0.4023,0.6583,10.4281,0.0163,0.4547,8.3274,0.0445,0.0893,0.0063,1.5088,1.1373,0.4328,1.6788,31.684,1.4521,0.7346,0.1435,0.4022,1.0677,0.8501,1.2715,0.0592,0.332,0.1347,1.2323,1.158,1.1672,1.302,0.8517,0.2238,0.2673,0.9182,0.3891,0.0
MLT_C24,0.0005,0.0012,0.0007,0.0052,0.0097,0.2222,0.0057,0.0006,0.0093,0.0,0.0007,0.0267,0.0132,0.0235,0.0132,0.8539,1.0848,0.0941,0.0702,0.0103,0.0806,0.36,0.0184,0.0601,0.0527,0.0252,0.0056,0.0015,0.005,0.018,0.0001,0.0091,0.0001,0.0097,0.0015,0.015,0.0038,0.0061,0.0102,0.0091,0.0023,0.0025,0.0132,0.003,0.0
MLT_C25,0.7837,0.0559,0.0216,0.1515,0.179,3.0656,0.4309,0.0477,0.1169,0.0067,0.1493,0.2423,0.5456,1.8,0.0401,1.0294,8.6989,0.6994,0.5771,0.1891,1.6036,3.7881,0.104,0.2597,20.774,0.5333,0.0527,0.0128,0.3645,0.7952,0.2429,0.252,0.0133,0.7347,0.0381,0.6379,0.077,0.3302,0.1596,0.4525,0.0422,0.0554,0.1398,0.0397,0.0
MLT_C26,0.0054,0.0089,0.0069,0.0364,0.0273,0.126,0.0259,0.0016,0.0109,0.0,0.0255,0.0853,0.0345,0.1388,0.0004,0.0176,145.3421,0.2752,0.293,0.0006,0.033,0.1977,0.1704,0.0563,1.1366,0.2553,0.1005,0.0375,0.4386,0.2523,0.0263,0.1944,0.033,3.1681,5.5923,0.3591,0.0062,0.4703,0.1365,0.1339,0.0547,0.0548,0.3229,0.0789,0.0
MLT_C27,0.0039,0.0039,0.0017,0.0104,0.0077,0.121,0.0371,0.0108,0.0513,0.0008,0.0009,0.0743,0.0571,0.0645,0.0053,0.0786,0.4584,1.271,0.7039,0.0015,0.0879,0.2443,0.779,0.0237,2.7952,0.3396,0.011,0.0049,0.0375,0.0257,0.009,0.023,0.0031,0.5416,0.1207,0.0406,0.0193,0.0888,0.0822,0.0222,0.0047,0.0498,0.0158,0.0932,0.0
MLT_C28,0.2217,0.0053,0.0394,0.0654,0.0392,0.2255,0.0283,0.0008,0.1577,0.0,0.0102,0.0074,0.0076,0.007,0.0009,0.0144,0.0266,0.0105,0.5019,0.0002,0.3078,0.4912,0.0082,0.1131,1.4697,0.0477,0.0143,0.006,0.0516,0.0374,0.0073,0.0132,0.0061,0.0087,0.002,0.0335,0.0013,0.0438,0.035,0.0396,0.0094,0.0457,0.0145,0.0054,0.0
MLT_C29,0.0049,0.0001,0.0,0.0002,0.0009,0.0003,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0012,0.0004,0.0,0.0027,0.0005,0.0002,0.009,0.0017,0.0006,0.0055,0.1356,0.005,0.0001,0.0122,0.0057,0.0089,0.0001,0.0002,0.0003,0.0001,0.0023,0.0002,0.0005,0.0058,0.0009,0.0001,0.0001,0.0003,0.0,0.0
MLT_C30,0.0032,0.3101,0.0086,0.0368,0.0025,0.085,0.0076,0.0013,0.0172,0.0,0.0061,0.0183,0.0365,0.0203,0.0,0.0095,0.0044,0.0017,0.0125,0.0,5.187,4.3672,0.001,0.0625,0.085,0.1645,0.0376,0.2604,14.6355,1.7687,0.0106,3.4612,0.0153,0.0249,0.0101,0.0895,0.0045,0.0224,0.2521,0.4395,0.0224,0.0142,0.2148,0.0227,0.0
MLT_C31T33,2.1082,0.2722,0.1434,0.4983,0.1702,1.3305,3.7768,0.3031,0.4707,0.0052,0.0742,0.7059,0.4486,0.5424,0.0014,0.1042,0.5481,0.051,0.1215,0.0085,1.1192,6.7527,0.7342,1.3603,12.9479,1.7544,0.5835,0.1902,0.2394,0.4804,0.7054,1.5437,0.2134,0.5165,0.2624,1.0178,4.4575,1.277,0.5064,0.5971,0.1228,0.7317,0.6157,0.2771,0.0
MLT_D,2.1233,0.1369,0.0214,0.3444,0.716,12.0401,5.8499,0.353,1.8236,0.0165,1.3172,2.4057,7.8786,2.0919,0.0283,1.0692,25.4533,0.6945,0.9317,0.0654,2.9766,10.8474,315.2437,22.3934,2.9452,25.5438,0.5539,0.2614,0.6826,3.9376,1.3535,28.6753,2.6392,4.5024,5.0564,18.4224,3.9594,6.3327,2.7887,11.2839,2.5825,6.4581,10.1156,3.2922,0.0
MLT_E,0.9341,0.0574,0.104,0.4694,0.1304,3.0406,0.572,0.076,0.4446,0.0027,0.1938,0.6885,0.6342,0.5194,0.0437,0.2235,0.1493,0.0704,0.1295,0.0115,0.9812,0.9706,0.2419,27.3827,10.0241,3.7287,0.2224,0.0671,0.1762,1.5549,0.3683,9.4806,0.1808,0.3447,0.9865,3.5708,0.5854,0.8473,0.3882,18.1931,1.7967,1.236,2.0041,1.4939,0.0
MLT_F,2.3739,0.3198,0.1599,0.7275,0.3621,3.9626,1.6633,0.0561,1.291,0.0153,0.363,0.803,0.6092,1.8377,0.0154,0.3253,3.662,0.2347,0.1719,0.02,1.6388,4.7415,1.7795,4.4786,59.9639,12.8737,0.5816,0.3454,0.3283,1.725,4.4013,23.1661,0.2641,4.4625,0.661,16.5493,56.4625,4.6703,2.1532,8.3759,0.973,1.0661,1.7694,1.6205,0.0
MLT_G,6.5646,2.3241,0.3289,1.5903,0.5928,39.5431,18.1213,1.1305,9.3775,0.12,1.4755,12.7042,6.8654,7.9894,0.1068,4.7865,22.0515,1.3695,1.5877,0.135,3.3461,13.3888,27.2732,4.3838,31.1144,14.0341,4.4062,1.4951,5.5485,3.5249,2.9386,23.8339,1.0518,1.4321,1.5669,8.9317,1.7291,3.1013,11.9209,6.5243,1.2696,9.2456,3.341,2.7134,0.0
MLT_H49,0.6437,0.2907,0.0531,0.1446,0.1717,3.7826,1.2181,0.0976,0.9783,0.0075,0.2704,1.081,0.6593,0.9973,0.0166,0.6647,1.7351,0.2464,0.2217,0.0138,0.4027,1.5102,1.5539,0.3484,3.4767,8.5729,2.6354,0.0663,0.2533,1.1205,0.4556,2.5622,0.1332,0.1762,0.1289,1.1141,0.1204,0.3676,0.3824,0.7773,0.1202,0.3547,0.2928,0.2193,0.0
MLT_H50,0.0854,0.0189,0.0129,0.0273,0.0141,0.2077,0.1264,0.007,0.0431,0.0015,0.0209,0.0418,0.0283,0.0513,0.0003,0.0567,0.0255,0.0076,0.0104,0.0001,0.0123,0.0638,0.4236,0.0301,0.2644,0.0606,0.0368,0.0198,0.0351,0.0306,0.0088,0.1928,0.0197,0.0085,0.0079,0.0114,0.0184,0.0164,0.03,0.0091,0.0035,0.0316,0.0335,0.0223,0.0
MLT_H51,0.3873,0.1786,0.0144,0.1358,0.0705,1.9056,0.7251,0.0718,0.4959,0.0062,0.1623,0.4803,0.3382,0.5082,0.0092,0.5149,1.7453,0.1068,0.1252,0.0104,0.3193,0.9327,2.3186,0.2394,2.324,0.9223,0.269,0.1035,0.6761,0.2558,0.1294,1.0851,0.1195,0.1409,0.2106,0.4175,0.0638,0.2621,0.3636,0.2764,0.164,0.2745,0.5758,0.1541,0.0
MLT_H52,0.7181,1.4651,0.188,0.4635,0.5388,12.4758,2.1316,0.0848,1.9313,0.0306,0.2853,1.2862,0.8286,1.0174,0.0568,0.9142,1.5107,0.8615,0.5021,0.0175,0.3927,1.3806,1.8896,0.2527,2.7102,16.2474,8.5904,11.0249,18.449,35.4399,0.1493,7.7702,0.1851,0.2756,0.2327,2.1096,0.3717,0.7596,0.42,0.4024,0.1279,0.5162,5.179,0.2898,0.0
MLT_H53,0.0354,0.008,0.0073,0.0495,0.0497,0.5837,0.1268,0.0027,0.143,0.0,0.0651,0.2676,0.1044,0.1157,0.0028,0.0853,0.1481,0.0785,0.0607,0.0079,0.0369,0.3493,0.1581,0.1879,0.084,2.2549,0.1878,0.0178,0.0558,0.1712,30.2901,0.9841,0.1587,5.7705,0.3362,12.7917,0.3118,0.6008,0.2177,2.3429,0.1117,0.1526,3.3976,0.1925,0.0
MLT_I,0.0107,0.0758,0.0185,0.1132,0.0929,3.044,0.5841,0.0462,0.2025,0.005,0.3013,0.2681,0.3935,0.2875,0.0108,0.235,0.2371,0.157,0.2237,0.0113,0.1991,1.0373,0.5331,0.2815,2.0386,7.5389,0.3095,0.1704,0.3485,5.3087,1.012,18.045,0.472,0.6111,0.8415,15.1435,0.2357,1.6734,3.6488,3.3572,0.7588,1.0644,2.7938,0.4579,0.0
MLT_J58T60,0.0164,0.0066,0.0019,0.0023,0.0203,0.0844,0.0211,0.0185,4.3305,0.0,0.0068,0.0284,0.0095,0.0057,0.0012,0.0056,0.0127,0.0036,0.0028,0.0003,0.0889,0.1237,0.0779,0.1356,0.1027,8.9544,0.019,0.0082,0.098,0.041,0.838,2.3038,2.9409,2.8476,1.0789,4.3443,0.0141,4.1333,0.2111,0.6154,1.6304,0.1241,1.7454,0.8449,0.0
MLT_J61,0.2066,0.1182,0.0314,0.1873,0.0746,2.5495,0.6947,0.0135,0.6447,0.0009,0.1957,0.5987,0.498,0.488,0.0116,0.3793,0.3221,0.2402,0.2184,0.0131,0.2075,1.2709,0.3637,0.4,0.675,4.9787,0.5138,0.0834,0.839,0.9967,2.6378,3.8798,0.7904,22.4917,4.1078,20.8858,1.5325,2.2247,1.257,3.7987,0.7128,0.746,19.722,0.6529,0.0
MLT_J62_63,0.0254,0.0159,0.0018,0.016,0.0395,0.2027,0.0462,0.0051,0.435,0.0001,0.0153,0.2237,0.1033,0.0369,0.0033,0.0284,0.1347,0.0196,0.0152,0.0009,0.103,0.2111,0.0992,0.0765,0.6729,3.7206,0.0419,0.0111,0.0378,0.9383,0.2396,1.8263,0.5399,3.6253,19.8219,47.6975,0.318,5.6999,1.1283,8.5685,0.4745,0.3333,15.1786,0.3065,0.0
MLT_K,2.5461,1.1862,0.1799,0.8459,1.683,15.2851,4.263,0.5441,5.2452,0.0228,1.2712,3.193,2.5271,2.3532,0.0665,1.1928,7.5162,1.2255,0.7814,0.0543,4.2914,10.9555,8.1496,3.8751,16.8039,37.8299,2.8447,1.2448,10.4506,6.098,1.0255,27.2118,3.0688,7.6018,17.514,603.394,7.5168,33.4554,11.0887,10.1712,5.5605,3.1714,46.5361,2.844,0.0
MLT_L,0.0573,0.0168,0.0073,0.0675,0.0291,0.8301,0.2372,0.0601,0.2663,0.0255,0.1008,0.2338,0.2424,0.178,0.0065,0.21,0.2051,0.062,0.118,0.008,0.4052,1.1244,0.089,0.1227,5.4357,10.4917,0.103,0.0615,0.2523,0.3629,0.6807,5.9284,0.2316,0.6289,1.1594,4.9501,2.3654,4.3754,0.83,0.9773,0.3672,0.2589,1.1113,0.6121,0.0
MLT_M,0.4455,0.2063,0.4144,1.6365,0.7383,4.2935,0.406,0.0759,1.6323,0.0045,0.3267,0.9479,0.5222,0.5257,0.0107,0.1336,1.4569,0.3245,0.1293,0.0097,0.5831,8.8979,1.3026,1.0769,9.1612,16.0195,0.3066,0.2408,0.3501,2.2313,2.2762,10.9985,0.8225,2.7191,5.3638,159.4572,2.5548,25.6734,2.6807,7.7497,1.6769,0.9326,26.3263,1.1437,0.0
MLT_N,0.2227,0.3298,0.0493,0.1159,0.8304,3.6695,0.4997,0.1888,0.3761,0.0052,0.1654,0.2149,0.3126,0.4026,0.0336,0.1887,0.7409,0.208,0.1104,0.0054,2.4941,3.6316,1.6498,1.5301,2.8386,7.9489,0.8673,1.2122,10.7055,1.3241,0.9037,4.729,0.6083,1.6493,3.1659,36.9078,0.586,5.2053,26.2853,3.958,2.2524,1.0149,13.4495,0.497,0.0
MLT_O,0.2331,0.0634,0.0109,0.073,0.0833,1.0356,0.339,0.0428,0.3475,0.0038,0.0762,0.2475,0.216,0.1933,0.0196,0.1359,1.0735,0.0814,0.0816,0.0064,0.2386,0.6159,0.7667,0.325,2.2771,2.8502,0.1787,0.0569,0.1823,1.0033,0.9614,1.9892,0.2214,0.3228,0.4881,6.8151,1.1776,1.6888,0.4657,7.3134,1.0649,3.7838,1.2413,0.2266,0.0
MLT_P,1.521,0.0233,0.0021,0.0118,0.037,0.6828,0.7671,0.1219,0.0726,0.0011,0.4461,2.7011,0.3085,0.0406,0.191,0.0771,0.5705,0.2798,0.0877,0.0006,0.2233,1.0659,0.6623,0.0429,0.3564,1.3197,0.0374,0.0195,0.036,0.1794,0.0674,0.5235,0.0859,0.0964,0.4929,3.1634,0.1079,0.3977,0.4303,3.374,4.3862,0.4505,0.5744,0.1478,0.0
MLT_Q,0.3748,0.0998,0.0088,0.0517,0.024,1.9028,1.0089,0.0219,0.3128,0.0029,0.142,0.3201,0.2496,0.1873,0.0119,0.0767,0.4585,0.0452,0.0427,0.005,0.1575,0.4166,0.9857,0.2055,1.2057,1.2026,0.1087,0.0417,0.1017,0.5001,0.203,1.8584,0.0692,0.0748,0.2296,0.8277,0.125,2.6686,0.6855,0.4808,0.4669,1.7886,0.7296,0.1687,0.0
MLT_R,0.3411,0.1049,0.0232,0.0323,0.0153,1.7424,0.8654,0.0107,0.2807,0.0024,0.0825,0.3059,0.1516,0.1271,0.0008,0.0356,0.3658,0.032,0.0166,0.0013,0.0661,0.3806,0.8312,0.0726,0.7728,0.4594,0.0952,0.0499,0.1223,0.0625,0.0341,1.2981,0.0778,0.0956,0.1646,0.7943,0.0718,0.3708,0.1108,0.2115,0.1263,0.2869,5.8417,0.099,0.0
MLT_S,0.0797,0.0232,0.0179,0.0193,0.0518,0.4582,0.3589,0.0191,0.0664,0.0006,0.0209,0.0831,0.0438,0.0473,0.0002,0.009,0.0861,0.0066,0.0083,0.0035,0.0766,0.1069,0.2367,0.0263,0.3893,0.2837,0.0409,0.0154,0.2545,0.0457,0.0863,1.1811,0.0231,0.0575,0.0664,1.907,0.04,0.7255,0.2286,0.4863,0.3064,0.4614,0.23,3.3204,0.0
MLT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
