V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_C30,0.0,10.5927,26.7448,0.0,0.0,0.0,0.0,49.3744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8061,0.0,0.0,805.8113,318.8464,30977.7307,0.0,0.0,21.9013,12.2544,26.4626,629.2427,1392.073,943.1021,75.5006,447.0369,0.0,0.0,1.755,0.0,0.0,0.0,115.9197,22.9006,18743.6571,0.0,138.73,10.8591,51.0269,0.0
USA_C31T33,457.1885,0.5133,52.0613,23.2252,44.8742,883.4114,560.6314,693.7289,650.2285,37.8229,1155.282,368.0706,704.9415,463.2401,646.5989,606.4578,948.7081,564.532,1644.5803,1457.4496,370.6328,6002.9424,160.0166,518.0662,12421.1796,6335.0471,442.0732,20.1935,37.5023,225.4832,77.4235,2163.8429,514.8424,784.5145,381.8003,2430.3608,2936.3677,2357.168,2435.4809,5329.5089,1203.5043,18330.2394,862.1362,1460.4978,0.0
USA_D,2971.1234,23.1531,2104.2879,1834.4453,77.4946,8638.976,2209.0206,1531.1982,6373.494,1354.2796,10346.577,1437.1865,2925.1289,3918.2649,7811.436,3568.1179,2359.944,859.4639,1710.5007,2180.2903,1195.6233,1485.4974,11080.9022,302.4883,4204.8195,23924.7671,2687.5193,1329.4669,129.3461,2231.1418,5609.0204,14191.8646,999.1344,1398.1394,525.8022,2522.8817,56449.0929,6513.5105,3078.0337,8344.7147,9000.7717,4695.3716,1202.041,1620.066,0.0
USA_E,404.0507,1.4047,469.2194,103.6008,126.3816,1030.2244,177.8043,136.5197,382.255,259.4306,1261.3185,493.4557,287.2755,206.3013,402.1071,356.8821,261.6094,82.5727,198.9941,210.7357,162.3201,320.3735,2531.5234,4367.7831,1876.5671,3072.7357,293.9321,15.2489,20.6975,199.6776,172.8426,2354.7732,169.1111,150.1554,150.1606,1046.8776,4658.1604,1423.8055,1209.2891,10175.7057,1660.9503,2577.0384,463.2946,686.8561,0.0
USA_F,1248.2906,4.8599,2432.6915,816.023,1640.4138,765.4441,167.8614,202.3337,607.2198,2453.3826,666.0536,376.1482,346.31,288.8031,684.3418,467.2131,476.1269,117.5814,313.4304,267.0633,138.7627,270.6431,4488.8731,183.5029,188.7989,2533.4613,2370.453,39.6253,46.6225,171.3983,245.5109,1195.7921,169.4627,2789.6764,46.1228,3576.9095,97064.7216,733.2715,316.4902,42706.8895,4096.4824,638.5804,205.2046,1815.8316,0.0
USA_G,26946.486,92.7067,4617.4643,1849.3589,2436.0115,87603.4413,18362.4021,10814.3163,22263.8395,3718.0132,49368.8087,11639.878,22605.9066,8825.0793,13993.691,17385.5838,29198.6677,10066.163,24038.3358,51266.4888,9414.8028,20885.3168,7769.7336,2805.9813,89213.9169,63498.0294,17704.0634,1768.0486,6109.1807,2191.1792,2921.9819,24860.3064,15448.5088,11677.061,3824.5545,12955.5529,31013.9495,19209.32,20220.6824,52656.8821,20544.4893,47938.8008,4188.5567,6836.9412,0.0
USA_H49,4887.5419,12.825,3521.3484,606.9538,790.2509,13073.9055,1178.6788,1633.9265,3103.5138,14870.3956,5325.0727,710.7992,2035.7497,2978.9722,4595.6236,2671.8566,1892.0277,919.857,2321.4876,4198.3165,937.2249,2293.6918,6849.5253,478.9119,15241.7835,26704.2725,24871.764,350.0538,2691.4151,6904.4398,1414.8178,2246.3623,1783.3422,1072.8852,1791.1923,4683.8776,3844.388,6199.0848,3565.0243,10353.8447,15167.5959,6462.6041,1868.0589,830.0288,0.0
USA_H50,309.3727,2.5119,390.588,49.3629,30.9374,867.546,161.2997,164.1405,284.1502,2231.8938,603.2859,94.9811,221.6668,189.6112,432.8908,350.3051,439.0194,148.8072,391.1366,915.8552,199.5733,242.1212,823.0454,33.2514,1352.7868,465.5729,255.5799,33.3498,137.8567,82.5473,357.054,146.6172,105.2641,104.7573,31.8491,94.1326,75.1632,286.2283,117.1188,1968.0396,201.4612,471.2269,34.2691,70.2938,0.0
USA_H51,319.5469,1.9785,347.8158,55.3041,160.3301,1286.852,227.551,413.9365,756.7974,1977.793,733.2776,111.6595,555.1817,351.4381,590.9018,843.1886,595.4106,159.0815,645.1825,916.107,248.9124,636.7628,1223.234,274.074,1334.8363,1953.1173,1018.4564,48.8856,160.243,402.4032,478.5806,688.9075,730.2654,454.7079,1454.0717,3491.0997,3374.7987,3027.8739,2350.494,5932.7654,734.8337,1942.3169,184.2027,245.5528,0.0
USA_H52,1151.1211,71.4963,535.8353,657.4342,42.1475,2609.0465,309.0587,783.479,1128.3268,2726.3091,1030.6086,174.0528,601.0207,964.1422,876.5931,643.3228,607.1434,174.1635,475.2737,777.7368,176.9747,696.7758,3557.4317,448.0106,2575.6819,27595.9943,17850.8108,1336.0256,8224.2212,9795.7137,3914.3442,1037.3279,1167.6379,300.8073,392.2008,325.2666,193.5566,3943.4609,1417.9389,4366.9715,827.3374,1675.9726,432.884,336.9799,0.0
USA_H53,46.9577,0.0373,4.1565,13.5924,0.5739,9.744,6.4412,1.6402,381.3671,66.881,127.1957,1.1101,2.9897,2.4449,45.8545,94.4782,73.2744,451.3129,819.0104,3.6976,1.599,201.8823,484.0116,445.2584,23.9553,47880.2188,13464.292,3481.1084,20.0815,950.8426,1824.1672,5877.7877,5037.3682,346.7571,1885.4129,7512.9995,509.6304,7768.3358,6350.8908,3363.5327,1369.6485,6446.7744,696.608,2612.9385,0.0
USA_I,542.6835,3.4348,42.5289,50.1675,285.6038,1456.8588,300.3566,450.8517,1296.5726,125.61,553.5536,155.2456,893.1541,447.1327,559.6957,1155.3387,572.5778,121.4966,744.3392,304.581,171.9264,1179.593,2799.2884,708.3726,677.498,6297.8081,539.9032,18.2089,5428.5398,268.6789,868.7147,8732.7041,2678.461,2125.0827,5272.6198,15129.5736,22183.3802,19041.4101,10487.3532,8055.7686,3256.3068,17785.1344,1530.2289,1427.4821,0.0
USA_J58T60,105.5202,0.1393,209.0962,31.7093,53.8294,1625.4562,535.3654,297.0962,732.6137,31.6283,792.0584,3669.3479,412.3664,207.3032,178.9361,1000.3165,1866.2792,299.0921,859.7002,279.204,381.424,1997.672,1297.398,166.7292,2723.9354,34032.1403,586.6166,448.4498,259.8365,216.7839,229.8851,9572.4218,62628.5875,37920.9687,3275.7913,12263.1689,2204.6068,25915.1827,8133.6829,10660.8932,7379.3697,7280.3447,3372.3773,3731.0355,0.0
USA_J61,595.016,0.1465,444.3077,167.2536,460.9427,1524.4837,459.6067,486.2038,1142.3809,91.3778,846.1658,1458.7755,882.5971,488.8417,542.8987,1494.4356,1975.0063,315.0288,1309.512,484.0212,557.0445,1833.1649,1364.0725,703.9825,9321.6095,23000.2402,2376.6357,124.9026,634.2776,762.9556,565.6611,4918.6975,5318.9159,76807.8048,5924.8973,17375.6489,14109.3184,19147.9605,8832.7968,27559.7466,11164.2648,9167.9028,1275.9071,3265.9398,0.0
USA_J62_63,327.2841,0.8939,1023.3293,89.7454,59.9333,1566.3024,455.7918,520.8078,1242.7498,132.2178,792.2018,1450.9094,756.2989,487.7738,631.3307,1618.3467,2738.0757,215.1682,1876.5057,581.8308,1060.5785,1483.6655,2039.3149,422.14,3713.4291,14408.9533,763.0958,47.6902,207.5482,205.2564,254.5057,2989.771,6898.372,3271.9369,6201.0952,15389.7003,2557.1808,23632.6696,9894.6943,41876.4119,2285.1982,6880.183,1054.6091,1990.3705,0.0
USA_K,3482.8079,440.2565,6845.3809,1965.9523,6208.8243,6820.7188,1994.829,985.7577,2420.4968,2241.4794,3467.3448,1448.9368,2576.9784,1869.1019,4310.2096,5734.0184,3862.7755,1537.5384,5029.4702,3653.5957,1702.4387,5857.183,10304.6547,1242.1942,16601.11,50027.1693,17187.866,5254.6022,8404.2556,1960.5694,3381.2052,14912.5416,7535.8275,3417.4541,6603.1721,433295.758,141000.4196,51648.6222,39928.4198,58176.7745,7267.2398,49304.9187,4135.1704,29509.0178,0.0
USA_L,9108.4632,2.0949,537.3662,85.26,198.0624,2667.107,1286.9464,683.5354,2158.8113,122.2265,1231.1326,1731.5588,1429.4254,579.4627,617.0922,2827.9514,2452.4071,432.8039,1474.3968,1636.3419,4963.761,2243.4456,3061.7132,1707.3099,16123.3493,114172.7811,6355.9851,466.416,217.9326,4992.0963,3190.667,39438.4806,19170.1017,13744.9812,11012.1119,47902.7281,123397.3492,82760.0672,27652.163,37255.0462,26719.3075,100166.9931,18591.4456,29069.5237,0.0
USA_M,2519.345,8.5656,11536.1267,3624.5775,5894.3157,18554.3117,3797.7265,2476.5443,6711.7984,1273.8724,10779.8712,17515.3203,5395.5484,3514.5949,4788.047,11183.9547,15078.5607,1934.4157,12010.6977,11719.9483,11618.2198,10366.9054,13502.2115,4840.0276,51749.4529,142671.1748,9872.1515,1143.0085,1593.9343,2156.5074,2781.3489,65025.894,34742.723,21582.7963,28423.36,86999.3301,57644.8684,127012.6111,42784.0262,74682.1564,12146.8239,70268.3481,10909.8942,13036.0269,0.0
USA_N,2734.1979,3.7032,5385.3362,919.964,2957.5837,7931.4611,3975.1825,1316.7731,6358.9511,485.3303,5769.592,2827.9278,2830.3763,1961.2321,4450.7473,6958.967,8419.3513,1057.6063,3923.4902,3001.119,3889.4484,4224.301,5669.0421,2434.212,18431.936,61994.2595,13997.1936,2999.2114,10792.5105,2217.7716,3711.2006,16478.3439,18897.4617,7258.5243,14003.0966,33368.9655,136362.808,56044.3624,33285.3913,45871.9163,7472.9498,36404.6666,4973.6593,7129.4051,0.0
USA_O,3195.9759,31.0345,1414.1489,448.4738,291.8627,3761.8967,732.1981,1650.4543,1944.033,1001.6123,3122.8694,902.0416,1063.534,1057.43,1725.3059,1237.3155,1034.1819,298.3186,762.552,880.3709,644.8303,943.532,9478.6824,3827.5481,4990.162,13913.6731,3118.8403,321.3334,799.51,1509.6908,1297.6045,6302.1923,3174.9392,2896.4273,1237.5093,8649.1188,19356.2152,9625.5972,4490.6277,19827.483,5421.5667,12035.8357,2274.031,2418.5316,0.0
USA_P,218.2162,19.1391,33.5284,9.5001,32.3863,225.6495,62.0855,56.0424,350.407,26.1004,101.2463,48.6044,118.7171,55.2191,67.5481,148.3265,103.1804,18.8064,111.9048,49.6181,42.2989,177.1075,515.2958,82.6761,208.8983,3038.8286,76.2075,1.7217,230.8122,42.8704,43.6105,511.86,411.2532,496.4747,615.6646,1516.2501,1784.3336,4273.7941,970.7123,5692.1679,3695.7848,1304.8244,1109.802,1218.7655,0.0
USA_Q,152.0375,0.4314,84.2274,13.0523,33.0117,512.2167,104.6674,31.4171,113.4547,16.3367,241.9084,56.602,97.511,39.0172,39.0151,75.9824,138.3124,35.7576,84.5627,99.0672,41.6871,108.7308,74.1828,22.1983,426.2081,390.3724,145.1296,20.61,112.2887,13.3801,26.8831,224.4202,228.0373,101.8084,96.2706,263.2754,273.5259,712.5285,316.1637,7730.0664,150.7396,19972.966,185.3288,160.4924,0.0
USA_R,151.1002,0.2695,75.4023,11.6753,57.7703,402.2377,79.1841,69.6609,200.8612,22.4184,184.5035,148.5613,158.5835,73.1493,90.8094,203.1841,166.8746,32.8965,146.1076,104.737,47.2272,228.1982,248.5073,92.2802,523.802,2866.4231,252.9379,30.3863,259.3607,128.1291,65.4424,1653.02,9125.2949,3086.7973,678.3993,2149.695,2777.6996,4892.0194,1648.995,3528.2678,619.7956,1553.0913,7655.8505,933.6,0.0
USA_S,377.2495,0.1279,88.6436,31.8776,244.5629,409.2655,109.9186,92.5493,238.9537,27.7275,217.1243,129.3084,174.2376,175.0485,275.0344,338.7698,155.7934,31.667,143.2228,98.9099,72.9704,283.0555,889.1113,436.4528,1994.6941,6212.9948,489.6045,39.9443,312.3785,830.8585,612.7186,2258.1123,581.2567,1056.1464,487.2059,6723.7508,3163.6403,4805.7218,3252.3543,8880.0715,2314.3675,5404.8737,853.5799,7505.5564,0.0
USA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
