V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_C26,7.0397,0.0055,1.794,0.1792,0.0233,43.5834,2.082,7.4383,6.7282,2.2964,9.9946,45.0369,3.8634,10.6483,2.7312,28.414,5225.2456,658.6192,510.9255,8.615,16.4549,110.7378,45.2939,3.943,142.5307,622.9165,43.0252,47.8798,12.5876,23.0526,3.254,12.6785,15.9209,901.2495,23.0199,7.3124,1.0953,203.2899,52.2256,122.3678,19.8058,1244.9517,2.4519,15.8219,0.0
CHE_C27,9.1273,0.0017,2.2066,0.1473,0.0166,17.8487,1.6478,3.1728,7.159,0.9951,4.7253,17.3251,5.4929,6.5352,4.0902,41.9031,127.6423,1340.6624,787.081,12.293,16.9083,56.4833,52.4071,20.9501,721.6166,883.0031,172.4791,149.0979,27.7672,184.9127,0.8582,13.4074,1.8982,215.6502,85.9491,41.9113,7.4914,178.0956,152.5846,163.9694,28.5414,159.9539,2.5184,38.7757,0.0
CHE_C28,30.209,0.0032,3.7642,0.3468,0.0285,31.9249,4.0231,5.8671,10.1049,1.1964,5.4104,25.0249,3.3219,8.3056,8.6729,28.5052,55.1243,38.9673,636.0388,16.6342,16.6851,28.9265,41.8832,5.3416,168.2437,287.4469,4.8886,7.0216,1.4836,12.6474,15.4245,11.1271,2.8725,4.1443,1.1499,0.85,8.4804,20.9255,16.3002,48.0924,3.8414,11.4285,1.4396,4.4789,0.0
CHE_C29,0.2842,0.0,0.0116,0.0014,0.0001,0.4773,0.0372,0.0973,0.0014,1.0742,5.7765,0.0034,0.0021,0.2718,0.0113,0.6664,0.755,0.4288,4.6475,28.0119,0.2912,0.3208,0.1069,3.623,0.8926,72.8615,14.2045,1.6945,0.8859,0.8038,0.0257,0.0228,0.0001,0.0002,0.9679,0.0007,0.0014,3.8967,0.3273,1.126,0.1296,0.0013,0.0003,0.2773,0.0
CHE_C30,0.0973,0.0,0.0421,0.0023,0.0003,2.9729,0.0001,0.0138,0.0,0.0311,0.1608,0.2,0.0011,0.0279,0.0002,0.9062,0.029,0.0002,0.2682,0.9913,59.7426,7.0655,1.8643,0.0598,0.0071,14.5502,128.7652,58.767,148.8996,0.2425,0.0107,0.0067,0.0,0.0,0.0,0.0,0.0,3.6242,0.5374,7.9593,0.046,0.0013,0.0,0.0005,0.0
CHE_C31T33,155.8464,0.0025,21.5372,1.4531,0.16,85.4607,8.9892,18.1574,47.627,20.9936,73.0968,91.7809,15.4598,20.0933,7.4518,89.3271,560.731,167.7032,214.0013,14.6671,15.6959,380.2968,568.7007,46.1246,159.3492,1212.3599,323.9777,252.7475,119.4125,19.4463,22.0138,42.2768,23.1302,205.5007,33.6247,7.7167,0.8595,195.4067,70.5428,137.3304,32.125,143.3346,46.8512,13.7269,0.0
CHE_D,84.7257,0.0002,21.6549,2.3935,0.0987,373.7802,34.6749,96.8087,165.6078,40.0805,265.8776,318.7558,135.3029,231.8116,283.0884,290.164,201.8348,127.5455,160.9134,6.6694,14.4733,47.8763,15839.5634,119.6428,111.6561,1219.8773,421.6638,179.6593,55.9224,19.1434,36.9816,428.073,56.3883,163.8819,47.7028,238.8431,56.7098,378.34,97.6838,321.6139,225.6792,308.9802,176.4249,45.1642,0.0
CHE_E,2.7901,0.0,10.7625,1.1885,0.1467,33.2462,3.245,19.8905,112.3443,1.9965,10.0158,13.8815,3.9065,14.8864,369.8503,22.7656,25.0906,19.1702,39.5245,1.1422,2.1184,14.6079,254.0146,407.8618,115.9063,269.7312,20.8809,23.6548,3.0086,1.6963,5.0369,66.8028,7.3474,11.7788,27.034,40.3711,56.6659,178.5793,30.0173,241.0235,18.6333,60.3818,24.9974,17.9255,0.0
CHE_F,99.5917,0.0018,63.2697,5.3125,0.5194,76.3324,10.0975,49.4169,42.0899,5.7462,22.2306,45.4094,8.5299,44.0696,10.9282,59.5535,155.7131,49.2949,70.854,2.9327,7.2749,73.3771,551.8574,94.1166,2461.1607,660.5798,528.7039,283.121,81.9473,41.1994,145.6834,363.344,35.2406,75.103,101.746,330.2823,2119.7585,102.5784,40.1116,473.6401,214.4005,409.0368,176.2482,44.5826,0.0
CHE_G,1191.9824,1.5439,73.1206,6.3013,0.605,5050.9904,380.03,489.432,835.1598,427.0052,1648.9465,4300.8669,541.9841,497.8678,428.8915,1141.441,3094.4805,2056.9323,3461.6239,148.9751,195.743,2549.4817,985.4168,167.4951,4911.6311,12594.3218,1816.0667,1721.5718,417.4752,1093.5268,116.6093,2214.5122,907.0037,878.232,236.4384,254.1075,62.9502,2186.8805,1225.523,1262.167,270.5226,2171.2639,304.7782,319.5061,0.0
CHE_H49,101.9774,0.3277,17.7283,1.8938,0.1297,620.7027,31.9501,111.077,147.0348,97.7484,332.4514,430.6484,60.4547,109.3221,75.9349,238.147,440.087,202.9682,299.8065,14.1003,22.56,95.6855,247.636,12.6417,872.9926,1291.755,102.7445,95.882,27.0633,31.1842,35.5447,175.0719,79.4773,40.98,21.825,25.8613,7.7692,164.2134,68.2471,109.0022,22.4933,157.9375,17.8961,23.8387,0.0
CHE_H50,67.6104,0.0723,15.844,2.737,0.1623,358.3741,17.929,75.6445,133.5559,79.1786,260.681,177.3141,16.2561,84.0103,75.1963,200.6506,520.8195,144.4438,208.8171,8.5096,11.916,65.6533,146.4996,8.1001,345.4692,1281.3635,54.9955,424.8279,17.2036,11.9249,56.4867,71.3765,49.717,21.8136,12.7406,12.9928,2.91,77.9466,60.641,58.0467,6.7749,43.8217,10.3947,11.394,0.0
CHE_H51,13.3864,0.0853,1.2782,0.1166,0.0099,57.2458,8.1409,11.5615,13.7195,22.5774,50.8204,71.9857,10.0579,9.3073,7.4796,24.1282,56.2855,35.0182,44.8626,5.0495,4.6046,15.1881,37.9536,2.2094,89.2866,100.1561,17.368,18.7324,9.0703,6.5267,3.9206,21.8111,10.3898,8.6908,3.9547,4.3303,1.1173,27.336,11.248,17.6331,3.415,24.845,3.1499,3.7872,0.0
CHE_H52,13.7718,0.0365,1.0517,0.0908,0.0073,107.2341,5.6195,15.5198,70.651,55.541,238.86,125.705,7.0765,14.595,5.8194,62.5372,151.3002,42.6016,89.7885,2.1488,5.0766,29.3053,28.137,2.7344,97.9241,1095.2563,477.3841,945.2922,181.3336,1363.884,3.8235,51.7478,87.5891,8.2557,7.6209,3.2147,1.2805,77.714,376.7495,19.3159,6.3152,16.929,4.2897,6.1145,0.0
CHE_H53,7.4047,0.0015,1.0269,0.124,0.0129,21.9607,2.2925,4.918,17.7584,3.9996,24.1177,34.7642,7.1867,6.8805,1.7046,18.9761,64.8301,26.5582,57.1596,1.1766,3.3506,9.1373,21.3405,5.7915,42.2532,766.2344,55.4135,69.377,15.3809,67.1577,1568.841,36.2531,40.6433,16.2565,172.5741,302.9563,18.9959,247.0672,84.3011,167.199,14.0521,55.5818,25.4264,77.4846,0.0
CHE_I,6.7939,0.0019,0.699,0.0497,0.0102,23.6502,2.3989,7.5151,19.4185,1.0336,4.9978,14.6077,0.5077,13.954,0.2748,34.6849,65.2785,47.3048,82.6891,1.4784,1.5887,18.3777,30.9324,3.4319,74.1269,474.5546,241.1181,241.0889,168.4652,9.9152,13.9851,84.5194,32.3183,44.1191,26.2838,99.8229,1.7728,186.805,86.5202,123.0259,32.2398,23.6027,35.6871,51.2977,0.0
CHE_J58T60,3.1818,0.0,1.3027,0.1864,0.0067,56.3204,3.5128,2.1187,16.119,1.6657,14.7239,46.2198,5.1196,4.9382,0.4874,16.5291,82.0748,31.0299,39.1408,0.6605,2.915,9.0015,12.6864,10.4384,35.3405,1662.6303,29.3011,31.7324,11.0022,60.7458,24.2111,20.2622,728.3699,76.6479,47.6201,178.8757,35.351,1043.7431,260.0437,272.9854,17.3342,62.4453,78.148,47.2908,0.0
CHE_J61,13.9178,0.0,2.0793,0.1976,0.0244,34.5034,3.917,7.8753,30.169,3.0213,23.2167,54.5222,13.2149,11.5295,3.0503,29.1656,114.9001,38.7187,92.0138,1.8559,5.611,13.8214,38.1181,8.8309,71.0193,1369.5262,49.5638,33.1945,12.3888,19.4487,19.0397,60.3118,114.5795,1911.237,137.6512,568.0651,37.77,452.7412,139.1134,238.2567,23.5889,84.9626,106.1079,72.1735,0.0
CHE_J62_63,3.0999,0.0022,1.1512,0.1115,0.0097,28.309,4.0339,3.0632,15.5181,4.2389,25.5968,51.1696,1.4403,4.2739,0.8718,17.9157,80.4766,100.0472,101.7845,2.2708,8.8974,24.1396,51.0617,29.3186,27.3066,595.5604,231.4891,217.4875,83.792,15.4941,22.5744,42.0812,19.5411,40.4692,2255.3393,311.9611,9.6071,393.1991,91.3339,286.7685,13.2204,89.2048,37.4237,23.3187,0.0
CHE_K,95.9316,0.0139,13.2678,1.3429,0.0877,372.3163,23.4708,144.4159,75.8403,40.3029,186.4742,268.0578,123.7554,78.6376,116.4145,420.5058,459.0771,215.4657,388.9154,14.0398,27.5625,113.7934,426.5583,44.0054,533.8284,3160.8241,356.1129,361.9219,86.4418,40.8016,100.1946,263.1313,61.8816,101.1669,451.3247,14153.9391,4414.0978,1169.4274,405.7435,754.4013,126.1395,424.7173,144.5624,126.5732,0.0
CHE_L,5.8622,0.0,12.1813,1.945,0.2236,24.3072,7.2115,3.0711,13.5465,15.9281,139.2749,22.6501,7.2157,6.3124,4.1134,28.5886,134.707,81.6595,114.4868,4.6393,11.6014,51.2142,47.5808,10.93,95.929,3407.658,73.0884,55.0708,17.8163,2.7477,7.1873,335.8127,12.8094,22.6956,34.9509,144.0751,351.7478,134.3626,52.5166,138.9873,32.4583,64.5067,29.8358,18.9508,0.0
CHE_M,65.4864,0.0,92.3207,8.7098,1.5353,324.5828,60.1907,119.5116,197.3422,39.2739,241.7675,1521.9681,112.7644,145.005,54.2159,476.9837,1677.2529,289.236,599.6048,20.9411,113.2434,232.5551,310.5111,319.9784,1407.6362,4932.3565,373.9525,350.9219,91.2556,45.9527,89.4507,392.3417,412.8694,324.9167,983.0904,5037.6304,1696.022,6625.5037,765.3461,1284.2484,105.3613,618.3744,211.8171,185.7621,0.0
CHE_N,16.8528,0.0,13.4611,2.3327,0.2539,116.5427,17.3797,35.6357,75.2387,8.2829,58.7028,124.2361,26.4783,40.6803,15.8422,164.6227,394.8333,82.6848,189.8602,5.909,24.6981,66.2917,87.7526,50.9791,228.5606,1794.5393,355.8969,482.12,225.6895,121.7756,56.0086,128.0238,151.1763,118.1714,288.8376,1387.3091,689.2415,1257.8071,1671.982,262.5983,54.4064,344.8124,92.5013,57.6285,0.0
CHE_O,160.1515,0.0979,17.3129,1.7047,0.1503,145.6771,7.1068,30.2688,90.9637,7.9535,36.6018,191.942,7.8322,15.5312,173.6605,24.5863,97.5181,26.8182,42.52,1.8622,7.312,34.953,670.9765,218.2262,110.5206,366.751,155.2031,156.2629,33.3834,71.7942,17.0791,63.5312,12.4896,17.1667,37.8648,292.7019,566.2779,471.7606,120.1647,8615.9202,23.428,810.9599,29.2172,19.8623,0.0
CHE_P,1.3678,0.0001,0.5568,0.08,0.0062,2.1471,0.5174,1.2877,4.4509,1.8768,8.9514,30.3774,0.4976,0.8128,12.0799,0.733,2.4021,4.0196,7.1559,0.0802,0.7906,3.2841,2.9278,13.3572,8.7433,36.5141,1.3376,1.4723,0.44,0.1293,0.7521,2.6707,1.1944,1.16,4.8442,10.4099,3.2902,18.475,5.5202,27.2971,10.0719,8.4852,1.6072,1.515,0.0
CHE_Q,155.6248,0.0009,0.6539,0.0472,0.0089,11.4926,0.3771,2.8007,1.4202,0.5058,2.4175,7.1457,0.3895,1.4243,1.6062,13.688,20.1262,7.9907,19.1232,0.1785,1.1282,2.5764,7.2697,0.6945,14.5733,27.5875,1.9796,2.3363,0.9819,1.8627,2.6083,4.4299,1.3601,5.1578,0.5725,5.3779,1.5217,29.9484,2.0235,48.3262,9.0605,335.6545,0.4478,0.5671,0.0
CHE_R,0.1617,0.0,0.5815,0.0555,0.0099,25.787,0.5731,0.4407,1.3128,0.1143,0.9197,2.6474,0.2691,0.4132,0.0042,1.8954,9.7945,1.3473,1.5503,0.0119,0.6763,1.4256,3.3948,4.5414,0.3739,39.8309,3.5814,9.0461,1.164,2.145,0.763,29.5709,54.2133,7.3149,0.6782,40.4146,2.2089,142.8744,54.2267,178.8337,0.9134,30.3523,352.1615,2.3342,0.0
CHE_S,0.8383,0.0,3.5354,0.3751,0.0436,133.0031,2.9665,10.6508,12.1735,0.7716,4.5509,16.8345,3.9625,9.9049,0.0222,43.8837,98.9521,13.0379,37.2072,1.0098,3.501,17.5597,15.4037,23.6236,44.142,516.0496,28.143,29.8937,7.6515,29.3916,7.8029,110.8732,101.49,4.7157,28.4754,232.2783,11.4419,715.8186,310.0109,283.4478,0.7642,266.2151,371.1547,1378.8959,0.0
CHE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
