V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_C24,0.0,0.0,0.0437,0.1566,0.0002,0.658,2.6391,23.5279,18.371,2.639,4.1372,0.0045,20.5693,54.1558,2169.4967,1119.2443,33.3596,186.8331,684.7794,54.1595,77.7612,124.1701,0.2749,71.4318,148.3024,4.7819,0.0,0.0,0.0,0.0,0.0,0.0,0.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0023,0.0035,0.0,0.6621,0.0
FIN_C25,42.1253,0.1917,1.1709,10.4331,0.0179,58.3555,9.4507,73.6517,84.1549,11.496,35.9594,4.2144,25.1221,70.0193,288.5436,621.6438,72.9342,96.7834,1091.7993,43.7895,226.6347,170.2812,121.6123,15.9363,1400.0788,72.5488,15.804,4.1538,8.1166,16.7074,1.634,9.9799,6.7513,47.8616,7.3541,11.3693,10.1201,26.8936,13.6409,56.1026,20.6078,7.7352,5.2246,10.158,0.0
FIN_C26,18.4349,0.462,0.8884,6.4997,0.0277,62.0274,10.419,43.8936,96.9779,24.0934,58.6909,18.7553,40.2817,22.7135,30.5092,42.9966,3433.8347,165.9617,170.4651,23.3756,38.9398,82.8268,35.4836,10.8963,232.4249,440.0847,34.0029,8.0927,10.7266,52.3027,11.1532,43.0938,44.9595,187.0642,158.8201,169.4567,82.9339,354.7139,102.5205,410.7347,42.2326,68.4016,29.6735,73.9505,0.0
FIN_C27,4.0022,0.0643,0.234,1.16,0.0025,9.9832,1.1579,7.4396,15.817,3.2661,7.1383,0.557,5.3667,4.6403,8.9278,18.4675,235.6384,252.5366,161.8127,12.4637,25.0045,80.7208,15.3712,3.2109,156.6696,29.7458,6.9962,0.9584,1.5125,2.5782,0.3623,2.8964,2.3358,6.1759,3.5852,4.0248,3.6879,11.2075,5.531,21.3803,14.2376,19.0778,3.8225,5.5491,0.0
FIN_C28,46.9153,0.2987,2.4031,29.0428,0.0335,76.1748,6.224,40.6871,254.0421,14.3148,37.7375,6.0814,18.5271,50.2174,62.9424,85.3855,128.2873,62.9188,1267.2751,56.3999,73.3975,128.6928,62.7611,18.791,536.0351,76.7872,19.9383,6.0528,10.6442,15.2672,3.114,49.2578,19.8297,24.9276,24.1472,12.6702,12.1632,34.6494,14.8285,112.8993,21.2851,29.6482,5.0521,6.5441,0.0
FIN_C29,2.5511,0.0099,0.0442,0.2422,0.0007,1.2425,0.2702,0.9181,3.0907,0.4468,1.6302,0.0903,0.7282,0.6934,1.4505,3.0745,2.643,1.7186,59.7497,78.1368,1.0547,1.9237,1.0968,0.3194,7.6518,13.8336,17.3951,0.1623,0.2756,2.9293,0.0869,0.5986,0.3782,2.0025,0.3287,0.3744,0.5233,1.12,1.127,2.769,0.5044,0.9492,0.2179,0.3019,0.0
FIN_C30,0.0,3.7622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8126,0.0008,0.0,0.2304,0.1465,0.7235,0.1776,1.7628,206.8246,68.3798,0.0,0.0,0.0,0.4349,21.5374,104.764,19.0093,2.4935,0.0,0.0,0.0032,0.0,0.0,0.0,0.0197,0.125,5.5077,101.8511,0.0863,0.01,0.0071,0.0,0.0
FIN_C31T33,93.8665,1.6382,10.1011,26.4511,0.1102,97.6608,8.3075,45.1154,392.7109,21.2235,37.1563,3.8509,20.644,54.7532,89.8562,92.1149,81.9556,16.6484,127.6448,22.1762,55.1078,288.3574,232.7682,92.0215,326.9709,204.8416,58.8644,37.6463,75.3579,47.0626,13.3419,47.67,15.684,44.5184,9.8103,26.9455,12.9186,65.9358,73.3008,79.7322,66.3443,90.8078,27.976,12.5723,0.0
FIN_D,97.2424,5.8775,2.0434,19.9808,0.0417,128.1608,16.7944,149.5459,775.7174,90.7243,156.8811,4.0889,42.7589,55.121,204.6442,60.8342,71.4795,22.0113,83.1312,6.8925,17.4463,41.9367,186.0071,69.1229,187.2395,239.969,32.9391,10.3598,17.9106,138.7027,3.6579,61.4985,16.9777,50.7864,12.9245,83.2566,775.5626,60.2731,30.2737,155.6217,168.5173,163.4744,63.1105,171.1038,0.0
FIN_E,1.0105,0.0232,0.5796,2.0284,0.0067,38.2301,5.2114,12.904,21.3807,4.556,14.2998,1.1555,14.7523,17.0245,207.6396,16.2058,36.9279,7.8894,38.8583,1.1264,3.8033,22.4671,2.4259,226.4025,69.502,269.64,6.3858,4.9332,2.0665,23.2204,1.2997,103.5946,13.3543,11.0158,35.1684,39.091,241.5863,44.2193,84.0218,51.1549,37.3484,48.7013,13.5063,24.1386,0.0
FIN_F,92.3591,0.0057,1.2046,4.3252,0.0176,28.456,3.4318,13.9179,27.9253,31.4435,13.3919,0.4218,4.2761,4.6577,21.0797,15.296,43.4852,7.0483,9.6832,4.187,4.3176,19.0183,187.4875,53.8961,1749.4358,93.1202,30.4129,21.278,58.1596,528.8156,25.0327,70.547,1.6652,472.3651,1.321,42.6165,1808.4554,11.3804,7.372,242.4289,99.0804,40.9971,36.1197,0.781,0.0
FIN_G,657.6901,8.2879,4.1196,31.103,0.0391,1068.0896,169.6787,504.3648,802.1859,307.1994,361.1615,31.5862,157.0982,147.2092,186.178,174.489,592.465,119.0011,445.3428,93.2586,109.604,261.14,130.4128,68.8788,1525.5423,1500.5006,763.4267,115.3883,77.5387,264.8752,32.3661,604.2593,229.1489,174.7384,70.6258,106.6533,226.6752,264.5739,277.2634,435.3457,253.8489,465.5291,134.0645,204.6299,0.0
FIN_H49,73.4127,1.4726,22.4639,43.2258,0.1617,310.3768,18.2315,361.0768,736.6388,52.4328,135.4914,4.8168,30.4274,102.6612,187.1307,57.7505,134.7659,31.0078,144.4203,14.0338,13.9921,41.2077,29.0918,64.7427,417.9789,979.207,901.124,14.1902,12.5091,226.0013,134.0482,49.7342,48.5629,22.1734,46.1815,76.3248,27.3699,122.7195,53.7203,172.4108,192.4197,264.7302,76.3092,108.2509,0.0
FIN_H50,23.8549,0.4064,1.316,5.7628,0.0056,51.068,8.6302,34.0098,69.2095,67.1496,31.5905,2.1117,8.6082,9.9094,43.1711,10.7786,33.3682,8.0504,25.2116,4.9318,5.7694,12.8227,13.5931,3.5801,46.8782,146.5344,9.3687,39.3664,3.5668,29.0404,7.1646,29.8742,9.8925,5.3351,2.7892,4.7567,7.3275,11.8917,6.1418,19.7822,12.2592,21.7162,5.9393,6.4842,0.0
FIN_H51,61.0582,0.5309,0.8774,3.113,0.0039,11.2546,2.3443,6.6913,13.5801,28.2651,8.1019,0.4687,3.2388,3.4495,16.9007,5.8761,14.3885,3.6274,12.2213,2.2083,2.7201,6.4515,8.1715,3.922,63.3089,252.69,46.6725,50.095,34.2604,80.6309,24.7123,24.2458,9.7307,12.8752,22.2958,29.2825,21.1489,58.8336,50.0141,45.3738,23.5216,45.8371,22.6788,30.9223,0.0
FIN_H52,3.9709,0.061,14.2386,13.4105,0.0429,192.6829,23.1707,143.9185,452.8625,4.6141,114.1115,4.3861,35.0776,53.2564,122.5829,59.7246,132.117,31.3156,140.2679,10.4317,7.7649,31.1466,6.4572,18.8171,12.5243,932.5659,117.9325,107.6752,151.9784,1501.7083,18.425,12.6691,56.7655,1.777,12.6971,1.4525,3.2632,29.7009,32.444,3.6231,22.7387,23.0115,6.655,1.6555,0.0
FIN_H53,11.0183,0.4598,0.5712,1.9019,0.0097,11.608,2.7773,27.415,30.6425,5.3657,26.7351,1.5192,16.2261,13.8373,8.1529,25.7179,90.7436,20.4029,88.9912,2.5813,3.2012,22.9484,11.2019,4.9826,23.7427,379.7323,22.0662,8.7166,6.5995,4.7546,149.6674,26.6438,18.2507,86.4887,23.9932,42.2219,21.7676,69.7152,23.4249,93.3591,21.4406,48.6941,20.1962,27.2095,0.0
FIN_I,12.1602,0.481,0.3421,0.5716,0.001,10.1162,4.5073,8.4502,14.0307,1.1099,14.3672,8.0127,6.778,4.959,6.7774,10.5795,53.3656,6.6677,38.8576,0.7933,3.4139,6.0985,1.306,8.7803,32.4446,304.0124,56.0525,4.6499,35.0587,38.0924,3.3409,40.6119,38.1483,40.8488,21.9664,100.1563,26.5493,95.9149,46.1769,151.9626,201.5758,394.9781,104.2107,68.0116,0.0
FIN_J58T60,6.3961,0.1402,2.2434,7.3277,0.0054,62.9879,7.8176,16.3378,35.4456,5.286,29.8779,10.0689,11.8297,9.3068,11.5453,18.0084,111.5311,12.569,52.958,2.6104,8.1147,19.4014,10.0637,8.6852,39.4275,340.6299,11.684,5.9372,10.1966,34.6958,8.1528,89.7866,229.6032,153.505,45.2334,42.524,42.0347,271.4892,67.5445,124.2275,129.6884,91.059,264.2146,65.6943,0.0
FIN_J61,22.2551,0.5928,2.5026,8.2991,0.0143,50.7069,12.2194,32.1964,34.5995,8.2151,34.7132,2.1662,18.5055,15.6946,35.5084,34.9843,111.1682,22.5195,123.044,2.5061,14.0232,26.3978,3.2334,18.4811,91.1588,820.1971,143.3856,16.7031,15.8608,39.592,15.0065,115.8663,63.581,1116.0583,388.2998,385.9828,97.9921,412.4466,167.4919,393.3099,202.2006,380.0623,148.7093,190.0531,0.0
FIN_J62_63,11.0613,0.3743,0.3668,1.1107,0.0029,39.8391,4.1108,12.235,110.2577,13.2743,19.2524,4.6623,6.0893,12.3183,25.8505,14.2761,306.3302,16.9677,72.0542,2.1339,9.6089,19.2242,38.1989,4.1276,22.8593,349.0611,21.3315,10.4601,19.8735,81.5548,20.1397,18.831,41.7772,388.2242,489.6041,426.8822,43.6404,115.0516,46.1749,388.4045,73.8818,47.6443,15.3094,26.2678,0.0
FIN_K,152.049,2.4193,4.7046,13.2925,0.0252,64.1452,22.4028,86.4462,127.6927,29.3409,87.9792,6.4432,51.75,50.0254,71.0581,87.5794,389.4225,66.1942,263.2525,8.3755,27.4242,81.0347,82.432,23.9871,166.4697,462.1915,66.5559,34.2358,24.3318,30.5046,5.0303,30.9765,67.1788,162.9752,60.567,714.8252,773.7285,137.3117,53.7435,263.4493,68.4343,107.4169,60.5022,83.9591,0.0
FIN_L,22.8887,1.0887,2.9767,5.0445,0.0222,83.1393,21.6903,26.0936,76.714,10.6235,30.9454,1.4641,15.5747,22.1939,32.1348,64.3802,91.0525,34.1701,76.8549,4.4637,26.7423,76.3053,58.275,27.0846,545.5036,1335.6126,87.5251,7.6421,59.1269,77.311,15.9028,90.78,78.6271,130.774,93.1839,202.7969,454.1276,322.0689,108.2292,630.6734,449.2905,422.1005,120.4494,149.0707,0.0
FIN_M,36.1266,1.3511,5.3377,27.0224,0.2302,233.1272,40.8871,137.2172,224.8812,48.396,160.5098,64.2566,63.7152,74.2041,90.5627,161.3059,1350.0709,89.1742,430.0066,15.4455,68.8593,116.7557,92.1018,29.8864,915.0692,1058.8562,65.2608,33.0543,45.4837,55.3223,25.9339,170.1091,190.3923,431.8256,164.4475,163.6917,253.3274,822.7432,168.9973,487.3102,84.2063,224.9181,87.9079,114.5326,0.0
FIN_N,200.0304,0.8067,2.4529,8.687,0.0218,104.7185,20.8275,75.2612,116.5045,19.5615,65.3123,23.7689,30.3617,36.9404,45.1486,91.2364,468.3921,43.2604,210.5279,7.4156,21.0904,81.1958,46.0377,13.1557,306.4676,670.3493,71.2411,190.6545,131.4226,34.3491,18.1915,135.7829,96.4508,310.1139,88.8384,93.4417,241.8409,332.3399,233.7247,343.007,94.7973,187.779,79.0878,113.3533,0.0
FIN_O,53.6714,1.1147,3.2395,13.2904,0.0481,67.5491,19.1529,67.4066,105.4254,10.0823,58.4903,10.6952,44.0709,40.4244,49.9691,86.2991,244.3614,48.5299,200.4088,6.3815,24.2713,73.3778,46.3171,21.9268,268.5699,637.0025,182.0504,16.7938,31.1928,47.9587,8.7179,25.9021,82.1095,197.8609,109.0573,123.9527,137.551,251.008,74.9576,111.5419,42.151,134.7744,56.734,81.0872,0.0
FIN_P,4.4727,0.1092,0.4917,0.7872,0.0036,9.1686,1.2962,2.8428,4.2982,0.732,11.4153,13.9595,3.2102,11.2735,9.7723,10.3613,98.5141,15.5058,43.055,2.8595,1.7696,5.8672,12.5536,1.5342,10.055,179.0774,19.1886,7.5231,1.0258,6.2005,2.9538,18.6646,17.5887,32.7284,65.7978,28.3597,18.0989,93.8095,28.7122,222.4566,186.1249,139.1729,65.9927,117.8472,0.0
FIN_Q,20.6151,0.0092,0.0338,0.0703,0.0005,0.9834,0.2368,0.3862,1.0136,0.1483,0.4636,0.0397,0.2207,0.298,0.4089,0.7793,2.1787,0.4209,1.1503,0.0571,0.3032,0.9738,0.6827,2.2633,6.6705,26.7067,4.4674,10.9588,5.6684,2.9907,2.9131,1.9706,19.2155,11.4982,36.2331,16.315,4.7917,12.4347,3.4093,100.2372,50.4357,793.5848,1.2579,2.5928,0.0
FIN_R,15.2032,0.5257,0.8442,2.3731,0.0006,4.1874,1.4303,2.7525,4.6052,0.8648,2.1171,0.8479,1.9677,2.0663,1.5071,3.1026,7.344,1.803,6.7543,0.1361,0.7896,2.968,3.4841,2.0001,29.6817,99.3759,22.0093,17.6434,5.4123,3.3393,5.4372,35.5459,11.7502,15.0961,4.5788,20.7051,14.5363,82.1851,24.8906,20.9548,47.4448,11.2277,46.8202,4.86,0.0
FIN_S,13.7728,3.9689,0.3455,1.4662,0.0012,11.5172,3.6268,7.3956,17.1261,4.3108,6.0242,1.1605,4.4827,5.8657,7.9549,13.5679,51.9896,10.1387,19.8701,1.408,4.0603,7.9288,8.8429,4.6067,28.2042,117.9912,89.6681,2.8124,2.9115,5.0904,1.9366,74.2155,14.0611,15.0076,23.5955,58.0384,23.6226,65.7828,29.0761,51.4941,46.5531,117.6687,29.7355,27.9541,0.0
FIN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
