V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_C20,192.9899,3.4693,2.5361,13.118,1.4237,58.801,16.8019,24.054,17.8679,20.6884,95.7321,12.5071,143.0695,11.3923,6.8438,8.0226,16.6994,5.5761,4.7379,3.1799,8.4931,6.2073,4.0519,3.4352,71.5677,54.7552,20.3406,2.1095,26.3547,5.7394,1.8909,17.7514,20.887,1.6254,1.658,1.2604,21.7232,17.2534,15.363,12.3865,7.1523,16.0362,5.5969,8.6422,0.0
NZL_C21,39.1819,0.3523,0.5146,2.0869,0.2527,9.1539,2.6403,3.8856,2.5587,2.955,15.0045,2.5346,22.6526,1.7113,1.4567,1.7731,3.4784,0.8735,0.9433,0.5247,1.5009,0.9416,0.8621,0.4375,10.1418,11.7566,0.7169,0.1025,1.0426,0.5469,0.2598,2.177,2.2805,0.2334,0.1722,0.3657,3.4026,3.4133,1.5838,1.8811,1.1914,18.7291,0.7437,1.2763,0.0
NZL_C22,103.2258,4.2494,1.7907,6.012,1.2286,326.6819,14.1404,23.5175,17.3709,58.0688,52.2946,10.4567,153.6923,9.945,9.6302,22.2473,17.1718,25.6628,17.9037,6.0547,5.8681,26.1887,2.6269,4.9441,248.1962,145.4926,84.376,1.6181,4.3452,10.1274,9.1962,17.0573,17.8117,2.8896,5.2878,3.4953,24.7275,25.235,14.6046,7.7538,7.5372,16.5776,6.0393,11.0362,0.0
NZL_C23,11.3077,0.3346,7.5683,4.835,4.6428,81.0445,0.6558,2.8633,1.3423,2.1204,8.3248,0.4118,3.3435,168.4875,3.2287,47.0396,41.9057,3.5764,4.4651,2.8171,9.2891,4.0988,1.0098,3.4852,863.8491,13.2348,6.0098,0.1046,1.0219,0.2973,0.1208,2.4261,1.1975,0.3341,0.2455,1.1983,28.9023,41.4352,12.3964,0.8762,6.2404,1.3811,0.535,3.5938,0.0
NZL_C24,5.748,0.0,9.9365,0.4383,1.3583,72.3211,4.4619,20.868,20.3865,39.2127,13.4578,0.097,26.2177,17.813,379.2101,449.2228,11.8599,51.3253,184.9922,16.6191,24.068,51.787,0.0,3.0894,575.5863,93.0304,1.7526,0.015,0.0,0.2274,0.0,12.6188,8.2707,0.0,0.0,10.6251,18.8682,4.2089,0.0,5.493,2.6085,1.3075,0.0,20.6223,0.0
NZL_C25,83.2874,1.886,10.0325,4.8243,2.4727,155.5614,8.9557,26.5335,27.8612,38.5965,21.4982,0.9979,38.2139,30.1105,312.0148,377.8016,25.2175,50.481,179.4607,15.4746,28.4278,54.9897,8.1082,7.8202,754.5292,137.6036,6.0439,0.7592,6.5067,2.875,0.27,25.9672,14.4175,2.5765,1.0063,12.3103,142.2935,17.652,15.2951,30.3795,13.1496,7.4277,3.119,24.7824,0.0
NZL_C26,1.192,0.0367,0.4256,0.0221,0.1215,22.8016,0.2223,1.7639,2.9551,0.2931,3.5207,0.45,1.9421,0.4063,0.1188,1.506,33.5015,5.6422,1.9561,0.9158,5.4097,1.1864,0.8761,0.8361,21.3013,26.9958,0.691,0.011,0.6821,0.3353,0.7579,0.2795,15.9603,32.718,18.3785,0.3766,0.3537,35.5244,4.7291,8.352,11.5517,40.0243,4.8055,7.9292,0.0
NZL_C27,4.4085,0.1482,0.2507,0.2696,0.0507,5.0255,1.0702,0.7703,1.3238,0.4603,0.9227,0.1534,0.9787,0.7297,1.0233,2.2038,28.5341,35.6374,16.7296,1.8717,1.0337,0.6569,3.529,0.1132,110.7409,8.5832,0.7336,0.0452,0.4983,0.1541,0.8733,4.6937,1.0201,23.9151,0.53,1.3372,4.4054,4.3365,4.7367,4.1153,1.3544,4.2131,0.538,2.0896,0.0
NZL_C28,26.1144,4.121,5.2195,5.3644,1.4322,32.7168,5.6631,13.3441,21.9823,19.5449,7.9701,0.2916,4.3861,6.9651,25.7699,18.2253,12.0425,9.4254,45.1609,10.55,46.5174,6.489,11.8789,1.5649,118.7088,63.0949,2.9664,1.6993,14.0158,3.0246,0.429,8.1134,21.7094,5.836,1.398,2.237,6.9743,17.408,14.2188,10.5182,20.3422,7.0797,6.0073,3.4426,0.0
NZL_C29,3.0653,0.2909,0.0768,0.1604,0.0429,1.2175,0.0962,0.3884,0.2825,0.0536,0.3153,0.0292,0.2334,0.2784,0.2902,0.2499,0.0466,0.1207,0.3744,2.1026,0.221,0.5401,0.0653,0.8266,3.9342,7.894,6.4717,0.2391,0.0815,0.8653,1.1892,0.3718,0.2097,0.313,0.3341,0.8144,0.4851,3.2211,4.2539,0.7941,0.1003,0.3395,0.2666,2.1923,0.0
NZL_C30,9.6856,0.7135,3.0968,0.7962,0.2521,9.47,0.5842,1.1864,1.7396,2.3412,1.272,0.3842,1.6783,1.3372,0.9815,3.9519,7.669,8.4591,5.8398,2.1494,48.6674,0.9764,9.7124,0.6689,39.9357,12.6523,3.5447,1.7651,13.3793,4.9357,0.3361,2.7109,1.6125,5.387,0.6907,1.7505,6.9888,22.2353,5.5904,12.4671,1.6821,2.0347,11.8107,4.6195,0.0
NZL_C31T33,12.0504,3.7217,1.4675,3.1615,0.7122,22.1044,14.4454,10.0692,10.8722,13.7697,3.967,0.1806,3.412,4.6538,38.8583,8.51,3.2415,1.9609,4.7673,3.9232,4.5308,6.0812,7.2063,1.4574,36.7756,46.8443,2.2562,0.9791,9.2662,2.0671,0.1318,5.0188,16.0267,1.611,1.3177,0.9307,44.6305,10.1855,7.1054,8.0876,18.4243,6.7122,6.4113,4.818,0.0
NZL_D,198.2937,13.557,57.6051,39.5984,5.3419,227.3361,13.5436,75.6575,182.3436,77.8927,32.5754,3.1031,42.0966,51.2595,299.1843,31.771,16.2753,6.1986,7.835,2.4379,3.4713,13.7006,3780.9983,30.1359,101.911,329.9637,6.9594,2.0231,7.0238,15.2783,3.1657,95.2105,30.7416,12.113,7.0675,45.976,254.9016,62.1952,25.2775,56.5372,146.3598,90.0593,33.5016,29.0208,0.0
NZL_E,71.5907,3.1693,5.5202,3.0281,3.7118,60.4173,1.4545,19.4102,23.262,20.091,6.9177,0.9497,1.3745,2.1914,1.8342,2.0637,0.33,0.6243,0.1541,0.0491,30.8485,0.7594,13.3838,351.3137,88.2906,25.4751,6.8072,0.0662,0.449,1.029,0.0526,7.2988,2.7337,0.2616,0.081,13.3086,181.3992,17.0837,14.5721,26.7166,8.7297,49.8625,6.9968,36.0125,0.0
NZL_F,117.3759,2.3591,81.0717,17.1073,28.1645,31.8556,8.254,24.2976,19.3417,12.8563,10.1136,1.2952,6.1766,19.8969,14.8983,17.15,3.9252,7.4488,21.4694,2.8211,8.5457,15.8243,198.8553,34.5913,5630.9095,197.6517,9.6224,3.0496,23.5105,16.8495,3.1268,57.7186,23.7458,8.319,7.8896,98.4205,1033.5651,119.3578,73.8416,95.3281,123.1584,53.4198,40.7554,80.1803,0.0
NZL_G,734.9047,75.3055,28.3104,44.453,13.2201,1258.9301,195.1219,218.7695,213.7779,188.4456,144.9102,29.7989,194.3557,97.2233,199.1937,228.2004,116.2655,73.1537,112.8586,33.8895,74.6594,73.7009,216.3741,35.1477,925.3047,869.4554,362.3348,36.3289,281.6524,72.2182,25.2863,290.6479,198.8104,78.7914,45.8189,98.5014,280.2663,327.8077,188.6893,163.332,158.2245,284.7621,108.0484,130.3949,0.0
NZL_H49,222.348,11.9444,14.9409,23.5832,4.0117,458.8578,26.3483,76.8812,59.5119,125.0565,78.3644,7.1154,71.6426,57.7778,49.4459,47.9982,28.7907,12.6742,20.3188,6.1487,9.0546,23.1944,20.1936,16.9123,139.0305,586.7875,345.4178,11.1885,43.3504,31.3573,14.1768,25.6165,41.0068,9.7053,4.191,13.2912,22.0537,56.3922,43.725,27.8317,34.1288,21.6664,18.3389,37.8185,0.0
NZL_H50,9.6097,1.4091,10.1834,2.6669,0.4875,31.9147,1.961,3.4387,9.843,3.8012,3.6159,0.2777,2.8814,6.7405,2.3935,2.1804,0.9659,0.7757,1.313,0.2428,0.3125,1.1708,1.2104,0.7732,7.7507,38.316,13.0645,3.3677,3.8542,4.6905,0.4762,1.9627,3.5179,1.6396,0.8518,4.3794,4.4548,8.5425,7.6918,4.3558,3.1884,3.392,3.0817,3.6554,0.0
NZL_H51,44.6761,3.7473,12.7471,3.8699,5.026,66.0447,7.8878,9.8244,9.0601,32.2497,12.7106,2.4985,15.5391,5.4279,5.8394,15.7039,9.757,5.3738,8.7804,2.4896,7.3202,6.5865,12.4616,2.5785,72.1294,116.2366,19.9889,3.5064,45.7823,12.7786,22.4644,14.6721,13.4705,6.511,22.1756,10.4652,12.9173,60.6866,26.7139,52.2881,32.6105,20.3338,22.256,27.8341,0.0
NZL_H52,64.5503,16.7756,11.0495,10.0532,4.4737,177.0829,6.5807,27.4324,21.8197,24.5553,16.4266,2.1781,12.2936,14.7104,9.6568,10.1942,6.6648,2.616,5.9894,1.6091,2.7763,5.0026,6.959,2.2313,40.311,167.5649,158.735,56.2745,190.4483,76.5345,2.8638,13.4459,16.2367,5.5224,6.0617,16.8586,29.7598,40.1154,32.9828,20.1199,9.8648,10.4086,9.1657,29.2642,0.0
NZL_H53,21.6728,1.1007,0.8597,1.5601,0.3974,30.0597,2.4025,5.2704,19.5641,3.2389,5.3471,0.8527,5.1206,4.7146,1.1073,2.8117,9.7729,2.6002,2.5368,0.3473,0.6457,2.9083,11.7117,3.4586,31.6424,114.7284,4.2479,0.4668,2.7817,3.2909,123.259,11.9636,36.2013,30.6694,14.5133,116.9079,9.9235,69.0653,27.5378,35.4297,17.4595,28.5637,10.4384,26.7963,0.0
