V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_G,4085.9582,93.9249,364.6201,25.3947,3.9942,21474.3037,12172.5438,2355.4211,3298.631,3530.8432,5233.5648,2441.7442,3868.9121,3508.9033,3610.0027,5777.2379,2117.9561,3111.9292,7561.1911,4700.9509,1604.0252,5724.5495,2793.6268,1451.8636,13014.0918,22788.9167,4535.1887,1059.7761,937.9986,2930.2652,102.7227,7010.0643,1840.1464,1510.9542,1415.8969,1033.9167,918.5859,3308.9893,3762.8414,2600.288,323.6283,3776.0684,767.8858,1009.4672,0.0
ITA_H49,917.2849,23.1634,200.8285,11.9382,3.5819,4780.6227,1764.774,611.8466,763.4644,1349.5035,1317.4515,294.0355,969.0713,1434.3829,1121.9965,1645.4685,379.1305,862.7311,1906.6477,1315.4078,376.931,1341.7083,916.8657,312.7717,5469.1594,6673.6459,4035.813,281.3924,285.418,6613.4969,251.3792,1216.4296,510.89,449.6868,712.5755,290.5263,187.3632,1547.8215,1856.6164,638.7735,46.3289,905.1652,265.15,390.0892,0.0
ITA_H50,63.0168,1.5113,21.8674,0.7211,0.221,363.8334,197.3218,45.8345,68.1399,311.0704,140.5713,39.764,90.9049,75.0115,137.5711,140.0402,48.4946,68.1863,167.831,106.7481,38.7774,113.2507,153.2816,29.4244,314.7607,689.3083,427.0951,130.686,93.7735,373.9821,3.0873,110.2891,31.6875,71.3523,42.5459,25.9149,24.9821,79.3935,160.3017,53.9353,22.2028,72.666,15.4507,29.3059,0.0
ITA_H51,26.5221,1.9862,26.6975,0.5707,0.1676,168.3008,209.1902,21.0582,35.9323,193.7614,98.4894,24.7864,110.0192,59.6883,82.9389,126.1653,69.1974,112.9647,172.7856,70.109,27.0384,74.5942,104.9914,16.1003,577.251,539.0621,57.7748,114.1365,106.5688,68.3382,13.1581,47.4637,41.2471,204.8532,154.7325,220.2411,19.1154,613.868,537.1139,92.9093,26.7134,41.4398,26.5022,80.5521,0.0
ITA_H52,163.9484,4.0233,283.4477,4.568,3.3339,2462.0532,1705.2086,180.7876,459.1986,661.3183,738.0466,179.263,519.4251,541.1044,481.1833,693.9538,148.4239,320.2824,945.0331,496.4784,166.1054,609.3153,257.1535,180.0103,2629.1088,11552.5776,8312.174,2427.5333,1649.0781,7734.9608,55.1405,509.1404,358.2662,1076.2603,599.2965,268.8924,254.6553,1040.3646,2722.4871,457.0348,50.3324,230.6389,107.9602,336.3679,0.0
ITA_H53,14.1267,0.2396,41.3594,0.7736,0.1795,161.1229,106.3545,17.9571,57.0445,66.361,53.4765,13.8509,37.8154,50.9752,48.0369,67.3239,16.9908,45.6669,92.0883,28.7568,34.308,57.2816,98.8558,91.8754,968.2562,781.607,174.9216,21.4785,20.7941,168.9784,51.2458,132.3772,148.0401,491.8994,118.8082,868.4852,159.9963,755.9176,558.7744,1443.3628,7.8068,219.79,106.48,107.4066,0.0
ITA_I,16.7389,3.5075,130.9532,1.8684,0.3627,381.1192,427.0377,157.2208,109.3791,119.2504,163.9736,59.7797,272.8907,277.9472,150.9584,551.6229,201.899,644.3636,1054.6907,145.9343,55.2486,323.794,261.6533,47.9555,2897.2194,2986.315,637.7994,72.0035,85.9785,204.652,2.6257,648.1193,380.9518,368.7386,408.8382,382.0473,527.8268,1848.6546,1873.6007,365.6551,42.5256,1128.9062,474.6155,123.8884,0.0
ITA_J58T60,3.7548,0.0745,46.948,1.4995,0.1129,1023.5933,602.6919,109.1643,327.0027,58.7544,294.9634,142.9794,221.2274,136.3358,44.9115,212.4759,60.7452,173.4936,273.4063,106.3193,53.3047,218.6879,35.9886,92.5614,681.4275,3278.0755,96.058,19.5546,38.967,72.134,7.5067,166.046,2278.0432,756.2651,229.6962,226.9893,146.0946,1943.9044,588.5256,849.1747,36.1371,129.3126,3028.1637,132.6747,0.0
ITA_J61,27.5789,24.724,215.7246,3.4632,0.5995,549.0707,447.2969,126.2327,174.9687,344.9439,270.4469,61.9213,246.5603,329.1161,201.9575,565.6873,314.9561,525.8144,633.4412,166.2255,164.5095,359.7606,865.266,409.6798,2940.8862,4944.9786,1052.0356,72.9285,177.7604,675.7261,23.1973,573.062,554.0725,835.1696,1516.5918,2939.3621,728.8729,4319.8746,2903.4372,2285.8604,20.3023,1320.5795,788.6934,404.018,0.0
ITA_J62_63,52.1832,7.1777,161.1391,2.3684,0.3645,417.9618,410.6124,88.2313,219.2423,391.9567,250.4837,79.7761,285.4645,235.1424,249.0474,816.279,332.3522,479.1402,640.5689,531.3073,388.8938,453.0839,455.4047,217.4381,2913.4317,3558.3281,709.3814,46.9587,221.3116,519.6803,667.2661,273.8584,391.8615,2692.1462,5241.7053,5615.6018,743.2323,4736.4179,2605.8449,1131.6398,42.4748,617.288,377.5544,348.2271,0.0
