V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T
SGP_C20,0.3796,0.1343,0,0,0,8.6141,4.8489,0.2916,26.8992,44.0747,3468.1302,42.1796,132.3283,30.6138,10.661,20.6964,265.2763,30.392,34.8921,3.1235,6.7586,19.1628,2.3193,17.5563,102.6188,84.5893,0.633,3.24,0.1839,6.2615,0.5233,5.6726,44.0245,3.9768,1.2984,6.3993,19.879,87.5879,14.4076,47.6147,5.0426,42.2172,3.8739,20.5937,0.0
SGP_C21,0.0878,0.1224,0,0,0,2.1144,0.0198,0.0405,0.0517,0.3026,7.4633,101.9307,0.0317,0.0141,0.4385,0.0537,0.617,0.0233,0.185,0.0141,0.1146,2.4572,0.0068,0.0803,0.3929,0.3763,0.0025,0.1226,0.1015,0.1959,0.004,0.057,0.0745,0.0461,0.0183,0.0198,0.083,6.789,3.8469,48.4965,0.0445,172.0726,0.1565,2.6862,0.0
SGP_C22,0.2566,0.2502,0,0,0,10.6283,1.7174,0.2361,6.5829,1.383,104.3224,1.449,29.5522,1.7686,1.6984,6.9476,84.1126,7.3213,31.842,2.6538,2.3266,20.2744,0.1007,0.9008,26.8273,104.7444,5.2341,2.644,0.2322,5.0665,0.2859,7.4793,4.6012,2.0252,0.356,2.0063,0.6734,16.3887,2.4974,6.5717,3.4684,2.125,3.1167,3.921,0.0
SGP_C23,0.0653,0.0039,0,0,0,2.2755,0.069,0.2171,0.1031,0.742,28.2221,18.5239,0.8085,72.7156,9.1584,8.202,200.2284,5.4397,9.8466,0.3722,7.2968,4.5186,0.142,0.7232,200.6485,15.3544,0.382,0.4821,0.6352,0.3558,0.3231,2.5761,0.9714,1.2977,0.8922,2.1007,18.7966,18.9597,3.6689,10.8132,1.8369,0.3769,0.8213,2.8256,0.0
SGP_C24,0.0027,0.0,0,0,0,0.6165,0.1592,0.2012,3.2599,0.0094,19.3134,0.0269,0.7636,1.0357,49.1917,148.5585,31.5821,19.2743,76.2212,0.7373,21.704,5.8164,0.2105,8.7026,83.7962,1.2085,0.0088,0.6759,0.2104,0.0685,0.0,0.0864,0.0042,0.0,0.0,0.0272,0.1316,4.6555,0.7774,10.2674,0.0334,0.0,0.0,0.0101,0.0
SGP_C25,0.0842,0.1507,0,0,0,24.2189,0.5803,0.7307,1.4194,17.496,64.244,0.4267,5.1452,6.7102,4.7867,177.1302,214.703,39.5815,297.9169,12.3164,29.9081,26.741,8.9948,2.2495,334.8725,46.6412,0.9522,0.633,0.0413,2.2663,0.1334,2.4269,5.236,0.9015,3.0149,1.1219,14.4556,54.27,2.4468,225.1974,0.5363,0.1396,2.6191,1.8195,0.0
SGP_C26,0.0567,0.035,0,0,0,3.4556,0.2939,0.2063,10.9612,4.3793,21.809,0.7114,34.9974,6.7853,4.1671,163.8034,10915.0744,131.1471,254.8029,41.2273,97.5022,93.0928,7.2447,6.0054,44.6953,526.3483,1.4833,13.1884,19.6725,21.3547,4.6243,8.3578,68.7975,255.6763,439.2956,39.7371,7.8459,261.6812,40.1262,439.2965,34.7241,21.4609,22.3336,34.3244,0.0
SGP_C27,0.0148,0.0146,0,0,0,0.9439,0.2538,0.0537,2.1687,1.7181,9.7228,0.3795,2.6065,0.6191,1.0,9.4109,199.6259,73.9158,39.1927,1.0259,6.2753,2.575,9.9806,1.8169,30.4456,16.6671,1.7001,0.179,0.243,0.9949,0.0488,0.5883,3.911,7.3989,4.9678,2.7203,1.9132,12.6201,2.8226,11.1871,1.5805,0.3221,2.853,7.6649,0.0
SGP_C28,0.0715,0.0849,0,0,0,6.969,1.0148,0.2485,9.3759,17.8809,71.2928,3.1696,12.5519,3.4027,7.5914,40.1995,344.1476,23.1972,1459.2399,6.0258,47.5428,12.8381,1.1286,11.1148,110.243,44.0271,4.3845,13.7301,0.8075,35.3889,0.3479,3.5363,16.635,3.568,1.1069,1.6634,6.3299,75.5138,32.8274,107.1661,0.6761,0.9219,2.9597,27.7635,0.0
SGP_C29,0.0012,0.0012,0,0,0,0.033,0.1787,0.0023,0.0559,0.1249,0.3168,0.1777,0.056,0.0212,0.0273,0.149,5.4356,0.6701,2.7677,0.3731,0.3207,0.3048,0.0551,0.0699,0.3616,1.7213,2.415,0.0735,0.0292,0.0826,0.0045,0.1236,0.1135,0.1726,0.1853,0.2144,0.2141,0.5855,0.1793,0.5961,0.1218,0.1193,0.0401,0.1175,0.0
SGP_C30,0.0131,0.0748,0,0,0,0.5468,0.1157,0.0511,0.3134,1.1477,1.8825,0.1927,1.7877,0.0973,0.1921,10.3859,9.333,51.9916,64.1931,4.4007,1632.9201,1.1299,0.3236,2.0722,10.3285,103.0267,1.9257,660.9276,256.9399,127.03,0.3366,0.6057,0.943,0.4633,0.5503,2.9548,2.3986,16.2016,37.7026,593.9865,1.8715,0.3502,0.5667,0.8894,0.0
SGP_C31T33,0.0184,0.0141,0,0,0,0.2065,0.8584,4.5364,0.5283,0.9223,0.6684,0.4753,0.4025,0.438,3.583,2.1221,14.2392,1.6052,9.7231,0.4827,13.4478,239.9733,2.0809,0.7666,42.6537,20.3957,1.4942,0.5214,2.2008,10.7845,2.2851,0.7717,10.5002,14.3857,0.7836,1.4087,61.3548,66.9652,10.4308,37.1656,4.8194,58.3383,5.6907,5.3502,0.0
SGP_D,0.6924,0.7834,0,0,0,15.9298,4.6109,0.4628,11.1736,76.9649,668.2168,7.7199,18.8003,12.991,28.2239,34.5218,257.0903,14.9232,74.9697,2.7705,16.8765,11.9697,1903.4331,187.037,18.8105,81.5372,15.5545,9.8089,10.4837,21.2139,0.827,109.0168,7.3835,27.4996,4.075,21.213,152.8298,26.1493,3.1648,72.6476,17.5665,30.4999,18.9925,38.3099,0.0
SGP_E,0.7765,1.75,0,0,0,11.7821,3.8119,0.326,5.1388,10.2427,142.1078,2.2973,4.1568,6.1441,7.0764,21.3563,178.9492,7.5283,50.1948,1.8733,17.0184,6.4303,24.6025,255.452,30.8364,73.3001,13.0701,12.2017,4.0974,8.3393,1.2437,89.2899,6.7533,13.8656,3.7777,16.2694,188.8891,27.227,5.2645,37.6678,13.3986,16.5074,11.489,52.5018,0.0
SGP_F,0.4506,0.2004,0,0,0,7.0077,3.0066,0.3114,6.1498,20.2579,55.549,3.2869,4.9275,29.0636,1.8009,13.6786,68.9058,7.9973,60.538,0.7468,9.4878,42.8701,8.5919,21.162,10770.081,11.1304,1.7613,0.7946,4.1262,6.497,0.5875,9.2761,6.5302,2.8942,0.8872,9.2653,729.7314,198.6446,3.8553,171.7781,7.7989,7.691,13.9388,12.2006,0.0
SGP_G,7.2113,9.1582,0,0,0,501.588,160.6035,18.514,161.8782,1356.4702,1878.5286,85.6837,89.921,72.1094,60.9634,257.0987,6389.7204,130.4568,826.3622,19.4304,146.4207,196.3355,144.0623,42.0361,689.6629,626.8812,57.2428,189.767,93.279,61.5658,11.2576,615.6832,653.6571,206.2464,149.756,186.3329,138.5902,570.7537,97.842,416.3267,83.0524,228.3515,52.0021,85.7916,0.0
SGP_H49,0.5812,0.5687,0,0,0,23.149,4.9531,1.5404,8.8451,150.9612,112.0594,1.923,5.9481,7.1186,4.8033,19.7811,255.5706,8.3531,54.5146,1.8636,10.8592,10.6956,10.3189,3.8309,44.2758,130.9398,193.7998,34.0878,9.1463,17.8449,1.6344,23.0336,20.8889,5.7728,3.3015,24.674,6.9719,34.3682,12.7429,31.4136,8.0655,5.5227,3.3201,4.3136,0.0
SGP_H50,0.4127,0.9288,0,0,0,31.331,12.2857,2.1645,11.9136,509.573,253.5435,3.1463,11.068,10.449,5.7622,34.2793,356.061,25.769,133.4147,2.6362,39.7685,29.5142,13.083,10.4912,45.9511,3278.8206,72.5527,3664.599,22.7239,143.0551,3.7259,14.6529,69.7088,28.4797,4.4272,17.2082,11.9874,31.6543,328.3428,45.515,6.8638,5.4557,2.818,3.3838,0.0
SGP_H51,1.368,2.4342,0,0,0,16.0994,3.7092,0.9038,5.7168,191.1777,102.3344,1.6047,4.0536,4.3093,2.7321,13.066,177.2298,9.891,39.8823,0.8016,15.4488,14.0895,6.9734,6.3988,22.7772,165.578,7.8306,8.1312,932.0623,26.1907,7.3198,11.9698,28.362,4.816,14.5414,122.9051,14.3069,129.1196,71.2613,62.4192,23.41,17.7189,19.0518,12.851,0.0
SGP_H52,0.1483,0.2475,0,0,0,16.7825,5.3713,1.6506,8.6157,44.8258,210.4598,3.1878,4.1164,11.5491,1.4742,12.7709,223.3862,6.3483,30.6179,1.1465,25.2122,8.5062,11.9322,3.112,182.4061,1220.0362,118.3398,2299.1574,80.9173,770.4404,24.641,11.1375,77.0173,76.7902,13.1756,39.8227,21.45,81.2075,73.009,96.7202,4.8786,6.8472,12.1002,9.7666,0.0
SGP_H53,0.0137,0.0431,0,0,0,2.49,0.4561,0.0637,0.2888,0.9259,8.2187,0.37,0.2756,0.2183,0.1765,0.5183,47.5753,0.9257,4.4049,0.0376,0.4573,0.3581,0.4645,0.7578,8.7078,16.3455,7.3245,10.9989,0.5152,14.7656,159.2887,2.618,38.8811,128.0602,13.703,10.2289,33.011,34.0274,10.3895,3.9121,0.8136,0.5739,0.3779,5.7397,0.0
SGP_I,0.32,0.4145,0,0,0,16.8205,3.1742,0.4079,4.6514,2.587,45.8089,2.475,5.6259,2.2285,1.6908,12.0225,70.7923,6.4772,45.2886,0.9133,13.0319,14.4638,1.3568,3.1629,27.3746,94.5963,3.2087,11.0814,54.433,14.2962,14.3237,61.6169,24.9846,18.9912,16.9946,87.5414,19.8045,76.8532,27.825,55.8156,21.9748,17.2314,14.3993,18.6794,0.0
SGP_J58T60,0.0563,0.1249,0,0,0,57.6173,2.196,0.2998,73.4526,10.2039,50.9902,2.0364,2.5618,1.8748,0.9259,9.7455,177.7534,6.7794,22.9285,0.4705,8.4601,9.276,9.5646,19.3759,7.859,236.3507,27.261,23.7846,33.9587,36.9891,22.0243,33.9623,1311.9601,163.0058,4.5325,213.6722,208.5508,367.8638,62.9961,86.6652,106.5846,49.5262,82.6488,48.9052,0.0
SGP_J61,0.3326,0.4141,0,0,0,4.3537,5.1261,0.5108,9.9211,5.9612,77.0251,2.0215,6.1216,3.1476,1.9245,15.4227,118.4276,9.8093,56.1551,1.1751,16.8229,11.9504,4.7029,8.8854,80.3736,456.2086,10.5001,38.5299,65.226,20.6451,67.6466,31.9947,119.1979,903.8392,144.566,445.6683,44.5556,507.9139,101.9842,123.9254,53.6774,32.484,28.046,18.592,0.0
SGP_J62_63,0.0703,0.1171,0,0,0,7.3782,0.7517,0.1006,2.165,16.0925,31.781,4.4746,1.2718,0.8302,0.7159,5.6438,240.7516,4.4237,20.5891,0.2116,6.0621,4.4545,2.4376,1.6957,9.4975,44.2449,4.2467,9.6751,7.5902,7.7655,1.727,8.615,34.9153,28.1617,342.8241,128.7933,40.7265,105.945,25.7437,68.3971,29.1359,25.9817,5.2594,6.0943,0.0
SGP_K,3.5877,2.9777,0,0,0,25.3711,17.09,2.0829,17.6784,145.4623,390.6387,38.9804,14.0385,11.3291,9.1908,42.6619,872.8364,31.2703,173.2449,3.1526,43.6281,51.4434,80.5956,27.4742,386.1603,783.3326,58.3638,86.7766,64.8862,37.2634,1.9649,82.6963,65.4091,45.7834,50.3976,7605.7508,1492.6218,405.7527,83.7309,208.785,52.7713,74.6995,32.1993,31.4793,0.0
SGP_L,0.567,1.1389,0,0,0,37.3966,26.7209,2.9123,41.29,27.0886,109.909,80.4161,29.4258,14.1888,3.6471,54.293,543.6263,25.2709,163.0373,3.8195,48.7659,47.3297,13.9457,15.391,153.5409,1322.9568,41.3335,49.8107,83.9113,58.2629,6.2153,748.2958,103.262,105.9108,61.5733,364.7813,332.8471,428.9675,63.8844,180.9479,251.8128,185.1884,109.5341,175.126,0.0
SGP_M,0.5588,0.6366,0,0,0,55.5066,9.4824,0.906,16.8503,132.6633,293.7438,99.7573,14.7771,11.1327,4.4694,33.9826,1791.7738,39.1497,223.0309,3.8551,102.7285,106.1656,30.3245,73.6394,270.6348,659.2025,34.7802,80.6481,64.376,38.1813,5.9791,76.3072,145.844,252.7152,311.0401,265.4068,827.5837,1144.5858,108.5853,415.9498,74.5795,68.9174,47.0383,46.1714,0.0
SGP_N,0.484,0.4136,0,0,0,16.7747,4.0321,0.4425,7.6506,31.1225,126.3696,518.9419,6.5702,7.5475,1.6552,32.8403,1569.441,15.872,119.6712,1.7707,22.731,40.5571,7.1799,18.8293,335.0611,252.1315,28.1267,374.2888,24.6532,20.3931,1.8386,30.1937,39.0464,134.3113,16.0792,98.4908,51.4352,118.8888,133.5767,117.7809,16.2506,11.6837,15.6215,11.1656,0.0
SGP_O,1.1091,0.9671,0,0,0,13.3934,6.2891,0.4554,13.763,25.8768,119.7482,27.9868,11.2572,4.9409,7.9743,32.1813,269.5462,16.444,97.2057,1.6307,28.3635,24.4045,46.5951,61.6583,70.7095,267.6493,32.0014,24.0601,49.4566,40.9373,12.7049,122.8555,27.812,51.0981,55.8452,134.2233,263.9206,162.7387,21.5422,95.5429,77.631,65.3416,35.1123,49.2806,0.0
SGP_P,0.0674,0.0281,0,0,0,1.0399,0.2221,0.0199,0.4707,1.4696,5.1427,0.582,0.3469,0.5261,0.3153,1.373,20.5081,0.7117,14.0723,0.0791,1.7018,1.2248,5.5136,4.8334,1.1924,8.5538,0.8685,10.0268,3.9661,4.9125,0.2909,2.7539,2.0227,1.3797,5.4559,12.2979,1.7374,13.7951,1.5654,26.7306,77.497,8.3187,2.9317,4.6813,0.0
SGP_Q,0.5482,0.0048,0,0,0,0.2456,0.115,0.0111,0.143,0.3437,0.8333,1.1754,0.148,0.0529,0.06,0.2244,10.1505,0.1374,0.9072,0.0523,0.336,1.5436,0.9126,0.7397,4.4681,5.4738,0.4672,0.9111,0.3658,0.3911,0.0733,2.6967,1.4504,0.9053,1.8108,28.4919,2.5865,54.0719,7.0882,476.5408,2.238,249.5366,2.8218,13.9401,0.0
SGP_R,0.0537,0.001,0,0,0,27.2008,1.3054,0.1602,3.0621,0.7861,28.9212,0.6172,1.9453,0.9068,1.1161,6.295,92.5657,3.4134,28.266,0.4184,9.3148,6.208,1.5197,1.4789,29.2261,180.3582,9.9947,11.3664,17.9266,17.49,4.1393,33.7366,48.5104,25.386,10.2837,50.2337,55.5718,69.3908,11.0256,50.3074,65.4432,10.2705,122.976,22.5542,0.0
SGP_S,0.0706,0.0771,0,0,0,4.2131,1.324,0.1597,1.9757,10.5954,24.3957,0.8207,1.1409,0.9296,0.6928,3.0943,98.7485,1.8971,12.3812,0.1967,2.4378,3.0197,2.0616,1.3598,15.2943,47.58,3.663,1.9241,2.4004,1.416,1.8794,53.9306,7.4401,4.6225,37.2598,6.0463,52.238,13.0271,2.3475,135.9764,27.0672,16.4658,7.8299,23.0382,0.0
SGP_T,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
