V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_J61,6.8724,0.6744,0.2722,3.637,0.2291,45.3262,25.0791,10.4971,7.9442,25.1012,8.3102,14.2625,12.7567,22.3538,2.9832,29.2314,6.1992,4.9982,6.178,0.6813,1.3003,15.1089,89.3955,1.6829,229.374,1375.8058,28.3406,37.1256,32.3886,21.8313,1.766,234.1398,35.4127,1609.5844,10.4905,193.7884,10.3725,484.3814,199.4533,228.4816,9.3157,56.8257,30.7079,40.9672,0.0
GRC_J62_63,0.0,0.0,0.0226,0.5782,0.0503,1.915,2.243,0.3998,0.5216,0.8698,0.0622,0.4809,0.2915,2.8201,0.6337,1.4846,0.0865,0.4337,0.569,0.0309,0.0589,0.8853,9.058,0.3233,2.4214,0.0,13.0288,10.7549,1.2113,0.1323,65.2997,0.1962,76.0955,24.5607,36.3117,56.8422,0.0947,128.4659,31.3941,40.9995,7.9717,48.0185,22.6417,1.7541,0.0
GRC_K,291.2311,20.2543,5.2639,26.1141,0.7364,262.71,81.6143,29.8778,23.16,231.7418,30.3428,51.8243,37.0033,70.3309,47.2422,79.5959,12.5939,18.1172,16.0649,3.1383,10.8002,30.8249,247.029,12.2047,742.5064,4042.9653,126.8107,87.3287,58.2907,36.1381,0.5625,452.4807,93.3527,371.4923,14.6045,776.7722,347.0327,707.2762,198.8983,556.9169,44.8812,138.6563,128.8733,140.2263,0.0
GRC_L,18.5003,11.6173,1.6139,52.2722,0.1924,193.1411,123.456,33.2642,41.5181,35.9347,18.213,52.0572,45.5171,69.5785,10.9126,139.6402,8.8894,14.6029,14.3425,1.6067,2.7913,47.6101,71.6547,53.1635,711.3998,2731.8912,48.2171,214.4601,36.8864,128.6873,0.0332,294.375,86.1032,388.5946,36.3118,141.8006,96.5443,674.779,211.2009,295.1487,13.492,68.0988,280.8676,522.2922,0.0
GRC_M,41.7569,30.9106,1.3308,51.8178,3.9542,908.7718,162.7139,37.9423,49.4812,214.1597,162.9471,188.1475,69.0366,127.6571,71.8525,265.2447,97.4957,31.1037,44.3515,9.8133,74.4063,93.2136,41.464,4.0266,3121.2375,1162.9642,160.4407,541.1741,34.6235,79.8254,88.6518,366.6524,425.346,142.9987,71.2217,802.061,15.3849,2600.4771,446.1141,587.5829,116.0055,159.6587,174.8259,239.7988,0.0
GRC_N,21.6258,9.7815,0.5979,16.706,2.2608,226.8351,44.8491,12.8558,14.1014,56.4149,2.2882,144.4348,17.0036,37.6123,20.6882,80.2304,26.6944,8.5581,12.5179,2.7451,9.3275,30.2297,50.0498,36.0564,583.3536,347.1569,152.1662,305.6561,113.8549,6.2972,104.8676,147.6478,128.8874,73.3649,32.4326,374.1829,9.7505,591.779,439.609,324.5532,18.3615,45.7802,220.3299,112.045,0.0
GRC_O,0.5876,0.2888,0.8483,2.6312,0.0651,107.0238,18.5293,6.2952,11.6058,59.7348,9.1824,7.0249,7.5398,14.3338,11.1495,16.5836,1.9251,3.8546,2.6702,1.1558,0.7244,5.9474,44.7359,3.9956,121.4304,210.3563,19.6831,24.3279,14.5686,15.7392,7.3448,53.0302,12.9248,60.2908,3.1066,420.4101,10.8301,54.9104,21.0756,59.9844,4.0133,9.651,21.6971,18.5949,0.0
GRC_P,0.072,0.0452,4.012,5.9069,0.012,0.7513,0.4802,0.1294,0.1615,0.1398,0.0708,1.762,0.177,0.2706,0.0424,0.7043,0.0346,0.0568,0.0558,0.0062,0.0109,0.1852,0.3452,0.2394,2.7672,12.4085,0.1884,1.1951,0.1435,0.5095,0.0,2.2188,4.3323,2.2319,5.2186,5.0667,0.433,15.2449,4.7941,21.2997,3.6917,34.4928,2.4769,2.1528,0.0
GRC_Q,4.0336,0.0237,0.0028,0.0896,0.0329,0.3298,0.2174,0.0573,1.782,0.0647,0.0303,1.9194,0.0767,0.1326,0.022,0.2391,0.0152,0.0268,0.0272,0.0028,0.005,0.084,0.2671,0.1142,1.1849,4.4903,2.4705,1.2357,0.0785,0.2128,0.632,0.4851,2.8698,0.8016,2.3309,49.2074,0.1669,8.1662,1.5341,159.17,2.3303,95.3664,1.2097,3.2621,0.0
GRC_R,0.016,0.0111,0.0014,0.046,0.0058,0.1697,0.1099,0.0293,0.0555,0.0323,0.0158,1.2598,0.0562,0.0641,0.1425,0.1229,0.0078,0.0132,0.0317,0.0014,0.0025,0.0424,0.0802,0.0519,0.6311,2.9702,0.1988,0.349,0.0346,0.1129,0.0894,52.5857,80.162,0.3748,0.0881,163.407,0.0863,209.6608,56.5594,17.7989,7.6821,7.2662,271.6942,3.7054,0.0
GRC_S,1.6104,0.0001,0.012,0.2231,0.0144,4.0393,1.4496,0.4786,3.6652,0.8505,0.3883,1.1369,0.515,1.9367,1.0057,1.612,0.2644,0.2752,0.3462,0.0851,0.0951,0.6251,5.0104,0.4987,20.1502,23.1539,0.2825,1.3594,0.0937,1.3043,0.2245,18.9114,3.2413,3.7058,0.2155,1.5763,0.2419,5.3945,1.3534,4.8601,0.0818,4.4164,0.2133,3.8813,0.0
GRC_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
