V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_C20,20.972,0.1885,3.2935,1.88,0.0259,8.5172,11.9913,10.5708,5.2016,0.6865,43.8389,0.8618,13.3453,3.1819,0.1608,3.8625,2.2079,2.2074,1.3432,1.5082,0.2145,5.8926,1.445,1.4494,9.5346,3.8866,2.7484,1.5064,0.3594,2.6004,0.0537,1.3795,0.3193,0.1323,0.3029,0.3893,4.7412,3.3233,3.3275,1.5214,1.6783,1.465,1.2427,2.2828,0.0
EST_C21,0.51,0.0014,0.2706,0.058,0.0,0.2026,0.3908,0.0417,0.0103,0.0038,0.0996,1.5872,0.02,0.0094,0.025,0.0239,0.013,0.009,0.0068,0.0051,0.0208,0.0601,0.0161,0.0576,0.0557,0.4837,0.0181,0.0675,0.0043,0.0157,0.0677,0.0396,0.0039,0.0034,0.0129,0.0051,0.0141,0.8072,0.0629,0.1342,0.08,13.1145,0.0254,0.0081,0.0
EST_C22,3.0376,0.3271,0.9586,0.8451,0.0162,12.9545,3.2565,5.1801,1.4504,0.1457,2.2746,0.3276,17.9405,4.5289,0.0557,2.1352,5.7271,4.6788,1.9483,2.8397,0.7991,7.1606,0.4696,1.9549,35.106,17.8944,4.1661,0.1285,0.081,1.7781,0.0565,0.9027,0.1101,0.0461,0.4732,0.6199,4.8954,2.383,0.6891,1.3906,0.7928,1.0505,1.0284,0.7446,0.0
EST_C23,2.861,0.0462,0.3506,0.3534,0.0038,3.571,0.2592,10.882,0.4017,0.4553,0.7818,0.3955,5.8276,30.759,0.1177,3.8447,0.8582,3.4508,0.3501,0.4031,0.8271,2.9881,0.9059,0.4928,136.0799,10.5729,2.7472,0.4886,0.1327,3.7635,0.0502,1.0719,0.174,0.1075,0.5381,0.1364,7.0817,1.8567,1.6199,1.066,0.625,0.5697,0.4675,0.288,0.0
EST_C24,0.1189,0.4393,0.0347,0.0124,0.0003,0.0513,0.0655,0.1941,0.2541,0.056,0.7884,0.017,0.2089,0.3722,1.7949,24.9503,1.2514,5.5334,5.199,1.3123,0.0393,3.8768,0.0351,0.4935,2.5993,0.0372,0.0855,0.0149,0.0208,0.2486,0.0,0.0069,0.0265,0.0031,0.0008,0.1727,0.4531,0.3176,0.0843,0.048,0.0056,0.0013,0.0428,0.0472,0.0
EST_C25,13.9034,0.5164,3.4683,2.1648,0.0462,15.8485,4.3989,19.808,3.4372,0.5083,6.2296,0.8847,4.6664,12.2251,0.5996,118.3524,15.7349,36.5843,40.7983,9.2004,3.8823,32.6801,8.777,4.4274,130.0615,20.2037,3.6655,0.6393,0.3857,18.3499,0.1295,1.0397,0.1423,0.2199,0.9031,0.649,14.821,5.5612,7.7848,15.7167,1.5893,1.2018,1.8134,0.9127,0.0
EST_C26,1.7924,0.1699,0.3527,0.1854,0.0032,1.0429,0.3802,1.4823,0.6336,0.4327,0.4152,0.0358,0.3573,0.5993,0.1556,1.9855,186.078,8.2177,1.5631,2.0515,0.2687,3.2045,1.3303,1.1333,7.0757,5.241,1.8876,0.6172,0.4519,4.0074,0.1042,0.4043,0.2504,2.1359,1.4199,0.5262,1.0215,2.1254,2.0158,1.5556,0.6127,0.9857,0.5704,1.0792,0.0
EST_C27,1.3557,0.2067,0.3178,0.1503,0.0027,0.7619,0.2196,1.2731,0.2082,0.4349,0.3759,0.0182,0.3999,0.4529,0.0657,1.2664,26.714,22.5078,0.7109,2.9647,0.2359,2.6782,2.3675,0.3125,11.3867,4.2019,1.5894,0.2835,0.5139,1.5938,0.0799,0.3314,0.0663,0.1371,0.3371,0.1822,1.1743,1.1578,1.502,1.0614,0.3505,0.4251,0.1721,0.5473,0.0
EST_C28,5.6843,0.0836,1.5537,0.8645,0.0146,2.1046,0.505,3.737,0.6792,1.2451,1.0194,0.0993,0.5827,1.7855,0.1052,4.6552,3.9905,3.268,7.5255,1.5917,0.6676,5.0616,2.217,0.7439,6.4316,7.123,1.7314,0.1508,0.1565,2.7619,0.1358,0.2664,0.0406,0.0831,0.3783,0.3502,1.2224,1.3942,1.3156,0.7752,0.3086,0.203,0.2768,0.3259,0.0
EST_C29,1.5535,0.0208,0.5667,0.4192,0.0056,0.474,0.1303,0.7521,0.0856,0.0892,0.1166,0.0137,0.4134,1.1119,0.0287,1.6548,1.0944,0.4664,2.0104,18.1193,0.3243,0.7974,0.1982,0.1407,2.8246,12.369,13.5286,0.0744,0.0225,0.7088,0.0585,0.0621,0.0739,0.0204,0.0467,0.1444,0.3067,0.3783,1.4544,1.1974,0.1607,0.3471,0.1847,0.0429,0.0
EST_C30,0.0051,0.0139,0.0048,0.0006,0.0,0.0045,0.0108,0.0213,0.0044,0.0,0.0078,0.0,0.003,0.0018,0.0012,0.0674,0.0107,0.0045,0.003,0.0146,3.5506,2.7093,0.2693,0.0207,0.1516,0.6608,0.2601,5.5893,0.2624,0.3696,0.0024,0.0026,0.0078,0.0077,0.053,0.0,0.0221,0.0538,0.2699,0.3138,0.1265,0.0499,0.1667,0.0106,0.0
EST_C31T33,14.7855,3.688,3.5721,1.3842,0.0304,8.0258,4.0223,17.2561,2.6403,6.6388,5.1136,0.2289,2.2201,6.2004,0.1128,7.6012,4.3453,4.0525,2.5077,2.0715,3.1168,41.6838,13.8885,1.2308,26.9973,24.0054,23.427,2.7505,9.626,14.4229,0.8034,4.5368,0.8078,1.2483,1.0983,3.9244,8.2295,5.7933,12.5246,19.404,7.6011,28.7449,5.4487,3.4532,0.0
EST_D,27.8322,1.1856,12.0323,9.6716,0.0601,44.6087,9.8369,43.9685,37.0534,21.8229,22.3898,0.719,9.9956,23.2783,2.0993,20.2522,6.6644,6.2294,6.1314,4.7763,0.603,16.059,213.1169,17.4501,23.4727,91.9155,6.521,1.8078,0.4503,62.1996,1.3726,31.6998,2.26,11.8425,3.8771,4.5154,50.0935,11.1392,8.1294,28.0935,33.6096,19.1552,18.7097,10.1852,0.0
EST_E,8.86,0.2919,0.1931,0.1071,0.0014,22.2199,1.9582,6.1121,2.0267,5.0561,1.3869,0.1728,2.0152,3.0166,18.1095,3.5828,1.7862,1.2096,0.7345,0.6996,1.0306,2.9543,4.8027,137.4684,16.0581,11.5452,1.8951,1.4143,0.2115,13.02,0.1308,8.2194,0.1818,0.1846,0.6658,0.6471,20.6792,5.4303,3.6496,23.142,3.897,3.7651,3.3749,9.635,0.0
EST_F,23.9355,0.2287,0.5543,0.4018,0.0051,4.9169,1.5258,9.3652,1.382,0.9188,3.7303,0.159,5.9913,7.3714,0.7041,10.7943,1.9108,1.6934,1.7457,0.6832,0.3144,4.112,7.5254,6.2465,207.9431,31.0276,6.8091,3.2721,0.7377,31.6158,1.5381,7.8995,0.432,9.9504,3.3211,3.2479,155.8162,15.3738,8.8177,77.1505,13.1281,9.6071,10.222,3.0919,0.0
EST_G,105.3905,3.6681,9.959,6.452,0.0893,137.5002,38.8997,127.5293,23.509,10.5312,32.7899,5.5046,19.8416,24.8183,2.124,55.236,39.51,25.4699,20.5125,23.955,4.154,54.7615,42.3029,7.981,150.1679,126.6745,182.9777,24.1268,8.6295,36.969,4.7792,51.2402,9.2442,5.5746,12.8227,11.0578,23.3053,39.8996,30.6342,26.3667,17.6995,43.4249,13.7053,11.0325,0.0
EST_H49,31.5436,0.5825,6.3308,4.3796,0.0407,45.4794,8.3541,59.6277,12.4984,7.2964,7.191,0.639,5.9244,19.8512,0.6261,20.4484,14.4669,6.3364,7.4733,6.6819,1.5672,21.5964,9.8576,5.6889,72.0179,104.4316,78.4985,5.9304,1.702,127.2624,1.9892,6.2319,1.0319,0.4482,2.3955,1.4587,3.7573,8.4769,10.4438,6.9411,5.1025,4.5889,4.9695,4.486,0.0
EST_H50,9.1883,0.2057,1.0453,0.6573,0.0078,4.3874,1.126,4.9565,2.737,0.9327,1.8993,0.4799,1.3171,1.239,0.1205,3.6047,2.035,1.2405,0.922,0.5116,0.2239,2.3607,1.6857,0.6846,6.6447,13.03,5.2966,7.1413,0.8363,25.7334,0.1259,1.7876,0.5092,0.5494,2.0528,1.3518,1.7429,5.0697,5.8553,4.4154,0.7963,1.459,1.4959,0.7716,0.0
EST_H51,0.2713,0.0175,0.0452,0.0303,0.0004,0.4037,0.1243,0.2478,0.0701,0.0852,0.1836,0.0165,0.0804,0.0637,0.0305,0.4564,0.2314,0.1106,0.1163,0.1091,0.0277,0.1077,0.2643,0.0253,0.4146,0.1673,0.1973,0.2041,0.0389,0.3384,0.0128,0.0966,0.0185,0.0168,0.0262,0.0443,0.0488,0.0781,0.0821,0.0238,0.0242,0.1038,0.04,0.034,0.0
EST_H52,39.4195,3.5875,4.3879,2.7301,0.0228,17.3449,3.7595,25.2772,5.6502,2.1244,6.9062,0.2624,2.6856,5.8257,0.5006,8.9511,8.219,3.1559,2.9121,2.2251,2.7628,17.6078,6.1269,6.9502,15.0057,142.169,142.4494,73.9024,29.754,521.9724,1.3981,4.6391,0.6085,1.1781,3.8261,2.6665,6.7432,7.2658,24.9515,11.7431,3.5302,2.0067,2.5498,3.2984,0.0
EST_H53,0.3291,0.0098,0.0183,0.0092,0.0002,0.4708,0.3199,0.54,0.1805,0.036,0.1101,0.017,0.1777,0.0731,0.0043,0.1101,0.2745,0.073,0.0721,0.0639,0.0799,0.7137,1.5539,0.4664,0.5238,7.8568,0.6933,0.0892,0.1425,1.5541,16.534,0.3578,2.4393,0.6103,0.6053,2.0816,1.3828,2.6683,7.7921,2.2515,0.3844,0.4049,1.3101,1.8248,0.0
EST_I,0.5877,0.1299,0.067,0.0171,0.0008,0.7936,0.1427,0.8322,0.1903,0.0166,0.1982,0.0413,0.1038,0.26,0.0087,0.7146,0.5702,0.4899,0.2009,0.298,0.0426,2.0114,0.1286,0.0427,3.1786,5.1409,3.372,0.2489,5.436,2.0845,0.1006,3.269,0.6854,0.5276,4.536,2.8792,0.6133,4.4353,15.1232,9.852,12.3029,4.6665,5.4027,1.6232,0.0
EST_J58T60,1.9545,0.0601,0.1056,0.0492,0.0001,1.1316,0.3164,0.9804,1.8754,0.3517,0.1465,0.1186,0.0909,0.1115,0.0035,0.3917,1.9483,0.2524,0.355,0.0554,0.046,0.4396,0.8116,0.1578,1.511,20.2343,0.7695,1.0011,0.1257,1.9785,1.1893,3.9737,25.4223,6.7592,7.5749,3.5511,0.9787,27.0179,5.143,8.8666,8.7227,1.5516,4.4417,4.6715,0.0
EST_J61,5.2902,0.2211,0.3892,0.1324,0.0031,4.0621,1.1099,5.3177,1.9071,0.0749,0.3313,0.2156,1.4252,1.7514,0.0097,2.5543,21.4377,1.3835,1.5554,0.564,0.1966,1.8186,2.4578,0.7587,9.424,22.7679,4.1423,0.3089,0.2954,9.1352,0.4672,2.431,6.4477,109.3784,17.2282,7.0342,7.3898,13.9236,6.6218,5.1282,2.8544,2.0307,3.3123,2.144,0.0
EST_J62_63,2.8806,0.0318,0.506,0.3027,0.0047,2.7303,0.7454,2.2927,0.9507,0.3925,0.8476,0.1899,0.7633,0.711,0.0309,2.0893,9.444,1.7354,0.5751,0.9758,0.2445,1.3541,8.3689,0.4693,8.0378,37.4739,3.7773,1.1139,0.969,6.5686,0.7827,2.0697,2.6015,18.2349,69.3353,12.4593,2.6182,27.5792,6.2759,16.263,3.9133,3.5688,2.3647,3.6641,0.0
EST_K,21.1725,1.3435,1.0917,0.5972,0.0065,8.5204,4.0318,10.6205,3.7153,1.2614,1.944,0.3162,1.5827,2.1519,0.1955,4.9392,8.208,3.1432,2.1181,1.4987,0.7157,6.226,21.5303,2.199,30.137,99.5186,32.9237,5.5415,3.6932,27.5931,3.02,12.8887,3.5373,4.3817,8.0171,196.643,177.3069,33.5749,23.6314,16.2191,3.0456,5.3986,5.4714,5.3718,0.0
EST_L,12.0657,0.4073,1.2037,0.4857,0.0102,16.7187,10.4077,23.5582,6.1855,0.216,1.4924,0.392,7.4258,4.0074,0.8236,19.3991,13.0217,8.9134,5.5857,7.7646,1.0032,25.8276,9.7495,7.9605,17.2614,370.3823,12.8596,2.45,0.6865,80.5855,2.1082,85.6556,4.7385,8.4232,26.0216,27.5359,68.2245,70.3007,32.6316,34.1816,24.9251,15.4088,40.9318,19.1528,0.0
EST_M,26.5946,2.3582,3.1565,1.0802,0.0328,34.3971,8.1104,16.3785,8.4768,5.891,8.3064,7.0582,5.318,6.5282,0.7206,9.1465,18.4129,8.5946,11.6577,4.6062,1.5279,31.4445,20.5442,6.4768,143.3572,153.6262,18.4633,9.7492,4.0669,27.8515,2.3359,16.0489,12.4228,20.235,29.9825,26.7565,27.671,159.9558,55.4453,30.7555,8.8608,8.81,20.2906,14.8337,0.0
EST_N,7.4794,1.0258,1.258,0.6971,0.0108,13.7585,3.7104,7.6362,2.4494,2.0807,2.8298,0.2543,1.2263,3.2002,0.2135,13.798,21.1548,5.3857,2.0941,1.93,0.4361,9.552,15.9836,5.342,47.4218,89.6763,24.2419,64.6213,6.6023,49.6221,4.7345,24.749,2.0876,4.5171,13.6581,16.3112,67.7413,67.3579,72.5016,51.6625,19.6714,15.4578,22.4859,11.0802,0.0
EST_O,2.0348,0.7659,0.3072,0.1845,0.0024,2.1767,0.4812,2.1768,0.4442,0.1726,0.3258,0.1378,0.3851,0.3927,0.0597,1.0551,0.9699,0.4654,0.298,0.3312,0.0817,1.3318,2.7213,0.7394,6.0873,19.6826,3.8204,1.1372,0.4747,9.9492,0.1858,2.6944,5.2996,5.712,3.0039,1.2654,5.148,13.6417,3.0932,16.3255,1.726,1.5903,1.9008,1.2274,0.0
EST_P,0.808,0.0182,0.2058,0.097,0.0018,1.6649,0.463,0.9025,0.2655,0.3345,0.2399,0.0702,0.2436,0.4932,0.0897,0.8611,1.5599,1.3097,0.3035,0.2046,0.0294,1.0297,2.4727,0.3366,2.2135,7.8354,2.356,0.2415,1.4529,2.5906,0.1613,1.5962,0.6097,1.8473,3.1357,6.5274,1.0066,7.8204,2.2305,26.2725,24.9133,4.9374,2.9815,3.4507,0.0
EST_Q,0.5827,0.0303,0.2172,0.0771,0.0038,0.6439,0.1951,0.3653,0.2967,0.2656,0.1267,0.0234,0.1323,0.1778,0.0165,0.4284,0.6566,0.3491,0.1533,0.2739,0.0699,0.6354,1.0429,0.1982,1.6339,5.9402,0.6078,0.2755,0.1625,1.3406,0.3725,2.1005,0.1158,0.1345,1.1601,1.9386,0.6195,4.1844,2.529,13.416,13.8425,52.6351,2.0508,0.8104,0.0
EST_R,0.5792,0.0052,0.0102,0.0071,0.0001,0.9996,0.0904,0.6206,0.0774,0.0056,0.068,0.0543,0.0644,0.0947,0.005,0.1593,0.244,0.0826,0.134,0.0971,0.0202,0.2746,0.1098,0.0748,0.2876,7.222,0.1664,4.1805,0.06,0.5735,0.062,4.6163,2.9451,0.3773,1.1948,0.4566,0.5411,3.3273,4.2235,5.0925,8.7559,0.6066,76.5803,1.3727,0.0
EST_S,4.0448,0.1189,0.0994,0.0774,0.0014,8.8214,0.7181,1.1158,0.5106,0.4512,0.2631,0.0493,0.3284,0.5458,0.0337,0.8382,4.2143,1.7484,0.7946,0.3826,0.2672,1.2287,1.1323,1.0565,1.5784,10.3291,5.5509,0.384,0.1133,2.0107,0.1381,2.7088,1.2249,3.0566,5.617,1.8602,1.7112,4.8009,4.1113,10.6313,3.0466,3.7018,2.1806,7.6146,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
