V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_C20,1100.621,14.4481,61.9136,14.516,5.6263,89.6916,762.8439,31.8114,158.6969,76.9129,972.0396,108.9274,466.5907,95.8853,46.7295,35.9428,55.5718,51.9122,29.1101,56.4893,13.9941,101.1331,65.7045,28.1761,105.3629,133.8339,25.2184,6.6906,7.1424,9.8838,1.2463,26.2962,25.5646,6.5016,3.1738,9.261,28.1203,43.7568,35.4642,50.904,28.614,195.6837,15.3585,87.1163,0.0
PAK_C21,53.4436,1.653,1.6713,0.2908,0.1138,8.3807,12.7921,0.4785,2.0229,1.1129,16.4176,101.2736,4.8769,1.4979,0.89,0.6198,1.3551,0.8927,0.8715,1.0804,0.2779,2.3501,2.0868,0.7424,2.5693,9.4681,1.5259,0.6388,0.7408,0.6229,0.1393,1.7409,0.8758,1.1637,0.447,1.3759,0.7858,9.297,1.3692,16.7581,3.5092,378.2673,1.5757,3.9696,0.0
PAK_C22,94.7012,14.7387,22.6739,4.4679,2.0065,150.5666,232.1166,11.0874,55.5671,4.7498,66.9632,26.2842,249.918,38.926,11.6249,22.3488,70.5622,55.0862,52.9561,165.9999,17.4017,103.7915,19.0062,15.3414,208.8847,273.1988,103.8711,3.6003,6.0208,15.2102,3.0185,19.5822,12.0226,10.817,3.5073,10.1895,19.4908,25.0651,17.6142,34.279,11.1431,41.1036,7.1725,41.7884,0.0
PAK_C23,73.4175,4.3376,19.6339,8.2949,3.1076,93.6395,42.4392,12.1306,6.6426,3.6896,35.1855,19.0945,27.7816,748.2155,41.6629,27.0946,43.8712,30.0574,20.7537,56.9494,11.9319,43.8549,33.6835,15.5638,1590.8944,90.123,16.5984,3.864,2.8579,7.5375,0.5597,25.0868,3.1634,7.8429,1.6263,5.1847,71.8792,26.0767,10.561,38.0682,15.9614,29.9511,6.5127,21.5575,0.0
PAK_C24,20.6345,1.9913,97.2716,5.943,5.8387,18.8645,39.4397,6.6994,15.214,3.9027,32.4157,4.9882,32.7214,69.9765,1582.1629,730.1252,188.3044,436.1874,432.2477,457.926,101.1784,257.9435,49.5932,36.7466,490.2436,74.6236,18.8006,3.8236,1.9826,9.3081,0.1636,1.687,3.8076,4.6313,0.8333,2.8558,10.2301,19.3176,4.8876,10.3584,2.5092,7.3089,1.8434,23.2974,0.0
PAK_C25,66.8527,9.6866,57.3317,5.682,3.6343,61.8869,67.2245,12.6626,12.8614,4.8859,22.0744,4.8918,21.7933,31.5299,63.8026,189.2654,58.1557,57.5816,135.1502,154.4313,40.5112,96.0448,46.6308,12.5447,352.5306,92.9775,19.7133,5.7906,4.3991,12.9744,0.884,11.1761,4.8362,12.2648,2.5525,5.8358,15.3911,25.9774,14.6198,62.9447,10.5038,15.1811,6.905,34.8628,0.0
PAK_C26,15.4387,2.4191,7.2749,0.6917,0.5261,7.1753,12.9345,0.8458,4.1791,1.4454,3.8166,1.6821,3.1246,3.1119,2.8997,4.3394,357.4367,29.8064,17.896,23.542,6.3552,19.156,20.6899,3.1049,25.7189,52.3592,8.367,2.5321,3.7619,4.4049,1.307,4.0774,11.8242,90.7575,20.7387,13.0925,3.5383,27.4483,9.2276,36.8388,13.5064,47.6335,6.1055,66.1375,0.0
PAK_C27,14.76,3.4102,9.212,1.0052,0.5598,5.9893,12.9117,1.0057,2.8745,1.2554,3.6098,0.9469,3.6034,4.674,8.2089,8.8181,88.583,150.8888,40.1784,54.0604,10.6833,28.7127,78.8685,3.7599,124.4402,53.9958,14.2846,2.9097,2.5706,5.3546,0.6422,5.0705,4.2083,35.4352,3.8938,5.0222,7.3503,14.7627,7.7643,17.3013,5.4014,10.9044,5.0599,44.9708,0.0
PAK_C28,67.5359,8.2061,50.2333,6.8137,3.7255,15.9511,33.5708,3.3655,9.9475,4.0675,9.0228,2.5332,7.2703,13.9606,11.6706,15.8002,23.9936,19.72,139.5675,57.7491,16.281,37.1816,44.0499,8.0138,71.2204,66.7607,17.7931,5.7898,6.1761,8.4905,0.8137,4.7635,3.7193,11.2271,2.567,4.5213,5.056,14.4574,10.979,25.7928,5.4026,13.1451,3.6626,20.665,0.0
PAK_C29,17.2454,1.9605,6.8402,1.1264,0.4348,6.6853,10.6969,0.9288,2.1304,0.9672,2.9719,0.8536,4.2322,4.1237,20.6979,9.3838,9.1304,12.0741,17.0503,497.3708,7.0796,16.1371,7.4663,4.33,16.6559,187.0698,63.9296,1.8823,3.1381,6.9275,1.4513,1.981,1.6341,5.2173,1.0029,2.6683,2.2057,6.8869,9.8623,15.554,2.5313,5.4483,2.0495,12.0048,0.0
PAK_C30,1.361,9.9604,1.0747,0.1491,0.0487,0.477,0.7069,0.0749,0.1463,0.091,0.1761,0.0649,0.2498,0.241,0.2703,0.4789,1.0253,0.5982,1.4153,10.1087,91.29,12.147,0.8801,0.2137,1.6362,5.614,13.3443,20.9003,21.4251,1.9577,0.1554,0.2579,0.1809,0.3677,0.0937,0.2186,0.2117,0.8615,1.3063,28.3987,0.3137,0.6664,0.4982,2.7441,0.0
PAK_C31T33,132.1251,22.5689,52.8406,6.6008,3.2605,29.6289,127.5222,15.4671,18.9983,6.9673,17.6348,7.2609,11.1048,21.4832,18.1018,14.2278,28.0904,12.8611,22.1855,25.5102,10.3053,158.8098,96.4528,16.1084,73.6526,111.8656,61.8745,26.9671,42.3998,22.0911,3.198,23.8507,12.5868,42.1388,7.4413,30.2429,17.8737,38.3943,29.2185,88.2737,39.2774,210.0436,30.0839,43.3268,0.0
PAK_D,688.2292,69.5508,295.9461,53.0122,13.332,251.1873,691.8136,47.2836,212.6824,112.4288,285.0707,41.4348,103.0889,286.9637,293.4287,66.8597,80.4903,45.9397,60.2973,90.0801,22.9423,89.4192,5117.1783,160.6671,92.1519,801.704,227.4064,19.0859,20.9159,115.2498,16.6889,313.2642,69.6739,264.604,30.5087,142.1992,266.4389,160.7447,84.1345,676.1206,322.1352,445.5684,152.8709,221.6024,0.0
PAK_E,56.1774,5.5455,17.3913,2.1874,0.9945,24.7045,50.2913,3.0752,36.2047,4.213,14.9108,3.5905,8.7869,16.2699,100.3523,9.3492,4.8852,3.2043,5.429,4.7386,1.9146,7.4351,72.4077,186.7097,21.4648,84.4657,14.8975,3.768,2.6699,9.5916,1.5884,36.1139,5.7696,10.6018,3.7402,14.9125,41.0678,22.9128,17.2138,176.124,37.6487,63.0319,15.7489,31.1663,0.0
PAK_F,58.2183,5.4691,24.954,3.2591,1.7424,11.7916,24.0292,2.9258,4.9074,4.5119,6.8217,2.0972,3.6262,13.2159,5.241,5.2284,5.136,3.637,5.2442,5.5794,2.3076,10.8624,111.602,19.593,532.5601,89.3578,35.3896,5.0095,5.7324,25.6075,2.33,21.6683,6.0788,33.9514,3.9413,26.1088,240.6669,39.8409,16.071,232.4805,43.5324,41.6367,15.5565,22.7971,0.0
PAK_G,3164.9395,191.3828,181.7418,27.6314,14.6264,1956.8205,2077.2384,113.7215,255.3371,274.7513,374.0901,116.6325,192.2755,234.206,203.8417,127.1139,217.1269,128.7764,168.2335,330.9059,54.9379,259.5963,569.5076,78.1459,551.6927,2324.7162,821.0313,121.163,158.669,116.1221,27.5933,597.4326,165.4426,208.0072,54.5426,141.0335,86.22,209.629,193.4467,438.1962,142.9161,415.389,96.2932,214.2088,0.0
PAK_H49,667.5268,40.5948,163.4031,25.7747,7.9365,423.9285,313.1004,39.2764,90.352,119.4771,113.8061,20.1601,52.7184,130.7628,81.5981,43.7242,45.4625,33.933,44.2395,74.1764,13.0458,66.3276,217.6968,31.058,175.103,985.0327,634.1829,57.5682,44.2441,189.7154,35.9262,94.9613,40.7388,39.591,12.7207,52.2482,20.8055,70.4676,56.725,177.8247,78.8689,86.5449,28.4615,82.4448,0.0
PAK_H50,69.3156,28.0868,78.0297,5.0918,1.8779,41.2528,57.5233,6.6704,15.8859,39.1432,28.11,4.1606,10.9317,24.674,19.6394,9.7733,11.936,8.4288,11.1011,13.9586,4.1273,12.2047,34.3227,4.614,21.5574,268.9065,88.7386,638.9666,15.8073,115.0322,6.8826,10.003,6.9881,14.169,3.0063,8.7427,3.7152,15.6331,18.3251,36.1451,7.4404,12.7322,5.643,11.7557,0.0
PAK_H51,58.7202,4.808,25.2225,1.7095,1.2662,29.7617,46.9647,2.4883,9.1301,22.0191,19.1977,5.1505,9.2134,9.6378,10.7977,7.26,13.7257,7.1891,9.2865,10.5939,3.0602,11.5298,35.6162,3.7144,21.3247,119.1511,26.3639,10.845,85.3506,37.7575,14.3178,11.9901,10.1175,16.1569,9.7284,35.2873,5.6138,42.4314,47.8994,79.1054,18.0209,22.6554,10.2722,22.7491,0.0
PAK_H52,135.8531,30.33,46.319,8.6867,3.45,103.2449,100.1563,9.1867,25.2718,30.9726,34.6286,8.986,13.6612,30.3401,21.7658,12.8808,16.223,9.915,13.8818,23.9023,4.7216,20.7843,51.8699,10.1855,40.5248,756.0623,431.1377,327.0397,288.1773,383.9178,17.7148,20.5102,13.4851,24.4673,5.4351,13.6873,6.5094,29.0986,21.9734,62.1541,9.6574,17.4112,8.3938,22.4713,0.0
PAK_H53,8.3886,1.2098,3.9435,0.4016,0.2734,4.8314,16.7247,0.6765,2.9488,0.8079,2.9729,1.432,1.3515,2.0308,1.0556,1.2844,2.8744,1.2791,1.9543,2.0204,0.5059,3.3781,17.2274,3.3137,5.2524,114.7025,11.2784,2.5716,3.1579,11.2079,70.7152,7.3014,21.3798,53.6407,5.9203,62.833,6.8168,29.0311,16.4176,74.3297,12.9055,18.5936,8.0453,20.1275,0.0
PAK_I,19.9053,3.7059,22.1586,2.2105,1.6376,18.9106,54.8137,2.2055,6.6861,2.8765,10.5174,6.8695,5.4891,8.0503,4.8006,5.5173,11.2779,5.0773,7.8394,8.7923,2.5959,11.7902,36.5518,7.1595,25.2537,191.6861,49.0701,14.1434,56.6484,26.5712,3.813,56.2214,22.9898,38.3971,18.8192,96.2684,15.8112,87.8947,79.1049,204.5558,78.3117,118.8699,38.749,70.9673,0.0
PAK_J58T60,10.6329,1.5174,5.2646,0.7306,0.4131,20.9459,35.2112,1.231,15.8935,1.7182,7.6242,5.28,2.8729,4.1023,2.0409,2.2905,6.7776,3.319,3.5522,4.643,1.7268,7.5681,19.4546,4.8588,8.8983,167.4041,13.3583,3.1654,6.8008,8.3615,3.3031,21.1658,370.3046,109.4003,24.1811,65.6569,13.0496,176.6081,30.996,107.6489,88.6423,29.9935,50.0001,40.7207,0.0
PAK_J61,31.1152,5.7551,20.7353,1.4318,0.9324,14.2385,48.9882,2.3509,6.6151,2.3396,7.3564,3.9227,4.4895,6.9984,3.6365,4.9335,13.6666,4.6104,7.0764,6.8003,2.2754,10.742,39.1983,8.0457,22.6378,227.4841,40.4786,7.9107,10.1149,22.4544,8.8969,27.6661,53.7239,918.1935,37.2112,154.1973,23.7324,91.9202,51.7867,180.9312,40.8172,60.4056,26.1987,58.4672,0.0
PAK_J62_63,7.8165,0.8702,7.2377,0.5719,0.3625,9.0702,21.7912,0.8485,4.0095,1.8017,4.599,3.1619,1.9135,3.2791,1.9705,1.946,8.9636,2.8453,3.139,4.7079,1.1978,4.8553,27.9073,4.4462,8.7616,97.96,15.5149,2.8782,6.9927,8.7567,3.8241,7.9648,25.7036,83.8911,86.8372,117.8372,8.693,48.6822,18.2316,86.9884,18.9874,24.7858,10.7414,23.6222,0.0
PAK_K,355.0552,42.7034,160.116,9.8028,6.1196,87.818,279.1031,13.6581,42.4782,24.4847,50.3915,20.0636,27.3916,42.5415,34.7306,26.8974,45.166,23.3949,34.4396,43.4272,13.3588,49.6746,281.714,40.687,142.3032,831.9545,190.0778,51.8541,52.2001,76.5701,15.0688,101.3381,51.9817,144.441,40.4259,2115.8595,789.4322,222.5605,135.2505,433.0946,80.8209,142.4192,57.7029,134.1119,0.0
PAK_L,38.4582,4.5722,26.8298,2.387,1.3491,29.298,141.3839,4.8192,15.7698,3.4716,11.2242,6.0602,10.0751,12.9633,6.2174,11.8316,17.0316,8.0191,11.3419,12.6012,4.5623,27.1833,53.9231,14.0488,50.8474,868.7581,63.6828,11.9388,15.1321,60.001,11.4543,201.6633,42.5366,119.3451,35.1375,210.0866,186.141,173.04,84.0011,213.3564,105.1329,140.9981,70.8397,160.3413,0.0
PAK_M,225.9878,14.8633,189.3165,13.976,14.4393,149.2285,285.4196,11.1736,45.0437,20.8485,65.2801,56.7492,29.7577,49.5121,28.6401,28.1536,75.9591,32.2491,44.0105,61.8461,18.4804,62.0368,227.4144,53.5202,341.9975,1032.1773,109.5634,35.6215,35.9472,72.9767,14.2054,100.5476,147.9728,299.699,94.4278,456.836,170.6578,866.0801,185.9347,477.1063,118.0774,190.2774,103.2765,173.1916,0.0
PAK_N,99.7971,14.4156,130.0968,9.5681,10.3215,87.2612,213.8927,9.8023,36.7178,14.171,38.4305,30.5039,26.1216,39.3427,19.7722,24.8539,51.1565,23.3081,32.5194,47.3843,11.4344,54.0065,187.3226,47.285,131.4967,710.922,196.895,77.0367,100.6674,123.5415,27.1292,126.5832,89.9741,266.1373,74.23,290.7392,153.6765,292.2572,348.939,390.19,146.8134,258.1228,100.4966,146.6177,0.0
PAK_O,35.3626,6.2365,17.2577,2.588,1.1329,19.0855,42.7565,2.7929,8.4857,4.6884,9.7578,5.2524,5.0236,7.449,18.1907,4.601,6.4551,3.3999,4.8316,6.9808,2.7332,8.8547,45.629,19.5513,31.1537,125.7261,51.35,12.4501,12.6459,21.7444,3.679,19.4665,13.9596,40.3098,11.9395,47.2255,33.6774,55.5342,24.3481,322.3933,40.7015,52.3719,18.7428,27.3726,0.0
PAK_P,8.4858,1.2689,6.1964,0.5489,0.2517,5.3465,10.8895,0.6229,1.9581,1.2499,2.5749,2.8013,1.4013,2.287,1.703,1.4761,3.8912,1.5435,2.0755,2.7815,0.8364,3.0458,12.5252,3.02,6.0434,37.3514,9.8657,2.1084,6.3721,4.8307,1.0734,4.7965,6.2236,17.4394,8.9873,33.8032,4.1391,35.5741,14.3434,120.3564,151.6113,32.8585,8.1431,19.6946,0.0
PAK_Q,13.8444,1.7491,3.0433,0.3077,0.2638,5.4902,9.8936,0.4314,1.3236,0.6805,1.7572,2.0899,1.0696,1.4377,1.022,0.814,1.5865,0.8179,1.1202,1.3405,0.4982,1.9398,5.6566,1.8873,3.9467,21.1746,7.8759,1.4475,1.5908,2.8799,0.7726,5.5669,2.5801,4.9416,2.6011,13.189,2.0485,12.2993,7.5747,90.2193,16.8979,694.8746,6.9138,10.9436,0.0
PAK_R,4.412,0.6374,1.6188,0.1917,0.0757,4.4166,5.9876,0.3999,1.3563,0.3878,1.0638,0.7665,0.6284,0.868,0.5167,0.5115,1.0335,0.5567,0.6585,1.0393,0.3341,1.4221,3.9043,1.24,2.6722,21.7684,3.3463,1.6992,1.441,2.3185,0.5334,11.5816,43.9229,10.9928,2.6105,10.2384,3.898,18.4548,9.0164,34.842,18.4611,6.7596,171.0185,27.6848,0.0
PAK_S,27.9377,4.8883,8.2342,1.1873,0.68,13.4629,33.0075,1.629,4.5329,2.2211,4.7109,2.1979,2.7092,5.7699,2.9396,2.5008,5.8774,2.504,3.1412,3.958,1.3432,6.566,19.6359,6.0391,10.2554,80.495,21.519,4.5733,5.3297,10.7034,2.039,26.9515,11.1342,23.2503,10.1876,35.4149,9.5915,33.3141,17.1886,54.5006,21.9973,69.6098,17.0757,108.7655,0.0
PAK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
