V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_C21,64.3721,40.5818,0.0914,12.1066,0.0214,65.858,2.0001,1.6768,4.3572,1.4964,16.6533,105.7557,5.6314,1.7528,1.0838,1.5817,0.4907,1.7544,1.2407,0,0.7987,1.7832,2.149,0.4305,11.5806,6.8247,3.7542,0.2196,1.2655,0.5491,0.0136,2.4034,2.9314,0.7151,1.5092,3.7351,1.3523,12.6232,3.3847,15.9338,3.3551,490.5917,0.4412,1.1349,0
CHL_C22,83.5454,15.5632,0.1952,158.9745,0.8055,301.8363,13.419,6.2299,50.7896,11.7466,62.7546,27.927,133.692,12.4772,4.9149,20.8826,1.4266,10.3979,52.4105,0,5.6297,15.2821,8.0414,2.4132,363.0959,330.198,173.9344,0.4153,3.2555,5.472,0.0994,19.3005,2.6737,2.7464,2.3545,55.0133,2.8024,10.5012,15.6105,12.3207,6.2231,24.0836,1.8511,9.0872,0
CHL_C23,17.8503,1.5148,0.2657,89.2704,0.2846,158.0716,3.9737,6.4597,6.0792,1.1823,14.2908,9.2859,11.3217,459.7256,7.3868,28.3296,4.5482,31.2283,16.2401,0,3.983,7.8983,5.0416,0.3496,2034.2508,36.6216,5.8809,0.0528,1.2781,0.3789,0.1281,12.3715,1.5543,11.8104,1.073,4.7415,1.3,9.7511,2.4578,5.9813,15.6441,6.5451,0.1099,3.8042,0
CHL_C24,11.9319,1.4708,0.7094,48.4071,0.0155,16.9794,2.6768,5.4833,8.8662,1.4904,6.7749,0.9034,9.5027,17.5465,259.9536,333.6489,3.3733,42.8875,104.1142,0,27.9857,65.7075,4.8989,0.8465,491.4887,11.006,4.7691,0.4364,0.5873,0.7216,0.081,1.0267,0.8901,2.9205,1.5378,6.6063,0.5353,4.4877,5.9389,3.6063,0.8268,8.3572,0.3297,3.0065,0
CHL_C25,24.7746,2.9849,2.2708,301.2725,0.1777,97.9668,9.4204,18.8876,17.0653,3.4837,26.5076,4.2314,19.1037,18.4258,17.4164,101.0329,1.3133,10.4629,36.1936,0,11.4724,34.1635,30.4763,3.6512,1031.3409,42.0915,45.7862,1.2782,8.2698,9.0212,0.2433,5.9232,9.9819,15.5671,3.4533,22.9551,5.4953,16.5774,37.6379,11.2574,8.2762,25.7376,1.4299,12.0301,0
CHL_C26,0.1739,0.0756,0.0062,1.1777,0.0057,0.2588,0.0391,0.0365,0.1269,0.0126,0.1032,0.0342,0.0481,0.0451,0.027,0.0712,0.0761,0.0783,0.1109,0,0.0273,0.0469,0.0859,0.0354,0.3788,3.2729,0.3678,0.015,0.055,0.2225,0.0044,0.1874,0.0813,2.0564,3.6288,1.9232,0.2401,1.0523,0.6029,1.689,0.5277,0.1815,0.038,0.2413,0
CHL_C27,6.0001,1.3501,0.3513,17.7157,0.0524,8.0414,0.9523,1.5059,3.6293,0.5808,3.2844,1.249,1.5193,1.2769,3.7678,4.3159,1.6291,19.3731,8.2975,0,5.1164,6.1778,12.0588,1.0352,66.998,65.3895,16.262,0.7127,1.0727,2.1953,0.1151,4.1121,2.3975,16.68,2.8674,14.8344,2.017,9.2603,21.5438,13.1614,4.0643,35.9528,2.3692,5.6028,0
CHL_C28,15.9977,6.0254,1.9586,164.5594,0.397,28.369,2.3198,7.4778,12.901,2.9771,10.2733,1.9789,7.9313,5.7471,12.8583,16.4909,0.9993,8.138,20.4296,0,6.578,37.7364,38.1457,2.9205,88.9156,65.947,42.9561,2.6354,8.216,7.2142,0.2599,8.4464,1.2125,19.471,13.3903,8.2614,3.7493,23.3567,34.0595,20.1511,6.1254,17.1804,2.283,5.4893,0
CHL_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHL_C30,6.8386,0.0631,0.2578,21.2039,0.0,0.0261,0.0858,0.0487,0.0797,0.0892,0.0068,0.0,0.7688,0.0856,0.0894,0.6915,0.5258,2.0108,1.9836,0,16.8102,5.8004,1.6118,0.5726,5.9358,100.5671,76.2525,0.5052,11.7239,2.9425,0.0405,1.2851,0.1843,0.1579,0.7684,0.5105,0.4969,2.2825,19.5192,52.3986,0.0057,0.8601,0.2487,1.8408,0
CHL_C31T33,14.3055,3.5906,1.6348,261.4763,0.9377,30.067,9.4855,12.9346,40.0297,0.67,13.8671,3.569,9.2509,14.5135,72.2515,4.9941,1.9216,6.318,15.4837,0,0.3383,5.4841,114.542,40.0215,63.8764,122.7333,162.2823,12.0777,14.9298,28.6113,1.2636,15.3839,3.365,98.0425,7.3591,30.9579,9.9237,38.8115,94.2833,34.6053,19.0556,52.929,5.3936,10.8162,0
CHL_D,104.9191,15.4793,1.7364,2605.8085,2.6387,329.0041,26.418,145.9943,554.1762,257.541,235.4845,10.6045,84.7798,136.6079,61.8648,92.829,2.7613,11.2869,28.7227,0,8.2653,40.0968,5189.7124,88.0305,103.4878,543.8911,126.1305,1.7106,10.5931,95.2356,1.9142,110.0028,15.5935,102.8469,22.9676,89.0409,122.8148,113.443,94.8453,252.2788,201.7313,198.1371,26.2616,15.1993,0
CHL_E,4.713,1.612,0.3717,83.1297,0.5775,58.1545,5.5822,3.1106,178.5583,3.6319,21.1757,2.3617,48.0804,8.5939,5.4375,5.0351,0.2846,1.3786,11.985,0,1.1416,13.9852,8.625,180.3856,28.7405,59.0402,11.9357,0.2151,0.5033,9.5734,0.027,24.9749,1.8594,1.4188,3.2307,7.8296,21.6206,27.7406,8.9256,360.8552,70.2857,49.5967,6.2793,19.7362,0
CHL_F,35.8756,6.8231,2.0364,26.0319,0.4678,26.0347,4.4623,3.7299,9.6079,4.467,3.9102,3.6249,4.2631,11.7184,3.9522,6.0738,0.2192,1.1417,5.5759,0,1.7586,5.0954,60.2572,108.0356,4834.513,462.0956,71.4157,0.8233,17.8149,167.6814,1.1298,60.3352,8.5511,35.7171,18.12,33.2089,3118.2074,84.7247,76.5921,517.0911,359.1098,137.4484,26.184,97.7027,0
CHL_G,1171.1768,390.1717,10.3348,1132.77,3.4325,2639.7967,292.403,152.582,340.0517,97.9742,373.8513,161.9998,245.1363,156.6417,175.3945,129.4539,11.8741,84.9925,116.8954,0,83.0668,123.5658,526.8025,108.438,1269.5433,1772.0146,1618.7553,62.3304,227.4963,124.3151,11.0238,677.0471,61.9276,259.1538,92.8709,276.3785,57.8527,354.1977,584.918,347.212,155.4349,849.7417,48.8416,96.6397,0
CHL_H49,419.1661,86.2914,6.0417,474.8328,4.5544,997.7748,56.3718,172.5383,250.0164,116.3738,159.0291,33.3743,92.7266,125.2554,64.163,78.4249,3.8929,29.728,63.5895,0,16.4764,57.1556,211.4925,28.6305,564.3798,1507.2284,853.7052,27.0652,52.0859,46.266,25.7968,149.631,23.179,23.8886,22.4481,56.6008,11.8235,111.9449,155.7338,89.1817,56.6273,175.9662,11.689,40.0763,0
CHL_H50,12.8863,0.199,0.161,1.6468,0.0129,9.9451,3.9952,1.6903,3.6923,0.1186,0.3527,1.6491,4.1803,0.5087,2.9666,2.0463,0.3199,2.7593,3.6433,0,0.3051,3.9294,9.8105,0.9879,33.8641,19.1755,9.8659,0.964,1.2567,1.1596,0.0293,5.812,0.9587,2.3335,1.7527,2.2285,0.8493,3.7059,2.8891,4.0463,1.5493,10.0692,0.3253,1.4125,0
CHL_H51,37.7512,20.764,4.5738,139.525,0.3609,74.5266,7.9853,7.0059,14.9023,17.3016,37.8035,6.3616,12.8891,13.5269,7.4506,13.1751,0.9895,4.8762,10.5116,0,1.9102,10.687,36.9009,7.7049,169.3959,139.7328,98.677,9.4806,80.3643,26.1167,33.5617,28.1311,13.3482,38.2088,36.8149,55.181,5.5326,121.5047,78.5929,91.1036,12.288,24.8343,14.1263,4.3048,0
CHL_H52,65.5814,35.2131,0.6963,227.69,0.8683,299.9962,18.7325,57.5176,58.834,12.4112,51.0158,15.9994,23.2015,18.3548,21.0494,19.412,1.1052,7.5363,10.5658,0,3.5578,10.3355,62.3384,3.9235,84.0746,866.8641,511.5673,189.4274,200.6307,209.4186,1.5826,27.04,2.8873,11.1879,6.5014,11.131,3.3888,13.0605,18.133,21.6058,7.613,25.9641,1.9095,7.886,0
CHL_H53,5.1168,1.768,0.0071,0.9935,0.0066,4.9727,1.2068,0.6461,1.1787,0.6275,3.1491,1.5448,0.014,1.3785,0.5532,3.1594,0.2379,0.6058,1.2214,0,0.6721,1.4686,7.6964,1.8092,4.8934,61.4983,3.628,0.3994,0.1396,5.704,28.7851,3.7349,3.9959,21.4548,8.276,40.8328,2.815,18.4936,26.7109,33.7612,3.9656,6.7711,0.4737,3.338,0
CHL_I,32.1304,1.3235,1.9837,107.5059,0.0616,21.5937,3.8742,2.4523,5.705,1.5711,7.2618,4.41,3.6437,5.792,1.4329,4.0343,0.6542,2.5664,4.1693,0,0.7747,2.4471,7.0199,2.6935,55.5691,139.0397,188.7093,11.3182,166.7036,6.0485,0.7117,16.9461,20.4918,14.0828,18.4549,57.6686,6.5198,58.1109,66.3704,90.2962,273.1381,81.0234,31.4373,85.2679,0
CHL_J58T60,5.8939,2.8763,0.1966,6.3148,0.0109,15.4734,2.4351,0.556,3.271,0.8815,1.4864,1.9682,4.8408,4.2958,0.9783,0.9016,0.4557,1.3053,4.7012,0,0.762,1.6591,1.4594,3.0858,8.7619,27.7326,6.9814,2.6029,4.2145,2.1639,3.6623,9.5051,131.6005,322.1302,8.3475,29.7191,31.1731,112.425,10.2409,35.9461,17.8078,4.5168,1.3173,2.363,0
CHL_J61,23.2022,13.5741,1.943,90.9503,0.0994,61.0971,11.8901,13.6891,19.5572,4.6203,19.127,6.3581,11.0502,12.747,3.9322,18.1288,1.5108,5.9293,13.1528,0,2.3644,24.7926,34.2232,9.0364,70.9794,381.3845,130.2242,3.7485,22.7053,35.6612,14.926,45.0881,51.1393,1995.3955,183.4388,235.1232,32.7047,207.2295,219.8543,168.6973,63.6695,126.1838,18.0114,36.6224,0
CHL_J62_63,4.0739,0.2558,0.4377,116.5021,0.0116,135.5386,25.1946,25.3616,41.0206,24.5332,43.9147,25.3812,2.6176,22.646,6.3359,48.2506,1.9397,7.3651,1.9256,0,4.362,10.5222,19.0183,6.8435,14.6224,278.6543,10.3504,2.2964,39.636,35.1227,1.223,10.7828,8.7598,81.2083,300.0408,354.504,7.722,155.2381,122.5956,126.9165,10.7137,47.2072,16.5448,4.3661,0
CHL_K,399.443,99.0214,29.2098,356.5122,2.0493,324.3275,58.3202,57.8561,123.5465,122.9729,88.5403,17.3582,84.3007,58.3029,48.616,66.2364,3.499,18.0696,48.0053,0,15.9692,62.8094,398.3965,50.4864,836.068,1622.0439,359.5146,42.812,53.2246,320.5728,4.6824,148.4107,32.8017,45.8335,43.712,2475.8771,924.4717,347.9174,326.0725,68.5519,108.4614,156.1379,40.8217,44.3612,0
CHL_L,43.604,15.919,0.3664,102.767,0.022,81.4206,41.3439,13.4826,28.864,2.597,23.1569,9.9407,18.487,25.5537,3.3913,24.5275,2.8079,13.7431,14.6825,0,7.4899,85.8588,34.0348,14.6887,102.9653,2367.7166,125.0947,1.2503,172.3683,157.0551,5.4153,358.8495,82.0247,257.6827,101.8683,208.4237,291.6586,591.7368,329.0748,146.4297,519.65,206.2511,123.4372,103.9409,0
CHL_M,36.3837,16.832,73.3951,2989.758,10.4929,1385.5606,98.7184,122.926,238.5001,56.1194,332.7632,299.9286,55.5576,121.616,79.8017,155.3558,7.4515,40.9089,90.9287,0,22.6617,69.8716,244.9153,89.1546,895.7739,3027.254,132.0783,8.8669,211.6261,121.7494,13.1351,141.3441,188.9344,511.8688,247.4916,1165.4527,191.111,2547.2603,527.2298,179.616,304.8273,162.7624,204.7405,88.4703,0
CHL_N,247.8095,126.5494,10.7498,1096.9807,1.6123,362.2498,24.0213,107.4563,269.8547,42.6723,115.0795,8.4952,24.9008,74.7049,15.5385,43.804,1.4312,6.9276,17.0178,0,71.978,80.7757,223.1671,70.158,648.283,2706.9606,642.7871,50.1707,517.0539,377.3613,14.0154,145.8008,75.0183,697.8239,91.2705,1155.8036,113.4455,349.4758,644.0454,558.7439,339.002,346.5644,84.0286,30.3086,0
CHL_O,16.5713,7.2953,0.2341,44.4532,0.1693,60.5733,3.7257,8.345,58.3507,2.7986,11.7001,3.0176,14.2587,4.2972,4.0127,4.5294,0.2757,1.4585,8.1029,0,0.7876,4.2512,9.143,31.2585,30.0088,174.6181,57.9704,20.9158,26.8362,50.1343,0.4406,12.0287,2.9328,13.5989,10.681,16.2726,5.9674,26.5031,14.3178,84.1051,10.9323,10.6426,3.3033,4.5971,0
CHL_P,1.3835,0.3425,0.3442,21.1857,0.0594,14.3066,1.913,4.2427,4.9416,1.9567,4.2623,1.9184,0.9672,3.8016,0.9924,4.2549,0.1927,0.623,1.3452,0,1.1457,1.7854,6.19,0.3793,7.7368,32.9203,2.3164,0.1448,1.4769,2.6854,0.0871,2.4511,2.329,5.224,9.3431,18.2489,4.4437,31.0506,18.5387,4.2174,7.6957,5.7585,1.1149,0.9417,0
CHL_Q,30.1718,7.2184,0.0511,7.1597,0.008,9.0614,1.7889,1.8796,2.6457,1.03,2.4219,1.1565,0.7282,1.8591,0.5392,2.378,0.1215,0.5372,0.6414,0,0.5042,2.0873,2.7548,0.4796,3.7993,54.9901,8.09,0.6443,4.5561,4.9877,0.4046,9.8173,3.553,21.786,9.4312,30.9262,5.9757,38.9494,38.282,6.1628,14.8107,1195.5392,2.9348,28.3589,0
CHL_R,0.0026,0.0,0.0009,0.0021,0.0,0.0085,0.0,0.0,1.0059,2.5767,0.0308,0.0021,0.0014,0.0,0.0,0.0008,0.0,0.0,0.0,0,0.0,0.0,0.0017,0.0,0.0042,0.3764,0.0,0.0,0.0,0.0551,0.0,1.0792,102.2294,0.0078,11.518,1.701,0.2261,54.0297,1.1277,24.7837,0.8715,0.2572,63.4618,0.5414,0
CHL_S,10.2181,1.6674,0.3074,54.3256,0.2152,26.3921,2.7294,4.6118,10.7374,0.7615,6.3544,2.2356,3.1658,4.3571,3.8501,3.7117,0.6144,1.9811,2.5888,0,1.2714,1.0013,19.3377,1.9415,17.1204,69.3495,31.1115,2.1063,5.5695,5.4106,0.3179,19.8608,3.595,22.8984,10.6337,15.9647,3.3899,22.9969,20.4837,8.1805,3.3454,39.6836,1.7603,13.5582,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
