V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_C20,149.5677,0.9196,1.8717,21.166,0.6986,62.1438,28.8304,19.3212,222.4943,76.6185,576.7416,295.9528,195.1693,41.3618,67.5499,62.6048,20.6201,51.2405,31.3089,123.0011,5.4763,43.758,147.4009,32.6419,155.3954,73.4572,32.4038,5.2612,3.2723,22.222,2.0491,21.0916,15.6355,10.6982,19.8387,7.4101,32.9981,64.8661,38.9421,22.729,18.265,99.4838,19.2147,40.8536,0.0
SWE_C21,15.6995,0.177,0.3301,6.3246,0.1653,27.9156,11.1876,3.4645,20.2349,8.5802,72.4738,157.5326,14.2761,5.3209,44.6091,12.6534,8.3439,9.7058,17.3339,19.2354,6.0493,7.5279,11.7942,13.4829,59.8255,137.2841,31.1378,2.4972,30.0062,28.6649,3.4914,22.3212,40.7504,13.5423,28.5341,6.7353,5.5967,43.2353,22.6622,13.1743,7.7769,402.6732,10.1053,10.0849,0.0
SWE_C22,12.0125,0.6279,3.8662,3.341,0.1342,109.2501,14.9233,16.2626,31.1932,10.8728,58.8858,49.1476,142.6491,48.2361,11.5733,43.0881,21.6356,36.4806,139.9995,256.5908,10.4213,67.3401,7.0403,43.6866,391.0775,132.4321,27.6403,2.8577,1.9088,21.654,1.2631,30.3714,6.9663,7.8103,29.1094,9.234,41.3378,79.5493,27.8065,49.609,19.6514,95.1701,11.2355,14.2221,0.0
SWE_C23,40.1013,0.1787,1.9042,31.786,1.696,63.2585,3.3458,52.7061,24.249,10.6356,24.5288,13.8446,14.5365,287.0881,55.9597,61.7576,6.1735,17.516,36.4276,79.4533,7.8923,24.531,39.4354,23.6179,1889.3227,58.1681,33.0071,1.6516,2.507,100.6861,1.297,21.865,5.5604,3.2442,7.9738,5.0096,273.0404,22.4544,16.5184,17.4187,14.8736,28.8611,8.2368,17.0373,0.0
SWE_C24,24.3009,0.0,0.7988,9.499,0.3989,0.592,12.5827,26.6477,7.0432,1.6688,8.947,6.2444,56.9229,109.6355,1993.4148,1211.8417,36.6241,382.9332,1112.869,1222.372,24.4576,229.1809,14.4594,38.2768,911.036,20.7128,0.2748,0.4021,1.8428,59.3822,1.2912,0.4834,6.0044,7.4254,12.7555,0.1282,30.823,77.9878,10.7578,10.9881,5.6022,1.5557,0.9735,9.7823,0.0
SWE_C25,44.1415,1.5549,1.3365,52.1268,2.4973,109.5329,9.6147,64.917,20.6349,16.322,42.6447,16.2672,50.0404,65.0032,242.9647,1378.9843,62.5745,516.7074,1175.5823,682.7071,196.2591,232.7084,39.5892,140.4562,1480.3363,129.0918,37.1246,16.9298,4.4902,73.6372,4.8088,16.0187,21.5851,65.9324,65.1335,18.2943,162.3648,205.8776,79.4829,194.2711,31.2401,34.7546,19.3747,33.4868,0.0
SWE_C26,8.8321,0.418,0.2039,2.2693,0.1335,9.7829,0.9769,2.4596,6.3165,3.5973,8.7946,20.9721,4.9016,4.4573,10.3777,16.7264,270.1272,81.9543,49.2345,55.3118,34.3116,33.2267,11.226,7.8094,177.6095,180.3831,12.1092,3.0701,7.4573,12.8783,3.4119,8.8003,28.0741,109.0219,48.4669,7.8375,5.7451,116.8659,41.4135,18.668,15.407,61.3012,11.9349,15.2729,0.0
SWE_C27,53.8357,0.8129,1.5942,13.4037,0.6606,14.6611,2.7674,16.1416,13.8773,5.01,6.1723,10.8475,7.1215,10.5893,34.9191,53.6646,108.6478,276.8192,191.9906,164.4586,78.3728,91.9377,49.5738,13.9063,525.6564,58.9393,56.4497,26.996,9.1525,35.8976,5.7787,13.8134,12.5562,23.207,38.9959,6.5397,23.6859,77.4104,32.2359,38.0188,15.0635,25.0002,12.1855,16.6245,0.0
SWE_C28,233.0206,1.392,2.4937,25.1741,1.1056,79.6158,7.459,24.1456,49.105,34.6449,27.9385,28.4624,24.995,27.596,67.3137,87.5708,37.8743,80.1634,806.2144,424.3644,47.952,120.8061,97.3789,31.0749,404.8113,167.0242,104.6784,42.2837,17.8535,58.508,8.7102,39.2296,28.4368,33.2815,54.339,19.3513,21.481,119.3352,105.157,72.0557,30.6158,67.2687,22.6991,23.0236,0.0
SWE_C29,97.5856,1.1688,2.7068,13.3306,0.5008,146.5027,13.0057,21.7864,54.8365,65.2258,47.4459,59.1404,31.0114,25.4447,99.4512,101.1176,35.0632,50.8722,729.5916,3356.6796,41.4567,50.607,42.5935,41.8016,316.3059,706.8194,198.681,10.5257,21.8207,50.7713,12.5682,87.9841,46.1221,44.3744,129.2878,72.6262,96.8924,160.6048,147.7387,69.1213,43.6138,119.7604,51.0459,34.4339,0.0
SWE_C30,5.618,4.8984,0.0,7.0185,0.2805,0.8465,0.2197,3.6104,1.2515,0.9727,2.8669,0.9213,0.8035,4.2404,0.428,2.0994,63.4453,0.6605,34.1401,9.272,555.0448,172.2769,16.2973,3.3467,8.1495,14.5596,441.3172,213.4597,54.0222,2.8779,1.8941,0.641,1.6273,0.0,13.0205,12.5233,2.2583,12.3789,55.5673,503.1777,0.7251,308.9468,5.4779,1.2757,0.0
SWE_C31T33,278.2229,3.6716,8.5464,64.6662,2.9638,42.4341,10.2806,24.2311,41.7149,13.0846,25.2013,28.5094,13.6654,52.3112,54.6087,100.6044,33.5852,41.8175,141.7563,33.9599,68.0115,292.2764,136.7745,36.3006,498.5772,178.3385,296.6346,150.1546,42.6886,78.5564,18.598,31.7578,15.9687,33.5323,39.9758,12.1588,19.1501,98.7775,99.2615,109.8298,42.8204,285.716,42.0606,37.6029,0.0
SWE_D,226.8608,0.3656,3.2072,114.6873,2.9803,264.4347,27.4506,154.3603,713.3727,56.505,317.6586,76.4311,89.1953,107.8688,449.1431,201.5443,43.5853,47.4942,115.3789,141.7314,21.1542,70.3503,1451.5227,120.7953,262.1099,1021.0937,162.4429,6.0427,17.0892,311.2122,16.0757,222.0028,90.5889,64.8481,72.5382,51.0083,827.9134,183.735,140.8325,356.0901,212.3016,401.1325,218.7727,128.2389,0.0
SWE_E,57.9433,0.2353,12.2644,102.9804,4.7147,73.411,6.6295,47.2289,219.0319,21.8801,23.3926,19.9051,48.7585,48.28,1554.3364,39.8725,9.0479,9.5508,40.7001,41.7419,3.7104,15.2738,176.31,565.5214,214.5729,497.4024,41.8476,17.9064,1.8139,97.4219,20.7708,73.3188,32.7671,20.5624,46.6832,38.7058,2606.555,102.4425,63.3087,160.9484,89.4336,221.2621,84.8345,53.1896,0.0
SWE_F,464.0025,1.0511,7.0387,195.7611,9.0829,105.9212,7.2983,253.9524,133.1407,18.7478,49.6191,73.9849,50.5094,45.372,73.4336,97.9513,20.8773,47.4744,160.9232,185.2295,65.8101,54.3093,1327.9582,166.074,1578.4215,1128.4544,279.1385,23.9915,14.778,621.1701,21.7172,203.6243,71.6676,83.8772,130.6096,238.1075,12410.8178,339.5505,88.5143,751.0053,297.1825,253.2741,242.739,284.662,0.0
SWE_G,1250.7161,18.2173,11.1767,122.9528,4.4409,2299.6398,187.7946,226.1998,697.5248,589.9899,640.5328,404.4662,223.896,298.0209,721.0604,589.3565,283.492,368.8676,1044.5706,2062.7311,166.7761,480.0747,412.0456,349.2883,2419.9258,2369.7885,1930.7516,158.1401,171.7212,1515.4048,149.4324,1488.7806,496.39,330.9335,752.2531,180.2351,363.8579,1210.6028,591.5938,520.7821,473.5107,1371.3512,346.4255,252.9318,0.0
SWE_H49,171.4669,6.0069,9.1843,99.7823,3.7352,403.7344,26.7331,175.8676,472.0931,201.9346,101.3446,50.2777,84.0354,269.9346,243.1032,164.6552,33.1954,69.7388,217.385,411.7639,31.9568,91.154,83.8154,159.3552,1380.7137,1085.6414,1629.6492,39.7803,34.4397,5513.2244,46.1035,134.6938,76.7168,27.3181,103.2256,36.0891,79.617,292.8019,320.288,205.5856,482.2408,167.6137,99.465,110.4893,0.0
SWE_H50,64.6455,0.1873,1.8928,17.8382,0.8815,52.1864,3.392,31.1668,73.6927,74.5801,15.7726,17.4682,10.1308,53.5041,59.4918,63.7476,10.5825,24.6653,52.6594,71.2147,10.5935,20.1828,30.155,9.9649,55.4152,122.6293,22.5668,221.761,5.3993,765.103,6.0206,22.1152,23.6987,13.0074,45.5185,12.2373,10.9084,70.5,41.4724,10.8172,11.5036,44.4048,9.6745,4.4426,0.0
SWE_H51,16.2145,0.1817,0.2118,2.4176,0.0879,19.5689,1.652,3.7584,8.0927,46.608,8.7407,5.9221,4.7207,4.3884,13.8024,13.0391,5.0867,7.206,19.1107,30.4198,3.8292,7.5063,8.9916,4.5859,36.1395,36.9355,9.6534,4.192,6.2835,49.3169,7.3974,12.5012,5.2287,4.8407,13.8307,5.3355,20.7191,38.4046,193.6203,16.695,8.4767,17.5324,6.5258,5.803,0.0
SWE_H52,67.1839,5.9792,18.3509,121.6889,4.1505,512.697,35.7036,269.6268,858.2238,69.5463,89.505,46.7766,132.4872,369.4669,262.0551,247.9044,24.1631,76.1939,241.4983,498.7115,45.2355,122.6259,84.9354,197.379,170.1076,3881.0464,1033.9182,611.6083,457.3145,1622.751,134.7614,63.1254,234.6036,24.5482,89.5941,63.9735,200.9628,140.3944,92.7433,106.9553,124.5382,96.1214,34.7521,22.7536,0.0
SWE_H53,34.4515,0.1305,0.6524,6.0325,0.2443,18.1839,2.1769,5.3539,30.896,5.5448,9.1952,27.9105,24.2438,17.5386,21.9774,42.0966,9.6327,22.2889,46.0215,61.1269,5.5673,20.6967,44.9576,59.2487,47.5686,289.3417,47.2096,7.1199,2.7013,294.9629,89.3645,39.2358,547.5374,54.5984,67.6716,126.7635,76.9808,240.0111,118.7977,320.9227,43.8856,40.0517,44.8903,71.7058,0.0
SWE_I,24.0856,0.2454,1.3735,11.6193,0.967,49.975,5.4984,3.9606,49.8642,2.0371,8.0918,39.3896,47.5674,20.1119,22.0596,70.4136,44.0542,36.352,105.5377,78.5424,7.3295,37.0569,65.5172,130.1585,82.4882,387.7005,79.847,28.6575,58.8508,77.4425,23.5764,80.3278,29.5208,266.2409,387.7389,164.1095,155.2863,1409.9438,880.9493,197.4231,165.237,212.0341,170.6334,113.0219,0.0
SWE_J58T60,49.7253,1.0046,2.5046,16.9753,0.7966,87.4965,5.7118,27.8025,150.1349,71.7144,23.9695,132.4712,57.6522,44.7917,157.3677,131.5793,31.7143,54.7642,160.9511,159.0166,21.1245,53.9592,85.611,68.9532,191.5051,928.8723,126.8836,11.3256,44.9024,173.0606,115.7207,99.8165,1594.8871,377.2209,1700.7203,217.5381,119.3992,2203.3971,365.5484,231.1011,554.9436,184.0036,220.6027,127.6977,0.0
SWE_J61,24.3673,0.058,1.004,8.5071,0.4836,52.5615,4.2393,7.8181,37.8994,4.5481,13.3938,43.591,49.6049,18.9439,24.7619,67.0463,52.6967,33.6833,167.3892,95.8907,7.4656,36.2454,62.812,18.5577,103.0466,608.0611,140.8885,44.4199,37.4879,297.5139,49.843,61.7532,214.7767,2059.6248,409.3305,275.6451,205.831,671.2079,185.3816,533.0287,103.1468,281.7835,83.1837,79.9099,0.0
SWE_J62_63,64.1915,0.6381,1.3474,18.5455,0.9626,71.399,10.1965,14.4469,112.4582,41.009,34.186,245.3735,68.6602,44.8786,228.1435,153.5638,160.1497,70.3719,244.8565,570.1216,27.4491,67.4884,318.8278,246.8983,500.3354,1310.1765,185.0612,156.001,75.8495,324.0348,164.0214,98.2595,749.8314,404.2254,3769.7805,182.9242,79.5176,1948.47,798.9951,515.6562,259.8017,313.0754,133.3886,84.7036,0.0
SWE_K,1066.5661,8.1338,2.6203,33.6888,1.4098,87.318,11.7818,74.7344,195.9169,35.0041,31.0494,64.5677,44.3659,35.87,161.8119,175.0321,46.1975,66.7209,225.9709,392.7209,29.5336,100.725,304.7423,153.5553,667.8886,1000.7993,342.7316,97.181,42.6529,339.7114,47.8138,294.6065,112.2013,188.1609,198.8943,2286.4332,5602.0507,796.8225,460.1583,512.4472,88.5789,162.5932,135.2588,180.9025,0.0
SWE_L,14.2137,0.1132,1.793,24.2945,1.2154,168.6316,8.2341,22.0691,258.8273,9.7635,37.1922,79.9465,121.0386,71.1048,48.7964,365.0207,73.4948,150.6933,233.0685,399.5013,46.4418,104.5182,174.9134,122.6937,429.9053,5702.6775,463.4617,81.8107,37.7254,640.4262,206.1088,1423.5707,327.6913,312.4318,756.4303,1024.4397,2491.2391,3233.2554,979.5238,2756.1551,2927.7449,3176.0693,1161.4038,349.3804,0.0
SWE_M,269.0165,0.4375,9.4432,68.0723,4.0074,472.5337,23.6165,76.5183,241.6366,45.8547,100.0515,663.676,248.1861,128.439,158.219,496.0546,170.6053,216.4683,740.2807,946.5416,69.4725,250.4587,587.9254,428.3614,5073.793,3756.183,356.408,110.2121,142.5901,572.5833,74.9561,295.4793,600.0961,682.4164,1495.8777,796.6381,691.0094,4359.2997,1606.5012,952.5465,262.6842,554.4015,359.4582,294.6489,0.0
SWE_N,97.9451,0.221,7.9165,70.1686,6.1432,195.1572,8.5115,32.7774,176.5961,38.9903,48.3965,437.2793,130.9966,83.88,148.1421,220.1122,134.0942,202.9649,441.7846,658.5929,119.3627,181.7405,572.2623,230.72,732.9889,1887.265,408.9126,58.8753,149.2193,540.7075,78.9446,397.6218,383.8384,401.1331,833.3948,533.8649,2124.3978,1695.6967,1167.4092,457.0379,386.1765,1193.9492,468.2672,153.3007,0.0
SWE_O,74.282,0.404,3.5021,14.4804,0.6589,90.2319,9.2717,31.2928,96.2892,17.4766,12.727,110.4781,42.9435,25.5675,51.4508,162.8495,20.9349,34.5911,115.2988,172.2844,15.3445,50.0657,256.7528,55.6312,441.9157,727.9258,141.5405,25.3816,5.9785,293.3601,57.5276,164.9485,79.1762,76.9163,192.8965,215.1035,318.2513,498.8905,249.5618,612.6723,1250.6666,1225.0023,308.7242,69.3712,0.0
SWE_P,20.2942,0.0214,0.7743,0.8581,0.0594,16.386,2.0451,7.2364,60.0816,11.0133,1.4501,6.0356,9.3549,39.5607,30.0923,43.9711,6.0547,21.7409,32.2851,65.0225,1.9386,5.756,12.9314,11.9047,40.9036,113.7576,40.1649,1.9842,140.8667,167.3819,8.7469,11.1363,48.0933,12.1792,236.6554,76.5005,19.0682,305.4059,94.1443,372.0035,378.3316,200.9575,43.6912,51.6699,0.0
SWE_Q,56.5755,0.283,1.0425,4.3159,0.2673,14.958,1.444,4.0527,22.6053,1.7184,3.041,13.6898,16.8387,7.2912,9.6476,38.3284,7.588,4.8166,44.6328,45.3971,5.6078,16.0451,37.3327,14.7157,128.0354,200.9434,19.8746,5.285,3.4824,29.827,28.2078,17.8187,40.5228,32.6621,56.5527,39.3988,37.4055,193.2311,74.5223,110.6983,95.969,1640.1718,47.0326,21.6079,0.0
SWE_R,5.9898,0.1007,0.4903,3.7655,0.3696,21.4415,2.076,5.0526,33.7456,3.9341,4.719,18.8365,9.646,7.6399,9.7929,20.9295,6.2257,6.946,35.4931,123.9831,2.9871,8.4308,28.7669,19.2071,269.8809,307.0252,31.708,9.4651,5.9962,105.6833,7.9893,93.6511,198.1686,41.4756,108.5552,56.695,108.8344,336.4124,136.2175,128.3066,64.0881,130.0121,449.0958,27.2077,0.0
SWE_S,48.5428,0.4356,0.825,8.8731,0.5068,45.1847,10.0098,18.2265,55.8496,9.6473,7.7027,32.53,33.4413,25.5751,45.5418,70.6644,14.7519,32.7379,66.8226,113.4654,10.755,33.9434,58.1859,128.8584,96.8761,240.3588,152.2028,24.9954,6.8534,73.4878,23.0519,161.2115,46.3775,110.4907,121.4418,70.146,79.7193,302.9566,150.1441,122.1857,61.6736,298.1916,57.4313,69.6922,0.0
SWE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
