V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_E,20.4362,0.0543,8.2502,3.8946,1.4069,30.7819,1.5327,3.9103,9.3284,2.2521,5.6941,1.0395,0.8141,2.0954,33.6606,1.7719,0.7233,0.8761,1.9825,0.587,1.6059,2.0829,158.5523,60.4848,54.5168,18.9691,8.0704,2.3672,2.3477,8.0739,0.4705,4.5542,0.3873,0.367,0.2834,0.2376,39.3403,5.421,52.4892,9.4378,26.6636,14.8762,2.4164,6.5135,0.0
UKR_F,34.9712,0.0613,34.7444,12.2834,4.1443,20.5164,1.6497,2.2291,2.5996,0.9004,7.8187,1.2798,0.8187,6.4261,6.5652,8.4901,1.2833,0.6144,1.3616,0.6331,1.7861,24.4582,24.6843,11.3074,1684.4788,43.2913,38.46,5.4066,7.3834,37.2323,0.3039,5.3226,0.4896,2.6139,1.3945,0.7918,126.7694,84.044,35.0728,153.5782,4.0106,2.8228,1.3235,3.6318,0.0
UKR_G,1722.5933,58.5986,97.8773,103.0604,39.574,2428.8676,82.8589,134.4174,178.0941,318.3912,342.0107,125.8727,198.7637,187.7891,757.2327,102.1437,48.0178,80.3753,116.4514,57.9482,100.4399,162.8208,353.1229,64.3835,542.6979,2414.6799,391.3089,67.7005,99.3407,132.8161,7.0399,63.5721,48.2226,67.9476,383.5658,213.3419,107.4128,143.2631,73.3891,249.9135,191.4717,315.9967,23.5925,28.5533,0.0
UKR_H49,403.3597,10.9002,57.7158,120.882,41.3211,454.1165,11.0825,31.0344,43.213,87.991,82.021,11.9671,40.3212,68.6051,334.3786,31.1791,4.7703,21.5621,32.2531,13.524,15.3722,28.8604,170.4971,20.0356,145.7203,387.9877,151.5021,21.0595,23.0719,60.5932,4.0549,9.4846,5.715,4.8394,7.8387,10.0454,16.5097,32.2995,14.0289,79.1358,31.1663,29.5056,15.5302,4.9068,0.0
UKR_H50,58.1367,1.5508,8.1788,11.2972,4.078,42.1546,1.7506,3.8329,5.2029,17.2123,11.9486,1.9541,5.3981,8.6688,45.0186,4.0412,0.9436,3.1516,4.1175,1.778,2.1698,3.4094,24.4818,1.905,14.8887,40.7517,17.346,24.7824,4.4648,15.1562,0.3444,0.95,0.7629,0.6246,1.5725,1.5692,2.1235,3.1569,1.6502,6.6609,2.7839,3.1181,1.243,0.5807,0.0
UKR_H51,42.6577,1.4333,5.8755,8.9512,4.3515,47.5933,1.7147,2.8958,4.4891,9.8719,10.3525,2.0774,4.9293,6.9595,36.9241,3.5749,1.0423,2.9182,4.1061,1.7906,1.996,3.6921,25.6684,2.1589,16.1061,33.2533,11.3193,3.1292,13.2664,8.4909,0.5911,1.2914,0.8946,0.9111,1.9401,2.1089,2.9611,6.6034,2.6468,13.7583,4.1168,4.3404,2.466,0.7374,0.0
UKR_H52,188.8834,2.8546,24.0874,66.8918,17.7745,219.617,4.6048,13.5396,19.9149,45.7059,38.8753,5.8225,18.065,30.16,132.5443,13.9255,2.4917,10.8095,15.0624,6.3947,7.4881,13.6286,61.2864,9.2947,57.3635,313.7579,169.8075,92.7342,105.4119,188.5295,2.9746,3.6329,2.0006,3.1216,2.7894,3.1883,7.7387,13.8764,7.9226,35.3333,7.4523,8.9483,7.0085,2.4532,0.0
UKR_H53,1.1672,0.0007,0.189,0.0687,0.0281,1.7582,0.1502,0.2481,0.525,0.032,0.3371,0.2644,0.1373,0.248,0.1641,0.1292,0.0732,0.1591,0.2066,0.0404,0.0752,0.6596,0.9585,0.8543,0.9123,11.4966,0.7155,0.142,0.1886,0.791,7.9832,0.1668,1.0228,1.2037,1.667,1.9531,1.3965,2.5462,2.1994,3.3729,2.1307,1.3527,0.0735,0.5554,0.0
UKR_I,3.47,0.0121,2.835,0.7923,0.6706,10.4055,0.5837,0.5802,1.0593,0.7782,2.4926,2.5874,0.9882,1.3076,5.8905,0.7178,1.3379,1.7276,3.0883,1.8163,4.4579,6.0675,5.6874,0.3378,6.7166,35.4289,6.4358,1.1097,6.1023,3.2457,0.1313,8.3279,0.9371,3.6227,2.6559,1.3878,3.9761,22.7121,9.2239,40.2503,5.8919,4.0941,20.864,2.1268,0.0
UKR_J58T60,3.0314,0.003,0.6127,0.2007,0.0955,42.5989,0.4761,2.3958,7.7284,0.2449,1.4373,4.0521,0.3335,1.7669,1.9987,0.8176,0.184,0.2733,2.3568,1.4345,0.5642,2.0347,6.6922,2.3333,3.588,74.7109,4.3352,1.0341,2.2873,4.2687,2.1653,1.4372,157.8906,24.2861,4.123,3.3482,23.7085,50.4131,5.189,0.0,7.178,4.3987,8.9893,9.9762,0.0
UKR_J61,9.5509,0.0138,2.3721,0.8961,0.502,13.3145,0.9041,1.4209,2.2068,0.4449,2.9466,1.0667,1.4279,2.0996,1.858,1.6296,0.5065,0.9551,1.8547,0.7445,1.0653,3.5016,8.0553,4.0491,11.0563,45.192,18.9369,3.5572,4.9885,14.3308,2.6126,2.8339,12.7762,392.1389,8.4393,5.8171,11.2727,23.7098,18.1125,81.1545,10.203,12.6856,4.7108,2.7763,0.0
UKR_J62_63,0.1466,0.0002,0.1222,0.0395,0.0157,0.4705,0.0213,0.0367,0.0935,0.05,0.0495,0.0413,0.0185,0.0816,0.0634,0.0546,0.0499,0.0259,0.0488,0.0564,0.0201,0.1063,0.2175,0.0877,0.1113,2.1589,0.2661,0.0655,0.1724,0.2478,0.0054,0.0442,0.2388,0.4352,18.3773,0.217,0.1953,1.3946,0.2666,0.441,0.9655,0.418,0.0584,0.2952,0.0
UKR_K,286.5883,0.0559,26.5564,33.4103,11.2224,256.6757,24.127,18.502,28.2529,99.5278,112.7695,40.0325,23.0051,43.7429,110.193,15.9406,7.8921,15.6854,34.0695,6.7802,36.7852,25.6833,133.5225,43.7425,105.7235,966.7411,89.4068,24.3669,29.1845,53.0379,6.8044,16.2911,8.9888,24.9875,47.6738,682.4762,157.8835,172.6098,64.3125,44.7629,40.3107,46.9922,10.3341,16.5491,0.0
UKR_L,449.2728,0.6514,28.9185,3.4035,1.6639,177.6862,12.7545,12.986,23.6732,6.6734,23.5138,9.3781,17.5034,17.2207,37.6733,12.8898,4.4436,7.2798,18.7102,8.1917,2.3944,33.2821,22.5759,19.8157,66.8884,1454.6439,80.6419,12.8771,23.3792,97.3852,5.125,101.8083,30.3877,97.9111,119.7991,107.0881,532.5237,180.9097,78.2146,16.471,32.6092,47.2546,39.3231,31.6923,0.0
UKR_M,57.1026,0.0825,96.6663,8.8935,5.6459,337.1158,3.8734,6.8167,12.4376,13.2035,37.1699,54.1081,7.3336,14.7569,28.6009,7.0752,2.1905,4.6039,13.8622,2.9298,30.5301,37.9155,33.2132,12.2698,110.5051,702.6868,26.6387,7.6821,9.3484,23.422,0.2073,9.3444,18.9896,31.6466,17.0258,49.1773,112.254,645.0616,58.1249,28.6083,77.5113,33.5307,5.4717,6.5339,0.0
UKR_N,48.9063,0.0705,40.0652,8.2869,4.4944,46.9828,1.0842,2.8061,5.4858,3.2409,10.9955,2.9275,2.582,7.4658,20.6402,3.4064,0.7524,1.65,4.8422,1.9826,2.3873,7.3411,12.352,17.4381,29.6416,118.6486,64.0166,20.4416,33.9089,48.8719,0.84,11.4428,4.524,23.4878,11.524,21.3739,118.038,24.2341,139.2075,0.0,22.3343,23.0232,10.6867,9.9052,0.0
UKR_O,6.7411,0.0066,2.8162,3.2116,1.1199,15.2048,0.3312,0.4411,0.6263,3.4748,4.7758,2.2837,1.2328,0.6742,2.6258,0.7782,0.1362,1.0867,1.1825,0.1473,1.2629,2.1053,17.1498,5.0084,1.8953,17.9012,6.8355,1.6901,2.3882,4.7664,0.0859,0.7092,0.1911,0.7029,0.2042,0.684,6.6026,2.2956,2.5251,8.1911,52.8129,26.1354,8.9045,0.5048,0.0
UKR_P,0.1234,0.0002,0.171,0.042,0.0194,0.2676,0.0574,0.0157,0.0263,0.1574,0.0988,0.1487,0.2173,0.0324,0.0931,0.0294,0.0515,0.1057,0.0893,0.0625,0.0303,0.0703,0.2746,0.1073,0.0953,0.5266,0.4436,0.1466,0.3202,0.3388,0.0592,0.0359,0.191,0.1755,0.0542,0.0328,0.1458,0.3731,0.1421,1.2982,40.6849,0.3222,0.0395,0.09,0.0
UKR_Q,1.7772,0.0113,1.925,1.3804,1.2265,3.979,0.0591,0.046,0.0701,1.3405,2.614,0.508,0.2031,0.5133,4.2264,0.1385,0.0339,0.3835,0.5576,0.1466,0.5341,1.419,3.1182,1.6781,2.0998,2.8126,8.7885,1.7533,2.2189,5.9415,0.0,0.89,0.1532,0.4098,0.4994,0.1494,0.3687,0.5006,0.4587,15.882,0.5144,118.2549,1.4606,0.288,0.0
UKR_R,0.6404,0.0018,0.6612,0.0203,0.0205,1.2655,0.0686,1.3854,2.3255,0.0331,0.2212,0.0651,0.2201,0.1035,0.7709,0.0188,0.0399,0.3392,0.3661,0.0598,3.5681,0.068,0.6163,0.3359,0.1425,3.5241,1.5812,1.3228,0.7631,1.6015,0.0,1.8552,35.6966,0.1125,2.3482,0.0835,4.7312,4.0001,0.5731,43.057,7.2834,1.5633,34.4583,57.3006,0.0
UKR_S,3.7224,0.0107,2.9432,0.6067,0.3106,3.6458,1.5867,0.1836,0.3377,0.0557,1.215,0.5383,0.1317,0.5155,0.7741,0.1546,0.0375,0.4664,0.6505,0.0672,0.22,1.3227,3.8533,3.3418,1.216,29.3045,3.6892,0.9888,1.6335,2.7953,0.1881,1.8055,0.6178,1.1231,1.7,1.9355,4.6034,3.1401,2.8954,0.0,5.9865,6.0185,1.8436,6.3189,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
