V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_C20,53.3367,0.3689,0.3011,0.003,0.0088,27.6379,18.0399,4.3042,8.0486,42.1715,63.111,18.0669,20.5789,10.2018,1.4066,7.1183,4.5013,6.3717,1.5094,0.3768,0.9701,2.5467,0.4088,1.4998,9.7948,7.6806,1.406,0.7401,0.0311,1.2478,0.1383,3.6574,0.4547,0.299,0.3963,1.5279,10.3267,7.0988,2.9713,2.1496,2.6103,3.3953,0.8413,2.8667,0.0
HRV_C21,4.768,1.0293,0.0686,0.0356,0.0094,6.0323,2.7863,0.3595,0.9478,3.4364,6.1906,40.1206,1.7577,0.8485,0.2659,0.6677,1.0748,5.0922,0.4161,0.1812,2.7301,0.5547,0.4147,0.2098,0.6914,26.3388,2.3525,0.0763,0.0093,0.1301,0.0334,0.3338,0.0399,0.1509,3.1179,0.064,0.9617,7.619,1.2164,0.9999,1.2921,70.9801,0.6637,0.4645,0.0
HRV_C22,11.5278,6.0269,0.0864,0.0773,0.0045,90.3681,9.8026,4.264,10.0045,3.7836,7.9501,9.9134,68.9799,55.6566,1.0804,11.6734,3.2452,17.7227,10.0542,2.3342,13.0251,9.4688,2.3294,4.6367,20.3013,23.3538,10.545,0.2683,0.0762,2.1575,0.8921,3.1321,0.8199,0.4003,1.0335,37.1823,4.5021,7.8934,2.4121,10.0139,0.8058,5.2355,0.7348,2.2068,0.0
HRV_C23,4.1221,11.637,6.4492,2.0198,0.208,36.6417,2.8379,6.5674,0.6534,0.2318,2.6385,10.6669,5.647,48.5853,1.7277,13.9744,3.3312,14.431,2.5528,0.8474,4.8694,5.2434,1.276,9.0835,336.5071,20.5958,1.3863,0.032,0.0142,3.2573,0.0383,7.7125,0.0198,0.1148,0.1055,0.3049,1.1581,10.8559,0.6837,13.6201,0.2452,2.8933,1.5634,23.8849,0.0
HRV_C24,0.0254,0.0,0.0497,0.0,0.0008,0.335,0.0,0.3773,0.2957,0.0,0.4555,0.269,13.6382,1.8146,18.2067,47.9796,0.9418,11.3921,7.744,0.7414,4.21,14.6214,0.4003,14.5756,32.2275,2.0099,2.6486,0.0867,0.0,0.6964,0.0,0.1474,0.2103,0.0,0.0,0.0,30.1386,2.729,0.03,0.001,0.0832,0.0246,0.0628,0.0472,0.0
HRV_C25,12.9564,1.476,0.4269,0.0093,0.0119,50.1961,5.0671,2.9436,30.5731,6.7416,4.0615,5.1317,4.1692,7.6376,4.5655,89.2887,4.4636,25.6859,27.9213,3.4953,23.3188,22.6492,13.1416,3.9789,34.5812,52.4835,15.7628,2.7352,3.6786,5.1377,0.5629,14.3125,8.8265,13.0533,5.8324,27.1855,2.6072,23.5388,7.1486,15.1874,2.5167,7.6156,3.9515,10.2419,0.0
HRV_C26,8.6499,0.8229,0.2715,0.0093,0.0116,7.4667,1.4558,0.6033,1.1146,5.4861,1.3907,1.4463,0.6837,1.446,0.4757,3.3858,8.6281,4.7658,9.3885,0.2623,1.5528,12.9196,9.5293,2.5048,3.7814,25.2446,12.2041,0.6079,3.6979,2.5297,0.1712,5.5358,1.3203,10.3163,7.5982,2.4999,3.4428,8.9864,2.5528,9.387,5.2869,6.1729,0.9039,12.4026,0.0
HRV_C27,3.8592,0.4764,0.2074,0.0123,0.0125,5.4171,1.1974,0.4808,1.2291,2.2807,0.8145,0.8864,1.0625,1.3936,0.3093,2.9143,7.8747,19.3583,4.2623,0.7095,3.9216,11.1434,7.2723,1.2698,8.8106,13.1852,5.0741,6.9843,1.3392,2.0093,0.0737,3.2071,0.7064,3.8123,0.744,1.1693,1.5019,3.6859,1.7197,2.8221,0.5078,2.1467,0.4148,2.363,0.0
HRV_C28,6.4475,0.7446,0.2895,0.0001,0.0047,12.6293,1.6142,0.8222,0.9455,2.3943,0.9478,1.7331,0.9244,2.0559,0.8271,12.5871,1.2845,10.5218,29.6786,5.5724,13.771,13.8764,3.8668,1.1023,12.892,30.6283,5.8918,5.0308,1.449,2.5857,0.1559,7.4709,3.566,5.8603,2.0252,19.9124,0.3919,15.1288,4.3226,3.4662,0.8039,1.2485,1.2479,1.5229,0.0
HRV_C29,1.4095,0.5378,0.0255,0.0061,0.0004,8.0639,0.7843,0.2955,0.5445,0.2674,0.5451,0.8666,5.7389,4.7043,0.1017,1.2393,0.3088,2.3229,4.3473,2.6927,3.1712,1.6713,0.1877,1.2874,3.1324,6.805,4.5688,0.5114,0.0184,0.659,0.1091,0.7916,0.3339,0.2545,0.2592,4.9713,0.4021,2.2549,1.491,0.9989,0.0859,0.1218,0.1552,0.2158,0.0
HRV_C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,1.2098,0.0,0.0234,37.4229,5.4075,0.0,0.0263,0.0787,31.3344,0.0199,0.0608,0.8083,0.0234,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.5311,0.0623,30.4364,0.0,0.0,3.8866,0.0,0.0
HRV_C31T33,16.5095,1.5286,0.4084,0.0004,0.0066,13.8943,7.2179,7.4357,2.5685,13.3938,3.4031,4.729,1.0313,2.5745,4.6445,9.7448,3.6189,15.6567,5.8891,0.386,2.6963,58.49,21.3089,5.4082,4.3167,42.6086,31.1137,1.1372,10.2412,11.4019,0.0651,5.9079,2.8626,28.9003,0.5903,1.7041,2.5917,13.6369,1.1718,11.2601,3.1115,81.0815,0.8142,1.2776,0.0
HRV_D,29.7361,7.5011,4.2091,0.0244,0.0433,93.9055,15.7334,11.5277,26.2038,8.0361,44.4694,19.2676,7.9174,36.7954,13.8238,12.8903,3.3792,10.0602,4.4207,0.7775,2.5958,6.737,492.0109,18.7127,34.4098,457.1835,17.4543,10.1504,1.4978,67.6226,1.3695,84.6635,16.7869,31.6189,9.9592,14.1736,68.5278,91.6853,79.3736,227.8154,81.7872,55.5157,34.8144,17.9269,0.0
HRV_E,13.877,1.4514,0.7679,0.1097,0.0438,16.6673,5.286,1.7908,4.3653,5.8299,8.1883,3.7419,4.9194,3.5284,2.1546,3.2949,1.7091,2.1977,1.5914,0.4209,1.8562,2.0719,12.8245,44.5081,14.077,86.4483,16.4257,1.4804,0.906,11.3013,1.5901,42.2461,1.8857,1.1368,1.5133,2.716,47.9334,23.2757,6.0722,40.3907,10.9372,23.8088,10.2955,10.9869,0.0
HRV_F,10.9573,4.1691,6.6372,1.5875,0.2352,69.5584,12.0224,11.6946,7.2969,44.0984,10.7284,12.2009,8.6034,33.5773,3.5823,22.5256,4.7728,13.2419,8.0482,1.3265,5.7747,23.8089,42.701,33.782,497.6446,80.7434,16.6092,1.4351,1.6482,110.0967,1.3264,22.763,1.991,5.7634,3.3593,19.4513,92.1786,423.3115,9.7802,60.1871,12.0205,15.0758,12.8923,14.8468,0.0
HRV_G,147.9934,22.7419,23.074,3.7472,1.3225,332.2963,107.9583,32.0067,63.9129,58.3373,45.0138,51.8379,47.2255,75.3662,20.2424,78.8746,38.2798,57.5552,45.2681,16.5977,48.1349,77.5709,199.4898,37.4987,325.3049,255.4984,64.3245,20.5095,10.3147,33.025,4.9863,199.9271,21.872,15.807,11.4026,65.8539,36.5428,102.5403,48.5046,320.2094,28.1897,148.8036,21.5651,44.4878,0.0
HRV_H49,14.7302,4.1605,4.2868,0.2589,0.3978,39.6677,9.3016,4.7896,5.642,19.3878,7.0134,5.3913,6.6413,9.77,3.1357,11.6247,3.4491,6.6838,5.8473,1.6329,5.3011,6.6674,24.1004,7.2306,29.4977,63.0246,179.7318,2.5715,30.8278,27.1472,2.7412,15.5088,2.1442,1.7507,2.9973,8.9461,8.5097,17.0559,23.4775,20.0894,3.5734,8.6349,3.1988,4.9137,0.0
HRV_H50,0.2628,0.6965,0.1009,0.0085,0.0055,0.8449,0.1689,0.1174,0.1492,0.2483,0.109,0.0918,0.1245,0.2485,0.0957,0.2629,0.0589,0.1582,0.1242,0.0294,0.1224,0.1167,0.4806,0.5309,0.695,1.1592,1.6782,7.174,0.0335,1.5411,1.5946,0.3191,0.0368,0.0803,0.5525,0.8099,0.1159,0.2482,0.1774,0.5283,0.0746,0.1258,0.1406,0.1137,0.0
HRV_H51,0.4093,0.0411,0.1724,0.0104,0.0187,0.378,0.1971,0.0677,0.0897,0.58,0.1168,0.081,0.1661,0.1331,0.0798,0.2036,0.0747,0.1346,0.0829,0.0589,0.0959,0.1159,0.4001,0.1177,0.5799,0.9983,0.1858,0.0246,0.0521,0.0465,0.0095,0.3979,0.047,0.0114,0.9624,1.3211,0.2318,0.2443,0.1293,0.6867,0.0387,0.2623,0.0448,0.162,0.0
