V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_C20,125.2997,0.3525,0.4606,0.4814,0.1467,41.1142,19.1607,0.7622,20.4094,14.9461,72.1991,19.5969,162.8214,5.7217,13.243,30.9304,1.3601,7.87,1.9113,0.2831,0.502,7.9847,8.0906,8.5203,19.6237,47.5195,4.6867,16.8056,2.1839,2.6297,0.6583,134.4942,4.9879,6.5993,0.9458,4.2331,34.2959,8.7214,11.6522,16.4602,10.6659,131.9665,6.604,5.8322,0.0
GRC_C21,15.8463,0.2596,0.6042,0.9863,0.0084,9.819,3.0876,0.1631,0.9379,4.7478,3.057,27.6109,1.4982,0.4898,2.5914,1.0848,0.2392,0.395,0.2114,0.024,0.3303,0.5767,2.8145,1.7479,3.6476,11.937,1.1072,5.171,0.5913,0.9437,0.1799,12.3902,1.273,2.9739,0.3827,1.1129,0.3418,7.9106,1.2579,3.2163,2.6718,290.9901,0.5454,1.6148,0.0
GRC_C22,12.3796,0.2504,0.4382,0.3127,0.0862,69.8855,7.6022,1.1841,13.3482,3.2137,5.7695,11.665,27.1308,6.9793,5.8505,30.1513,4.4907,5.3372,13.1411,0.8446,2.1991,10.4545,11.8222,2.0256,87.8587,648.7571,52.1837,10.3132,24.1436,4.4453,6.5049,25.4435,1.2405,55.9448,5.821,1.7444,20.9633,61.397,12.4918,4.6034,0.7335,3.5513,1.6579,18.6899,0.0
GRC_C23,3.1863,0.179,1.4457,1.2528,0.0848,30.065,1.7975,0.2008,1.421,3.8557,7.3254,6.2532,3.9408,168.7566,4.5403,5.9016,0.741,10.854,3.6396,0.4369,0.7866,4.802,10.2288,0.9118,861.0226,22.5582,3.427,8.6025,1.569,2.4476,0.4481,56.9329,1.0883,6.0625,0.9393,1.724,14.2216,6.4848,2.2494,2.9245,0.8707,26.2682,1.539,1.495,0.0
GRC_C24,0.0,0.0,0.009,0.0065,0.048,43.123,1.2057,0.0997,2.7313,0.0853,8.1697,6.1527,2.6542,2.4475,561.5035,277.2794,5.7092,278.9692,36.0298,4.7648,5.6518,49.95,5.6869,44.343,141.5878,1.5231,0.0639,0.8033,0.0,0.0,0.0,0.0,1.7457,0.0,0.402,1.1315,0.0002,0.002,0.0,8.1742,1.0943,0.1662,0.8125,0.0026,0.0
GRC_C25,16.5396,2.8272,9.232,2.0999,0.2358,189.5925,75.7686,1.6521,12.6617,7.584,26.1803,25.4456,36.4775,12.1088,19.9363,188.8751,11.0772,30.975,31.6108,3.9062,11.9523,46.7059,49.3886,7.6062,921.301,52.7133,8.9364,35.9281,2.8063,13.1961,0.7756,97.3897,3.9867,6.4786,4.3804,5.5838,0.3965,9.507,14.3687,137.6067,3.5198,10.4723,26.1316,8.2416,0.0
GRC_C26,4.3541,0.249,0.1114,0.0933,0.0212,7.7783,0.9236,0.1159,0.9244,1.4157,1.0828,0.8251,0.8109,2.421,2.6909,3.6209,11.9177,0.7709,1.2142,0.4872,0.2915,2.7967,14.6084,4.3711,10.4486,22.1397,4.9523,4.0724,2.3568,7.3686,0.6372,6.6358,3.8067,2.2476,2.143,1.4985,0.0282,4.6296,3.6428,3.3158,4.0608,8.2728,0.9383,2.743,0.0
GRC_C27,5.4536,0.2913,0.2172,0.1592,0.0378,12.8336,1.6348,0.2203,1.6818,3.5478,1.835,1.411,1.7049,3.9409,4.1561,10.4516,14.2651,24.1399,6.217,0.4862,0.4856,3.604,24.7399,28.0146,104.2941,156.8152,11.3164,5.7942,3.6669,8.7615,0.9969,29.508,7.9928,12.9988,4.0009,0.5972,0.1598,17.7155,1.7755,3.1751,1.1904,3.0445,0.7201,3.259,0.0
GRC_C28,16.272,0.4628,0.5503,0.3858,0.1141,15.55,1.3768,0.1385,1.1673,1.9352,2.1165,2.1137,1.5282,2.4928,2.8504,9.1899,0.7615,2.551,6.1528,0.3059,0.6528,3.8217,13.4103,4.4632,38.3675,10.7775,6.9265,9.0978,1.7575,10.4851,0.4808,17.341,1.617,2.1833,2.9519,1.6573,0.1443,2.818,3.1797,6.9224,4.6855,2.6009,1.3582,2.5515,0.0
GRC_C29,0.9955,0.06,0.0524,0.0423,0.0039,0.9667,0.103,0.0152,0.0773,0.2242,0.1136,0.1301,0.0934,0.1667,0.1225,0.455,0.0535,0.0957,0.1728,0.3808,0.0463,0.3367,0.334,0.9971,1.9658,1.0084,1.154,1.0765,0.915,2.2229,0.2482,1.4005,0.1112,0.2182,0.3349,0.0738,0.0091,0.2443,0.3716,0.9773,0.2078,0.4308,0.1364,0.812,0.0
GRC_C30,0.0,2.3369,0.2496,0.1685,0.0017,2.1915,0.4036,0.0173,0.2354,0.0412,0.185,0.2839,0.2022,0.3475,0.6872,0.716,0.0424,0.1153,0.1665,0.0319,12.0989,3.2802,0.1082,0.03,0.2549,0.2281,4.5745,54.4466,0.2994,0.4542,0.08,3.9928,0.0182,0.0175,0.003,0.0,0.0,0.0274,0.7421,0.1747,0.0059,0.1427,0.0,0.3982,0.0
GRC_C31T33,114.4495,7.0718,1.7081,1.1816,0.3231,52.6215,4.4131,4.903,2.3644,2.3241,6.9114,7.2808,3.6468,3.5614,4.913,19.4968,1.5596,3.0828,11.1413,1.2242,4.1839,36.4695,15.1974,34.5074,170.6376,25.1483,46.9469,109.0094,9.8203,148.9482,2.6538,136.7341,10.719,4.1453,40.2098,7.4755,0.4269,8.149,22.2941,83.514,23.8865,46.3313,13.2739,28.7295,0.0
GRC_D,284.9303,0.5269,9.2843,2.6391,0.7009,496.2315,86.8636,7.5689,67.9552,157.9801,84.6195,57.3279,93.6159,182.0714,675.8072,153.1379,7.7379,21.294,19.0534,3.6335,18.3936,46.5982,1082.2586,726.9689,66.0252,234.6542,70.7178,176.8725,29.6125,290.8217,8.0068,329.6052,37.188,67.3762,8.5169,60.7069,13.2778,60.7108,75.2371,594.5438,92.6435,262.3438,88.8034,147.3395,0.0
GRC_E,177.1192,0.0097,0.4078,0.1243,0.0768,8.7216,1.2202,0.0778,3.1308,0.7155,0.9394,13.6778,9.9893,1.6424,85.735,2.9762,0.1732,0.5422,9.5477,0.1365,0.4572,1.88,2.1892,209.2815,7.9285,265.6918,3.2902,32.1654,1.658,22.6699,0.4508,191.298,10.3176,86.9289,53.3677,42.7771,60.3842,65.7987,13.0492,115.9626,30.3377,64.0819,28.4177,17.7044,0.0
GRC_F,25.7815,0.2508,5.3662,1.0075,0.3706,115.6092,16.0244,2.6336,12.6567,53.1697,31.457,5.5546,17.3,21.8011,38.0396,1.5704,0.6952,3.4065,1.1208,0.9978,1.5196,6.2687,15.4088,16.431,1433.2577,284.5746,607.8809,113.9269,2.0895,25.3698,0.5823,95.6781,8.2532,19.9362,2.7359,169.6503,1008.3276,41.3101,55.8382,120.2441,127.0961,148.8983,50.9223,164.3819,0.0
GRC_G,860.2727,40.02,11.893,22.3929,0.8901,1701.8258,253.7439,32.9109,224.5429,943.6725,156.3277,89.8825,180.116,121.6171,165.2376,209.1019,54.206,81.5137,44.7276,11.2217,20.0805,106.191,502.7787,116.9286,829.5517,1559.7719,268.2914,608.0367,140.3582,153.34,48.7503,1946.9923,56.822,285.6241,46.6313,157.6092,79.3967,350.5625,181.132,394.7463,87.3583,553.2822,56.8998,153.5651,0.0
GRC_H49,84.5832,4.4727,2.123,6.8605,0.3062,236.8717,22.9253,4.6669,27.7486,156.2853,32.4815,10.9776,24.5588,60.3426,37.5653,38.0344,4.8468,11.553,8.662,1.1726,3.1485,13.5425,50.5186,10.0123,102.1458,231.2365,22.8354,147.9911,20.4542,24.4651,5.7964,123.264,5.1295,23.3608,9.9395,8.5303,3.4375,79.1154,63.6939,175.3244,18.0617,34.4514,10.9143,69.0903,0.0
GRC_H50,13.322,7.5088,0.2676,0.5604,0.0798,32.3137,5.9175,0.6772,4.7114,73.9588,8.8891,7.3599,5.1063,5.2077,6.9175,10.2959,2.5018,3.299,4.8204,0.3677,2.5359,9.4773,23.3805,3.7865,15.017,201.331,88.2266,244.2805,44.6693,14.3201,12.2652,22.6083,6.8555,29.4469,7.6382,10.1548,4.9196,27.332,15.8746,9.3492,2.4148,14.5794,3.8625,41.5476,0.0
GRC_H51,4.5068,0.2078,0.0556,0.2851,0.0181,10.4186,1.4655,0.2681,1.5916,19.1306,1.6749,1.3116,1.3981,1.1668,1.7719,2.2112,0.5056,0.846,0.7436,0.0838,0.44,1.565,4.8708,0.72,5.577,22.5071,0.8596,4.6504,0.4263,0.8315,0.1358,9.4544,2.2391,3.5483,1.9517,1.3376,0.2941,3.725,11.7903,13.7895,0.3334,2.7614,0.4943,12.2948,0.0
GRC_H52,16.0815,8.9838,0.1936,4.0238,0.1468,45.7613,4.0375,0.8959,4.8159,72.202,4.6003,4.2164,3.9141,5.3119,5.6099,7.4067,0.8729,2.0958,1.3475,0.2211,0.4814,3.1049,15.4756,4.29,20.8057,773.2711,56.6167,1240.1341,70.1115,88.0644,24.2391,35.0559,35.7784,99.5145,27.9972,6.4918,1.5459,29.5837,24.0487,11.9887,1.351,7.1007,1.3157,4.3804,0.0
GRC_H53,13.1436,0.0322,2.125,1.873,0.0293,14.5037,2.5207,0.0284,0.1966,0.926,0.177,3.0106,0.1461,0.2967,1.8445,0.2296,0.0333,0.0689,0.0521,0.0065,0.4345,0.1023,1.1462,2.4964,0.7274,237.6262,8.1341,1.8054,0.2827,0.328,0.0821,53.6279,64.8411,36.0838,72.242,90.5873,0.1405,22.8341,84.6265,43.4056,0.1168,3.7435,2.9942,27.6555,0.0
GRC_I,0.0004,0.0,0.7321,0.2845,0.2069,22.9106,4.8684,0.3201,2.5705,1.7986,10.4101,10.8021,3.0663,5.5884,4.8382,11.0459,2.9542,3.1101,6.1832,0.3341,2.2211,10.8937,20.4844,1.0888,0.8259,22.4965,11.2772,105.3526,1.3049,7.4826,0.3637,0.0,40.9508,8.2019,38.7478,46.0309,10.804,14.428,464.8718,29.102,0.0043,11.1717,6.6643,571.8754,0.0
GRC_J58T60,0.1264,0.0027,1.8083,1.3077,0.0182,24.4642,2.1334,0.0858,1.0514,0.5942,3.4182,5.5628,1.1212,1.9195,2.3761,2.7387,0.3609,0.8479,0.9339,0.3867,0.8879,1.8809,23.24,4.6654,10.5155,83.9002,14.538,19.4768,6.8847,10.722,1.853,72.9921,83.6182,26.8566,13.4326,23.8351,1.1772,85.56,40.6966,111.7926,54.6894,10.3463,29.0851,3.4655,0.0
GRC_J61,17.8919,1.5724,0.2014,0.4913,0.083,48.2107,11.998,0.8765,5.5861,4.6306,7.7113,10.7345,5.3907,8.9053,6.8846,19.4791,3.6625,2.8457,6.3902,0.7429,1.4313,13.7695,31.5007,18.5528,51.6037,422.7247,34.0335,36.4215,11.4394,26.4266,3.1269,116.9746,28.2565,137.6532,15.0223,158.8024,15.7026,132.9156,124.4104,101.802,17.4064,39.4687,19.9322,34.0838,0.0
GRC_J62_63,0.0292,0.0231,0.7478,3.2022,0.0774,12.7227,2.9677,0.178,1.0107,0.1632,2.2177,11.1563,1.1077,1.8544,2.4732,5.131,0.7211,2.4075,1.7973,0.3075,1.7594,2.8015,5.75,4.3685,2.913,7.8712,13.022,1.6087,6.1478,0.8589,1.6549,8.3105,146.6498,28.2815,18.013,200.3273,0.8075,161.0097,22.1927,23.1451,15.8273,2.2284,73.6112,11.5976,0.0
GRC_K,411.5963,33.2831,9.0428,9.6974,0.5783,298.9839,31.1628,3.7224,31.6098,255.2745,50.8944,67.0236,26.1106,41.4553,86.3769,84.6305,11.0369,24.0573,18.3475,2.2784,9.1724,25.4079,223.3786,38.5625,327.6069,970.3199,206.5048,425.4064,104.7051,169.413,33.3757,411.7876,88.8365,172.8604,80.981,1088.8332,1405.1703,219.2321,263.9286,941.2624,52.6728,120.5542,335.544,222.0098,0.0
GRC_L,10.4811,0.3355,2.6382,13.912,0.1471,152.7918,49.7572,2.8401,15.8123,33.6403,21.7533,53.8244,20.472,33.077,26.2255,66.1109,7.7799,8.6678,16.8155,0.8488,4.5068,59.4517,713.1456,29.8544,105.6545,5018.474,62.8786,220.5823,19.1992,281.0994,5.1616,286.3264,41.4834,1503.1509,152.8376,374.3477,15.6161,1340.1068,188.5913,203.2615,37.973,43.4121,83.7006,150.6792,0.0
GRC_M,40.9068,2.7279,11.6451,80.8117,1.304,582.4104,53.5298,5.0581,39.4215,31.7943,111.3943,139.9068,36.9203,61.3907,120.2965,103.77,25.885,28.3845,35.2274,4.4669,21.543,62.1224,32.4652,54.3099,950.5728,1070.9351,155.8182,1045.0628,80.8924,201.0737,21.7918,221.0532,91.2113,318.6506,108.9417,610.4644,120.3889,520.5102,285.8904,378.5782,38.5202,107.1768,114.8314,87.0217,0.0
GRC_N,5.1383,0.322,6.3034,31.1167,0.6704,7.8073,1.8322,0.5255,0.4537,15.1563,0.8408,56.9491,1.3381,4.6018,7.1193,2.1012,1.7671,1.0258,1.2056,0.4592,2.8291,1.7364,24.694,42.2474,63.9267,110.1433,230.5185,434.1586,110.1007,22.5652,29.6625,255.2351,46.1264,33.8508,8.152,85.657,4.6997,172.5244,325.6169,131.0471,54.2412,113.6425,99.2403,43.9752,0.0
GRC_O,0.0676,0.0594,0.9362,0.777,0.032,102.2888,7.4283,0.8273,6.1344,93.9996,11.0288,6.2945,5.908,8.7171,21.7728,17.1069,1.9014,5.575,3.4002,0.507,0.4078,6.1791,84.4682,5.2278,63.0416,116.9867,26.5889,9.8748,7.1859,15.5251,2.587,47.5102,11.4953,32.3428,7.017,239.9189,9.9874,47.5764,19.6817,48.1885,7.7322,14.193,10.5499,9.2732,0.0
GRC_P,0.0015,0.1744,7.1826,5.2018,0.0206,0.1268,0.0315,0.0019,0.0106,0.0057,0.0214,1.748,0.012,0.0199,0.0241,0.1699,0.0071,0.0214,0.0174,0.0027,0.0154,0.0315,8.7267,12.4593,0.0311,2.7774,0.1205,0.8021,0.0542,0.0662,0.0146,1.4699,5.7423,1.1038,14.6016,16.2269,0.0038,50.1385,5.5018,68.9741,160.8906,58.9249,7.5868,15.5278,0.0
GRC_Q,2.4991,0.0256,0.0054,0.025,0.011,0.1737,0.0514,0.003,0.8883,0.0264,0.0265,0.9925,0.0206,0.0336,0.0311,0.0736,0.0092,0.0174,0.0209,0.002,0.0113,0.0581,0.7202,0.2378,0.0898,3.8795,4.4469,1.6465,1.0957,0.289,0.2943,0.2563,1.3967,1.2886,2.4917,62.3533,0.0214,9.9491,1.3692,212.4622,1.1921,101.3198,1.0192,25.1209,0.0
GRC_R,0.0023,0.0001,0.0013,0.0062,0.0025,0.0458,0.0138,0.0008,0.0076,0.0075,0.0069,1.4171,0.0189,0.009,0.1293,0.0195,0.0024,0.0042,0.0184,0.0005,0.0027,0.0157,0.2473,0.2901,0.0279,1.4885,0.6852,0.8367,0.0112,0.0772,0.003,46.1172,153.8797,0.4823,0.0854,174.8374,0.0911,126.3292,87.3158,10.1046,35.7303,0.5589,592.747,35.3119,0.0
GRC_S,20.8956,0.0025,1.2562,4.8938,0.0553,52.3113,7.8434,0.5284,4.5019,13.8669,8.0389,18.2247,5.0251,14.3921,12.6165,18.1496,2.9393,3.9526,4.3595,0.646,2.3155,9.858,44.917,12.2857,47.3049,188.5787,6.3181,32.7503,0.8488,12.0758,0.2286,100.8844,9.5958,22.1913,42.1183,8.0331,1.0539,93.0119,22.6031,27.0197,0.2124,58.6893,1.2893,60.043,0.0
GRC_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
