V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_C21,258.4659,11.979,0.029,4.4441,0.0017,32.7549,0.8603,0.0725,0.1704,0.6279,80.8384,1084.9563,1.6923,0.2336,0.2392,0.1417,0.1666,0.246,0.2608,0.2362,0.174,9.8887,0.3711,0.8119,0.855,5.0702,0.3422,0.1774,0.1458,2.2289,0.1709,0.6438,0.126,0.2356,1.5382,4.1866,0.1964,102.2334,21.0254,35.2453,3.6961,1482.64,1.6937,2.9501,0.0
FRA_C22,208.3821,10.8615,0.0,27.9679,0.1333,1480.6337,279.9522,11.2849,230.3175,409.3737,770.2646,176.1787,1197.431,107.5623,126.5493,391.3392,531.7606,560.7594,681.502,1704.9433,255.3888,1112.6381,165.0373,85.078,2568.7607,2096.0417,229.41,53.7836,52.858,37.7251,70.95,33.8415,237.3169,243.6662,64.8873,61.5482,48.0627,453.6493,339.5703,0.5078,8.3258,206.5616,37.639,98.2568,0.0
FRA_C23,225.5993,15.5891,0.0,189.1879,0.1383,552.6837,19.0885,11.8881,45.7122,19.0984,305.2226,128.1931,88.1022,2162.6318,157.4539,238.0237,255.7193,91.2845,203.0968,434.763,60.4619,363.5622,174.2674,220.3048,10014.6318,652.7802,86.2807,7.7168,2.1092,47.6749,0.0,114.8735,5.483,34.109,15.8367,0.0,115.9544,443.2732,306.1549,20.5282,158.8021,457.3619,44.9563,62.1118,0.0
FRA_C24,0.8519,0.0,0.3711,11.0964,0.2905,30.0324,10.7812,1.5251,13.8727,72.6317,103.7988,60.6637,85.7977,256.3679,3143.0397,3171.4133,286.0104,536.553,1181.7204,1230.0586,215.5798,1288.6872,20.6641,498.6969,2211.7561,93.7631,10.4717,3.749,0.3934,19.4139,3.7356,3.3681,37.9745,3.1694,5.2722,0.0,0.0,94.5959,161.0088,1.1869,0.0,0.711,1.1899,82.1992,0.0
FRA_C25,413.288,18.8171,1.35,90.0899,0.4889,1161.6729,221.7889,57.0125,319.8705,404.3811,806.5649,98.9796,237.1743,242.296,1046.266,6453.9012,981.603,1255.7826,2769.3184,3008.0389,714.3342,3028.2978,342.0895,479.0248,9921.6314,555.3982,144.6185,18.7187,37.9114,217.4731,15.6892,162.6465,85.7759,207.2345,114.2857,4.8452,278.1292,405.159,847.2348,514.6921,30.7,368.245,84.2003,168.536,0.0
FRA_C26,0.0,0.0,0.2032,2.8081,0.029,22.5705,4.5563,1.6175,23.5249,29.185,36.0593,3.3253,22.3652,34.0065,51.5948,114.6623,1094.6015,464.0419,348.4712,393.686,716.1665,390.4807,79.6563,22.6535,521.9723,391.5393,8.5273,13.631,1.8462,70.4006,45.7959,24.3061,48.3001,431.0881,321.8333,79.7263,17.0389,622.0674,269.6413,174.9949,47.8803,513.4484,108.7276,213.6129,0.0
FRA_C27,10.859,0.6155,0.0711,5.2099,0.0232,52.1696,9.0728,2.9932,42.8802,45.9115,70.6368,5.7678,21.8646,25.6021,89.0328,204.2696,314.2642,509.8435,312.5387,337.9328,116.8623,232.6408,104.7927,34.2715,1148.8783,449.2419,23.6983,4.953,3.8547,94.0908,35.58,35.6076,26.2987,262.3209,153.4743,16.5576,118.9258,375.9503,146.5028,15.7096,4.5519,13.7139,22.9752,64.1248,0.0
FRA_C28,49.7876,34.7877,0.4075,143.1132,0.3381,316.2793,52.0708,13.4967,69.7366,97.7088,159.3123,18.6195,134.3276,109.9139,177.6707,363.0099,274.2703,165.5326,1270.0639,1482.1901,460.7552,1527.8644,248.7638,245.479,1962.0039,700.1933,81.3405,25.9627,18.3863,165.8145,9.5772,52.1112,75.0667,85.4457,37.517,12.7188,14.1412,298.5672,278.8469,107.5359,26.8201,127.0181,72.9846,120.0744,0.0
FRA_C29,80.2795,0.9666,0.0,2.4336,0.0222,87.488,3.5986,0.9426,6.5164,13.5092,23.2063,0.4779,3.0145,16.9634,10.4063,20.6803,11.7772,7.8558,299.9508,4303.7114,34.0017,107.9169,14.5587,120.3532,56.1966,2006.1187,147.5063,29.09,29.8973,192.9277,10.5455,9.2766,37.2701,32.4985,16.7032,15.2932,9.1674,94.4598,147.7759,93.3471,11.261,93.1953,56.8182,60.7003,0.0
FRA_C30,0.0,47.9665,0.0,0.0,0.0161,15.9411,0.4805,0.0704,1.2688,1.2396,2.2792,0.0,1.8418,2.1791,14.9926,18.8573,0.7151,3.2498,28.3754,341.6293,18680.8112,272.2779,1.7558,3.9231,8.9338,172.2285,338.6669,140.9383,213.5316,107.4213,2.5385,2.7802,3.075,7.7218,2.8762,1.3855,0.2334,98.0283,45.5869,3719.4774,0.6558,3.3704,0.7695,14.6703,0.0
