V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_I,0.0597,0.0008,43.4344,9.4946,4.3392,0.4918,0.5102,0.0249,0.0195,22.2308,0.0985,0.0017,0.0762,0.0011,0.0,0.0011,0.0016,0.0482,0.2674,0,0.2693,0.145,0.0254,0.6088,16.917,11.4605,0.4398,0.1278,3.9057,0.0064,0.0224,0.3905,0.3623,1.9463,2.4712,2.5153,0.2248,5.3778,2.6327,9.432,2.2566,1.5696,0.1266,0.2044,0.0
BRN_J58T60,0.0023,0.0,0.2892,0.0817,0.0165,0.0057,0.0209,0.0004,0.0002,0.463,0.0015,0.0,0.0012,0.0,0.0,0.0002,0.0,0.0008,0.0033,0,0.0031,0.0022,0.0,0.0171,0.0625,0.1998,0.0046,0.0,0.1262,0.0005,0.0001,0.0077,0.0398,0.0317,0.046,1.3895,0.0027,0.2015,0.1966,5.1205,1.0197,0.4345,0.0115,0.0095,0.0
BRN_J61,0.2457,0.0001,88.3371,21.7137,5.6137,0.4965,0.4286,0.0354,0.0473,9.6341,0.0451,0.0006,0.0856,0.0011,0.0,0.0337,0.0001,0.0642,0.362,0,0.3624,0.1991,2.2412,0.4731,16.5561,20.5813,0.4941,0.2279,1.1499,0.0069,0.0075,1.2965,1.0635,23.6332,3.5145,6.2207,0.5956,5.8621,2.8397,20.9951,6.9422,3.958,0.3008,0.3706,0.0
BRN_J62_63,0.0511,0.0001,0.945,0.4038,0.0539,0.0273,0.0316,0.0014,0.0012,0.2757,0.0025,0.0,0.0078,0.0003,0.0001,0.0141,0.0003,0.0016,0.0094,0,0.0176,0.0067,0.0545,0.015,0.4199,0.5452,0.0256,0.0052,0.0498,0.1899,0.0003,0.0633,0.0071,0.0504,0.0392,0.0288,0.0096,0.0898,0.4947,0.4819,0.2998,0.3859,0.0034,0.0051,0.0
BRN_K,0.9594,0.0012,37.4798,11.9845,2.0835,0.6837,1.0993,0.0191,0.0234,135.9179,0.2122,0.0022,0.0916,0.005,0.0,0.28,0.0028,0.0583,0.2417,0,0.2357,0.186,0.7885,2.2513,10.94,36.3625,2.142,0.8822,98.3883,0.0159,0.0056,3.3563,0.2379,1.8151,1.3312,8.62,9.7109,3.9915,3.8109,0.8634,0.5426,0.5603,0.1496,0.2093,0.0
BRN_L,0.0189,0.0004,11.3763,2.5576,0.962,0.1245,0.2793,0.006,0.0054,0.9289,0.0279,0.0004,0.0189,0.0003,0.0,0.0019,0.0005,0.0122,0.0657,0,0.0619,0.037,0.0172,0.2695,5.2471,2.8796,0.1094,0.0297,0.9113,0.001,0.0049,0.1034,0.1789,0.4655,0.6141,1.9817,0.3718,1.4139,0.7454,3.1352,0.5518,0.687,0.0817,0.1106,0.0
BRN_M,0.1483,0.0001,83.2465,18.2017,7.464,0.1566,0.7484,0.0156,0.0454,4.626,0.027,0.0005,0.0512,0.0008,0.0,0.0064,0.0002,0.012,0.0706,0,0.0688,0.0393,1.3505,0.5898,29.6044,14.0927,0.2577,0.1732,0.4528,0.015,0.1681,0.3622,0.2098,4.4449,3.6764,5.1991,0.1158,27.926,5.3164,20.8279,4.2896,12.274,0.1145,0.1343,0.0
BRN_N,0.8251,0.0058,27.7135,11.9281,2.5932,0.4653,0.6348,0.0378,0.0805,5.2431,0.0252,0.0004,0.1295,0.0017,0.0,0.2347,0.2195,0.0006,0.1577,0,0.3197,0.1206,0.0705,0.4834,34.7746,10.284,0.1879,0.0993,0.934,0.0057,0.0062,1.1579,0.1712,1.7805,1.6171,3.1715,2.4133,4.1435,14.2868,8.2922,29.6811,18.4843,0.147,0.1061,0.0
BRN_O,0.331,0.0195,13.1666,5.4549,0.934,0.3962,0.3961,0.0127,0.0174,37.7125,0.1358,0.0022,0.068,0.001,0.0,0.0455,0.0,0.0162,0.0911,0,0.1604,0.0699,0.0,0.4204,3.184,4.7305,1.8336,0.2565,1.4013,1.4883,0.0222,0.8439,0.1013,2.2732,0.4588,0.9388,0.4085,1.7669,17.9512,91.4674,2.0848,0.8231,0.0586,0.0506,0.0
BRN_P,0.1247,0.0001,11.9325,4.2765,0.8541,0.1803,0.0865,0.0057,0.0,23.3212,0.0606,0.0014,0.0326,0.0005,0.0,0.0534,0.07,0.0,0.048,0,0.0974,0.0382,0.0025,0.3595,3.3256,2.3404,0.0846,0.0629,0.3102,0.0119,0.0001,0.1161,0.0787,0.5454,0.7525,1.2085,0.153,1.6301,0.7777,45.9812,21.9197,3.9546,0.051,0.0648,0.0
BRN_Q,0.2453,0.0008,10.8314,3.4369,1.7873,0.1011,0.1413,0.007,0.013,23.6223,0.0669,0.0014,0.0439,0.0006,0.0,0.0116,0.0,0.0105,0.0592,0,0.05,0.0324,0.0032,0.3357,3.0533,2.1872,0.0808,0.06,0.3218,0.0009,0.0,0.3287,0.0645,0.5378,0.2626,0.4467,0.142,1.0301,0.7474,24.8387,1.5501,5.8464,0.1016,0.1251,0.0
BRN_R,0.0316,0.0,0.4448,0.0959,0.0302,0.0141,0.0494,0.0,0.0004,1.108,0.0041,0.0001,0.0028,0.0,0.0,0.0055,0.0,0.0118,0.0075,0,0.0053,0.0041,0.0,0.0215,1.2126,0.0111,0.0029,0.0869,0.5765,0.0,0.0,0.0015,0.0359,0.0001,0.0192,0.1001,0.0087,0.0701,0.022,2.8375,0.0445,0.0616,0.0777,0.0099,0.0
BRN_S,0.0532,0.0,0.3849,0.1703,0.0453,0.0299,0.0782,0.0017,0.0006,1.5296,0.0061,0.0001,0.0045,0.0001,0.0,0.0115,0.0,0.0071,0.0111,0,0.0105,0.0091,0.0,0.053,1.7572,0.0479,0.0085,0.0695,1.2527,0.0,0.0,0.0104,0.0463,0.0057,0.022,0.1863,0.3131,0.1023,0.0329,1.4697,0.7154,0.1623,0.03,0.0817,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
