V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_C31T33,0.1861,0.0416,0,0,0.0231,8.1824,1.8743,0.5627,0.7313,0.073,0.4877,0.1792,0,0.2835,0.2544,0.3537,1.5979,0.4299,1.4808,0.6688,0.4323,0.0995,6.2441,6.9982,14.5245,80.274,16.6121,40.6222,56.3175,0.2737,3.3897,6.0074,1.2154,17.7741,0.6839,30.2837,18.1067,2.1541,12.9079,11.7919,4.3334,7.9162,4.669,5.9042,0.0
HKG_D,1.0054,0.2239,0,0,1.0974,73.6764,14.5153,6.197,7.0285,1.2303,2.0161,0.444,0,0.7844,0.6543,0.4204,1.64,0.5082,2.6262,0.3858,0.197,0.1642,175.8405,85.4203,38.05,447.7998,88.5448,34.8689,46.8824,3.5229,16.5973,306.4407,28.7013,93.7887,5.1964,337.5913,829.6636,21.1925,40.7476,136.791,117.1214,120.9356,96.4819,132.3184,0.0
HKG_E,0.5192,0.0795,0,0,0.0743,43.6856,14.8141,3.6621,5.3715,0.2781,1.6369,0.4592,0,0.8261,0.6556,0.4335,2.016,0.5859,1.5709,0.707,0.3351,0.1075,37.4719,281.3948,45.9384,906.6592,45.7782,41.2132,36.8693,1.2715,38.4242,106.7651,13.6897,85.5641,6.2897,277.843,825.5384,23.9812,80.0517,94.7143,61.527,55.6358,53.4656,102.3705,0.0
HKG_F,0.8064,0.124,0,0,0.3703,17.1029,4.6687,0.8866,0.976,0.5532,1.0455,0.4775,0,5.5529,0.7017,0.8399,5.4543,1.6899,2.8839,1.8576,0.7602,0.2559,6.7968,10.8944,5602.2281,149.6965,29.72,27.9669,70.1161,0.6673,7.0027,18.3196,3.2347,25.8172,1.4826,53.4013,305.5838,6.0477,13.3841,415.309,31.6329,25.5818,10.4387,18.5999,0.0
HKG_G,150.7485,16.3121,0,0,495.5227,6720.6995,2913.444,272.2224,392.3112,175.3756,673.3188,314.1243,0,390.6104,229.9699,264.8706,2073.2489,461.3039,1099.17,724.0612,387.9302,222.3243,1623.5157,1080.1414,3888.4944,31221.5709,2215.601,3415.248,4683.5347,51.4994,507.7306,3483.5515,484.7226,1761.755,161.5763,4639.5901,2089.8643,506.0375,1437.6828,1095.4339,1342.4424,2370.488,1100.4,1564.0546,0.0
HKG_H49,0.9348,0.1605,0,0,1.5136,56.43,28.7988,3.8514,4.0023,1.518,3.3811,0.9437,0,3.7373,1.8596,2.2507,11.758,3.403,6.8218,4.8834,1.3551,0.904,6.21,22.6946,51.617,750.3811,678.497,272.46,31.8602,3.5869,46.4891,40.9052,7.5132,46.648,9.2066,390.2929,76.3902,28.706,81.0484,23.7309,24.5595,27.3316,18.0121,71.0159,0.0
HKG_H50,0.7383,0.1717,0,0,0.5505,60.9743,32.5258,4.2835,5.2142,2.2716,4.6815,1.2988,0,2.3716,4.4842,7.2707,34.7742,13.4696,14.4216,6.3094,2.324,0.8396,6.1919,17.4316,45.2686,2119.4251,47.7044,1785.6181,852.5477,10.43,351.5577,26.5974,6.2847,374.4021,7.5771,349.4776,48.7261,27.7269,93.6603,25.4011,23.2429,23.1217,19.4719,73.7305,0.0
HKG_H51,1.4119,0.298,0,0,0.6798,53.5372,23.7592,1.9955,3.5936,3.6117,7.6518,2.1021,0,6.8097,5.6942,8.2654,41.527,14.477,18.9536,11.1431,3.5094,1.2024,7.7185,12.2375,21.1644,820.536,27.9366,313.5983,165.7695,3.6189,68.2689,20.6987,4.8823,86.5207,3.5177,111.2721,33.2858,11.4482,32.6008,17.0927,16.0203,15.4222,11.2483,27.7958,0.0
HKG_H52,0.0322,0.0047,0,0,0.2576,2.2548,0.9438,0.1867,0.1698,0.0319,0.0746,0.0246,0,0.0792,0.0374,0.0442,0.2276,0.0621,0.1739,0.1176,0.0371,0.0986,0.1914,0.7504,2.0633,75.3902,2.4148,71.3792,34.4672,0.4778,14.7692,1.167,0.2605,14.0685,0.3765,14.5857,2.2419,0.9457,3.996,0.9678,0.8652,0.9454,0.5132,2.2624,0.0
HKG_H53,0.1283,0.0254,0,0,0.0144,21.9724,15.4338,1.9627,2.1483,0.0445,0.2998,0.1498,0,0.1286,0.0479,0.0745,0.7847,0.1617,0.5086,0.1606,0.0662,0.0183,4.083,13.7106,10.9341,770.1438,19.6522,244.4608,29.9559,0.548,437.2997,17.3103,9.5694,337.0751,7.6257,456.0903,117.6898,22.8888,55.3388,43.0444,22.1938,17.7007,21.0071,58.1584,0.0
HKG_I,0.0437,0.0092,0,0,0.0297,4.7603,1.6174,0.2924,0.2975,0.0505,0.2312,0.0874,0,0.1345,0.0441,0.0507,0.5122,0.0951,0.1751,0.0999,0.0507,0.0236,1.2064,2.4376,4.3582,77.299,4.8282,12.5995,4.2287,0.1296,3.6194,21.0748,2.3704,10.7546,1.0039,41.9119,26.3058,2.7017,6.4698,4.8302,10.977,5.461,6.0872,10.1432,0.0
HKG_J58T60,0.1168,0.0236,0,0,0.0016,8.6413,3.0113,0.2392,0.5574,0.0297,0.1471,0.0827,0,0.1032,0.0209,0.0315,0.7331,0.1328,0.2508,0.0796,0.0433,0.021,0.9783,1.3542,6.2995,108.7513,4.6269,8.0899,6.8783,0.1102,2.7728,3.8978,22.2146,21.8602,1.2153,44.1328,26.7167,7.0605,5.6358,4.2427,5.2707,9.7879,9.8197,6.9499,0.0
HKG_J61,0.5164,0.1014,0,0,0.0157,75.1277,54.7993,7.5879,6.2388,0.1325,0.892,0.4425,0,0.4024,0.1465,0.2317,5.6873,0.6977,1.9038,0.4881,0.2609,0.0492,12.5072,42.7776,58.7561,2135.7489,78.6209,1072.4651,149.8213,1.84,60.6164,90.507,65.1282,1496.2802,43.4797,1431.9895,457.8958,90.4934,174.6239,126.6079,84.5499,85.0819,84.2996,191.7029,0.0
HKG_J62_63,0.2336,0.0454,0,0,0.0383,41.2977,19.5965,3.8647,3.693,0.1231,0.5999,0.3079,0,0.2573,0.1338,0.1747,2.9918,0.5092,1.0566,0.5385,0.2859,0.0547,6.3225,11.989,21.1825,1024.5133,39.8542,36.5733,53.1366,0.9193,40.65,31.7051,17.0713,247.5732,34.9883,705.3688,96.1125,20.789,38.8317,97.197,50.3896,30.5212,24.0703,48.1297,0.0
HKG_K,0.5476,0.0758,0,0,0.2412,264.5319,67.5514,16.9958,21.2715,0.7876,2.4633,0.9409,0,1.1159,1.2082,1.87,9.7399,3.1629,4.6288,1.7215,0.6788,0.2581,92.0469,138.7305,101.7206,5473.4327,230.9873,346.8293,123.2941,5.9284,98.7386,211.3743,62.1626,403.2548,51.8059,11008.5179,4756.7046,163.0254,435.2728,114.8514,248.8345,133.705,164.9455,514.9486,0.0
HKG_L,0.5376,0.0807,0,0,0.0616,104.5515,45.612,6.3737,7.4068,0.2214,0.729,0.449,0,0.6217,0.1982,0.3475,3.8081,0.8758,2.306,0.5766,0.2766,0.1231,41.9652,188.9657,125.1203,5605.3838,155.7669,95.3221,109.4002,15.3404,60.6945,1000.9849,144.4358,283.646,47.6747,2003.9473,2200.1505,175.6698,358.3318,64.2248,229.3342,261.8899,415.513,1171.8511,0.0
HKG_M,1.6153,0.3087,0,0,0.3975,159.0199,66.8807,22.116,18.8225,0.429,2.5011,1.9918,0,0.751,0.3174,0.4912,7.0046,1.5259,4.1132,1.6902,0.773,0.2088,27.3295,78.7319,162.0998,5197.2486,152.3957,135.2223,177.6962,3.6685,97.8524,141.5514,61.8984,526.9595,51.3361,1719.3962,1236.8683,305.0501,339.443,332.6043,170.1255,176.5837,131.7954,250.3722,0.0
HKG_N,0.7686,0.1306,0,0,0.4967,67.1236,28.5792,10.5913,8.7022,0.1831,0.9692,0.5073,0,0.3946,0.1661,0.2559,2.5394,0.6057,1.6265,0.7105,0.3144,0.2603,10.5642,43.7629,52.997,2468.7404,132.7564,211.1481,194.3411,2.6343,114.5025,92.6757,30.6548,367.506,27.0466,776.5988,648.3988,84.5641,349.2853,127.1558,105.5986,116.6732,80.354,117.0683,0.0
HKG_O,0.3427,0.0618,0,0,0.2266,13.6161,3.5972,1.494,1.3095,0.0888,0.19,0.1165,0,0.1472,0.1858,0.1444,1.2591,0.382,0.9975,0.3308,0.177,0.1422,5.104,19.4151,54.4541,389.1491,20.9214,32.7386,98.2157,1.5904,14.1032,35.5086,7.9258,41.0787,4.1929,184.9964,99.7274,16.1773,33.6586,216.1766,30.6491,20.3427,23.1326,49.5664,0.0
HKG_P,0.1924,0.0398,0,0,0.0202,26.3188,9.0764,2.5977,2.8229,0.0593,0.2466,0.2114,0,0.1588,0.0795,0.1107,0.7064,0.1516,0.5659,0.2539,0.1216,0.0234,5.6332,14.6304,24.9189,677.5212,31.2229,34.3734,34.1271,0.788,21.9325,29.1405,7.8958,88.7332,12.823,317.0956,156.1218,34.5452,57.3695,110.4936,300.9868,43.3034,23.8473,62.1398,0.0
HKG_Q,0.0238,0.005,0,0,0.0073,5.5428,10.9919,0.4287,0.4616,0.0551,0.1554,0.1373,0,0.0709,0.0319,0.0406,0.3818,0.0682,0.1589,0.0703,0.038,0.0114,1.7178,3.7554,5.9279,151.0985,8.589,25.0003,5.4817,0.3201,6.2516,10.9823,1.7375,14.8455,1.3825,91.6935,52.1113,5.852,16.6296,7.3006,25.0721,121.0178,10.2734,18.6479,0.0
HKG_R,0.148,0.0392,0,0,0.0178,11.8518,3.8088,0.5091,1.2085,0.0364,0.1613,0.0769,0,0.0651,0.0328,0.0444,0.4477,0.0884,0.2189,0.1117,0.0579,0.0143,2.8385,8.3514,8.0818,279.8869,10.4968,23.3748,16.7593,0.4002,16.1729,14.4067,37.9833,47.7342,3.6474,158.0677,117.7559,19.1001,34.0912,19.6274,27.7101,14.4391,382.6238,70.1168,0.0
HKG_S,1.3559,0.3635,0,0,0.1656,159.9253,76.1806,7.63,8.3362,1.2971,6.2625,2.9579,0,2.1245,1.4242,2.055,20.0616,4.1879,9.7563,9.4789,4.2349,0.3534,31.8311,55.2945,70.7156,1335.8203,71.3414,79.5234,113.0713,1.2423,48.6606,134.2409,34.6656,135.9132,13.2215,526.3359,433.9241,51.2625,106.7668,60.7052,58.3812,89.7937,96.0718,327.4006,0.0
HKG_T,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
