V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_J62_63,18.0394,0.4086,0.7626,2.5524,0.1112,81.1974,6.4289,19.4808,107.2581,22.0733,27.466,10.3577,11.9498,17.4399,34.6834,22.8695,344.2175,24.4989,156.4932,5.4945,8.0939,29.8538,73.3877,11.4643,70.155,443.404,31.2334,11.6744,47.1774,50.4186,28.1884,62.2274,164.5969,86.8373,571.5808,357.8799,50.9755,203.5383,83.4289,518.1948,114.2838,132.9105,75.2668,55.5376,0.0
FIN_K,121.1569,1.3812,7.7637,24.2712,0.6932,78.2568,12.6733,51.1086,115.2005,46.2103,68.2659,8.886,46.6716,36.6706,86.6186,92.5017,133.7733,68.2882,310.1927,23.8401,12.8381,97.3217,246.2803,29.7323,131.2164,553.7228,92.8671,59.3732,69.0502,36.2477,12.2984,83.5681,69.6214,68.6422,71.9054,2486.3418,1852.7351,244.611,118.3836,308.6215,136.3357,288.5524,89.638,103.6296,0.0
FIN_L,11.9858,0.7087,1.34,7.2675,0.3636,86.8022,9.3879,16.3504,54.3365,4.7616,18.2248,2.6124,24.453,27.0276,14.2396,96.0237,67.2269,25.8146,94.7822,12.102,14.8102,79.9811,53.0342,47.1063,128.6205,2140.7366,121.1607,40.5616,133.4517,222.1326,48.5615,485.07,112.8931,67.9797,108.9069,211.2774,306.7904,436.0585,167.1664,808.9463,380.4668,744.2361,261.9919,186.5856,0.0
FIN_M,53.2481,1.2371,12.0092,37.4684,2.3788,182.5452,14.51,63.231,153.5233,19.3674,78.071,67.3993,43.7592,49.0138,60.6139,137.0351,927.72,69.4489,476.9018,26.3557,142.9506,109.3422,228.5419,59.3324,1555.0191,1565.0216,169.0675,127.5016,114.1786,119.782,52.484,166.4068,399.6851,178.4845,517.5787,248.5472,213.943,1437.6448,358.3519,942.146,72.7082,135.4499,97.8473,130.2247,0.0
FIN_N,116.3487,1.0513,2.0649,9.9382,0.404,115.0333,13.6398,38.3615,70.7172,54.2407,57.032,25.4345,41.7938,60.3311,39.4603,147.3137,149.6729,77.5674,221.5477,34.9127,19.112,85.6161,143.8763,39.3287,519.9353,1036.7352,133.5424,126.8402,102.1283,351.3067,40.4865,331.1839,126.4235,80.2155,170.675,213.847,952.646,402.5281,706.4414,630.8558,297.7592,772.7885,170.0676,133.9853,0.0
FIN_O,40.6364,1.247,9.9564,24.6409,0.9724,108.6773,15.6392,61.8697,147.2668,22.9523,62.5491,13.7312,49.3528,43.2059,83.0176,121.8244,151.8921,66.8759,397.9173,22.1647,30.4602,94.2702,93.5534,27.9074,334.7697,516.6246,132.4706,50.1493,57.3771,85.5674,12.5287,65.8904,98.958,70.1166,123.8231,182.9381,207.9263,356.0575,127.9363,263.2561,113.7237,529.463,95.6708,157.1951,0.0
FIN_P,1.8796,0.0605,0.7814,1.8157,0.0773,10.4163,0.4189,1.8517,4.2972,2.8103,13.5762,26.4194,3.3268,10.6747,80.2546,9.1629,346.9981,29.1562,70.7246,5.6029,2.1161,5.367,25.9348,6.3564,5.8731,50.978,4.7927,4.6282,1.4934,8.4163,1.7058,8.0711,17.6016,5.8781,34.6994,24.2363,11.6169,108.3576,7.248,218.1253,505.1768,176.5364,61.3766,109.2921,0.0
FIN_Q,12.7353,0.015,0.0359,0.1863,0.0102,1.8863,0.1884,0.4401,1.4614,0.1521,0.5549,0.1597,0.5418,0.5579,0.4569,1.9061,4.7902,0.6484,2.7236,0.2683,0.4157,1.6022,1.4536,1.482,4.3572,60.0876,22.2013,5.9161,5.5739,7.8766,3.5057,8.6482,25.3108,5.9925,24.6026,23.0128,6.0554,20.3599,6.425,102.7868,77.4257,1578.43,11.4384,4.5085,0.0
FIN_R,8.3151,0.2501,1.3345,2.8656,0.032,23.9467,0.8469,1.6615,6.6617,1.4888,2.2304,1.8763,2.3997,2.4259,1.8165,3.542,8.1205,2.3671,8.7681,0.203,0.6057,3.7816,9.1895,6.5727,15.9902,46.4497,11.6245,18.9156,5.8165,2.2958,4.6208,18.0748,13.8712,5.3245,8.1037,21.91,10.5191,21.8251,8.5563,43.4284,154.4092,34.6967,70.145,11.5145,0.0
FIN_S,10.7987,2.7401,0.4626,1.906,0.0227,25.385,3.0384,9.1764,17.0906,10.9459,10.3085,3.3014,6.0357,8.4736,9.1223,16.3635,30.8372,14.5142,27.4438,2.5466,3.8225,10.5095,14.9887,5.7855,27.3917,132.0906,85.8381,5.9353,9.6272,9.2998,3.9163,113.5545,29.7275,10.2935,34.0139,90.9402,28.613,118.5705,40.7798,118.6788,73.7178,220.021,40.3033,57.0494,0.0
FIN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
