V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_D,1149.8629,4.8805,167.6314,5.4699,5.0241,2332.9376,962.7849,327.1141,1342.499,492.7523,1446.0778,322.725,1169.9313,1412.0411,2570.3782,898.1623,360.9105,274.2393,1570.7636,562.3829,97.1656,1137.6922,26219.7909,1342.7546,874.1665,4545.4562,1662.1753,76.991,103.0632,625.3467,519.9256,2145.6681,232.1852,364.7372,150.882,618.6417,242.1203,1449.1075,1151.3154,4727.2256,769.7868,1832.2107,337.2504,2713.3538,0.0
ITA_E,441.7909,0.1271,157.0076,5.452,1.045,469.6981,376.1169,298.3246,735.5694,83.4726,290.9421,90.0492,1288.5329,394.2691,6241.7348,235.5143,31.3433,60.8482,163.6806,83.5825,87.08,140.1716,1693.3564,8022.5111,940.09,911.1121,569.2516,131.6452,32.9192,248.2746,81.4354,434.4172,41.2399,70.6372,113.7542,222.3802,194.4864,282.3224,635.0723,547.7363,164.4428,603.4095,236.5404,1114.6879,0.0
ITA_F,640.9278,3.1945,100.744,1.3198,4.9961,737.8461,556.5697,108.7274,229.6298,118.6864,264.4814,309.3386,272.4889,317.4764,334.0749,612.8683,128.3794,231.5747,794.4268,754.1157,474.1933,444.8314,433.3215,1284.859,46192.9135,2534.7719,1151.7124,60.1236,51.3108,711.7747,67.3507,701.243,296.7607,374.1924,582.6075,704.1808,4243.9152,2379.2024,990.1695,4055.7467,518.4177,2163.5563,282.4999,235.7286,0.0
ITA_G,4081.0536,105.3878,323.8545,11.8948,9.6509,22378.4079,10910.6137,1134.1325,2638.5132,3074.4798,4757.293,2701.82,3019.1821,2100.4373,2052.3589,3990.5456,1706.1731,2359.5031,6842.1417,4058.391,1603.8396,5654.9865,2885.6459,924.4713,6143.0485,18006.9461,3603.6019,1370.1887,1244.9535,3597.9474,180.098,7410.4321,1725.5338,2325.3487,1745.4527,3213.3696,1278.6244,5831.8495,5526.9036,1315.3734,445.7895,4465.0979,1417.0947,938.6149,0.0
ITA_H49,1057.2213,26.8815,425.8208,12.8761,5.3382,6497.466,1863.5075,478.0925,1044.742,1923.2466,1314.0659,404.6808,1030.6148,1221.0228,1278.3739,1534.8196,331.5111,829.2815,2039.6151,1372.417,524.7622,1293.5337,2813.3882,407.2276,1740.2838,7487.0199,5717.4925,430.3142,218.1585,5295.125,449.5976,1268.9148,285.8167,286.7979,212.0283,379.2106,173.4346,917.2656,1350.4414,691.8044,159.835,679.3124,245.7374,234.2515,0.0
ITA_H50,55.1165,2.8631,24.0182,0.9139,0.5206,313.6795,141.9206,23.2989,59.4998,246.683,124.1042,36.237,80.0603,57.2921,115.2977,108.9477,32.7929,66.873,149.1771,92.3631,43.8325,89.654,181.6014,21.512,172.4543,863.0867,770.6516,50.959,114.9106,735.4293,38.8387,96.9932,25.219,48.4312,49.349,30.1638,25.1942,70.5189,169.584,55.462,7.4301,55.2805,16.6472,22.8183,0.0
ITA_H51,38.0555,1.5225,41.4594,0.7972,0.5342,220.2186,126.1118,16.7545,52.2561,240.9901,110.3814,37.4424,71.7649,46.1141,109.8757,97.1417,33.0541,64.2352,139.9461,80.0834,41.2389,84.0683,206.4921,33.418,215.5072,729.0091,655.1328,60.5382,139.0977,682.4518,87.5441,91.222,79.138,75.2812,59.9483,105.3494,28.067,101.9239,215.5041,108.3798,17.675,84.9876,28.9832,39.8357,0.0
ITA_H52,164.3066,3.9588,257.844,3.5508,3.0914,1659.8334,933.325,101.6642,327.3414,615.6373,564.7207,119.6525,497.6656,358.6308,477.8794,572.2001,92.0347,289.2778,749.475,325.8508,282.5371,465.106,899.9799,138.6409,1861.1442,10408.4218,9335.5949,727.2022,1970.4972,11009.0057,95.6617,479.8591,135.9856,626.3147,401.6656,168.9136,203.9599,444.2216,2365.6467,199.8181,43.2221,142.5611,92.889,164.8183,0.0
ITA_H53,16.4858,0.3027,24.6798,0.3366,0.3245,127.5372,39.4945,8.2901,27.3573,50.9063,23.3197,7.1062,26.5322,29.2925,35.7699,41.5621,9.3217,19.4971,45.6453,18.832,18.4226,34.8496,660.7939,261.4706,438.1606,457.3608,123.9494,8.0728,16.1924,134.987,45.2589,213.4417,24.0234,233.4584,61.2849,649.1561,65.0712,162.0658,422.6511,429.722,149.6688,232.1013,207.8448,99.4918,0.0
ITA_I,37.5643,2.7943,204.9661,1.6309,1.3297,243.2507,254.4598,69.1811,69.865,122.6394,235.2282,32.9049,278.2547,211.6703,251.9649,524.4444,168.4723,334.3603,639.3391,206.9097,139.991,324.9924,2291.9958,75.3988,2496.5991,2589.5804,321.4924,32.8968,176.1454,203.277,8.4415,660.4553,101.5543,481.2916,431.0373,234.531,317.2434,814.4782,2480.9914,396.6972,341.1712,1448.4465,159.1943,253.1363,0.0
ITA_J58T60,10.9262,0.1911,39.4622,0.6825,0.2916,474.2491,187.4578,23.628,224.9947,40.8581,79.0776,55.2866,122.0899,72.6154,69.825,137.8831,39.0863,104.3328,113.0027,44.49,73.8862,160.3146,225.6668,87.9244,440.2338,1268.6646,77.8287,16.4411,70.0573,78.4226,12.0287,203.8254,2224.4505,1405.6719,264.7822,148.913,135.7797,2732.4187,786.7248,188.686,61.9181,115.4668,384.0875,82.309,0.0
ITA_J61,34.2284,11.9965,167.3645,1.5496,1.0216,147.0783,139.12,27.741,57.2711,146.1614,103.2306,33.8833,112.2309,115.9753,157.7945,233.505,252.8264,137.7495,189.8129,112.7843,203.0493,179.8903,2727.0665,601.1715,856.5334,1828.3849,275.2865,17.0453,152.4951,268.0123,28.6848,565.786,153.1703,4544.2067,726.5498,877.4637,210.9256,772.8221,1607.3732,1330.6608,376.0608,735.7784,480.8523,299.6892,0.0
ITA_J62_63,91.7631,4.3308,200.0701,1.6475,1.1701,585.9866,737.6008,64.7414,254.2376,44.0977,265.0658,276.6828,253.4807,201.7412,110.3194,392.3172,226.7912,349.4033,731.3289,555.1432,202.5995,494.7744,604.5137,313.1191,1119.3158,4052.1105,394.3056,40.0861,57.4621,468.7274,100.9681,965.1904,1153.9607,645.8856,5762.1401,3557.3924,510.4667,2581.079,1542.9498,1774.8141,598.623,1000.2574,607.5233,624.6963,0.0
ITA_K,824.6391,41.3618,195.9342,2.5373,5.5804,2541.6335,2104.4695,409.8315,712.2819,206.1867,806.2566,494.9667,833.8276,935.9575,704.6954,1757.7005,363.7036,761.3952,2318.1276,671.3061,387.6553,1543.9843,968.3209,538.8909,5260.222,19679.5473,1936.9932,561.9226,316.4881,1691.9744,103.2426,2699.1388,658.2323,1124.5971,1185.9671,30674.8529,11220.6431,4719.8451,4225.9905,5821.0282,508.4123,2058.9298,1045.7609,1030.5189,0.0
ITA_L,62.9578,6.0907,72.8656,5.436,1.585,1006.5338,1362.916,182.8206,411.5366,49.1148,326.2518,65.336,385.4784,378.359,197.7105,1344.2626,180.8778,350.6594,1031.0153,303.7897,154.4442,863.3665,956.7811,294.1315,1964.53,17164.6976,1198.1275,19.8312,650.2636,1284.7897,162.6265,5526.0157,665.6826,1600.8337,1532.6182,4167.6108,3096.7322,2747.4758,1907.513,2145.0515,925.0562,2270.5262,1028.897,1278.6797,0.0
ITA_M,723.6466,9.0979,510.9884,8.8805,11.5109,4632.3806,2906.4081,312.9678,1163.2622,351.5883,1106.1333,2118.2014,1045.459,1090.9996,712.0591,2239.4987,834.641,1214.0079,3866.6131,4797.9835,1621.2649,1789.8654,1123.7107,1197.9102,8139.7038,18970.0051,1101.6089,208.9605,208.5344,2197.4007,132.5069,3057.4895,2250.835,1609.3805,5450.0298,5663.3614,4684.0095,21801.8662,8088.1986,5596.2218,3867.357,8487.9068,3111.9222,1696.1015,0.0
ITA_N,160.1557,1.8029,377.9716,9.3739,8.1284,2233.4416,1520.4241,219.1192,725.1926,182.9263,525.9636,276.9922,956.0665,863.0249,1370.2551,2208.8116,355.9464,730.4793,2027.9205,534.273,835.7838,1322.9309,1983.8163,3357.9797,7907.9526,12338.647,1477.0138,591.7493,1789.6457,1715.9639,97.6181,3502.9877,1366.4482,887.1332,2505.5297,2483.9377,2147.4934,4810.268,7885.3775,4256.8336,1680.8402,4496.2833,2883.5562,1214.8729,0.0
ITA_O,11.2887,0.2874,12.7356,0.309,0.5185,318.8065,50.5923,4.1743,49.4519,110.492,37.7417,34.6753,55.8935,76.6781,80.1169,64.258,15.4826,49.0213,39.4582,30.3141,148.5576,40.0759,178.8121,53.4656,103.1521,1704.078,43.6929,8.5571,13.0454,48.0823,15.6841,95.9483,41.385,35.4954,265.6213,143.5932,137.8177,571.3743,185.0759,388.8359,170.2177,212.8773,202.8495,45.6318,0.0
ITA_P,28.899,0.0218,19.0947,0.1536,0.1564,130.0037,46.941,9.7628,22.0543,2.9267,27.6708,93.1648,31.9481,39.4207,18.5985,67.2176,49.6745,35.9357,124.4005,62.3321,34.4334,57.1255,37.8853,62.818,146.461,492.8645,51.5772,534.8933,29.977,151.4632,2.7024,57.1446,24.6365,39.9371,201.761,84.2339,17.6843,404.6386,404.1342,1342.1992,437.7722,622.4061,119.5468,322.8499,0.0
ITA_Q,63.75,0.3085,20.0522,0.1576,0.1797,50.8555,24.77,5.3849,8.7092,7.4573,11.7909,30.9711,14.715,12.7257,21.2638,33.8309,13.8344,14.0751,47.5244,67.876,31.9809,198.1333,55.0448,70.8302,134.9686,127.3846,14.5612,5.4521,8.9977,29.1504,2.0615,54.4516,15.9918,25.5872,34.0897,38.8898,25.9611,220.0887,141.6788,1319.6832,331.0273,18073.2941,58.7401,43.5315,0.0
ITA_R,28.9392,0.2979,87.1837,2.4977,0.7653,1049.1621,364.2521,22.922,188.1959,95.8273,70.0552,74.8045,232.3411,135.8278,48.0708,163.9393,39.2891,206.3208,125.6685,44.6995,63.4176,170.8244,450.5077,77.0514,773.5063,1840.1977,126.7962,80.5671,127.2879,130.7928,15.6095,274.9157,1107.2499,494.0609,238.9719,117.4577,215.6371,640.2086,734.8076,697.0711,43.6927,184.2946,7163.4526,251.6492,0.0
ITA_S,222.6621,3.0956,29.0393,0.5266,0.5785,207.8848,171.5092,15.2467,41.0895,51.747,57.9718,31.2468,65.7853,56.1409,97.3127,134.6384,41.5586,65.8851,130.9425,65.7534,90.9949,145.6209,888.6371,91.079,913.9411,817.0614,62.9762,22.7691,17.5575,88.1102,9.6305,254.0923,49.5275,162.795,224.4539,219.1128,107.7503,458.2808,364.0543,251.3179,107.1054,1832.4378,169.1141,361.8019,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
