V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_H52,14.7575,0.6893,0.095,16.4222,0.008,37.1015,0.9723,85.8258,4.0871,0.8127,10.0339,0.9607,1.1422,20.5011,1.952,7.3862,3.6813,1.5968,1.4383,1.763,2.0581,6.4489,2.7776,2.8007,38.863,376.5627,205.8287,25.39,112.5321,1591.4838,3.3282,1.4454,1.0164,0.4931,3.2749,0.595,0.9198,2.9098,10.5601,15.3934,6.3174,1.5007,3.8296,1.522,0.0
LVA_H53,0.4532,0.054,0.0005,0.0822,0.0008,0.6989,0.4652,0.2509,0.191,0.0104,0.2515,0.2582,0.1111,0.2261,0.0079,0.1731,23.5446,0.1408,0.097,0.0893,0.0231,0.4825,0.7548,0.5613,0.5838,28.3684,1.332,0.0326,0.2089,1.0279,32.7679,0.1968,1.0166,1.874,0.9133,2.9296,0.4962,3.7268,1.2954,3.4279,1.0819,0.812,0.9951,2.3023,0.0
LVA_I,0.4388,0.0058,0.0,0.0089,0.0037,0.5449,0.1203,0.1711,0.104,0.0115,0.1331,0.3262,0.0327,0.0563,0.005,0.1263,0.7004,0.1618,0.061,0.0819,0.0663,0.2352,0.215,0.1802,3.0431,5.0086,1.1636,0.3347,0.6476,0.9227,0.0452,6.9333,0.2119,0.1668,2.6449,0.3997,0.0342,1.7967,40.0445,1.2142,4.0814,4.9927,2.8958,0.4329,0.0
LVA_J58T60,0.6357,0.0084,0.0002,0.0447,0.0004,1.0257,0.0953,0.1401,1.1004,0.0006,0.0476,0.0558,0.0263,0.0319,0.0053,0.0548,0.058,0.295,0.1159,0.0345,0.0099,0.1214,0.1633,0.1753,0.564,7.3979,0.9946,0.0361,1.0194,0.5311,0.3551,0.3365,33.4803,14.7507,1.2181,1.0726,0.5013,2.252,1.14,8.4712,3.2076,1.066,3.5562,1.1199,0.0
LVA_J61,2.3943,0.1288,0.0016,0.2949,0.0024,2.9387,0.422,0.9526,0.6616,0.0101,0.5294,0.3725,0.1594,0.439,0.0808,0.6286,0.3019,0.3507,0.1938,0.0827,0.4663,1.2204,20.6437,0.6233,4.6803,15.1317,6.6038,0.1369,0.3475,4.4753,0.6142,2.8078,1.3572,215.4712,7.0087,14.6775,10.4074,16.2632,10.0498,12.1744,2.9312,6.1181,2.5903,6.2453,0.0
LVA_J62_63,3.485,0.026,0.0006,0.1193,0.0026,3.6529,0.7971,1.7861,0.8727,0.0029,0.6678,3.7589,0.2134,0.9331,0.0955,1.387,1.1174,2.2025,0.6016,1.185,0.2262,1.6358,10.379,1.0117,6.6898,59.3643,31.7092,0.0684,23.6442,12.1482,1.6534,5.0068,4.6579,36.4452,129.5238,68.5601,3.9378,18.6066,10.4799,25.0556,2.5668,9.2169,4.6304,6.2337,0.0
LVA_K,18.1997,0.4136,0.0047,0.9913,0.0111,11.1612,1.2003,9.2631,1.7504,0.0506,6.7031,5.189,1.6931,2.7763,2.7319,1.819,0.9541,1.4453,1.7044,0.4808,1.043,5.0579,25.5184,2.8692,27.6689,102.4435,21.174,1.9775,14.8023,28.5297,1.692,10.1928,2.2129,8.7276,8.1154,417.2829,128.9506,13.7378,13.8606,72.9594,1.6679,5.0912,6.4063,9.0881,0.0
LVA_L,18.8491,0.1226,0.0013,0.4162,0.0055,8.6832,2.1386,0.8187,6.5163,0.0305,4.6214,0.9483,3.7018,2.3318,1.4975,10.0849,3.826,2.4577,2.8372,0.1527,0.5417,7.3849,59.0787,3.7156,35.0571,402.0019,16.594,0.047,3.4552,25.278,3.0564,91.3323,10.8282,10.2442,17.281,27.5024,248.7221,23.5838,28.1982,44.5279,20.331,20.751,38.3624,18.999,0.0
LVA_M,21.9792,0.3501,0.0072,1.2878,0.063,41.2278,3.267,20.8879,2.4596,0.0555,4.6426,17.7111,1.2374,6.9241,1.4342,4.1036,2.0967,13.9489,2.0491,5.6823,0.5543,6.0485,17.8068,10.8347,103.6763,301.9152,34.8383,2.8886,10.6729,38.73,1.4747,25.2744,9.6152,58.1121,24.4472,28.8616,30.7152,293.9446,42.2499,48.2347,12.6838,11.1822,27.1388,16.4042,0.0
LVA_N,9.9366,0.8683,0.0133,3.2102,0.0101,18.0416,1.1286,4.9265,2.5443,0.028,1.0319,4.7794,1.8477,3.9207,0.7749,5.1277,2.9044,4.8054,1.6554,0.9041,5.6297,12.7209,21.3818,13.7542,59.0518,128.8262,75.6645,3.1666,66.4726,31.9248,2.2203,20.122,3.8692,19.2905,10.9562,7.2785,55.5199,25.8614,204.0455,38.9265,12.1193,29.4251,48.7501,6.6994,0.0
LVA_O,0.8976,0.0608,0.0003,0.0714,0.0003,0.9204,0.1717,0.7359,0.5925,0.0005,0.132,0.15,0.1583,0.4695,0.3219,0.9398,0.1321,0.4087,0.1436,0.1209,0.1463,0.3126,3.714,0.4715,6.1086,3.6945,3.1239,0.0773,0.2115,2.1031,0.1138,0.3356,0.2088,2.3444,0.5442,9.669,1.5074,6.0302,2.1858,117.3427,12.1706,14.0782,1.8794,12.5315,0.0
LVA_P,0.96,0.0132,0.0002,0.0285,0.0003,0.7162,0.0415,0.2346,0.186,0.0053,0.2347,0.2657,0.078,0.9236,0.0116,0.2972,0.2434,0.301,0.1676,0.2044,0.0947,0.3764,1.0454,0.1417,2.2647,6.4337,0.8487,0.0248,0.9857,1.8662,0.0533,0.9897,0.3616,0.6728,1.4539,1.5438,0.3508,6.0627,1.0043,2.999,22.6725,2.9688,0.8623,0.189,0.0
LVA_Q,0.2591,0.0272,0.0001,0.013,0.0003,0.2084,0.0518,0.0837,0.0281,0.0003,0.1725,0.0598,0.0187,0.0827,0.0027,0.036,0.1941,0.0319,0.0387,0.0292,0.0132,0.1951,0.5033,0.1108,0.3112,0.4005,0.6697,0.0058,0.083,0.6269,0.0692,0.0882,0.0251,0.0533,0.2954,0.0925,0.1307,0.3607,0.3575,0.6128,0.2624,21.6945,0.3036,0.081,0.0
LVA_R,0.7951,0.0041,0.0003,0.0852,0.0004,0.6032,0.0574,0.2871,0.1026,0.0011,0.1609,0.5538,0.0493,0.0724,0.056,0.175,0.0904,0.1263,0.0156,0.0324,0.0148,0.2794,0.1769,0.1215,0.817,4.507,1.831,0.0961,1.0768,0.5006,0.1388,1.4171,1.0133,0.4467,0.7365,0.7769,0.6918,4.1437,1.2995,0.3368,0.429,0.5027,18.5883,0.6438,0.0
LVA_S,0.7958,0.1893,0.0001,0.0692,0.0005,0.5718,0.1135,0.2868,0.3352,0.0006,0.3807,0.1737,0.044,1.25,0.0122,0.1205,0.0462,0.0624,0.0248,0.0636,0.1231,0.2064,0.5093,0.1056,0.7514,5.8315,0.2378,0.0716,0.1512,0.902,0.0587,1.6481,0.5504,0.1029,0.2956,4.2577,2.0289,1.2071,2.2546,0.8932,0.9986,0.5057,0.9855,2.7246,0.0
LVA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
