V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_C20,1548.4364,13.7713,4.5136,40.3838,5.7414,203.108,688.2398,72.3302,246.3951,249.3282,3228.1609,219.4239,2111.5653,396.7259,56.7259,122.1806,283.2995,156.8801,85.2529,329.4739,85.0056,206.5959,14.3795,41.5495,190.8007,207.6736,6.0517,1.9739,9.1688,0.6417,0.3015,90.4764,64.9237,0.4751,5.3315,27.7605,0.9443,10.8739,16.4475,13.1848,58.745,160.9136,0.7453,387.3096,0.0
THA_C21,149.3549,2.4816,0.0,0.0112,0.0671,67.0811,0.3123,0.0,0.5426,0.0,22.7507,229.2218,0.0,0.5318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0234,0.0,3.135,0.0,0.263,1.7065,0.0163,0.7677,0.0,1.5559,0.0,0.0,0.0,1.0702,0.0,0.0,0.3411,0.9353,9.5992,1261.373,0.5889,5.4236,0.0
THA_C22,243.6123,59.5994,5.8506,16.1108,4.3875,589.5659,567.6271,15.6427,79.2854,13.9483,239.2548,71.4419,1606.718,43.7968,18.5828,93.5014,518.9256,264.8069,162.6518,1034.6966,368.8491,257.1091,6.402,11.1032,345.982,1087.7997,284.6168,3.6528,3.3291,3.2271,2.4025,43.3732,22.6064,3.1476,6.2259,16.7267,2.9918,8.2338,23.9544,0.0,9.4899,26.4613,0.6393,34.9106,0.0
THA_C23,26.2007,5.2348,0.0027,0.8113,4.4112,330.2358,1.5532,5.1705,1.1191,0.0013,29.3089,68.915,1.139,1861.4582,10.9272,57.1301,224.2555,356.6446,97.1019,329.7718,54.687,31.6535,0.0,11.4871,6727.6557,43.3562,0.0548,0.0,0.1493,0.0117,0.0,45.1926,0.1176,0.0,0.0086,2.0399,2.0402,4.248,0.0375,28.812,2.7766,1.6202,0.4753,1.3622,0.0
THA_C24,0.3893,0.0048,0.0005,0.0421,1.2435,7.8961,0.1447,0.1774,3.0621,0.0879,1.0411,0.0001,3.1946,24.4011,1156.959,856.1292,889.9136,894.1044,358.5069,563.3441,130.5635,1687.6061,0.0,0.0661,295.0526,55.0636,0.3134,0.5537,0.0,0.0508,0.0,0.1916,2.2166,0.0,0.3655,0.0,0.0207,0.6613,0.5713,0.0,0.014,1.0939,0.0011,7.3837,0.0
THA_C25,222.1341,0.748,0.2405,37.0498,8.8331,717.8566,90.0918,55.7674,18.6944,1.5177,50.667,22.7022,60.3293,19.6426,8.3234,249.2337,182.1668,217.4241,402.0945,313.5296,96.3904,128.1802,45.6871,1.751,1131.4552,95.6865,16.2591,2.4923,13.661,1.99,0.0308,34.005,14.182,0.0992,7.9216,3.6179,3.5145,11.462,48.7213,56.6771,1.2944,24.4496,0.7797,21.4357,0.0
THA_C26,19.7507,0.3133,37.9068,1.1222,4.2581,35.4221,62.3412,3.4144,15.2527,1.3012,32.6909,14.5608,11.8873,11.2113,3.22,66.3805,28845.4773,233.5361,213.5566,1333.0842,52.357,1002.3164,43.5829,13.5364,215.4693,256.5683,34.6059,6.3536,23.9262,1.6225,13.0399,142.7275,201.7514,186.304,274.1052,251.4538,43.9538,223.1957,113.8157,422.082,918.6024,1029.3836,14.5316,506.916,0.0
THA_C27,5.7545,0.4779,3.3716,1.8546,0.8821,0.4645,0.2454,0.9062,0.0044,0.0,0.0058,0.0042,0.247,1.9916,0.4889,2.432,313.1978,1060.9536,120.9342,690.6796,67.9239,76.393,178.3329,0.8145,708.4618,315.8457,16.5997,2.5065,0.0283,0.225,0.0632,98.0852,11.1824,0.7483,4.6816,18.8891,4.7485,5.4006,5.3444,0.0,3.0127,4.4391,0.4067,27.4002,0.0
THA_C28,119.7267,11.0526,59.4563,38.0278,9.4135,139.0571,86.7798,19.761,30.7083,31.4153,106.3502,6.1471,65.6942,54.4485,23.1131,25.2914,109.7784,19.0172,1507.6492,1076.3751,136.6489,23.3371,76.7311,1.0257,71.0857,130.7109,10.4539,7.1165,6.9282,2.4456,1.5358,8.5639,6.948,2.8304,4.0663,0.0512,0.5113,4.846,14.1269,55.5313,1.2768,14.216,1.3959,5.5419,0.0
THA_C29,0.1462,0.0,0.0,0.0,0.9715,0.0717,0.1097,0.0,0.0074,0.0,0.0205,0.0835,0.0,0.0,0.0008,0.0,8.5101,0.2266,2.5473,6201.5437,86.0914,0.0,0.0,0.1399,0.0,967.5546,134.4338,2.8462,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.756,0.0,8.9149,13.9941,0.0,0.0,0.0591,4.1699,0.0
THA_C30,0.046,92.0967,12.5303,0.0019,0.1815,1.3968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,984.2666,0.0438,0.0,0.0,0.0069,100.0294,24.3429,198.5578,332.9403,0.0147,0.0,0.0,0.0,0.0,1.7363,0.0,0.0,2.5228,2.1174,0.3003,0.038,0.0,0.0676,0.0978,0.0
THA_C31T33,48.2589,13.4752,25.7348,11.0422,47.6034,140.4175,828.5898,12.6501,38.8071,3.0731,86.3964,33.8022,72.9791,37.8454,33.3608,40.6429,521.7969,31.8194,30.8708,157.2103,30.4448,7525.7021,236.3166,55.1793,111.6125,273.326,37.7234,64.4613,206.0942,10.1302,13.4601,127.3432,170.5421,60.4157,78.4044,955.9847,71.1965,136.9931,175.8383,117.3943,767.0375,101.4403,145.3407,145.5358,0.0
THA_D,321.7687,18.1765,93.4395,100.8573,21.4126,2286.5785,2241.5515,282.8207,293.0861,664.7741,2521.464,66.5304,1327.2174,1342.7296,582.7565,332.1546,755.2575,379.2141,459.3168,1013.2237,234.3215,373.1662,9199.9577,341.8765,264.5978,3087.3844,4238.2688,41.7737,239.4293,160.7595,77.417,3549.801,223.4698,370.9004,70.8581,644.1419,723.6726,107.6029,109.5286,0.0,622.9356,607.5438,45.0985,460.08,0.0
THA_E,80.3142,0.0119,0.4743,2.2833,2.1207,121.7507,29.1327,3.6493,18.0305,5.7979,52.9357,3.2817,21.3964,29.3046,3.6181,4.734,19.8239,6.0595,6.7664,6.4723,1.9861,8.5084,26.5887,61.0925,23.8873,184.7786,15.0333,2.1059,19.9871,0.8323,3.0784,145.6016,7.0019,7.8119,8.7327,58.9545,50.3047,13.358,18.2535,129.9184,50.128,26.1682,8.8773,39.8231,0.0
THA_F,70.2096,4.4379,1.9465,5.4055,14.5168,50.4155,24.5725,4.2655,9.443,3.2695,35.9522,2.6487,19.2525,18.4272,5.4586,14.4279,20.3478,8.995,8.216,10.5271,3.4843,12.6021,29.2238,1.1202,24.3264,286.7088,13.225,2.3496,8.634,11.2348,0.0696,132.5753,4.2103,0.2505,8.3889,92.3964,70.2415,10.6716,11.6035,130.2069,64.8086,43.2429,6.1552,82.3525,0.0
THA_G,1843.8841,324.5692,255.7888,185.9924,16.4449,5934.1814,3339.521,149.3148,366.3102,1276.1592,1217.928,213.461,1275.1478,605.2828,353.1614,375.755,6320.26,639.3641,625.7929,1686.2594,377.0691,2534.9607,1036.2031,49.4781,1958.0593,930.5728,3291.2278,265.4758,374.2751,19.1951,19.4573,3068.8066,190.0439,50.2989,143.8485,350.5865,47.8328,200.2956,228.3732,461.4221,570.102,817.8159,60.354,358.8,0.0
THA_H49,301.8076,24.9699,107.7002,101.5967,19.5853,625.7622,282.7124,27.0294,60.4587,285.8681,192.1447,37.404,179.3724,144.3902,76.336,117.6149,454.4289,96.0741,97.0894,235.0781,55.4355,240.5008,213.813,5.566,1555.4669,406.13,350.6534,37.3023,43.6145,29.4367,48.609,214.1768,46.7996,45.3577,37.9981,155.5279,48.8583,66.9503,99.6342,114.4312,133.4314,55.3487,8.2855,58.4875,0.0
THA_H50,26.8501,3.9277,5.1852,14.9834,0.9351,58.3344,38.4543,2.8466,9.9648,165.7563,31.3017,4.2781,26.8081,13.9535,29.0031,29.4908,148.1944,29.645,30.3439,66.4406,14.802,50.5305,74.7262,0.6328,46.7568,55.2159,6.1823,228.4064,4.1434,0.1244,0.1695,20.7629,5.057,0.9903,2.325,5.2169,0.547,4.2283,14.8669,4.8773,9.3466,17.7591,1.1081,8.214,0.0
THA_H51,50.4964,6.6744,11.3313,2.6541,1.0734,112.5701,73.2627,5.5555,19.1694,299.8937,61.039,8.2896,52.0568,26.7558,53.6536,55.5807,275.9473,55.4835,55.9404,123.6858,27.7323,97.6206,139.058,1.2237,86.8519,105.4866,12.7248,11.7171,219.8049,0.9778,7.197,40.7921,10.4439,8.4627,5.4788,15.5332,2.3065,9.72,28.8884,11.3302,15.1936,28.9158,1.1677,12.6867,0.0
