V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_C26,25.1835,3.0135,73.4015,13.5076,43.778,23.0018,2.2998,6.6019,15.1628,5.8572,9.8453,4.7794,8.5046,8.0618,9.7904,13.6379,407.7967,91.8115,86.9319,243.6522,14.4751,21.7043,10.936,18.5218,570.7226,79.7837,23.5308,2.4178,2.0928,11.6743,3.6441,24.0891,78.5711,491.6825,60.5535,66.9397,29.9234,114.8901,54.4436,145.3745,79.0684,314.7704,23.7977,20.1987,0.0
CAN_C27,61.5557,5.5508,49.1819,20.2139,37.2823,36.9427,2.367,24.9898,24.0841,12.1465,13.8813,4.0225,12.0102,14.3217,64.6452,39.008,81.4099,193.6108,69.1643,180.3375,17.1929,18.3764,25.1533,19.1437,1439.7285,72.5911,34.7605,6.1224,2.0637,27.3499,6.2022,26.6581,25.0576,123.5595,50.2416,56.4276,68.2983,99.1201,145.5267,51.6474,63.6259,186.9421,22.3772,49.9355,0.0
CAN_C28,164.1979,18.2396,963.3135,369.3798,269.4964,184.7366,12.0748,68.805,100.0115,47.7953,74.4336,17.806,71.2974,58.6236,103.0239,137.4253,41.0488,30.1813,1375.9255,331.9362,145.0781,116.8395,62.7811,58.7143,2005.4886,199.0072,61.0992,7.0934,7.4334,62.3209,16.4881,112.4366,160.9861,52.0721,61.7332,147.6576,123.9162,196.7712,232.3825,299.3538,89.9042,357.4676,99.4644,77.4085,0.0
CAN_C29,76.2682,6.3199,141.0207,27.3634,11.0489,61.0151,5.169,11.787,33.5424,13.4041,18.3132,4.9593,56.4075,15.0658,33.5609,166.3934,10.205,9.4671,83.805,9847.6694,301.4381,123.1932,17.0348,24.5918,579.3544,416.9637,498.7588,6.6656,17.6031,322.4921,81.9835,54.1075,31.0582,13.1706,55.0793,119.8817,73.5074,159.3279,183.4294,329.6528,58.3285,193.174,62.2005,89.1486,0.0
CAN_C30,53.6402,38.4424,103.7585,37.049,11.9494,139.5611,5.5463,26.2941,50.083,40.5568,52.9933,11.9097,43.0331,37.213,51.1837,25.0305,20.9215,13.7869,79.9708,100.5716,3509.0006,49.0284,28.9898,10.689,129.4204,608.2036,364.6591,66.0576,604.9644,335.5792,57.3618,191.7881,31.6694,19.8842,47.8571,165.6475,80.9673,86.6068,146.0964,275.585,52.7613,131.3037,218.5733,70.929,0.0
CAN_C31T33,217.5842,11.295,50.9022,20.0414,12.2795,368.2847,80.1162,173.8613,316.9533,126.7581,165.6048,44.4728,183.3807,191.3078,208.244,319.1316,59.2309,29.2734,201.7178,205.1495,151.538,726.2975,59.8315,661.592,3263.6623,314.5672,37.1441,1.8276,12.8886,20.249,10.6014,472.1038,137.122,29.0814,54.1223,103.0686,63.8482,465.7182,118.5615,2509.3956,95.45,2040.6373,339.7169,216.7895,0.0
CAN_D,1537.8002,3.86,995.135,614.2323,130.9244,587.4758,42.3096,330.1038,1077.8502,294.8681,725.3492,69.1707,321.0982,351.596,1003.4974,239.2178,64.9012,40.2929,155.3805,274.295,78.1199,165.9818,73.4101,28.4757,389.3364,1648.0378,367.0853,2.1364,24.1057,117.9841,47.2713,509.1829,159.7966,89.9249,105.0047,1003.0681,1070.0141,375.264,260.5759,1573.6993,706.2547,1084.363,260.3927,478.9972,0.0
CAN_E,21.0925,0.6413,239.2413,17.4572,3.3413,146.0818,10.8758,19.518,117.5821,55.3417,239.5781,7.3907,75.7627,39.3105,66.8974,85.2895,10.1486,24.0232,35.4467,71.267,63.6671,83.4354,12.1038,12.6855,207.2172,1635.9304,162.4572,4.3828,54.985,101.4328,26.0913,249.4703,35.9111,19.5149,70.3205,543.2752,854.0155,152.0805,99.2597,2274.5837,306.2615,599.7874,100.8871,293.3099,0.0
CAN_F,870.476,2.3904,1987.3189,503.7916,26.6796,201.5047,15.3995,23.4822,195.714,101.6657,411.7751,67.3331,70.0588,116.414,147.4607,94.0451,34.4808,39.2243,155.7342,87.657,163.1867,90.8173,2104.4686,347.1067,371.148,1874.678,2195.3211,175.851,50.6047,1598.8299,36.4853,598.7028,61.9415,76.1152,186.8214,1388.1254,13825.9156,390.6519,363.9424,4536.5466,1856.161,1441.5661,437.6666,207.9505,0.0
CAN_G,4315.233,207.0048,2108.9739,1027.8017,635.6898,8053.0428,584.1136,854.194,1618.9854,886.3533,2286.072,969.2306,1652.4195,1091.2439,1584.3706,1482.6197,583.2724,423.9268,1627.1178,4957.7406,964.7698,1497.8834,446.92,1285.8951,14006.8277,4097.4995,2504.7183,103.566,559.241,682.9515,456.2011,5773.8997,1138.2261,1011.7763,1222.2273,3154.5748,1485.8058,2821.393,3699.2518,6889.8375,1696.0156,6436.7815,1139.5733,1487.044,0.0
CAN_H49,2477.2751,56.5374,799.3502,312.935,321.0527,2363.5493,97.8688,898.7466,698.1803,1758.7398,696.4738,148.8136,427.3799,542.249,1270.2134,513.4314,114.8936,207.2465,482.2178,1741.5003,173.9446,463.27,297.6695,30.6167,3445.0593,3246.6155,9729.9829,73.1547,201.6895,3127.9393,1062.033,399.5919,138.6159,92.3197,135.9879,481.7723,285.1885,473.0631,393.2886,990.5615,2932.9571,422.1272,134.9835,226.2816,0.0
CAN_H50,42.5761,1.7789,25.6931,1.7614,7.0199,74.2203,6.2601,16.1882,7.2912,54.2939,38.4806,8.1496,27.2618,15.8894,72.5794,26.7342,11.9391,8.8929,28.4743,118.6096,23.33,19.2444,7.8741,1.1273,66.7541,45.5575,37.4362,6.9041,22.8297,4.409,3.2094,25.5268,6.2078,15.0013,3.5458,9.8846,5.0293,7.3777,8.0666,29.5303,6.6843,29.4099,4.1811,5.7625,0.0
CAN_H51,118.8279,7.9882,97.2473,39.1494,26.3273,206.1994,15.6597,47.2297,63.0235,109.645,90.1967,24.7992,66.4797,43.0734,141.9268,72.9037,36.7171,25.9522,85.2949,216.9827,55.2201,92.2283,28.9053,34.3005,432.9745,278.8973,176.369,33.8979,138.9815,51.3755,104.3932,94.6846,67.965,79.6815,110.07,306.9287,190.1551,419.0465,220.3869,344.944,136.4079,220.0525,67.3015,80.3406,0.0
CAN_H52,318.5093,60.9473,477.2995,176.2788,27.1398,1402.9547,42.7462,327.2052,347.8846,445.2283,506.66,86.3804,392.9336,298.0137,375.5043,216.6149,122.7585,111.3581,338.8762,320.7313,232.4713,319.5935,42.2537,72.061,390.466,4231.9051,3484.6005,959.9779,2375.4129,261.0757,200.2349,104.3971,119.7676,28.9331,106.9848,317.7836,184.6699,370.4741,272.9778,1318.2312,140.4195,169.6032,104.0994,100.5998,0.0
CAN_H53,9.4863,0.7641,71.5848,20.1863,9.3358,149.3418,25.8537,28.591,80.0036,7.7137,89.292,13.0787,48.0026,35.6935,19.9356,77.5548,22.6283,19.5802,71.5768,22.1238,8.7196,117.4117,51.9477,28.5064,322.4138,2122.9481,63.8366,8.4766,37.5494,136.6915,148.1968,32.5883,150.647,193.4171,61.2153,1638.1126,622.0679,281.6003,435.1723,375.4399,141.4542,387.385,73.7074,172.4557,0.0
CAN_I,70.6932,9.3897,176.7847,49.8328,49.3137,402.7566,22.827,41.29,56.5666,13.8032,76.7777,63.1565,55.2758,45.2796,22.2384,85.067,56.356,35.5506,118.037,57.2177,70.5912,203.2307,49.5314,69.6661,262.8796,2004.7207,130.2502,1.7725,388.3638,436.5372,48.7049,272.2824,290.8952,101.5136,368.0309,1088.041,725.4345,1311.9741,799.4016,774.5817,545.6095,1140.4047,261.3675,339.2205,0.0
