V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_F,4.6934,2.5286,0.3223,0.9618,0.3861,5.1967,0.0646,0.0196,1.9849,0.0075,0.5677,2.0864,0.6589,10.4655,0.0031,2.2197,22.0095,0.3881,0.411,0.0423,4.9885,7.0684,5.8546,10.4279,235.3457,28.3587,6.8148,0.6622,5.1228,25.4086,1.0479,34.5948,1.2951,1.0456,3.8537,64.7181,58.4622,12.322,14.1819,26.626,20.1563,20.2124,16.0674,4.9024,0.0
MLT_G,9.4785,10.0148,0.4042,0.9601,0.8206,64.085,4.4284,0.3928,20.037,0.116,2.4846,24.1116,12.1008,12.5425,0.0186,9.416,59.0841,2.8071,3.2726,0.4769,11.9214,21.412,43.187,5.0362,65.0402,32.3565,6.8303,4.2755,16.0759,4.684,7.021,99.037,3.2537,5.0934,13.1416,45.2562,7.3401,10.2374,8.3981,4.5445,2.4706,16.5341,14.513,8.8284,0.0
MLT_H49,0.6821,1.3361,0.0351,0.1189,0.1701,5.6066,0.2638,0.0455,2.4892,0.012,0.2902,2.2511,1.3843,2.6585,0.0056,1.417,7.5913,0.2952,0.4429,0.0555,1.437,2.8706,4.9321,0.8123,9.5548,8.6788,11.3631,0.5899,2.0819,0.9233,2.0292,6.7317,0.529,0.4308,1.2971,7.8279,0.6914,0.8886,0.7154,0.3951,0.2561,1.0822,0.8,0.8256,0.0
MLT_H50,0.1585,1.0358,0.042,0.0307,0.0251,1.0627,0.0705,0.0089,0.9377,0.0026,0.0725,0.7142,0.2785,0.279,0.0004,0.5133,2.3909,0.2843,0.1376,0.0193,0.4533,1.0333,1.7741,0.1027,1.6768,4.2573,0.3638,0.4319,0.9511,0.4376,0.1219,1.3297,0.0795,0.2836,0.4869,4.4843,0.1434,0.3112,2.7194,0.1326,0.0969,0.2529,0.5415,0.2222,0.0
MLT_H51,0.3842,2.5853,0.0306,0.0789,0.0708,2.987,0.1977,0.0265,1.5737,0.0059,0.2404,1.3277,0.8328,1.0051,0.0024,1.2614,4.134,0.4254,0.3458,0.0332,0.8454,3.8468,3.2367,0.3202,4.9695,9.3196,1.0662,1.3423,3.9872,1.5608,11.2664,5.195,0.8476,0.9112,4.5406,28.7943,0.6041,6.109,5.2406,1.7851,0.9614,1.3676,3.8526,0.4723,0.0
MLT_H52,0.2072,2.2932,0.0801,0.2766,0.1232,2.4773,0.0994,0.0158,1.6363,0.0061,0.0828,1.8888,0.487,0.803,0.003,0.3874,2.1065,0.1253,0.1805,0.0266,0.5099,1.887,2.0905,0.1918,2.6235,12.3536,24.2724,28.684,25.2278,26.2957,0.7073,3.1382,0.174,0.6919,0.8924,9.8212,0.573,1.3145,0.9756,0.4774,0.3273,0.4733,2.6656,0.2754,0.0
MLT_H53,0.0437,0.1313,0.006,0.0161,0.0333,0.2466,0.0074,0.0015,0.2167,0.0,0.0161,0.0859,0.0609,0.072,0.0002,0.0887,0.0507,0.0684,0.0378,0.0128,0.0551,0.2857,1.1981,0.1353,0.4317,3.7798,0.3535,0.2168,0.9454,0.2802,29.9391,1.7581,0.3282,2.5502,3.8143,103.0625,0.0512,1.7375,1.0465,3.4305,0.4116,1.298,1.0268,0.15,0.0
MLT_I,0.0101,0.0994,0.0034,0.0062,0.0298,0.2414,0.0147,0.0013,0.1187,0.0002,0.0598,0.0274,0.0682,0.0204,0.0003,0.0864,0.1122,0.0539,0.0949,0.0086,0.0252,0.274,0.4715,0.0483,0.5307,2.1933,0.1377,0.0896,2.8063,0.8839,0.7668,2.7658,0.2784,0.1896,1.8748,25.0069,0.2176,3.3711,13.5754,1.1685,0.3693,1.2094,6.4827,0.0256,0.0
MLT_J58T60,0.0072,0.0385,0.0012,0.0007,0.0052,0.127,0.0019,0.0007,0.6887,0.0,0.0043,0.0792,0.0078,0.0077,0.0,0.0132,0.0232,0.0199,0.0018,0.0012,0.0382,0.149,0.3295,0.0285,0.1407,1.3262,0.0938,0.0652,0.1836,0.0776,0.5545,0.2903,2.7132,2.7559,7.9373,18.65,0.4646,1.0055,0.2009,0.6725,0.2539,0.3332,18.5199,0.0233,0.0
MLT_J61,0.2185,0.5489,0.0236,0.0393,0.0471,0.9312,0.0503,0.004,0.5658,0.0005,0.0721,0.4675,0.1991,0.1668,0.0008,0.1896,0.2614,0.1746,0.0816,0.0132,0.2528,1.2196,1.2564,0.2368,2.5118,6.6022,0.843,0.686,3.6158,0.8342,5.2912,3.308,1.0243,36.4623,30.6069,156.2246,3.2138,7.5223,2.1233,5.6202,1.1117,1.9747,43.8842,0.3028,0.0
