V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_C20,69.59,0.545,0.2842,2.8027,0.0449,11.0585,0.8637,0.0801,0.8495,1.7674,48.3048,1.6654,24.464,17.3489,0.1004,0.2598,0.0003,0.0167,0.0759,0.0046,0.0197,0.3557,0.1925,2.4728,38.5211,1.5913,1.1596,0.0163,0.1903,2.1885,0.0043,1.4606,0.0451,0.5326,0.0622,0.5173,0.1703,2.0274,2.3784,1.4109,0.3761,1.9455,0.037,0.1153,0.0
SEN_C21,0.1595,0.0,0.0,0.0,0.0,0.2378,0.0,0.0,0.0,0.0,0.0,0.9065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.008,0.063,1.9516,0.0048,0.0073,0.0
SEN_C22,3.0867,1.833,0.0158,0.6422,0.0164,69.8945,2.5883,1.3467,0.3756,0.125,5.2102,0.6155,11.7918,1.7163,0.2072,1.4503,0.0,0.006,1.6055,0.0384,0.0853,2.8734,0.8369,2.2408,2.2204,5.509,0.3532,0.0622,0.0626,1.0651,0.0052,0.3388,0.0243,4.0143,0.3955,0.5631,0.1169,2.2372,1.082,0.3021,0.3108,0.8947,0.0263,0.0674,0.0
SEN_C23,2.7688,1.1922,0.0103,0.3242,0.005,11.3499,3.7769,0.9302,0.3996,0.0121,6.2835,1.9259,0.8541,47.0668,0.3903,0.9656,0.001,0.0587,0.0788,0.0163,0.1292,0.4919,1.0043,4.7197,309.2011,4.7407,0.1816,0.0029,0.0148,0.8939,0.0113,1.9252,0.2781,2.8361,0.1178,2.8898,1.4785,1.6564,0.5852,3.5796,0.7629,1.5132,0.1197,0.1382,0.0
SEN_C24,0.0,0.0,0.0033,0.2613,0.0,0.5531,0.0001,0.0618,0.0,0.0,0.0,0.1925,0.0022,0.4665,2.4782,7.4577,0.0,0.4642,0.0095,0.0022,0.0913,0.0651,0.0,0.0014,9.7695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0079,0.0,0.0,0.0028,0.0052,0.0172,0.0
SEN_C25,0.0,0.0,0.0354,2.698,0.0,8.1238,0.001,0.8032,0.0,0.0,0.0,1.0177,0.0132,2.683,1.2716,14.4163,0.0,0.0,0.0432,0.0109,1.5089,0.3687,0.0,0.0094,79.2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.1145,0.0,0.0,0.0626,0.118,0.2492,0.0
SEN_C26,0.0114,0.0025,0.0002,0.0049,0.0,0.0505,0.0057,0.0017,0.0079,0.0006,0.0048,0.0006,0.0008,0.0065,0.0008,0.0019,0.0003,0.0119,0.0027,0.0,0.0006,0.0022,0.0108,0.0046,0.0275,0.0043,0.0067,0.0005,0.0016,0.0039,0.0,0.0095,0.0003,0.0631,0.0017,0.0055,0.0006,0.0094,0.0144,0.0145,0.0035,0.0047,0.0002,0.0003,0.0
SEN_C27,0.0,0.1153,0.0253,0.845,0.002,0.4871,0.025,0.0151,0.0337,0.0,0.3744,0.0123,0.043,0.23,0.0115,0.0534,0.0005,0.01,0.0326,0.0064,0.0019,0.0422,0.3917,0.1377,2.839,0.2759,0.4387,0.0743,0.3059,0.2862,0.0022,0.2105,0.0098,1.7884,0.0176,0.0095,0.0496,0.7283,0.3766,0.0177,0.0496,0.1736,0.0215,0.0543,0.0
SEN_C28,0.2266,0.055,0.0312,1.2299,0.0033,0.3172,0.0173,0.0165,0.0217,0.1242,0.165,0.0073,0.0193,0.3643,0.0045,0.0245,0.0,0.0051,0.1205,0.003,0.0009,0.0301,0.2527,0.0736,1.0473,0.1268,0.2027,0.0335,0.1372,0.1344,0.0011,0.0972,0.0049,0.7675,0.013,0.0204,0.0274,0.4072,0.1487,0.0542,0.0506,0.1008,0.0032,0.0067,0.0
SEN_C29,0.0263,0.0116,0.0037,0.1286,0.0004,0.0529,0.0025,0.0015,0.0033,0.0456,0.0304,0.0013,0.0042,0.0446,0.001,0.0057,0.0,0.0012,0.0003,0.0022,0.0004,0.0094,0.039,0.0133,0.2551,0.0267,0.0511,0.0075,0.0309,0.0289,0.0002,0.0206,0.0009,0.0227,0.0017,0.0007,0.0054,0.0714,0.0302,0.0018,0.01,0.0335,0.0011,0.0015,0.0
SEN_C30,0.0,0.4124,0.0,0.0,0.0,1.3857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_C31T33,0.2031,1.5496,0.0321,1.7818,0.019,4.6783,0.8725,2.635,0.4001,0.0062,0.7282,0.122,0.2376,0.6321,0.1086,0.4956,0.0002,0.0123,0.0075,0.0022,0.6428,4.8079,1.9574,2.9189,2.1944,1.1522,1.0256,0.08,0.2507,4.1403,0.0135,0.7607,0.1117,0.5678,0.4448,2.2471,0.1309,14.2403,0.982,12.4099,8.0189,2.5594,0.2437,0.3365,0.0
SEN_D,16.138,6.9489,0.0594,1.8846,0.0291,60.2079,21.9922,1.988,2.3287,0.0695,24.0944,0.756,4.9777,91.4202,1.0051,1.6144,0.0056,0.342,0.4593,0.0949,0.753,1.3527,5.8525,27.509,3.2116,27.622,1.058,0.0168,0.0861,5.1954,0.0657,11.2149,1.6206,16.5255,0.6861,16.8406,3.0471,9.6469,3.4083,20.8638,4.4442,8.814,0.6974,0.805,0.0
SEN_E,17.8676,0.1152,0.0331,0.4086,0.0031,4.9607,0.6959,0.1982,0.1197,0.4901,1.1047,0.0702,0.2937,2.5882,6.534,9.3865,0.0,0.0465,0.01,0.0018,0.0966,0.1805,1.7265,4.2396,6.5963,6.3385,1.165,0.1355,0.0394,0.645,0.0106,2.688,0.1066,0.353,0.0533,1.3167,0.8817,2.2078,0.4757,28.0286,3.3524,2.9846,0.1666,0.2183,0.0
SEN_F,0.3598,0.0617,0.1579,1.1437,0.025,2.9666,0.2924,0.3723,0.1795,0.1982,0.1909,0.0123,0.0842,5.2315,0.0233,0.057,0.0005,0.0206,0.021,0.0041,0.0292,0.2481,0.4866,0.1314,50.9689,2.0955,0.2881,0.0052,0.024,3.1655,0.0002,1.514,0.041,1.2725,0.0684,0.6089,4.8512,1.843,0.6205,0.1922,0.6281,1.3172,0.0857,0.0998,0.0
SEN_G,58.4202,15.588,1.3225,34.0124,0.5779,245.4972,30.0198,7.4036,8.0276,4.6168,16.22,2.6208,3.0968,28.9056,1.9396,5.3519,0.0691,2.9955,1.8821,0.1431,2.0871,8.2381,56.5268,17.2771,86.5657,38.2936,48.064,1.6676,3.1221,32.0995,0.2932,47.7912,2.563,30.8718,2.7892,11.9935,4.6118,44.0299,17.3642,64.3962,15.5357,27.4645,1.2262,2.0368,0.0
