V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_C20,2.5615,0.0497,0.0045,0.0214,0.0001,0.6829,0.1544,0.2072,0.7158,0.094,0.6694,6.2888,1.2713,0.6467,0.1699,0.2091,0.0872,0.1293,0.104,0.0134,0.0143,0.2863,0.0745,0.1239,0.8102,0.5783,0.0144,0.0048,0.0021,0.2129,0.0142,0.5868,0.1468,0.0632,0.0642,0.7536,0.2576,0.5331,0.4836,0.2603,0.2018,0.863,0.142,0.6695,0.0
CYP_C21,0.0129,0.0,0.0297,0.2,0.0,0.0329,0.0357,0.0002,0.0002,0.0,1.1975,2.8124,0.0002,0.0004,0.2189,0.0004,0.0,0.0,0.0002,0.0,0.0011,0.0003,0.0009,0.0659,0.0016,0.0154,0.2128,0.0,0.0001,0.0025,0.002,0.312,0.0034,0.0225,0.0184,0.0053,0.0515,0.6696,0.0542,0.1057,0.2501,21.79,0.0086,0.3572,0.0
CYP_C22,0.4771,0.1327,0.0117,0.0888,0.0006,8.3286,0.1634,0.3428,0.6225,0.004,0.4562,1.8033,1.227,1.8119,0.0535,1.9669,0.0195,0.6019,1.0096,0.1664,0.0007,1.545,0.1675,0.109,3.2099,9.6358,5.4745,0.1332,0.0107,0.492,0.0441,2.1987,0.3031,0.1496,0.0979,0.5275,0.5281,0.4327,0.295,0.3252,0.2928,0.5897,0.3138,0.0936,0.0
CYP_C23,0.5208,0.0047,0.0008,0.0034,0.0,5.7589,0.0141,0.4016,0.062,0.0078,0.1369,2.4191,0.5597,37.8536,0.1629,3.6836,1.9342,0.0548,0.3939,0.0606,0.0118,2.0653,1.5729,0.266,73.0048,2.9495,0.0055,0.0006,0.0689,1.8532,0.0118,5.4045,0.0187,0.0133,6.0375,1.7858,4.0255,0.7703,0.1424,1.857,1.3469,2.6095,0.0705,0.5971,0.0
CYP_C24,0.0002,0.0,0.0062,0.021,0.0001,0.7101,0.0136,0.0842,0.1185,0.0,0.0,0.1699,0.0614,0.2633,2.5239,9.8696,0.6588,0.5565,0.8822,0.1584,0.0171,2.2874,0.3847,0.0349,4.1729,0.2648,0.0,0.0,0.0,0.1934,0.0002,0.044,0.0011,0.0148,0.0,0.0908,0.3522,0.0275,0.0,0.2393,0.0,0.0,0.0,0.0,0.0
CYP_C25,6.2026,0.838,0.0695,0.3488,0.0024,4.8007,0.1891,1.8813,0.2652,0.108,0.3403,0.2552,0.1731,3.0169,2.1012,7.1612,1.5715,1.7057,1.2384,0.3445,0.042,4.3043,1.8551,0.4921,58.6118,4.0079,0.6905,0.3892,0.1344,1.513,0.0174,2.6841,0.4449,0.4523,0.0927,1.4535,9.1293,1.3729,0.8705,1.7549,1.4856,2.5936,1.9189,0.5571,0.0
CYP_C26,0.0062,0.0,0.0091,0.0341,0.0003,0.0859,0.0,0.0,0.0093,0.0,0.0,0.8585,0.0,0.0,0.0,0.0563,0.6782,0.3506,0.0543,0.0088,0.0,0.2786,0.3871,0.0076,0.2814,0.986,0.0,0.1213,0.0002,0.6789,0.0039,0.0341,0.2019,0.3177,0.523,0.2902,0.095,0.4468,0.1634,0.1284,0.1194,0.6432,0.1079,0.1432,0.0
CYP_C27,0.0867,0.0401,0.0062,0.0283,0.0001,0.1403,0.0667,0.0508,0.0681,0.0023,0.1636,0.1901,0.1588,0.14,0.0482,0.2354,0.0203,0.5371,0.0923,0.0244,0.0038,0.2036,0.1302,0.0186,1.6008,0.7451,0.1223,0.0655,0.0053,0.1054,0.0038,0.5365,0.0837,0.036,0.1095,0.0631,2.4363,0.1366,0.0693,0.1885,0.0625,0.2467,0.1115,0.0576,0.0
CYP_C28,0.2676,0.0326,0.0428,0.1751,0.0009,1.9363,0.0322,0.0646,0.1429,0.0055,0.0632,0.155,0.0887,0.2028,0.0468,0.1257,0.0071,0.0202,0.4057,0.0064,0.0213,0.6133,0.4867,0.2593,0.7349,1.1818,0.674,0.0432,0.0138,0.8903,0.041,0.7243,0.1188,0.3142,0.1433,0.367,0.1804,0.3473,0.5002,0.2486,0.278,0.3154,0.3211,0.0678,0.0
CYP_C29,0.0089,0.0021,0.0004,0.0021,0.0,0.038,0.0019,0.0027,0.0013,0.0001,0.0007,0.001,0.0012,0.0047,0.0026,0.0091,0.0018,0.0036,0.002,0.0078,0.0001,0.0094,0.0036,0.0223,0.1116,0.9912,0.0034,0.0017,0.0011,0.0101,0.0011,0.0088,0.0017,0.0015,0.0006,0.0304,0.0286,0.0052,0.0059,0.0115,0.0069,0.0193,0.0059,0.0021,0.0
CYP_C30,0.0,0.0,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0019,0.0,0.0042,0.0,0.0041,0.0,0.0783,0.0101,0.006,0.0,0.0054,0.0,0.0,0.0,0.2475,0.0,0.0001,0.0,0.0101,0.0,0.0001,0.0,0.0003,0.0
CYP_C31T33,2.7734,0.03,0.4273,1.7187,0.0087,6.75,0.214,2.7821,1.7194,0.0511,0.7509,2.8845,1.1525,2.7025,0.514,0.7873,0.0201,0.1079,0.2743,0.0657,0.018,2.0779,10.5628,4.1116,8.3387,8.4473,0.6706,0.1186,0.0718,8.915,0.5944,14.2419,1.2416,6.4331,2.1304,1.4155,2.7751,2.1307,1.8344,1.297,2.4593,7.3717,2.1806,0.438,0.0
CYP_D,23.8936,1.1811,0.2593,1.5251,0.0032,36.7689,0.6926,1.461,3.2762,0.0996,1.4877,8.6441,5.5371,20.3051,2.4084,2.0336,0.0395,0.1967,0.5707,0.0785,0.0071,2.2882,12.5164,19.7265,3.2788,87.6607,0.3858,0.0358,0.0411,12.8316,0.9656,89.5122,6.3417,11.8235,2.1799,15.7696,4.6859,16.98,6.3453,33.2011,18.6698,24.6554,8.7644,11.7198,0.0
CYP_E,9.5396,0.002,0.016,0.0591,0.0002,4.2768,0.1048,0.2336,0.2559,0.0008,0.1514,0.3214,0.2056,0.4475,0.1978,0.4587,0.0088,0.022,0.0949,0.0201,0.0006,0.3667,1.0199,49.5108,1.2626,13.9705,0.2154,0.1274,0.0585,2.7295,0.1738,31.8689,1.6689,0.6834,2.9004,3.6064,45.8676,10.5329,1.4354,29.2984,3.1808,11.0482,1.1106,2.7606,0.0
CYP_F,10.1177,10.2039,0.386,1.7663,0.0098,9.5591,0.5469,2.2357,1.0441,0.1294,0.3052,5.918,1.8609,0.976,0.2241,1.1282,0.0139,0.0825,2.3459,0.0341,0.0365,1.1091,11.5448,13.4728,859.364,90.955,0.8819,0.1787,0.1221,60.2582,0.8434,77.5932,6.3606,3.7992,1.1363,64.485,150.022,15.3963,6.7242,85.2568,37.9446,34.4903,8.4748,11.6002,0.0
CYP_G,60.2975,1.4649,0.4188,2.2293,0.0113,162.2482,5.4257,6.7559,10.6508,0.2963,4.5094,22.011,7.439,17.983,2.6909,13.3525,2.2027,3.1065,3.2564,0.7474,0.1415,10.5262,37.4487,7.0749,55.6955,109.6968,27.527,34.3551,2.3723,56.3463,3.2788,128.845,30.2647,4.8241,16.3707,41.532,19.4939,29.7343,16.431,18.2914,11.8801,41.7331,12.2801,10.8117,0.0
CYP_H49,5.2946,0.1843,0.1756,0.8674,0.0028,14.3272,0.3322,0.7392,1.0363,0.0454,0.523,2.0013,0.7504,2.3584,0.3559,1.7202,0.2285,0.2782,0.3888,0.0848,0.0135,1.1258,3.4913,1.4418,9.0575,34.1758,4.8455,1.9773,0.2067,1.7043,1.2936,11.7131,2.3154,0.3156,1.4498,6.0217,1.5912,2.6896,1.4717,1.4141,1.6548,3.2532,3.6358,0.8179,0.0
CYP_H50,0.2654,0.0064,0.001,0.0056,0.0,0.6683,0.0159,0.0362,0.0517,0.0019,0.0185,0.1026,0.0314,0.104,0.0184,0.0887,0.0123,0.0151,0.0169,0.0036,0.0008,0.0488,0.1863,0.0174,0.3153,0.2056,36.0788,220.0373,0.7033,0.0403,2.0834,0.4563,0.3059,38.1559,0.0305,0.1958,0.0684,0.071,0.8063,0.8243,0.0373,0.2776,1.6083,0.0279,0.0
CYP_H51,0.2633,0.0059,0.002,0.0047,0.0013,0.165,0.0068,0.009,0.0114,0.0009,0.0012,0.0108,0.0046,0.0313,0.0049,0.0273,0.0138,0.0107,0.0019,0.0017,0.0007,0.0089,0.0928,0.0007,0.053,0.0328,0.0089,0.2023,0.0034,0.002,0.0022,0.1733,0.0043,0.0025,0.002,0.1194,0.0146,0.009,0.0101,0.0009,0.0022,0.005,0.0042,0.0067,0.0
CYP_H52,2.9693,0.0913,0.1336,0.6592,0.0018,6.9535,0.1618,0.3677,0.5077,0.0183,0.1825,1.0122,0.3166,1.303,0.1794,0.8708,0.121,0.1452,0.1667,0.0363,0.0073,0.4826,2.085,0.2657,3.1914,15.6056,0.8524,155.6573,0.1003,571.0153,0.0851,5.0759,0.997,0.247,0.3233,6.6267,0.8227,1.4128,0.587,0.9481,0.5683,1.5942,0.3604,0.32,0.0
CYP_H53,0.0228,0.003,0.0035,0.0139,0.0001,0.2713,0.0189,0.0429,0.1031,0.0,0.0782,0.1707,0.0846,0.0635,0.0277,0.1254,0.0003,0.0114,0.0157,0.004,0.0002,0.0796,0.1571,0.0258,0.1887,2.102,0.1041,0.0039,0.0008,1.0093,0.6508,0.4825,0.1474,0.1484,0.3127,2.0169,0.274,2.81,0.398,0.5151,0.7261,0.7371,0.1397,0.1903,0.0
CYP_I,0.1746,0.0,0.109,0.2591,0.003,3.4631,0.1433,0.1244,0.8069,0.0098,0.2662,0.2497,0.1405,0.7892,0.05,0.6902,0.0092,0.1385,0.3984,0.0168,0.0053,0.9621,0.5904,0.3197,2.6564,29.6703,0.5664,0.1659,0.035,3.0595,0.3622,7.0504,1.7313,0.5495,2.4799,10.2568,2.7525,13.2467,5.1831,6.7966,3.9998,3.6769,10.928,3.2261,0.0
CYP_J58T60,0.0085,0.0029,0.0357,0.1122,0.0007,4.8075,0.4186,0.2829,0.8012,0.0001,0.3782,0.6923,0.3399,0.222,0.183,0.513,0.001,0.0519,0.3295,0.1586,0.0157,1.1052,1.1188,0.4986,1.2776,4.8042,1.5488,0.0269,0.0304,3.1684,0.8785,2.0833,63.7686,1.9569,11.5795,7.7824,9.7236,18.0141,4.9572,3.6897,3.9887,4.6658,3.3511,2.7362,0.0
CYP_J61,0.2526,0.0447,0.1338,0.3543,0.0025,2.1691,0.3685,0.364,0.6584,0.001,0.2622,0.5215,0.3201,0.617,0.0485,0.9606,0.0041,0.0813,0.2822,0.1061,0.006,0.9813,5.0305,0.8272,3.8736,25.1962,1.501,0.1925,0.0422,11.3604,0.832,10.3813,23.3579,144.73,18.3107,31.5314,3.2268,36.2716,7.7795,12.8008,5.6469,12.7212,15.0797,4.3569,0.0
CYP_J62_63,0.0796,0.0007,0.1786,0.8054,0.004,0.5879,0.1183,0.1812,1.2518,0.0098,0.0216,0.0901,0.1428,0.4069,0.1622,0.9269,0.0089,0.0036,0.3806,0.0341,0.0009,0.5216,0.9631,0.7284,1.23,21.5956,2.079,0.4068,0.0064,0.9054,0.1254,3.2617,69.2401,2.3438,206.806,20.8797,0.8586,33.399,1.6479,4.2067,0.372,0.3135,5.4518,2.135,0.0
CYP_K,27.5087,1.3152,0.7486,2.8761,0.0113,13.6947,1.1683,2.8551,3.6395,0.0679,2.3429,7.8903,3.0735,7.461,1.0618,5.644,0.0374,0.1782,1.3941,0.2693,0.039,4.751,72.9686,6.553,34.0255,132.3476,15.5673,58.0328,1.2214,87.1685,1.3621,57.5695,14.7665,13.3663,17.1746,722.2775,78.7057,43.3232,17.275,3.3366,7.8492,18.5743,7.7096,6.614,0.0
CYP_L,0.1036,0.034,0.153,0.4733,0.003,8.5694,0.7624,0.5954,1.2921,0.0305,0.5516,0.9138,0.6972,0.9346,0.205,1.2548,0.0114,0.1365,0.8652,0.0849,0.0187,2.216,2.4212,1.1633,5.8197,129.6207,2.3238,0.0619,0.0919,11.4311,1.5034,62.0899,3.2385,2.8535,2.7346,29.0439,24.8178,35.0109,6.9695,14.6924,11.1026,14.8257,6.7068,9.626,0.0
CYP_M,3.9369,0.0396,0.5876,1.8153,0.0141,13.4403,1.1244,1.5565,1.9036,0.0688,1.1812,2.4059,1.1656,1.5991,2.1153,3.1832,0.0278,0.2104,1.1154,0.3085,0.0719,3.2067,4.724,4.7874,25.013,105.7647,4.02,267.4889,0.5873,39.5856,1.1389,44.1722,30.8369,9.7064,5.0159,902.5087,13.7359,184.9457,11.4582,14.2233,20.7639,21.3834,10.0225,8.7306,0.0
CYP_N,1.9209,0.0079,3.4733,18.2792,0.1147,2.6951,0.3655,0.1562,0.2207,0.0097,0.382,1.4924,0.4261,0.6461,0.077,0.2653,0.0246,0.022,0.4479,0.07,0.0031,0.6101,2.6471,1.4034,4.1276,28.1584,1.9494,13.8479,0.4184,16.2283,2.7379,23.2908,11.8366,4.1333,6.8523,22.1532,3.9514,43.754,22.2397,4.7437,11.3185,9.7672,6.6786,7.5439,0.0
CYP_O,15.0242,0.3979,0.0447,0.2269,0.0013,8.479,0.0826,0.9848,0.2225,0.0515,0.2697,0.3516,0.1557,1.5015,1.0982,3.5823,0.7514,0.8042,0.6544,0.1727,0.0268,2.1917,1.2381,20.107,30.1833,16.8232,0.4032,1.9547,0.0791,2.8482,0.6805,14.2033,0.9631,1.4046,0.7082,2.6604,31.9232,4.4449,1.3078,113.4455,3.2169,6.0496,2.7608,2.8824,0.0
CYP_P,0.0333,0.0002,0.1549,0.6258,0.0033,0.5359,0.0346,0.0302,0.0502,0.0001,0.0912,1.2327,0.1006,0.1607,0.0141,0.1141,0.0002,0.0006,0.0454,0.0036,0.0006,0.4648,0.2227,0.051,0.1065,3.5945,0.0064,2.141,0.006,0.9591,0.056,1.0629,1.3968,1.0081,2.2952,12.7982,0.8281,21.4595,4.9175,8.3287,13.6078,1.6032,0.4024,1.2589,0.0
CYP_Q,1.8822,0.0002,0.0005,0.0018,0.0,0.0474,0.003,0.002,0.005,0.0001,0.0038,0.0092,0.0028,0.004,0.0011,0.0042,0.0002,0.0007,0.0029,0.0003,0.0001,0.0073,0.0115,0.0364,0.0125,0.3902,0.008,0.0011,0.0004,0.6165,0.0163,0.2021,0.0137,0.009,0.0248,0.4102,0.0736,0.4798,0.3745,0.5958,0.372,15.1347,1.0771,3.4922,0.0
CYP_R,0.0435,0.0003,0.0006,0.0023,0.0,0.261,0.0041,0.0019,0.0653,0.0001,0.0022,0.0068,0.0031,0.0045,0.0015,0.004,0.0004,0.0009,0.0024,0.0003,0.0001,0.0068,0.0141,0.0043,0.2109,0.3116,0.0072,10.7116,0.0005,0.4415,0.0041,5.089,0.6364,0.0079,0.0125,1.4892,0.0614,0.5706,1.5471,1.0014,0.4718,0.7376,2.9106,1.0401,0.0
CYP_S,0.5844,0.0015,0.008,0.07,0.0,1.9494,0.0196,0.0203,0.0702,0.0011,0.0504,0.089,0.0404,0.0863,0.0122,0.1734,0.0082,0.0124,0.016,0.0028,0.0005,0.2826,0.2625,0.1851,0.3596,7.5289,0.1176,1.6561,0.0131,0.4592,0.071,23.9408,1.0008,0.414,2.3615,5.168,0.2555,5.1009,0.4185,1.4327,2.5453,2.1851,0.8982,5.1675,0.0
CYP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
