V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_H50,18.3939,0.7788,0.117,0.936,0.0022,64.496,10.6654,2.1552,8.3078,83.4338,26.7801,4.9675,10.6487,7.5941,22.1076,13.6112,2.6348,10.1725,7.3487,45.497,8.2292,6.4615,37.2489,2.064,34.5863,20.4684,6.3563,0.2423,3.0446,3.1321,0.187,31.8666,4.0053,6.6703,1.4134,3.4124,0.7489,5.5928,1.877,1.865,1.8976,22.3403,1.7679,3.2528,0.0
ESP_H51,36.9079,5.6222,0.4817,4.501,0.131,141.5975,22.3592,9.9697,24.3245,162.5644,69.0961,18.9534,26.8294,19.5879,59.3377,41.337,7.1084,25.7634,20.0959,101.5833,41.3184,54.5174,82.4445,19.1153,86.1541,167.652,139.5946,7.4955,59.1191,138.872,10.2869,60.9855,10.6681,25.1446,7.3583,21.5552,4.3312,39.2813,97.168,30.5324,9.0598,56.1766,16.4035,14.9004,0.0
ESP_H52,146.9061,155.1872,4.1523,119.3072,1.0883,739.0816,40.9129,79.9423,220.4395,115.3325,782.3958,223.5977,187.2891,31.3013,505.7787,255.0142,40.8177,200.5668,166.3068,367.6774,155.5483,118.2617,84.1006,92.9728,309.3599,7188.7597,9081.0699,387.5667,1578.3006,9644.1153,33.1354,230.3303,62.7497,82.7697,47.4305,101.0505,35.9772,288.7229,256.6681,794.3258,23.0156,53.3478,60.6203,64.4965,0.0
ESP_H53,8.1049,1.3047,0.2349,1.7616,0.1122,104.2767,9.7197,7.326,25.0184,5.1631,43.7187,37.3832,26.9618,18.3228,15.0512,45.96,0.9411,8.729,26.4542,27.3517,4.6114,16.156,101.4411,42.3807,166.4816,635.0761,38.1314,3.0333,4.6126,112.257,1411.7332,181.0728,11.25,252.5456,41.9359,168.4366,122.1784,380.8848,236.5291,187.3306,33.9756,100.3487,11.1795,52.8292,0.0
ESP_I,24.9671,1.7942,0.7299,3.1551,0.9675,203.3124,18.3107,18.2988,14.3308,6.5512,177.4089,34.9632,42.6186,9.6842,32.7808,59.907,8.0741,11.2883,30.7434,23.2159,45.0424,33.0664,75.2598,86.2354,1672.8277,735.456,169.0671,14.7528,18.596,57.1966,14.6543,614.8607,65.3792,95.3598,299.4724,512.2041,84.8833,907.0791,4018.6845,392.4834,95.3517,1812.2443,760.4408,541.2378,0.0
ESP_J58T60,11.1291,1.8201,0.3038,2.0818,0.0928,139.7014,17.324,5.9809,227.457,10.4843,80.1361,93.7827,17.0817,25.9605,10.7736,27.6529,10.0744,16.6484,21.6405,70.3022,21.18,29.7708,48.5396,33.1513,82.2106,1049.8275,26.016,2.2529,27.0181,58.7657,6.6871,268.7718,2393.1468,132.0409,320.1215,531.8343,54.9596,1353.004,512.0703,219.4508,394.4357,124.2361,141.4875,274.0974,0.0
ESP_J61,90.3549,28.308,8.553,46.1289,0.4658,630.5497,91.9545,34.7857,84.8072,41.207,245.7349,125.5948,68.1104,88.5019,84.6716,95.6632,29.2709,65.1496,109.7825,98.4365,40.2658,97.5583,666.7449,176.0729,619.6201,1259.8324,133.6237,13.0735,37.9226,184.606,22.1674,869.8527,326.9925,3377.4306,445.2039,737.9275,503.9703,670.6989,367.8746,986.9336,229.5588,377.5968,155.5583,348.1476,0.0
ESP_J62_63,13.2555,2.5246,0.7485,2.3898,0.2863,124.9201,12.6212,10.6766,29.1839,16.8395,58.0605,25.7205,6.2648,28.0467,27.4857,48.8895,23.7036,22.3961,96.5972,59.1605,19.4135,99.9729,111.0322,57.1957,93.3242,365.7886,654.9931,7.5885,137.0538,332.6218,64.4681,61.3947,84.8047,327.3894,6557.5221,613.7685,25.7004,522.6026,219.8348,510.4911,154.4904,382.2513,36.8026,92.1307,0.0
ESP_K,996.4267,66.0284,6.9349,39.8811,2.4061,1080.7594,180.3378,84.5285,222.5557,295.9023,418.9202,164.6396,240.9893,220.2276,301.9809,441.2351,52.9726,207.5965,285.1672,554.611,193.8512,259.7004,657.5423,336.3198,1798.4479,5345.6766,970.9526,31.6261,165.7767,660.2589,63.5653,1445.9274,274.4586,385.4328,366.4175,15630.1267,6244.7397,1723.6654,1471.5164,2038.809,514.6645,934.5477,397.0433,439.3713,0.0
ESP_L,4.2095,1.2155,0.6978,5.7439,0.5201,130.4389,88.6429,18.879,77.7217,19.7059,65.7672,79.0199,76.3395,29.6269,56.0262,178.5815,31.0936,159.8504,125.4109,75.6105,33.8999,133.6458,50.7389,61.7093,2204.2842,9934.4103,356.8917,65.4322,79.6967,756.8706,78.8261,3426.0044,907.6543,846.1536,539.3243,1808.3883,455.9503,1977.2291,1040.6748,1105.5687,238.6838,214.0007,920.7841,409.9641,0.0
ESP_M,406.3422,25.134,17.6639,118.4059,5.0611,1386.3135,176.1563,104.9257,323.7138,381.1346,712.8938,432.6902,325.0263,488.6897,248.1664,546.7155,119.8716,558.6312,635.8221,1093.5196,342.5236,408.5735,740.28,541.6065,5284.5242,9187.369,539.5534,65.2777,413.6727,737.5153,90.3163,1287.8631,1450.0232,1529.3295,1480.0181,2481.6981,2298.4782,14985.3786,2080.057,1575.6536,296.476,490.2422,1361.5802,1003.4134,0.0
ESP_N,316.344,50.93,31.8346,180.8793,3.9912,2342.625,226.8601,209.6253,877.9279,122.2831,705.508,346.28,464.2367,423.4634,297.4859,673.7952,268.4096,409.6983,437.5335,1141.651,432.3736,468.5225,1555.5658,803.4545,1611.1157,9699.0041,1396.999,157.9187,1203.8998,1836.6918,160.4968,953.8138,407.9029,1041.1202,556.5896,2040.8343,1446.86,3459.2097,6232.1736,2408.816,731.5815,1954.3134,492.1823,737.7402,0.0
ESP_O,83.1231,26.089,1.8522,30.6868,0.4571,256.3931,23.8002,39.3558,96.4014,108.8305,183.0932,69.5539,59.6392,40.7074,135.6917,81.7428,12.8501,52.3826,58.7441,127.554,45.4895,55.9038,147.6152,87.8014,1167.0691,1756.6454,1452.8428,67.0666,245.54,1650.5688,13.3335,337.8842,50.5204,163.6802,158.3335,131.1286,174.4378,341.4429,242.822,253.6754,58.3807,87.9156,198.086,50.5879,0.0
ESP_P,57.6208,11.7403,1.1606,2.6541,0.0553,334.6685,31.616,6.8732,135.5947,37.6818,66.4945,86.9906,48.8735,14.6885,112.1399,23.5979,21.3731,20.5413,36.4354,105.3505,82.9156,81.6683,217.1263,78.9081,94.2434,962.0797,51.8148,0.8621,36.2538,12.9189,7.7177,76.6164,24.1135,303.0649,70.7805,63.1535,30.3245,380.2667,306.4929,49.2621,470.8185,230.8551,13.8477,79.3021,0.0
ESP_Q,64.6247,11.1109,1.2439,8.7132,0.0636,279.0072,24.8187,4.3461,25.5565,10.3674,78.2347,34.5569,16.17,7.831,15.8697,9.0067,7.2411,20.6161,16.5375,51.5037,45.1247,84.566,83.4679,100.2381,187.8617,2229.7056,70.9862,1.1393,10.77,8.7162,14.6013,604.3796,15.6106,330.3551,26.0489,98.0953,38.2428,316.0845,181.1243,72.652,103.2059,7166.1273,72.1206,65.3066,0.0
ESP_R,12.8908,3.2049,0.2366,0.7128,0.0584,228.0997,19.5797,0.822,52.0559,28.5652,56.0496,22.0818,17.8939,3.8025,26.8891,29.837,11.6409,3.4427,30.116,67.1945,75.9998,145.3272,8.3881,12.9066,37.6565,748.9336,25.2264,2.9795,29.4232,81.1978,22.4361,473.4309,63.242,165.4188,22.9036,159.4483,57.3791,555.5851,1409.0528,122.2893,36.0939,25.756,4266.1043,32.027,0.0
ESP_S,91.7963,59.3453,0.1444,2.1594,0.2786,436.77,38.5283,41.4177,58.1914,43.955,334.1258,98.1786,33.1692,88.7677,109.0757,117.6909,11.8133,29.866,45.3394,134.825,35.4911,153.5211,427.3827,107.5557,91.3997,1453.3236,282.7226,11.2025,7.3891,112.6359,1.2812,462.8875,25.2299,68.4989,103.0467,374.9244,126.78,1062.5282,653.0332,466.2526,83.0023,500.7056,96.7875,380.1535,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
