V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_C20,4925.3566,85.0926,1.993,111.7741,29.8044,2373.9457,879.843,616.9549,2908.0936,587.2559,35959.4234,4018.7518,15739.3165,1196.636,979.2523,590.7313,1747.5168,1942.0661,1562.239,3067.6196,496.7113,1855.9531,178.6355,534.0791,2331.8219,22805.3414,136.6647,63.8507,7.6852,151.4798,33.6123,875.5637,350.8423,53.3975,217.0893,177.3123,75.5984,1548.984,792.7417,224.1441,123.9295,5751.2101,360.9506,1443.0989,0
JPN_C21,417.9827,30.5813,0.0898,9.3309,0.1945,432.8939,37.0444,44.7501,136.3773,49.1054,2284.0171,10372.4369,523.4032,55.8456,20.7974,41.1047,131.9654,90.3739,129.4544,154.1515,2.6045,190.5192,4.5009,34.5514,108.1107,3057.9304,12.8084,12.3628,1.6456,13.4957,8.9037,100.1563,13.0723,9.5603,35.2154,32.3899,6.3635,342.9569,146.1302,111.7544,35.8517,23267.8279,48.8157,88.3082,0
JPN_C22,762.4531,173.1994,5.1854,32.8876,8.6572,5098.9764,366.9601,155.7499,2726.4983,18.2376,2002.7917,575.9764,16591.0498,286.7934,360.3675,301.9734,4710.7772,3423.8689,4034.7251,11128.3025,804.0767,3932.6285,6.8538,1280.21,5231.2972,8667.7416,304.5494,165.6493,16.2545,393.8229,19.3788,519.3306,162.844,44.8191,1603.9772,914.0104,465.5416,1529.7083,931.4037,599.2958,150.5375,1148.7929,689.9137,1127.3284,0
JPN_C23,245.1653,1.4263,1.7104,2.1401,8.3156,859.6016,27.2891,5.3573,51.5845,43.5668,782.833,286.5836,270.9622,3568.9957,1076.9057,254.8629,727.4874,2689.6919,1597.9713,1902.7963,282.8578,906.4485,13.1711,122.2729,23520.0531,755.5906,18.7414,21.834,1.7725,8.0356,2.9078,630.5889,12.1708,7.4432,12.4867,35.2424,68.4014,67.251,35.5929,73.4406,303.1487,561.8137,134.8396,198.9802,0
JPN_C24,4.1759,3.2935,9.9744,14.8828,25.1146,373.5496,15.706,36.835,85.8419,7.8917,787.135,71.9602,394.2313,769.1187,116362.306,24796.735,7103.9646,9697.6342,29182.0369,25621.6375,6377.196,3267.1157,41.5896,12.9753,15841.2577,333.7436,0.7845,8.9975,0.078,167.3731,0.2774,121.0247,20.191,1.4234,1.3111,2.6368,0.2599,9.4441,1.5996,68.4031,2.8615,610.7899,1.9206,105.4582,0
JPN_C25,124.4131,18.6649,19.754,15.338,22.8322,3430.7923,72.2518,170.5084,112.1872,53.6578,1141.3615,222.5305,602.8399,435.9144,130.0955,5006.7764,3282.2583,2873.1256,7288.5772,2581.9681,1007.3174,2388.6369,95.3586,40.4289,39575.485,3135.0159,225.8455,168.4418,2.5139,358.3367,4.0938,821.3378,28.6561,116.9114,55.1115,74.5221,273.4222,140.8696,92.4917,1419.6051,52.1451,216.046,24.0469,592.3611,0
JPN_C26,1.8534,1.7894,0.1104,1.3224,3.8043,15.1855,1.4388,0.9325,7.0696,1.8687,13.3449,4.2022,6.2412,3.1706,5.2257,8.4159,3244.441,35.9775,134.1057,2048.147,135.5208,55.2419,9.5393,5.5256,725.9875,756.2165,55.078,18.337,1.7421,16.8617,3.8016,68.5271,42.6742,15.0364,88.3489,106.6048,64.8904,436.4506,160.6173,568.2039,12.7007,28.4139,38.2895,60.1232,0
JPN_C27,4.0346,10.4418,0.1125,5.9979,1.6843,19.0126,5.8275,2.0068,28.1493,2.874,79.9317,17.2861,13.3901,8.8014,28.0931,142.7507,19838.3721,18074.7193,6029.8815,7777.5824,433.4182,1090.9985,8.1893,7.0739,1729.3417,6411.9721,42.3844,21.1469,1.915,34.278,5.228,33.6934,594.7659,49.53,136.5745,57.9224,13.5689,60.3802,31.4801,702.3761,61.1545,61.8205,43.098,81.2745,0
JPN_C28,6.219,0.3898,2.6314,6.1887,40.8886,5.4958,4.8757,2.4634,2.2149,1.5988,45.6446,12.4926,242.0031,143.8586,32.4381,108.7058,1763.0266,1519.4442,36001.4364,2323.7997,974.8502,1820.5379,1.714,131.3245,2804.3243,15292.7341,37.8919,15.7454,3.4655,52.9395,6.1292,12.7295,84.9174,19.2665,5.5429,42.2483,15.4855,168.7094,130.9146,1911.9066,13.4187,5956.9405,386.4219,215.263,0
JPN_C29,0.635,0.0932,0.0053,0.1529,2.1673,0.2079,1.5371,1.1428,0.2363,0.256,32.1278,7.5141,2.9218,4.5905,4.8171,3.4702,2562.1262,605.0932,665.0738,146047.7193,1121.6128,1439.9147,1.8134,0.1867,0.7701,19382.6918,11.258,0.0232,0.0921,0.8931,0.1279,0.2877,0.0492,107.5095,3.6923,0.2343,2.8266,2.1194,2.7233,100.4962,1.1822,2.2734,1.3565,19.4694,0
JPN_C30,0.1554,855.9409,0.0,0.3053,0.2877,0.2328,0.2727,0.1044,0.4045,0.0233,3.3609,0.7651,12.8779,1.6917,3.7147,18.3228,410.3428,42.1515,133.2027,71.6205,11377.7715,76.356,0.0,0.0158,0.0,620.7485,2247.6713,2205.247,1776.5282,159.2152,0.0613,2.9327,0.7397,0.0,0.0909,0.0564,0.0,2.2171,1.2433,1557.6804,21.5634,0.0,2.466,29.2285,0
JPN_C31T33,513.435,121.3399,9.0403,80.4355,16.1732,762.7803,314.1593,121.0016,268.7466,88.2862,709.4488,185.8283,317.4318,293.5309,567.7055,242.4367,1162.3926,583.4359,906.2706,187.9356,197.9312,3267.7237,1445.0648,444.6033,6746.4762,3216.5163,1338.8581,214.8057,65.4806,520.1238,54.9401,2263.0961,739.7548,1021.2277,2658.8148,1585.1105,589.8939,5425.1717,3730.5459,2226.8416,1410.6681,2949.9627,1560.1375,2010.6185,0
JPN_D,774.8403,69.6828,39.0533,202.99,25.2518,3500.2818,516.7014,306.8373,3366.1055,802.8743,4638.5896,480.3184,2486.8519,1945.9557,7787.6992,1537.9876,1040.8209,2007.6656,2120.4498,2662.4642,751.7245,458.6991,15447.1704,1838.4049,1150.8827,11958.2723,3376.39,12.2062,50.9706,1135.7773,57.0301,9583.9866,318.7268,1099.691,187.3238,1122.5704,2134.2539,3480.1593,1971.7592,3558.2408,2400.284,5090.5044,2393.5727,2015.2725,0
JPN_E,122.6608,4.6733,5.6998,21.3247,4.0763,804.0019,55.804,18.2356,297.7029,101.9798,811.9556,160.9952,126.1332,125.2398,342.788,80.6166,279.1945,315.7281,291.8646,133.17,128.7167,72.7928,1171.0331,8142.6289,727.016,1747.4465,1293.6717,19.0517,10.6236,520.3468,17.3484,5952.8947,288.0313,1212.5743,39.4044,735.3473,362.3953,678.8846,426.741,5129.2353,1711.4337,4166.6011,879.6497,1183.8846,0
JPN_F,328.7786,15.1948,2.9463,21.7684,21.4253,190.66,60.1178,25.4263,364.0616,55.5399,569.2866,162.8146,314.1906,273.8892,906.9614,340.0154,339.3658,400.4855,470.167,165.16,111.7215,139.8668,3463.398,1318.9989,402.8231,2396.369,1154.0511,29.7232,1.5396,1064.59,18.6772,436.0815,829.3469,809.4989,108.9363,763.8636,6182.7639,615.4423,296.0494,2742.8534,818.414,1446.2552,436.5189,283.7902,0
JPN_G,10818.062,1148.1817,28.3579,314.0978,104.8209,39885.8221,6614.5804,1962.9267,11702.5528,10207.9098,19036.996,6111.0405,12547.0879,3360.7523,20919.0152,5883.887,14731.5052,13235.3676,20923.3894,42768.9639,4112.1777,9007.6689,11889.8026,1548.0091,35803.2354,37005.5527,6306.6121,2749.3109,1620.4489,2114.2564,300.1417,29336.7,3861.2019,2212.6485,4415.7189,4644.7796,1381.5575,10438.0961,9164.7792,7648.1425,2931.9841,19437.2287,3061.2486,4381.9475,0
JPN_H49,1720.7122,138.4063,9.5049,112.8432,48.1683,5438.268,361.3285,381.8296,1991.9797,1359.1125,2577.834,463.7572,1382.9752,1096.8348,4105.3781,1219.5965,2677.2752,1957.8648,2967.5333,4023.3535,591.9089,1199.4493,3269.7236,607.4889,7961.9477,9501.0174,822.567,188.2792,151.2474,632.7543,466.3568,4099.1167,873.7301,1045.965,845.6902,5606.1789,319.8412,2054.4758,1931.7962,4084.5767,1546.2206,2990.0347,545.9139,1389.5512,0
JPN_H50,400.2043,35.6682,0.9644,10.9354,6.4066,1257.273,139.8103,102.2918,400.0235,2157.7722,772.0126,196.4295,377.8164,290.0157,2079.6733,293.7026,531.4673,475.6271,773.3306,1451.2451,208.0545,303.5337,1925.8986,39.3461,1538.5393,1119.7776,254.5688,4606.6248,77.552,164.019,14.633,712.0613,94.9706,51.6606,105.3056,125.2306,38.0109,221.709,144.1632,189.1214,79.6038,548.5562,84.3358,129.06,0
JPN_H51,97.0762,10.611,2.1011,20.7258,12.9423,372.0843,58.8054,29.2591,146.5629,541.2181,293.8412,93.4991,141.6213,75.9292,541.3891,111.3686,241.5884,187.1736,342.7707,398.4686,65.1233,118.4628,463.2914,46.6221,457.0451,1673.444,73.7234,29.6089,63.8254,45.6168,129.8531,274.8657,372.5904,128.8523,386.5151,186.7688,32.8976,406.2826,540.7493,194.8415,289.2934,314.342,103.3947,111.8042,0
JPN_H52,594.0609,86.2485,3.9558,59.0549,23.6947,2755.9064,136.5382,131.6908,770.9483,1138.2931,853.1279,204.7093,510.554,466.0697,1721.8872,412.137,642.4623,668.5138,934.7067,1500.8401,167.1061,515.4872,2662.1463,95.5695,2423.5892,5923.792,6582.9014,1093.6796,6104.5562,1609.4227,99.7027,4633.6563,326.6244,162.0419,421.1303,427.3226,190.532,565.2753,712.1868,2164.2485,228.6123,824.299,629.6991,327.1968,0
JPN_H53,12.1912,2.882,1.4475,7.1194,1.6239,42.1899,8.531,3.9994,26.6671,6.6781,99.4178,39.1162,22.1587,11.7341,24.3155,17.6434,150.2267,71.849,111.0824,55.0848,28.0087,25.3016,252.8858,69.1163,198.2183,916.9345,57.5677,18.4023,10.7718,112.672,179.4307,313.5277,173.0023,1072.7091,155.6175,1913.3247,133.006,384.6651,193.8022,1498.6821,224.1183,309.0449,57.9694,190.2548,0
JPN_I,127.0341,182.5767,12.8774,147.5005,7.8137,1484.2335,143.217,85.2982,960.824,258.19,891.9778,402.3758,870.6567,376.1692,950.336,693.355,1604.3685,1202.0186,2199.4193,1337.955,390.9177,666.1188,1122.4489,616.3181,4698.6078,9221.0923,1794.293,327.5695,130.114,1247.8757,163.5041,4345.4973,1233.1973,563.6652,1792.1845,4372.609,1287.3474,2414.598,1717.1721,2149.6476,984.6023,3597.5354,1043.0971,2053.6595,0
JPN_J58T60,48.5328,12.2282,0.3377,5.7139,1.6395,330.4599,45.4639,25.1333,118.9092,22.6105,241.7942,94.6254,86.3691,38.0378,87.9408,98.6546,443.7059,246.1431,337.4903,86.6775,75.2751,117.6019,65.1179,73.0084,698.4911,1593.4162,429.2645,13.1151,27.0785,205.4078,63.6995,2598.1586,9416.7377,5460.2896,1269.1698,893.0363,224.7336,15606.3131,3788.0282,1495.0123,608.1813,1573.5668,1238.5047,591.9437,0
JPN_J61,34.2861,32.8135,9.4296,22.4117,5.8224,302.1585,36.1466,18.8441,196.8065,33.9353,702.361,252.7619,110.474,54.4502,155.5161,137.6585,728.9143,347.496,501.668,238.8457,83.8615,136.9087,102.1148,145.5129,1883.972,10789.0598,696.7096,138.8477,44.9877,261.7932,47.9131,1776.6911,4091.0865,27854.7736,2206.9612,3963.8866,1126.7546,4318.832,2049.9151,2825.8711,271.8144,941.3465,294.5264,828.6801,0
JPN_J62_63,226.3169,16.9892,2.5595,25.3728,4.8348,881.7749,67.184,52.6406,370.1992,66.2356,1178.6361,431.9864,475.8671,232.8732,506.9325,299.7418,2606.7147,1455.1462,2058.8025,1135.7924,217.3372,344.5,2326.0142,871.6678,1084.171,11095.1346,585.1542,51.4678,115.2272,1420.0867,34.5828,1046.5765,1817.4439,6013.0485,4049.5622,10927.8168,746.3578,3926.1244,1707.5901,5153.7212,822.3302,2735.7022,1006.4447,1014.6372,0
JPN_K,995.2424,189.4042,28.4856,139.5175,32.0379,1961.869,304.7785,155.4296,817.5906,603.4991,953.2586,260.3023,350.6351,421.7989,1488.4887,915.6527,990.2718,819.6948,1743.5523,960.0467,549.3013,1551.2992,3390.4288,635.3145,4101.8779,12512.9494,4050.6307,527.2618,325.457,811.1329,7.0701,2188.3989,312.2322,1178.2676,449.2042,11702.8202,49203.8247,2690.5327,2044.4247,8419.6039,1533.9787,3727.3824,961.5088,637.4483,0
JPN_L,67.3946,12.7017,15.8897,14.8798,11.3405,882.2188,93.2431,50.2548,332.0586,60.8027,572.9344,212.2927,349.1766,170.9331,335.8454,373.8567,843.8231,514.0504,912.6276,442.0005,136.6697,248.0475,1333.1996,135.9961,2236.183,20544.1739,1723.2332,851.1006,84.5002,3726.0105,157.3878,3229.2437,1332.5672,2909.2421,5905.792,4515.5077,19696.1799,2857.1126,1543.5235,678.8275,425.318,8490.3329,732.8017,2027.1981,0
JPN_M,83.5164,57.9844,20.5317,38.2497,76.4239,5341.3063,258.5438,151.7538,921.7779,157.8959,2832.0886,1414.7717,1377.8924,891.2197,713.5271,794.1133,5079.5134,2718.751,3916.0545,4500.566,799.1817,1324.7485,3871.0223,1310.3008,21973.7695,25816.0113,2107.044,68.6315,458.1102,4342.8537,39.1556,4281.6618,4269.5799,10429.275,16668.8677,13403.9764,8570.0076,19221.9985,4532.1151,7803.8627,2421.6278,7109.7446,1793.8696,2479.3564,0
JPN_N,91.2717,45.6616,12.0029,89.6958,49.6892,1789.2015,189.7871,61.5817,534.7173,89.5712,1763.6956,766.7791,686.2161,580.286,548.0137,501.5238,2789.2563,1229.1869,2156.6193,2306.1197,408.4377,720.0538,1568.1712,912.0134,8306.7386,16905.8938,1692.1084,45.6359,286.1538,4009.4513,42.6285,1834.0683,2957.0337,4789.6479,10145.4925,8304.8668,4762.4712,7688.033,7127.1444,9207.1493,2167.364,9053.0735,1058.1424,1698.0952,0
JPN_O,68.0588,0.9241,0.0345,0.1601,1.1137,517.8933,0.6003,0.5484,2.6341,3.5544,3.4872,1.4618,1.5461,1.0974,5.6141,3.035,3.9962,1.473,5.5509,10.9523,1.1227,1.8463,32.1141,9.9885,40.7284,46.7347,14.6389,0.8133,1.3541,4.9404,0.6437,10.1975,59.1822,663.7991,13.5359,15.7012,45.6894,50.5042,19.6436,124.6691,0.2014,23.2739,5.319,6.2381,0
JPN_P,1.4501,0.0044,0.0073,3.3657,0.4363,39.296,0.3963,0.7766,3.9556,0.4745,15.7808,9.5772,5.1021,7.7355,4.5058,14.0443,79.9902,69.2244,50.8922,29.5628,5.7054,4.0581,52.9732,3.8909,31.3842,63.1978,217.5902,0.489,0.5158,18.2944,1.1601,52.0839,135.0945,425.5933,281.619,27.6793,0.3341,71.8278,26.6356,20.8279,0.168,20.404,7.8453,18.1631,0
JPN_Q,6.9373,9.9862,0.7035,8.0095,0.3942,81.2061,7.7967,4.6581,53.0214,14.11,46.2232,25.4876,47.7093,20.5861,51.6292,37.9034,87.6687,65.7512,120.53,73.4668,21.4183,36.4109,63.6525,42.404,257.2896,600.0308,101.6194,19.346,7.1144,323.8496,9.2353,146.3634,81.5191,120.6761,100.6529,263.3368,72.4403,159.94,53.679,143.4166,44.8194,3805.6319,60.5539,94.9358,0
JPN_R,8.9691,12.8715,0.9242,10.619,0.1058,106.7714,10.2642,6.0309,67.9521,18.1878,65.2203,26.3868,61.1782,26.4206,69.0458,48.8369,117.6671,85.0295,168.1502,92.4059,27.4014,71.4431,81.449,43.6487,331.2233,665.971,126.4319,23.0803,9.1735,87.913,11.5094,303.1106,8943.4267,57.1381,129.3625,312.1044,90.6664,233.0984,154.0824,151.3891,61.6702,184.1341,1334.2332,170.8304,0
JPN_S,21.1221,45.2132,0.9983,8.7087,8.962,206.2725,20.1085,10.3286,71.3033,14.378,119.5017,40.4874,25.0646,9.3788,74.7908,48.6995,302.5715,100.2072,152.4232,37.3492,35.2421,49.7445,127.8204,127.701,522.7084,1710.9746,746.1333,21.3005,25.1525,142.4841,13.4359,2235.0411,711.17,270.3414,809.7933,385.5172,569.2304,2593.0314,1305.8952,472.2406,294.3146,4793.1941,739.5298,6125.0667,0
JPN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
